"","Table 5#4#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"41","34","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","A012RL1",-39.7,-16.7,-47.9,-19.8,37.8,40.9,27.1,8.7,1.2,42.6,12.7,5.9,-49.8,-40,-13.4,16.8,321.3,28.3,20.1,-7.6,37.1,-16.5,-1.8,3.5,8.4,16.2,-8.5,-6.2,0.9,25.6,-7.1,0.3,9.7,11.8,5.8,-3.2,-9.2,-3.3,13.5,2.7,-6.3,27.8,17.7,-0.9,-21.2,-13.2,24.1,21.8,6.2,-3.9,-21.6,-8.2,-18.6,42.5,15,1.4,12.4,1.9,-1.1,-3.1,-8.8,-9.8,14.1,8.3,9.9,-3.4,8.2,1.9,7.7,6.2,0.9,0.5,5.3,8.2,9.8,6.3,-7.5,-18.8,-23.2
"43","36","  Permanent site","A943RL1",-46.4,-9,-54.9,-37.1,16.1,90,60,12,4.5,39.3,11,9,-54.3,-51,-26.5,11.5,488.2,33,24.1,-5.6,47.1,-20.1,-5.8,3.3,10,18.2,-13.4,-9.1,2.6,27.4,-11.7,-0.5,14,13.4,6.7,-4.4,-12.3,-4.7,17.5,2.9,-9.5,34.8,21,-0.5,-27.6,-23.4,31.4,29,4.6,-6.4,-29.7,-7.8,-22.1,63.4,17.5,-1.3,11.6,1.3,-3.6,-2.5,-9.7,-13.9,16.6,6.7,12,-6.6,9.4,0.5,9.5,7.4,0.8,0.6,4,9.8,11.6,7.1,-8.7,-25.5,-33.5
"44","37","    Single-family structures","A944RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,-11.6,-5.2,6.7,6.8,9.7,-2.3,-10.9,-2,9.9,-5.1,-13.1,38.8,18.9,-2.2,-23.3,-8.7,39.2,28.5,3.3,-11.4,-34.3,-9,-23.3,73.6,16,-0.9,14.5,8,-1.2,-2.9,-9.1,-12.4,21.5,9.5,10.7,-9.2,9.2,-0.3,10.9,7.4,1.1,0.1,3.9,10.7,12,6.7,-9.8,-27.4,-36.7
"45","38","    Multifamily structures","C292RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,-12,26,45.4,34.2,-0.7,-10.1,-16.2,-13.1,44.5,24.4,-2.1,27.3,25.2,2.8,-35.6,-55.4,-3.1,32.6,12.7,22.1,-10.5,-3.8,-18.5,36.9,22.2,-2.6,3,-21.1,-14.7,-0.3,-12.8,-22.9,-15,-19.4,29.2,23.9,10.6,7.7,-1.1,7.9,-1.7,4.3,5.3,2.6,7.8,10,0.7,-10.1,-14.8
"46","39","  Other structures","A863RL1",-9.6,-37.4,-20.4,18.3,63.2,-0.3,-25.4,-2.6,-11.6,57.9,19.8,-6.1,-30.5,-8.1,7,22.4,159.2,18.5,10.5,-12.9,7.6,-1.7,11.1,4.1,4.1,10.7,6.9,0.9,-2.7,21.5,4.2,2,0.6,7.9,3.5,-0.1,-1.5,-0.1,5,2.3,1.1,13.6,9.7,-2.2,-2.7,8.4,13.3,9.3,9.6,1,-6.7,-8.9,-13.7,16,10.5,6.5,13.7,3,3,-4.2,-7.4,-3.4,10.8,10.6,7.1,1.4,6.5,3.9,5.2,4.3,1,0.4,7.1,6,7,4.9,-5.3,-7.8,-9.5
"47","40","    Manufactured homes","A945RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,18.3,-48.8,18.6,6.5,60.7,2.7,8.9,63.1,48.5,8.2,-1.9,12.9,-2,-0.8,26.8,28.1,36.9,21.2,11.5,13.8,41.8,26.3,-4.4,36.2,27.6,6.1,-30.7,-31.9,20.1,19.4,3.2,0.4,-17,2.5,-5.6,29.1,1.3,-4.5,-13.7,-2.2,-5.8,-6.6,-6.9,-12.9,24.8,26.9,21.1,14,10.5,3.4,4.6,-5.2,-24.4,-20.1,4.7,-18.3,-2.9,11.1,-20.9,-18,-18.1
"48","41","    Dormitories","C295RL1",-16.3,-61.3,-29.9,-11.4,16.2,12.5,13.2,21.1,-10.3,20.1,-3.5,-3.3,-50.8,-72.3,52.3,50.7,234.7,-29,14.2,17.9,-7.1,1,-5.6,43,10.8,11.5,28.5,11.6,27.9,6.3,-2.8,35.1,63.9,-13.8,23.2,8.3,-7.5,-21.6,-18.1,-21.8,-34.6,-32.2,-39.9,15,-22.3,66.5,-44.9,-56.4,53.5,-43.6,35,89.2,25.2,23.9,19.1,-10.5,11,43.2,-7.6,3.7,12.4,-65.2,30.1,47.8,-42.1,45.1,15,33.8,17.9,27.6,1.7,9.1,-4.4,9.2,-12.5,-14.7,26.5,39.1,34.3
"49","42","    Improvements","A946RL1",-7.9,-36.7,-26.4,40.4,24.3,27.3,12.3,-1.6,-10.6,7.7,1.2,2.7,-43.8,-33.9,26.9,60.9,218.3,24.6,16,-11.7,6.5,-3.1,8.6,4.6,1.4,9.2,6.1,4.9,-1.5,12.9,6.7,2,-8.1,3.6,-0.1,-2.4,2.5,1.2,-2.4,-1.5,3.5,4.9,1.9,-7.9,8.2,13.4,9.2,4.4,11.1,2.6,1.3,-7.3,-13.4,5.5,12.9,6.9,19.9,4.6,1.3,-2.8,-8.1,-4.3,10.6,12.6,5.8,-0.1,4.3,1.8,1.2,4.2,3.3,2.2,6.5,4.6,2,2.7,-0.5,-3.3,-4.3
"50","43","    Brokers' commissions on sale of structures","A758RL1",-12.2,-23.4,-0.8,-16.9,149.3,-31.4,-18.9,-4.8,-12,6.8,22.9,-0.6,-3.6,6.6,17.7,8.4,51.3,-14.7,-19.3,1.3,18.4,6.3,13.7,1.9,15,9.2,-5.9,-4.9,13.4,28,-8.8,2.1,17.4,16.5,4.3,2.4,-9.9,-0.3,12.3,-1.9,7,31.5,14.5,1.8,-6.5,8.5,22.6,19.2,9.1,-3.4,-20.1,-17.9,-17.8,42.1,9.5,11.8,12.1,-1.4,3.4,-6,-4.7,2.5,7.9,2.9,3.6,1.2,11.5,10,15.2,7.2,-0.7,1.5,11.2,11.7,14.9,7,-10.5,-14.5,-19.2
"51","44","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RL1",-25.2,-29.1,-42.9,-21.7,14.7,29.4,37.1,18.3,-10.6,19.7,11.2,12.1,-46,-37.1,13,30,170.7,13.9,16.5,-5.4,26,-8.5,-1.6,5.9,6.1,12.2,-0.2,-3.1,-1.7,14.1,-1,1,7.2,6.7,7.8,4.7,-1.5,-2.9,7.2,4.1,-3.2,12.7,11,2.6,-13.4,-13.1,12.8,13.5,9.6,3.4,-8.3,1.4,-8.3,7.8,14.7,4,0.1,-0.2,-1,-0.5,-3.9,-11.1,4.3,4.7,6.5,0.4,6.8,3.6,6.2,3.4,3.7,-0.8,-4.9,3.2,5.8,4.3,-1.1,-5.3,-6.5
"54","46","    Nonresidential structures","A771RL1",-14.3,-35.4,-38.4,-22.5,12.4,10.7,31,26.6,-19.6,6.2,13.8,17.3,-38.3,-27.3,30.7,31.3,83.5,-4.4,8.5,-2.1,7.8,8.2,-0.4,8.9,3.4,5.7,12.6,-0.4,-5.5,2.9,8.1,1.7,5,1.2,10.1,15.1,6.4,-2.8,1.4,5.5,0.5,-1.4,3.2,8,-2.3,-10.5,2.5,3.9,14.4,12.8,5.9,8.1,-1.7,-10.7,13.9,7,-10.9,-2.9,0.6,2,1.6,-11,-6,-0.7,1.7,6.3,5.5,6.9,5.5,0.1,7.8,-2.4,-16.8,-3.8,0.8,1.2,9.3,15.1,10.2
"55","47","    Residential structures","A756RL1",-41,-16,-50.4,-19.9,19.2,63.8,44.8,8.9,1.1,33.1,9.3,8,-52.8,-48.5,-15.3,27,380.9,31.1,22,-7.5,37.7,-17,-2.4,3.7,8,16.8,-8.4,-5.3,1.6,23.2,-7.2,0.5,8.9,10.9,6.1,-3.1,-8.4,-3,13.1,2.8,-6.8,27.4,17.5,-1.3,-22.2,-15.6,24.1,22.1,6,-4.1,-21.6,-7.1,-18.5,42,15.6,0.6,12.9,2.2,-2.3,-2.6,-9.1,-11.2,14.9,9.2,10.2,-3.8,7.9,1.1,6.8,6,0.5,0.5,4.7,7.7,8.6,5.9,-6.8,-19.2,-23.5
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
