"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","35","      Gross output of general government","W128RG3",5.979,5.624,5.765,5.556,5.656,6.01,5.952,6.795,6.852,7.05,6.871,6.572,6.651,6.703,6.718,6.158,6.951,8.292,8.685,8.391,9.026,8.862,9.284,9.74,10.026,10.092,10.591,10.769,11.183,12.007,11.991,12.147,12.563,12.948,13.165,13.852,14.29,14.885,15.278,16.338,17.231,18.807,20.292,21.353,22.656,24.363,27.16,29.144,31.528,33.065,35.487,39.195,42.84,45.374,47.08,48.367,50.12,51.235,52.391,54.105,55.983,58.081,61.212,62.89,66.21,68.621,71.253,73.219,75.352,76.567,79.012,82.018,83.935,87.532,91.063,95.981,100,103.737,107.319,109.849
"43","36","        Value added","W129RG3",3.236,2.988,3.252,3.267,3.513,3.771,3.5,4.128,4.126,4.236,4.05,3.868,3.691,3.566,3.587,3.904,4.092,5.19,5.231,4.912,5.49,5.36,5.747,5.997,6.261,6.28,6.723,7.104,7.403,8.203,8.397,8.645,9.107,9.343,9.746,10.318,10.726,11.139,11.387,12.293,12.998,14.671,16.215,17.316,18.586,19.913,22.28,23.837,26.352,27.572,29.449,32.3,35.481,37.699,38.951,40.585,42.006,43.162,44.534,47.103,49.258,51.312,54.932,56.609,60.627,63.526,66.531,68.944,71.256,72.837,75.973,79.167,80.938,85.609,89.947,96.074,100,104.123,108.142,109.828
"44","37","          Compensation of general government employees","W130RG3",2.095,1.923,2.134,2.181,2.363,2.531,2.332,2.779,2.78,2.862,2.732,2.588,2.419,2.236,2.377,2.465,3.029,4.049,3.971,3.666,4.182,4.085,4.4,4.637,4.854,4.897,5.286,5.638,5.898,6.62,6.774,6.981,7.383,7.581,7.899,8.407,8.761,9.106,9.294,10.076,10.649,12.144,13.496,14.473,15.583,16.636,18.622,19.997,22.307,23.365,24.957,27.391,30.139,32.059,33.282,34.886,36.287,37.44,38.808,41.344,43.476,45.506,49.246,51.123,55.383,58.498,61.618,64.424,67.194,69.134,72.629,76.04,78.053,83.672,88.786,95.82,100,104.467,109.045,110.903
"45","38","          Consumption of general government fixed capital \2\","B546RG3",17.232,16.617,15.529,13.561,13.482,14.92,15.217,15.433,15.242,15.038,14.678,15.427,16.913,18.239,16.836,19.276,17.25,19.22,21.912,22.227,22.556,21.964,22.98,22.813,23.514,22.937,23.57,23.722,24.174,24.731,25.343,25.924,26.536,27.024,28.444,28.994,29.656,30.645,31.582,33.334,35.339,37.725,40.391,42.039,44.26,48.505,54.117,56.507,58.703,60.966,65.091,71.079,77.279,81.578,82.092,82.833,83.571,84.151,84.976,86.903,88.574,90.247,91.845,91.418,92.612,93.294,95.047,94.473,93.599,92.875,93.818,95.739,96.183,95.792,96.009,97.37,100,102.432,103.804,104.684
"46","39","        Intermediate goods and services purchased \3\","W131RG3",14.735,14.27,13.22,11.712,10.605,11.063,12.472,12.876,13.439,13.932,14.415,13.839,16.111,17.131,16.613,13.321,15.575,17.315,18.542,18.98,19.33,18.819,18.288,19.599,19.861,20.061,20.66,20.057,20.71,20.993,20.46,20.328,20.41,21.173,20.862,21.784,22.272,23.291,24.035,25.368,26.665,27.78,28.911,29.781,31.083,33.604,37.273,40.172,42.027,44.232,47.801,53.297,57.883,61.05,63.706,64.14,66.6,67.612,68.303,67.761,68.765,70.88,72.879,74.53,76.353,77.722,79.606,80.692,82.463,82.968,83.997,86.585,88.757,90.532,92.781,95.842,100,103.181,106.12,109.871
"47","40","          Durable goods","A543RG3",35.67,35.254,35.41,35.357,35.606,34.857,37.584,36.034,34.332,32.435,32.907,34.876,38.007,41.876,36.733,43.009,36.978,37.132,38.136,39.001,39.335,39.235,40.575,40.17,40.917,40.331,41.217,40.374,40.55,42.397,49.13,56.953,58.685,60.887,63.862,67.77,64.03,64.62,66.077,68.877,70.548,73.347,76.26,75.856,77.37,81.749,88.95,95.878,97.729,99.718,104.717,111.469,118.993,126.16,124.546,124.486,124.504,124.411,124.686,126.89,130.58,132.932,133.006,132.242,132.084,131.569,130.185,124.163,118.805,114.204,110.735,108.735,106.128,102.963,101.304,100.585,100,98.643,95.673,93.181
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RG3",11.782,11.861,12.223,12.457,12.117,12.212,12.377,12.481,12.558,12.665,12.919,13.219,14.146,13.758,14.467,14.06,14.517,14.534,16.905,16.777,16.766,18.576,18.059,20.213,20.321,21.597,21.928,21.728,22.117,23.39,23.019,23.991,24.852,25.592,26.022,26.653,27.775,28.833,29.747,31.013,31.755,33.069,34.766,35.749,38.535,42.002,44.435,46.618,48.974,50.779,54.55,63.475,66.231,66.986,69.144,67.705,67.719,63.929,66.063,65.945,69.583,71.522,71.837,72,72.463,73.088,75.323,78.29,79.669,79.046,81.089,86.017,86.303,87.036,90.175,94.15,100,104.558,107.336,113.175
"51","44","          Services","A544RG3",7.115,6.788,6.052,5.2,4.575,4.942,6.072,6.534,7.166,7.753,8.204,7.21,7.649,8.08,7.278,7.085,7.522,9.073,11.95,13.268,13.064,12.816,13.353,14.122,14.575,14.676,15.289,15.564,16.45,16.528,16.115,16.343,16.405,16.977,16.73,17.277,17.832,18.5,19.337,20.238,21.578,22.56,23.628,24.488,25.731,28.453,31.838,34.432,35.939,37.902,41.065,45.43,50.126,53.879,55.592,57.252,59.613,61.948,62.954,64.855,67.25,69.421,71.452,73.577,75.536,77.1,79.016,79.966,81.87,82.725,83.657,86.06,88.711,90.923,93.174,96.138,100,103.003,106.227,110.012
"52","45","      Less: Own-account investment \4\","W136RG3",4.264,3.89,4.018,3.997,4.15,4.438,4.336,4.744,4.825,4.987,4.83,4.854,4.902,4.86,4.829,4.985,5.467,6.448,6.479,6.283,6.822,6.817,7.18,7.499,7.734,7.906,8.339,8.724,9.098,9.82,10.134,10.522,10.933,11.252,11.651,12.245,12.661,13.075,13.478,14.298,15.095,16.505,17.658,17.858,19.067,20.543,22.448,24.025,25.961,27.527,29.437,32.198,35.213,37.624,39.672,41.184,42.559,44.032,45.62,48.201,51.075,53.463,56.118,58.596,62.046,64.709,67.046,69.524,71.811,74.021,76.974,80.648,83.503,87.667,91.509,96.447,100,103.584,107.664,110.024
"53","46","            Sales to other sectors","W137RG3",6.854,5.995,5.995,5.329,5.329,5.995,8.001,6.854,6.854,5.995,7.361,7.615,8.507,8.743,9.433,9.613,9.339,9.551,11.483,11.803,11.941,12.103,12.974,12.845,12.672,12.886,13.41,13.942,14.531,14.988,14.832,14.817,14.561,14.892,15.314,15.866,16.157,16.827,17.196,19.029,20.531,19.582,22.029,24.107,27.933,29.513,29.97,33.731,37.641,42.024,46.924,55.569,59.106,57.849,57.981,57.725,56.643,51.216,55.084,57.176,60.81,63.636,63.284,65.591,70.996,72.574,74.154,77.794,80.591,76.07,80.926,85.664,86.132,87.729,90.729,94.654,100,103.239,106.269,109.718
"54","47","State and local consumption expenditures \1\","A991RG3",4.13,4.087,3.94,3.699,3.718,3.924,4.005,3.851,3.952,3.917,3.885,3.94,4.143,4.507,4.844,5.061,5.248,5.735,6.376,7.131,7.256,7.445,8.07,8.476,8.735,9.056,9.292,9.751,10.2,10.485,10.812,11.158,11.528,11.952,12.258,12.554,12.915,13.602,14.505,15.321,16.346,17.679,18.909,20.068,21.596,23.565,25.791,27.652,29.617,31.596,34.359,38.137,41.83,44.508,46.786,49.268,51.419,52.951,55.247,57.026,59.15,62.152,64.322,65.975,67.65,69.518,71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,109.941,116.057
"55","48","      Gross output of general government","W138RG3",4.057,4.005,3.848,3.604,3.611,3.811,3.901,3.752,3.849,3.832,3.808,3.862,4.044,4.382,4.699,4.901,5.08,5.567,6.163,6.868,6.974,7.16,7.751,8.125,8.367,8.658,8.878,9.297,9.719,9.989,10.289,10.633,10.972,11.354,11.638,11.919,12.263,12.895,13.703,14.469,15.432,16.661,17.774,18.834,20.258,22.127,24.218,25.964,27.817,29.72,32.335,35.877,39.433,42.169,44.517,47.027,49.18,50.843,53.165,55.201,57.648,60.861,63.421,65.529,67.531,69.528,71.502,73.206,74.706,75.848,78.626,82.01,84.641,86.675,90.888,94.618,100,104.952,109.783,115.644
"56","49","        Value added","W139RG3",3.18,3.187,3.137,2.975,2.983,3.115,3.156,3.047,3.107,3.145,3.142,3.187,3.289,3.501,3.766,3.984,4.164,4.525,5.054,5.704,5.843,5.995,6.523,6.902,7.136,7.448,7.661,8.064,8.46,8.724,8.972,9.318,9.676,10.097,10.41,10.702,11.043,11.684,12.557,13.343,14.29,15.534,16.643,17.762,19.167,20.601,22.521,24.254,25.954,27.731,29.941,32.859,35.994,38.744,41.372,43.971,46.44,48.716,51.208,53.227,55.548,58.766,61.636,63.947,66.238,68.539,70.293,71.818,73.431,75.205,78.428,81.331,84.748,87.633,92.154,95.594,100,104.448,109.016,112.994
"57","50","          Compensation of general government employees","B251RG3",2.782,2.821,2.821,2.728,2.692,2.773,2.831,2.683,2.743,2.791,2.798,2.847,2.894,2.999,3.214,3.487,3.686,3.992,4.401,4.978,5.143,5.348,5.747,6.116,6.376,6.737,6.949,7.267,7.65,7.952,8.209,8.587,8.96,9.38,9.692,9.986,10.314,10.936,11.814,12.578,13.484,14.662,15.711,16.81,18.148,19.245,21.027,22.823,24.533,26.257,28.316,30.977,33.839,36.449,39.215,41.991,44.553,46.825,49.297,51.337,53.722,57.035,60.041,62.552,64.946,67.305,69.01,70.577,72.239,74.158,77.588,80.552,84.208,87.344,92.328,95.835,100,104.291,108.554,112.383
"58","51","          Consumption of general government fixed capital \2\","B986RG3",8.768,8.213,7.33,6.113,6.795,7.684,7.445,7.963,8.004,7.888,7.75,7.729,8.591,10.264,11.202,10.687,10.613,11.72,13.98,15.597,15.259,14.477,16.937,17.352,17.08,16.507,16.686,18.316,18.793,18.372,18.408,18.148,18.191,18.507,18.771,18.965,19.425,20.187,20.812,21.756,23.108,25.057,26.822,28.001,30.105,36.094,39.619,40.155,41.424,43.618,47.573,53.57,59.94,64.197,64.719,64.804,65.881,68.022,70.567,72.182,73.596,75.526,76.731,76.78,77.926,79.554,81.771,82.863,83.969,84.362,85.673,88.019,89.364,90.12,90.809,93.714,100,105.649,112.509,117.598
"59","52","        Intermediate goods and services purchased \3\","W140RG3",8.067,7.644,6.905,6.266,6.267,6.773,7.077,6.763,7.012,6.78,6.676,6.771,7.282,8.165,8.699,8.767,8.897,9.968,10.78,11.609,11.51,11.839,12.648,12.909,13.136,13.224,13.421,13.824,14.282,14.505,15.022,15.284,15.446,15.544,15.621,15.792,16.087,16.581,16.962,17.534,18.449,19.492,20.521,21.279,22.661,25.96,28.51,30.193,32.449,34.666,38.49,43.955,48.742,51.252,52.563,54.698,55.852,55.818,57.667,59.722,62.47,65.628,67.348,68.924,70.202,71.47,73.942,76.046,77.29,77.068,78.936,83.265,84.391,84.846,88.485,92.76,100,105.916,111.25,120.715
"60","53","          Durable goods","B989RG3",11.363,11.243,10.517,10.146,10.601,12.233,11.939,12.583,12.703,13.026,12.79,13.027,13.459,13.772,12.904,12.658,13.019,14.517,17.167,18.733,19.019,19.648,21.66,22.056,22.128,22.619,24.556,25.707,24.942,24.95,24.773,25.178,26.14,26.126,26.599,27.159,27.63,28.825,29.712,30.947,32.227,34.407,35.971,37.602,39.31,43.877,48.904,51.642,54.941,58.627,63.656,70.229,77.18,81.961,84.351,86.466,88.504,90.33,92.586,95.867,99.596,102.559,105.043,106.435,106.731,107.469,108.558,108.415,107.381,105.469,103.545,102.322,100.441,99.193,98.169,98.75,100,101.415,102.737,105.156
"61","54","          Nondurable goods","B337RG3",9.697,9.235,8.193,7.207,7.23,7.86,8.589,7.778,8.284,7.757,7.659,7.883,8.594,9.815,10.462,10.551,10.705,12.475,13.709,15.109,14.038,14.509,15.987,15.734,15.801,15.74,15.776,16.226,16.845,16.569,16.192,16.331,16.445,16.512,16.602,16.709,17.074,17.696,17.982,18.466,19.152,19.835,20.455,21.151,23.619,28.842,32.062,33.362,35.529,37.643,43.346,50.918,56.304,56.812,56.283,57.19,57.068,52.377,54.86,55.995,59.977,64.24,63.43,63.434,63.888,64.267,67.101,70.001,69.665,66.536,68.883,76.965,76.419,75.231,80.981,87.895,100,107.561,114.493,132.013
"62","55","          Services","A988RG3",6.925,6.491,5.968,5.59,5.544,5.904,5.9,5.91,5.969,5.919,5.813,5.792,6.171,6.843,7.341,7.398,7.507,8.101,8.592,9.042,9.516,9.74,10.101,10.634,10.953,11.102,11.308,11.643,12.066,12.567,13.692,14.036,14.188,14.315,14.36,14.554,14.794,15.169,15.577,16.16,17.178,18.351,19.576,20.315,21.082,23.286,25.329,27.157,29.415,31.619,34.261,38.442,42.771,46.29,48.56,51.387,53.184,55.443,56.941,59.405,61.434,64.014,67.035,69.458,71.229,72.996,75.352,77.161,79.4,80.862,82.722,85.389,87.636,89.101,91.916,95.008,100,105.325,110.06,115.572
"63","56","      Less: Own-account investment \4\","W144RG3",4.335,4.397,4.396,4.25,4.195,4.321,4.411,4.181,4.275,4.35,4.361,4.438,4.511,4.675,5.008,5.436,5.744,6.247,6.716,7.611,7.844,8.161,8.765,9.324,9.725,10.273,10.595,11.079,11.662,12.129,12.015,12.282,12.508,12.739,12.936,13.09,13.404,13.923,14.624,15.337,16.236,17.318,18.433,19.417,20.729,23.116,25.507,27.447,29.529,31.767,34.378,37.919,41.498,44.148,46.955,49.398,51.587,53.148,55.227,57.845,60.582,63.622,66.157,68.293,70.18,72.376,74.896,76.36,77.655,78.703,81.268,84.479,87.041,88.963,92.307,95.53,100,104.024,107.891,112.315
"64","57","            Sales to other sectors","W145RG3",4.035,3.847,3.543,3.217,3.139,3.402,3.595,3.596,3.724,3.578,3.504,3.522,3.778,4.18,4.392,4.491,4.626,5.222,5.551,5.97,5.928,6.11,6.535,6.702,6.836,6.917,7.028,7.22,7.491,7.66,7.884,8.282,8.465,8.638,8.823,9.056,9.336,9.719,10.069,10.613,11.303,12.062,12.621,13.224,14.182,15.576,17.037,18.252,19.587,21.146,23.103,25.585,28.52,31.492,34.084,36.688,38.822,41.076,43.527,46.696,50.608,54.816,59.192,63.374,66.839,69.386,72.015,74.167,75.873,77.091,79.122,81.519,83.869,86.691,91.135,95.712,100,104.612,109.248,114.152
"65","58","              Tuition and related educational charges","B1065G3",2.688,2.688,2.565,2.441,2.256,2.318,2.287,2.318,2.379,2.379,2.379,2.379,2.441,2.565,2.781,2.967,3.121,3.337,3.532,3.726,3.77,3.854,4.025,4.048,4.072,4.172,4.289,4.444,4.543,4.605,4.841,4.965,5.097,5.278,5.461,5.68,5.926,6.231,6.544,6.941,7.404,7.928,8.426,8.889,9.365,10.179,10.93,11.689,12.46,13.069,14.085,15.4,17.281,19.581,21.588,23.759,25.881,27.932,29.982,32.187,34.664,37.387,41.115,45.381,49.426,52.77,55.917,59.024,61.954,64.539,67.076,69.848,73.403,78.424,84.966,93.035,100,106.705,113.39,120.444
"66","59","              Health and hospital charges","B1066G3",1.877,1.758,1.678,1.558,1.478,1.558,1.638,1.678,1.718,1.718,1.718,1.718,1.798,1.958,2.078,2.237,2.436,2.794,3.404,3.68,3.748,3.905,4.214,4.423,4.593,4.693,4.844,4.975,5.226,5.464,5.631,6.371,6.544,6.684,6.902,7.203,7.416,7.648,8.133,8.692,9.298,10.047,10.442,10.959,11.597,12.718,14.139,15.509,16.808,18.276,20.172,22.847,25.998,29.471,32.644,35.31,37.588,39.803,42.371,46.115,51.021,56.155,61.412,66.497,70.328,72.907,75.258,76.986,78.006,78.807,80.233,82.263,84.754,87.689,92.347,96.496,100,104.157,107.68,111.049
"67","60","              Other sales","W146RG3",8.692,8.257,7.287,6.394,6.462,7.193,7.723,7.62,7.953,7.433,7.183,7.238,7.889,8.834,9.219,9.246,9.348,10.581,10.879,11.711,11.515,11.846,12.677,12.95,13.167,13.264,13.394,13.744,14.225,14.425,14.776,15.043,15.329,15.584,15.792,16.032,16.485,17.196,17.484,18.231,19.349,20.444,21.346,22.261,24.393,26.982,29.306,30.621,32.615,35.47,38.548,41.74,45.047,47.104,48.61,51.201,52.717,55.032,57.47,60.322,63.652,67.484,70.641,72.78,74.787,76.416,79.004,81.027,82.839,83.614,86.193,88.856,90.023,90.986,93.547,96.342,100,103.903,108.76,114.435
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
