"","Table 2#4# Personal Consumption Expenditures by Type of Expendit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"46","39","    Water and other sanitary services (s.)","BWATRC",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.3,36.2,38.4,40.7,42.6,44.2,46.6,48.8,50.7
"47","40","    Fuel oil and coal (n.d.)","A171RC",1.6,1.5,1.3,1.1,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.9,2,2,2.2,2.5,3,3.4,3.1,3.4,3.5,3.5,3.4,3.5,3.8,3.9,4.1,4.2,4,3.8,3.8,3.8,4,4.1,4.4,4.7,4.8,4.7,4.6,4.4,4.6,5.1,6.3,7.8,8.4,10.1,11.1,11.5,14.4,15.4,15.8,14.5,13.6,13.9,13.6,11.3,11.2,11.7,11.9,12.9,12.4,12.2,12.9,13.5,14.1,15.6,15.1,13.1,13.6,18.1,16.5
"48","41","  Telephone and telegraph (s.)","BTELRC",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,5.9,6.5,7,7.7,8.3,9.3,10.1,11,12.4,14.1,15.5,17.7,19.8,21.5,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58,60.5,63.7,70.7,74.6,82.7,87.8,97.1,105,112.9,122.3,130.6,136.5
"49","42","  Domestic service (s.)","BDMSRC",1.7,1.5,1.1,0.8,0.7,0.9,0.9,1,1.2,1,1.1,1.2,1.2,1.5,1.6,1.9,2.1,2.1,2.3,2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.7,5.5,6.1,6.6,6.4,6.1,6.2,6.5,6.6,7.7,7.7,8.2,8.2,9,9.8,10.4,10.2,11.4,11.9,12.4,13.3,13.6,13.9,16,14.9,16,14.6
"50","43","  Other (s.) \10\","AOPORC",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.3,2.4,2.6,2.8,3.1,3.5,3.9,4.2,4.6,4.8,5.2,5.8,6.4,7,7.3,8.7,10,11.1,12.7,13.6,15,15.5,16.8,18.9,20.8,23.1,24.8,25.9,27.1,28.4,28.4,27.1,30.5,32.9,36.1,37.1,41.2,43.7,46.6,48.5,50
"51","44","Medical care","A536RC",3.1,3,2.7,2.3,2.1,2.3,2.4,2.6,2.8,2.8,3,3.2,3.5,3.9,4.4,4.9,5.2,6.4,7.4,8.5,8.8,9.4,10.2,11.2,12.4,13.4,14.2,15.5,17.1,18.7,20.6,22.1,23.6,26.2,28.2,31.7,34.1,37.2,40.6,46.8,53.1,60,67,75,83.5,93.6,107.7,122.1,139.5,159.2,180.4,206.5,241.5,270.8,303.7,335.1,367.4,396.7,437.1,492.1,548.6,619.7,675,741.5,794.6,838.1,888.6,932.3,984.4,1041.7,1097.9,1171.1,1270.2
"52","45","  Drug preparations and sundries (n.d.) \11\","BDRGRC",0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,1,1.1,1.1,1.3,1.3,1.5,1.6,1.7,2,2.1,2.2,2.2,2.4,2.7,3,3.2,3.5,3.9,4.3,4.6,4.8,5,5.2,5.4,5.8,6.4,7,8.1,8.6,9.3,10.1,11,12,13.1,14.2,16.3,19.1,21.8,24.9,27.6,31.4,35.2,38.7,42.7,47,51.8,58,65.4,71.4,75.9,80.5,85.8,92.1,100.3,110.6,122.1,139.2,156.3,176.4
"53","46","  Ophthalmic products and orthopedic appliances (d.)","BOPTRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.8,0.8,0.9,1,1.1,1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.5,2.7,2.9,3.2,3.4,3.6,3.9,4.4,5.3,6.2,7.2,8.4,10.3,11.4,13.7,12.5,13,13.5,15,15.8,17.6,19.1,20.6,21.6,22.9,21.6
"54","47","  Physicians (s.)","BPHYRC",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.7,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,6.9,8.2,8.5,9.1,10,10.9,12.4,14,15.3,16.6,18.4,20.3,23.5,25.8,29.6,32.5,36.8,42.8,50.4,55.2,62.5,69.9,78,86.4,100.8,115,125.7,140.4,152,167.3,173,181,192.4,199.1,208.8,220.5,230.3,244.3,266.7
"55","48","  Dentists (s.)","BDENRC",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.9,42.9,46.5,48.4,51.9,55.1,58.3,62.7,67.5
"56","49","  Other professional services (s.) \12\","BOPSRC",0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.3,1.5,1.7,2.1,2.4,2.9,3.3,3.6,3.1,3.4,3.4,3.7,3.9,4.3,5.2,5.9,7.2,8.9,10.3,11.5,13,14.7,17.8,18.7,23,26.9,31.2,35.8,40.4,46.9,53.3,65,74.3,85.2,95.1,103.6,112.9,119.7,125.9,132.1,137,142.8,153.5
"57","50","  Hospitals and nursing homes \13\","BPHORC",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.4,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.8,4.2,4.7,5.4,6,6.5,7,7.8,8.7,9.7,10.6,12.1,14.3,17.2,20.4,23.5,27.7,31.3,34.9,40.5,47.8,55.6,63.1,72.8,83.6,97.2,114.1,130.2,144.3,154.7,166.5,180,194.9,215.7,238.5,265,292.9,319.2,339.2,353.9,370.9,390.8,408.9,427.8,445.8,471.5,509.6
"58","51","    Hospitals","A2601C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,6.1,6.5,7.3,8.1,8.8,9.7,11,12.8,15.2,17.7,20.2,23.5,26.7,29.7,34.1,40.4,47.1,53.3,61.5,70.7,82.2,96.9,111.5,123.3,131.6,141.1,152.4,165.6,183,201.6,222.2,245.9,269,286.8,299.9,312.3,327.6,339.6,354.2,370.7,392.3,425.9
"59","52","      Nonprofit (s.)","B2602C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4.5,4.9,5.4,6,6.5,7.1,8,9.3,10.9,12.8,14.7,17,19,21,24.3,29,33.8,38.6,44.5,50.5,58.8,69,78.7,86.3,91.8,97.5,104.5,113.7,126,138.7,153,168.5,183.5,194.5,200.8,206,213.5,221.7,233,245.9,259.7,281
"60","53","      Proprietary (s.)","B2603C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.9,3.5,4.1,4.7,5.4,6.4,7.5,9,10.7,12.1,13.6,15.4,17.3,19.2,21.5,23.8,26.1,28.5,30.3,30.9,32.4,35.2,38.7,41.5,41.9,42.4,44.8,50.8
"61","54","      Government (s.)","B2604C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,1,1.2,1.3,1.5,1.7,2,2.4,3,3.4,3.7,4.5,5.4,6.1,6.9,7.8,9.2,10.1,11.6,13.8,15.8,19,22.1,24.9,26.2,28.3,30.6,32.7,35.6,39.2,43.1,48.9,55.2,61.4,66.6,71.1,75.4,76.3,79.3,82.5,87.8,94.1
"62","55","    Nursing homes (s.)","B2605C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.5,0.5,0.6,0.9,0.9,1.2,1.5,1.9,2.7,3.2,4.2,4.6,5.3,6.3,7.5,8.5,9.8,11.2,12.9,15,17.1,18.7,21,23.1,25.3,27.6,29.3,32.7,36.9,42.9,46.9,50.2,52.4,54.1,58.6,63.2,69.3,73.7,75.1,79.2,83.6
"63","56","  Health insurance","AHINRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.8,0.8,0.8,0.9,0.9,1.1,1.3,1.4,1.4,1.4,1.6,1.5,1.7,1.8,2,2.2,2.2,2.4,2.7,3,3.1,4,4.2,4.4,4.9,6,6.4,6.4,6.6,7,9.4,11.9,12.4,12.8,14.6,17.9,19.2,22.4,24.3,20.3,18.9,23.9,31.4,37.7,37.8,43.3,53.5,55.8,58,56.6,59.3,63.6,65.7,70.6,75
"64","57","    Medical care and hospitalization (s.) \14\","BMINRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,1.1,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.3,2,1.9,2.1,2.6,3.5,3.6,3.6,3.2,3.6,5.4,6.4,7.2,7.6,9.1,11.8,14.5,18.9,20.6,16.5,14.1,18.7,26,31.7,33.6,37.6,44.7,44.4,46.4,45.3,48.5,53.9,57.7,63,66.8
"65","58","    Income loss (s.) \15\","BIINRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.1,1.3,1.6,1.7,1.7,2.2,2.2,2.4,3.4,2.3,1.9,1.9,2.5,2.1,2.1,2.1,2.4,2.2,2.5,2.4,2.6,1.8,2.1,1.3,1.6,1.2,1,1.2,1.4,1.5,1.7,1.8
"66","59","    Workers' compensation (s.) \16\","BPWCRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.1,1.1,0.9,0.9,1.1,1.1,1.2,1.2,1.5,2.1,2.9,3.4,3.6,3.6,2.6,1.4,1.6,1.4,2.6,2.6,3,3.4,2.4,3.6,7.4,9.8,10.4,10.3,9.6,8.3,6.5,5.9,6.4
"67","60","Personal business","A479RC",3.9,3.5,3,2.6,2.5,2.5,2.8,3,3.2,3.1,3.1,3.2,3.3,3.4,3.7,3.9,4.2,4.8,5.3,5.8,6,6.6,7.2,7.5,8.4,9.1,10.1,11,11.8,12.7,13.6,14.6,15.8,16.4,17.2,19,20.7,22.8,24.4,26.9,29.7,32.6,34.8,38.2,42.3,47.2,54,60.6,67.4,81.7,92.1,103.6,110.7,123.8,147.7,160.9,188.1,212.9,238.1,254.4,268.2,284.7,316.7,342.6,365.9,381.6,406.8,435.1,489,529.8,575.2,632.5,634.3
"68","61","  Brokerage charges and investment counseling (s.)","BBRORC",0.8,0.5,0.3,0.2,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.6,0.7,0.7,0.7,0.9,1.2,1.2,1.6,1.5,1.7,1.9,2.2,2.6,3,3.5,3,2.3,3,3.4,2.5,2.1,2.9,3.6,3.6,4.4,4.9,6.9,6.9,8.8,12.7,12.3,15.2,20.3,23.4,19.6,22.3,22.1,24.7,28.8,33.6,33.4,36.5,43.2,50.9,58.1,72.2,88.4,74.2
"69","62","  Bank service charges, trust services, and safe deposit box rental (s.)","BBNKRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.3,2.6,2.8,3.1,3.4,3.9,4.4,5.1,6.5,8.3,10.4,11.5,13.4,15.6,18.2,19.9,21.4,23.6,25.5,28.2,30.9,34,35.5,38.3,42.9,47.9,55.7,63.2,68.4,73.5
"70","63","  Services furnished without payment by financial intermediaries except life insurance carriers (s.)","AIMPRC",1,0.9,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.5,2.7,3.1,3.4,3.5,3.7,4,4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
"71","64","  Expense of handling life insurance and pension plans (s.) \17\","BLIFRC",0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.6,1.6,1.8,1.9,2,2.1,2.2,2.5,2.8,3.1,3.3,3.2,3.6,3.8,3.9,4.2,4.7,5.2,5.4,5.4,6,6.5,7.2,7.4,8,9.1,10.2,11.7,14.3,16.4,19.1,21.5,24.7,26.9,30.3,31.7,34.6,40.2,42,41.8,49.1,52.7,55,65.3,66.9,74.8,75.3,81.8,81.3,89.3,90.9,96.2,102.8,103.9
"72","65","  Legal services (s.)","BGALRC",0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.4,1.6,1.8,2,2,2.3,2.4,2.6,2.8,3,3.4,3.6,3.8,4.2,4.9,5.4,6,6.9,7.6,7.9,8.7,9.6,11,11.7,13.1,15.5,17.2,18.9,21.4,24.5,27.2,30.8,34.6,37.6,40.9,41.7,44.9,46.4,47.4,48,51.5,55,58.7,62.4,65.2,70.4
"73","66","  Funeral and burial expenses (s.)","BFUNRC",0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.8,2.9,3.3,3.5,3.8,4,4.5,4.8,5.1,5.4,6,6.8,7.1,7.5,8.3,8.8,9.5,10.1,11,11.7,12.1,13.3,14.5,15.2,16.2,16.5,16.4,17.5
"74","67","  Other (s.) \18\","APBORC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.5,2.8,3.1,3.5,4,4.5,5.1,5.8,6.3,7,7.6,8.2,8.8,9.5,10.3,11.2,11.8,13.5,15,16.6,17.6,18.6,19.9,21.6,22.7,24.8,26.6,28.9,31,33.2,35.3
"75","68","Transportation","A537RC",7.7,6.2,5.1,4,4,4.7,5.4,6.2,6.6,5.7,6.5,7.2,8.6,5.5,5.5,5.8,6.8,12.5,15.9,18.5,21.8,25.4,25.1,25.4,29.3,28.9,34.8,34.1,37.1,35.4,40.7,42.9,41.5,46.3,50,53,59.1,62.2,64.4,73.5,79.8,81.1,94.8,105.3,115.4,119,130.2,155.7,179.6,196.7,218.8,238.4,262.4,268,299.4,337,372.8,379.7,396.7,423.6,445,455.4,428.1,460.1,494.9,532.1,560.3,594.6,626.7,649.9,707.8,768.9,794.8
"76","69","  User-operated transportation","A538RC",6.1,4.7,3.8,3,3.1,3.6,4.3,5,5.4,4.5,5.2,6,7.2,3.6,2.9,3,4,9.5,13,15.6,18.9,22.6,22.1,22.4,26.3,25.9,31.8,31.1,34,32.3,37.5,39.5,38.1,42.8,46.5,49.2,55.1,57.8,59.5,68,73.3,74.2,87.1,96.7,106.1,108.4,118.9,142.6,164.9,181.1,201.4,218.3,241.1,246,275.4,310.1,344.9,350.9,365.8,390.1,410,419,392.5,424,456.4,492.3,517.8,550.2,578.9,599.2,654.7,711.9,742
"77","70","    New autos (d.)","A136RC",2.6,1.6,1.1,0.6,0.8,1,1.5,1.9,2,1.2,1.6,2.1,2.6,0.1,0.1,0.1,0,2,4,5,7.7,10.3,8.6,8,11.1,10.8,13.8,11.6,12.6,9.7,13.2,14,12.1,15,17.2,18.3,21.4,21,20,24.5,25.1,21.9,28.2,31.6,33.9,27,29.3,38.2,44.4,48.5,49.3,46.4,50.7,53.3,66,77.1,86.3,99,91.3,96.7,92.9,89.7,72.3,78,82.1,86.5,82.2,81.9,82.5,87.9,98.4,105.5,105.9
"78","71","    Net purchases of used autos (d.)","A137RC",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.8,1.2,1.3,1.4,1.5,1.4,0.9,0.2,1.8,1.9,2.4,2.8,2.7,2.6,2.6,2.9,3.2,3.4,3.8,3.9,4.3,4.6,5,4.8,5.3,5.9,6.4,6.6,7.4,9.7,10.4,11.1,11.3,10.8,12.8,13.6,15.6,21.4,24.4,23.8,28.4,28.9,31,29.3,28.9,31.2,38.8,43,50,51.4,53.1,54.9,57.7,59.4,60.6
"79","72","    Other motor vehicles (d.)","AOAURC",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.5,0.7,0.9,1,1.3,1.5,1.6,2.3,2.8,2.7,3.9,5.6,6.9,6.4,7.7,12.1,15.9,19.1,16.6,11.8,12.8,15.6,23,30.7,40.8,45,48.2,52.7,59,57.5,52.2,60.5,68.9,77.7,80.2,84.3,89,104.5,118.7,125.9,149
"80","73","    Tires, tubes, accessories, and other parts (d.)","ATBARC",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.3,23.2,24.3,24.6,25.2,27.8,28.5,29.9,29.5,30.5,32.4,35.2,36.9,38.7,39.6,41.5,44.4,45.9,45.8
"81","74","    Repair, greasing, washing, parking, storage, rental, and leasing (s.)","BREPRC",0.8,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.6,0.6,0.7,1,1.7,2,2.2,2.4,2.5,2.9,3.1,3.5,3.6,3.9,4.3,4.6,4.8,5.2,5.5,5.8,6.2,6.6,7.1,7.6,8.1,8.8,9.7,10.9,12.3,13.9,15.1,15.8,17,19.8,22.1,25.7,28.5,32.2,34,37.2,38.5,43.7,51.6,60.5,64,69.8,77.7,82.5,84.9,81.9,90.3,97.6,110,122.2,134.2,146.3,153.6,165.1,175.5,181.6
"82","75","    Gasoline and oil (n.d.)","C170RC",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,87.7,97,107.3,102.5,104.9,106.6,109,113.3,124.2,128.1,114.8,129.3,164.4,162.1
"83","76","    Bridge, tunnel, ferry, and road tolls (s.)","BTOLRC",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.8,2,1.9,2.3,2.3,2.5,2.8,3.1,3.3,3.4,3.7,4,4,4.4,4.6,4.9
"84","77","    Insurance (s.) \19\","BAINRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1,1.3,1.5,1.4,1.4,1.4,1.6,1.9,2,2.1,2.1,2.1,2.1,2.4,2.8,3,3,3,3.8,4.9,5.4,5.2,5,3.8,5.3,7.8,8.4,8.5,9.4,8.9,9.2,10.4,10.1,10,12.7,15.5,16.8,16.8,18.1,22.8,25.7,27,27.8,29.7,31.8,36.3,38,36.8,30.7,32.1
"85","78","  Purchased local transportation","A477RC",1.1,1.1,0.9,0.8,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.9,1,1.3,1.6,1.7,1.7,1.9,1.9,2,2,1.9,2,2,2,1.9,1.9,2,2,1.9,2,2,2,2,2,2,2.1,2.1,2.2,2.4,2.7,3,3.3,3.4,3.5,3.7,4,4.4,4.8,4.8,4.8,4.8,5,5.4,5.8,6.4,6.8,7.1,6.9,7.3,7.5,8.4,8.8,9,9.5,10,10.4,11.2,11.6,12.3,12.4,12.7,13.2
"86","79","    Mass transit systems (s.)","BSTRRC",0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2,2.1,2.2,2.4,2.5,2.8,2.9,3.3,3.8,4,4.1,4.2,4.5,4.6,5,5.2,5.8,6.1,6.5,6.7,7.1,7.1,7.7,7.8,8.3,8.6,9.1,9.5
"87","80","    Taxicab (s.)","BTAXRC",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1.2,1.4,1.6,1.6,1.7,2,2.2,2.4,2.2,2,1.9,1.7,1.5,1.9,2.3,2.6,2.5,2.4,2.3,2.3,2.6,2.6,2.6,2.8,3,3.2,3.5,3.7,4.1,3.8,3.6,3.7
"88","81","  Purchased intercity transportation","A480RC",0.5,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.7,1,1.1,1.1,1,1,1,0.9,0.9,1,1.1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.3,1.4,1.5,1.5,1.7,2,2.3,2.7,3.1,3.7,4,4.4,5.2,5.9,6.9,7.3,8.6,9.9,10.9,12.6,15.4,16.3,16.6,18.1,20.5,21.1,21.8,23.9,26.2,27.5,28.1,26.9,27.1,29.1,29.8,32.1,33.3,36.2,38.4,40.7,44.3,39.7
"89","82","    Railway (s.)","BIRRRC",0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9
"90","83","    Bus (s.)","BIBURC",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.4,1.6,1.7,1.5,1.5,1.3,1.1,1.4,1.7,1.5,1.3,1.6,1.6,1.6,1.5,1.6,1.8,1.8,1.9,2,1.5,1.5
"91","84","    Airline (s.)","BIAIRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,14.9,17.2,17.6,18.3,19.9,21.3,22.4,22.7,21.4,21.3,23.3,23.7,25.5,26.2,29,30.8,32.7,36.7,32.4
