"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"44","37","    Tobacco products (7)","BTOBRA3",50.887,46.169,46.56,41.338,43.473,46.636,49.402,53.232,56.523,56.965,58.385,60.089,65.242,71.178,74.871,73.08,76.179,86.141,89.41,92.175,92.45,93.835,97.093,100.651,99.629,95.882,97.103,99.992,103.891,107.218,112.852,114.497,118.046,118.428,119.376,117.615,120.702,120.702,121.788,120.922,119.318,121.328,122.297,124.699,131.765,133.792,133.47,142.647,137.662,140.453,139.324,140.759,142.85,137.006,129.972,129.817,129.362,126.536,127.143,117.423,115.858,111.664,103.602,108.143,105.908,107.233,108.798,110.336,110.411,107.342,101.274,100,99.386,97.121,94.425
"45","38","    Toilet articles and preparations (21)","BTLGRA3",5.8,5.153,5.223,4.452,3.398,4.389,4.417,4.657,4.962,5.112,5.657,5.964,6.907,7.602,8.974,9.736,10.485,9.978,9.333,9.381,9.734,10.799,10.677,11.797,12.592,13.045,14.332,15.635,16.671,17.462,17.75,19.64,21.789,23.839,25.269,27.182,29.734,33.283,35.183,37.091,37.862,39.265,39.644,41.462,45.311,45.449,44.233,45.88,48.493,51.346,53.506,53.744,53.726,52.312,54.767,59.057,62.041,65.056,69.017,70.894,72.892,74.751,74.188,74.459,78.118,82.589,87.128,92.539,97.699,98.217,99.284,100,97.883,97.644,96.944
"46","39","    Semidurable house furnishings (33)","BSDHRA3",8.612,7.476,7.944,7.277,7.146,7.292,7.765,9.703,10.159,9.983,12.598,13.402,14.213,13.309,13.719,13.51,13.079,16.209,13.525,14.425,16.504,18.534,18.192,18.522,18.416,17.781,19.008,19.494,19.444,18.877,19.875,20.197,21.135,23.063,23.893,26.279,28.03,30.419,31.136,32.328,31.432,30.731,30.401,31.763,34.514,32.585,31.937,33.279,34.683,36.085,37.245,37.497,38.923,37.572,39.104,42.309,43.967,48.038,49.193,51.444,53.568,55.024,57.029,62.152,65.227,69.235,72.637,77.037,81.028,86.68,93.658,100,102.503,108.151,118.462
"47","40","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","BCLPRA3",5.484,5.346,5.262,4.604,4.755,5.539,5.805,6.487,6.968,6.949,7.38,7.97,8.676,9.262,9.614,9.436,8.598,10.242,12.975,13.233,14.481,16.102,16.063,16.252,17.827,18.423,19.994,21.146,22.373,23.035,25.413,27.267,30.594,33.616,35.693,38.832,41.939,45.678,46.897,49.067,51.295,52.68,51.716,54.369,59.496,56.947,50.171,50.012,49.882,54.187,58.815,60.454,61.097,61.598,63.255,66.968,68.198,70.094,70.655,73.252,73.67,75.001,74.464,76.848,81.385,86.757,88.5,90.949,94.412,96.491,100.313,100,101.005,103.612,109.065
"48","41","    Drug preparations and sundries (45)","BDRGRA3",1.944,1.838,1.704,1.538,1.545,1.761,1.832,1.966,2.139,2.2,2.34,2.431,2.743,3.131,3.723,3.906,4.117,4.507,4.306,4.539,4.739,5.174,5.75,5.94,6.128,6.153,6.658,7.335,7.973,8.271,8.944,9.864,11.033,12.229,13.041,13.547,14.126,14.769,15.777,17.431,18.887,21.29,22.293,24.189,26.039,27.533,27.708,28.588,29.131,31.422,34.379,36.091,37.195,37.386,39.18,41.134,42.4,44.132,46.077,48.127,50.571,53.172,54.108,54.466,56.165,58.553,62.338,66.544,72.486,81.522,91.065,100,108.745,115.331,123.136
"49","42","    Nondurable toys and sport supplies (89)","BTOYRA3",1.973,1.667,1.686,1.434,1.264,1.317,1.408,1.533,1.634,1.649,1.822,1.888,2.233,2.15,2.063,2.013,2.267,3.442,3.602,3.936,4.234,5.076,5.66,5.825,5.751,5.595,6.167,6.422,6.653,6.789,7.591,7.83,8.305,8.881,9.45,10.178,10.941,12.372,12.874,13.84,14.436,14.823,15.374,17.089,19.192,20.24,20.908,22.687,24.383,26.601,28.237,27.986,28.867,29.72,31.586,35.011,36.795,39.026,42.327,44.347,47.623,49.958,52.241,54.476,57.64,61.839,66.146,69.01,72.482,80.464,91.205,100,106.07,114.882,123.946
"50","43","    Stationery and writing supplies (35)","BSTYRA3",6.335,6.05,5.487,3.941,4.444,5.42,6.501,7.101,7.334,7.139,8.265,8.685,10.336,10.644,12.791,14.375,17.137,17.513,16.161,15.816,16.882,16.634,16.364,17.58,19.224,20.185,20.755,20.785,21.551,22.932,25.565,26.46,25.929,27.656,29.433,31.211,32.346,37.266,36.204,38.755,43.828,43.13,39.198,42.94,44.924,39.979,39.121,40.188,42.571,49.396,52.129,53.964,55.939,56.05,57.841,63.042,65.749,68.833,75.272,81.475,87.857,90.429,92.214,93.841,95.1,96.733,93.977,91.128,89.05,90.921,95.816,100,96.423,94.954,95.116
"51","44","    Net foreign remittances (111 less 113)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","    Magazines, newspapers, and sheet music (88)","BMAGRA3",23.719,22.839,21.533,19.549,19.608,20.552,21.167,22.561,23.753,22.839,24.33,25.669,27.616,29.73,32.434,32.948,34.983,38.378,40.32,40.754,40.396,40.939,42.19,42.839,43.268,43.925,44.191,43.955,43.091,42.312,42.559,42.906,39.509,44.323,45.417,44.406,46.134,52.628,52.301,51.785,52.803,55.031,55.23,57.724,62.264,63.449,59.602,61.167,62.848,69.551,77.638,77.646,76.547,74.403,73.502,77.065,73.941,73.738,76.34,80.663,81.009,83.473,80.528,77.176,79.847,84.719,87.856,90.39,94.59,95.256,97.201,100,97.823,96.93,98.608
"53","46","    Flowers, seeds, and potted plants (95)","BFLORA3",7.156,6.286,5.519,5.703,5.354,4.796,4.51,6.198,5.176,6.743,8.9,8.551,10.131,7.898,7.162,7.504,8.494,9.065,8.392,7.175,8.113,8.602,9.274,8.805,10.035,10.803,9.928,11.374,11.602,10.873,12.125,13.368,13.171,15.135,17.456,18.427,21.641,23.888,24.108,25.489,25.984,25.606,26.169,28.459,29.433,30.925,29.745,31.473,29.385,34.633,37.404,37.437,38.718,39.543,41.207,44.715,46.468,50.982,58.385,60.652,64.092,63.927,61.898,65.025,70.109,74.144,75.337,83.382,90.391,93.017,99.589,100,97.118,96.743,101.565
"54","47","Services","B005RA3",8.399,8.19,7.93,7.431,7.213,7.488,7.721,8.104,8.38,8.289,8.541,8.848,9.296,9.716,10.252,10.598,10.947,11.947,12.451,12.927,13.26,13.925,14.639,15.283,15.933,16.578,17.448,18.323,19.03,19.752,20.794,21.72,22.626,23.747,24.83,26.345,27.749,29.129,30.552,32.148,33.691,35.038,36.4,38.469,40.274,41.216,42.743,44.475,46.392,48.558,50.044,50.921,51.773,52.865,55.76,58.026,61.303,63.111,65.843,68.506,70.555,72.583,73.812,76.379,78.54,80.854,82.973,85.42,88.27,92.011,95.652,100,102.403,105.085,107.418
"55","48","  Housing","B174RA3",7.778,7.681,7.599,7.454,7.315,7.723,7.797,7.931,8.066,8.189,8.381,8.639,9.134,9.583,9.969,10.363,10.606,11.516,12.502,13.179,13.993,14.951,16.039,17.072,17.984,18.854,19.799,20.781,21.844,22.866,24.104,25.368,26.596,28.102,29.404,30.817,32.527,34.015,35.556,37.358,39.367,40.815,42.621,45.08,47.354,49.827,51.282,52.841,54.153,56.787,59.086,60.905,62.496,62.758,64.075,66.834,69.467,71.301,73.513,75.815,77.778,79.703,81.48,82.74,83.637,86.375,88.185,89.533,91.656,94.276,97.228,100,102.71,105.517,106.915
"56","49","    Owner-occupied nonfarm dwellings--space rent (24)","BOWNRA3",5.192,5.047,4.897,4.722,4.769,4.828,4.843,4.878,4.901,4.93,5.019,5.155,5.535,5.969,6.425,6.953,7.424,8.355,9.305,10.043,10.844,11.836,12.933,14.026,14.97,15.953,17.069,18.192,19.256,20.343,21.629,22.933,24.11,25.572,26.76,28.049,29.642,31.06,32.511,34.07,36.045,37.46,39.341,41.603,43.811,46.752,48.286,49.808,51.242,54.577,57.51,59.838,61.128,61.15,62.363,64.876,66.659,68.231,70.558,73.244,75.684,77.447,79.66,80.796,81.982,84.911,86.47,87.994,90.196,93.182,96.629,100,103.92,106.622,109.013
"57","50","    Tenant-occupied nonfarm dwellings--rent (25)","BTENRA3",12.521,12.615,12.803,12.852,12.183,13.562,13.752,14.111,14.546,14.98,15.462,16.017,16.783,17.327,17.327,17.218,16.627,17.404,18.137,18.955,20.036,21.005,22.149,23.1,23.992,24.585,25.076,25.65,26.721,27.799,29.069,30.352,31.93,33.691,35.369,37.222,39.27,41.028,42.746,45.356,47.672,49.405,51.679,54.147,56.764,58.186,59.358,60.758,61.852,62.938,63.605,64.639,67.203,68.745,70.415,73.727,79.143,82.046,83.458,84.616,85.245,87.845,88.646,89.546,90.039,92.254,95.125,95.39,96.143,97.93,99.606,100,101.396,104.946,103.524
"58","51","    Rental value of farm dwellings (26)","BFARRA3",70.924,70.646,70.335,69.854,69.419,68.953,68.917,68.962,69.2,69.151,69.397,70.027,70.842,71.204,71.293,71.238,71.022,72.696,73.958,75.645,77.132,78.325,79.369,80.092,80.755,81.256,81.403,81.769,82.042,82.221,82.65,82.852,83.412,83.805,84.223,84.765,85.094,85.632,86.267,86.813,87.249,87.449,87.655,88.024,88.074,89.149,89.633,90.06,91.019,91.739,91.637,91.966,91.736,91.212,90.777,90.423,90.046,89.841,90.02,89.63,89.849,90.241,90.271,90.146,89.829,90.233,90.332,90.78,93.788,95.761,98.127,100,101.414,105.134,106.035
"59","52","    Other (27)","BOHORA3",7.547,7.279,6.899,6.229,6.111,6.998,7.547,8.202,8.592,8.534,8.785,9.337,9.958,9.745,11.159,12.092,13.266,14.337,17.868,16.127,15.276,15.357,15.934,16.45,16.969,17.485,18.113,19.021,20.186,19.785,20.118,20.883,21.205,22.402,23.97,25.458,27.973,29.63,32.266,34.43,36.066,37.155,35.92,42.891,45.559,46.653,48.827,52.397,53.051,53.171,54.644,53.152,55.138,53.118,54.719,59.165,61.699,62.706,67.352,69.937,71.595,73.039,73.498,78.28,77.292,80.268,81.269,85.077,91.693,93.116,95.015,100,92.828,93.708,94.015
"60","53","  Household operation","B186RA3",7.836,7.852,7.574,6.991,6.689,7.152,7.474,7.973,8.42,8.318,8.797,9.295,9.563,10.161,10.07,10.402,10.856,11.203,12.011,12.596,13.079,14.228,15.138,15.59,16.329,16.954,18.623,19.924,20.702,21.421,22.318,23.402,24.233,25.414,26.489,27.77,29.165,30.646,32.199,33.575,35.329,36.587,37.207,39.172,41.111,41.566,43.5,45.281,47.666,50.199,51.745,53.097,52.598,53.024,54.72,56.141,58.43,59.428,62.138,64.962,67.637,68.28,69.173,71.11,74.612,77.751,80.204,83.892,87.247,91.535,95.326,100,100.22,101.034,102.597
"61","54","    Electricity (37)","BELCRA3",2.061,2.28,2.421,2.452,2.416,2.586,2.769,2.98,3.212,3.448,3.674,3.981,4.248,4.505,4.636,5.002,5.336,6.178,6.936,7.782,8.687,9.871,10.955,12.022,13.125,14.309,15.376,16.68,17.885,18.887,20.057,21.219,22.251,23.717,24.946,26.477,27.898,29.739,31.558,33.895,36.182,38.617,40.316,43.024,45.661,46.777,49.906,52.247,57.015,59.771,60.883,63.581,63.163,63.617,67.571,68.125,70.445,71.142,74.452,77.606,78.706,79.266,81.553,80.144,84.86,86.773,88.095,89.687,89.569,95.709,96.53,100,97.744,102.149,103.739
"62","55","    Gas (38)","BNGSRA3",12.506,13.195,13.341,13.195,12.39,12.448,12.713,13.107,13.561,13.239,13.487,14.468,14.685,15.941,16.763,17.316,18.531,20.178,22.944,24.679,25.497,29.004,33.084,35.419,37.205,41.353,44.741,49.052,51.405,54.195,57.111,59.981,63.283,67.979,70.834,73.849,76.724,79.736,83.614,86.208,90.373,91.576,92.359,96.201,93.157,91.876,94.859,96.037,92.841,96.042,94.528,94.164,90.59,92.733,90.008,90.212,91.404,86.405,87.043,93.252,96.904,89.49,92.93,95.507,99.032,98.815,98.649,106.989,104.481,94.445,96.056,100,99.692,98.122,100.222
"63","56","    Water and other sanitary services (39)","BWATRA3",11.257,11.966,11.966,11.595,12.293,13.561,13.351,13.986,14.197,14.026,14.877,15.203,15.759,16.247,16.541,16.82,16.969,18.089,18.692,19.331,20.076,20.581,21.312,21.711,22.227,22.555,22.613,23.5,23.288,22.387,24.362,26.746,28.014,29.843,32.653,34.084,35.559,35.936,36.164,37.479,40.075,42.572,43.311,47.068,49.42,51.649,52.245,51.676,51.782,52.39,55.87,58.419,58.1,57.711,59.839,63.893,68.406,72.651,75.765,77.66,80.558,80.873,79.706,78.208,81.955,85.653,88.861,91.75,93.773,95.216,98.428,100,100.969,102.29,103.985
"64","57","    Telephone and telegraph (41)","BTELRA3",1.273,1.281,1.226,1.064,0.968,0.997,1.069,1.163,1.251,1.251,1.331,1.419,1.595,1.795,2.051,2.205,2.395,2.595,2.73,2.961,3.133,3.266,3.574,3.845,4.117,4.347,4.825,5.201,5.571,5.772,6.064,6.441,6.864,7.266,7.852,8.446,9.344,10.319,11.145,12.115,13.307,14.3,14.919,15.909,17.642,18.593,20.554,22.183,23.853,26.121,28.25,29.774,30.416,31.38,32.525,32.755,35.067,36.44,39.323,41.702,44.573,46.635,48.747,53.988,56.861,60.391,63.531,69.16,77.079,83.117,91.428,100,104.759,104.482,106.699
"65","58","    Domestic service (42)","BDMSRA3",198.313,185.016,164.466,141.027,133.94,151.741,158.754,168.997,178.51,162.768,174.579,183.161,173.001,176.249,146.185,139.514,137.935,127.176,136.026,133.718,133.322,145.18,142.854,131.347,128.958,121.622,144.053,150.651,147.652,151.113,147.483,148.473,144.249,143.216,141.343,139.849,135.311,129.875,130.366,123.998,117.352,109.873,104.936,101.666,98.908,85.934,80.621,83.617,86.169,87.076,77.244,68.417,63.347,63.516,63.142,71.263,69.01,72.287,71.201,75.094,79.624,82.509,76.681,82.587,85.969,88.863,92.503,90.232,93.518,105.592,96.77,100,93.656,89.731,96.564
"66","59","    Other (43)","BOPORA3",10.023,10.119,10.098,8.965,8.281,8.557,8.975,9.865,10.394,10.977,11.406,11.539,12.429,13.637,15.152,17.086,18.713,18.868,18.787,19.312,18.907,20.055,20.966,21.458,22.68,22.913,24.25,25.518,26.375,26.951,28.474,29.674,30.214,31.163,30.982,32.868,34.964,37.412,39.483,40.105,41.67,41.801,40.713,43.046,45.287,45.229,44.217,44.761,47.778,50.425,54.728,55.936,55.186,52.414,54.903,60.213,62.786,65.249,67.786,68.414,72.214,74.024,69.507,70.106,72.302,79.034,82.662,84.809,88.417,94.4,98.511,100,96.576,95.754,93.721
"67","60","  Transportation","B177RA3",10.03,8.862,7.879,6.96,6.947,7.358,7.56,8.439,8.909,8.52,9.19,9.802,10.919,11.798,14.376,15.6,16.815,19.836,19.601,19.631,18.862,18.661,20.336,20.582,21.168,20.873,21.744,22.566,22.96,22.589,23.507,24.28,24.592,25.506,26.61,27.97,29.16,30.807,32.509,34.464,36.336,37.339,38.665,41.062,42.217,42.542,42.939,44.223,47.395,48.951,50.411,47.907,46.503,45.907,48.878,53.564,58.445,60.671,63.109,66.269,67.219,67.189,63.98,66.677,69.513,74.978,79.578,84.978,90.367,93.39,97.305,100,98.872,96.092,95.346
"68","61","    User-operated transportation","B487RA3",4.187,3.599,3.218,2.853,3.166,3.416,3.469,3.894,4.107,3.964,4.528,4.916,5.566,4.206,3.911,4.638,6.06,9.803,10.559,11.245,11.906,12.699,15.004,15.406,16.416,16.791,18.103,19.139,19.795,19.975,21.062,22.048,22.715,23.822,25.148,26.503,27.517,29.073,30.481,32.023,33.327,34.784,36.214,38.205,38.862,38.219,39.128,39.678,42.753,44.409,45.587,44.217,44.46,43.517,46.399,51.324,57.132,58.406,61.075,64.645,65.882,65.657,61.886,65.371,68.754,74.065,79.176,84.503,90.556,93.261,97.277,100,100.012,96.917,95.694
"69","62","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRA3",4.021,3.344,2.906,2.527,2.882,3.167,3.14,3.571,3.718,3.54,4.094,4.459,5.095,3.604,3.35,4.115,5.622,9.698,10.305,10.925,11.53,11.927,12.735,13.165,14.159,14.136,15.182,15.854,16.538,16.925,17.931,18.796,19.369,20.344,21.495,22.685,23.712,25.059,26.106,27.323,28.681,30.268,31.747,33.046,32.91,32.003,33.137,34.53,37.33,38.338,39.463,37.817,37.899,36.506,39.745,45.262,51.572,52.541,54.964,58.899,60.158,59.602,55.418,59.286,63.378,69.606,75.668,82.042,89.093,92.095,96.684,100,99.69,95.567,94.017
"70","63","      Other user-operated transportation (76+77)","B2631A3",4.749,4.851,4.892,4.622,4.73,4.823,5.284,5.685,6.248,6.279,6.923,7.442,8.19,7.459,6.937,7.428,8.29,9.984,11.559,12.582,13.506,16.225,26.007,26.276,27.404,29.603,32.19,35.01,35.488,34.625,36.101,37.667,38.791,40.529,42.693,44.837,45.789,48.355,51.468,54.565,55.595,56.4,57.591,62.908,67.496,68.305,67.773,63.36,67.577,72.707,74.001,74.522,75.71,77.91,77.756,77.991,79.814,82.612,86.267,87.498,88.499,89.937,88.512,89.982,90.152,91.577,92.784,93.942,96.083,97.636,99.504,100,101.249,102.115,102.118
"71","64","    Purchased local transportation","B477RA3",166.478,155.368,142.444,127.622,118.258,120.569,123.422,130.831,131.756,127.066,130.226,137.044,147.194,190.823,237.883,257.368,254.614,266.947,252.448,241.11,209.345,189.894,176.179,168.817,161.59,146.788,139.009,136.532,132.744,123.66,123.019,122.763,115.977,113.247,111.028,107.591,106.342,104.591,103.26,106.259,110.695,108.406,110.002,110.703,110.355,113.606,114.761,116.363,118.303,113.389,107.713,91.755,81.127,78.614,82.768,86.924,89.75,87.511,82.905,83.666,83.996,89.222,88.41,87.225,88.129,91.835,91.887,89.633,89.587,96.665,98.907,100,99.022,96.201,91.024
"72","65","      Mass transit systems (79)","BSTRRA3",192.28,177.823,161.573,142.24,131.023,136.451,140.729,151.175,152.937,147.053,152.008,157.451,167.456,212.557,266.687,279.697,284.699,281.349,269,254.826,227.281,202.867,182.857,172.081,161.982,144.363,135.428,130.064,123.583,114.128,114.035,113.452,108.839,106.405,104.06,101.893,100.194,97.849,95.086,91.791,90.916,82.881,79.788,76.885,78.115,84.63,82.095,79.585,81.284,85.759,89.297,80.756,74.128,76.231,75.677,73.873,73.935,73.243,72.086,77.089,77.955,82.252,83.405,83.321,83.858,88.194,86.547,85.191,85.44,91.237,96.046,100,98.748,94.065,86.196
"73","66","      Taxicab (80)","BTAXRA3",98.625,95.514,91.188,90.07,86.668,77.578,76.071,74.807,73.543,71.988,70.773,80.397,90.459,128.227,155.982,189.084,168.474,213.096,195.695,191.174,152.92,145.775,147.087,148.351,148.837,142.615,138.532,143.879,147.524,140.185,138.05,138.734,126.308,122.964,121.292,114.605,114.681,114.681,117.379,137.518,156.555,171.945,188.056,199.836,194.744,188.588,199.38,211.768,214.314,185.483,157.044,122.54,101.453,86.092,103.924,125.922,137.169,130.142,114.793,102.772,101.529,109.492,102.897,98.504,100.49,102.333,107.402,102.506,101.604,112.376,107.189,100,99.813,102.383,104.992
"74","67","    Purchased intercity transportation","B480RA3",6.19,5.07,4.117,3.468,3.476,3.963,4.229,5.368,6.379,5.864,6.35,6.723,7.859,10.743,16.356,16.619,17.069,15.51,13.819,13.022,11.603,10.711,11.974,12.694,12.802,12.344,12.836,13.307,13.38,12.475,12.929,13.015,13.205,13.955,14.754,16.906,19.123,21.666,25.04,28.352,31.888,31.82,32.681,37.056,40.512,44.024,42.248,46.345,50.061,52.463,56.476,52.276,47.053,47.944,51.008,54.988,57.002,63.909,67.062,69.099,69.029,68.612,67.166,67.402,68.311,74.904,78.224,86.056,89.694,93.162,97.026,100,93.014,92.002,95.523
"75","68","      Railway (82)","BIRRRA3",663.892,539.942,425.06,329.528,340.713,399.666,407.224,527.849,597.987,507.896,535.407,558.383,607.963,847.4,1514.316,1497.991,1489.223,1195.672,1022.745,935.375,757.611,628.521,700.775,730.403,693.217,631.847,614.312,605.545,552.034,486.129,445.694,424.396,391.691,378.5,362.407,383.264,387.967,406.034,367.297,319.202,287.056,248.168,197.296,234.009,254.396,289.454,239.886,230.973,205.132,168.444,176.697,160.224,150.105,118.716,130.695,135.021,139.529,137.2,138.316,150.179,153.991,156.328,155,117.099,110.119,99.084,92.408,87.011,88.96,90.407,91.582,100,102.908,101.723,100.978
"76","69","      Bus (83)","BIBURA3",16.866,17.662,16.866,15.912,17.662,17.662,22.435,28.376,42.802,48.159,55.213,58.873,79.24,122.997,150.047,158.48,159.435,162.14,146.971,144.902,137.742,130.688,135.992,138.325,134.347,120.716,118.595,117.587,113.98,100.349,93.994,87.859,88.316,89.827,85.936,98.237,107.34,119.511,124.86,123.782,119.091,120.247,116.091,111.808,115.394,122.105,106.241,103.58,98.581,100.64,116.664,126.431,126.682,120.904,101.945,89.275,77.435,59.766,72.319,89.108,75.911,64.329,72.197,72.779,78.796,82.49,88.762,90.802,105.617,101.035,98.631,100,96.426,92.275,85.745
"77","70","      Airline (84)","BIAIRA3",0.025,0.025,0.025,0.042,0.042,0.067,0.095,0.127,0.127,0.145,0.201,0.322,0.406,0.371,0.371,0.484,0.866,1.378,1.407,1.364,1.541,1.905,2.516,2.99,3.523,4.008,4.76,5.379,6.075,6.117,7.225,7.749,8.179,9.027,10.192,11.977,14.076,16.199,19.871,23.999,28.377,28.447,29.944,34.677,38.06,41.394,40.416,45.142,49.571,52.305,55.635,50.564,44.893,46.298,50.483,55.849,58.07,67.679,70.173,69.447,68.697,67.545,65.029,63.843,64.609,71.155,74.037,82.542,86.43,90.694,95.054,100,92.687,92.454,98.277
"78","71","      Other (85)","BTRORA3",7.512,5.045,4.106,4.474,3.351,3.848,3.793,4.29,4.29,3.793,3.848,3.646,3.977,2.891,3.351,3.222,3.848,3.535,3.646,3.351,3.167,2.891,2.891,2.891,3.167,3.038,3.167,3.351,3.351,3.351,3.54,3.466,3.776,4.13,4.1,4.425,4.882,6.342,8.923,10.206,11.711,12.551,13.245,15.442,18.112,19.808,19.749,22.05,25.147,27.527,31.732,29.959,27.115,28.244,30.36,30.656,36.106,36.792,39.959,51.553,60.208,67.992,69.27,79.783,80.217,88.967,94.179,101.345,100.52,102.65,106.231,100,92.761,89.556,87.642
"79","72","  Medical care","B494RA3",5.323,5.207,5.13,4.824,4.449,4.57,4.621,4.93,5.094,5.014,5.3,5.472,5.759,6.061,6.143,6.584,6.696,7.72,8.246,9.034,9.396,9.961,10.483,10.994,11.539,12.285,12.75,13.571,14.361,15.338,16.479,17.145,17.889,19.447,20.705,23.034,24.095,25.35,26.354,28.425,30.424,32.054,34.134,36.477,39.081,40.477,42.549,44.512,46.663,48.892,50.897,52.745,55.379,56.192,58.505,60.192,62.665,65.241,68.604,72.017,73.953,77.679,80.299,84.108,85.429,86.393,88.273,89.84,91.819,94.532,96.315,100,104.717,110.952,115.34
"80","73","    Physicians (47)","BPHYRA3",9.064,8.54,8.172,7.664,7.12,7.582,7.692,8.451,8.658,8.15,8.538,8.693,8.944,9.275,8.88,10.086,10.211,12.852,14.299,15.831,15.899,16.493,17.189,17.763,18.48,19.896,19.753,20.766,21.793,23.603,24.636,25.073,25.249,26.95,28.068,32.177,32.569,32.558,33.744,34.768,36.771,38.627,39.632,41.694,44.778,45.286,46.653,46.019,48.369,49.285,51.342,54.155,57.639,57.788,60.504,63.183,66.433,68.503,74.287,78.713,79.594,82.225,83.623,86.265,83.75,82.97,84.5,86.524,88.903,92.357,94.824,100,105.421,114.27,120.61
"81","74","    Dentists (48)","BDENRA3",16.079,15.024,14.314,12.994,11.596,12.074,11.522,12.426,12.7,12.4,13.588,14.182,15.369,15.853,15.828,15.586,16.173,19.007,18.019,19.849,19.488,20.159,20.485,21.957,23.328,25.558,26.866,28.134,29.557,30.584,30.662,31.268,32.43,33.863,33.479,37.932,38.975,39.781,42.737,44.508,48.337,51.558,51.088,53.926,60.989,62.459,64.078,67.69,70.012,72.225,72.191,72.12,77.303,77.308,78.701,79.479,81.895,83.255,86.175,85.725,86.219,86.523,84.709,87.729,87.724,89.406,91.689,92.3,93.994,95.809,97.087,100,103.811,107.334,107.122
"82","75","    Other professional services (49)","BOPSRA3",2.741,2.499,2.337,2.064,1.851,1.867,1.847,1.967,1.978,1.832,1.92,1.921,1.923,2.015,1.934,2.154,2.296,2.792,3.064,3.379,3.375,3.49,3.577,3.614,3.732,3.924,3.894,4.1,4.373,4.795,6.488,7.346,8.222,9.788,11.228,12.97,14.396,14.697,11.795,12.412,11.791,11.747,11.637,12.521,14.512,15.225,16.48,18.141,19.194,20.05,21.23,21.53,23.777,23.686,27.535,30.848,33.599,36.654,40.576,45.393,49.869,58.7,64.471,71.553,77.897,82.129,88.046,91.952,93.53,96.246,97.296,100,105.163,111.04,117.663
"83","76","    Hospitals and nursing homes (50)","BPHORA3",3.709,4.104,4.337,4.329,4.122,4.037,4.142,4.2,4.328,4.543,4.703,4.87,4.933,5.256,5.561,5.697,5.774,6.147,6.18,6.558,7.002,7.47,7.625,8.216,8.677,9.251,9.87,10.627,11.291,12.274,13.406,14.04,14.92,16.408,17.851,19.292,20.432,22.686,25.112,28.186,31.062,32.99,37.07,40.016,42.08,44.013,46.694,49.639,51.987,55.257,57.268,59.327,61.811,63.525,65.797,66.498,68.039,70.731,72.453,75.215,77.041,80.067,82.76,85.879,87.413,88.382,89.957,91.505,93.993,95.848,97.269,100,104.443,110.021,113.239
"84","77","    Health insurance (56)","BHINRA3",3.027,3.028,3.187,2.835,2.445,2.487,2.719,2.932,3.305,3.429,3.759,4.062,4.953,5.449,6.098,6.709,6.639,6.797,8.401,9.529,11.321,13.162,16.439,16.588,17.47,17.531,19.245,21.044,22.652,22.36,23.224,24.269,25.065,26.516,27.756,29.701,31.181,32.696,32.832,35.615,37.252,39.22,39.584,42.142,44.457,46.61,49.1,52.068,54.769,57.752,62.956,65.724,64.661,64.277,62.056,63.682,68.735,71.609,76.862,80.445,81.249,83.456,85.45,90.702,92.927,91.803,87.776,84.022,82.891,88.965,92.627,100,104.118,109.655,114.852
"85","78","  Recreation","B490RA3",7.041,6.991,6.824,5.577,5.332,5.759,6.104,6.697,7.133,6.761,6.959,7.516,7.92,8.58,9.168,9.039,9.586,11.086,10.516,10.223,10.056,10.049,10.133,10.303,10.416,10.637,11.122,11.652,11.334,11.285,12.016,12.699,13.324,14.013,14.62,15.167,15.578,16.325,16.755,17.805,18.808,19.568,20.286,21.336,23.086,24.714,26.062,27.91,29.652,31.073,32.537,34.087,37.086,39.687,42.677,44.825,48.113,49.939,51.862,56.674,60.696,63.593,63.971,68.576,72.834,76.341,81.706,85.227,87.843,91.309,96.106,100,102.471,104.945,108.225
