"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"74","67","        Nursing homes (52)","DNRSRA3",0.797,0.882,0.932,0.93,0.886,0.867,0.89,0.902,0.93,0.976,1.011,1.046,1.06,1.129,1.195,1.224,1.241,1.321,1.328,1.409,1.504,1.605,1.638,1.765,1.864,1.988,2.121,2.283,2.426,2.637,2.923,5.06,6.325,7.443,9.195,12.048,12.103,14.385,16.732,19.521,23.083
"75","68","    Transportation services","DTRSRA3",10.705,9.441,8.341,7.299,7.314,7.76,7.942,8.89,9.366,8.928,9.62,10.27,11.452,12.617,15.655,17.01,18.285,21.57,21.103,21.019,20.006,19.42,20.105,20.347,20.864,20.208,20.867,21.444,21.833,21.516,22.362,23.089,23.371,24.245,25.301,26.686,28.043,29.662,31.239,33.234,35.459
"76","69","      Motor vehicle services","DMVSRA3",4.472,3.737,3.261,2.846,3.232,3.54,3.531,4.007,4.186,3.999,4.613,5.021,5.725,4.107,3.825,4.667,6.324,10.779,11.483,12.182,12.861,13.378,14.565,15.026,16.129,16.178,17.39,18.198,18.943,19.325,20.403,21.411,22.138,23.287,24.639,26.082,27.354,28.966,30.228,31.791,33.511
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",6.396,5.319,4.621,4.02,4.583,5.037,4.994,5.68,5.914,5.631,6.511,7.092,8.104,5.733,5.329,6.546,8.943,15.426,16.391,17.378,18.34,18.971,20.257,20.939,22.521,22.485,24.149,25.216,26.305,26.921,28.57,29.96,30.885,32.428,34.27,36.156,37.782,39.959,41.615,43.529,45.662
"78","71","        Other motor vehicle services (61)","DOVSRA3",0.891,0.781,0.708,0.635,0.698,0.744,0.778,0.868,0.932,0.913,1.035,1.12,1.254,1.002,0.946,1.096,1.388,2.12,2.314,2.469,2.616,2.854,3.622,3.682,3.898,4.039,4.366,4.639,4.757,4.743,4.822,5.088,5.378,5.735,6.121,6.639,7.148,7.635,8.087,8.849,9.664
"79","72","      Public transportation","DPUBRA3",24.646,22.291,19.798,17.346,16.495,17.25,17.868,19.874,21.021,20.016,20.86,22.042,24.275,32.261,43.237,45.691,45.79,45.601,42.221,40.167,35.167,32.096,31.63,31.373,30.562,28.347,27.738,27.778,27.355,25.507,25.825,25.93,25.274,25.561,25.985,27.215,28.71,30.303,32.478,35.303,38.5
"80","73","        Ground transportation (63)","DGRDRA3",97.115,87.849,78.014,68.238,64.896,67.757,70.078,77.856,82.381,78.357,81.464,85.656,94.13,125.823,169.171,178.384,177.145,174.425,161.006,153.071,132.701,119.375,115.577,113.122,108.381,98.431,94.059,92.613,89.277,82.13,80.572,79.634,75.955,74.776,73.361,73.632,74.218,75.17,74.896,76.199,78.343
"81","74","        Air transportation (64)","DAITRA3",0.025,0.025,0.025,0.04,0.04,0.062,0.087,0.115,0.116,0.13,0.181,0.286,0.361,0.33,0.33,0.429,0.764,1.213,1.238,1.201,1.355,1.674,2.209,2.623,3.09,3.513,4.172,4.714,5.323,5.361,6.334,6.795,7.172,7.914,8.936,10.499,12.335,14.196,17.412,21.037,24.884
"82","75","        Water transportation (65)","DWATRA3",0.279,0.188,0.153,0.166,0.125,0.143,0.141,0.16,0.16,0.141,0.143,0.136,0.148,0.108,0.125,0.12,0.143,0.131,0.136,0.125,0.118,0.108,0.108,0.108,0.118,0.113,0.118,0.125,0.125,0.125,0.132,0.126,0.138,0.154,0.15,0.162,0.176,0.229,0.326,0.373,0.429
"83","76","    Recreation services","DRCARA3",6.092,5.996,5.834,4.745,4.548,4.991,5.307,5.873,6.275,5.943,6.129,6.611,7.002,7.614,8.21,8.092,8.578,9.909,9.387,9.106,8.905,8.921,9.023,9.174,9.281,9.469,9.905,10.387,10.043,9.962,10.673,11.263,11.745,12.314,12.815,13.337,13.835,14.67,15.166,16.119,17.077
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",16.865,16.73,16.428,13.15,12.731,13.72,14.454,15.897,16.798,15.968,16.398,17.604,18.527,20.519,22.145,21.015,22.065,25.49,23.965,23.127,22.457,21.783,21.349,21.132,20.739,20.992,21.823,22.71,20.925,20.217,21.427,22.238,22.917,23.591,24.089,24.346,24.764,25.691,25.807,27.031,27.883
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",1.375,1.442,1.39,1.228,1.142,1.282,1.427,1.601,1.786,1.676,1.783,1.894,2.09,2.233,2.421,2.618,2.851,3.185,3.228,3.486,3.629,4.181,4.634,4.897,5.243,5.555,5.876,6.233,6.571,6.801,7.34,7.961,8.408,8.799,9.322,9.833,10.481,11.552,12.537,13.605,15.134
"86","79","      Gambling (91)","DGAMRA3",0.705,0.68,0.618,0.476,0.478,0.773,0.918,1.063,1.256,1.214,1.246,1.595,1.642,1.594,1.697,2.383,2.659,3.279,2.962,2.584,2.449,2.509,2.732,3.09,3.303,3.237,3.367,3.588,3.679,3.755,4.088,4.384,4.647,5.256,5.627,6.24,6.476,6.713,7.042,7.345,7.67
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",2.633,2.02,1.718,1.648,1.365,1.577,1.638,1.89,2.029,1.8,1.862,1.876,2.098,1.888,1.991,2.014,2.219,2.452,2.505,2.419,2.322,2.345,2.368,2.484,2.722,2.865,3.176,3.402,3.613,3.767,4.328,4.654,5.072,5.674,6.316,7.363,8.23,9.48,9.997,11.39,12.557
"88","81","    Food services and accommodations","DFSARA3",9.016,9.189,9.615,9.404,8.48,9.636,10.354,11.769,13.351,13.463,14.655,15.508,17.238,18.972,22.478,25.667,28.874,26.019,22.903,22.153,22.387,22.605,24.693,25.875,26.831,26.752,27.423,28.227,28.553,28.128,28.715,29.017,29.111,30.156,30.91,32.491,34.813,36.544,36.168,38.414,39.247
"89","82","      Food services","DFSERA3",9.6,9.828,10.364,10.2,9.137,10.377,11.147,12.707,14.485,14.619,15.968,16.893,18.82,20.829,24.71,28.268,31.827,28.501,24.722,23.99,24.316,24.558,26.89,28.195,29.243,29.111,29.827,30.668,30.941,30.489,31.059,31.277,31.33,32.342,32.995,34.658,37.058,38.862,38.229,40.578,41.411
"90","83","        Purchased meals and beverages (102)","DPMBRA3",9.203,9.438,10.024,9.882,8.774,10.006,10.757,12.31,14.06,14.225,15.58,16.456,18.049,19.179,21.517,23.501,26.667,26.546,23.598,23.018,23.359,23.614,25.387,26.55,27.663,27.636,28.463,29.36,29.64,29.228,29.943,30.216,30.196,31.201,31.905,33.618,35.972,37.522,36.752,39.267,40.177
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",24.837,24.883,24.088,23.223,23.223,25.102,26.681,29.009,32.213,31.487,33.101,35.821,47.903,72.437,114.068,155.573,170.548,88.067,60.892,55.913,55.948,55.96,72.147,77.173,77.15,74.383,72.123,71.304,71.338,69.632,65.606,64.064,66.441,67.657,66.649,66.711,70.516,80.257,83.936,80.995,79.394
"92","85","      Accommodations (104)","DACCRA3",4.563,4.401,4.171,3.766,3.695,4.231,4.563,4.959,5.194,5.16,5.311,5.645,6.021,5.891,6.747,7.311,8.021,8.668,10.803,9.75,9.236,9.285,9.634,9.945,10.259,10.571,10.951,11.5,12.204,11.962,12.682,13.584,13.975,15.295,16.829,17.871,19.722,21.002,22.582,24.177,25.069
"93","86","    Financial services and insurance","DIFSRA3",5.524,5.048,4.715,4.514,4.842,4.444,4.825,5.012,5.093,4.932,5.066,5.083,5.188,5.023,5.32,5.347,5.521,5.917,6.38,6.691,6.872,7.684,8.584,8.605,8.944,9.564,10.34,10.869,11.183,11.529,11.762,12.233,12.894,12.874,13.327,14.265,15.208,15.732,16.514,17.365,17.611
"94","87","      Financial services","DFNLRA3",4.123,3.395,2.831,2.409,2.712,2.235,2.37,2.621,2.618,2.35,2.342,2.301,2.296,2.261,2.562,2.526,2.798,3.174,3.054,3.176,3.126,3.564,3.632,3.662,3.834,4.297,4.627,4.632,4.686,5.03,5.335,5.405,5.903,5.666,5.815,6.266,6.794,7.13,7.84,8.223,8.273
"95","88","        Financial services furnished without payment (107)","DIMPRA3",3.848,3.762,3.603,3.405,3.198,3.086,3.211,3.353,3.452,3.387,3.437,3.502,3.543,3.581,3.579,3.402,3.44,4.046,4.162,4.2,4.165,4.292,4.381,4.565,4.831,5.061,5.304,5.399,5.461,5.656,5.711,6.071,6.258,6.352,6.762,7.182,7.36,7.514,7.868,8.625,9.388
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",4.462,3.033,2.099,1.537,2.126,1.486,1.614,1.917,1.843,1.457,1.413,1.305,1.269,1.185,1.708,1.79,2.277,2.442,2.069,2.283,2.217,3.03,3.077,2.923,2.993,3.879,4.405,4.26,4.312,4.958,5.716,5.334,6.416,5.638,5.468,6.021,7.112,7.768,9.139,9.041,8.055
"97","90","      Insurance","DINSRA3",10.354,10.837,11.361,11.968,12.379,12.234,13.478,13.426,13.804,14.048,14.688,14.92,15.425,14.791,15.058,15.315,15.104,15.519,18.223,19.225,20.315,22.41,26.644,26.611,27.531,28.498,30.907,33.748,35.174,35.186,34.81,36.986,37.852,39.07,40.726,43.36,45.58,46.576,46.87,49.398,50.483
"98","91","        Life insurance (110)","DLIFRA3",27.63,29.358,31.014,34.105,36.154,35.423,38.935,37.778,37.623,38.076,39.039,38.669,37.73,34.421,33.951,32.976,31.664,31.854,36.705,37.119,36.979,38.637,39.318,39.084,39.912,40.989,44.075,48.375,50.659,51.924,48.494,52.425,53.191,53.869,55.907,60.45,65.49,65.347,63.667,66.06,66.923
"99","92","        Net household insurance (111)","DFINRA3",13.823,13.955,13.926,12.363,11.42,11.8,12.378,13.604,14.335,15.139,15.73,15.913,17.141,18.807,20.896,23.563,25.806,26.02,25.909,26.633,26.075,27.657,28.914,29.592,31.278,31.599,33.443,35.191,36.373,37.168,41.682,49.199,54.186,57.703,57.244,54.495,48.146,42.832,42.756,43.521,45.063
"100","93","        Net health insurance (112)","DHINRA3",3.178,3.179,3.346,2.976,2.567,2.611,2.855,3.079,3.47,3.6,3.946,4.264,5.2,5.72,6.402,7.043,6.97,7.136,8.82,10.004,11.886,13.819,17.258,17.415,18.341,18.405,20.205,22.094,23.781,23.475,24.382,25.367,26.2,27.716,29.012,31.045,32.592,34.176,34.318,37.226,38.938
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",4.257,4.28,4.243,4.006,4.177,4.246,4.831,5.222,5.886,6.015,6.625,7.101,7.706,7.317,7.058,7.501,8.296,9.543,11.193,12.138,12.97,15.707,25.919,25.83,26.84,29.016,31.6,34.246,34.413,33.256,34.584,36.028,36.902,38.37,40.331,41.965,42.326,44.6,47.621,50.203,50.694
"102","95","    Other services","DOTSRA3",13.177,12.836,12.01,10.537,9.739,10.436,10.999,11.878,12.653,12.177,12.422,12.717,13.297,13.748,14.196,14.278,14.683,15.196,15.724,16.1,16.274,16.858,17.183,17.548,18.093,18.523,19.86,20.716,21.454,22.164,23.131,23.861,24.635,25.61,26.545,27.731,29.314,31.038,32.865,33.77,34.764
"103","96","      Communication","DCOMRA3",1.077,1.084,1.043,0.909,0.828,0.854,0.912,0.995,1.065,1.076,1.141,1.205,1.346,1.507,1.713,1.857,2.02,2.161,2.251,2.418,2.526,2.641,2.87,3.064,3.275,3.436,3.785,4.066,4.334,4.481,4.657,4.925,5.236,5.559,5.937,6.37,6.997,7.678,8.265,8.863,9.677
"104","97","        Telecommunication services (71)","DTCSRA3",1.072,1.08,1.033,0.897,0.815,0.84,0.901,0.98,1.054,1.054,1.122,1.195,1.344,1.512,1.728,1.858,2.018,2.186,2.3,2.495,2.639,2.751,3.011,3.239,3.468,3.662,4.064,4.381,4.693,4.862,5.108,5.425,5.781,6.12,6.614,7.116,7.873,8.695,9.391,10.209,11.214
"105","98","        Postal and delivery services (68)","DPSSRA3",21.882,22.029,21.937,19.513,18.028,18.594,19.474,21.476,22.542,23.889,24.92,25.187,27.174,29.652,32.847,37,40.542,40.913,40.692,41.72,40.926,43.41,45.4,46.421,49.112,49.652,52.467,55.26,57.107,58.308,56.635,58.258,60.942,65.955,65.346,68.956,72.359,76.227,80.308,78.908,82.889
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Education services","DTEDRA3",11.223,11.691,12.111,10.715,10.026,9.892,10.316,10.893,11.643,11.974,12.078,12.367,12.81,13.801,14.431,13.743,13.389,13.617,15.264,16.101,17.149,17.851,18.25,19.221,20.186,21.119,22.713,24.027,25.824,27.661,29.029,30.786,32.428,34.739,37.316,40.351,44.562,48.539,51.989,55.942,58.982
"108","101","        Higher education (97)","DHEDRA3",7.959,8.775,9.382,8.828,8.537,8.621,9.061,9.342,9.471,9.58,9.827,10.305,10.285,10.465,10.765,10.847,10.52,11.406,13.791,14.619,15.691,16.01,16.046,16.691,17.512,18.203,19.446,20.808,22.776,24.889,25.801,27.351,29.258,31.148,33.256,36.736,41.795,45.589,48.117,51.463,54.663
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",20.86,22.711,26.479,21.216,19.305,18.811,18.931,21.53,25.778,28.674,29.144,29.462,29.117,29.555,29.445,30.038,32.14,27.386,29.581,31.22,32.662,34.325,35.882,38.168,40.057,42.458,45.327,48.309,51.933,55.539,60.572,65.88,72.709,79.777,85.865,91.498,96.589,100.58,105.293,112.323,116.355
"110","103","        Commercial and vocational schools (99)","DVEDRA3",9.974,9.291,8.235,7.173,6.45,6.116,6.486,6.712,7.11,6.861,6.577,6.464,7.792,9.987,11.202,9.092,7.941,8.808,8.672,9.03,9.652,10.42,10.841,11.585,12.205,12.725,14.03,14.328,14.788,15.173,15.469,15.769,14.598,15.158,16.526,17.195,18.816,22.258,25.996,28.891,30.595
"111","104","      Professional and other services (121)","DPRSRA3",24.731,23.702,23.998,22.108,22.45,24.724,25.458,26.466,28.47,28.308,29.223,29.92,30.737,30.674,32.224,30.861,30.14,31.231,31.015,31.523,31.908,32.096,33.574,33.017,33.655,34.208,34.929,34.787,36.659,38.203,40.236,41.166,43.218,44.89,46.98,47.842,49.7,53.331,54.364,56.37,58.142
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",28.684,27.12,23.731,19.862,17.931,19.785,21.764,24.184,25.636,24.41,24.859,26.399,28.82,30.318,33.881,34.548,36.683,40.056,39.869,39.477,38.686,38.797,38.522,39.889,41.18,43.038,43.898,45.194,45.905,45.684,47.324,47.265,49.127,50.694,50.709,52.675,54.511,56.485,57.486,58.236,56.406
"113","106","      Social services and religious activities (120)","DSOCRA3",4.317,4.497,4.48,4.072,3.748,3.673,3.689,3.869,3.873,3.91,3.997,4.295,4.446,4.666,5.094,5.649,5.742,5.902,5.383,5.413,5.389,5.491,5.505,6.179,6.492,6.844,7.075,7.649,7.857,8.295,8.987,9.121,9.412,9.277,9.78,11.292,12.361,13.772,15.247,15.812,16.296
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",76.045,71.477,64.343,55.419,52.424,58.608,61.339,65.585,69.255,64.453,68.812,71.83,69.138,71.222,61.804,60.604,60.926,57.016,60.243,59.691,59.315,64.279,63.979,60.121,59.976,57.462,66.33,69.463,68.898,70.488,70.293,70.945,69.116,68.757,67.995,68.698,68.773,68.577,69.829,68.617,67.221
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",5.251,5.487,4.792,4.354,3.281,3.348,3.516,4.11,4.701,4.031,3.302,1.706,1.91,1.305,1.436,1.659,2.035,3.271,4.443,5.062,5.766,6.3,6.473,7.415,7.787,8.081,9.392,10.208,10.89,11.816,12.677,14.173,14.229,15.284,16.4,16.913,18.208,18.926,22.463,21.268,23.364
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",2.131,1.983,1.6,1.219,1.317,1.461,1.688,1.852,2.091,2.184,2.417,1.671,1.492,1.778,2.221,2.618,2.931,4.334,4.365,3.887,4.401,4.633,5.084,5.558,6.054,6.299,7.093,7.739,8.102,8.253,7.758,8.096,8.277,8.171,8.49,9.741,10.673,11.731,11.885,12.48,13.706
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",1.88,1.971,2.018,1.864,1.704,1.607,1.587,1.613,1.562,1.64,1.66,1.77,1.78,1.856,2.024,2.179,2.191,2.261,2.083,2.106,2.114,2.128,2.092,2.323,2.388,2.487,2.536,2.722,2.763,2.898,3.195,3.562,3.656,3.765,3.902,4.334,4.563,4.713,4.93,5.188,5.24
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.176,13.708,14.315,15.072,15.939,17.184,18.206,19.396,20.555,21.963,23.098
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.068,20.135,21.214,22.579,24.106,25.631,27.235,29.425,31.359,33.721,36.036
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
