"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"67","58","      Consumption expenditures","A542RY2",0.15,0.07,0.17,0.19,0,0.14,0.1,-0.01,0.09,0.08,0.04,0.14,0.05,-0.04,0.15,-0.07,0.11,0.07,-0.05,-0.1,0.14,0.12,0.01,0.11,-0.02,0.02,-0.02,-0.04,0.07,-0.01,0.02,0.06,0.09,0.13,0.08,0.05,0.03,0.06,0,0.12,0.14,0.13,-0.11,0.05,-0.08,-0.02
"68","59","      Gross investment","A798RY2",-0.04,-0.04,0,0.04,0,0,0.03,0.06,0.06,0.11,0.01,0.02,-0.02,-0.07,0,0.03,0.05,0.02,0.06,-0.01,0.04,0.06,0.05,0.05,0.02,-0.04,0.02,0.02,0,0.04,0.05,-0.01,0.02,0.05,0.03,0.01,0.01,0.03,0.01,0.02,0.03,0.06,0,-0.02,-0.04,-0.03
"69","60","  State and local","A829RY2",0.37,0.31,0.36,0.26,0.32,0.42,0.43,0.1,0.04,0.37,0.16,-0.02,-0.23,0.01,0.14,0.41,0.59,0.53,0.24,0.42,0.43,0.46,0.25,0.24,0.14,0.32,0.31,0.27,0.4,0.44,0.49,0.32,0.43,0.35,-0.05,-0.02,0,0.11,0.18,0.04,0.2,-0.35,-0.41,-0.15,0.06,0.11
"70","61","    Consumption expenditures","A991RY2",0.49,0.48,0.43,0.34,0.31,0.4,0.46,0.14,0.18,0.19,0.05,-0.03,-0.04,0.14,0.11,0.18,0.38,0.39,0.18,0.31,0.32,0.29,0.2,0.21,0.16,0.26,0.22,0.17,0.25,0.37,0.32,0.2,0.32,0.27,-0.06,0.01,0.06,0.07,0.16,0.02,0.21,-0.27,-0.27,-0.02,0.12,0.1
"71","62","    Gross investment","A799RY2",-0.12,-0.17,-0.07,-0.08,0.02,0.02,-0.02,-0.04,-0.14,0.19,0.11,0.01,-0.19,-0.12,0.03,0.22,0.21,0.14,0.06,0.11,0.11,0.16,0.05,0.03,-0.02,0.06,0.09,0.1,0.16,0.06,0.17,0.12,0.11,0.09,0.02,-0.03,-0.06,0.04,0.03,0.02,-0.01,-0.08,-0.14,-0.12,-0.06,0.01
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Software development expenditures are included in software investment on line 38.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
