"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"28","20","    Financial services and insurance","DIFSRA3",17.316,17.532,17.634,17.96,17.903,18.108,18.384,18.65,18.958,18.933,18.906,18.919,19.589,19.754,20.256,20.521,20.929,21.106,21.234,21.455,20.968,21.278,21.953,22.571,23.457,23.683,23.77,24.157,24.541,24.816,25.197,25.695,26.039,26.313,26.787,27.358,27.535,28.186,28.096,28.086,28.005,29.081,29.246,29,29.271,28.576,29.135,29.812,29.308,29.041,28.603,28.901,29.43,30.24,31.534,33.715,35.141,35.558,36.216,35.964,35.359,35.667,36.465,36.73,38.772,39.621,40.581,40.862,41.031,41.47,41.949,42.828,44.111,44.196,44.244,44.122,44.768,44.874,45.308,45.574,46.913,47.481,47.849,48.015,48.299,48.413,48.766,49.183,51.329,52.744,53.186,53.871,55.813,56.031,56.677,57.479,59.121,59.988,60.846,61.935,62.442,61.821,61.496,61.832,62.739,63.864,64.509,64.836,66.008,66.251,66.08,66.691,67.961,68.693,70.659,71.546,72.872,75.271,76.998,78.282,80.148,82.178,83.986,86.765,91.132,91.314,91.915,92.413,91.023,90.076,88.806,89.491,89.045,89.007,89.522,89.433,88.632,89.039,89.709,90.405,91.778,92.059,93.058,95.163,96.203,97.813,98.826,98.885,99.938,99.924,99.779,100.976,102.283,103.375,103.901,103.561,103.247,102.693,102.769,101.566,100.673,100.01,100.034,99.283,100.349,102.391,102.289,103.301,104.037,103.841,104.684,103.127,101.403,99.746,97.754,98.201,99.465,101.127,101.653,103.075,103.789,104.489,106.286,108.006
"29","21","    Other services","DOTSRA3",34.302,34.592,34.85,35.313,35.788,35.859,36.097,35.792,35.862,35.955,35.899,36.405,37.008,37.211,37.725,38.447,38.682,38.878,38.697,38.391,37.841,37.668,36.997,37.175,37.25,37.521,37.825,38.31,38.768,38.671,39.115,40.107,40.454,40.697,41.165,42.032,42.876,43.266,43.589,43.316,43.399,43.337,43.8,44.047,43.569,43.237,43.021,43.777,43.473,43.271,43.03,42.965,43.188,43.803,44.199,45.142,45.768,46.837,47.124,48.118,48.441,48.562,49.65,50.623,51.453,52.589,53.508,53.395,53.064,52.802,53.433,53.964,56.055,56.806,57.403,57.974,59.008,58.781,59.581,60.041,60.423,61.038,61.558,61.775,62.292,62.766,62.821,61.163,60.279,60.003,59.898,59.899,61.055,62.03,63.058,63.41,62.904,63.215,64.122,64.772,65.542,65.808,66.696,66.922,67.345,67.719,67.432,67.952,69.142,69.355,71.235,70.068,71.987,73.055,74.497,76.096,77.804,78.679,80.54,80.719,80.918,81.317,81.641,83.56,85.282,87.281,88.8,89.244,90.041,91.796,92.022,92.134,91.984,91.922,91.324,92.727,94.004,94.031,94.943,95.228,95.887,96.571,97.256,97.392,97.426,97.426,97.972,98.704,99.551,100.614,100.737,102.303,102.819,103.218,102.974,102.603,103.129,102.304,102.682,102.391,101.035,99.501,99.549,99.915,100.126,100.561,100.748,100.888,101.955,102.344,102.887,102.831,104.23,103.981,104.434,105.075,104.684,105.438,105.994,106.538,106.613,106.292,106.546,107.78
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.154,5.183,5.259,5.364,5.453,5.529,5.679,5.613,5.682,5.795,5.938,6.157,6.094,6.155,6.093,6.442,6.295,6.371,6.145,6.182,6.185,6.172,6.1,6.141,6.061,6.114,6.205,6.354,6.531,6.55,6.562,6.593,6.573,6.575,6.635,6.908,6.911,6.977,6.951,7.102,7.337,7.32,7.005,7.218,7.337,7.375,7.728,7.941,7.98,7.933,8.267,8.725,9.128,9.462,9.807,10.205,10.679,10.829,11.331,11.967,12.241,12.751,13.255,13.912,13.753,14.052,14.239,14.257,15.031,16.019,16.326,16.551,16.784,17.024,17.453,17.745,18.713,19.45,20.267,20.905,21.127,22.229,23.392,24.495,25.143,27.001,29.031,29.887,30.475,30.963,32.12,33.299,35.577,37.584,39.248,40.797,40.643,40.79,41.898,42.439,43.525,44.651,45.821,46.297,46.55,47.002,47.219,48.128,49.715,50.266,50.572,49.13,46.199,45.738,45.613,46.253,47.825,49.426,51.342,53.231,53.647,54.099,54.529,55.246,57.132,57.43,59.656,61.483,61.85,63.207,64.348,65.754,67.009,68.981,71.79,73.605,73.711,74.817,75.166,75.3,76.53,76.26,76.033,75.971,73.421,75.319,75.763,79.747,82.927,85.838,87.353,86.77,87.126,86.024,87.363,91.508,94.032,97.636,100.637,104.189,101.055,98.862,98.99,101.092,101.167,102.064,100.505,99.549,98.672,98.968,101.428,99.722,100.84,104.392,105.006,108.942,107.345,107.686,109.377,112.129,111.989,113.069,115.309,114.487
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",22.655,22.975,23.198,23.565,23.909,23.996,24.463,24.736,25.173,25.784,26.307,26.756,27.105,27.395,27.506,27.95,28.186,28.515,28.038,28.369,28.359,28.731,28.646,28.842,29.209,29.666,29.574,30.52,31.07,31.125,31.458,31.712,32.044,32.528,32.488,33.113,33.637,34.403,34.498,34.77,35.053,35.38,35.111,35.642,35.823,35.693,36.722,37.2,37.342,37.758,37.99,38.358,38.689,39.35,39.691,40.254,40.607,40.876,41.013,41.485,41.806,42.204,42.559,43.122,43.235,43.517,44.137,44.689,45.393,46.066,46.227,46.565,47.055,47.645,48.305,48.696,49.545,50.166,51.007,51.326,51.526,51.998,52.555,53.288,54.013,55.166,56.278,56.464,56.555,57.112,57.774,58.668,59.546,60.364,61.14,61.493,61.734,61.899,62.414,62.506,62.78,63.245,63.757,64.113,63.94,64.159,64.378,64.808,65.062,65.781,66.165,66.841,66.355,66.505,67.072,67.719,68.973,69.646,70.583,71.298,71.765,72.146,72.686,73.451,74.078,74.786,75.617,76.576,77.426,78.248,79.316,80.462,81.861,83.232,84.321,84.754,84.87,85.105,85.396,85.651,86.297,86.925,87.936,88.798,88.342,89.151,90.155,90.993,91.996,92.866,93.614,94.119,94.797,94.837,95.356,96.226,97.28,97.935,98.768,99.543,99.666,99.876,100.206,100.252,99.999,101.067,101.678,102.275,101.928,102.183,102.051,102.971,104.555,104.847,106.143,106.328,105.919,106.867,107.38,109.239,108.098,109.331,110.703,111.779
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",35.306,35.92,36.2,36.717,37.225,37.214,37.83,38.584,39.344,40.364,41.117,41.513,42.428,42.891,43.287,43.345,44.227,44.736,44.297,44.912,44.881,45.719,45.727,46.042,47.044,47.891,47.454,49.1,49.824,49.896,50.577,51.038,51.799,52.825,52.59,53.235,54.346,55.814,56.078,56.282,56.302,57.036,57.247,57.845,57.937,57.566,58.883,59.382,59.585,60.56,60.287,60.059,59.915,60.596,60.626,61.016,60.888,61.16,60.613,60.532,60.73,60.736,60.688,60.835,61.271,61.403,62.297,63.281,63.57,63.568,63.49,63.836,64.449,65.228,65.922,66.289,66.738,67.049,67.675,67.595,67.726,67.521,67.442,67.744,68.414,68.871,69.192,68.911,68.688,69.259,69.571,70.236,70.259,70.393,70.68,70.431,70.877,71.06,71.296,71.179,71.071,71.228,71.437,71.739,71.38,71.498,71.718,71.94,71.619,72.409,72.825,74.414,74.989,75.408,76.28,76.934,78.046,78.294,78.772,78.939,79.42,79.763,80.348,81.127,81.157,82.052,82.21,82.745,83.816,84.365,85.381,86.385,87.831,88.899,89.177,88.981,89.112,88.973,89.244,89.555,89.962,90.957,92.468,93.697,94.075,94.444,95.67,95.261,95.412,95.49,95.944,96.866,97.667,98.14,98.344,97.983,98.485,98.046,98.082,97.852,99.16,100.226,100.634,99.981,99.615,100.739,102.071,103.183,103.012,103.252,102.266,104.043,105.776,105.012,106.525,105.519,105.487,106.63,106.765,108.34,106.879,108.162,109.255,110.949
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",24.395,24.615,24.744,24.903,25.004,25.159,25.368,25.228,25.787,26.078,26.406,26.925,27.394,27.843,28.332,29.018,29.787,29.891,29.993,30.008,29.938,30.018,29.993,29.457,29.821,30.224,30.752,31.297,31.878,32.084,32.422,32.782,33.299,33.644,33.964,34.519,34.746,35.782,35.984,36.279,36.417,36.516,36.992,37.059,36.964,36.024,36.632,37.299,37.635,37.472,37.715,37.262,37.513,37.71,38.114,38.902,39.372,40.24,40.935,41.691,42.266,42.797,43.221,43.884,44.665,45.235,46.171,46.201,46.656,47.246,48.297,48.572,48.666,49.362,50.102,50.207,51.089,51.446,51.924,52.593,52.831,53.219,53.79,53.837,54.645,54.651,54.862,54.502,54.325,54.686,55.003,55.134,56.338,56.715,57.437,58.133,58.392,59.008,59.613,60.21,60.928,61.381,61.986,62.774,62.949,63.538,64.166,64.7,65.253,66.062,66.628,67.162,67.967,68.305,69.619,70.466,71.365,72.642,73.661,74.966,75.636,76.761,77.665,78.952,80.511,81.137,81.999,82.65,83.126,83.493,83.818,85.289,85.601,85.984,86.613,87.001,87.423,88.553,89.944,90.68,91.595,92.261,93.276,94.223,94.868,96.059,96.839,97.15,98.573,98.981,99.535,100.611,101.132,101.616,102.143,102.421,102.173,102.42,101.985,100.563,100.076,99.55,100.232,100.142,100.633,101.637,102.274,103.325,104.02,104.412,104.901,105.46,106.43,106.544,107.063,107.866,108.624,109.305,109.972,111.002,111.114,112.228,113.391,114.59
"35","26","  Energy goods and services \5\","DNRGRA3",60.49,60.55,61.421,62.6,63.474,63.141,64.224,63.997,65.194,66.106,65.638,66.013,66.981,68.136,69.066,72.318,72.099,72.161,73.17,71.951,65.658,68.352,69.729,71.59,70.288,72.139,71.792,70.598,72.277,73.105,74.767,77.996,76.765,75.091,77.513,77.533,79.007,79.233,78.425,78.505,80.867,77.768,76.033,75.718,74.959,73.465,73.302,73.762,71.98,73.336,72.781,73.093,74.429,73.636,72.444,72.294,72.834,74.159,76.185,76.79,75.133,77.049,76.345,76.786,78.976,76.688,77.831,78.72,77.973,79.419,80.166,81.317,80.22,83.065,81.807,82.275,84.349,84.641,85.447,85.732,86.324,85.103,85.404,89.572,83.392,85.608,86.678,84.563,83.854,87.317,86.948,85.324,85.315,87.671,87.691,89.196,89.364,89.181,92.14,91.873,92.613,93.211,91.71,90.249,90.996,93.447,94.657,93.65,96.491,96.079,93.884,95.114,94.378,95.691,95.627,98.265,96.765,99.638,100.277,97.017,98.619,100.827,101.598,99.243,96.598,100.011,100.657,103.049,101.857,98.009,98.982,98.313,98.402,100.816,101.336,103.037,101.955,101.751,101.226,102.853,103.14,103.29,101.901,103.113,104.155,103.391,103.456,103.623,100.341,102.126,103.563,103.104,104.292,103.591,103.359,100.83,101.436,100.23,96.286,99.394,101.241,100.137,99.368,99.253,100.083,100.164,101.469,101.788,99.959,97.91,98.92,97.148,94.386,97.6,98.249,95.106,98.972,98.079,96.747,97.7,101.961,98.067,96.155,98.55
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.135,53.891,54.568,54.679,55.586,56.025,56.49,57.161,57.353,57.575,58.121,58.354,58.808,58.923,59.072,58.577,58.149,58.622,58.864,58.783,59.821,60.13,60.729,61.399,61.568,62.086,62.697,63.198,63.866,64.383,64.912,65.656,65.723,66.309,67.029,67.509,68.048,68.867,69.168,69.968,70.634,70.909,72.155,72.991,73.618,74.907,75.787,76.91,77.745,78.918,79.839,80.962,82.003,82.818,83.542,84.336,84.718,84.833,85.203,86.577,86.848,87.354,88.027,88.327,88.675,89.821,91.163,91.881,92.749,93.274,94.164,95.148,95.92,96.972,97.751,97.953,98.931,99.449,100.073,101.092,101.693,102.026,102.49,102.629,102.322,102.533,101.587,100.114,99.873,99.582,100.281,100.264,100.796,101.538,102.252,103.436,103.971,104.224,104.633,105.149,105.945,106.413,107,107.482,108.531,108.887,109.372,110.274,110.62,111.247,112.065,113.259
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.774,50.509,51.347,51.452,52.28,52.678,53.157,53.879,54.038,54.399,54.959,54.952,55.77,55.673,55.785,55.371,54.932,55.268,55.547,55.624,56.785,57.049,57.729,58.37,58.562,59.153,59.669,60.214,60.87,61.345,62.004,62.859,62.914,63.503,64.264,64.821,65.269,66.183,66.644,67.472,68.212,68.503,69.879,70.708,71.492,72.761,73.673,75.022,75.802,76.954,77.893,79.149,80.547,81.183,81.963,82.659,83.183,83.457,83.853,85.437,85.772,86.218,86.924,87.105,87.486,88.823,90.252,91.008,91.903,92.493,93.529,94.498,95.185,96.417,97.238,97.346,98.686,99.066,99.668,100.753,101.354,101.846,102.399,102.715,102.348,102.654,102.023,100.272,99.886,99.537,100.343,100.234,100.71,101.651,102.352,103.565,104.308,104.782,105.225,106.012,107.115,107.357,107.969,108.785,109.636,110.209,110.835,111.757,111.849,112.951,114.081,115.328
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
