"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"37","29","          Durable goods","A998RA3",4.244,4.45,8.176,8.043,13.269,13.098,14.626,16.664,15.77,18.417,19.811,16.875,26.438,27.198,31.314,36.245,48.122,65.541,79.4,97.593,113.063,126.638,133.107,142.415,151.699,160.859,136.417,127.766,111.291,113.374,97.31,97.762,92.559,96.467,88.283,78.57,79.589,90.195,81.412,85.489,85.814,91.294,88.419,86.993,91.006,96.632,88.119,89.351,62.5,64.867,67.598,66.045,56.539,54.038,56.529,54.729,43.789,44.955,46.554,46.754,55.344,56.499,57.359,56.156,58.293,56.629,55.816,56.325,49.633,48.993,46.27,46.913,47.012,52.537,48.035,51.334,59.764,74.201,69.629,86.053,72.676,71.394,71.092,70.611,84.086,81.714,82.535,82.727,74.353,68.913,68.642
"38","30","          Nondurable goods","A725RA3",20.615,16.527,15.392,14.527,33.658,32.766,26.589,36.078,49.305,35.568,36.016,32.621,32.128,34.807,45.679,49.886,108.101,107.043,106.139,105.044,127.283,138.49,144.141,147.278,226.15,210.516,226.287,232.06,142.943,142.763,142.956,159.748,72.242,71.74,65.161,61.249,65.492,65.303,69.803,65.917,71.715,74.439,77.527,98.652,86.901,83.218,84.397,73.779,71.344,65.72,69.86,67.613,77.433,70.198,76.066,70.642,91.883,79.335,95.887,96.055,109.664,101.259,127.414,121.55,105.248,85.3,118.031,119.338,122.451,102.728,125.874,121.417,115.058,87.42,143.136,164.848,162.467,204.893,189.666,171.062,266.208,280.12,291.199,282.318,326.104,338.435,306.045,311.643,294.288,296.54,281.75
"39","31","          Services","A489RA3",1.021,2.302,3.981,3.204,3.05,4.175,3.826,4.844,4.257,5.606,5.879,5.071,4.962,4.899,4.77,5.485,11.54,11.517,17.66,16.858,16.81,19.72,20.199,20.985,15.1,12.713,15.529,19.144,16.479,13.306,13.739,9.047,18.233,11.63,19.185,19.545,17.412,20.377,17.098,22.167,24.558,26.029,26.654,25.953,25.911,26.727,23.64,25.482,21.005,21.596,23.912,24.803,24.804,25.099,27.043,26.831,27.492,28.657,28.725,28.609,29.139,29.727,29.319,30.827,30.69,32.026,32.907,32.23,31.443,30.388,29.074,26.006,25.619,27.737,29.38,33.054,32.519,31.721,37.693,36.139,39.025,41.889,41.287,41.937,43.079,42.214,40.051,41.489,38.036,40.425,38.257
"40","32","      Less: Own-account investment \4\","W088RA3",12.595,12.31,11.801,11.486,15.955,16.108,24.381,24.773,23.477,27.805,27.732,27.196,23.569,32.36,31.897,39.863,37.735,49.238,64.205,71.359,69.177,79.584,86.463,89.129,95.595,87.751,82.187,74.662,81.798,77.629,74.843,64.844,67.672,63.312,60.641,60.785,56.948,65.686,72.074,58.954,67.997,70.711,73.424,72.909,70.447,75.657,78.469,90.806,48.184,60.299,60.581,63.854,63.526,65.318,55.719,58.566,64.318,64.892,56.207,62.095,57.315,59.277,74.131,68.256,33.352,74.053,74.062,59.4,64.394,58.902,55.209,61.019,55.326,67.853,68.948,59.779,60.601,71.63,75.333,85.014,30.012,27.118,28.305,27.478,27.335,27.036,28.937,30.956,29.547,31.8,30.743
"41","33","            Sales to other sectors","W089RA3",2.243,2.199,2.229,0,18.017,20.834,20.201,20.53,9.955,10.027,9.25,9.309,8.223,8.092,7.971,7.662,347.451,3.764,2.834,2.811,3.747,0,3.651,2.752,3.613,6.18,3.619,3.631,5.393,10.471,7.893,11.679,63.843,62.749,69.695,68.271,44.07,73.237,36.921,45.726,55.88,48.291,82.675,83.526,92.487,105.193,48.011,111.649,45.761,42.307,39.038,48.689,56.151,59.925,56.805,46.213,37.844,55.161,37.026,31.844,39.119,62.462,46.059,51.973,28.562,41.047,47.15,44.502,49.497,43.857,57.152,65.422,58.068,60.244,96.239,82.758,140.644,193.304,110.84,89.795,67.562,87.61,25.408,29.314,25.339,27.93,22.081,33.641,25.069,35.401,25.133
"42","34","    Nondefense consumption expenditures \1\","A542RA3",13.505,19.967,18.608,14.406,15.612,23.514,26.878,27.414,28.569,31.521,27.687,26.115,25.65,26.413,16.388,19.904,17.499,18.983,19.469,17.813,21.846,20.686,22.156,21.962,25.717,31.553,27.585,28.107,30.091,24.757,24.733,29.04,25.091,27.346,28.241,25.988,24.928,24.942,21.034,22.756,25.599,20.484,19.537,25.114,18.459,23.612,22.567,26.006,27.638,34.592,34.911,33.967,27.069,28.115,28.846,30.934,25.574,28.988,29.538,29.689,30.953,33.457,37.024,37.213,36.154,35.374,40.614,38.842,39.792,41.976,40.064,39.74,40.62,41.048,43.96,43.415,41.966,44.814,42.62,40.469,46.933,43.788,42.623,44.393,44.386,42.777,45.211,45.518,46.483,47.069,47.957
"43","35","      Gross output of general government","W128RA3",18.539,23.347,19.067,14.959,17.449,23.532,26.752,28.488,28.298,31.126,28.055,26.123,25.621,29.487,16.657,19.981,18.406,19.689,20.226,18.469,22.28,21.989,22.747,22.811,26.529,31.94,28.105,28.536,30.441,26.535,25.176,29.524,25.795,34.476,28.707,26.456,25.407,26.176,21.657,23.223,26.808,22.673,21.36,26.816,19.128,26.566,23.276,26.681,29.89,35.258,35.712,35.521,28.109,29.096,29.821,31.877,26.786,29.875,30.635,30.681,31.984,34.273,37.87,37.972,38.49,35.903,41.438,39.449,41.162,42.25,40.853,40.296,41.333,41.511,44.539,43.965,42.965,45.458,43.103,41.012,47.624,44.171,44.113,45.387,45.343,43.798,46.243,46.63,47.299,48.072,49.027
"44","36","        Value added","W129RA3",41.03,42.672,39.971,29.883,40.914,42.037,43.449,43.982,41.533,41.842,41.332,39.464,40.035,43.523,45.7,50.378,41.883,44.25,42.185,39.6,40.819,41.29,41.535,41.127,39.738,38.841,37.639,36.87,36.58,36.892,36.124,37,36.745,36.421,37.253,37.26,37.551,37.174,37.595,38.087,38.528,38.967,38.728,37.546,39.112,39.171,39.903,39.854,39.308,39.568,39.697,39.703,41.6,43.457,42.179,41.951,42.416,43.046,43.788,44.049,44.758,45.463,46.295,46.191,47.877,48.549,49.032,48.84,49.422,50.187,50.622,50.831,50.95,51.512,52.546,52.902,52.831,54.013,55.756,56.502,56.721,57.676,58.748,58.204,59.132,59.782,59.948,59.191,60.117,60.224,60.474
"45","37","          Compensation of general government employees","W130RA3",53.788,56.331,52.096,36.148,53.494,55.265,57.366,58.237,54.239,54.645,53.857,50.943,51.72,57.204,60.616,67.904,54.452,58.11,54.949,50.877,52.714,53.346,53.859,53.273,51.105,49.678,47.829,46.804,46.154,46.796,45.539,46.977,46.594,46.146,47.343,47.402,47.921,47.329,47.98,48.725,49.451,50.036,49.702,47.975,50.204,50.4,51.43,51.43,50.608,50.992,51.224,51.224,54.072,56.816,55.001,54.548,55.289,56.163,57.267,57.402,58.341,59.301,60.364,60.038,62.284,63.065,63.575,62.946,63.634,64.429,64.834,64.848,64.658,65.159,66.3,66.507,65.911,67.29,69.526,70.316,70.341,71.498,72.798,71.845,72.96,73.803,73.879,72.594,73.832,73.887,74.119
"46","38","          Consumption of general government fixed capital \2\","B546RA3",10.035,10.073,10.063,10.099,10.134,10.164,10.312,10.305,10.367,10.435,10.42,10.435,10.543,10.497,10.498,10.591,10.691,10.737,10.678,10.72,10.783,10.89,10.756,10.711,10.726,10.769,10.771,10.602,10.826,10.645,10.733,10.632,10.623,10.57,10.646,10.59,10.499,10.524,10.505,10.496,10.414,10.508,10.479,10.427,10.571,10.429,10.506,10.41,10.429,10.426,10.365,10.373,10.32,10.337,10.227,10.391,10.313,10.392,10.379,10.737,10.886,10.999,11.23,11.481,11.82,12.12,12.41,12.895,13.143,13.627,13.978,14.416,14.964,15.445,16.001,16.476,17.23,17.757,18.232,18.688,19.136,19.499,19.905,20.143,20.512,20.672,20.928,21.213,21.384,21.54,21.743
"47","39","        Intermediate goods and services purchased \3\","W131RA3",4.46,9.283,5.481,4.951,3.372,9.367,12.606,14.909,16.633,19.812,14.838,11.158,7.587,7.373,0.008,16.562,2.394,4.001,6.642,5.749,9.58,8.476,8.972,9.138,14.456,21.812,17.678,18.581,20.993,15.986,14.639,19.634,15.158,26.183,18.488,15.626,14.145,15.38,9.144,10.949,15.464,9.754,8.152,16.081,4.702,14.994,9.917,14.762,19.599,27.124,27.714,27.422,15.478,15.777,17.632,20.828,12.96,17.169,17.836,17.739,19.259,22.258,27.153,27.405,27.097,22.605,30.901,27.949,30.22,31.391,28.904,27.886,29.419,29.303,33.368,32.198,30.657,33.765,28.817,25.037,35.218,29.18,28.357,30.733,29.992,27.089,30.845,32.003,32.419,33.569,34.912
"48","40","          Durable goods","A543RA3",21.96,18.413,3.506,1.774,10.982,5.224,4.94,12.426,5.894,2.5,7.384,12.754,7.433,6.194,12.511,2.833,4.574,6.972,3.134,14.044,8.144,5.407,5.777,7.178,2.812,7.615,7.271,6.565,4.886,10.848,5.318,6.418,7.324,5.867,3.787,5.713,5.704,5.696,6.03,5.735,5.721,5.353,4.944,5.272,4.47,3.086,4.766,4.308,3.359,3.23,2.934,3.071,2.932,3.544,4.006,4.676,4.905,5.323,8.238,8.994,9.052,9.91,12.403,13.062,13,14.022,16.741,17.971,18.777,17.508,21.15,22.606,23.465,25.248,26.76,26.772,27.208,26.326,27.557,25.119,24.794,23.398,22.601,22.405,20.279,18.03,18.541,17.519,17.686,16.572,15.947
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RA3",7.861,12.823,4.412,6.321,5.388,19.457,18.156,17.253,12.629,7.779,24.638,23.964,10.668,5.307,6.036,9.024,13.011,12.623,14.683,14.129,13.911,7.06,7.049,5.973,9.795,9.042,8.04,7.033,6.638,6.444,6.115,13.713,5.718,8.907,11.52,11.853,16.033,14.134,14.081,14.728,24.438,20.96,23.932,12.174,7.106,6.715,8.79,13.771,21.056,26.589,25.433,27.02,10.509,21.723,24.178,22.679,7.892,28.321,27.656,28.448,15.145,27.131,28.221,21.312,27.327,29.476,28.449,17.103,27.584,35.646,26.629,20.076,12.625,31.893,34.141,31.883,25.644,44.654,31.102,28.024,44.209,26.314,30.6,38.659,29.785,24.365,26.846,31.243,36.585,35.878,32.923
"52","44","          Services","A544RA3",7.259,9.703,5.778,5.778,8.191,9.819,10.918,11.442,9.046,15.18,7.694,5.371,11.011,12.177,7.31,4.789,6.129,7.281,6.803,5.633,13.265,11.09,11.345,8.338,7.93,10.61,12.056,13.572,14.521,11.086,12.562,9.493,12.139,20.945,7.752,8.687,13.199,14.434,14.01,12.64,11.537,15.483,13.134,13.093,11.532,16.674,10.813,10.017,16.382,14.733,14.728,18.378,21.157,16.779,17.998,19.402,25.11,20.624,21.456,21.927,29.906,22.685,24.617,26.638,31.516,28.55,32.635,37.743,38.218,37.139,34.827,39.274,42.102,36.398,37.632,38.24,42.271,41.723,44.413,39.285,41.663,34.948,38.54,39.565,34.987,32.357,34.57,34.685,34.463,34.15,31.546
"53","45","      Less: Own-account investment \4\","W136RA3",9.988,14.65,14.015,13.833,14.52,19.557,24.724,34.681,23.019,23.01,36.493,35.299,26.624,18.129,54.056,41.765,49.789,64.79,78.635,73.731,88.126,94.823,103.273,101.282,112.916,103.054,96.773,86.933,91.447,89.654,82.257,76.788,75.555,69.837,70.193,62.435,61.626,67.472,73.81,69.921,69.091,72.037,77.983,83.278,74.192,75.339,84.447,93.397,117.083,122.563,112.438,111.558,99.294,107.837,107.368,117.364,119.524,104.722,112.963,119.4,102.613,113.738,113.286,119.539,92.407,97.191,112.963,100.721,93.411,95.311,98.833,98.696,91.536,100.786,99.968,103.249,111.007,106.931,103.325,103.094,123.317,113.428,115.197,107.91,109.198,102.868,95.306,96.904,93.211,93.601,93.076
"54","46","            Sales to other sectors","W137RA3",172.076,131.083,34.752,32.348,73.245,23.19,21.184,55.752,17.71,16.824,34.337,20.287,20.674,128.482,14.123,15.513,37.43,29.093,27.912,23.854,17.461,43.154,18.943,28.087,27.824,22.252,24.279,24.938,24.286,66.623,21.53,29.728,33.215,265.452,29.358,29.248,28.897,54.013,26.668,24.803,53.773,80.07,64.791,65.894,24.744,112.081,26.614,26.602,79.841,27.908,36.37,62.366,39.64,36.315,37.187,35.226,38.152,34.657,40.663,34.654,43.481,34.497,40.107,34.643,104.079,31.232,43.611,37.311,70.339,30.296,46.81,37.302,47,34.273,42.806,39.794,53.099,44.023,36.219,35.922,42.726,29.735,72.096,57.266,55.228,57.753,63.636,66.437,57.977,65.222,69.14
"55","47","State and local consumption expenditures \1\","A991RA3",13.781,14.024,14.281,14.365,14.143,14.212,14.246,14.448,14.943,15.334,15.748,16.074,16.511,16.535,16.467,16.443,16.339,16.37,16.471,16.569,16.389,16.999,16.503,16.75,17.082,17.025,17.399,17.389,17.647,17.757,18.132,18.28,18.899,19.033,19.213,19.404,19.394,19.704,19.972,20.255,20.354,20.65,21.078,21.46,21.923,22.394,22.753,23.002,23.117,23.287,23.565,23.869,24.237,24.76,24.928,25.289,25.833,26.22,26.178,26.42,26.463,26.787,27.044,27.348,27.588,27.97,28.478,28.874,29.412,29.868,30.277,30.805,31.197,31.814,32.377,32.865,33.317,33.745,34.224,34.811,34.866,35.241,35.866,36.381,37.076,37.532,38.2,38.776,39.407,39.985,40.564
"56","48","      Gross output of general government","W138RA3",12.671,12.895,13.134,13.218,13.014,13.126,13.176,13.391,13.871,14.28,14.671,14.977,15.38,15.427,15.367,15.346,15.23,15.284,15.371,15.448,15.365,15.876,15.47,15.691,15.963,15.926,16.251,16.279,16.501,16.636,16.989,17.146,17.705,17.861,18.041,18.229,18.244,18.522,18.761,19.018,19.129,19.407,19.801,20.174,20.63,21.083,21.442,21.721,21.939,22.116,22.368,22.602,22.946,23.397,23.54,23.84,24.403,24.712,24.762,25.084,25.222,25.464,25.809,26.115,26.485,26.82,27.294,27.697,28.19,28.676,29.097,29.619,30.042,30.648,31.229,31.73,32.165,32.651,33.097,33.694,33.876,34.232,34.802,35.36,36.092,36.622,37.227,37.771,38.362,38.875,39.416
"57","49","        Value added","W139RA3",17.066,17.333,17.57,17.749,17.734,17.748,17.895,18.151,18.521,18.915,19.279,19.558,19.632,19.691,19.751,19.846,19.983,20.147,20.333,20.527,20.653,20.799,20.992,21.218,21.44,21.68,21.968,22.222,22.443,22.653,22.897,23.186,23.376,23.621,24.008,24.394,24.643,25.165,25.598,25.971,26.185,26.489,26.91,27.357,27.67,28.182,28.643,29.005,29.164,29.373,29.682,30.013,30.459,30.899,31.373,31.761,32.328,32.508,32.908,33.172,33.297,33.696,34.141,34.559,34.97,35.388,35.99,36.43,37.052,37.589,38.021,38.675,39.037,39.814,40.534,41.161,41.589,42.187,42.794,43.51,43.523,43.907,44.594,45.199,46.129,46.687,47.262,47.771,48.33,48.828,49.343
"58","50","          Compensation of general government employees","B251RA3",18.425,18.76,19.054,19.265,19.225,19.217,19.382,19.684,20.129,20.604,21.039,21.356,21.41,21.446,21.487,21.564,21.702,21.872,22.072,22.282,22.406,22.55,22.757,23.003,23.246,23.512,23.831,24.103,24.334,24.55,24.8,25.108,25.292,25.545,25.973,26.402,26.659,27.257,27.736,28.144,28.351,28.667,29.131,29.617,29.941,30.511,31.018,31.402,31.511,31.707,32.025,32.369,32.856,33.335,33.854,34.267,34.897,35.055,35.481,35.742,35.832,36.255,36.732,37.174,37.607,38.045,38.704,39.163,39.84,40.412,40.857,41.568,41.926,42.783,43.57,44.243,44.674,45.308,45.952,46.727,46.652,47.026,47.764,48.405,49.436,50.022,50.627,51.156,51.744,52.261,52.799
"59","51","          Consumption of general government fixed capital \2\","B986RA3",9.017,9.044,9.076,9.128,9.177,9.241,9.304,9.375,9.457,9.54,9.625,9.726,9.834,9.94,10.04,10.158,10.259,10.363,10.463,10.564,10.666,10.781,10.886,10.999,11.107,11.218,11.348,11.488,11.626,11.775,11.943,12.108,12.278,12.447,12.62,12.785,12.953,13.125,13.321,13.503,13.694,13.893,14.089,14.313,14.526,14.744,14.956,15.173,15.464,15.683,15.903,16.123,16.343,16.567,16.793,17.021,17.254,17.486,17.719,17.953,18.193,18.438,18.688,18.946,19.209,19.484,19.77,20.066,20.377,20.69,21.009,21.334,21.663,22.001,22.345,22.696,23.052,23.416,23.786,24.161,24.544,24.925,25.305,25.683,26.053,26.424,26.794,27.16,27.522,27.88,28.232
"60","52","        Intermediate goods and services purchased \3\","W140RA3",5.798,5.93,6.115,6.094,5.767,5.943,5.888,6.016,6.501,6.838,7.174,7.444,8.082,8.108,7.943,7.815,7.476,7.411,7.382,7.327,7.051,7.833,6.893,7.069,7.344,7.023,7.325,7.115,7.297,7.327,7.737,7.725,8.591,8.625,8.549,8.49,8.243,8.208,8.193,8.279,8.256,8.462,8.765,8.997,9.551,9.87,10.061,10.203,10.456,10.57,10.72,10.809,10.986,11.385,11.125,11.28,11.762,12.182,11.808,12.16,12.297,12.316,12.498,12.629,12.906,13.1,13.36,13.673,13.952,14.323,14.689,14.991,15.452,15.778,16.123,16.412,16.818,17.112,17.304,17.692,18.093,18.386,18.753,19.21,19.616,20.075,20.693,21.261,21.871,22.381,22.936
"61","53","          Durable goods","B989RA3",2.566,2.73,2.897,2.917,3.759,3.693,3.54,3.452,3.38,3.73,4.107,4.303,4.107,4.054,3.901,3.723,4.152,4.172,4.214,4.146,4.497,4.543,4.529,4.578,4.638,4.683,4.762,4.862,5.198,5.116,5.273,5.331,5.062,5.228,5.13,4.999,5.45,5.645,5.723,5.845,6.508,6.782,7.035,7.261,6.746,6.886,6.964,7.17,7.708,7.719,7.898,7.901,8.053,8.256,8.269,8.375,8.714,8.589,8.766,8.842,9.241,9.118,9.426,9.587,9.921,9.769,9.928,10.165,10.343,10.467,10.73,10.989,11.614,11.707,12.071,12.318,12.495,12.778,12.96,13.188,13.578,13.495,13.408,13.613,14.574,15.394,16.136,16.688,17.05,17.622,18.202
"62","54","          Nondurable goods","B337RA3",6.409,6.503,6.694,6.582,6.025,6.129,6.251,6.538,7.163,7.74,8.202,8.525,9.175,9.131,8.803,8.493,7.726,7.66,7.614,7.534,7.362,8.263,7.263,7.509,7.719,7.322,7.57,7.382,7.388,7.444,7.989,8.038,8.943,9.06,9.005,8.919,8.39,8.289,8.309,8.391,8.081,8.292,8.714,9.071,9.761,10.32,10.695,11.011,12.432,12.617,12.856,12.986,13.137,13.309,13.423,13.617,13.904,14.201,14.34,14.49,14.564,14.593,14.84,14.989,15.261,15.405,15.563,15.816,16.048,16.503,16.846,17.108,17.48,17.745,17.964,18.098,18.421,18.584,18.624,18.931,19.228,19.414,19.667,20.137,20.526,20.901,21.409,22.032,22.495,22.844,23.351
"63","55","          Services","A988RA3",5.806,5.969,6.154,6.207,5.918,6.197,5.992,6.011,6.461,6.602,6.833,7.075,7.823,7.916,7.882,7.912,7.824,7.746,7.72,7.686,7.228,8.025,6.993,7.133,7.493,7.18,7.558,7.284,7.584,7.609,7.953,7.883,8.891,8.842,8.754,8.726,8.588,8.568,8.512,8.597,8.692,8.885,9.106,9.246,9.849,10.02,10.095,10.106,9.529,9.612,9.702,9.776,9.973,10.54,10.007,10.142,10.766,11.333,10.564,11.079,11.222,11.252,11.377,11.492,11.764,12.034,12.371,12.731,13.051,13.401,13.793,14.124,14.619,15.013,15.433,15.826,16.313,16.691,16.982,17.44,17.908,18.318,18.814,19.295,19.636,20.099,20.767,21.302,22.034,22.632,23.211
"64","56","      Less: Own-account investment \4\","W144RA3",9.109,9.005,9.637,10.213,10.418,11.821,12.548,12.993,14.053,15.943,16.747,16.806,16.215,16.334,16.838,17.578,17.729,19.227,19.123,18.551,22.358,22.094,21.78,21.862,20.554,20.135,21.035,21.871,21.539,21.812,22.07,21.957,21.239,21.634,21.735,21.788,23.743,24.364,24.292,24.275,24.678,24.542,24.115,24.51,25.393,25.429,26.588,27.355,35.068,36.178,36.369,34.324,32.616,33.754,33.884,32.813,36.365,30.486,33.334,39.161,37.096,31.447,39.057,40.383,44.065,40.981,40.657,40.7,40.266,41.488,41.612,40.917,40.434,41.087,43.259,44.069,44.266,45.802,43.889,44.211,46.773,42.807,41.119,42.084,44.208,47.593,45.139,45.12,45.327,45.324,46.373
"65","57","            Sales to other sectors","W145RA3",6.868,7.013,7.117,7.157,7.021,7.236,7.298,7.553,7.89,8.247,8.473,8.688,8.989,9.146,9.075,9.01,8.812,8.854,8.88,8.903,8.977,9.024,9.1,9.188,9.285,9.388,9.394,9.549,9.627,9.887,10.126,10.357,10.711,10.962,11.149,11.337,11.296,11.367,11.47,11.611,11.755,11.98,12.273,12.589,12.97,13.369,13.65,14.052,14.095,14.221,14.33,14.393,14.813,14.781,14.789,14.878,15.261,15.729,16.034,16.285,17.186,17.531,17.683,17.902,18.709,19.112,19.472,19.95,20.283,20.88,21.401,22.019,22.708,23.256,23.792,24.351,24.712,25.442,25.922,26.615,27.332,27.999,28.465,29.253,30.096,30.809,31.341,31.756,32.15,32.33,32.601
"66","58","              Tuition and related educational charges","B1065A3",4.157,4.307,4.417,4.522,4.802,5.114,5.422,5.551,5.724,5.898,6.071,6.071,5.85,5.973,5.756,5.666,5.742,5.698,5.816,5.816,5.977,5.977,6.139,6.3,6.462,6.623,6.573,6.683,6.791,7.054,7.211,7.469,7.724,7.821,8.012,8.465,8.644,8.88,9.195,9.633,10.002,10.222,10.653,11.01,11.296,11.647,12.073,12.557,12.764,12.74,12.737,12.958,13.526,14.001,14.441,14.633,14.935,15.329,15.611,16.098,16.712,17.096,17.82,18.439,18.99,19.672,20.349,21.009,22.043,22.973,23.791,24.825,25.814,26.56,27.705,28.64,29.703,30.409,31.103,31.975,32.983,33.76,34.838,35.772,37.427,38.445,38.948,39.719,40.686,41.642,42.929
"67","59","              Health and hospital charges","B1066A3",4.319,4.346,4.463,4.718,4.883,5.087,5.37,5.62,5.865,5.963,5.871,5.806,5.709,5.594,5.56,5.609,5.661,5.707,5.605,5.704,5.745,5.742,5.819,5.834,5.841,6.013,6.084,6.301,6.382,6.658,6.788,6.872,7.051,7.325,7.59,7.918,8.183,8.439,8.686,8.859,9.042,9.443,9.886,10.434,11.265,11.977,12.477,13.116,12.939,12.923,12.829,12.528,12.531,11.941,11.609,11.386,11.448,11.786,12.262,12.88,13.628,14.095,14.395,14.526,14.52,14.615,14.68,14.928,15.194,15.608,16.099,16.542,17.161,17.744,18.412,19.105,19.783,20.419,21.014,21.535,22.1,22.922,23.82,24.997,26.243,27.188,27.891,28.257,28.376,28.372,28.4
"68","60","              Other sales","W146RA3",7.881,8.062,8.149,8.077,7.739,7.918,7.827,8.084,8.461,8.935,9.293,9.659,10.22,10.493,10.443,10.337,9.989,10.042,10.105,10.094,10.158,10.234,10.285,10.384,10.501,10.548,10.532,10.649,10.711,10.934,11.215,11.488,11.908,12.15,12.276,12.316,12.081,12.017,11.991,12.037,12.099,12.209,12.362,12.512,12.634,12.831,12.933,13.144,13.263,13.479,13.704,13.923,14.488,14.671,14.789,15.032,15.572,16.069,16.237,16.187,17.123,17.342,17.258,17.414,18.656,19.129,19.549,20.062,20.234,20.786,21.186,21.734,22.302,22.706,22.942,23.253,23.207,23.898,24.193,24.858,25.505,25.956,25.931,26.319,26.579,26.963,27.312,27.614,27.994,28.081,28.225
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
