"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"35","16","Current transfer receipts","W075RC1","14,711.0","15,593.0","16,657.0","17,687.0","19,195.0","20,574.0","21,916.0","22,595.0","23,466.0","25,114.0","25,472.0","26,768.0","27,965.0","36,236.0","29,125.0","42,810.0","38,095.0","37,229.0","36,491.0","37,573.0","37,550.0","38,433.0","39,872.0","41,385.0","44,132.0","49,361.0","50,152.0","51,251.0","52,725.0","53,649.0","54,684.0","58,822.0","57,203.0","60,340.0","64,061.0","64,188.0","68,845.0","71,572.0","71,083.0","72,768.0","70,537.0","71,222.0","73,952.0","74,893.0","76,177.0","77,882.0","80,680.0","83,341.0","82,577.0","82,967.0","80,536.0","78,088.0","78,183.0","79,883.0","78,687.0","79,699.0","81,072.0","83,277.0","82,672.0","82,395.0","87,123.0","89,602.0","87,658.0","91,621.0","92,186.0","93,406.0","94,978.0","97,362.0","107,551.0","104,228.0","107,356.0","100,729.0","97,929.0","101,727.0","100,052.0","100,216.0","106,225.0","107,139.0","110,682.0","112,006.0","113,966.0","115,210.0","121,465.0","121,919.0","127,785.0","131,674.0","134,862.0","139,587.0","147,813.0","153,934.0","161,967.0","169,222.0","173,126.0","176,775.0","183,807.0","187,308.0","189,875.0","193,529.0","199,792.0","209,040.0","207,555.0","208,885.0","213,193.0","219,479.0","224,038.0","224,689.0","225,916.0","222,097.0","227,597.0","237,606.0","236,664.0","234,233.0","240,165.0","241,700.0","248,260.0","255,367.0","257,352.0","257,032.0","263,664.0","283,144.0","283,272.0","283,524.0","296,072.0","301,704.0","302,596.0","308,616.0","321,840.0","322,500.0","337,048.0","348,924.0","346,396.0","359,496.0","364,988.0","381,124.0","387,512.0","395,740.0","391,468.0","423,928.0","429,700.0","440,156.0","427,853.0","439,179.0","438,916.0","451,744.0","448,396.0","452,425.0","455,653.0","460,662.0","449,949.0","457,820.0","463,504.0","455,507.0","478,665.0","484,606.0","487,302.0","489,971.0","495,613.0","505,311.0","503,650.0","515,278.0","550,877.0","617,502.0","602,662.0","620,347.0","635,351.0","648,329.0","668,081.0","671,787.0","642,108.0","656,412.0"
"36","17","  Federal grants-in-aid","B089RC1","13,144.0","14,008.0","15,052.0","16,056.0","17,496.0","18,840.0","20,144.0","20,788.0","21,556.0","23,160.0","23,460.0","24,692.0","25,700.0","33,916.0","26,764.0","40,424.0","35,564.0","34,672.0","33,892.0","34,912.0","34,648.0","35,444.0","36,792.0","38,208.0","40,716.0","45,840.0","46,520.0","47,504.0","48,656.0","49,464.0","50,392.0","54,420.0","52,468.0","55,504.0","59,132.0","59,168.0","63,460.0","66,092.0","65,496.0","67,064.0","64,420.0","64,976.0","67,576.0","68,384.0","69,288.0","70,820.0","73,416.0","75,848.0","74,352.0","74,504.0","71,856.0","69,212.0","68,836.0","70,360.0","68,984.0","69,812.0","70,620.0","72,664.0","71,796.0","71,156.0","75,364.0","77,436.0","75,124.0","78,780.0","79,116.0","79,992.0","81,168.0","83,140.0","84,804.0","88,984.0","91,768.0","84,864.0","82,148.0","85,796.0","83,928.0","83,836.0","89,540.0","90,044.0","93,072.0","93,804.0","94,944.0","95,636.0","101,396.0","101,380.0","106,536.0","110,276.0","112,640.0","116,340.0","122,836.0","128,080.0","134,876.0","140,596.0","143,248.0","146,232.0","152,396.0","154,624.0","156,748.0","159,848.0","165,464.0","173,960.0","171,464.0","172,032.0","175,608.0","181,192.0","185,148.0","185,096.0","185,592.0","181,028.0","185,832.0","195,076.0","193,352.0","190,120.0","194,364.0","194,924.0","197,048.0","207,292.0","208,060.0","208,744.0","213,480.0","220,120.0","227,220.0","226,012.0","237,108.0","241,260.0","237,936.0","242,592.0","254,572.0","254,108.0","267,092.0","277,796.0","273,928.0","285,524.0","289,104.0","303,636.0","308,536.0","315,368.0","310,828.0","341,692.0","345,600.0","353,900.0","339,644.0","349,264.0","347,828.0","359,992.0","356,404.0","359,940.0","362,364.0","366,208.0","354,644.0","360,976.0","365,080.0","355,468.0","377,320.0","381,640.0","382,108.0","381,940.0","386,788.0","396,268.0","394,060.0","404,804.0","438,432.0","503,372.0","486,380.0","501,444.0","514,804.0","524,232.0","542,060.0","544,852.0","514,472.0","527,684.0"
"37","18","  From business (net)","W076RC1","532.0","531.0","529.0","528.0","565.0","563.0","561.0","551.0","611.0","600.0","593.0","588.0","680.0","679.0","682.0","687.0","856.0","869.0","887.0","908.0","1,070.0","1,086.0","1,092.0","1,088.0","1,232.0","1,217.0","1,204.0","1,191.0","1,377.0","1,370.0","1,358.0","1,355.0","1,584.0","1,583.0","1,581.0","1,580.0","1,860.0","1,862.0","1,867.0","1,875.0","2,158.0","2,167.0","2,174.0","2,177.0","2,459.0","2,460.0","2,457.0","2,452.0","2,865.0","2,863.0","2,869.0","2,879.0","3,232.0","3,247.0","3,256.0","3,261.0","3,628.0","3,581.0","3,623.0","3,748.0","4,004.0","4,155.0","4,268.0","4,313.0","4,323.0","4,362.0","4,427.0","4,484.0","12,559.0","4,724.0","4,781.0","4,816.0","4,811.0","4,848.0","4,905.0","4,992.0","5,072.0","5,240.0","5,471.0","5,741.0","6,057.0","6,313.0","6,520.0","6,686.0","7,238.0","6,882.0","7,032.0","7,208.0","7,762.0","7,634.0","7,896.0","8,504.0","8,883.0","8,862.0","9,172.0","10,031.0","10,117.0","10,358.0","10,646.0","10,987.0","11,381.0","11,765.0","12,147.0","12,527.0","12,895.0","13,286.0","13,690.0","14,109.0","14,534.0","14,957.0","15,381.0","15,800.0","16,261.0","16,621.0","20,625.0","17,241.0","18,572.0","17,536.0","19,084.0","31,236.0","23,280.0","23,740.0","24,240.0","24,780.0","28,088.0","28,512.0","28,776.0","28,872.0","29,384.0","29,540.0","29,920.0","30,520.0","31,588.0","32,300.0","32,912.0","33,416.0","32,788.0","33,364.0","34,128.0","35,076.0","35,873.0","36,543.0","36,832.0","36,740.0","36,388.0","36,265.0","36,485.0","37,050.0","37,313.0","38,120.0","38,820.0","39,415.0","40,034.0","40,655.0","41,570.0","42,781.0","44,068.0","44,316.0","44,431.0","44,421.0","45,035.0","45,390.0","46,238.0","47,581.0","47,975.0","50,398.0","51,321.0","51,358.0","51,305.0","51,530.0"
"38","19","  From persons","B246RC1","1,035.0","1,054.0","1,076.0","1,103.0","1,134.0","1,171.0","1,211.0","1,256.0","1,299.0","1,354.0","1,419.0","1,488.0","1,585.0","1,641.0","1,679.0","1,699.0","1,675.0","1,688.0","1,712.0","1,753.0","1,832.0","1,903.0","1,988.0","2,089.0","2,184.0","2,304.0","2,428.0","2,556.0","2,692.0","2,815.0","2,934.0","3,047.0","3,151.0","3,253.0","3,348.0","3,440.0","3,525.0","3,618.0","3,720.0","3,829.0","3,959.0","4,079.0","4,202.0","4,332.0","4,430.0","4,602.0","4,807.0","5,041.0","5,360.0","5,600.0","5,811.0","5,997.0","6,115.0","6,276.0","6,447.0","6,626.0","6,824.0","7,032.0","7,253.0","7,491.0","7,755.0","8,011.0","8,266.0","8,528.0","8,747.0","9,052.0","9,383.0","9,738.0","10,188.0","10,520.0","10,807.0","11,049.0","10,970.0","11,083.0","11,219.0","11,388.0","11,613.0","11,855.0","12,139.0","12,461.0","12,965.0","13,261.0","13,549.0","13,853.0","14,011.0","14,516.0","15,190.0","16,039.0","17,215.0","18,220.0","19,195.0","20,122.0","20,995.0","21,681.0","22,239.0","22,653.0","23,010.0","23,323.0","23,682.0","24,093.0","24,710.0","25,088.0","25,438.0","25,760.0","25,995.0","26,307.0","26,634.0","26,960.0","27,231.0","27,573.0","27,931.0","28,313.0","29,540.0","30,155.0","30,587.0","30,834.0","30,720.0","30,752.0","31,100.0","31,788.0","32,772.0","33,772.0","34,724.0","35,664.0","36,572.0","37,512.0","38,492.0","39,520.0","40,572.0","41,588.0","42,548.0","43,452.0","44,296.0","45,188.0","46,064.0","46,956.0","47,852.0","48,872.0","49,972.0","51,180.0","52,336.0","53,372.0","54,256.0","55,012.0","55,604.0","56,220.0","56,804.0","57,404.0","57,992.0","58,724.0","59,604.0","60,624.0","61,311.0","62,311.0","63,624.0","65,250.0","64,757.0","64,727.0","65,159.0","66,053.0","67,410.0","68,740.0","70,044.0","71,322.0","72,572.0","73,699.0","74,700.0","75,577.0","76,331.0","77,198.0"
"39","20","Current surplus of government enterprises","B115RC1","1,458.0","1,459.0","1,466.0","1,493.0","1,502.0","1,479.0","1,484.0","1,453.0","1,400.0","1,348.0","1,353.0","1,363.0","1,452.0","1,561.0","1,635.0","1,631.0","1,577.0","1,501.0","1,444.0","1,349.0","1,248.0","1,030.0","706.0","516.0","311.0","388.0","346.0","541.0","474.0","358.0","322.0","281.0","330.0","298.0","268.0","360.0","385.0","330.0","207.0","133.0","-32.0","-241.0","-426.0","-581.0","-695.0","-939.0","-1,360.0","-1,875.0","-2,275.0","-2,586.0","-2,544.0","-2,207.0","-2,000.0","-1,700.0","-1,480.0","-1,225.0","-787.0","-368.0","26.0","220.0","738.0","1,146.0","1,638.0","2,502.0","2,852.0","3,172.0","3,390.0","3,270.0","3,060.0","2,863.0","2,702.0","2,483.0","2,637.0","2,806.0","3,111.0","3,901.0","4,158.0","4,575.0","5,043.0","5,590.0","6,228.0","6,616.0","6,839.0","7,033.0","6,931.0","6,834.0","6,767.0","6,913.0","7,088.0","7,186.0","7,293.0","7,571.0","7,685.0","8,024.0","8,467.0","8,923.0","9,492.0","9,794.0","10,195.0","10,300.0","9,941.0","10,209.0","10,674.0","11,340.0","12,343.0","13,139.0","13,885.0","14,516.0","15,277.0","15,653.0","15,740.0","15,583.0","15,052.0","14,469.0","13,933.0","13,329.0","11,761.0","12,288.0","12,727.0","13,061.0","13,530.0","13,567.0","13,370.0","12,755.0","11,824.0","10,838.0","9,890.0","8,908.0","7,668.0","6,983.0","11,906.0","5,580.0","6,146.0","6,354.0","6,341.0","5,719.0","4,291.0","3,617.0","2,920.0","2,352.0","1,914.0","1,211.0","594.0","93.0","899.0","-28.0","-237.0","-411.0","-280.0","-1,099.0","-1,633.0","-2,324.0","-5,570.0","-8,274.0","-10,440.0","-11,928.0","-12,211.0","-12,313.0","-12,414.0","-12,378.0","-11,676.0","-10,641.0","-9,909.0","-9,655.0","-10,040.0","-10,553.0","-11,141.0","-11,632.0","-12,936.0","-13,338.0"
"40","21","    Current expenditures","W024RC1","92,672.0","95,590.0","99,025.0","102,612.0","106,887.0","110,847.0","115,067.0","119,092.0","123,532.0","127,130.0","130,239.0","132,936.0","138,123.0","140,719.0","144,755.0","147,632.0","152,090.0","156,618.0","160,534.0","165,276.0","168,641.0","175,201.0","182,023.0","189,131.0","197,653.0","205,049.0","210,262.0","215,511.0","220,072.0","223,722.0","228,554.0","232,838.0","238,313.0","244,532.0","249,469.0","254,893.0","260,882.0","266,493.0","271,433.0","276,791.0","284,255.0","290,878.0","298,862.0","307,432.0","317,327.0","324,026.0","334,027.0","342,163.0","351,804.0","360,032.0","366,371.0","372,508.0","381,463.0","390,568.0","397,672.0","404,820.0","414,975.0","420,592.0","426,636.0","432,690.0","442,810.0","451,361.0","460,532.0","470,156.0","481,868.0","492,418.0","504,433.0","516,153.0","525,771.0","534,600.0","544,582.0","558,694.0","565,394.0","574,211.0","582,232.0","592,559.0","603,469.0","613,493.0","622,477.0","633,739.0","647,126.0","660,406.0","673,082.0","688,805.0","706,229.0","721,201.0","739,512.0","760,148.0","770,863.0","787,161.0","800,436.0","822,359.0","826,088.0","842,839.0","858,455.0","863,132.0","874,220.0","880,558.0","897,156.0","904,444.0","918,719.0","928,539.0","939,329.0","959,841.0","973,738.0","983,256.0","989,516.0","984,321.0","1,002,292.0","1,026,071.0","1,026,285.0","1,033,745.0","1,047,674.0","1,052,653.0","1,067,357.0","1,085,004.0","1,094,273.0","1,109,641.0","1,122,248.0","1,144,224.0","1,166,274.0","1,184,037.0","1,211,278.0","1,232,828.0","1,247,977.0","1,270,674.0","1,293,081.0","1,313,621.0","1,353,219.0","1,394,390.0","1,386,605.0","1,425,480.0","1,436,827.0","1,453,082.0","1,476,525.0","1,500,685.0","1,522,284.0","1,525,508.0","1,544,741.0","1,548,049.0","1,577,868.0","1,601,190.0","1,614,297.0","1,643,943.0","1,665,635.0","1,695,401.0","1,715,959.0","1,740,978.0","1,738,022.0","1,767,011.0","1,800,075.0","1,809,389.0","1,876,913.0","1,893,607.0","1,916,199.0","1,956,615.0","1,985,364.0","2,022,984.0","2,047,367.0","2,012,424.0","2,011,403.0","2,028,165.0","2,043,198.0","2,043,964.0","2,066,216.0","2,071,589.0","2,087,350.0","2,134,833.0","2,149,740.0","2,168,209.0"
"41","22","Consumption expenditures","A991RC1","75,858.0","78,443.0","81,155.0","83,939.0","87,263.0","90,031.0","93,046.0","95,801.0","99,006.0","101,620.0","104,170.0","106,081.0","109,149.0","111,606.0","114,600.0","117,246.0","120,668.0","124,197.0","127,706.0","131,383.0","135,977.0","140,925.0","146,275.0","151,771.0","157,796.0","163,546.0","167,895.0","171,142.0","174,500.0","177,762.0","180,946.0","184,626.0","189,157.0","193,300.0","198,177.0","202,849.0","207,202.0","210,689.0","215,189.0","219,603.0","225,507.0","229,166.0","236,322.0","242,360.0","249,303.0","255,762.0","261,623.0","267,043.0","274,448.0","279,924.0","284,931.0","290,068.0","296,627.0","302,624.0","307,384.0","312,784.0","318,367.0","322,108.0","326,044.0","329,802.0","337,238.0","343,941.0","351,296.0","358,204.0","367,274.0","376,016.0","386,824.0","396,910.0","406,710.0","413,428.0","420,744.0","431,441.0","434,342.0","439,129.0","442,794.0","449,359.0","459,630.0","467,474.0","474,305.0","482,681.0","491,335.0","500,186.0","507,711.0","518,579.0","531,908.0","540,344.0","551,613.0","564,077.0","569,004.0","573,925.0","580,352.0","586,626.0","593,665.0","602,655.0","611,229.0","617,293.0","625,266.0","631,058.0","637,121.0","643,157.0","654,557.0","663,304.0","673,407.0","681,400.0","690,605.0","699,237.0","704,728.0","710,569.0","717,933.0","726,641.0","733,337.0","742,858.0","751,556.0","758,156.0","767,833.0","780,615.0","789,593.0","801,550.0","815,025.0","828,226.0","843,980.0","862,341.0","880,238.0","895,874.0","910,185.0","922,648.0","936,181.0","953,451.0","972,838.0","989,174.0","1,002,629.0","1,012,277.0","1,026,073.0","1,043,011.0","1,057,262.0","1,071,181.0","1,091,522.0","1,092,535.0","1,098,419.0","1,103,550.0","1,116,781.0","1,129,136.0","1,144,043.0","1,166,310.0","1,181,976.0","1,198,394.0","1,222,915.0","1,244,832.0","1,254,453.0","1,274,649.0","1,292,668.0","1,307,583.0","1,337,783.0","1,360,557.0","1,376,178.0","1,400,959.0","1,428,414.0","1,455,080.0","1,475,595.0","1,437,826.0","1,417,123.0","1,424,583.0","1,427,631.0","1,432,713.0","1,443,082.0","1,441,777.0","1,438,915.0","1,450,097.0","1,471,663.0","1,482,872.0"
"42","23","Government social benefit payments to persons","B109RC1","12,616.0","12,832.0","13,404.0","14,016.0","14,704.0","15,636.0","16,552.0","17,512.0","18,324.0","19,060.0","19,644.0","20,300.0","21,208.0","21,620.0","22,516.0","22,468.0","23,248.0","23,960.0","24,172.0","24,956.0","23,428.0","24,720.0","25,852.0","27,104.0","29,216.0","30,476.0","30,952.0","32,564.0","33,384.0","33,416.0","34,724.0","35,028.0","35,692.0","37,492.0","37,264.0","37,708.0","39,168.0","40,972.0","41,268.0","41,660.0","42,384.0","43,504.0","44,520.0","46,856.0","49,092.0","48,960.0","52,424.0","54,328.0","55,600.0","57,372.0","57,704.0","57,684.0","59,036.0","61,016.0","62,144.0","62,592.0","65,772.0","66,332.0","67,196.0","68,324.0","69,912.0","70,636.0","71,300.0","72,828.0","74,888.0","76,320.0","78,068.0","79,764.0","81,568.0","83,624.0","85,272.0","86,912.0","88,308.0","89,948.0","91,556.0","93,092.0","95,288.0","97,324.0","99,508.0","101,884.0","104,248.0","107,328.0","110,996.0","114,820.0","118,760.0","124,164.0","130,260.0","137,436.0","141,472.0","152,180.0","158,628.0","173,788.0","170,544.0","178,632.0","185,824.0","184,984.0","188,860.0","189,680.0","200,592.0","201,708.0","203,584.0","203,916.0","203,656.0","215,672.0","220,360.0","220,696.0","220,712.0","208,776.0","218,248.0","232,192.0","224,832.0","221,748.0","226,044.0","223,720.0","228,036.0","232,432.0","232,144.0","235,316.0","233,928.0","241,728.0","247,840.0","246,376.0","255,028.0","260,152.0","260,084.0","269,400.0","277,172.0","279,080.0","290,440.0","308,048.0","295,784.0","326,008.0","325,372.0","326,184.0","334,232.0","346,248.0","346,084.0","347,552.0","361,928.0","358,080.0","375,308.0","386,084.0","384,300.0","391,408.0","397,252.0","410,144.0","405,024.0","406,640.0","392,196.0","399,420.0","412,580.0","407,440.0","439,254.0","422,541.0","429,134.0","443,968.0","446,320.0","456,144.0","461,048.0","463,384.0","484,224.0","496,624.0","507,652.0","503,832.0","513,944.0","518,464.0","535,464.0","570,556.0","563,554.0","570,351.0"
"43","24","Interest payments \1\","B111RC1","4,174.0","4,291.0","4,442.0","4,629.0","4,896.0","5,156.0","5,445.0","5,755.0","6,174.0","6,418.0","6,665.0","6,919.0","7,159.0","7,390.0","7,616.0","7,839.0","8,090.0","8,321.0","8,571.0","8,842.0","9,132.0","9,444.0","9,776.0","10,128.0","10,501.0","10,875.0","11,251.0","11,629.0","12,008.0","12,360.0","12,688.0","12,988.0","13,256.0","13,536.0","13,820.0","14,116.0","14,292.0","14,604.0","15,056.0","15,640.0","16,364.0","17,004.0","17,560.0","18,032.0","18,424.0","18,956.0","19,624.0","20,428.0","21,376.0","22,340.0","23,328.0","24,332.0","25,356.0","26,476.0","27,684.0","28,984.0","30,380.0","31,704.0","32,956.0","34,140.0","35,248.0","36,392.0","37,560.0","38,764.0","39,363.0","39,752.0","39,220.0","39,165.0","37,176.0","37,237.0","38,263.0","40,048.0","42,475.0","44,867.0","47,608.0","49,818.0","48,231.0","48,349.0","48,299.0","48,797.0","51,167.0","52,515.0","53,999.0","55,031.0","55,193.0","56,324.0","57,264.0","58,251.0","59,982.0","60,643.0","61,040.0","61,531.0","61,480.0","61,160.0","61,018.0","60,478.0","59,722.0","59,454.0","59,083.0","59,225.0","60,227.0","60,975.0","61,929.0","62,441.0","62,457.0","63,013.0","63,769.0","64,669.0","65,805.0","66,920.0","67,779.0","68,776.0","69,667.0","70,346.0","71,040.0","71,499.0","72,082.0","72,325.0","72,851.0","73,834.0","74,035.0","74,901.0","75,583.0","76,353.0","77,225.0","78,110.0","79,177.0","80,504.0","81,883.0","82,774.0","83,347.0","83,832.0","83,559.0","83,308.0","83,362.0","83,691.0","84,594.0","85,075.0","85,392.0","85,515.0","85,406.0","85,600.0","85,586.0","85,856.0","86,037.0","86,490.0","87,646.0","89,131.0","91,000.0","92,568.0","94,453.0","93,991.0","97,997.0","99,847.0","102,135.0","104,445.0","106,645.0","108,812.0","108,573.0","108,418.0","108,055.0","105,752.0","106,705.0","106,204.0","107,570.0","109,228.0","111,394.0","113,228.0","113,668.0","114,546.0"
"44","25","Subsidies","B114RC1","24.0","24.0","24.0","28.0","24.0","24.0","24.0","24.0","28.0","32.0","36.0","40.0","47.0","51.0","55.0","59.0","68.0","76.0","85.0","95.0","104.0","112.0","120.0","128.0","140.0","152.0","164.0","176.0","180.0","184.0","196.0","196.0","208.0","204.0","208.0","220.0","220.0","228.0","240.0","268.0","300.0","324.0","340.0","344.0","348.0","348.0","356.0","364.0","380.0","396.0","408.0","424.0","444.0","452.0","460.0","460.0","456.0","448.0","440.0","424.0","412.0","392.0","376.0","360.0","343.0","330.0","321.0","314.0","317.0","311.0","303.0","293.0","269.0","267.0","274.0","290.0","320.0","346.0","365.0","377.0","376.0","377.0","376.0","375.0","368.0","369.0","375.0","384.0","405.0","413.0","416.0","414.0","399.0","392.0","384.0","377.0","372.0","366.0","360.0","354.0","351.0","344.0","337.0","328.0","316.0","310.0","307.0","307.0","306.0","318.0","337.0","363.0","407.0","431.0","448.0","458.0","454.0","450.0","444.0","436.0","419.0","419.0","429.0","449.0","483.0","516.0","551.0","586.0","8,058.0","14,394.0","4,845.0","3,363.0","1,823.0","579.0","1,669.0","-435.0","84.0","346.0","-998.0","904.0","373.0","370.0","368.0","369.0","370.0","373.0","374.0","375.0","373.0","374.0","374.0","375.0","1,879.0","10,662.0","8,752.0","7,243.0","3,985.0","2,948.0","2,151.0","2,796.0","2,001.0","1,206.0","1,210.0","1,215.0","1,620.0","2,120.0","1,577.0","952.0","855.0","440.0"
"45","26","Less: Wage accruals less disbursements","B116RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","276.0","404.0","-560.0","-52.0","32.0","-20.0","-16.0","-64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","320.0","380.0","300.0","-880.0","-120.0","160.0","-160.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"46","27","    Net state and local government saving","A924RC1","7,436.0","7,768.0","8,464.0","8,249.0","8,209.0","7,714.0","7,136.0","5,370.0","4,964.0","6,025.0","6,474.0","8,408.0","9,063.0","18,690.0","10,118.0","24,635.0","18,929.0","15,746.0","14,574.0","13,600.0","11,796.0","10,633.0","10,003.0","4,892.0","627.0","2,559.0","3,581.0","3,108.0","5,688.0","6,510.0","6,321.0","10,986.0","9,573.0","11,772.0","15,713.0","15,487.0","16,866.0","23,043.0","16,060.0","18,731.0","14,544.0","11,902.0","13,938.0","11,613.0","10,631.0","5,497.0","7,490.0","11,514.0","11,712.0","8,040.0","7,668.0","2,801.0","-675.0","-1,447.0","-2,644.0","-4,022.0","-7,403.0","2,984.0","9,755.0","14,206.0","22,515.0","26,734.0","21,110.0","25,394.0","24,672.0","24,007.0","21,680.0","19,045.0","26,853.0","20,205.0","22,509.0","13,326.0","7,399.0","19,861.0","11,228.0","9,420.0","12,341.0","12,122.0","21,627.0","22,862.0","27,427.0","26,134.0","21,610.0","5,370.0","15,322.0","8,970.0","4,390.0","-3,942.0","-6,631.0","-8,084.0","-2,437.0","-6,081.0","-512.0","-401.0","-4,769.0","107.0","-10,186.0","-3,597.0","-3,664.0","13,683.0","5,411.0","3,744.0","15,201.0","8,557.0","10,890.0","-2,308.0","9,250.0","18,875.0","20,505.0","18,588.0","25,058.0","27,793.0","30,040.0","33,123.0","40,367.0","41,670.0","45,617.0","42,545.0","45,049.0","54,410.0","44,060.0","37,436.0","41,574.0","44,179.0","51,152.0","52,770.0","38,557.0","22,576.0","15,048.0","-5,736.0","-22,947.0","-50,034.0","-55,854.0","-57,866.0","-47,037.0","-55,566.0","-81,308.0","-52,276.0","-25,533.0","3,787.0","-22,658.0","-20,966.0","-3,579.0","13,756.0","25,174.0","18,864.0","25,297.0","34,375.0","62,594.0","63,241.0","42,377.0","35,943.0","29,825.0","29,786.0","9,967.0","-20,693.0","-42,476.0","-29,776.0","-101,794.0","-114,890.0","-118,109.0","-75,322.0","-73,960.0","-44,804.0","-32,263.0","-28,246.0","-5,206.0","-35,528.0","-57,247.0","-40,179.0"
"47","28","Social insurance funds","B118RC1","130.0","153.0","168.0","185.0","175.0","174.0","178.0","193.0","206.0","228.0","236.0","242.0","249.0","271.0","256.0","264.0","267.0","307.0","319.0","335.0","352.0","367.0","382.0","407.0","421.0","463.0","482.0","498.0","535.0","580.0","623.0","682.0","774.0","917.0","1,052.0","1,201.0","1,319.0","1,431.0","1,545.0","1,653.0","1,682.0","1,782.0","1,814.0","1,810.0","1,430.0","687.0","1,533.0","1,622.0","1,322.0","1,300.0","1,303.0","1,291.0","1,277.0","1,237.0","1,206.0","1,176.0","1,152.0","1,157.0","1,209.0","1,318.0","1,406.0","1,470.0","1,455.0","1,377.0","1,278.0","1,234.0","1,289.0","1,459.0","1,644.0","1,803.0","1,950.0","2,059.0","2,085.0","2,148.0","2,205.0","2,330.0","2,439.0","2,526.0","2,557.0","2,570.0","2,522.0","2,390.0","2,259.0","2,149.0","2,004.0","1,953.0","1,977.0","1,974.0","2,119.0","2,274.0","2,429.0","2,614.0","2,760.0","2,993.0","3,266.0","3,541.0","3,828.0","4,111.0","4,328.0","4,501.0","4,632.0","4,686.0","4,667.0","4,571.0","4,350.0","4,184.0","3,950.0","3,696.0","3,448.0","3,062.0","2,627.0","2,131.0","1,506.0","1,144.0","1,001.0","1,041.0","1,403.0","1,686.0","1,834.0","1,849.0","1,791.0","1,706.0","1,667.0","1,664.0","1,712.0","1,837.0","2,038.0","2,333.0","2,681.0","2,797.0","2,662.0","2,272.0","1,709.0","1,371.0","1,352.0","1,636.0","2,196.0","2,891.0","3,722.0","4,756.0","5,908.0","6,792.0","7,346.0","7,586.0","7,714.0","7,709.0","7,399.0","6,810.0","5,969.0","5,105.0","4,239.0","3,367.0","2,628.0","1,922.0","1,508.0","1,354.0","1,188.0","1,150.0","1,175.0","1,295.0","1,466.0","1,625.0","1,734.0","1,795.0","1,832.0","1,877.0","1,973.0","2,094.0","2,213.0","2,368.0"
