"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"74","67","      Educational books (96)","DEBKRC0",275,288,306,325,357,407,417,466,468,509,583,737,751,743,778,827,940,957,1100,1346,1546,1746,1986,2175,2508,2913,3235,3646,4246,4645,4923,5298,5404,5641,6054,6484,6802,7007,7335,7855,8564,9043,9230,9702,9854,9877,9774,9666,9422,9451,9192,9429,9393,9668,10059
"75","68","      Luggage and similar personal items (part of 119)","DLUGRC0",1139,1164,1224,1275,1332,1465,1605,1806,1905,2170,2429,2616,2949,3248,3634,3979,4438,5011,5439,5707,5593,5178,4916,4668,5396,6013,6476,7204,8112,8671,9673,9698,9952,10569,10885,10929,10896,11054,11084,11747,13120,14565,13873,14281,15844,17279,19077,21451,23460,24004,23343,25232,29048,32598,37610
"76","69","      Telephone and facsimile equipment (67)","DTCERC0",9,10,10,11,12,13,15,16,17,19,20,21,22,24,28,31,34,39,44,152,378,653,979,1199,1224,1244,1220,1256,1306,1436,1625,1782,1874,2049,2302,2676,3011,3389,3736,4178,4806,5515,5839,6243,7540,8640,9190,11224,13114,13403,12712,12746,13379,13278,13444
"77","70","  Nondurable goods","DNDGRC0",127720,131389,134603,139505,143926,152697,163285,177875,185010,199788,214195,228806,239669,257371,286109,321362,349169,377681,408420,450218,511598,573402,625433,646260,678751,721544,757243,774189,814275,862256,929475,994222,1020250,1055187,1090815,1139383,1179794,1241376,1291234,1329424,1431199,1540283,1583722,1613214,1704030,1820432,1953050,2079682,2176940,2273419,2175125,2292119,2472804,2567019,2622871
"78","71","    Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,832986,863264,883997
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC0",53952,54929,56069,56661,57664,61034,65684,71300,72970,78247,83626,90403,92596,98682,109591,124183,136203,145643,156544,171120,190251,207982,221683,231345,239182,252733,262331,273849,281807,298998,319460,341238,351488,354596,362392,378285,388268,402756,412764,422087,444945,463125,482228,490397,513578,542995,575282,601564,634713,667741,663426,675912,715442,740913,756611
"80","73","        Food purchased for off-premises consumption","DFOFRC0",49262,50008,50752,51477,52456,55310,59481,64410,65518,70405,75226,82038,84109,88788,99449,112751,122444,129907,137952,150657,167451,182297,193930,200599,205840,217301,224917,233103,241279,256265,274090,293080,302198,305188,312526,326913,336262,349575,359092,367717,388172,404594,421867,429606,449673,475717,503588,525556,555157,585602,582988,594766,631416,655663,670456
"81","74","          Cereals and bakery products","DCBPRC0",7675,7907,8008,7943,8050,8489,8904,9505,9514,10080,10616,11103,12348,13514,14700,18093,20591,21899,22985,23903,27311,31156,33803,35699,34773,36833,38763,39147,40531,43550,47118,50964,53154,54293,56049,59106,61293,64243,66537,69816,75465,80489,85824,89323,92728,95422,100292,104997,110079,117581,117932,119376,127774,131043,132839
"82","75","            Cereals","DGRARC0",1565,1757,1862,1792,1811,1969,2025,2191,2175,2328,2479,2793,3281,3569,4196,5489,6233,6555,7005,7327,8413,9989,11326,11663,11227,11926,12347,13458,14548,15982,17663,19499,20740,21589,22178,23273,24018,25054,25825,25786,26527,26930,27334,27079,28778,30393,32495,34794,37133,39497,39874,39879,41382,42551,43306
"83","76","            Bakery products","DBAKRC0",6110,6150,6146,6151,6239,6520,6879,7314,7339,7752,8137,8310,9067,9945,10504,12604,14358,15344,15979,16576,18898,21167,22477,24036,23545,24907,26416,25689,25983,27568,29455,31465,32413,32704,33871,35833,37275,39189,40712,44030,48938,53559,58491,62244,63950,65028,67798,70204,72945,78084,78058,79497,86392,88492,89533
"84","77","          Meats and poultry","DMAPRC0",13836,14022,14334,14818,15335,16493,17839,20057,20000,21513,24321,27005,25858,27778,31769,33173,36771,38589,36831,43269,49022,51455,53416,55599,56401,57013,57578,60166,60655,64545,69169,74110,76572,77491,78334,80855,82035,84087,85129,85994,89538,92041,94638,95023,99959,108699,115470,117889,123688,129797,130411,133468,145629,151388,154963
"85","78","            Beef and veal","DBEERC0",7414,7369,7514,7826,7979,8693,9582,10732,10487,11937,13716,14706,14520,15518,16897,18035,19636,20208,17272,20954,23939,24423,24459,24682,24405,24421,24144,25546,25807,26211,26749,27225,26647,25468,24928,24844,24260,23845,23052,23395,24476,25283,26124,26363,27426,29490,30971,31256,32410,34011,34172,34973,38160,39669,40606
"86","79","            Pork","DPORRC0",2581,2560,2597,2709,2830,2965,3093,3535,3689,3533,4149,4738,4345,4769,5589,5601,6331,6597,7152,8603,9841,10471,11571,13022,14105,13612,14238,14623,14513,15173,15971,16801,17040,16920,16952,17346,17449,17738,17814,17749,18219,18453,18684,18463,19492,21273,22680,23238,24469,25678,25799,26404,28810,29949,30656
"87","80","            Other meats","DMEARC0",2146,2247,2354,2334,2484,2585,2778,3052,3174,3313,3591,3828,3662,3897,4526,4949,5759,6364,6537,6903,7384,7768,7636,7766,7747,7636,8042,7832,8076,9018,10119,11329,12209,12864,13166,13765,14153,14709,15106,15369,16120,16693,17293,17497,18888,21066,22938,23992,25775,27049,27177,27814,30348,31548,32293
"88","81","            Poultry","DPOURC0",1695,1846,1869,1949,2042,2250,2386,2738,2650,2730,2865,3734,3330,3594,4757,4588,5045,5420,5870,6809,7858,8793,9750,10129,10144,11344,11153,12165,12260,14142,16330,18754,20677,22239,23288,24901,26173,27795,29157,29480,30724,31613,32536,32701,34153,36870,38881,39403,41033,43059,43263,44277,48312,50222,51408
"89","82","          Fish and seafood","DFISRC0",1010,1090,1104,1176,1203,1299,1444,1590,1552,1828,2171,2445,2246,2286,2459,2292,2161,2488,2885,3171,3565,3798,4006,3858,4863,5873,6187,6998,7663,7758,7889,7999,7795,7414,7400,7541,7550,7635,7624,7797,8220,8557,8910,9062,9327,9918,10297,10269,10516,11036,11088,11348,12382,12872,13176
"90","83","          Milk, dairy products, and eggs","DMDERC0",10367,10106,10088,9884,10003,10062,10930,11520,11431,12014,12439,13443,13486,14017,15822,17785,19446,22003,24715,24404,26546,28343,28721,27646,27790,28493,29458,29618,31303,32736,34499,36315,36826,36474,36709,37713,38089,38869,39200,40056,42194,43886,45663,46402,49555,54498,57611,60830,66901,71605,68197,69560,74091,75431,76760
"91","84","            Fresh milk","DMILRC0",6040,5870,5793,5746,5676,5622,6137,6283,6221,6377,6477,6826,6779,6990,7736,8597,9346,10260,11134,10751,11243,11616,11463,10765,10850,11552,12298,12656,13825,14088,14428,14743,14493,13919,13560,13458,13096,12837,12388,12624,13262,13756,14273,14465,15504,17224,18165,19240,21364,22965,21701,22108,23869,24243,24670
"92","85","            Processed dairy products","DDAIRC0",3139,2999,3066,2954,3016,3263,3471,3658,3680,4218,4608,4853,5127,5539,6070,7190,8137,9464,11089,11202,12502,13985,14448,14126,14258,14104,14741,14421,15093,16124,17381,18707,19390,19593,19869,20563,20927,21525,21893,22483,23801,24878,26012,26563,28024,30302,31821,33244,35989,38376,36798,37571,39555,40354,41066
"93","86","            Eggs","DGGSRC0",1188,1237,1229,1184,1311,1177,1322,1579,1530,1419,1353,1763,1579,1487,2015,1998,1963,2279,2492,2451,2801,2742,2810,2755,2682,2836,2419,2541,2385,2524,2689,2865,2943,2961,3280,3692,4066,4507,4919,4949,5131,5252,5377,5374,6027,6972,7625,8346,9547,10263,9698,9880,10667,10834,11025
"94","87","          Fats and oils","DFATRC0",1629,1579,1622,1711,1778,1871,1912,2023,2231,2479,2527,2628,3322,3328,3482,4714,4584,3865,4462,5020,5650,6212,6934,7266,7129,7826,8149,7616,7376,7926,8513,9134,9444,9630,9534,9649,9591,9623,9507,9430,9633,9708,9778,9608,10393,11174,12165,13266,14422,15340,15487,15489,16072,16526,16820
"95","88","          Fresh fruits and vegetables","DFAVRC0",5547,5664,5805,5853,5775,5952,6323,6586,7041,7547,7355,8708,8256,8710,9954,9709,9887,9841,11076,12617,13798,14840,16867,18030,18712,19196,19711,21249,24063,24953,26040,27150,27278,26822,28013,29877,31326,33189,34736,36963,40482,43712,47152,49612,50915,52878,56693,58553,61268,64751,65136,67470,70142,75571,76887
"96","89","            Fruit (fresh)","DFRURC0",2164,2149,2211,2142,2186,2271,2428,2525,2731,3073,2792,3216,3252,3622,4037,4190,4494,4467,5036,5571,5916,6175,6811,7064,7239,7597,7963,9097,9980,10522,11171,11857,12135,12164,12420,12955,13289,13778,14116,14794,15974,17019,18129,18850,19804,21052,23100,24415,26142,27628,27792,28788,29928,32245,32806
"97","90","            Vegetables (fresh)","DVEGRC0",3383,3515,3594,3711,3589,3681,3895,4061,4310,4474,4563,5492,5003,5088,5916,5519,5393,5374,6040,7046,7882,8665,10056,10966,11472,11599,11748,12152,14084,14431,14869,15293,15143,14658,15592,16922,18037,19411,20620,22169,24509,26693,29023,30762,31112,31826,33593,34138,35126,37123,37344,38682,40214,43326,44081
"98","91","          Processed fruits and vegetables","DPFVRC0",2482,2698,2801,2883,2963,3140,3411,3596,3457,3922,4297,4618,5116,5454,6159,7643,8559,9300,10690,11668,12473,13126,14466,15190,15112,15709,15175,15046,14844,15143,15528,15888,15643,15048,15185,15649,15857,16236,16424,16215,16483,16523,16547,16159,17170,18229,19702,21107,22645,24046,24253,24482,25417,26470,26938
"99","92","          Sugar and sweets","DSWERC0",3243,3496,3484,3446,3484,3853,4088,4342,4548,4786,5024,5061,6510,6541,7005,10432,10882,11058,12506,13246,14580,16892,17499,16347,17708,18682,19104,19156,18498,19861,21474,23211,24192,24694,25205,26282,26949,27931,28606,28804,29891,30622,31376,31391,32077,32824,33671,34755,35630,36207,35329,36506,38092,40384,42444
"100","93","          Food products, not elsewhere classified","DOFDRC0",3473,3446,3507,3763,3865,4151,4631,5190,5744,6237,6475,7027,6968,7160,8099,8908,9563,10864,11802,13358,14506,16474,18218,20966,23353,27677,30792,34107,36345,39794,43859,48310,51294,53323,56097,60241,63571,67762,71329,72643,76265,79056,81980,83027,87550,92076,97686,103890,110008,115239,115154,117067,121817,125977,129630
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRC0",4690,4921,5316,5184,5208,5724,6203,6890,7452,7842,8400,8365,8487,9894,10142,11432,13760,15736,18593,20463,22799,25684,27753,30745,33341,35432,37414,40746,40529,42732,45370,48158,49290,49408,49867,51372,52007,53181,53673,54370,56773,58531,60361,60791,63905,67278,71694,76008,79557,82139,80438,81146,84026,85250,86155
"102","95","          Coffee, tea, and other beverage materials","DCTMRC0",782,820,886,864,868,954,1034,1148,1242,1307,1400,1394,1414,1649,1690,1905,2293,2623,3099,3410,3800,4281,4625,5124,5562,5920,6261,6829,6798,6691,6588,6450,6049,5522,5911,6269,6469,6682,6928,6901,7082,7171,7259,7171,7509,7810,8216,8650,9070,9648,9740,9741,10108,10394,10578
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRC0",3908,4101,4430,4320,4340,4770,5169,5742,6210,6535,7000,6971,7072,8245,8452,9527,11466,13113,15494,17053,19000,21404,23128,25621,27780,29512,31154,33917,33731,36041,38782,41708,43241,43885,43955,45104,45537,46500,46745,47469,49691,51360,53102,53620,56396,59468,63478,67358,70486,72492,70698,71405,73918,74857,75576
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC0",6356,6493,6569,7002,7285,7622,7947,8486,8853,9865,11014,12327,13785,14901,16009,17665,19234,20469,22065,23777,26773,29952,32442,34667,36805,37352,39696,41670,41762,43077,45256,49298,50858,49294,50537,53313,55000,58676,61598,64968,70235,77136,81489,84374,85728,89269,92551,98231,102215,104723,106138,112592,117171,121800,126959
"105","98","        Spirits","DLIQRC0",2342,2266,2258,2329,2787,2869,3189,3431,3460,4032,4547,4837,5236,6174,6575,7002,7591,7965,8482,8119,8197,8164,7742,7155,7592,7501,8076,8392,8515,8969,9667,10899,11718,11809,11538,11651,11405,11703,11856,12769,13672,14999,15934,16448,17261,18571,19808,21695,23148,23800,24078,25342,26270,27450,28832
"106","99","        Wine","DWINRC0",545,555,595,678,709,750,761,787,795,874,974,1179,1491,1703,1862,2166,2099,2105,2270,2823,3617,4543,5445,6367,6677,6619,6966,7188,7099,7438,7931,8788,9335,9259,9682,10423,10966,11922,12726,14402,16352,18709,20945,22883,23336,24608,25991,27929,29195,30199,30637,32365,33868,35233,36748
"107","100","        Beer","DMLTRC0",3469,3672,3716,3995,3790,4003,3997,4268,4598,4959,5493,6311,7058,7024,7572,8497,9544,10399,11313,12835,14959,17245,19255,21145,22537,23233,24654,26090,26149,26669,27658,29611,29806,28225,29317,31239,32629,35051,37017,37797,40211,43428,44610,45043,45131,46090,46751,48607,49872,50725,51423,54886,57034,59117,61378
"108","101","      Food produced and consumed on farms (6)","DFFDRC0",1289,1134,1109,993,921,835,811,824,736,719,731,776,744,889,1115,1190,1129,1185,1161,1215,1346,1233,1214,1129,1049,1017,926,896,743,732,672,640,607,575,543,511,479,447,414,382,350,318,286,281,275,340,384,465,403,420,394,395,373,551,427
"109","102","    Clothing and footwear","DCLORC0",25367,25939,26571,27859,28618,31085,32659,35812,37547,41260,44331,45450,49046,53491,59243,62423,66867,72191,79305,89317,96371,103002,113178,116745,126445,137621,146845,157201,167726,178213,190397,195245,199098,211234,219054,227435,231245,239542,247496,257805,271097,280832,277868,278836,285347,297485,310659,320213,323692,319506,306498,320558,338300,354632,362684
"110","103","      Garments","DGARRC0",20177,20611,21169,22206,22919,25040,26358,28789,30193,33119,35477,36617,39637,43168,47808,50826,54905,59203,65063,73082,78224,83275,91390,94941,103338,113149,120984,129527,138166,146880,156207,159977,163962,174421,180888,187271,190094,196380,203240,211129,221908,230024,227216,228008,232717,242320,251385,257008,258720,254689,244349,255328,269314,282156,288381
"111","104","        Women's and girls' clothing (10)","DWGCRC0",12454,12725,13087,13817,14303,15617,16299,17697,18299,20069,21299,21939,24019,25761,28305,29859,32158,34493,37532,42476,45544,48470,53260,55319,60745,66992,72201,77933,83096,87550,92654,94545,96473,103175,106397,108421,108922,111410,113922,118968,126520,132721,132134,133306,136799,143726,149644,153674,155776,152093,145820,152766,161074,169501,173527
"112","105","        Men's and boys' clothing (11)","DMBCRC0",7435,7582,7764,8055,8239,9044,9604,10597,11351,12437,13390,13724,14747,16331,18175,19303,20874,22549,25065,27601,29236,30894,33548,34524,37092,40190,42459,44884,48049,51723,55584,57381,59392,63009,66065,70095,72209,75838,79957,82193,84621,85874,83203,82445,82837,84508,86299,86668,85315,84736,81471,84850,89734,93479,95418
"113","106","        Children's and infants' clothing (12)","DCICRC0",288,304,318,334,377,379,455,495,543,613,788,954,871,1076,1328,1664,1873,2161,2466,3005,3444,3911,4582,5098,5501,5967,6324,6710,7021,7607,7969,8051,8097,8237,8426,8755,8963,9132,9361,9968,10767,11429,11879,12257,13081,14086,15442,16666,17629,17860,17058,17712,18506,19176,19436
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRC0",5190,5328,5402,5653,5699,6045,6301,7023,7354,8141,8854,8833,9409,10323,11435,11597,11962,12988,14242,16235,18147,19727,21788,21804,23107,24472,25861,27674,29560,31333,34190,35268,35136,36813,38166,40164,41151,43162,44256,46676,49189,50808,50652,50828,52630,55165,59274,63205,64972,64817,62149,65230,68986,72476,74303
"115","108","        Clothing materials","DCSMRC0",781,768,782,822,825,775,822,860,806,864,879,894,1145,1388,1526,1641,1505,1814,1910,2015,2002,2202,2301,2459,2564,2734,2810,3057,3378,3544,3649,3601,3634,3643,3648,3520,3283,3379,3209,3385,3726,4036,4218,4596,4487,4480,4279,4088,3765,3667,3625,3758,3829,4049,4482
"116","109","        Standard clothing issued to military personnel","DMICRC0",51,48,55,69,64,64,76,164,192,204,174,161,118,70,87,97,114,119,121,117,145,158,140,156,178,164,140,153,155,161,171,151,175,267,286,286,287,287,315,308,291,322,343,379,471,333,352,393,428,425,451,403,365,353,398
"117","110","        Shoes and other footwear","DSHURC0",4358,4512,4565,4762,4810,5206,5403,5999,6356,7073,7801,7778,8146,8865,9822,9859,10343,11055,12211,14103,16000,17367,19347,19189,20365,21575,22911,24464,26027,27629,30370,31516,31328,32903,34232,36358,37582,39496,40732,42984,45173,46450,46092,45852,47672,50352,54643,58725,60779,60725,58074,61069,64791,68074,69423
"118","111","    Gasoline and other energy goods","DGOERC0",15290,15809,15723,16316,16922,17659,19132,20656,21876,23217,24968,26286,27647,29393,34325,43849,48020,53013,57817,61453,80388,101898,113443,108350,106456,108200,110532,91191,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,408945,417031,408733
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC0",11281,12004,12009,12597,12952,13572,14751,16032,17100,18560,20460,21921,23150,24406,28131,36130,39703,43046,46934,50102,66243,86689,97919,94125,93081,94568,97205,80052,85355,88395,98716,111440,108852,112864,114518,116492,120410,130494,134428,120787,134190,168609,162485,153611,178977,213376,261430,295926,319919,358327,260229,307265,379528,390361,383108
"120","113","        Gasoline and other motor fuel","DGASRC0",11097,11809,11814,12392,12741,13351,14511,15771,16822,18258,20127,21564,22773,24009,27673,35542,39057,42345,45966,48980,64685,84767,95649,92182,91037,92260,95014,78119,83415,86230,96314,108743,105872,109411,110931,112819,116845,127033,131218,117165,131026,165094,159030,150102,174993,208991,255714,289229,312685,351043,254244,299882,369789,380036,372791
"121","114","        Lubricants and fluids","DLUBRC0",184,195,196,205,211,221,240,261,278,302,333,357,377,397,458,588,647,701,968,1122,1558,1922,2270,1943,2044,2309,2191,1933,1940,2165,2402,2697,2980,3453,3587,3673,3565,3461,3210,3622,3164,3514,3455,3509,3984,4384,5716,6696,7235,7283,5984,7383,9739,10325,10317
"122","115","      Fuel oil and other fuels (29)","DFULRC0",4009,3805,3714,3719,3970,4087,4381,4624,4776,4657,4508,4365,4497,4987,6194,7719,8317,9967,10883,11351,14145,15209,15524,14225,13375,13632,13327,11139,11014,11455,11723,12759,12277,12143,12364,12739,12995,14251,13234,11568,12355,15907,15500,14289,17435,19357,22340,23724,25627,30821,24271,26150,29417,26670,25625
"123","116","        Fuel oil","DOILRC0",3763,3560,3489,3500,3725,3835,4125,4373,4542,4416,4249,4080,4196,4662,5792,7180,7830,9401,10292,10739,13451,14439,14713,13431,12567,12794,12486,10370,10273,10556,10748,11610,11010,10877,11000,11273,11414,12476,11654,10162,10703,13988,13651,12574,15320,17010,19702,20979,22836,27088,21635,23244,26064,23343,22765
"124","117","        Other fuels","DLPFRC0",246,245,225,219,246,252,256,250,234,241,259,284,301,325,402,539,487,565,591,612,694,770,811,794,808,838,841,769,741,899,975,1149,1267,1266,1364,1466,1580,1774,1579,1406,1652,1919,1850,1715,2114,2347,2638,2746,2791,3733,2636,2906,3353,3327,2860
"125","118","    Other nondurable goods","DONGRC0",25466,27085,28562,30674,32516,34462,37052,40797,43028,46480,49525,53564,55851,60015,65826,72052,77716,85180,91528,103336,116469,129335,143473,154024,168814,184621,196913,209382,225868,241386,263251,283602,297070,314481,331407,350608,371397,395210,421300,451827,498027,534356,563866,591426,622690,657610,690404,739559,770371,791881,814169,849247,892573,932092,967457
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRC0",3167,3472,3819,4127,4381,4495,4677,4879,5210,5744,6294,7282,7720,8413,9095,9868,10680,11652,12371,14218,16509,18740,21286,23496,26872,30318,33510,37207,41265,45903,51906,59118,65101,69561,73991,79060,85109,93241,103671,119792,140041,159000,181006,200165,220174,236326,248543,276217,293399,305204,320866,334124,353247,370003,390745
"127","120","        Pharmaceutical products","DPNPRC0",3061,3344,3681,3977,4274,4366,4537,4722,5089,5604,6135,7086,7506,8197,8858,9560,10349,11320,12009,13799,16051,18260,20799,22988,26297,29659,32774,36386,40365,44929,50794,57868,63756,68196,72609,77692,83758,91918,102346,118258,138306,157050,178948,198000,217773,233588,245533,272831,289632,301363,317090,330139,349055,365512,386024
"128","121","          Prescription drugs","DRXDRC0",1818,1986,2186,2362,2538,2626,2766,2920,3194,3573,3971,4654,5000,5536,5946,6376,6858,7453,7853,8936,10309,11616,13154,14500,16814,19135,21315,23823,26520,30205,34900,40630,45867,50489,54550,59267,64746,72172,82077,97271,115902,133806,154945,172260,189836,203602,213034,237551,251660,261699,277308,288480,305205,319746,338595
"129","122","          Nonprescription drugs","DNRDRC0",1243,1358,1495,1615,1736,1739,1771,1802,1895,2031,2164,2432,2506,2661,2912,3184,3491,3867,4156,4863,5742,6644,7645,8488,9483,10525,11459,12564,13846,14724,15894,17238,17888,17707,18059,18425,19012,19746,20269,20987,22404,23245,24003,25740,27937,29985,32500,35280,37973,39664,39782,41659,43850,45767,47429
"130","123","        Other medical products","DOMPRC0",106,128,137,150,107,129,140,157,120,140,159,196,214,216,237,308,332,332,362,419,458,480,486,508,575,659,736,820,899,974,1112,1250,1346,1365,1382,1368,1351,1323,1325,1534,1735,1950,2058,2165,2401,2739,3010,3386,3767,3841,3777,3986,4192,4490,4721
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRC0",3081,3362,3575,3925,4324,4829,5321,5987,6328,7047,7616,8195,8746,9618,10898,12211,13142,14699,15732,17673,19899,21977,24800,26639,28852,31499,33762,35443,39136,42606,47175,50928,53584,57273,60712,65212,68896,72833,76347,80893,86654,91868,94713,98357,100795,105729,112648,118993,124493,127471,123833,127695,133192,142023,146118
"132","125","        Games, toys, and hobbies","DDOLRC0",1523,1612,1747,1910,2072,2238,2362,2647,2787,2995,3122,3133,3158,3401,3927,4420,4966,5634,6236,7052,7923,8326,9297,10173,10965,12044,12607,13362,14579,16232,18450,20091,21733,23310,24988,27327,29364,31198,32869,34972,37577,39584,40449,42029,42798,44061,46006,47538,49261,50875,50247,52478,55150,58562,61182
"133","126","        Pets and related products","DPRPRC0",563,652,691,713,763,978,1112,1263,1372,1550,1703,2051,2251,2348,2883,3429,3711,4294,4813,5020,5549,6467,7486,7884,8646,9212,10206,10021,10617,11473,12445,13665,14070,14756,15958,17504,18788,20209,21529,22651,24306,25812,27309,29169,31033,33570,36312,39475,43096,45950,46317,47707,50416,53962,56213
"134","127","        Flowers, seeds, and potted plants","DFLORC0",634,716,722,846,993,1073,1272,1428,1477,1648,1766,1840,1996,2242,2380,2637,2731,3011,2943,3648,4298,4868,5594,6009,6390,7056,7657,8553,10153,11039,12358,13344,14077,15566,16258,17019,17558,18441,19176,20430,21799,23415,24029,24293,24177,25396,27844,29784,30292,28865,25669,25875,25952,27797,27046
"135","128","        Film and photographic supplies","DFLMRC0",361,382,416,455,496,540,575,650,691,853,1025,1171,1341,1627,1707,1725,1734,1760,1741,1952,2129,2316,2423,2573,2852,3187,3292,3507,3787,3862,3922,3829,3705,3641,3508,3361,3185,2986,2773,2840,2972,3058,2925,2866,2786,2702,2486,2197,1844,1780,1600,1635,1674,1701,1677
"136","129","      Household supplies (parts of 32 and 36)","DHOURC0",5416,5759,6289,6872,7263,7930,8564,9458,9953,10644,11024,11496,11651,12386,13849,15443,16793,18132,19715,22472,25921,29124,32216,34329,36760,39971,42051,44665,46404,49369,51937,54231,55592,58536,62079,66776,70402,74372,77865,79684,83906,86702,88954,90767,93999,97597,102002,105875,106509,107790,105169,108291,112934,117315,121719
"137","130","        Household cleaning products","DCLERC0",2064,2222,2497,2750,2932,3170,3372,3668,3871,4197,4573,5025,5251,5673,6134,6738,7160,7412,7728,8849,10218,11581,12749,13643,14587,15942,17046,18156,19014,19700,20207,20598,20505,20689,22037,23620,24999,26344,27694,27990,29094,29758,30764,31204,31621,31987,32715,33475,33013,33673,33269,33901,34927,35875,36628
"138","131","        Household paper products","DPAPRC0",1073,1186,1305,1428,1517,1650,1853,2104,2203,2305,2343,2405,2325,2409,2896,3539,4164,4747,5428,6297,7396,8483,9471,10172,10532,10996,11183,11295,11311,12290,13427,14581,15376,16191,16936,17891,18757,19723,20554,21604,23343,24763,26353,27421,27871,28493,29828,30988,31410,32855,32788,33411,34722,35595,36197
"139","132","        Household linens","DLINRC0",1848,1901,2005,2183,2262,2498,2685,2952,3105,3321,3277,3222,3213,3390,3727,3895,4022,4305,4665,5172,5812,6404,7143,7539,8348,9327,9923,11020,11598,12557,13286,13902,14582,16110,17167,18740,19874,21161,22087,22477,23499,24151,23882,24220,26106,28115,29954,31308,31871,31056,29225,30486,32051,33550,35351
"140","133","        Sewing items","DSEWRC0",109,112,118,128,133,147,158,174,183,190,179,166,156,159,184,212,239,279,316,349,389,425,470,494,530,557,555,574,580,624,652,674,699,767,822,905,968,1040,1090,1117,1196,1262,1285,1366,1380,1413,1401,1379,1322,1299,1279,1324,1354,1442,1581
"141","134","        Miscellaneous household products","DMHPRC0",323,338,364,382,419,465,497,560,591,631,652,677,706,755,908,1059,1208,1388,1578,1805,2106,2231,2383,2480,2763,3148,3345,3619,3901,4198,4365,4475,4431,4778,5117,5620,5804,6104,6441,6497,6773,6769,6670,6557,7022,7590,8104,8726,8893,8906,8608,9169,9880,10854,11962
"142","135","      Personal care products (part of 118)","DOPCRC0",2898,3199,3514,3862,4129,4445,4818,5321,5764,6277,6717,7140,7477,8044,8968,10028,11080,12205,13829,15399,17137,18704,20457,21555,23720,26256,28251,30363,32644,34602,36925,39250,40244,41370,43945,47112,50173,53449,56406,59913,64449,68508,71042,73159,77507,82786,88003,93833,98953,101311,100088,104729,110010,114621,117678
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRC0",1334,1503,1595,1760,2009,2149,2313,2538,2775,2941,3160,3391,3513,3588,3803,4185,4371,4808,5587,6233,7013,7725,8446,8944,9809,10764,11509,12269,12976,14300,15845,17534,18800,19966,21763,23852,26104,28383,30556,32825,35638,38026,40046,41378,43524,46316,48847,51847,54579,56160,55547,57856,60423,62784,64277
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRC0",1477,1597,1813,1984,1986,2153,2349,2611,2804,3142,3351,3527,3737,4227,4922,5576,6436,7099,7908,8795,9710,10526,11518,12094,13337,14852,16048,17342,18861,19404,20073,20589,20227,20101,20755,21700,22370,23227,23866,24812,26171,27487,27681,28122,30039,32199,34542,37079,39252,40000,39587,41687,44110,46089,47393
"145","138","        Electric appliances for personal care","DEAPRC0",87,98,105,117,134,143,156,172,185,194,206,222,227,228,243,266,273,298,334,371,414,453,492,517,574,640,695,752,807,898,1007,1126,1218,1303,1427,1560,1699,1839,1983,2275,2640,2994,3315,3659,3943,4272,4614,4907,5122,5151,4954,5187,5476,5749,6007
"146","139","      Tobacco (127)","DTOBRC0",6554,6871,7141,7221,7500,7564,8092,8529,8928,9423,9794,10792,11338,12193,13241,14099,15068,16787,16980,18281,19185,20860,22830,24303,27515,29243,30811,32157,34546,34745,38611,40991,42409,48008,48701,47328,49205,51419,53848,56416,65536,68492,69706,70142,70459,73664,76676,81000,84261,86409,99520,106262,108258,108822,106530
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRC0",3391,3504,3368,3762,4038,4216,4508,5332,5466,5849,6426,6896,7053,7661,8424,9195,9895,10787,11893,14055,16404,18136,19832,21038,22390,24513,25368,26569,28798,31662,33997,36492,37791,38773,40863,43785,46058,48192,50205,51888,54312,56567,55042,54802,55126,56790,58006,59073,57724,58351,58174,62805,68055,73083,79380
