"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"29","21","      Unemployment insurance","W825RC1",2.3,2.2,2.3,2.5,2.9,3.9,4.6,5.4,5.7,6.3,6.3,6.3,6.5,6.9,5.8,5,4.6,4.5,4.5,4.7,5.8,6.7,6.9,8.6,14.2,19.4,20.2,18.8,17.7,16.3,16.1,15.5,15.5,13.3,11.9,11.8,10.8,9.4,9,8.5,9.4,9.2,9.6,10.6,12,15.7,19,17.8,16.4,15.5,15,16.6,19.1,23.9,26.1,31.8,30.3,32.1,23.3,20,17.3,15.7,15.1,15.9,16.9,16,15,15.6,15.6,16.4,17,16.9,15.5,15.1,14.4,13.5,13.9,13.2,13.2,13,13.6,13.7,14.6,15.8,16.4,17.1,18.2,21,24.3,27.5,25.9,29.4,39.7,41.2,39.6,38,35.1,35.5,35.5,33.2,28,24.4,22.1,21.3,20.9,21.6,22,22.5,23,22.7,21.6,21.7,21,20.4,19.6,19.4,19.4,19.3,20.3,19.8,20.8,20.9,20.3,20,20.5,20,20.6,21.9,25.5,28.4,33.1,40.6,42.9,60.5,57.1,53.5,51.2,54.9,54.7,51.8,43.4,35.9,33.7,32.7,33.2,31.1,30.7,32.1,30.1,29.9,30.8,30.7,31.7,31,33.2,35.1,36.7,37.8,58,71.2,102.2,130.1,145.3,147.3,155.7,139.6,133.2,126.9,119.1,108.8,103,100.9,94.2,83.8,74.9
"30","22","      Veterans' benefits","W826RC1",6.3,6.6,6.7,6.9,6.9,7.3,7.6,8,8.2,8.3,8.5,8.6,9.7,8.6,8.8,10.4,10.1,10,10.3,10.6,10.8,10.8,11.8,12.9,13.9,13.5,13.9,14.5,15.3,13.7,12.8,13.2,13.9,13.4,12.9,13.3,13.8,13.4,13.4,13.9,14.2,13.9,14.1,14.4,14.5,14.4,14.5,15.3,15.6,15.6,15.7,16.2,16.3,16.1,16.2,16.6,16.6,16.4,16.4,16.4,16.2,16.2,16.4,16.2,16.7,16.6,16.5,16.4,16.9,16.7,16.5,16.3,16.6,16.5,16.4,16.4,16.9,16.7,16.7,16.6,17.4,17.2,17.2,17.1,17.9,17.6,17.6,17.7,18,18.5,18.1,17.9,18.7,18.8,18.5,18.5,19.4,19.5,19.2,19.2,19.7,19.6,19.8,19.8,20.6,20.5,20.6,20.5,21.4,21.7,21.3,21.4,22.4,22.2,22.2,22.4,23.3,23.2,23.2,23.4,24.2,24.1,24.1,24.1,25.1,24.9,24.9,25.1,26,26.3,26.4,27.6,28.8,29.3,29.8,30.3,31.4,31.8,32.1,32.1,33.5,33.8,34.3,34.7,36.1,36.3,36.5,36.6,38.4,38.8,39,39.3,40.6,41.7,41.9,42.5,44.1,44.7,45.4,45.8,49.9,50.3,51.8,53.8,56,57.4,59,59.4,61.2,62.4,64.9,64.7,68.8,71.5,74
"31","23","      Other","W827RC1",11.8,12.1,12.6,13.1,14.1,15.3,16.4,18.2,18.6,19.1,19.8,20.2,20.6,21,21.4,22.5,23.1,23.2,23.1,23.7,26.5,27.4,29.3,30.5,32,39.8,34.9,36,37.7,38,38.7,39.1,39.5,39.9,41,41.9,43.5,44.4,45.3,45.3,46.5,48,51.3,52.8,57.8,58.1,65.5,64.4,65.6,65.4,66.6,64.9,64.4,64.8,66.4,68.9,70,70.4,71.6,72,73.2,73.6,73.5,74.8,76.3,77.2,78,78.8,80.6,82.3,83,83.8,84.5,85.4,86,87.6,90.7,91.9,93,94.7,98.4,99.9,101.8,105.5,108,110.2,112.1,117.5,120,122.8,125,131,135.7,138.8,143.1,144.9,146.5,147.8,148.1,148.5,152.8,152.5,153.1,155.6,159,159.5,159.2,160.2,163.7,163.2,162.6,160.3,161.8,160.7,160.2,160.1,162.8,163.9,164.1,165.2,169.1,169.5,170.2,170.5,171.3,174,175.6,178.4,182.1,186.8,189.6,193.2,204.1,207.7,210.2,213,220.1,224.2,228,232,241.6,246.9,252,252.5,258.8,259.1,274.1,270.3,270.8,271.7,271.6,274.1,281.6,284.1,286.9,292.4,300.1,418.4,318.2,327.6,352.5,429.3,383.7,393.2,432.8,437.2,441,441.5,438.7,439.8,441.3,443.5,433,433.9,437.3
"32","24","    Other current transfer receipts, from business (net)","B931RC1",3.3,3.4,3.4,3.3,3.1,3,2.8,2.8,2.7,2.7,2.7,2.8,2.9,3,3.2,3.3,3.6,3.9,4.1,4.2,4.3,4.5,4.9,5.2,6.1,6.9,7.1,7.2,7,7,6.7,6.1,5.5,5,4.9,5,5.6,6.2,6.7,7.3,7.9,8.2,8.4,8.5,8.2,8.3,8.7,9.3,10.4,11,11.5,11.9,12,12.3,12.5,12.7,12.8,13.2,14,15.3,17.6,19.2,20.6,21.5,21.9,22.1,22.3,22.6,23.3,23.5,23,22,21.3,20.6,19.7,19.3,19.6,20.1,20.8,21.9,23.3,23.1,23.2,23.1,23.3,22.9,21.9,20.7,19.2,17.9,17,16.4,16.5,16.5,16.3,15.9,15.1,14.4,13.7,13.1,12.8,12.8,13.2,14.2,16,17.8,19.6,21.4,22.8,23.5,23.2,21.9,19.7,18.7,19,20.4,22.8,25.1,27.1,28.9,31.2,32.8,34.8,37.1,39.8,41.5,43.3,45.2,46.7,48,47.4,44.9,40.8,36.1,31.8,28.2,28.8,26.8,24.7,22.4,17.6,16.2,16.1,17.9,23.8,26.5,27.3,25.8,21.7,19.8,20.6,23.3,26.7,29.6,32,33.9,36.8,36.6,36.7,37.1,37,38.4,40.3,42.7,45.4,47.3,48,49,46.5,45.1,44.3,43.9,45.3,45.8,46.1
"33","25","  Less: Contributions for government social insurance, domestic","A061RC1",42.9,43.7,44.6,45.3,46,46.3,46.7,46.5,50.5,51,51.3,51.9,58.1,58.8,59.5,60.4,73.6,74.7,76.1,77.6,83.1,84.7,86.4,86.6,87.6,88,89.8,91.8,98.9,100.4,102.2,103.8,109.3,112.1,114.3,116.7,126.2,130.1,132.8,136,148.8,150.9,154.2,157.1,163.1,163.2,166.6,171.8,191.6,194.1,197.7,199.4,207.2,208.4,209.8,210.2,220.4,223.6,227.2,232.6,251,255.8,259.9,263.1,275.4,278.8,282.8,288.4,297.9,300.7,305.1,310.1,316.5,320.2,324.5,331.2,352.1,359.1,364.4,370.3,379.8,382.8,386.4,391.8,404.1,408.3,414.1,413.9,424.5,427.7,432.6,435.9,448.7,453.7,457.8,459.6,467.5,475.6,480.1,486.6,498.4,506.4,510.6,517.4,525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,746.6,752.3,752.7,754.2,766.7,774.9,781.8,792.3,812.3,821.6,833.1,842.2,861,865.8,879,885,915.4,917.4,920.8,933.8,953.4,954.2,958.7,971.6,989.8,986.6,988.7,984.2,965.4,965.8,960.9,960.4,974.7,983,987.1,988.2,914.5,919.2,920.8,922.8,942.6,944.4,947.6
"34","26","Less: Personal current taxes","W055RC1",102.6,105.7,104.1,105.6,104.6,105.5,100.7,101.5,98.3,100.7,102.3,105.5,119.8,123.4,124.3,127.1,126.4,129.2,134.1,140,142.8,148.9,154.9,157.6,158,121.1,152.8,158.5,162.1,169,175.8,182.4,188.4,195.3,198.2,208.1,211.7,222.8,236,247,253.4,261.8,274.6,285,284.2,291.5,301.5,318.2,330.3,342.1,356.3,352,351.9,359.1,349.5,355.9,350.3,359,344.9,355.1,360.7,369.9,383.6,395.4,431.8,388.1,421.1,428.4,425.7,428.8,438.9,455.4,450.2,511.1,488.4,506.4,501.1,496.8,505.7,516.2,551.3,565,569.9,578.2,580.5,592.6,598.8,598.9,578.5,583.7,588,596.4,586.5,604.9,613.9,636.9,614.6,641.3,657,673.3,671.1,695.3,692.8,702.9,720,742.2,747.7,765.7,796.5,834.4,838.4,858.4,896.4,910.5,935.4,962.2,990.1,1016.4,1037.2,1062,1073.5,1090.8,1116.2,1149.6,1204.7,1226.1,1243.6,1254.6,1297.6,1304.5,1109.5,1227.7,1068.4,1045.3,1046.3,1041.7,1021.3,1018.1,945.2,1016.8,1009.3,1026.4,1064.7,1090.9,1164.2,1192.3,1224,1253.8,1321.5,1340.2,1354.3,1393.5,1458.7,1480.4,1497.5,1518,1536,1351.8,1432.1,1422.8,1199.7,1121.3,1125.6,1131.7,1156.9,1173,1211.8,1237.5,1372.5,1396.6,1403.8,1419.1,1450.8,1465.2,1475.5
"35","27","Equals: Disposable personal income","A067RC1",648.4,663.4,685.2,698.2,709.8,730.3,747.4,754.6,776.8,797.4,808.8,822.5,836.4,849.1,874.1,916.4,938,965.6,988.2,1020.8,1035,1055.2,1087,1109.6,1125.9,1193,1198.8,1231.3,1263.3,1284.4,1315.7,1346.1,1371.4,1410.8,1453.6,1504.1,1538.6,1588.2,1629.3,1673.2,1723.3,1757.9,1811.8,1870.4,1931.8,1951.4,2017.5,2110,2157.4,2193.6,2279.1,2318.4,2350.4,2389.4,2437.6,2473.3,2514.3,2555.9,2628.5,2700.6,2789.5,2865.1,2932.4,2978.8,3003.1,3085.6,3086,3142.6,3202.9,3241.4,3282.4,3308.5,3373,3365.9,3461.5,3540.9,3616.1,3690,3764.3,3834.9,3925.3,3960.8,4008.3,4071.1,4164,4236.7,4293.9,4321.5,4362.5,4422.1,4465.1,4529.8,4634.1,4701.9,4756.8,4854.1,4805.9,4908.4,4936.2,5036,5035.7,5148.8,5229,5323.7,5387.2,5419.1,5482.7,5539,5630.8,5728.3,5803.6,5875.9,5959.1,6019.9,6106.1,6213.2,6357.6,6463.4,6553.2,6621.6,6687.4,6740.8,6819.9,6965.1,7174.9,7280.5,7400.6,7452.7,7561.4,7576.8,7771.1,7684.6,7909.9,8015.4,8028.3,8085.1,8173.2,8303,8473.5,8561.5,8670.5,8820.7,8934.4,9132.1,9074.3,9194.4,9353.5,9487.1,9705.2,9863.8,9982.5,10111.2,10255.5,10358.6,10456.9,10623.4,10879.6,11220,11081.2,10917.3,10727.8,10758.1,10669.2,10734.6,10932.9,11117.5,11185.4,11272.4,11484.1,11542.3,11572.6,11598.3,11776.4,11861.8,11922.9
"36","28","Less: Personal outlays","A068RC1",603.8,615.9,626.6,639.1,650.5,660.8,673,680,699.4,713.9,726.9,743.7,761.5,780.6,799.5,824.6,849.5,865.6,884.5,901.2,918.3,947.3,976.9,987.5,1015,1044,1078.5,1107.7,1141.2,1161,1190.8,1225.2,1262,1291,1323.2,1362.5,1394.1,1453.4,1485.9,1526.4,1562.8,1604.5,1660.5,1705.8,1758.2,1760.1,1818.4,1888.7,1949,1983.1,2025.9,2043.4,2084.9,2114.8,2165.5,2229.9,2272.3,2339.3,2412.6,2467.5,2515.2,2576.8,2618.5,2670.3,2746.1,2795.2,2865.6,2896.1,2941.6,2974.5,3046.4,3086.9,3119.5,3186.1,3253.6,3288.3,3370.8,3431.8,3500.4,3575.8,3634.4,3700.3,3760.2,3810.8,3897.4,3952.1,4018.7,4041.1,4059.2,4114.3,4160.8,4192.4,4290.6,4344.2,4423.8,4496,4537.3,4604.9,4668.1,4734.6,4806.2,4870.1,4952.8,5025.4,5059.9,5138.1,5209.4,5275.6,5353.6,5451.3,5512,5597,5682.8,5725.2,5839.8,5928.9,5987.2,6108.1,6210.3,6324.3,6400.9,6540.9,6653.9,6786.4,6955.1,7054,7171.5,7275.7,7353.2,7414.9,7448.1,7557.9,7596.2,7694,7781.3,7838.5,7922.2,8012,8166.7,8251.6,8387.7,8489.9,8621.1,8786,8914.8,9060.6,9230.2,9331,9471.4,9600.8,9734.8,9829.2,9983.8,10121.6,10234.1,10360.1,10424.5,10529.4,10538.4,10236.3,10138.1,10135.4,10259.6,10323.9,10428.2,10498.4,10581.5,10733.3,10898.1,11015.1,11120.9,11205.6,11348.7,11406.1,11491.6
"37","29","  Personal consumption expenditures","DPCERC1",588.4,599.8,610.1,622.1,633.2,643.1,655.1,661.8,680.8,694.9,707.3,723.5,740.9,759.4,777.9,802.7,827.3,842.9,861.4,876.5,894.7,923.2,952,961.8,988.1,1016.8,1050.6,1079.6,1113.4,1133,1162.4,1196.2,1231.7,1259.7,1290.9,1329.1,1359.1,1416.7,1447.7,1487,1522.6,1563.2,1617.7,1661.2,1708,1710,1768.7,1836.6,1892.4,1924,1963.4,1978.2,2016.2,2042.7,2090.7,2152.4,2192.2,2256.4,2326.5,2379.2,2425.5,2484.1,2522.8,2572,2643.4,2687.4,2755.9,2783.7,2827.2,2859.2,2930.6,2969.9,3004.8,3071.9,3138.3,3173,3253.5,3313,3380.4,3453.3,3507.7,3570,3626.8,3673.5,3758.7,3811.8,3875.2,3896,3909.7,3963.3,4008.7,4038.6,4140.1,4193.5,4267.7,4346.2,4384.9,4452.1,4516.3,4581.1,4650.4,4709.8,4786.3,4856.7,4888.7,4957.5,5022.9,5080.1,5156.5,5248.8,5304.4,5384.7,5467.1,5504,5613.3,5698.1,5757.5,5870.2,5968,6078.2,6157.4,6290,6398.9,6524.9,6683,6775.7,6881.7,6981.1,7058.1,7118.7,7151.2,7267.2,7309,7403.4,7491.2,7553.2,7645.9,7727.4,7882,7961.2,8098.1,8193.9,8316.5,8473.8,8591.9,8730.3,8895.8,8996.1,9126.2,9249.3,9371.7,9456.8,9601.7,9720.9,9817.7,9948.7,10018.5,10126.5,10135.8,9861.3,9768.4,9763.9,9888.8,9962.5,10069.1,10148.3,10243.6,10401.9,10566.3,10684.9,10791.2,10873.8,11007.2,11067.2,11149.8
"38","30","  Personal interest payments \3\","B069RC1",13.3,13.8,14.2,14.6,14.9,15.1,15.3,15.6,15.9,16.3,16.7,17.2,17.6,18,18.3,18.6,19.2,19.6,20,20.4,20.3,20.8,21.5,22.1,23.3,23.5,23.9,24.1,23.5,23.7,24,24.4,25.6,26.5,27.4,28.5,30,31.3,32.7,33.7,34.5,35.5,36.7,38,43.7,43.4,42.7,44.8,45.8,47.9,50.7,52.9,55.6,58.5,60.8,63.1,65.9,68,70.5,72.5,73.3,75.7,78.6,80.5,84.4,89.4,90.6,93.1,94.1,94.8,94.5,94.6,92.6,91.4,91.4,91.4,92.4,93.3,94.4,95.8,99.6,102.6,105.3,107.9,109.4,110.6,112.3,113,114.8,115.1,114.9,115,113.9,112.3,110.5,108.4,108.1,107.8,105.8,106.3,107.2,110.7,116.2,117.9,120.5,129.3,133.5,139,141.6,145.2,149.4,153,153.4,158.1,162.3,165,163.7,169.8,171.9,172.4,169.8,174.6,177.9,183.7,190.1,195.6,206,209.5,206.1,205.6,204.7,198.4,192,194.8,192.4,185.9,177.7,184,185,184,181.5,185.7,193.1,200.8,203.8,211,214.9,213.6,223.9,223.7,233.5,239.2,244.4,260.6,273.4,265.2,256.9,250.7,247.9,226.9,221.2,221.5,219.6,206.1,199,189.7,176,170.2,170.1,167.8,167.3,167,175.4,171.2,172.9
"39","31","  Personal current transfer payments","W211RC1",2.1,2.3,2.3,2.4,2.5,2.6,2.6,2.6,2.6,2.7,2.9,3,3,3.2,3.2,3.3,3,3.1,3.1,4.4,3.3,3.4,3.5,3.6,3.7,3.6,4,4,4.3,4.3,4.4,4.6,4.7,4.8,4.9,4.9,5.1,5.4,5.5,5.8,5.7,5.8,6.1,6.6,6.5,6.7,7,7.4,10.8,11.2,11.7,12.3,13.1,13.7,14.1,14.4,14.2,14.9,15.6,15.9,16.4,17,17.1,17.8,18.3,18.4,19.1,19.2,20.2,20.6,21.2,22.4,22.1,22.9,23.9,24,24.9,25.5,25.6,26.6,27.1,27.7,28.1,29.3,29.3,29.7,31.2,32.1,34.7,35.9,37.2,38.9,36.5,38.4,45.7,41.4,44.3,45,46,47.2,48.6,49.6,50.3,50.9,50.8,51.3,53,56.5,55.5,57.3,58.2,59.3,62.3,63.1,64.2,65.8,65.9,68.1,70.4,73.7,73.7,76.3,77.2,77.8,82,82.8,83.8,85.1,88.9,90.6,92.2,92.3,95.2,95.8,97.7,99.4,98.6,100.6,99.7,106.4,108.1,110.3,111.5,111.4,119.1,119.2,119.5,121.2,121.4,127.8,129.6,133.2,137.7,140,143,146.1,149.1,152.1,154.7,148.1,148.5,150.1,151.2,155.3,160,160.4,161.9,161.1,161.7,162.4,162.4,164.8,166.1,167.7,169
"40","32","    To government","W062RC1",1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.8,5,5.3,5.6,5.9,6.1,6.3,6.7,6.9,7.2,7.5,7.7,8,8.3,8.5,8.8,9.1,9.3,9.5,9.9,10.2,10.6,11,11.3,11.7,12.1,12.7,12.7,12.9,13.5,13.7,14.2,14.8,15.1,15.4,15.9,16.3,16.7,17.1,17.3,17.9,18.7,19.6,20.9,22.1,23.1,24.2,25,25.8,26.4,26.8,28,28.3,28.7,29.2,30.1,30.7,31.2,31.6,31.9,32.3,32.9,33.5,34,34.6,35.2,35.8,37.2,38,38.6,39,39.1,39.3,40,41.1,42.3,43.5,44.7,45.8,46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56,56.8,57.6,58.1,59.3,60.7,62.5,64.6,66.2,67.5,68.6,70.2,71,71.8,72.6,74.6,75.7,76.9,78.4,80.1,81.4,83,84.9,84.3,84.4,84.9,85.7,84.7,84.9,85.3,85.9,86.6,87.2,87.7,88,88.3,88.6,89.1,89.8,90.5,91.3,92
"41","33","    To the rest of the world (net)","B070RC1",1,1.2,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.3,2.5,1.4,1.4,1.4,1.3,1.3,1.2,1.5,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.6,1.6,1.8,1.5,1.5,1.7,2.1,1.9,1.9,2,2.1,5.2,5.4,5.7,6,6.4,6.8,6.9,6.9,6.4,6.9,7.3,7.4,7.6,7.9,7.8,8.2,8.4,8.2,8.5,8.2,8.9,8.9,9.2,9.7,9.5,10,10.4,10.3,10.7,10.7,10.5,11.2,11.1,11.4,11.4,12.2,12.1,11.8,12.5,12.5,13.8,13.8,14.1,14.7,11.5,12.6,19.3,14.5,16.3,16.7,17.3,18,18.5,18.9,19.1,19.3,18.9,18.9,20.2,23,21.4,22.7,22.9,23.5,25.1,25.1,25.6,26.8,26.9,28.7,30.4,32.7,31.4,32.8,32.5,32,35,34.6,34.4,34.5,37.4,38.1,38.8,38,40,39.8,40.9,41.8,40.5,41.3,38.9,43.9,43.5,44.1,44,42.7,48.9,48.2,47.6,48.7,46.8,52.2,52.7,54.8,57.6,58.6,60,61.2,64.8,67.7,69.8,62.4,63.7,65.2,65.9,69.4,73.4,73.2,74.2,73.1,73.5,73.8,73.3,75.1,75.5,76.4,76.9
"42","34","Equals: Personal saving","A071RC1",44.6,47.5,58.6,59.1,59.3,69.5,74.4,74.6,77.4,83.5,81.9,78.8,74.9,68.5,74.7,91.8,88.5,100,103.7,119.5,116.7,107.8,110.1,122.1,110.9,149,120.3,123.6,122.1,123.4,124.9,120.9,109.5,119.8,130.4,141.6,144.4,134.9,143.5,146.8,160.5,153.4,151.3,164.6,173.6,191.3,199.1,221.3,208.3,210.5,253.2,275,265.6,274.6,272.1,243.4,242,216.7,216,233.1,274.3,288.3,313.9,308.5,257,290.3,220.4,246.5,261.3,266.8,236,221.6,253.5,179.7,207.9,252.6,245.3,258.1,263.9,259.2,290.9,260.5,248.1,260.4,266.6,284.6,275.2,280.4,303.3,307.8,304.4,337.3,343.5,357.7,333,358.1,268.6,303.4,268.1,301.4,229.5,278.7,276.2,298.3,327.3,281,273.3,263.4,277.2,277,291.5,278.9,276.3,294.7,266.3,284.4,370.4,355.4,342.9,297.2,286.5,199.9,166,178.7,219.9,226.5,229,177,208.2,161.9,323,126.7,313.7,321.4,247,246.7,250.9,291,306.9,309.9,282.8,330.8,313.3,346.1,159.5,133.8,123.3,156.1,233.7,263,247.7,282,271.7,237,222.8,263.3,455,690.6,542.8,680.9,589.8,622.7,409.6,410.6,504.8,619.1,603.8,539.1,585.9,527.2,451.6,392.7,427.7,455.7,431.3
"43","35","  Personal saving as a percentage of disposable personal income","A072RC1",6.9,7.2,8.6,8.5,8.4,9.5,9.9,9.9,10,10.5,10.1,9.6,9,8.1,8.5,10,9.4,10.4,10.5,11.7,11.3,10.2,10.1,11,9.8,12.5,10,10,9.7,9.6,9.5,9,8,8.5,9,9.4,9.4,8.5,8.8,8.8,9.3,8.7,8.4,8.8,9,9.8,9.9,10.5,9.7,9.6,11.1,11.9,11.3,11.5,11.2,9.8,9.6,8.5,8.2,8.6,9.8,10.1,10.7,10.4,8.6,9.4,7.1,7.8,8.2,8.2,7.2,6.7,7.5,5.3,6,7.1,6.8,7,7,6.8,7.4,6.6,6.2,6.4,6.4,6.7,6.4,6.5,7,7,6.8,7.4,7.4,7.6,7,7.4,5.6,6.2,5.4,6,4.6,5.4,5.3,5.6,6.1,5.2,5,4.8,4.9,4.8,5,4.7,4.6,4.9,4.4,4.6,5.8,5.5,5.2,4.5,4.3,3,2.4,2.6,3.1,3.1,3.1,2.4,2.8,2.1,4.2,1.6,4,4,3.1,3.1,3.1,3.5,3.6,3.6,3.3,3.8,3.5,3.8,1.8,1.5,1.3,1.6,2.4,2.7,2.5,2.8,2.6,2.3,2.1,2.5,4.2,6.2,4.9,6.2,5.5,5.8,3.8,3.8,4.6,5.6,5.4,4.8,5.1,4.6,3.9,3.4,3.6,3.8,3.6
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","36","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \4\","W875RX1",3112,3147.9,3192.8,3212.9,3213.9,3227.1,3246.2,3222.6,3263,3289.1,3309.6,3349.6,3414.3,3456.7,3523.2,3629.1,3655.5,3691.1,3719.4,3772,3704,3664.3,3669.8,3637.5,3587,3589,3629.1,3676.4,3731.5,3788.7,3823.8,3865,3879.6,3941.9,3994.4,4094.2,4117.5,4188.4,4232.6,4283.4,4330.2,4307.3,4323,4364.9,4350.8,4294.1,4289.7,4405.1,4405.4,4421.7,4508.8,4503.9,4498.3,4525.5,4496.2,4495.3,4515.8,4554.1,4606.6,4713.5,4816,4908.9,5005.4,5059.2,5090.4,5113.3,5127.7,5188.3,5225.6,5280.8,5313.9,5341.2,5357.1,5387.4,5444.7,5544.6,5578.2,5618.3,5665.6,5721.4,5802.3,5787.5,5818.5,5858.6,5876.7,5916.9,5916.4,5852.9,5811.3,5837.1,5843.6,5857.3,5898.8,5946.3,5974.7,6087.4,5942.7,6068,6084.2,6192.5,6148.1,6281.3,6321.9,6395.1,6430.2,6447.3,6495.7,6563,6637,6731.7,6800.8,6862,6949.1,7018.6,7121.5,7243.9,7427.8,7556.6,7655.5,7726.9,7768,7801.2,7864.7,8011.8,8220.6,8296.1,8385.1,8394.5,8454.7,8403.1,8394.8,8377.3,8401.6,8401.2,8365,8367.5,8362.4,8473.9,8499.5,8623.9,8624.6,8715.2,8810.2,8946.2,8867.5,8937.1,9017.1,9087,9291.4,9367.8,9407.4,9560.7,9603.3,9643.4,9679.5,9723.4,9843.7,9752.6,9654.4,9599.7,9155.6,8947.9,8805.2,8789,8887.4,9047.5,9086.2,9122.1,9352.3,9345.2,9328.6,9335.4,9435.7,9491.3,9495.8
"46",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
