"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"178","171","Q1HOP1 B   Household operation","Q1HOP10",266367,269851,277407,291069,303314,312884,327271,340359,357087,371876,390110,390968,394144,400241,410611
"179","172","Q1GEL1 B     Electricity and gas","Q1GEL10",117401,121084,120424,126783,128772,130154,134738,133729,136678,138143,143300,140893,144716,147211,150531
"180","173","Q1ELC1 C       Electricity (37)","Q1ELC10",81127,83468,82025,86853,88810,90163,91793,91672,97956,98796,102348,100038,104548,106175,108519
"181","174","Q1NGS1 C       Gas (38)","Q1NGS10",36649,38058,39113,40556,40468,40399,43815,42788,38678,39337,40953,40827,40184,41044,41973
"182","175","Q1HLU1 B     Other household operation","Q1HLU10",149401,149179,157427,164750,175032,183184,192977,206991,220672,233782,246809,250198,249383,252969,260044
"183","176","Q1WAT1 C       Water and other sanitary services (39)","Q1WAT10",41096,40503,39742,41646,43525,45156,46624,47652,48385,50017,50816,51308,51980,52841,53158
"184","177","Q1WSM1 D         Water and sewerage maintenance","Q1WSM10",34397,34070,33351,34585,35924,37085,37864,38277,38398,39329,39713,40370,41341,41814,41686
"185","178","Q1REF1 D         Refuse collection","Q1REF10",6747,6481,6436,7094,7628,8090,8767,9376,9987,10689,11103,10937,10632,11024,11481
"186","179","Q1TEL1 C       Telephone and telegraph (41)","Q1TEL10",58325,60967,67522,71115,75530,79457,86497,96401,103953,114347,125068,131020,130674,133446,139408
"187","180","Q1LOC1 D         Local and cellular telephone","Q1LOC10",30664,31662,34435,37031,40431,43779,49077,53078,59246,68464,79080,88845,94171,96051,100866
"188","181","Q1CEL1 D           Cellular telephone","Q1CEL10",1335,1817,2913,3974,5360,7229,9750,11531,15084,21645,30187,40806,47736,54217,62168
"189","182","Q1OLC1 D           Local telephone","Q1OLC10",34436,34698,35951,37106,38679,39397,41496,43398,45350,47171,48892,48554,47736,44322,42555
"190","183","Q1LDT1 D         Long distance telephone","Q1LDT10",27517,29155,32938,33904,34906,35481,37225,43031,44485,45791,45988,42083,36079,36983,37887
"191","184","Q1INC1 D           Intrastate toll calls","Q1INC10",10113,11029,11855,12286,13211,13973,14606,14812,14882,14412,14128,13216,11236,11595,12997
"192","185","Q1ITC1 D           Interstate toll calls","Q1ITC10",17531,18240,21239,21777,21885,21756,22873,28289,29644,31384,31860,28865,24843,25387,24851
"193","186","Q1DMS1 C       Domestic service (42)","Q1DMS10",14315,13304,14329,14916,15418,16049,15655,16225,18320,16790,17350,16249,15568,16754,18800
"194","187","Q1DMC1 D         Domestic service, cash","Q1DMC10",13215,12192,13103,13709,14073,14660,14250,14823,16810,15344,15902,14810,14097,15283,17335
"195","188","Q1DMI1 D         Domestic service, in kind","Q1DMI10",1113,1113,1225,1210,1342,1388,1400,1401,1512,1445,1448,1439,1473,1469,1458
"196","189","Q1OPO1 C       Other (43)","Q1OPO10",39659,37239,37560,38737,42343,44287,45437,47370,50576,52778,53576,51742,51301,50212,49375
"197","190","Q1MSE1 D         Moving and storage","Q1MSE10",8666,7755,7891,8297,9460,10449,10897,12220,12780,13523,13569,12255,12222,12162,12139
"198","191","Q1FIN1 D         Household insurance","Q1FIN10",4024,3919,3748,3649,3711,3600,3662,3394,3808,3845,3836,3794,3355,2914,2735
"199","192","Q1FIP1 D           Household insurance premiums","Q1FIP10",7511,7569,7834,8119,8412,8683,8899,9042,9397,9744,10161,10733,11737,12216,12906
"200","193","Q1FIB1 D           Less: Household insurance benefits paid","Q1FIB10",3487,3650,4086,4470,4701,5083,5237,5648,5589,5900,6325,6939,8382,9302,10171
"201","194","Q1RCL1 D         Rug and furniture cleaning","Q1RCL10",1090,1111,1180,1348,1548,1788,2023,2221,2373,2540,2686,2702,2744,2670,2575
"202","195","Q1ERE1 D         Electrical repair","Q1ERE10",2950,3067,3064,3047,3238,3563,3447,3643,3707,3756,3641,3465,3436,3338,3068
"203","196","Q1FRE1 D         Reupholstery and furniture repair","Q1FRE10",2686,2620,2412,2261,2297,2380,2352,2400,2697,2779,2772,2563,2491,2327,2149
"204","197","Q1PST1 D         Postage","Q1PST10",9674,8726,8579,8854,9341,9135,9453,9605,10107,10361,10819,10748,10617,10311,10140
"205","198","Q1MHO1 D         Household operation services, n.e.c.","Q1MHO10",10124,9756,10537,11183,12638,13358,13565,13900,15092,15976,16254,16200,16320,16249,16186
"206","199","Q1TOT1 B   Transportation","Q1TOT10",195691,186344,194199,202459,218376,231774,247502,263198,272002,283405,291254,287969,279872,277699,280881
"207","200","Q1UOS1 C     User-operated transportation","Q1UOS10",152063,143329,151401,159236,171536,183373,195711,209730,215994,225295,231602,231630,224462,221629,222641
"208","201","Q1REP1 C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","Q1REP10",109366,101689,108786,116295,127723,138846,150542,163480,168989,177409,183494,182925,175360,172516,172599
"209","202","Q1ARP1 D         Motor vehicle repair","Q1ARP10",94458,84493,86225,89767,96147,101722,106278,109155,113107,116397,119333,121004,119346,119885,121638
"210","203","Q1RLO1 D         Motor vehicle rental, leasing, and other","Q1RLO10",16644,18469,23587,27459,32409,37786,44646,54367,55934,61016,64160,61916,55937,52420,50620
"211","204","Q1MVR1 D           Motor vehicle rental","Q1MVR10",4350,4574,4424,5002,5727,5738,6676,7233,7556,7672,8213,8374,7935,8717,9797
"212","205","Q1MVL1 D           Motor vehicle leasing","Q1MVL10",5297,6312,10165,13369,17370,22130,27330,34606,34961,38989,41277,38651,33263,29256,26900
"213","206","Q1ALE1 D             Auto leasing","Q1ALE10",4399,4952,8568,10831,12704,15190,17318,21543,20479,21727,22181,22385,19327,17205,15595
"214","207","Q1TLE1 D             Truck leasing","Q1TLE10",861,1337,1523,2464,4622,6912,10006,13061,14483,17262,19096,16266,13937,12051,11305
"215","208","Q1OAS1 D           Other motor vehicle services","Q1OAS10",8192,8802,10040,9934,9962,10276,10789,12497,13449,14360,14670,14905,14722,14377,13860
"216","209","Q1ATN1 C       Other user-operated transportation (76+77)","Q1ATN10",43267,42581,43289,43370,44056,44637,45194,46224,46971,47869,48108,48709,49125,49127,50024
"217","210","Q1TOL1 C         Bridge, tunnel, ferry, and road tolls","Q1TOL10",3294,3412,3863,4040,4194,4404,4792,5005,4689,4997,5075,4899,5380,5956,6471
"218","211","Q1AIN1 C         Insurance","Q1AIN10",39939,39140,39394,39315,39856,40226,40409,41227,42275,42872,43033,43814,43736,43156,43538
"219","212","Q1PLT1 C     Purchased local transportation","Q1PLT10",10909,10810,10665,10776,11229,11235,10959,10954,11819,12093,12227,12107,11762,11130,10976
"220","213","Q1IMT1 C       Mass transit systems (79)","Q1IMT10",7475,7579,7572,7620,8014,7865,7742,7764,8291,8728,9087,8974,8548,7833,7600
"221","214","Q1TAX1 C       Taxicab (80)","Q1TAX10",3437,3230,3092,3155,3212,3372,3218,3190,3528,3365,3139,3133,3214,3296,3375
"222","215","Q1PIT1 C     Purchased intercity transportation","Q1PIT10",32539,31853,31965,32396,35523,37098,40812,42537,44182,46015,47425,44112,43632,45302,48064
"223","216","Q1IRR1 C       Railway (82)","Q1IRR10",809,803,606,570,513,478,451,461,468,474,518,533,527,523,563
"224","217","Q1IBU1 C       Bus (83)","Q1IBU10",1528,1715,1729,1872,1960,2109,2157,2509,2400,2343,2376,2291,2192,2037,1854
"225","218","Q1IAI1 C       Airline (84)","Q1IAI10",24806,23882,23446,23727,26131,27190,30313,31741,33307,34908,36725,34039,33953,36092,39325
"226","219","Q1TRO1 C       Other (85)","Q1TRO10",5308,5408,6229,6263,6946,7353,7912,7848,8014,8293,7807,7242,6992,6842,6724
"227","220","Q1TMD1 B   Medical care","Q1TMD10",797618,824521,863632,877196,887095,906399,922489,942809,970667,988975,1026813,1075248,1139270,1184326,1228546
"228","221","Q1PHY1 C     Physicians (47)","Q1PHY10",194739,198050,204308,198351,196503,200126,204920,210554,218734,224578,236836,249676,270632,285649,299859
"229","222","Q1DEN1 C     Dentists (48)","Q1DEN10",53495,52373,54240,54237,55277,56689,57067,58114,59236,60026,61827,64184,66361,66230,65616
"230","223","Q1OPS1 C     Other professional services (49)","Q1OPS10",94846,104170,115613,125864,132702,142262,148573,151123,155511,157208,161577,169919,179415,190116,200256
"231","224","Q1HHC1 D       Home health care","Q1HHC10",24189,27677,32540,37554,41983,47284,50021,49197,48356,46934,45747,46923,49520,54585,58171
"232","225","Q1MLB1 D       Medical laboratories","Q1MLB10",8235,8995,9724,9763,10020,9830,10395,11658,13184,14333,16405,18324,18865,20169,21718
"233","226","Q1EEX1 D       Eye examinations","Q1EEX10",2660,3054,3255,3609,3951,4120,4431,4712,4841,5102,5379,5423,5650,5846,6001
"234","227","Q1OMD1 D       All other professional medical services","Q1OMD10",59638,64330,70028,74947,76821,81216,83924,85660,89180,90858,94047,99242,105371,109558,114444
"235","228","Q1PHO1 C     Hospitals and nursing homes (50)","Q1PHO10",386401,399397,414449,421853,426529,434130,441600,453607,462560,469417,482597,504039,530958,546488,561529
"236","229","Q1HSP1 C       Hospitals","Q1HSP10",317297,328758,340974,346633,349951,353305,357816,365732,374923,383033,395998,416847,442678,457298,473054
"237","230","Q1NPH1 C         Nonprofit","Q1NPH10",214660,224383,235288,239219,238615,237635,239668,245115,251690,259408,267122,275847,288834,296661,304989
"238","231","Q1FPH1 C         Proprietary","Q1FPH10",38890,38550,37614,36063,36448,38376,41194,42882,42150,41944,43144,48057,54221,57263,60751
"239","232","Q1GVH1 C         Government","Q1GVH10",64135,66111,68336,71620,75047,77303,76915,77700,81058,81686,85732,92979,99720,103486,107412
"240","233","Q1NRS1 C       Nursing homes","Q1NRS10",68735,70206,73044,74824,76234,80748,83822,88009,87707,86402,86599,87221,88369,89295,88606
"241","234","Q1NPN1 D         Non-profit nursing homes","Q1NPN10",21844,21713,23481,24187,24901,26233,27616,30526,30742,31503,31939,33089,33690,34165,34270
"242","235","Q1FPN1 D         Proprietary and government nursing homes","Q1FPN10",47083,48764,49734,50796,51463,54669,56332,57531,57001,54903,54659,54140,54690,55142,54353
"243","236","Q1HIN1 C     Health insurance (56)","Q1HIN10",70082,71757,76167,78035,77092,73710,70557,69608,74708,77784,83975,87433,92083,96447,102487
"244","237","Q1MIN1 C       Medical care and hospitalization","Q1MIN10",52803,54460,57452,58852,58696,56848,55138,54736,60114,62875,68430,70428,73931,76904,81492
"245","238","Q1IIN1 C       Income loss","Q1IIN10",723,677,794,1007,950,974,1041,1253,1450,1591,1699,1798,1913,2027,2144
"246","239","Q1PWC1 C       Workers' compensation","Q1PWC10",17354,17685,18831,18536,17707,15860,14244,13486,13112,13307,13846,15240,16307,17720,19138
"247","240","Q1REC1 B   Recreation","Q1REC10",170598,171612,183965,195388,204796,219189,228634,235652,244950,257819,268265,274894,281531,290330,299252
"248","241","Q1SSA1 C     Admissions to specified spectator amusements (96)","Q1SSA10",21676,21646,22283,24548,25237,26160,27766,28716,29521,30192,30400,30863,31953,31702,32716
"249","242","Q1MOV1 C       Motion picture theaters","Q1MOV10",7371,7128,6651,6737,6836,6982,7233,7625,8157,8438,8587,8687,8991,8812,8798
"250","243","Q1LEG1 C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","Q1LEG10",7476,7396,8129,9432,9742,10023,10142,10580,10430,10536,10337,10491,10759,10324,11307
"251","244","Q1SPE1 C       Spectator sports","Q1SPE10",6841,7133,7510,8387,8666,9161,10391,10513,10935,11219,11477,11685,12200,12555,12603
"252","245","Q1RXA1 C     Other (94+100+101+102+103)","Q1RXA10",149024,150061,161726,170958,179640,193055,200924,206999,215476,227638,237864,244032,249572,258656,266555
"253","246","Q1RTV1 C       Radio and television repair","Q1RTV10",4025,3617,3485,3592,3581,3818,3841,3931,4047,4140,4172,4011,3967,3918,3950
"254","247","Q1CLU1 C       Clubs and fraternal organizations","Q1CLU10",17890,19579,20814,20936,20483,19972,19091,17818,18124,18576,19026,19264,19914,21405,21890
"255","248","Q1COM1 C       Commercial participant amusements","Q1COM10",33231,33589,38015,43251,49454,55689,60177,64451,67285,71393,75812,77218,79362,82490,85520
"256","249","Q1SIG1 D         Sightseeing","Q1SIG10",2963,3261,3639,3988,4328,4866,5055,5261,5540,5900,5514,5099,4826,4825,4898
"257","250","Q1FLY1 D         Private flying","Q1FLY10",373,390,347,333,340,403,383,413,416,470,482,492,502,512,524
"258","251","Q1BIL1 D         Bowling and billiards","Q1BIL10",3028,2826,2897,2620,2515,2529,2554,2524,2473,2514,2471,2511,2642,2695,2771
"259","252","Q1CAS1 D         Casino gambling","Q1CAS10",14694,15225,17995,22432,27692,32010,35458,38778,40958,44593,49046,50908,53759,56889,59607
"260","253","Q1OPA1 D         Other comml participant amusements","Q1OPA10",12455,12144,13383,14057,14691,15976,16790,17513,17925,17924,18300,18214,17665,17635,17817
"261","254","Q1PAR1 C       Pari-mutuel net receipts","Q1PAR10",4635,4353,4093,3958,4055,4171,4240,4311,4628,4991,4986,4947,5088,4981,4833
"262","255","Q1REO1 C       Other","Q1REO10",89325,89003,95409,99287,102097,109413,113579,116473,121379,128532,133868,138587,141236,145871,150358
"263","256","Q1PET1 D         Pets and pets services excluding veterinarians","Q1PET10",3265,3529,3512,3793,4072,4208,4493,4579,4438,4338,4480,4285,4222,4299,4399
"264","257","Q1VET1 D         Veterinarians","Q1VET10",6319,6494,6714,7160,7665,8428,9185,10002,10896,11543,11916,12133,12485,12736,12941
"265","258","Q1CTV1 D         Cable television","Q1CTV10",28109,27239,28518,29270,28906,31746,34126,35179,36048,39017,40424,42192,42607,44491,46134
"266","259","Q1FDV1 D         Film developing","Q1FDV10",6639,6488,6344,6480,6533,6501,6624,6604,6677,6806,6695,6618,6782,6518,6225
"267","260","Q1PIC1 D         Photo studios","Q1PIC10",5918,5910,6275,6583,6738,7101,6860,6282,6490,6544,6816,6696,6334,6228,6264
"268","261","Q1CMP1 D         Sporting and recreational camps","Q1CMP10",1413,1352,1577,1544,1592,1591,1566,1573,1670,1662,1772,1830,1777,1710,1659
"269","262","Q1HRE1 D         High school recreation","Q1HRE10",222,225,234,264,286,301,312,328,345,345,344,351,361,368,378
"270","263","Q1LOT1 D         Lotteries","Q1LOT10",11185,11060,11791,12730,13814,14797,15273,15239,15223,15106,14625,14778,15485,15902,16241
"271","264","Q1VID1 D         Video cassette rental","Q1VID10",5293,5439,5907,6594,7469,7902,7577,7694,8553,9301,9719,9958,9740,9604,9304
"272","265","Q1NEC1 D         Commercial amusements n.e.c.","Q1NEC10",21204,21320,24479,24639,24481,26434,27480,29031,31033,33879,37076,39735,41421,43898,46566
"273","266","Q1ISP1 D           Internet service providers","Q1ISP10",70,151,249,370,823,1730,2793,3595,4424,6772,9481,11929,12881,14901,16966
"274","267","Q1NIS1 D           Commercial amusements n.e.c. except internet service providers","Q1NIS10",21848,21819,24928,24917,24177,25155,25065,25772,26890,27183,27595,27824,28572,29101,29811
"275","268","Q1OSR1 B   Other","Q1OSR10",621880,631273,653209,680907,696183,704470,730654,764651,821927,877615,945940,960318,971149,990692,1023058
"276","269","Q1PER1 C     Personal care","Q1PER10",61623,57307,62412,63326,65350,69344,71304,75000,79531,83464,87029,86912,87254,87174,86938
"277","270","Q1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","Q1CRC10",14218,13273,13410,13112,13105,13582,13602,14476,14972,15452,15737,15183,14761,13443,12058
"278","271","Q1SCL1 D         Shoe repair","Q1SCL10",805,771,760,715,617,583,542,508,448,455,428,402,398,392,383
"279","272","Q1LAU1 D         Cleaning, laundering, and garment repair","Q1LAU10",13409,12499,12646,12395,12488,13000,13061,13969,14524,14997,15309,14781,14364,13051,11676
"280","273","Q1DRY1 D           Drycleaning","Q1DRY10",5139,5280,6460,6430,6629,6887,7031,7656,7959,8166,8266,7957,7682,6884,6072
"281","274","Q1LGR1 D           Laundry and garment repair","Q1LGR10",8284,7228,6188,5967,5860,6113,6030,6311,6564,6831,7043,6824,6681,6166,5602
"282","275","Q1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","Q1BBB10",27433,27501,30132,29430,29660,31334,31806,34182,35968,36953,38356,38799,39377,40262,41303
"283","276","Q1BEA1 D         Beauty shops, including combination","Q1BEA10",25157,25265,27915,27266,27467,29129,29611,31717,33529,34444,35834,36267,36839,37709,38726
"284","277","Q1BAR1 D         Barber shops","Q1BAR10",2284,2243,2218,2165,2195,2204,2195,2464,2440,2509,2522,2532,2538,2553,2576
"285","278","Q1COT1 C       Other (19)","Q1COT10",19979,16621,18980,20833,22597,24435,25885,26354,28599,31059,32936,32931,33121,33482,33606
"286","279","Q1WCR1 D         Watch, clock, and jewelry repair","Q1WCR10",1170,1111,1087,1111,1156,1313,1414,1554,1710,1765,1801,1778,1775,1763,1737
"287","280","Q1CRP1 D         Miscellaneous personal services","Q1CRP10",18803,15504,17890,19722,21442,23122,24472,24800,26889,29295,31135,31153,31347,31719,31870
"288","281","Q1PBU1 C     Personal business","Q1PBU10",330009,349012,358899,381002,382630,386959,402329,426346,453921,495312,539098,532877,531270,547319,574708
"289","282","Q1BRO1 C       Brokerage charges and investment counseling (61)","Q1BRO10",12286,14257,16772,21413,24104,28107,34177,41329,53120,73895,100581,86425,86975,85746,90346
"290","283","Q1EQT1 D         Equities commissions including imputed","Q1EQT10",2488,3250,3898,5635,6640,8774,11219,14092,20181,33044,53025,45354,45237,39581,38060
"291","284","Q1MUT1 D         Broker charges on mutual fund sales","Q1MUT10",1989,2638,3586,4454,4045,3980,5074,6171,7429,8333,10004,8731,8762,8974,9734
"292","285","Q1TDS1 D         Trading profits on debt securities","Q1TDS10",1886,1880,2175,1674,1876,2055,2145,1859,1295,1118,1246,1531,1192,1502,1788
"293","286","Q1TSC1 D         Trust services of commercial banks","Q1TSC10",2466,2630,2663,2476,2489,2449,2354,2410,2489,2646,2608,2608,2608,2692,2718
"294","287","Q1IAS1 D         Investment advisory services of brokers","Q1IAS10",2583,2736,3266,4177,4864,5118,6184,7748,9282,11362,13740,11606,10887,10566,11366
"295","288","Q1CMD1 D         Commodities revenue","Q1CMD10",1916,1225,1438,1653,1893,1928,1937,2166,2454,2332,2395,3068,4151,5083,6258
"296","289","Q1SAX1 D         Investment counseling services","Q1SAX10",5415,5657,5732,6558,7866,8355,9632,11057,12756,16068,17563,13539,14054,15929,18017
"297","290","Q1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","Q1BNK10",45906,47655,49272,50300,48918,48737,49243,49605,54357,61624,64244,67265,71985,77180,81875
"298","291","Q1DAB1 D         Commercial bank service charges on deposit accounts","Q1DAB10",14515,15315,16254,16163,15338,14882,14569,14906,15486,16755,17691,18899,20665,21622,22020
"299","292","Q1FDB1 D         Commercial bank fees on fiduciary accounts","Q1FDB10",13171,14044,14219,13224,13292,13081,12570,12872,13293,14133,13931,13928,13928,13928,14023
"300","293","Q1OFB1 D         Commercial bank other fee income","Q1OFB10",11517,11514,11974,13392,13186,13142,13294,11846,14455,18436,18355,18061,20238,22002,23553
"301","294","Q1OBB1 D         Charges and fees of other depository institutions","Q1OBB10",7148,7364,7325,7651,7338,7827,8870,10070,11172,12319,14268,16356,17050,19418,21997
"302","295","Q1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","Q1IMP10",115710,122603,127273,131133,133233,129717,136064,143156,150364,158949,167223,176176,180922,186270,200904
"303","296","Q1IMC1 D         Commercial banks","Q1IMC10",59015,67304,70763,73192,69523,66202,69678,69076,67515,68962,64251,74600,84638,80227,83135
"304","297","Q1IMN1 D         Other financial institutions","Q1IMN10",58219,56736,57956,59432,64859,64496,67445,74724,83183,90212,102972,101464,95631,106214,118323
"305","298","Q1LIF1 C       Expense of handling life insurance and pension plans (64)","Q1LIF10",86188,96068,91427,100310,95099,96991,93180,97297,93124,91368,96078,90127,79430,82562,83536
"306","299","Q1GAL1 C       Legal services (65)","Q1GAL10",62243,60163,61597,60959,60193,58808,60604,61968,63360,64201,63854,64542,63928,66010,68511
"307","300","Q1FUN1 C       Funeral and burial expenses (66)","Q1FUN10",14960,14960,15522,15519,14983,15069,14759,14339,14699,14419,13977,14099,13467,13895,14729
"308","301","Q1PBO1 C       Other (67)","Q1PBO10",24247,24577,25070,26264,27289,27785,28475,29906,31455,32850,33140,33416,33894,34323,34102
"309","302","Q1UNS1 D         Labor union expenses","Q1UNS10",8925,9337,9622,9748,9900,10086,10216,10465,10624,10791,10965,10788,11152,11162,10695
"310","303","Q1ASS1 D         Profession association expenses","Q1ASS10",3685,3821,3908,4145,4254,4622,4578,4821,4982,5246,5392,5795,5830,5958,5841
"311","304","Q1GEN1 D         Employment agency fees","Q1GEN10",2936,2346,2209,2024,1832,1745,1625,1937,2250,2467,2672,2710,2892,2823,2798
"312","305","Q1AMO1 D         Money orders","Q1AMO10",800,807,848,903,990,1182,1325,1378,1571,1801,1893,1815,1976,2113,2235
"313","306","Q1CLA1 D         Classified ads","Q1CLA10",1212,1035,996,980,1029,1072,1112,1180,1214,1223,1231,1006,1035,1000,955
"314","307","Q1ACC1 D         Tax return preparation services","Q1ACC10",4088,4552,4580,5280,5941,5370,5743,5843,6303,6715,6890,7339,7545,7597,7628
"315","308","Q1THE1 D         Personal business services, n.e.c.","Q1THE10",2418,2520,2734,3105,3356,3677,3892,4283,4514,4611,4098,3965,3478,3676,3931
"316","309","Q1TED1 C     Education and research","Q1TED10",125594,127140,130509,132553,134784,138457,142730,145678,151899,157286,163771,170029,173738,174695,176325
"317","310","Q1HED1 C       Higher education (105)","Q1HED10",69562,71037,72774,73578,74530,75962,77309,77780,80508,83252,86358,90621,93490,95746,97630
"318","311","Q1PED1 D         Private higher education","Q1PED10",34895,35714,36651,37861,38748,40057,41311,40985,42554,44019,45564,47038,47200,47806,48579
"319","312","Q1GED1 D         Public higher education","Q1GED10",34931,35568,36359,35821,35841,35918,35981,36797,37955,39233,40794,43582,46272,47897,48987
"320","313","Q1EED1 C       Nursery, elementary, and secondary schools (106)","Q1EED10",29014,29056,29695,30254,30919,31932,32481,32633,33269,34086,34618,35037,35553,35565,36059
"321","314","Q1ESC1 D         Elementary and secondary schools","Q1ESC10",23563,24052,24309,24477,24717,25284,25734,25404,25799,26052,26104,25966,26027,25789,25925
"322","315","Q1NSC1 D         Nursery schools","Q1NSC10",5474,5031,5407,5792,6212,6655,6754,7232,7471,8033,8513,9071,9530,9786,10151
"323","316","Q1OED1 C       Other (107)","Q1OED10",26800,26893,27881,28548,29153,30383,32809,35192,38102,39939,42795,44368,44678,43331,42578
"324","317","Q1VED1 D         Commercial and vocational schools","Q1VED10",17964,17501,18077,18426,19113,20393,22104,23728,25841,27223,29533,30342,29848,28802,28203
"325","318","Q1RED1 D         Foundations and nonprofit research","Q1RED10",8818,9349,9755,10066,10000,9978,10695,11455,12258,12716,13262,14031,14880,14592,14451
"326","319","Q1RAW1 C     Religious and welfare activities (108)","Q1RAW10",121229,122763,131339,133425,140703,142427,149909,149417,157771,162090,172284,181227,191501,193747,201301
"327","320","Q1POL1 D       Political organizations","Q1POL10",2753,632,3415,529,2818,711,3763,632,3350,819,4290,739,3941,1086,4862
"328","321","Q1MUS1 D       Museums and libraries","Q1MUS10",4383,4358,4497,5018,5556,5960,6492,6910,7005,7282,7533,8078,8173,8903,9236
"329","322","Q1FOU1 D       Foundations to religion and welfare","Q1FOU10",9088,9894,9897,10015,9203,8886,8312,7471,8307,9149,9334,10789,11067,10974,10864
"330","323","Q1WEL1 D       Social welfare","Q1WEL10",66541,68017,72555,76387,79164,82869,85099,89441,92721,98764,105218,114557,119361,123018,126304
"331","324","Q1CHC1 D         Child care","Q1CHC10",20088,17965,18769,19878,20665,21699,21719,22843,23235,24448,25517,26878,27460,27650,28586
"332","325","Q1SCW1 D         Social welfare","Q1SCW10",46981,50142,53821,56561,58561,61239,63408,66628,69497,74319,79701,87695,91944,95459,97790
"333","326","Q1REL1 D       Religion","Q1REL10",38620,40114,41102,41664,44088,44129,46295,45025,46416,46108,45909,47091,48982,49770,50220
"334","327","Q1FOR1 C     Net foreign travel","Q1FOR10",-15507,-23484,-28260,-28458,-26142,-31391,-34270,-31195,-20605,-20382,-16243,-10850,-12872,-11989,-15486
"335","328","Q1FTR1 C       Foreign travel by U.S. residents (110)","Q1FTR10",53340,48901,51436,54373,57697,57537,59925,65527,73679,76117,84415,79654,73724,70988,74399
"336","329","Q1AFT1 D         Passenger fares for foreign travel","Q1AFT10",19234,17636,19209,20586,22929,22273,23323,25746,28636,30186,33237,30369,27539,28236,31179
"337","330","Q1UST1 D         U.S. travel outside the U.S.","Q1UST10",33096,30262,31316,32770,33828,34098,35361,38425,43410,44155,49144,47029,43857,40180,40621
"338","331","Q1USS1 D         U.S. student expenditures","Q1USS10",770,783,762,901,983,1119,1211,1354,1603,1782,2034,2305,2432,2498,2454
"339","332","Q1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","Q1EXF10",68847,72385,79696,82831,83839,88928,94196,96722,94284,96499,100658,90504,86596,82977,89885
"340","333","Q1FTU1 D         Foreign travel in the U.S.","Q1FTU10",59428,62692,69753,72680,73576,78566,83666,86025,83174,85053,88809,77980,73589,70056,77722
"341","334","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1117,1083,1047,1024,1024,1053,1183,1269,1329,1432,1501,1568,1635,1717,1747
"342","335","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8651,8905,9008,9204,9315,9330,9333,9409,9780,10013,10348,10912,11245,11015,10562
"343",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","336","Q1TGD1 D   Goods","Q1TGD10",1917689,1884834,1941466,2019908,2117350,2176737,2265522,2365071,2511360,2680611,2810542,2887157,2995560,3139263,3302113
"345","337","Q1CGP1 D   Control Group","Q1CGP10",1683633,1677540,1719475,1787090,1871725,1936701,2014676,2095192,2209824,2349765,2466789,2521305,2607840,2731870,2885600
"346","338","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4830032,4832309,4986641,5145727,5331060,5464703,5636511,5832154,6109886,6406900,6695545,6856238,7056770,7277388,7543854
"347","339","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1974018,1934538,1989097,2062332,2155100,2205758,2281095,2364650,2495045,2648902,2766708,2832998,2928588,3059951,3211346
"348","340","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",497514,463808,487950,519894,557787,573546,605768,643055,702469,772551,819492,846380,891796,949349,1005465
"349","341","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",151545,148687,154136,164845,178288,189947,200505,210934,226035,248500,269073,277363,292194,310699,341740
"350",NA,"         Market based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","343","Q1MBP1  Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,5013289,5260696,5538132,5785944,5933775,6127373,6329707,6568739
"352","344","Q1MBF1   Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,836057,856235,884085,915505,930455,948491,984900,1032985
"353","345","Q1MBE1   Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,313747,323080,330472,334781,334132,340767,344664,347883
"354","346","Q1MBX1   Market-based PCE except food & energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,3866921,4083725,4324296,4535658,4669324,4838322,5000155,5188645
"355","347","Q1MBV1    Market-based PCE motor vehicles & parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,270295,303724,336075,349024,366374,392903,414120,423621
"356","348","Q1DXM1    Durables except MV & parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,342854,381923,432360,476808,494774,531054,579393,636154
