"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"43","36","    Other household goods and services \8\","DOGSRC1",2.3,2,1.6,1.2,1.1,1.3,1.4,1.5,1.8,1.6,1.7,1.9,2,2.3,2.5,2.9,3.1,3.3,4.1,4.3,4.3,4.7,5,4.9,5.2,5.2,6,6.4,6.7,7.1,7.6,8.1,8.5,8.9,9.3,9.9,10.5,11.3,11.9,12.7,13.4,14.1,14.5,15.3,16.9,18.4,19.7,22,24.3,27.6,31.1,34.1,37.1,39.3,41.7,46.3,48.6,51.4,52.7,55.6,59.3,62,61.9,65.1,69.3,74.9,80,83.5,88.8,94.6,98.6,103.8,106,107.2,111.5,118.2,125.4,132.5,138.9,142.5
"44","37","  Health","DHLTRC1",3,2.9,2.6,2.2,2,2.2,2.3,2.5,2.7,2.7,2.8,3,3.2,3.6,4,4.5,4.8,5.9,6.6,7.6,7.9,8.5,9.3,10.1,11,11.9,12.8,14.1,15.5,17.1,18.8,20.4,21.8,24.3,26.4,29.8,32,35,38.4,43.8,50,56.8,63.4,70.4,78.7,88.7,102.7,116.8,131.6,149.4,169.9,195.5,228.9,254.9,287.1,315.2,345.3,378.4,419.9,470.7,519,583.7,638.4,700.4,741.7,779.9,826,868.3,919.9,979.7,1033.3,1109.6,1209.4,1317.1,1403.8,1500.6,1601.5,1688.1,1790.4,1878.2
"45","38","    Medical products, appliances, and equipment","DMPARC1",0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.3,1.4,1.6,1.6,1.8,1.9,2.1,2.4,2.5,2.6,2.7,2.8,3.2,3.5,3.7,4,4.3,4.7,5.2,5.4,5.7,5.9,6.3,6.5,7.2,8,9.2,9.7,10.6,11.5,12.6,13.7,14.9,15.9,18.2,21,23.8,26.9,29.7,34,38.7,43.1,48.2,53.9,60.7,67.8,77.5,82.6,87.7,92.9,99.4,106.1,116.2,128.9,147.6,169.7,191.2,212.8,234.2,254.6,270.9,285.5,307.3,320.8,324
"46","39","      Pharmaceutical and other medical products \9\","DPHMRC1",0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.8,1.9,1.9,2,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.5,4.7,4.9,5.2,5.7,6.3,7.3,7.7,8.4,9.1,9.9,10.7,11.7,12.4,14.2,16.5,18.7,21.3,23.5,26.9,30.3,33.5,37.2,41.3,45.9,51.9,59.1,65.1,69.6,74,79.1,85.1,93.2,103.7,119.8,140,159,181,200.2,219.6,234.5,247.3,267.1,277.6,279.4
"47","40","        Pharmaceutical products","DPNPRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.3,3.7,4,4.3,4.4,4.5,4.7,5.1,5.6,6.1,7.1,7.5,8.2,8.9,9.6,10.3,11.3,12,13.8,16.1,18.3,20.8,23,26.3,29.7,32.8,36.4,40.4,44.9,50.8,57.9,63.8,68.2,72.6,77.7,83.8,91.9,102.3,118.3,138.3,157.1,178.9,198,217.3,232.1,244.7,264.4,274.7,276.2
"48","41","        Other medical products","DOMPRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.7,2,2.1,2.2,2.3,2.4,2.5,2.7,3,3.2
"49","42","      Therapeutic appliances and equipment","DTAERC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1,1.2,1.3,1.4,1.3,1.5,1.7,1.9,1.9,2.2,2.4,2.7,3,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21,23,25.3,27.8,29.7,32.2,31.8,34,35,36.4,38.2,40.2,43.2,44.6
"50","43","    Outpatient services","DOUTRC1",1.7,1.6,1.4,1.1,1,1.1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.2,2.9,3.3,3.8,3.8,4,4.2,4.6,5.1,5.7,6,6.5,7.1,7.9,8.7,9.2,9.6,10.7,11.5,13.5,14.5,15.4,16.3,17.8,19.9,22.3,24.1,26.3,29.9,33.2,38.5,43.4,49.5,54.7,61.5,70.6,83.6,90.7,103.3,115.8,129.4,143.4,164.4,186.2,204.6,232.1,253.8,282.6,297.5,314.6,336.6,351.3,369.1,390.4,407.1,436.6,475.8,514.7,552.1,593.7,636.5,665,707.3,747.2
"51","44","      Physician services \10\","DPHYRC1",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1.1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.8,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,7,8.2,8.6,9.1,10.1,10.9,12.4,14,15.3,16.7,18.5,20.4,23.6,25.9,29.7,32.7,37.2,43.3,51,55.8,62.9,69.9,77.5,85.4,99.1,112.5,121.9,134.8,144.9,158.7,162.1,168.3,177.8,183.4,190.9,202,212.1,229.2,249.3,269.3,291.3,311.4,332.4,346.8,365.6,381.8
"52","45","      Dental services","DDENRC1",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.6,58.5,63.6,69.3,75.6,78.1,83.9,89,93.5,99.3,103.5
"53","46","      Paramedical services","DPMSRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1.2,1.4,1.6,1.9,2.2,2.7,3,3.3,2.8,3.1,3.2,3.4,3.6,4,4.8,5.5,6.7,8.2,9.5,10.7,12.1,13.6,16.5,17.5,21.6,25.2,29.4,33.8,38.5,45.3,52.4,64.9,74.8,86.3,95.8,104.1,113.4,120.1,127.3,133.8,136.5,143.8,157.2,169.8,182.6,198.4,215.1,224.7,242.3,261.9
"54","47","        Home health care","DHHCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,14.3,18.4,22.1,27,31.9,36.7,41.6,44.5,45.7,45.3,43.2,42.8,45.4,47,50.2,56.1,61.2,64.1,70.9,77.9
"55","48","        Medical laboratories","DMLBRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,4.6,5.4,6.4,7.3,8.3,8.6,9.1,9.5,10.1,11.4,13.2,14.5,16.9,19.7,21,23,24.8,26.7,28.1,29.1,30.7
"56","49","        Other professional medical services \11\","DOMDRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,28.7,32.6,40.1,45.4,51.1,55.4,58.3,62.3,65.5,70.2,75.2,78.8,84.1,92,101.8,109.4,117.5,127.1,132.5,142.3,153.3
"57","50","    Hospital and nursing home services","DHPNRC1",0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.4,1.7,2,2.2,2.4,2.7,3,3.3,3.6,3.9,4.4,4.9,5.5,6.2,6.9,7.5,8.4,9.5,10.6,11.6,13.3,15.7,18.8,22.1,25.4,29.6,33.5,37.3,42.9,50.5,58.5,66.2,76.5,87.3,101,118.3,134.5,149.8,160.7,172.8,186.8,201.6,223.9,246.6,274.1,302,330.1,351.4,365.9,383.3,400.8,421.8,441.6,456.5,481.8,520.8,568.2,597.2,636,679.5,715.7,762.3,807
"58","51","      Hospitals \12\","DHSPRC1",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.6,1.9,2,2.3,2.5,2.9,3.1,3.4,3.7,4.1,4.6,5.3,5.9,6.3,6.8,7.5,8.3,9.1,10,11.3,13.2,15.7,18.3,20.9,24.3,27.6,30.6,35.3,41.7,48.6,55.1,63.6,72.9,84.7,100,115.2,127.4,135.8,145.8,157.4,170.9,188.8,207.7,228.8,253.3,277.6,295.5,307.2,318.4,330.1,345.5,360.1,373.2,393.9,427.1,469.5,493.8,528.8,567,601,639.7,680
"59","52","      Nursing homes","DNRSRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.7,0.9,1.1,1.5,1.6,2,2.4,3,3.8,4.5,5.3,6,6.7,7.7,8.8,9.9,11.1,12.8,14.4,16.4,18.3,19.3,22.4,24.9,27,29.4,30.7,35.1,38.9,45.3,48.7,52.5,55.9,58.7,64.8,70.7,76.3,81.5,83.2,87.9,93.7,98.6,103.4,107.2,112.5,114.7,122.6,127
"60","53","  Transportation","DTRNRC1",7.5,6.1,4.9,3.9,3.9,4.5,5.2,6,6.4,5.5,6.3,7,8.3,5.4,5.4,5.7,6.6,12.1,15.4,18,21.2,24.6,24.2,24.4,28,27.4,33.4,32.7,35.7,33.7,38.8,40.8,39.3,44.1,47.8,50.7,56.5,59,61,69.8,75.9,76.5,88.7,98.3,108.6,112.8,124.4,147.4,168.1,184.5,207.1,226.5,250.7,255.9,284.9,321.8,357.4,362.6,376.6,404.8,428.3,442.9,418.3,451.3,485.3,528.2,554.1,598.9,641.8,669.2,730.5,798.4,814.1,818.4,857.4,909.5,979.3,1008.8,1051.6,1036.5
"61","54","    Motor vehicles","DMTRRC1",2.7,1.7,1.2,0.7,0.8,1.1,1.6,2,2.1,1.3,1.8,2.3,2.8,0.4,0.4,0.3,0.3,2.7,5.1,6.6,9.3,12.1,10.6,9.7,12.4,11.4,16.1,14,15.5,12.9,16.4,17.1,15.2,18.6,21.2,22.6,26.2,26.2,25.6,30.8,32,28.5,36.1,41.4,45.5,38.7,42.4,56.8,66.9,74.8,73.8,66.5,73.4,79.6,100.8,124.4,146.6,164,164.2,175.9,180.8,176.9,157.9,176.1,193.9,216.1,220.3,235.8,254,280.7,309.7,321.4,342,359.7,358.2,359.5,361.6,346.6,347.8,289.9
"62","55","      New motor vehicles","DNMVRC1",2.6,1.7,1.2,0.6,0.8,1,1.5,2,2,1.2,1.7,2.2,2.7,0.1,0.1,0.1,0,2.2,4.3,5.4,8,10.7,9,8.3,11.4,11.1,14.2,12,13,10.1,13.6,14.5,12.5,15.6,17.9,19,22.2,22,21.1,26,26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.3,184.5
"63","56","      Net purchases of used motor vehicles","DNPVRC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.8,1.3,1.3,1.5,1.6,1.4,1,0.3,1.9,2,2.5,2.8,2.8,2.6,2.7,3,3.3,3.6,4,4.1,4.5,4.8,5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,106.6,107.1,112.7,113.5,114.5,105.4
"64","57","    Motor vehicle operation","DMVORC1",3.3,2.9,2.5,2.2,2.2,2.5,2.6,2.9,3.1,3.1,3.3,3.5,4.1,3,2.3,2.6,3.5,6.5,7.4,8.4,9,9.7,10.7,11.6,12.6,13,14.4,15.7,17,17.8,19.1,20.3,20.7,22,23,24.3,26.2,28.4,30.5,33.5,37.4,41,44.9,48.2,53.7,63.4,70.6,77.4,86.4,94,115.8,139.7,155.9,154.4,160.2,170.3,182.7,169.4,181.1,194.2,210.5,226.9,221,234.7,247.9,266.1,284.9,310.9,330.8,326.5,355.2,404,404.1,393.7,430.1,476,541,581.6,620.5,660.4
"65","58","      Motor vehicle parts and accessories","DMVPRC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.1,22.8,23.5,23.5,23.9,26.3,27,28.3,27.8,28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,43.3,45.2,48,50.6,52.5,52.4
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRC1",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.4,98.7,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,121.8,136.5,172.9,168.1,160.3,192.8,231.6,283.8,314.7,343.9,386.4
"67","60","      Motor vehicle maintenance and repair","DVMRRC1",0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.9,1.6,1.8,2,2.2,2.3,2.7,2.8,3.2,3.3,3.6,4,4.3,4.4,4.8,5.1,5.4,5.8,6.2,6.6,7,7.6,8.2,9.1,10.1,11.4,12.9,14,14.7,15.7,18.3,20.5,23.8,26.4,29.8,31.2,33.9,35.1,39.9,45.9,53.4,56.2,61.5,68.3,72.5,73.9,69.4,73.7,78.9,86.5,93.5,100.1,106.3,112.8,119.9,127.4,133.8,136.8,143.4,148.3,154.9,156.9,162,158.5
"68","61","      Other motor vehicle services","DOVSRC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.7,1.9,2,2,2.3,2.5,2.9,3,3.4,3.9,4.5,4.7,5.2,7.1,8.7,9.6,10.3,11.3,12.3,13.3,15,19.4,23.8,29.4,35.7,42.6,50.9,52.5,57.8,61.9,60.9,54.9,50.6,50.9,54.2,59.5,62.1,63
"69","62","    Public transportation","DPUBRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.3,1.4,1.9,2.7,2.8,2.8,2.9,2.9,3,2.9,2.8,3,3.1,3.1,3,3,3.1,3.2,3.1,3.2,3.4,3.4,3.6,3.6,3.8,4.1,4.4,4.9,5.6,6.5,7.1,7.8,8.7,9.4,10.7,11.4,13.2,14.8,15.7,17.5,20.2,21.4,21.9,23.9,27,28.1,29.2,31.3,34.6,37.1,39.2,39.3,40.5,43.5,46,48.8,52.2,57.1,61.9,65.6,73,67.9,64.9,69.1,73.9,76.8,80.6,83.3,86.2
"70","63","      Ground transportation \13\","DGRDRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.4,1.9,2.6,2.8,2.8,2.8,2.8,2.9,2.8,2.7,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.6,2.6,2.7,2.6,2.7,2.7,2.7,2.8,3,3.1,3.3,3.6,4,4.3,4.6,4.7,5.2,5.5,6,6.5,6.6,7.1,7.4,8,8.4,8.7,9.3,9.8,9.9,10,11.2,11.8,12.9,14,14.8,15.4,16.1,16.7,17.4,18.1,19.7,20.5,21.6,22.8,23.1,23.3,25.2,26.4,28.4,28.6,31
"71","64","      Air transportation","DAITRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,15.1,17.6,18.1,19,20.9,23,24.8,25.9,25.1,25.6,27.7,29.2,31.1,33.3,37.2,40.3,43,49.2,42.9,39.5,43.3,46.2,47.7,49.4,51.7,52.2
"72","65","      Water transportation","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.2,0.1,0.3,0.6,1.1,1.5,1.8,2,2.1,2.2,2.3,2.3,2.4,2.6,2.7,2.8,3,3
"73","66","  Communication","DCMCRC1",0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.3,3.6,3.9,4.3,4.5,4.8,5.2,5.6,5.9,6.4,6.9,7.5,8.1,8.9,9.7,10.7,11.6,12.8,14.4,16.1,17.7,20,22.4,24.3,27,29.4,31.8,36,41.1,44.8,48.4,53.1,56.9,60,63.1,67.3,70.1,73.9,81.1,85.8,93.3,98.9,108.3,120.1,130.6,144.7,162.1,171.3,177.5,181.8,187.9,192.8,207.8,219,229
"74","67","    Telephone and facsimile equipment","DTCERC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2,2.3,2.7,3,3.4,3.7,4.2,4.8,5.5,5.8,6.2,6.5,7.1,7.5,8.2,8.7,9
"75","68","    Postal and delivery services","DPSSRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.1,2.2,2.6,2.7,3,3.3,3.6,4.1,4.7,5,5.4,5.9,6.3,6.8,7.3,7.5,7.5,7.8,7.8,8,8.5,9.2,9.5,9.6,9.8,9.9,9.9,9.7,9.5,9.1,9.2,9.3,9.5,9.7,9.5
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2,2.1,2.5,2.6,2.9,3.2,3.5,4,4.7,4.8,5.2,5.6,5.9,6.3,6.7,6.7,6.7,6.8,6.7,6.9,7.2,7.8,8.1,8.2,8.2,8.2,8.1,7.8,7.7,7.3,7.4,7.3,7.4,7.5,7.3
"77","70","      Other delivery services (by non-USPS facilities)","DODSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.8,1.8,1.7,1.8,1.8,2,2.1,2.2,2.3
"78","71","    Telecommunication services","DTCSRC1",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,6,6.5,7,7.7,8.3,9.3,10.1,11,12.4,14.2,15.5,17.7,19.8,21.6,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58.1,60.7,64,71,75,81.3,85.2,92.8,103.1,111.1,120,130.2,137.6,139.8,140.2,143.1,146.1,157.8,162,168
"79","72","    Internet access","DINTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.2,0.3,0.4,0.8,1.6,2.7,3.6,5.5,10.1,16.4,18.2,21.9,26.1,28.5,29.9,32.3,38.6,42.5
"80","73","  Recreation","DRRLRC1",4.5,4.1,3.4,2.5,2.3,2.5,2.7,3.2,3.5,3.4,3.6,3.9,4.5,4.9,5.3,5.8,6.5,9,9.8,10.3,10.6,11.7,12.3,13,13.8,14.3,15.4,16.4,16.8,17.3,18.8,19.7,20.5,22.1,23.9,26.3,28.9,33.4,35.8,39.9,43.7,47,50.1,56.2,63,68.9,77.1,86.2,94.9,106.3,118.9,127.4,141.6,151.4,169.3,190,207.2,225.4,247,273.4,295.7,314.7,326.3,346.8,378.4,414,449.8,481.5,509.5,546,593.6,639.9,655.7,680.9,712.5,764.6,807.4,859.1,906.5,928
"81","74","    Video and audio equipment, computers, and related services","DVPIRC1",1,0.9,0.5,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.5,0.4,0.5,1.3,1.6,1.7,1.9,2.7,2.6,2.8,3.1,3.3,3.5,3.7,3.6,3.7,4,4.1,4.3,4.6,5,5.6,6.4,7.6,8.5,9.2,9.8,10.5,11,12.4,13.9,15,16.8,18.5,20,21.7,24.1,25.9,28.7,31.1,38.5,44.2,50.8,58.8,65.3,73.2,77.7,81.1,84.6,89.1,98.7,108.6,119.3,128,135.9,150.7,167.9,184.4,189.8,198.1,205.4,224.8,239.4,256.1,269.8,276.2
"82","75","      Video and audio equipment","DVAARC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,3,3.1,3.4,4,4.7,5.8,6.5,7.1,7.4,8,8.3,9.4,10.5,11.3,12.6,13.9,14.8,16.2,18.2,19.3,20.6,20.6,24.5,28.1,32.3,36.1,39.5,42.3,43.8,43.7,43,44.6,48.1,53.5,56.8,58.5,58.8,66.1,74.8,83.1,87.7,92.7,93.7,100.9,107.8,114.6,116.6,117.7
"83","76","      Information processing equipment","DIPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,1.7,3.3,3.5,3.3,5.7,6.7,8.8,8.9,9.6,12.5,12.7,16,20.5,25,29.6,34.2,37.6,40.7,44.1,42.1,44.5,46.6,51.5,55.9,60.4,65.3,66.3
"84","77","      Services related to video and audio goods and computers","DSVCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.9,2.1,2.2,2.3,2.6,2.9,3.2,3.7,4,4.6,4.8,5.3,6,7.3,8.8,10.7,12.7,15.1,17,19,22.1,24.9,27.8,29.1,31.8,34.5,34.6,37.4,39.9,42.9,47,52.5,57.2,60,60.9,65,72.4,75.7,81.1,87.9,92.2
"85","78","    Sports and recreational goods and related services","DODRRC1",0.8,0.6,0.5,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.8,1,1.2,1.9,2.1,2.2,2.2,2.5,2.8,2.9,3.1,3.1,3.4,3.7,3.9,4,4.5,4.7,4.8,5.2,5.7,6.4,7.2,8.5,9.2,10.7,11.7,12.1,13.1,15.6,17.5,18.5,21.3,24.6,27.3,30.6,33.8,33.6,36.6,37.9,40.1,46.8,49.6,53.7,59.8,65.1,70.9,74.2,76.5,80.6,87.3,95.5,101.9,107.8,113.4,123.2,135.2,147.9,153.3,159.5,167.3,178.3,188.4,199.6,209.3,211.5
