"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237"
"38","30","        Industrial equipment","A680RA3",28.855,26.836,27.032,24.437,26.531,24.877,23.117,24.599,22.439,19.14,17.837,16.964,18.346,21.852,22.322,25.705,22.232,24.201,26.696,25.93,26.226,28.15,23.949,24.622,26.877,28.101,29.073,29.329,28.732,28.673,30.595,28.881,26.524,28.041,29.594,31.832,30.643,31.21,33.585,32.637,32.716,32.588,32.828,31.544,28.7,26.985,25.736,26.649,27.426,26.811,26.899,28.569,29.162,31.319,29.412,28.396,26.574,27.624,27.835,29.937,30.048,30.353,29.138,28.184,29.747,31.213,32.649,33.563,34.204,34.289,36.097,39.137,39.648,41.373,43.784,44.643,46.139,48.99,49.633,50.109,50.586,49.568,47.225,48.27,49.032,47.714,47.027,47.996,49.732,50.749,52.278,51.748,52.961,52.146,52.073,50.23,47.809,47.004,47.194,48.485,48.237,50.49,52.555,54.113,56.148,59.808,61.93,64.949,66.135,66.808,65.668,62.875,57.093,55.194,54.919,54.505,55.727,55.746,55.522,55.81,57.069,57.121,59.845,62.099,62.842,65.227,67.244,67.415,70.557,69.725,69.47,71.754,69.985,67.25,65.555,66.612,66.443,66.294,66.429,65.956,63.56,61.724,59.817,57.088,54.064,54.148,56.587,58.165,61.536,62.971,64.453,66.217,65.703,67.291,65.991,67.976,66.716,65.74,66.751,66.508,64.89,64.053,65.364,64.796,64.896,67.558,69.717,69.935,72.31,72.905,74.009,71.859,71.366,68.201,68.423,66.262,65.211,64.193,64.197,63.079,62.874,64.217,65.806,68.473,69.066,69.46,70.386,74.645,75.158,75.738,77.837,80.117,83.658,84.955,85.557,84.811,86.817,88.456,87.627,88.658,88.228,89.915,90.403,90.6,94.873,93.804,91.661,91.817,91.435,92.581,93.705,93.767,98.176,100.278,101.673,99.873,100.031,92.537,88.335,85.073,85.29,83.372,84.593,84.719,87.184,85.14,84.48,82.062,85.325,84.441,89.695,90.762,94.766,89.922
"39","31","        Transportation equipment","A681RA3",15.751,16.114,15.266,17.412,18.121,16.738,16.548,15.769,16.177,16.789,16.792,17.032,16.232,17.084,21.282,19.336,19.267,18.12,17.473,16.157,16.101,14.757,12.308,15.465,16.822,17.4,17.811,17.734,16.059,14.591,14.961,15.482,17.64,19.571,20.797,19.752,18.047,17.625,16.543,17.653,18.234,18.199,19.425,18.806,14.811,12.965,12.411,14.275,16.52,18.301,19.832,17.519,19.789,18.888,18.878,16.79,16.132,16.821,17.559,19.765,20.477,21.375,22.355,22.442,21.018,19.974,20.7,22.187,22.793,23.661,25.366,23.075,28.98,28.797,29.946,31.157,33.313,33.234,32.064,32.126,29.84,31.111,32.44,33.024,37.569,36.004,38.086,40.347,41.243,40.37,39.354,37.11,34.023,33.267,33.993,28.42,33.657,34.518,34.506,37.401,39.391,39.571,38.749,45.03,47.337,49.953,49.491,48.927,47.164,45.892,45.412,38.68,37.43,36.254,39,39.93,40.92,41.586,42.487,44.684,50.255,51.414,51.131,53.414,52.923,58.775,57.738,58.473,61.992,58.663,60.94,56.327,53.705,46.259,47.456,46.808,48.575,46.776,48.134,45.384,44.713,41.968,38.946,41.717,41.628,43.541,48.244,55.022,52.747,56.184,57.542,57.993,57.261,58.745,59.432,57.824,54.978,56.538,57.276,55.557,51.072,55.89,54.883,51.483,56.434,56.355,54.921,57.202,52.12,51.622,51.725,47.063,50.089,47.844,52.692,50.82,50.544,48.458,49.866,47.172,44.564,51.992,48.732,54.219,53.528,61.219,56.912,64.862,67.927,65.431,67.144,76.571,81.164,73.177,71.748,73.76,72.806,75.082,82.052,81.953,82.169,84.08,88.458,83.178,83.728,87.229,91.268,99.34,100.319,103.01,108.553,105.117,103.282,103.842,99.169,93.707,90.328,89.837,85.519,89.546,81.058,78.396,77.16,76.774,72.585,78.518,78.702,76.224,75.795,84.98,88.787,95.313,92.529,98.301
"40","32","        Other equipment","A862RA3",22.68,22.732,20.739,24.542,28.097,26.203,27.274,29.132,25.403,24.343,21.852,21.597,22.616,25.177,26.508,24.235,24.695,24.202,24.065,26.037,25.789,26.227,22.666,25.323,26.238,23.803,24.745,22.885,21.298,22.446,23.763,24.415,24.469,26.729,27.552,29.222,28.749,27.437,28.334,26.884,27.445,25.862,26.089,25.845,25.153,26.324,27.555,27.675,27.996,28.526,28.908,29.174,27.65,27.405,25.196,24.98,25.78,26.492,26.09,25.798,26.073,27.658,28.329,29.074,30.427,31.562,32.96,34.244,34.512,35.391,35.357,37.835,38.595,37.891,40.427,42.068,43.931,44.695,44.837,45.309,41.746,42.685,41.494,42.948,41.556,41.547,42.778,45.094,46.235,45.291,45.173,45.83,46.385,47.134,48.965,47.919,46.683,47.672,48.029,47.429,50.034,52.027,54.708,58.345,62.866,63.713,63.474,61.318,61.368,62.16,61.656,62.968,56.143,57.365,56.98,59.282,57.634,57.258,59.097,57.656,62.969,64.459,65.384,67.807,67.538,71.805,72.411,75.336,74.7,74.524,74.562,68.939,73.282,63.502,61.793,64.542,66.149,68.462,69.564,66.041,60.373,58.777,59.052,55.597,51.298,55.208,56.982,61.802,62.498,63.312,64.48,64.834,65.043,65.192,62.985,64.338,64.116,64.018,61.691,63.045,62.15,63.839,66.825,67.17,67.84,67.45,68.442,68.8,73.502,75.342,78.454,76.907,74.869,73.212,73.079,71.517,64.164,63.016,61.621,61.298,60.932,60.696,63.162,63.976,66.743,67.485,68.028,70.09,71.69,72.951,73.944,75.707,77.938,77.373,77.02,77.807,78.496,79.505,81.614,82.341,84.308,85.687,91.008,92.071,95.251,97.368,96.381,94.321,97.149,95.361,96.08,97.733,100.093,101.807,99.352,98.748,99.753,96.254,97.276,93.622,91.667,94.317,94.237,94.586,94.873,95.638,102.091,105.794,107.725,111.604,117.561,120.448,117.325,122.398
"41","33","    Residential","B011RA3",19.615,18.639,21.495,25.644,25.339,26.816,25.966,24.053,22.236,21.858,23.728,26.629,29.663,32.533,34.324,32.714,30.965,26.802,25.094,25.323,25.989,26.463,26.196,27.602,28.031,28.113,27.048,26.818,27.098,28.862,30.621,32.547,34.965,35.482,34.728,33.254,32.377,32.181,31.548,31.055,30.61,29.872,29.471,29.429,28.263,28.334,30.4,33.638,37.467,38.796,38.063,36.954,38.014,34.888,33.83,33.784,33.915,34.037,35.876,37.079,37.747,38.929,38.896,38.845,40.249,43.144,43.942,45.28,48.054,45.635,44.889,44.071,44.224,44.57,44.745,43.776,44.77,41.179,39.84,35.66,34.588,38.52,40.451,42.808,43.069,44.157,44.95,45.51,47.149,46.642,46.262,42.879,42.964,40.101,42.237,46.689,49.182,54.145,56.813,59.015,62.951,64.185,64.335,66.634,68.871,65.37,62.599,59.607,55.238,52.826,51.083,44.361,41.621,42.516,45.479,47.471,52.323,53.827,52.947,59.693,61.496,68.532,68.316,67.416,67.751,71.007,71.994,71.741,70.063,68.756,67.938,65.37,60.372,49.2,50.04,54.931,53.946,52.122,48.102,43.174,40.686,39.4,39.275,42.152,49.335,55.18,60.647,63.208,64.966,66.168,65.532,65.6,65.396,65.918,66.756,68.345,71.265,75.221,76.379,76.241,76.041,76.374,76.143,76.517,74.86,75.456,75.502,76.164,75.667,73.424,72.624,71.099,71.822,69.06,65.137,61.529,57.87,59.235,61.69,63.044,66.259,68.794,68.953,71.295,71.62,72.462,74.964,78.739,80.294,82.995,82.122,81.071,79.263,76.728,79.113,80.917,83.035,86.547,86.314,85.426,85.718,86.798,87.192,88.081,89.902,92.391,94.907,97.186,98.024,98.869,99.452,100.672,101.689,100.786,98.718,98.807,99.342,100.714,101.166,100.206,102.707,105.066,105.582,107.242,108.474,110.989,116.631,119.861,121.376,126.441,127.267,127.772,130.695,134.1
"42","34","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","38","  Exports","B020RA3",7.14,7.065,6.719,5.96,5.686,5.147,5.264,5.078,5.687,5.641,5.171,4.479,4.403,4.457,4.571,4.937,5.191,5.698,5.836,5.784,6.089,5.421,4.994,5.031,4.942,4.975,5.174,5.001,4.78,5.464,5.289,5.532,5.737,5.604,5.973,6.001,6.283,6.706,6.931,7.243,7.715,7.486,7.275,7.055,6.356,6.386,6.407,6.39,6.811,7.038,7.26,7.062,7.951,8.455,8.242,8.414,8.355,8.239,8.195,8.449,8.428,9.236,8.72,8.531,8.731,9.753,9.232,9.695,10.289,10.46,10.379,10.688,9.535,11.325,10.677,11.451,11.249,11.742,11.301,11.674,11.899,11.791,11.504,11.832,12.176,12.418,13.148,12.981,11.423,13.983,13.648,14.121,14.243,14.87,14.821,14.958,15.014,14.984,15.6,14.293,15.807,15.347,16.272,16.96,18.204,19.082,19.147,20.089,20.344,21.334,20.184,20.71,20.857,20.249,19.908,21.034,20.887,21.099,21.712,21.933,21.581,22.162,22.333,21.615,22.125,24.431,24.7,25.683,25.704,25.772,26.698,28.373,29.169,29.716,29.655,29.482,30.03,30.198,29.556,29.689,28.408,28.574,27.306,26.057,26.477,26.559,26.96,27.503,28.077,28.775,29.411,30.009,30.03,29.923,29.483,30.367,31.341,31.679,32.403,33.611,33.629,34.993,36.499,37.847,39.939,41.044,41.805,43.087,44.323,46.257,46.793,47.56,49.582,50.214,50.634,51.144,51.371,53.255,54.532,55.787,56.729,56.753,57.976,58.299,58.368,59.053,58.9,60.845,61.368,63.4,65.764,67.258,68.459,69.417,72.475,73.577,74.469,75.734,76.377,81.138,82.612,85.905,87.948,87.864,88.243,87.296,86.925,90.191,89.406,90.419,92.807,95.243,96.77,99.608,102.163,101.458,100.083,96.748,92.009,89.422,90.557,92.858,93.52,92.784,92.103,91.624,94.159,98.373,99.591,101.269,102.622,104.398,106.295,109.037
"47","39","    Goods","B253RA3",7.502,7.313,6.927,6.074,5.818,5.224,5.353,5.14,5.819,5.738,5.282,4.562,4.416,4.467,4.614,4.995,5.203,5.719,5.85,5.746,6.066,5.327,4.942,5.021,4.838,4.926,5.169,4.98,4.699,5.54,5.256,5.545,5.762,5.582,5.946,5.964,6.284,6.721,6.975,7.29,7.796,7.542,7.282,6.806,6.287,6.223,6.264,6.191,5.852,6.019,6.614,6.306,7.313,7.669,7.804,7.817,7.868,7.329,7.711,7.848,7.753,8.258,8.273,7.841,7.869,8.686,8.838,9.256,9.674,9.664,9.928,10.13,8.639,10.259,9.935,10.768,10.65,10.469,10.505,10.73,10.689,10.668,10.507,10.687,11.047,11.207,11.982,11.687,10.116,12.811,12.488,12.915,13.157,13.481,13.516,13.685,13.432,13.408,14.362,12.428,14.44,14.101,14.93,15.924,17.367,18.219,18.203,19.248,19.594,20.395,19.274,19.574,19.495,18.591,18.953,19.967,19.735,19.995,20.374,20.557,20.15,20.67,20.878,20.016,20.291,23.108,23.254,24.196,24.215,24.392,25.522,27.454,28.323,28.828,28.325,28.212,28.451,28.417,27.568,28.02,26.377,26.673,25.333,23.912,24.266,24.429,24.847,25.81,25.686,26.297,27.175,28.047,27.813,27.735,27.396,28.215,28.285,28.827,29.283,30.475,30.149,31.427,33.317,34.932,37.061,38.087,38.675,40.464,41.143,43.481,43.676,44.388,46.313,46.712,46.98,47.236,48.386,49.507,50.726,51.548,52.695,52.857,54.431,55.159,54.537,55.229,54.862,57.506,57.452,59.505,62.546,64.246,65.691,66.786,69.395,70.408,71.807,72.588,73.968,77.981,80.611,84.353,86.863,87.041,87.199,85.144,85.336,88.778,86.963,87.946,90.846,93.874,95.861,99.017,103.27,101.852,100.442,95.838,90.635,88.568,88.206,91.181,91.67,89.517,89.842,89.843,91.83,95.538,97.292,99.153,101.12,102.031,103.356,107.266
"48","40","    Services","B646RA3",4.754,5.152,5.035,4.804,4.465,4.243,4.284,4.243,4.474,4.581,4.11,3.617,3.834,3.894,3.86,4.121,4.532,4.945,5.097,5.281,5.48,5.184,4.632,4.498,4.796,4.605,4.608,4.516,4.556,4.545,4.816,4.849,4.985,5.053,5.401,5.465,5.563,5.885,5.966,6.233,6.519,6.416,6.423,7.231,5.898,6.298,6.248,6.47,9.953,10.35,9.002,9.257,9.606,10.645,9.075,9.862,9.358,10.968,9.206,9.896,10.173,12.077,9.563,10.328,11.171,12.883,9.817,10.41,11.62,12.466,11.077,11.767,12.034,14.298,12.453,12.918,12.413,15.492,13.22,14.133,15.402,14.951,14.194,15.072,15.319,15.86,16.338,16.68,15.333,17.119,16.764,17.367,16.992,18.762,18.382,18.378,19.641,19.59,18.862,20.013,19.582,18.709,19.895,19.429,19.826,20.711,21.071,21.493,21.336,23.025,21.867,23.356,24.529,25.4,21.829,23.333,23.604,23.58,25.177,25.542,25.476,26.263,26.248,26.233,27.697,27.541,28.319,29.378,29.407,28.978,28.858,29.168,29.565,30.244,32.148,31.719,33.567,34.617,34.962,33.699,34.103,33.706,32.85,32.391,33.037,32.79,33.086,31.926,35.204,36.178,35.805,35.323,36.32,36.119,35.348,36.417,40.487,40.125,41.729,42.957,44.128,45.736,45.882,46.262,48.112,49.431,50.763,50.159,53.327,53.737,55.45,56.376,58.652,60.045,60.951,62.271,59.544,63.795,65.216,67.773,68.044,67.639,67.784,66.894,69.022,69.686,70.163,70.035,72.246,74.191,74.542,75.409,75.873,76.416,80.767,82.117,81.532,84.172,82.714,89.515,87.795,89.834,90.597,89.809,90.798,92.802,90.954,93.756,95.629,96.712,97.786,98.703,99.055,101.092,99.384,100.469,99.189,99.021,95.437,91.559,96.393,97.034,98.12,100.87,97.714,96.058,99.938,105.396,105.303,106.532,106.368,110.275,113.578,113.466
"49","41","  Imports","B021RA3",3.119,3.177,2.818,2.972,3.351,3.484,3.664,3.602,3.498,3.446,3.305,3.354,3.448,3.639,4.492,4.499,4.499,4.35,3.982,3.879,4.329,4.307,4.569,4.976,4.857,5.107,5.088,4.838,4.557,4.968,4.669,4.715,4.993,5.276,5.363,5.556,5.79,5.76,5.811,5.547,5.989,6.035,5.916,5.93,6.014,6.271,6.186,6.532,6.658,7.002,7.078,6.896,7.155,7.201,6.987,6.658,6.625,6.709,7.154,7.325,7.547,7.711,7.808,7.904,7.721,7.903,8.104,8.077,8.07,8.251,8.472,8.702,8.388,9.378,9.417,9.877,10.13,10.382,10.965,11.09,11.257,11.17,11.32,11.921,12.618,12.811,13.58,13.465,12.197,14.602,14.412,14.253,14.207,14.487,14.455,14.681,14.506,15.601,15.946,14.863,17.038,16.432,16.773,17.529,18.339,17.81,17.318,17.45,16.855,17.75,17.44,17.265,15.535,14.29,15.478,16.304,17.325,18.076,18.814,19.437,20.358,20.545,20.258,20.544,21.922,21.992,22.28,22.59,22.523,22.648,22.302,22.785,22.809,21.148,19.626,20.682,21.561,21.599,21.354,21.965,21.34,20.99,21.962,21.099,21.583,23.243,25.054,26.284,28.394,29.584,30.351,31.244,30.555,32.057,31.744,32.978,32.964,34.362,35.317,35.6,35.372,36.259,36.964,37.811,37.648,37.209,38.077,39.223,39.113,39.698,39.745,40.267,41.153,41.613,41.552,40.24,39.402,40.527,41.596,42.094,42.457,43.527,44.142,44.868,45.891,47.164,47.777,49.471,50.586,52.722,54.206,55.51,56.681,57.507,57.71,58.257,59.942,61.76,63.805,64.67,67.401,70.123,72.707,73.918,76.644,78.747,79.746,82.061,84.174,87.17,90.21,92.011,95.643,99.371,102.7,102.286,101.33,97.972,95.345,94.518,97.172,100.078,101.467,103.688,103.023,103.872,104.923,109.003,112.134,115.999,117.328,120.518,122.698,122.62
"50","42","    Goods","B255RA3",2.863,2.929,2.535,2.569,3.002,3.119,3.186,3.177,3.091,2.993,2.908,3.003,3.072,3.258,4.2,4.12,4.048,3.87,3.343,3.1,3.51,3.548,3.675,3.916,3.851,4.072,3.953,3.623,3.481,3.831,3.513,3.488,3.864,3.9,3.911,4.304,4.477,4.327,4.28,4.322,4.42,4.479,4.401,4.609,4.406,4.498,4.564,4.945,5.163,5.512,5.572,5.364,5.478,5.544,5.242,4.993,4.94,5.028,5.562,5.697,5.903,6.086,6.195,6.185,6.104,6.313,6.477,6.461,6.41,6.631,6.879,7.109,6.782,7.848,7.919,8.308,8.523,8.656,9.214,9.326,9.348,9.081,9.158,10.014,10.81,11.076,11.84,11.644,10.148,12.85,12.587,12.267,12.29,12.389,12.351,12.697,12.633,13.853,14.342,13.069,15.361,14.636,15.259,15.972,16.805,16.377,16.124,16.245,15.472,16.37,16.088,15.799,13.959,12.764,14.091,14.883,15.948,16.746,17.486,18.111,19.096,19.237,19.005,19.276,20.617,20.702,20.947,21.22,21.174,21.311,20.951,21.48,21.517,19.787,18.14,19.17,19.979,19.995,19.808,20.45,19.686,19.134,20.234,19.164,19.738,21.381,23.213,24.51,26.306,27.382,27.958,28.689,27.789,29.428,29.32,30.701,30.474,32.397,33.079,33.306,32.761,33.425,34.229,34.833,34.735,34.384,35.227,36.379,36.16,36.759,36.644,37.182,37.843,38.303,38.15,36.784,36.122,37.208,38.597,39.036,39.658,41.063,41.813,42.516,43.727,45.077,45.63,47.258,48.37,50.8,52.553,54.139,55.116,56.205,56.356,56.74,58.518,60.54,62.619,63.669,66.321,69.402,71.883,73.081,75.713,77.873,78.647,81.224,83.489,86.793,90.044,91.987,95.465,99.427,102.756,102.352,101.459,96.882,94.729,94.262,96.36,99.998,101.58,103.572,102.892,104.476,104.711,109.073,112.311,116.225,117.563,121.221,123.629,123.276
"51","43","    Services","B656RA3",4.319,4.353,4.185,4.975,5.041,5.25,6.018,5.686,5.484,5.678,5.248,5.054,5.29,5.491,5.777,6.271,6.679,6.701,7.419,8.244,8.883,8.478,9.56,10.958,10.512,10.918,11.514,11.808,10.689,11.426,11.308,11.808,11.397,13.218,13.796,12.649,13.233,13.988,14.677,12.46,15.06,15.013,14.644,13.4,15.289,16.56,15.568,15.678,15.215,15.456,15.591,15.587,16.748,16.67,17.026,16.233,16.325,16.367,16.237,16.612,16.927,16.969,16.999,17.704,16.934,16.964,17.368,17.282,17.529,17.481,17.54,17.764,17.525,18.091,17.951,18.816,19.284,20.214,20.941,21.14,22.122,23.04,23.594,22.792,22.958,22.754,23.575,23.906,23.863,24.685,24.894,25.627,25.191,26.505,26.504,26.035,25.231,25.66,25.223,25.154,26.739,26.788,25.518,26.515,27.215,26.109,24.25,24.427,24.986,25.754,25.236,25.911,25.222,23.752,23.76,24.735,25.346,25.676,26.316,26.857,27.208,27.712,27.051,27.418,28.915,28.861,29.436,29.976,29.774,29.796,29.594,29.636,29.535,28.685,28.422,29.507,30.811,31.026,30.365,30.641,31.236,32.534,32.361,33.255,32.95,34.505,35.914,36.465,40.727,42.634,44.761,46.773,47.772,48.005,46.191,46.231,47.752,45.592,48.286,48.924,50.823,53.196,53.163,55.638,55.027,54.017,54.992,56.004,56.67,57.091,58.289,58.661,61.056,61.484,62.03,61.151,59.155,60.475,59.453,60.312,59.022,57.962,57.725,58.577,58.438,59.217,60.189,62.262,63.367,63.69,63.522,63.103,65.452,64.655,65.177,66.685,67.786,68.378,70.208,70.002,73.173,73.881,77.031,78.315,81.556,83.338,85.528,86.468,87.759,89.157,91.091,92.144,96.598,99.076,102.402,101.924,100.624,103.689,98.591,95.921,101.358,100.577,100.995,104.367,103.8,101.044,106.053,108.787,111.401,115.027,116.317,117.217,118.292,119.561
