"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"62","55","          Pleasure boats","DBOARA3",12.693,11.311,9.484,10.163,11.543,14.076,15.5,19.35,22.728,24.84,28.102,25.965,23.748,33.703,34.935,26.935,30.323,35.316,39.567,39.155,43.333,29.252,27.665,26.596,27.806,38.013,37.208,44.5,53.457,52.613,50.256,44.17,37.099,31.202,35.453,39.511,49.893,56.425,65.519,69.462,76.35,83.167,80.922,83.252,88.628,95.157,100,103.863,102.26,93.085,73.356,69.329
"63","56","          Pleasure aircraft","DAIRRA3",16.857,14.251,13.07,13.694,13.19,12.228,11.333,13.011,12.646,19.841,21.937,25.166,23.077,23.521,35.385,37.892,45.929,54.695,61.811,58.022,61.45,39.344,35.072,31.004,31.584,42.111,39.909,46.371,54.163,59.588,64.624,64.223,60.967,56.729,58.239,57.536,64.337,64.261,66.712,72.328,71.924,76.24,68.591,65.602,74.145,87.898,100,108.026,122.763,109.859,84.736,92.326
"64","57","          Other recreational vehicles","DREVRA3",2.121,2.053,2.275,2.467,3.04,4.461,6.674,8.268,8.894,15.024,19,21.681,24.176,30.94,30.21,19.973,28.348,38.652,43.536,43.558,34.134,24.281,24.777,24.657,28.701,36.475,40.216,43.48,44.578,44.283,45.321,44.365,43.974,46.083,51.824,59.069,58.753,60.178,64.498,72.465,78.917,80.785,75.346,80.644,89.919,97.528,100,95.272,95.569,75.631,55.643,58.917
"65","58","      Recreational books (part of 90)","DRBKRA3",17.777,18.493,19.511,20.58,22.262,26.122,26.192,28.326,27.691,28.615,30.813,36.925,35.485,33.462,33.605,34.279,32.115,28.284,29.378,32.891,34.935,35.852,36.874,36.243,37.5,39.949,38.777,39.227,43.295,45.836,46.75,47.51,46.749,47.558,51.554,57.841,63.778,67.917,72.969,75.309,83.3,89.768,89.926,91.388,95.398,97.469,100,103.465,104.856,103.524,100.496,106.482
"66","59","      Musical instruments (part of 80)","DMSCRA3",9.583,9.576,10.128,10.863,11.985,13.644,15.848,19.016,20.273,20.62,19.858,19.942,19.541,21.479,23.669,24.016,24.593,26.115,26.49,27.246,27.896,26.32,25.142,22.723,25.289,27.357,30.201,32.56,34.48,36.038,35.791,37.407,39.628,39.341,42.561,47.791,52.603,54.974,57.751,62.863,71.871,87.045,89.565,94.158,93.083,99.248,100,105.028,106.683,100.37,88.185,92.053
"67","60","    Other durable goods","DODGRA3",9.423,9.491,9.683,10.578,10.957,11.903,13.126,15.099,15.231,16.719,17.372,18.215,19.049,20.088,22.817,23.943,25.331,27.893,29.481,31.095,30.691,28.071,28.491,28.541,31.105,34.642,37.237,41.488,42.98,44.422,44.987,45.219,43.254,44.13,46.354,48.478,49.61,52.906,55.555,61.012,68.293,74.361,72.763,77.574,84.445,91.797,100,107.67,112.739,108.97,103.492,109.81
"68","61","      Jewelry and watches (part of 119)","DJRYRA3",7.23,7.165,7.058,7.577,7.957,8.416,9.64,11.991,12.821,13.742,13.648,13.683,14.464,15.307,18.579,20.442,22.077,25.985,28.588,30.435,29.516,27.144,27.936,27.882,30.527,34.442,37.074,42.447,42.574,43.544,43.28,42.386,40.985,42.449,45.745,48.357,51.387,56.182,58.481,64.741,72.523,78.71,76.227,80.864,87.598,93.844,100,104.666,104.066,94.509,85.017,88.01
"69","62","        Jewelry","DJLYRA3",6.61,6.551,6.453,6.927,7.275,7.694,8.814,10.962,11.721,12.69,12.829,13.094,14.085,15.043,18.173,19.825,21.223,24.763,27.116,29.006,28.379,26.323,27.327,27.402,30.095,34.148,36.965,42.562,42.814,43.789,43.524,42.625,41.215,42.688,46.114,48.985,52.313,57.478,59.973,66.049,73.565,79.906,77.153,81.331,87.854,93.92,100,104.031,102.514,92.251,82.986,85.465
"70","63","        Watches","DWTCRA3",11.583,11.48,11.308,12.139,12.748,13.484,15.445,19.21,20.54,21.133,19.396,17.823,17.131,17.165,21.44,24.781,28.083,34.567,38.93,40.476,37.504,32.916,32.218,31.267,33.576,36.527,37.866,41.67,40.923,41.855,41.602,40.742,39.395,40.803,43.196,43.986,44.929,47.137,48.06,55.617,65.275,70.396,69.771,77.621,85.832,93.326,100,108.96,114.743,110.477,99.378,106.426
"71","64","      Therapeutic appliances and equipment (42)","DTAERA3",8.881,8.99,9.17,10.897,10.787,11.854,12.799,14.026,12.315,13.915,15.35,16.834,16.442,17.94,19.487,20.686,21.489,21.725,22.101,23.471,25.47,26.267,27.18,28.083,30.603,34.527,38.203,42.076,45.919,51.609,53.273,59.15,54.1,53.758,54.546,57.749,57.81,62.308,67.464,73.067,77.291,81.977,79.57,84.91,89.403,94.458,100,105.16,113.479,114.291,113.974,125.334
"72","65","        Therapeutic medical equipment","DTMERA3",6.792,7.296,7.705,9.028,8.129,9.19,10.008,11.176,9.712,11.151,12.462,14.054,14.126,15.288,16.93,19.217,19.879,19.849,20.246,22.19,25.157,27.355,29.219,30.451,32.265,35.343,38.027,40.597,43.799,46.91,46.272,48.596,43.013,41.419,40.962,42.2,41.4,43.521,46.494,54.098,61.369,69.023,73.329,77.851,84.204,92.843,100,109.334,118.97,120.87,117.811,129.756
"73","66","        Corrective eyeglasses and contact lenses","DEYERA3",10.528,10.174,10.085,12.122,12.845,13.851,14.869,16.087,14.221,15.908,17.404,18.754,17.986,19.724,21.176,21.55,22.449,22.879,23.235,24.163,25.413,25.155,25.343,25.983,29.054,33.65,38.127,43.072,47.43,55.215,58.769,67.576,63.012,63.726,65.557,70.396,71.186,77.658,84.618,88.487,90.117,92.309,84.464,90.449,93.471,95.707,100,101.988,109.315,109.319,111.03,121.948
"74","67","      Educational books (96)","DEBKRA3",27.467,28.588,30.412,32.964,36.205,41.341,40.337,42.953,41.802,43.202,46.87,57.148,54.556,50.633,51.332,52.722,56.273,53.665,57.998,65.773,71.012,73.968,75.003,72.714,76.11,81.764,83.746,87.249,94.525,96.629,96.216,95.739,92.839,91.85,95.256,98.455,99.483,96.966,96.794,99.002,103.715,102.395,98.845,96.858,97.907,98.823,100,99.807,97.383,91.387,83.574,83.492
"75","68","      Luggage and similar personal items (part of 119)","DLUGRA3",15.042,15.383,16.427,17.316,17.912,19.866,21.623,23.042,23.353,26.627,28.409,29.834,32.991,34.9,37.763,36.426,37.549,39.728,39.562,39.421,35.478,26.235,23.924,23.258,26.45,29.289,31.855,35.12,36.94,34.705,36.128,33.12,32.744,33.879,34.947,34.229,31.923,32.307,33.825,38.449,48.435,56.835,54.91,60.354,68.318,80.172,100,113.498,119.945,120.233,116.916,124.791
"76","69","      Telephone and facsimile equipment (67)","DTCERA3",0.347,0.36,0.383,0.424,0.46,0.511,0.535,0.571,0.589,0.623,0.621,0.618,0.609,0.631,0.705,0.753,0.773,0.82,0.873,2.785,6.537,10.434,13.974,15.162,14.07,13.218,11.958,11.38,11.001,11.303,12.011,12.187,12.18,12.623,13.7,15.369,16.651,17.736,18.652,21.478,27.883,35.423,41.786,49.028,66.915,85.634,100,136.155,174.253,185.897,185.797,200.327
"77","70","  Nondurable goods","DNDGRA3",30.122,30.622,31.24,32.203,32.896,34.44,36.176,38.186,39.006,40.657,41.781,42.71,43.511,45.272,46.572,45.439,45.829,48.008,49.102,50.875,52.186,52.098,52.752,53.299,55.035,57.313,59.043,61.145,62.196,63.832,65.556,66.321,66.126,67.411,69.125,71.82,73.599,75.726,77.953,80.895,85.016,87.773,89.354,91.127,94.232,96.899,100,102.643,104.584,103.363,101.536,104.501
"78","71","    Food and beverages purchased for off-premises consumption","DFXARA3",48.17,48.515,49.191,49.517,49.923,51.623,54.207,56.323,57.611,60.165,61.824,63.552,64.309,65.592,64.449,63.149,64.288,67.441,68.438,68.14,69.088,69.799,69.562,70.912,72.704,74.166,76.355,77.914,77.416,79.461,80.453,82.119,82.017,81.697,82.364,84.66,85.096,85.95,86.699,87.738,91.126,93.177,94.263,94.483,95.661,96.797,100,102.871,104.453,103.342,101.993,104.44
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",51.527,52.029,52.828,52.976,53.313,55.168,58.155,60.396,61.801,64.278,65.59,66.947,67.093,68.01,66.123,64.114,65.316,68.599,69.198,68.738,69.455,69.979,69.553,70.877,72.704,74.464,76.57,78.15,77.818,80.101,81.049,82.467,83.299,83.62,84.13,86.146,86.312,86.807,87.256,88.012,91.343,92.99,93.945,94.152,95.57,96.696,100,102.512,103.993,102.832,101.454,103.384
"80","73","        Food purchased for off-premises consumption","DFOFRA3",53.284,53.566,54.052,54.27,54.698,56.911,59.777,61.597,62.586,65.156,66.307,68.691,69.008,68.908,67.118,65.255,66.299,70.366,73.319,72.527,72.909,73.389,72.601,73.311,74.736,76.269,78.187,79.456,78.999,80.908,81.545,82.679,83.344,83.762,84.252,86.468,87.153,87.28,87.671,88.381,91.822,93.688,94.56,94.727,95.879,96.707,100,102.394,104.009,102.815,101.837,103.743
"81","74","          Cereals and bakery products","DCBPRA3",43.999,44.138,43.53,42.553,42.682,44.239,45.741,46.292,45.61,48.319,49.852,47.901,54.212,54.648,53.897,53.58,59.932,65.857,70.919,70.053,73.124,74.815,74.134,75.281,71.502,72.959,74.328,73.436,73.862,74.926,75.11,77.248,77.674,76.668,77.05,78.393,79.61,80.832,82.373,84.969,90.137,94.436,97.755,99.567,98.716,97.831,100,101.851,101.615,98.389,95.985,97.732
"82","75","            Cereals","DGRARA3",20.255,22.379,23.435,22.197,23.08,23.752,23.808,24.909,24.469,26.656,28.607,26.825,36.546,29.677,32.626,35.784,42.448,47.733,55.65,55.925,59.391,62.26,63.846,63.348,60.062,61.64,61.674,65.572,68.977,70.725,71.797,75.467,77.172,77.502,77.569,78.271,79.965,82.834,85.206,84.213,85.122,85.953,85.895,83.61,87.772,92.708,100,108.305,112.862,109.038,106.489,108.839
"83","76","            Bakery products","DBAKRA3",60.429,59.056,57.222,56.466,56.048,58.215,60.751,60.88,60.036,63.073,64.304,62.271,66.048,72.011,68.159,65.035,70.911,77.15,80.272,78.694,81.519,82.478,80.373,82.557,78.48,79.859,82.053,78.179,76.745,77.377,76.993,78.14,77.742,75.877,76.462,78.215,79.12,79.309,80.342,85.061,92.725,99.036,104.282,108.409,104.742,100.627,100,98.397,95.63,92.72,90.395,91.824
"84","77","          Meats and poultry","DMAPRA3",55.08,56.753,58.782,59.016,61.92,67.855,69.169,72.288,73.641,77.018,80.081,85.072,80.891,79.645,73.095,75.128,78.334,83.045,80.206,80.206,78.966,80.594,81.179,82.168,84.553,84.17,86.418,87.472,83.935,86.996,89.093,89.401,90.842,93.694,92.304,94.636,96.052,94.502,93.128,95.479,98.976,97.788,96.096,95.482,96.255,96.386,100,102.337,103.905,104.997,105.377,106.629
"85","78","            Beef and veal","DBEERA3",123.439,125.936,130.549,131.221,135.383,151.893,159.684,170.057,165.071,180.481,188.717,193.491,183.075,178.836,162.783,168.857,182.103,193.519,166.245,164.617,148.911,144.373,144.106,144.171,145.538,144.715,147.013,155.454,146.834,142.127,136.976,129.985,124.297,119.655,113.559,114.924,113.817,112.632,107.138,109.118,111.779,108.599,103.559,104.408,100.331,96.76,100,101.405,102.349,102.88,104.64,104.647
"86","79","            Pork","DPORRA3",55.933,55.879,54.053,55.879,59.908,63.076,58.125,57.925,65.681,62.808,67.759,72.867,73.734,69.828,62.145,62.144,57.784,59.016,67.366,72.141,82.288,91.064,92.567,93.027,102.579,100.821,106.099,101.682,93.743,101.74,107.158,99.31,97.767,102.622,100.388,101.793,102.492,95.192,90.888,95.846,100.557,94.969,92.652,91.897,94.209,96.196,100,102.472,105.744,109.005,111.974,109.973
"87","80","            Other meats","DMEARA3",48.152,51.524,53.758,52.88,56.588,58.699,59.872,59.634,62.514,64.386,65.294,65.033,62.431,61.907,58.064,61.371,67.355,70.283,72.647,65.508,61.457,62.776,59.566,59.247,59.759,59.109,62.311,59.637,58.196,63.764,70.124,72.338,75.633,80.209,81.512,83.767,85.386,86.066,86.393,88.914,92.308,93.176,93.844,91.713,93.425,96.49,100,100.422,103.528,105.442,103.772,106.775
"88","81","            Poultry","DPOURA3",13.336,14.291,16.073,15.816,16.806,18.932,19.489,21.232,21.924,21.899,21.76,28.52,25.288,26.911,25.927,25.865,25.738,28.837,30.987,32.724,36.356,38.995,41.824,44.558,44.465,45.32,45.335,46.473,47.823,51.962,54.959,63.657,70.998,77.264,78.346,81.946,85.424,85.698,87.829,88.809,92.197,93.74,93.534,92.762,95.742,96.138,100,104.064,104.341,104.266,103.246,106.304
"89","82","          Fish and seafood","DFISRA3",70.917,76.522,75.831,77.475,79.408,87.919,94.757,98.081,92.519,107.081,120.667,123.669,102.913,96.05,90.297,72.906,63.411,65.225,68.385,68.932,71.118,69.912,68.565,64.215,80.6,95.051,96.155,100.35,100.134,96.619,94.727,94.717,92.097,86.372,84.051,82.708,79.442,80.312,78.552,78.846,81.913,83.028,86.137,89.008,92.029,97.065,100,97.641,98.417,97.591,94.756,96.388
"90","83","          Milk, dairy products, and eggs","DMDERA3",101.618,95.896,93.577,92.769,93.833,93.556,101.233,97.978,96.047,97.222,95.514,98.734,97.61,99.678,98.893,94.208,100.727,105.064,116.404,109.294,106.831,105.079,99.069,94.426,93.588,94.063,97.115,96.945,100.845,103.312,100.966,97.709,100.253,98.082,97.769,99.334,99.153,93.958,93.101,92.908,94.073,96.846,96.956,97.771,98.861,97.496,100,102.342,99.655,97.626,101.292,102.207
"91","84","            Fresh milk","DMILRA3",169.135,160.609,157.782,157.374,156.127,154.257,169.123,163.013,155.052,152.44,150.689,152.284,147.285,149.755,151.829,140.45,151.255,159.014,170.805,156.315,146.945,139.799,130.535,122.075,122.403,129.553,136.183,141.051,150.996,150.907,144.031,133.43,135.893,125.934,121.305,117.382,114.32,104.385,99.158,98.653,97.808,101.17,100.361,103.634,105.445,100.262,100,103.789,100.569,101.776,111.016,109.415
"92","85","            Processed dairy products","DDAIRA3",78.966,72.726,69.835,67.619,68.772,72.378,74.857,70.621,67.911,76.191,79.006,77.608,78.201,82.037,81.089,79.152,85.552,88.055,100.106,94.326,94.139,94.854,90.105,86.11,85.476,83.088,84.852,82.313,84,87.726,89.516,88.979,91.393,91.001,92.381,94.816,95.28,92.591,91.761,90.855,91.452,94.621,95.436,95.439,98.307,98.505,100,102.505,103.19,100.222,99.699,101.978
"93","86","            Eggs","DGGSRA3",48.556,47.268,46.487,47.474,51.788,46.946,53.942,56.595,65.489,57.027,45.876,61.063,62.351,59.122,54.209,53.695,53.288,56.64,64.545,66.79,69.998,70.412,66.486,67.444,63.324,61.264,61.9,60.741,60.745,63.393,53.47,54.692,57.846,65.382,67.527,78.155,81.883,76.625,84.942,88.487,97.17,96.508,95.522,94.171,85.472,86.022,100,97.786,82.145,76.844,85.33,85.867
"94","87","          Fats and oils","DFATRA3",62.338,62.657,60.356,64.122,68.657,72.308,69.179,71.377,78.478,87.955,89.267,87.332,101.203,100.351,97.165,93.068,81.18,78.252,81.95,84.482,88.375,91.552,92.703,100.365,97.605,98.279,100.523,96.506,92.483,95.332,95.982,99.209,98.921,102.789,102.162,100.893,97.74,96.132,94.442,91.096,92.405,93.625,89.29,87.87,92.778,92.431,100,108.476,114.301,107.352,105.956,106.591
"95","88","          Fresh fruits and vegetables","DFAVRA3",65.94,64.023,67.538,65.794,62.179,59.224,61.57,62.836,67.059,65.867,62.894,71.024,64.965,64.445,62.642,56.823,56.431,54.742,54.412,55.678,58.371,59.881,61.708,65.134,68.716,65.404,67.95,72.866,75.568,75.169,73.877,73.316,70.746,72.03,73.701,77.16,74.195,77.773,80.19,79.91,86.81,92.198,95.509,96.035,96.165,96.443,100,99.155,101.217,102.161,107.773,110.746
"96","89","            Fruit (fresh)","DFRURA3",59.945,54.73,55.319,52.997,49.134,50.671,56.545,56.38,59.988,59.777,56.127,63.836,60.951,64.205,63.989,61.123,61.469,61.104,59.823,56.726,55.374,56.229,60.892,58.912,65.3,64.014,63.008,73.116,74.774,75.475,77.865,76.582,71.807,78.102,80.879,81.857,78.558,77.091,79.008,81.23,82.215,90.33,93.749,95.577,95.04,96.124,100,98.376,99.8,100.967,108.383,113.276
"97","90","            Vegetables (fresh)","DVEGRA3",69.718,70.346,76.18,74.956,71.648,64.995,64.666,66.958,71.593,69.655,67.241,75.609,67.352,64.138,61.267,53.546,52.647,50.044,50.372,54.833,60.734,62.774,62.495,69.873,71.428,66.709,71.847,72.832,76.306,75.109,71.214,71.16,70.237,67.761,68.659,73.807,71.075,78.142,80.911,78.945,89.86,93.372,96.612,96.317,96.861,96.639,100,99.635,102.095,102.899,107.401,109.224
"98","91","          Processed fruits and vegetables","DPFVRA3",61.594,69.354,69.118,73.427,71.573,74.231,83.2,85.603,83.508,89.423,97.25,101.481,105.568,108.3,112.213,103.739,113.682,119.533,133.617,132.679,132.791,131.214,129.794,130.066,129.143,127.843,121.253,122.435,117.463,112.81,108.155,106.345,106.071,101.291,102.823,102.956,103.211,101.57,100.669,96.854,96.626,95.865,93.006,87.534,91.69,95.578,100,104.419,108.8,105.777,100.108,102.665
"99","92","          Sugar and sweets","DSWERA3",62.444,66.924,68.064,67.252,62.875,66.094,71.375,77.275,78.521,79.929,79.505,75.919,94.163,93.445,94.127,94.274,76.62,87.592,94.153,88.94,91.011,86.471,82.848,77.731,82.837,84.349,84.356,82.281,78.275,82.024,84.909,88.112,88.803,88.241,90.067,92.896,93.964,93.458,93.209,92.54,94.897,96.167,97.402,95.489,95.945,97.937,100,100.392,101.238,97.04,89.893,92.168
"100","93","          Food products, not elsewhere classified","DOFDRA3",18.662,18.398,18.549,20.211,20.396,21.359,23.591,26.659,29.196,31.094,31.223,32.643,31.433,31.735,34.578,31.497,29.818,32.586,34.192,35.988,35.332,36.148,36.087,39.725,42.753,49.09,52.889,57.018,58.27,61.745,64.189,68.223,69.645,71.18,73.431,77.085,79.636,82.01,83.761,83.805,86.239,87.516,88.809,89.427,92.55,95.987,100,105.102,110,109.562,105.617,108.245
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRA3",41.541,43.905,47.39,46.968,46.549,45.648,49.817,55.705,60.774,62.68,65.528,58.2,56.946,66.517,63.577,60.031,62.715,60.216,47.331,48.493,50.878,51.617,53.024,57.465,61.313,64.211,67.256,70.407,70.725,75.026,77.732,80.8,82.637,82.362,82.992,83.77,80.782,83.534,84.351,85.405,88.007,88.22,89.722,90.193,93.415,96.617,100,103.335,103.882,102.95,98.738,100.833
"102","95","          Coffee, tea, and other beverage materials","DCTMRA3",44.313,46.836,50.553,50.103,49.655,48.694,53.141,59.423,64.83,66.863,69.901,62.084,60.746,70.956,67.82,64.038,66.901,64.235,50.489,57.848,68.05,70.167,88.322,95.885,104.226,107.209,110.946,96.959,110.591,110.482,104.51,105.435,101.216,96.754,104.879,91.038,78.055,88.139,81.83,81.135,85.13,85.164,87.053,86.604,91.61,97.066,100,106.959,111.703,114.18,114.972,114.602
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRA3",41.784,44.162,47.667,47.243,46.821,45.914,50.108,56.031,61.129,63.046,65.911,58.54,57.279,66.906,63.949,60.382,63.082,60.568,47.607,47.696,48.908,49.457,48.769,52.834,56.164,59.03,61.98,67.295,65.887,70.71,74.454,77.769,80.282,80.46,80.309,82.759,81.139,82.854,84.698,86.021,88.412,88.651,90.098,90.698,93.669,96.553,100,102.81,102.753,101.331,96.409,98.853
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",25.268,25.411,25.622,27.183,28.01,29.134,30.197,31.882,32.789,35.731,39.039,42.265,45.948,48.85,51.629,53.655,54.672,56.965,60.464,61.83,64.566,66.672,67.714,69.489,71.11,70.82,73.604,75.113,73.96,74.527,75.971,79.442,73.395,69.232,70.906,74.894,77.059,80.242,82.974,85.812,89.595,94.294,96.284,96.554,96.254,97.476,100,105.125,107.475,106.671,105.5,111.469
"105","98","        Spirits","DLIQRA3",28.489,27.149,26.902,27.638,32.704,33.533,37.168,39.723,39.607,45.543,50.786,52.73,56.313,65.042,68.927,72.304,76.194,78.604,82.613,76.069,74.157,70.188,63.137,56.484,58.737,57.552,59.904,57.888,58.248,60.577,63.274,68.106,66.228,65.667,63.46,63.703,61.814,62.685,62.17,67.826,72.864,78.987,83.313,86.686,89.674,94.766,100,108.5,115.592,115.553,114.998,121.482
"106","99","        Wine","DWINRA3",10.276,10.3,10.998,12.516,12.951,13.643,13.777,14.16,14.162,14.973,16.003,17.974,21.687,23.853,24.496,26.164,24.263,23.796,24.947,28.282,33.309,38.611,43.154,48.48,50.935,51.251,53.506,54.115,51.88,53.506,55.583,59.89,56.39,54.869,56.972,61.793,65.018,67.991,69.563,73.363,77.644,82.824,88.087,91.076,91.987,96.05,100,105.425,108.674,108.95,108.875,116.785
"107","100","        Beer","DMLTRA3",32.011,33.349,33.685,36.009,33.863,35.505,35.154,36.94,39.112,41.084,44.312,49.269,53.175,52.469,55.713,57.051,57.849,61.524,65.958,70.947,75.036,78.669,82.074,86.291,87.137,86.989,90.25,93.98,92.566,91.717,92.222,94.61,85.228,78.004,81.427,86.933,90.677,95.143,100.097,100.985,103.853,107.556,106.745,104.104,101.527,99.485,100,103.27,102.833,101.173,99.221,104.1
"108","101","      Food produced and consumed on farms (6)","DFFDRA3",1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,99.097,105.428,109.283,90.646
"109","102","    Clothing and footwear","DCLORA3",15.31,15.449,15.734,16.447,16.748,18.022,18.772,20.03,20.169,20.978,21.383,21.137,22.026,23.594,25.291,24.808,25.434,26.606,28.031,30.985,32.79,33.806,35.959,36.557,39.059,42.293,44.179,47.49,49.251,50.699,53.384,53.015,53.052,55.869,58.249,61.512,64.039,67.145,69.353,73.581,78.413,82.207,82.985,85.525,90.007,94.268,100,104.66,108.315,107.666,102.658,108.594
"110","103","      Garments","DGARRA3",13.944,14.114,14.425,15.12,15.474,16.731,17.49,18.699,18.865,19.573,19.921,19.884,20.774,22.268,23.91,23.592,24.377,25.501,26.89,29.725,31.535,32.636,34.796,35.679,38.216,41.642,43.464,46.704,48.362,49.913,52.508,51.981,52.299,55.391,57.84,61.006,63.607,66.593,68.8,72.882,77.41,81.167,82.05,84.836,89.469,93.909,100,104.43,107.996,107.614,102.95,109.116
"111","104","        Women's and girls' clothing (10)","DWGCRA3",12.362,12.575,12.91,13.651,14.042,15.204,15.804,16.837,16.698,17.315,17.572,17.564,18.463,19.465,20.799,20.54,21.303,22.264,23.382,26.066,27.853,29.162,31.613,32.817,35.666,39.354,41.431,45.274,46.541,47.706,50.396,49.445,49.765,53.046,55.108,57.371,59.844,62.749,64.24,68.879,74.578,79.352,80.509,83.65,88.41,93.305,100,104.293,108.067,108.144,103.249,109.289
"112","105","        Men's and boys' clothing (11)","DMBCRA3",17.349,17.384,17.588,18.149,18.331,19.838,20.816,22.377,23.139,23.981,24.256,23.887,24.958,27.284,29.3,28.858,29.905,31.198,33.143,35.947,37.469,38.014,39.423,39.382,41.45,44.367,45.833,48.243,50.511,52.646,55.189,55.699,56.149,59.197,62.293,67.101,70.011,73.488,76.853,79.714,82.353,84.439,84.424,86.37,91.026,94.758,100,104.917,108.132,106.673,102.318,108.84
"113","106","        Children's and infants' clothing (12)","DCICRA3",6.626,7.021,7.615,8.159,9.212,9.228,11.023,11.898,12.91,13.978,17.41,20.684,18.485,22.2,26.517,26.315,24.655,26.989,28.085,32.952,37.028,38.868,41.885,44.967,46.223,49.404,50.135,50.979,53.346,55.778,57.278,54.966,54.305,55.026,57.737,60.678,62.566,62.936,65.588,71.684,75.795,79.545,83.531,88.034,91.056,95.091,100,102.642,106.162,107.881,103.757,108.899
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRA3",22.841,22.77,22.88,23.659,23.624,24.928,25.573,27.069,27.044,28.414,29.135,27.682,28.54,30.479,32.446,31.034,30.72,32.128,33.717,37.262,39.002,39.568,41.674,40.84,43.165,45.41,47.615,51.274,53.559,54.467,57.596,58.023,56.637,58.075,60.1,63.834,65.996,69.67,71.881,76.8,83.08,87.046,87.315,88.693,92.467,95.895,100,105.674,109.722,107.916,101.446,106.422
"115","108","        Clothing materials","DCSMRA3",35.532,34.747,35.242,37.107,36.968,34.526,36.331,37.265,33.406,33.819,32.632,31.908,39.492,46.755,49.706,50.423,45.173,52.91,54.059,57.329,55.12,56.483,55.565,57.507,59.057,62.626,63.563,67.805,75.14,74.501,75.717,71.01,71.053,70.572,71.154,69.177,61.733,63.226,64.022,71.403,80.89,87.732,91.743,100.361,101.1,101.272,100,98.127,95.952,93.171,89.824,93.988
"116","109","        Standard clothing issued to military personnel","DMICRA3",34.746,32.435,37.248,46.511,42.96,42.564,50.065,106.901,122.945,126.344,103.773,93.119,67.001,39.039,46.837,47.89,54.775,54.471,52.642,49.218,57.994,58.867,48.226,51.413,57.748,52.197,43.937,47.425,47.122,47.498,49.216,42.351,48.174,71.97,76.497,76.342,76.132,75.592,82.742,80.159,75.543,83.446,89.169,99.822,137.734,96.129,100,109.147,108.248,102.198,113.495,101.046
"117","110","        Shoes and other footwear","DSHURA3",21.645,21.667,21.704,22.318,22.317,24.032,24.516,25.707,25.957,27.416,28.473,26.998,27.366,28.971,30.816,29.179,29.292,30.119,31.772,35.384,37.421,37.915,40.352,39.254,41.618,43.793,46.176,49.782,51.626,52.676,55.984,56.92,55.358,56.824,58.959,63.22,66.271,70.176,72.482,77.237,83.321,87.012,86.919,87.599,91.387,95.433,100,106.276,110.865,109.167,102.319,107.485
"118","111","    Gasoline and other energy goods","DGOERA3",45.149,45.869,45.566,47.045,48.673,51.268,53.71,56.642,58.094,60.548,63.178,65.591,67.881,71.322,75.421,69.282,70.892,74.689,76.029,77.254,75.025,68.391,67.505,67.615,69.103,70.971,72.344,76.024,77.477,79.682,80.956,79.503,78.858,82.008,84.063,85.408,87.001,88.377,90.161,93.401,96.26,94.506,95.188,96.763,99.39,100.686,100,97.722,96.911,92.368,92.533,92.582
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.843,92.087,92.866,94.257,97.35,99.398,100,98.258,97.523,93.488,92.722,93.088
"120","113","        Gasoline and other motor fuel","DGASRA3",32.694,33.807,34.187,35.648,36.754,38.792,40.608,43.144,44.555,47.682,50.896,54.079,56.736,59.064,62.077,58.852,60.604,63.014,64.638,66.026,64.741,60.906,61.738,62.804,64.195,66.064,67.506,71.076,72.988,74.866,76.484,75.622,74.762,77.543,79.438,80.462,82.121,84.043,86.826,90.165,93.185,92.3,93.254,94.733,97.699,99.71,100,98.208,97.474,93.628,93.419,93.767
