"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","13","Services","DSERRG3",16.976,17.207,17.437,17.679,17.918,18.167,18.393,18.664,18.916,19.166,19.435,19.618,19.833,19.997,20.194,20.383,20.553,20.877,21.24,21.639,22.084,22.607,23.132,23.642,24.181,24.583,25.039,25.533,25.956,26.292,26.758,27.218,27.756,28.305,28.852,29.318,29.884,30.484,31.055,31.687,32.133,32.965,33.747,34.556,35.416,36.289,37.225,38.278,39.31,40.104,40.978,41.828,42.581,43.235,44.098,44.921,45.598,45.997,46.819,47.304,47.908,48.634,49.211,49.633,50.314,50.784,51.312,51.786,52.551,53.141,53.635,54.171,54.615,55.054,55.684,56.284,57.037,57.758,58.521,59.176,59.942,60.568,61.108,61.742,62.547,63.504,64.261,64.919,65.62,66.182,66.92,67.603,68.4,68.982,69.492,70.068,70.528,71.125,71.567,71.956,72.451,72.915,73.466,73.967,74.548,75.145,75.632,76.136,76.548,77.138,77.779,78.428,79.013,79.588,80.066,80.58,80.992,81.468,81.908,82.388,82.844,83.245,83.694,84.252,85.052,85.411,86.057,86.75,87.703,88.27,88.548,89.167,89.713,90.461,91.179,91.85,92.551,93.386,94.057,94.75,95.509,96.314,97.178,97.752,98.706,99.521,100.304,101.469,102.173,103.001,103.849,104.635,105.758,106.52,107.34,108.307,109.211,110.386,111.204,111.536,111.614,111.724,112.224,113.065,113.647,114.282,114.687,115.057,115.503,116.193,116.772,117.27,117.989,118.576
"22","14","  Household consumption expenditures (for services)","DHCERG3",16.271,16.49,16.709,16.942,17.174,17.418,17.637,17.895,18.134,18.375,18.632,18.81,19.016,19.176,19.362,19.539,19.712,20.011,20.343,20.725,21.137,21.615,22.122,22.612,23.124,23.513,23.937,24.422,24.82,25.154,25.613,26.049,26.553,27.097,27.61,28.06,28.606,29.188,29.724,30.341,30.759,31.556,32.283,33.057,33.884,34.706,35.646,36.669,37.67,38.411,39.29,40.146,40.926,41.604,42.474,43.326,44.051,44.449,45.301,45.818,46.429,47.158,47.759,48.206,48.894,49.377,49.901,50.352,51.15,51.786,52.3,52.849,53.297,53.75,54.376,54.981,55.742,56.479,57.265,57.942,58.746,59.426,60.027,60.734,61.563,62.592,63.421,64.124,64.898,65.481,66.286,67.033,67.927,68.582,69.143,69.8,70.309,70.921,71.406,71.804,72.323,72.799,73.353,73.846,74.484,75.092,75.581,76.11,76.53,77.108,77.757,78.406,78.974,79.565,80.012,80.482,80.858,81.295,81.721,82.216,82.681,83.055,83.47,83.991,84.805,85.091,85.752,86.416,87.334,87.894,88.163,88.835,89.369,90.109,90.89,91.622,92.351,93.266,93.955,94.687,95.521,96.319,97.188,97.803,98.728,99.555,100.28,101.437,102.18,103.033,103.922,104.739,105.853,106.649,107.473,108.515,109.503,110.624,111.413,111.875,112.055,112.193,112.724,113.646,114.271,114.961,115.366,115.714,116.18,116.876,117.533,118.065,118.81,119.427
"23","15","    Housing and utilities","DHUTRG3",17.925,18.079,18.275,18.463,18.655,18.844,19.065,19.343,19.603,19.852,20.093,20.246,20.442,20.593,20.794,20.989,21.284,21.514,21.73,22.009,22.327,22.627,22.967,23.403,24.021,24.396,24.78,25.306,25.744,26.121,26.579,27.191,27.912,28.468,29.045,29.567,30.006,30.534,30.976,31.593,32.128,32.725,33.61,34.599,35.321,36.21,37.216,38.249,39.213,40.21,41.371,42.42,43.344,44.064,44.913,45.944,46.624,47.242,47.671,48.262,48.777,49.513,50.315,50.851,51.461,52.189,52.84,53.471,54.187,54.84,55.295,55.629,56.123,56.721,57.21,57.804,58.395,58.86,59.497,60.126,60.643,61.238,61.908,62.634,63.223,63.94,64.771,65.194,65.843,66.169,66.512,67.136,67.631,68.062,68.413,68.969,69.465,70.098,70.502,70.901,71.441,71.883,72.242,72.655,73.231,73.722,74.234,74.829,75.41,75.964,76.464,76.935,77.576,77.943,78.502,79.057,79.333,79.886,80.373,80.865,81.309,81.731,82.244,82.797,83.558,84.244,85.182,86.176,87.709,88.477,89.088,89.627,90.329,90.996,91.572,92.32,93.277,93.996,94.462,94.952,95.556,96.307,97.117,97.69,98.449,99.279,100.268,102.004,102.944,103.67,104.814,105.724,106.872,107.64,108.199,109.155,110.064,111.499,112.734,112.895,113.186,113.015,112.95,113.132,113.216,113.237,113.39,113.675,114.188,114.671,115.327,115.96,116.391,116.801
"24","16","    Health care","DHLCRG3",10.609,10.825,11.002,11.214,11.432,11.666,11.844,12.006,12.124,12.276,12.418,12.549,12.686,12.779,12.945,13.054,13.187,13.364,13.551,13.792,14.088,14.489,14.984,15.451,15.831,16.176,16.586,17.057,17.451,17.812,18.179,18.535,18.917,19.36,19.69,20.01,20.473,20.845,21.33,21.909,22.486,22.864,23.397,24.052,24.91,25.6,26.352,27.172,28.011,28.612,29.564,30.554,31.378,31.997,32.876,33.63,34.465,35.009,35.774,36.514,37.212,37.825,38.366,38.97,39.561,40.169,40.684,41.199,41.851,42.492,43.08,43.799,44.436,45.207,45.947,46.649,47.578,48.624,49.623,50.618,51.764,52.85,53.987,55.114,56.142,57.345,58.629,59.84,60.935,61.907,62.958,64.077,65.28,66.355,67.365,68.443,69.312,70.091,70.867,71.467,72.254,72.923,73.669,74.34,75.272,75.748,76.136,76.723,77.082,77.542,77.955,78.453,78.764,79.252,79.547,79.698,80.14,80.65,81.002,81.454,81.947,82.322,82.774,83.296,83.97,84.377,85.342,85.953,86.802,87.502,88.077,88.656,88.927,89.551,90.46,91.285,91.99,93.094,93.924,94.882,95.851,96.651,97.281,97.924,98.88,99.591,100.265,101.264,101.751,102.639,103.596,104.227,105.752,106.37,107.126,108.218,109.189,109.373,109.778,110.657,111.567,112.279,113.029,114.023,114.711,115.353,115.895,116.305,116.768,117.48,118.035,118.419,118.975,119.566
"25","17","    Transportation services","DTRSRG3",19.77,20.15,20.417,20.713,21.348,21.597,21.975,22.394,22.705,23.199,23.705,23.838,24.052,24.134,24.292,24.528,24.814,25.15,25.461,25.868,26.309,27.018,27.864,28.788,29.602,30.24,30.835,31.459,32.038,32.544,33.088,33.575,34.192,34.839,35.399,35.922,36.607,37.033,37.686,38.315,38.874,39.882,41.134,43.058,44.843,46.39,48.13,49.775,51.582,52.427,53.709,54.426,54.821,55.76,56.672,56.641,56.439,57.723,58.816,59.412,60.342,60.501,60.006,60.717,61.349,61.377,61.665,61.94,61.729,62.046,62.042,62.981,63.779,64.197,65.189,66.177,66.692,67.516,68.347,68.91,70.477,70.85,70.812,71.26,72.363,73.379,73.749,74.74,74.636,74.989,76.153,76.53,77.62,77.258,77.004,79.018,80.163,80.195,80.545,80.811,81.062,81.48,81.62,81.474,81.767,83.176,83.887,83.995,83.114,83.877,84.555,85.474,85.27,85.989,86.226,87.004,87.338,87.301,87.903,88.015,88.191,88.834,89.103,89.662,90.325,91.199,92.014,92.925,92.935,92.759,92.462,92.381,92.375,93.244,93.11,93.521,94.026,94.719,95.508,95.986,96.086,95.794,96.602,97.345,98.313,99.208,100.335,102.143,103.309,104.186,104.672,104.701,105.47,105.927,106.963,108.212,109.792,111.831,113.575,114.673,115.219,114.742,115.735,116.957,117.535,118.118,118.12,118.725,120.132,121.115,121.583,122.592,123.445,124.011
"26","18","    Recreation services","DRCARG3",22.092,22.358,22.601,22.841,23.085,23.361,23.638,23.955,24.249,24.464,24.678,24.785,24.98,25.087,25.234,25.392,25.561,25.925,26.2,26.582,26.957,27.562,28.16,28.82,29.447,29.727,30.06,30.485,30.881,31.184,31.587,31.994,32.363,32.723,33.075,33.494,34.015,34.594,35.143,35.775,36.292,37.004,37.526,37.92,38.634,39.76,40.536,41.059,41.905,42.226,42.671,43.384,43.996,44.487,45.221,45.761,46.201,46.727,46.829,47.499,47.984,48.579,49.145,49.642,50.242,50.768,51.154,51.617,52.36,52.696,53.081,53.519,54.103,54.71,55.261,55.785,56.214,56.737,57.186,58.157,59.016,59.537,60.298,60.795,61.811,62.669,63.773,64.476,65.329,66.246,66.925,67.37,67.535,68.416,68.914,69.255,69.777,70.461,71.01,71.653,72.116,72.058,72.184,72.582,73.044,73.612,74.005,74.649,75.246,75.953,76.63,77.318,77.936,78.59,79.113,79.375,79.954,80.433,80.899,81.526,82.201,82.964,83.608,84.42,85.335,85.936,87.117,87.702,88.375,89.209,89.621,90.228,90.752,91.675,92.276,93.012,93.927,94.423,95.095,95.575,96.338,96.954,97.554,98.218,98.822,99.355,100.341,101.482,102.133,103.064,103.961,104.379,105.153,106.092,106.342,107.51,108.473,109.258,110.374,110.115,110.498,110.456,111.51,111.538,111.441,112.132,112.574,112.575,113.181,113.915,114.285,114.874,116.3,116.871
"27","19","    Food services and accommodations","DFSARG3",17.678,17.934,18.246,18.629,18.951,19.385,19.636,19.872,20.196,20.386,20.628,20.787,20.929,21.161,21.361,21.579,21.809,22.334,22.906,23.794,24.29,24.943,25.724,26.393,26.996,27.377,27.777,28.329,28.762,29.214,29.705,30.109,30.605,31.368,31.925,32.42,33.007,33.88,34.829,35.647,36.592,37.645,38.505,39.449,40.431,41.312,42.12,43.071,44.251,45.13,45.92,46.543,47.13,47.729,48.436,48.948,49.419,49.915,50.275,50.935,51.59,52.188,52.687,53.124,53.68,54.409,54.96,55.55,55.984,56.619,57.182,57.774,58.411,58.902,59.514,59.99,60.736,61.465,62.102,62.697,63.426,64.184,64.94,65.634,66.435,67.193,67.9,68.475,69.354,69.993,70.552,70.883,71.085,71.494,71.945,72.22,72.433,73.013,73.315,73.609,73.802,74.275,74.5,74.924,75.271,75.985,76.438,76.825,77.183,77.89,78.477,79.175,79.705,80.212,80.683,81.396,81.838,82.36,82.836,83.592,83.959,84.512,85.093,85.605,86.283,86.816,87.515,88.035,88.705,89.388,90.045,90.45,91.118,91.516,92.058,92.592,92.911,93.38,94.029,94.781,95.501,96.518,97.409,98.147,99.06,99.703,100.118,101.119,102.07,103.041,103.776,104.574,105.667,106.85,108.176,108.947,109.986,110.868,112.351,113.273,113.865,114.079,114.11,114.79,115.007,115.573,115.983,116.499,117.144,118.36,119.445,119.849,120.894,122.045
"28","20","    Financial services and insurance","DIFSRG3",17.293,17.621,17.89,18.191,18.373,18.538,18.722,19.008,19.248,19.593,19.989,20.284,20.706,20.913,21.122,21.222,21.019,21.323,21.627,21.976,22.5,22.953,23.448,23.931,24.357,24.808,25.027,25.511,25.699,25.523,26.078,26.426,26.589,27.42,28.461,29.224,30.47,31.518,31.852,32.597,31.383,33.674,34.122,34.143,34.461,35.179,36.113,37.884,38.961,38.832,38.43,38.269,39.08,39.88,41.485,42.964,44.184,43.016,46.201,45.763,45.708,47.437,48.679,48.667,50.298,49.529,49.594,49.199,51.346,52.072,52.785,53.525,53.649,53.095,54.016,54.535,55.83,56.578,57.948,58.023,58.978,59.313,58.872,59.208,60.245,62.255,62.671,63.01,63.474,63.762,65.486,66.387,68.614,69.563,70.057,70.415,70.151,70.486,70.659,70.458,70.603,71.026,72.097,72.668,73.457,74.044,74.783,75.5,76.053,76.682,78.029,79.046,80.51,81.739,82.443,83.476,83.928,83.721,84.017,84.311,84.822,84.738,84.766,85.006,86.61,85.392,85.063,85.261,85.854,85.771,83.672,85.1,85.754,87.099,87.912,88.993,89.404,91.138,92.068,92.987,94.587,95.948,97.413,97.964,99.11,99.969,100.178,100.743,100.992,101.836,102.325,103.893,105.214,105.97,107.317,108.786,109.484,111.042,110.299,109.962,107.698,107.412,108.903,111.946,114.299,116.597,117.32,117.658,117.527,118.031,118.844,119.094,120.166,120.69
"29","21","    Other services","DOTSRG3",18.048,18.268,18.489,18.685,18.863,19.138,19.361,19.67,19.96,20.225,20.556,20.836,21.102,21.34,21.528,21.782,21.908,22.354,23.032,23.501,24.185,24.985,25.559,25.884,26.231,26.633,27.323,27.639,28.012,28.42,28.941,29.19,29.669,29.987,30.281,30.515,30.864,31.416,32.031,32.46,33.004,33.656,34.35,34.962,35.93,36.524,37.539,38.331,39.287,40.312,41.375,42.536,43.177,43.811,44.269,44.982,45.741,46.285,46.809,47.35,48.488,48.893,49.03,49.248,49.618,50.347,51.105,51.719,52.441,53.171,53.696,54.117,54.069,54.421,54.787,55.301,55.899,56.728,57.199,57.902,58.363,58.902,59.321,59.733,60.411,61.277,61.771,62.489,63.417,64.04,64.733,65.51,66.314,66.885,67.549,67.878,68.489,69.211,69.81,70.442,71.163,71.666,72.452,73.084,73.649,74.4,74.77,75.091,75.629,76.188,76.964,77.769,78.129,78.798,79.055,79.156,79.447,80.206,80.621,81.297,81.818,82.111,82.459,83.036,83.526,83.709,83.984,84.541,85.273,85.891,87.054,87.932,88.564,89.188,90.705,91.184,92.057,92.883,93.566,94.42,95.186,95.909,96.886,97.451,98.581,99.793,100.485,101.141,102.103,103.041,103.907,104.629,105.095,106.071,106.893,107.688,108.904,110.591,111.586,112.426,112.753,113.094,113.622,114.596,115.362,116.263,116.777,117.105,117.515,118.325,118.928,119.683,120.609,121.435
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",57.333,58.37,59.268,59.993,60.484,60.902,61.352,62.416,63.545,64.238,65.173,65.643,66.302,66.687,67.598,68.594,68.218,70.421,73.246,74.592,77.772,81.862,83.286,84.91,87.211,88.236,91.128,91.61,93.825,93.568,93.825,95.94,98.997,98.848,101.963,103.203,104.581,105.988,109.117,109.94,112.577,115.468,120.405,123.419,125.952,130.472,129.063,131.212,133.429,138.135,136.899,135.682,132.731,130.245,129.314,126.69,122.577,122.564,120.132,117.677,117.202,117.143,115.586,113.91,113.644,112.8,113.25,114.982,112.953,110.21,109.237,108.706,108.641,108.021,108.617,108.615,108.539,108.036,107.285,106.462,104.98,102.617,99.917,96.984,96.486,94.117,91.753,90.538,88.304,87.971,86.132,84.434,81.78,79.88,78.736,76.784,75.683,75.779,74.904,75.016,74.789,74.9,75.35,76.07,74.997,75.247,75.657,75.466,75.63,76.553,76.969,77.626,78.658,78.734,80.146,82.006,83.502,85.12,85.93,85.978,86.181,87.343,88.765,90.346,90.73,93.156,93.352,94.83,96.692,97.462,97.943,97.163,97.998,98.956,98.12,97.322,97.35,96.265,96.493,96.256,95.226,96.185,96.94,96.453,98.168,98.648,100.936,102.248,101.959,102.182,102,102.095,103.402,103.341,104.087,103.355,102.427,104.771,106.187,103.797,101.785,101.28,101.109,100.3,100.002,99.511,99.913,100.743,100.766,101.326,100.328,100.155,100.339,100.337
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",14.669,14.939,15.19,15.45,15.714,15.945,16.145,16.375,16.538,16.714,16.921,17.086,17.298,17.436,17.742,17.956,18.028,18.442,19.07,19.402,20.022,20.791,21.317,21.821,22.326,22.73,23.484,23.855,24.327,24.647,25.094,25.503,26.129,26.518,27.024,27.335,27.901,28.404,29.118,29.717,30.515,31.141,32.048,32.994,34.081,35.051,35.809,36.898,37.97,38.853,39.745,40.765,41.476,41.909,42.793,43.4,43.888,44.419,44.941,45.467,46.075,46.676,47.087,47.508,47.976,48.469,48.919,49.497,49.898,50.108,50.537,51.123,51.651,52.249,52.97,53.637,54.453,55.331,56.151,56.975,57.804,58.494,59.139,59.721,60.488,61.136,61.888,62.774,63.384,64.18,64.765,65.393,65.91,66.47,67.091,67.601,68.073,68.643,69.049,69.528,69.951,70.424,71.113,71.718,72.116,72.573,73.014,73.536,74.004,74.618,75.038,75.573,76.038,76.437,76.931,77.488,78.134,78.889,79.364,79.693,80.159,80.789,81.484,82.288,82.961,83.977,84.864,85.709,86.606,87.421,88.076,88.345,89.062,89.915,90.624,91.213,92.085,92.646,93.451,94.253,94.873,95.907,96.754,97.182,98.464,99.202,100.502,101.832,102.403,103.305,104.078,104.7,105.797,106.399,107.169,107.989,108.664,109.459,110.108,110.133,110.285,110.693,111.327,111.943,112.414,112.792,113.316,113.792,114.369,115.207,115.441,115.798,116.389,117.02
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",9.558,9.735,9.903,10.093,10.302,10.486,10.639,10.777,10.851,10.965,11.091,11.21,11.36,11.461,11.679,11.807,11.899,12.129,12.513,12.727,13.082,13.515,13.898,14.248,14.558,14.854,15.35,15.65,15.935,16.236,16.618,16.853,17.225,17.577,17.84,18.041,18.46,18.821,19.267,19.747,20.297,20.678,21.187,21.843,22.654,23.242,24.002,24.842,25.664,26.16,27.034,28.035,28.885,29.459,30.348,31.114,31.9,32.407,33.111,33.837,34.477,35.075,35.634,36.226,36.723,37.306,37.712,38.115,38.732,39.249,39.805,40.476,41.033,41.73,42.41,43.108,43.976,44.972,45.948,46.946,48.045,49.135,50.253,51.366,52.308,53.441,54.729,55.985,57.125,58.122,59.177,60.272,61.464,62.577,63.611,64.725,65.586,66.268,66.997,67.57,68.165,68.734,69.485,70.053,70.861,71.373,71.82,72.546,73.103,73.622,74.041,74.535,74.837,75.317,75.56,75.763,76.17,76.681,77.055,77.464,78.008,78.479,78.955,79.524,80.279,80.861,81.957,82.599,83.186,84.013,84.723,85.33,86.007,86.822,88.044,89.106,90.269,91.402,92.405,93.566,94.759,95.816,96.691,97.421,98.565,99.381,100.362,101.692,102.544,103.67,104.777,105.586,106.609,107.444,108.227,109.626,110.923,111.113,111.452,112.449,113.468,114.227,115.168,116.347,117.127,117.854,118.425,118.761,119.552,120.497,121.229,121.803,122.556,123.443
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRG3",22.999,23.277,23.546,23.824,24.084,24.356,24.627,24.973,25.289,25.578,25.819,25.967,26.217,26.395,26.595,26.763,26.949,27.32,27.683,28.069,28.552,29.262,30.099,30.836,31.44,31.922,32.403,32.931,33.431,33.831,34.36,34.897,35.478,36.021,36.623,37.16,37.752,38.407,39.068,39.77,40.31,41.193,41.951,42.824,43.866,44.846,45.841,46.956,47.998,48.9,49.796,50.674,51.407,52.097,52.929,53.671,54.401,54.823,55.658,56.105,56.669,57.332,57.873,58.289,59,59.464,59.965,60.465,61.128,61.671,62.25,62.848,63.434,63.986,64.624,65.28,65.96,66.753,67.524,68.243,69.032,69.639,70.12,70.767,71.638,72.583,73.323,73.945,74.7,75.326,76.076,76.735,77.463,78.035,78.514,79.011,79.448,79.953,80.321,80.702,81.103,81.625,82.175,82.6,83.081,83.576,83.986,84.401,84.762,85.148,85.568,86.067,86.48,86.948,87.169,87.493,87.79,88.113,88.452,88.78,89.124,89.434,89.735,90.097,90.649,90.928,91.3,91.739,92.295,92.65,92.859,93.329,93.649,94.202,94.689,95.021,95.247,95.611,96.022,96.413,96.988,97.62,98.104,98.547,99.24,99.766,100.169,100.825,101.316,102.033,102.596,103.114,103.857,104.288,104.827,105.551,106.208,106.844,107.384,107.644,107.827,108.285,108.694,109.339,109.739,110.121,110.395,110.602,110.973,111.599,112.138,112.5,113.122,113.603
"35","26","  Energy goods and services \5\","DNRGRG3",13.677,13.883,13.905,13.942,13.947,14.154,14.163,14.461,14.564,14.489,14.758,14.924,14.879,14.868,15.123,15.387,15.634,16.05,16.301,17.468,19.94,21.481,21.944,21.975,22.434,22.871,23.921,24.526,24.575,24.61,25.048,25.807,26.59,26.976,27.19,27.738,27.936,28.252,28.685,29.731,30.885,33.842,37.832,40.35,44.583,46.734,47.318,48.072,51.875,52.895,53.142,53.902,53.884,52.629,54.281,54.721,53.333,54.422,54.964,54.81,55.046,55.271,54.868,55.087,55.105,56.034,55.654,55.803,53.958,48.486,46.857,45.74,48.24,48.811,50.131,50.017,49.382,49.414,49.987,49.925,50.664,54.209,53.05,52.527,54.81,54.243,56.895,62.295,58.738,56.748,56.527,57.239,56.661,57.141,57.912,58.607,58.54,58.145,57.52,58.211,57.822,57.325,58.945,59.231,59.095,59.029,58.716,58.319,60.06,62.057,61.313,62.737,63.925,61.277,61.642,61.907,58.386,56.999,56.579,55.753,54.973,58.232,60.886,62.952,67.399,69.112,71.279,72.793,74.273,75.69,71.942,65.372,63.582,67.584,68.49,70.782,78.126,73.251,76.595,76.868,81.248,82.674,85.121,91.154,91.052,92.346,105.882,110.72,110.143,112.657,116.316,106.614,111.385,119.143,119.794,127.227,133.732,143.26,153.584,116.005,102.277,104.379,114.169,119.192,121.478,117.568,119.517,126.891,135.739,142.222,143.857,142.01,144.815,139.624
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.589,64.229,64.848,65.41,65.948,66.662,67.427,68.128,68.971,69.984,70.492,71.129,72.238,72.961,74,75.062,75.603,76.095,76.636,77.25,77.777,78.309,78.814,79.393,79.831,80.296,80.613,81.05,81.316,81.768,82.324,82.633,83.104,83.56,83.882,84.214,84.642,85.194,85.469,85.964,86.332,86.493,86.683,86.865,86.854,86.959,87.222,87.453,87.655,88.166,88.561,89.037,89.796,90.143,90.73,91.216,91.805,92.245,92.409,92.302,92.427,93.026,93.464,93.92,94.666,94.617,95.226,95.603,96.355,96.969,97.464,98.299,98.783,99.326,100.501,101.389,101.837,102.593,103.358,103.169,104.112,105.039,105.529,106.681,107.822,108.929,110.272,108.613,108.212,108.743,109.52,110.178,110.515,110.51,110.838,111.419,112.409,113.462,114.182,114.51,115.231,115.407
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.547,65.209,65.803,66.487,67.168,67.973,68.679,69.48,70.309,71.012,71.672,72.443,73.347,74.268,75.132,75.82,76.707,77.418,78.165,78.857,79.527,80.11,80.587,81.218,81.745,82.288,82.721,83.107,83.464,84.036,84.449,84.788,85.317,85.792,86.186,86.581,86.852,87.224,87.519,87.899,88.224,88.65,88.807,88.98,89.258,89.485,89.802,90.096,90.366,90.663,90.863,91.196,91.672,91.877,92.304,92.72,93.21,93.557,93.974,94.329,94.563,94.948,95.403,95.737,95.977,96.249,96.629,96.94,97.439,97.948,98.295,98.742,99.338,99.775,100.128,100.758,101.288,102.001,102.566,102.979,103.609,104.007,104.434,105.165,105.905,106.341,106.985,107.434,107.958,108.533,108.826,109.247,109.441,109.67,109.902,110.029,110.437,111.075,111.664,112.069,112.693,113.196
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
