"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"54","35","    State and local","B1140C1","2,780.0","3,310.0","3,416.0","3,767.0","5,538.0","7,656.0","7,937.0","7,645.0","8,749.0","11,894.0","17,065.0","22,249.0","28,016.0","31,613.0","34,441.0","40,276.0","45,714.0","48,406.0","49,438.0","53,077.0","58,895.0","61,164.0","59,695.0","55,908.0","52,777.0","54,540.0","59,563.0","63,546.0","67,494.0","70,459.0","73,906.0","81,460.0","76,812.0","65,923.0","59,431.0","61,098.0","71,281.0","88,859.0","98,435.0","85,699.0","69,986.0","64,267.0","59,568.0","54,551.0","52,999.0","53,098.0"
"55","36","  Rest of the world","A2072C1","3,615.0","4,170.0","3,735.0","4,648.0","7,297.0","10,065.0","9,759.0","9,503.0","10,550.0","16,879.0","26,980.0","35,194.0","49,545.0","58,209.0","54,490.0","72,045.0","71,819.0","76,670.0","87,466.0","107,921.0","137,245.0","141,398.0","129,399.0","105,602.0","99,791.0","120,275.0","152,634.0","163,978.0","194,524.0","211,226.0","221,869.0","271,856.0","244,020.0","203,211.0","187,089.0","219,023.0","316,785.0","455,851.0","570,617.0","484,745.0","334,642.0","302,908.0","300,829.0","300,448.0","298,362.0","294,617.0"
"56","37","    From business","B1141C1","2,838.0","3,221.0","1,983.0","2,095.0","3,646.0","6,019.0","5,426.0","5,234.0","5,313.0","8,645.0","16,423.0","23,328.0","33,269.0","40,218.0","36,430.0","51,878.0","49,665.0","53,326.0","63,362.0","79,166.0","102,704.0","105,330.0","93,329.0","71,329.0","65,627.0","83,920.0","105,548.0","107,216.0","124,832.0","139,144.0","155,122.0","207,472.0","186,934.0","153,894.0","139,665.0","164,206.0","248,794.0","369,979.0","471,576.0","384,700.0","243,257.0","208,011.0","200,798.0","201,737.0","199,200.0","198,063.0"
"57","38","    From government","Y712RC1","777.0","949.0","1,752.0","2,551.0","3,651.0","4,047.0","4,333.0","4,270.0","5,237.0","8,233.0","10,557.0","11,866.0","16,276.0","17,991.0","18,060.0","20,167.0","22,154.0","23,344.0","24,104.0","28,755.0","34,541.0","36,066.0","36,069.0","34,272.0","34,164.0","36,355.0","47,087.0","56,764.0","69,692.0","72,084.0","66,747.0","64,384.0","57,086.0","49,317.0","47,424.0","54,817.0","67,991.0","85,872.0","99,041.0","100,044.0","91,386.0","94,896.0","100,031.0","98,711.0","99,162.0","96,554.0"
"58",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","39","Total imputed interest paid (41+76)","W294RC1","49,341.0","64,931.0","75,334.0","82,507.0","84,276.0","95,963.0","133,549.0","127,869.0","139,557.0","151,427.0","144,354.0","161,069.0","174,688.0","237,008.0","314,736.0","313,018.0","358,696.0","398,253.0","427,903.0","445,500.0","465,756.0","486,150.0","498,649.0","528,908.0","547,118.0","555,272.0","586,479.0","578,643.0","604,925.0","592,989.0","593,895.0","619,934.0","642,586.0","682,163.0","712,275.0","728,928.0","740,654.0","760,707.0","790,607.0","879,003.0","946,087.0","931,616.0","952,296.0","968,171.0","980,454.0","971,769.0"
"60","40","Total imputed interest received (54+95)","W295RC1","49,341.0","64,931.0","75,333.0","82,507.0","84,277.0","95,962.0","133,549.0","127,869.0","139,557.0","151,425.0","144,353.0","161,070.0","174,688.0","237,008.0","314,737.0","313,019.0","358,699.0","398,253.0","427,903.0","445,499.0","465,757.0","486,149.0","498,649.0","528,908.0","547,118.0","555,272.0","586,479.0","578,643.0","604,925.0","592,989.0","593,895.0","619,933.0","642,586.0","682,163.0","712,275.0","728,928.0","740,654.0","760,706.0","790,608.0","879,003.0","946,087.0","931,616.0","952,295.0","968,172.0","980,454.0","971,769.0"
"61",NA,"Depositor, insurance, and pension services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","41","  Imputed interest paid","A2073C1","57,110.0","72,077.0","80,883.0","88,875.0","95,448.0","109,560.0","137,202.0","139,071.0","154,178.0","173,876.0","179,001.0","204,682.0","228,273.0","274,424.0","330,334.0","344,666.0","380,391.0","416,674.0","447,310.0","468,968.0","494,571.0","517,574.0","529,037.0","558,684.0","578,171.0","590,657.0","624,863.0","623,114.0","657,452.0","653,994.0","663,731.0","701,767.0","726,635.0","764,263.0","796,821.0","818,083.0","842,804.0","883,407.0","934,099.0","1,018,109.0","1,068,156.0","1,054,794.0","1,072,956.0","1,102,022.0","1,130,900.0","1,133,582.0"
"63","42","    Domestic corporate business","Y665RC1","43,291.0","54,114.0","60,710.0","66,425.0","71,266.0","82,973.0","107,993.0","108,910.0","120,515.0","133,994.0","136,995.0","160,619.0","182,291.0","226,473.0","280,741.0","294,941.0","330,778.0","365,980.0","397,026.0","418,771.0","438,367.0","463,310.0","470,299.0","492,915.0","510,864.0","523,079.0","552,141.0","556,852.0","593,164.0","599,309.0","612,388.0","658,174.0","669,112.0","688,782.0","687,984.0","707,350.0","734,260.0","766,391.0","820,595.0","902,743.0","887,588.0","875,388.0","897,247.0","904,873.0","915,973.0","931,869.0"
"64","43","      Financial","W353RC1","42,634.0","53,053.0","59,635.0","65,234.0","69,555.0","80,685.0","104,336.0","105,139.0","116,222.0","131,010.0","135,554.0","156,680.0","176,920.0","221,047.0","274,840.0","286,771.0","330,772.0","363,037.0","388,729.0","406,718.0","430,780.0","450,476.0","463,138.0","484,965.0","505,798.0","519,046.0","554,268.0","561,455.0","603,060.0","609,903.0","626,264.0","664,830.0","660,574.0","668,433.0","683,647.0","702,395.0","733,425.0","771,898.0","822,837.0","866,539.0","861,968.0","854,141.0","872,921.0","886,035.0","907,995.0","929,371.0"
"65","44","        Banks, credit agencies, and investment companies","B1310C1","13,827.0","17,617.0","20,062.0","21,550.0","21,466.0","25,950.0","40,603.0","35,675.0","37,695.0","41,212.0","38,814.0","37,902.0","36,327.0","57,127.0","90,150.0","80,796.0","107,006.0","110,604.0","110,573.0","112,393.0","109,636.0","105,352.0","105,634.0","120,197.0","132,373.0","142,045.0","145,227.0","150,446.0","161,195.0","169,978.0","178,309.0","190,414.0","183,993.0","190,450.0","196,804.0","211,826.0","226,338.0","227,669.0","240,202.0","241,995.0","221,939.0","231,281.0","235,562.0","231,480.0","246,129.0","271,867.0"
"66","45","        Life insurance carriers","B1311C1","8,067.0","8,614.0","9,379.0","10,015.0","11,192.0","12,931.0","14,730.0","16,261.0","19,162.0","22,196.0","22,458.0","30,606.0","37,013.0","42,994.0","49,796.0","58,270.0","67,511.0","76,773.0","86,277.0","91,870.0","103,640.0","112,312.0","118,134.0","120,312.0","128,852.0","121,229.0","142,895.0","147,102.0","172,845.0","178,064.0","188,433.0","212,023.0","195,582.0","172,532.0","171,391.0","177,460.0","196,148.0","227,400.0","255,223.0","250,981.0","238,149.0","235,184.0","242,188.0","248,906.0","258,648.0","264,343.0"
"67","46","        Property and casualty insurance companies","W354RC1","897.0","1,056.0","1,386.0","1,539.0","1,633.0","1,796.0","2,158.0","2,657.0","3,433.0","3,970.0","4,456.0","5,102.0","5,781.0","6,513.0","7,632.0","9,117.0","12,230.0","17,185.0","19,157.0","19,733.0","20,559.0","21,794.0","22,695.0","23,202.0","25,870.0","27,309.0","26,427.0","26,681.0","26,782.0","27,240.0","27,530.0","29,376.0","31,082.0","33,141.0","34,171.0","33,189.0","31,611.0","32,024.0","31,491.0","34,318.0","27,612.0","24,118.0","25,703.0","27,215.0","27,686.0","31,419.0"
"68","47","        Employee pension plans \6\","Y698RC1","19,811.0","25,715.0","28,756.0","32,076.0","35,186.0","39,903.0","46,675.0","50,372.0","55,738.0","63,487.0","69,755.0","82,912.0","97,577.0","114,190.0","127,021.0","138,243.0","144,025.0","158,333.0","172,321.0","182,139.0","196,577.0","210,397.0","216,330.0","220,870.0","218,459.0","228,269.0","239,984.0","237,800.0","243,364.0","235,827.0","233,570.0","233,773.0","249,128.0","270,540.0","281,058.0","279,850.0","279,002.0","284,953.0","296,060.0","335,453.0","371,371.0","360,924.0","366,260.0","375,468.0","374,083.0","361,388.0"
"69","48","        Other \7\","Y666RC1","32.0","52.0","52.0","54.0","78.0","105.0","170.0","174.0","194.0","144.0","71.0","159.0","221.0","223.0","242.0","346.0","0.0","142.0","401.0","582.0","367.0","620.0","346.0","384.0","245.0","195.0","-265.0","-573.0","-1,125.0","-1,204.0","-1,578.0","-757.0","789.0","1,771.0","223.0","70.0","326.0","-147.0","-138.0","3,792.0","2,898.0","2,634.0","3,209.0","2,966.0","1,448.0","354.0"
"70","49","      Nonfinancial \8\","Y667RC1","652.0","1,057.0","1,083.0","1,194.0","1,710.0","2,285.0","3,657.0","3,775.0","4,293.0","2,985.0","1,428.0","3,942.0","5,359.0","5,427.0","5,901.0","8,170.0","7.0","2,943.0","8,297.0","12,053.0","7,588.0","12,833.0","7,161.0","7,949.0","5,066.0","4,033.0","-2,128.0","-4,603.0","-9,896.0","-10,594.0","-13,876.0","-6,656.0","8,539.0","20,349.0","4,337.0","4,955.0","835.0","-5,507.0","-2,242.0","36,204.0","25,620.0","21,247.0","24,326.0","18,838.0","7,979.0","2,497.0"
"71","50","    Government \8\","Y668RC1","13,819.0","17,963.0","20,173.0","22,450.0","24,181.0","26,587.0","29,210.0","30,160.0","33,662.0","39,881.0","42,006.0","44,063.0","45,982.0","47,951.0","49,593.0","49,725.0","49,612.0","50,011.0","49,442.0","49,415.0","55,205.0","53,204.0","57,494.0","64,434.0","65,791.0","65,759.0","70,868.0","64,467.0","62,380.0","52,025.0","48,320.0","39,906.0","52,612.0","69,916.0","102,793.0","103,763.0","104,109.0","109,570.0","105,203.0","104,993.0","170,259.0","170,718.0","167,482.0","187,350.0","204,378.0","191,066.0"
"72","51","      Federal","Y282RC1","11,641.0","15,583.0","17,308.0","18,860.0","20,472.0","21,995.0","23,547.0","25,119.0","28,129.0","33,772.0","35,765.0","37,815.0","39,536.0","40,896.0","42,390.0","43,534.0","44,346.0","46,042.0","47,735.0","48,604.0","50,314.0","51,593.0","53,414.0","55,622.0","58,062.0","59,499.0","61,932.0","62,734.0","65,620.0","66,725.0","69,523.0","70,472.0","72,644.0","73,594.0","79,134.0","85,211.0","86,944.0","91,637.0","93,654.0","93,807.0","99,847.0","99,290.0","99,139.0","104,978.0","121,270.0","127,891.0"
"73","52","      State and local","Y315RC1","2,178.0","2,380.0","2,865.0","3,590.0","3,709.0","4,592.0","5,663.0","5,041.0","5,533.0","6,109.0","6,241.0","6,248.0","6,446.0","7,055.0","7,203.0","6,191.0","5,266.0","3,969.0","1,707.0","811.0","4,891.0","1,611.0","4,080.0","8,812.0","7,729.0","6,260.0","8,936.0","1,733.0","-3,240.0","-14,700.0","-21,203.0","-30,566.0","-20,032.0","-3,678.0","23,659.0","18,552.0","17,165.0","17,933.0","11,549.0","11,186.0","70,412.0","71,428.0","68,343.0","82,372.0","83,108.0","63,176.0"
"74","53","    Rest of the world","W355RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,044.0","6,970.0","4,436.0","7,446.0","8,302.0","10,373.0","10,309.0","8,689.0","8,227.0","9,799.0","10,549.0","10,648.0"
"75","54","  Imputed interest received","A2074C1","57,110.0","72,077.0","80,883.0","88,875.0","95,448.0","109,560.0","137,203.0","139,071.0","154,177.0","173,876.0","179,001.0","204,682.0","228,273.0","274,424.0","330,334.0","344,667.0","380,391.0","416,673.0","447,310.0","468,968.0","494,572.0","517,574.0","529,037.0","558,684.0","578,171.0","590,657.0","624,863.0","623,114.0","657,452.0","653,994.0","663,731.0","701,766.0","726,635.0","764,264.0","796,821.0","818,083.0","842,805.0","883,406.0","934,099.0","1,018,109.0","1,068,156.0","1,054,794.0","1,072,955.0","1,102,022.0","1,130,901.0","1,133,582.0"
"76","55","    Domestic business \1\","A2075C1","19,751.0","25,785.0","29,108.0","31,826.0","33,449.0","37,891.0","48,183.0","46,847.0","51,437.0","57,361.0","57,228.0","63,353.0","68,074.0","81,989.0","90,505.0","88,525.0","81,534.0","89,176.0","95,379.0","99,452.0","99,147.0","103,219.0","99,751.0","108,810.0","110,368.0","111,044.0","109,789.0","102,166.0","97,162.0","87,461.0","81,073.0","84,750.0","119,800.0","155,814.0","173,653.0","175,777.0","170,378.0","172,755.0","175,648.0","218,095.0","256,190.0","245,946.0","240,524.0","256,539.0","261,193.0","248,325.0"
"77","56","      Corporate business","A2076C1","18,587.0","24,342.0","27,459.0","30,011.0","31,929.0","36,118.0","45,215.0","44,572.0","49,119.0","54,626.0","54,256.0","60,154.0","64,520.0","73,659.0","80,125.0","79,969.0","73,127.0","80,155.0","86,625.0","90,740.0","90,099.0","94,997.0","92,242.0","100,879.0","101,325.0","101,066.0","98,814.0","90,342.0","84,475.0","73,770.0","66,939.0","69,349.0","103,897.0","139,495.0","156,045.0","157,544.0","151,276.0","152,613.0","156,965.0","203,771.0","246,330.0","237,247.0","231,166.0","245,490.0","251,288.0","235,734.0"
"78","57","        Financial","B1143C1","15,822.0","20,808.0","23,297.0","25,465.0","27,753.0","31,166.0","36,361.0","37,157.0","41,352.0","46,820.0","47,461.0","52,125.0","56,088.0","60,272.0","63,373.0","64,754.0","58,918.0","63,187.0","68,884.0","73,060.0","72,764.0","78,314.0","76,485.0","84,811.0","83,421.0","80,887.0","77,560.0","68,441.0","62,309.0","51,180.0","43,910.0","44,228.0","78,547.0","112,338.0","127,110.0","126,742.0","118,685.0","120,339.0","126,567.0","173,631.0","220,442.0","213,230.0","209,420.0","224,031.0","228,621.0","211,045.0"
"79","58","        Nonfinancial","B1144C1","2,765.0","3,534.0","4,162.0","4,546.0","4,176.0","4,952.0","8,854.0","7,415.0","7,767.0","7,806.0","6,795.0","8,029.0","8,432.0","13,387.0","16,752.0","15,215.0","14,209.0","16,968.0","17,741.0","17,680.0","17,335.0","16,684.0","15,757.0","16,068.0","17,904.0","20,179.0","21,254.0","21,902.0","22,166.0","22,590.0","23,029.0","25,120.0","25,350.0","27,158.0","28,935.0","30,802.0","32,592.0","32,274.0","30,398.0","30,139.0","25,888.0","24,017.0","21,746.0","21,459.0","22,667.0","24,689.0"
"80","59","      Sole proprietorships and partnerships","A2077C1","1,144.0","1,418.0","1,619.0","1,781.0","1,489.0","1,735.0","2,906.0","2,213.0","2,245.0","2,657.0","2,899.0","3,120.0","3,469.0","8,205.0","10,228.0","8,401.0","8,222.0","8,792.0","8,522.0","8,486.0","8,827.0","8,008.0","7,299.0","7,731.0","8,809.0","9,722.0","10,708.0","11,539.0","12,568.0","13,581.0","14,035.0","15,313.0","15,463.0","15,862.0","17,111.0","17,702.0","18,601.0","19,662.0","18,192.0","13,843.0","9,460.0","8,344.0","8,974.0","10,639.0","9,461.0","12,106.0"
"81","60","        Farm","B1146C1","274.0","346.0","396.0","436.0","412.0","483.0","820.0","601.0","582.0","563.0","503.0","445.0","440.0","980.0","1,026.0","727.0","612.0","503.0","414.0","388.0","380.0","385.0","405.0","462.0","474.0","504.0","616.0","779.0","906.0","1,025.0","909.0","793.0","848.0","815.0","869.0","884.0","928.0","986.0","912.0","609.0","392.0","298.0","339.0","456.0","353.0","526.0"
"82","61","        Nonfarm","B1145C1","870.0","1,072.0","1,223.0","1,345.0","1,077.0","1,252.0","2,086.0","1,612.0","1,663.0","2,094.0","2,396.0","2,675.0","3,029.0","7,225.0","9,202.0","7,674.0","7,610.0","8,289.0","8,108.0","8,098.0","8,447.0","7,623.0","6,894.0","7,269.0","8,335.0","9,218.0","10,092.0","10,760.0","11,662.0","12,556.0","13,126.0","14,520.0","14,615.0","15,047.0","16,242.0","16,818.0","17,673.0","18,676.0","17,280.0","13,234.0","9,068.0","8,046.0","8,635.0","10,183.0","9,108.0","11,580.0"
"83","62","      Other private business","B2078C1","20.0","26.0","30.0","34.0","31.0","38.0","63.0","62.0","74.0","78.0","73.0","80.0","85.0","125.0","153.0","155.0","185.0","229.0","232.0","226.0","221.0","214.0","210.0","199.0","234.0","256.0","267.0","285.0","119.0","110.0","99.0","89.0","439.0","456.0","497.0","531.0","501.0","480.0","491.0","481.0","400.0","355.0","384.0","410.0","444.0","485.0"
"84","63","    Households and nonprofit institutions","W314RC1","35,556.0","43,942.0","48,972.0","54,058.0","59,043.0","68,262.0","84,182.0","87,958.0","98,247.0","112,769.0","118,952.0","139,235.0","158,816.0","188,592.0","232,953.0","250,166.0","287,444.0","315,776.0","342,311.0","360,168.0","386,247.0","406,076.0","420,692.0","440,496.0","457,101.0","467,387.0","502,625.0","509,229.0","548,529.0","555,257.0","571,189.0","605,087.0","597,277.0","598,345.0","612,194.0","630,694.0","660,790.0","697,881.0","745,800.0","786,715.0","799,449.0","796,064.0","818,375.0","831,419.0","856,689.0","871,185.0"
"85","64","      Households","W315RC1","35,545.0","43,929.0","48,955.0","54,039.0","59,023.0","68,241.0","84,155.0","87,924.0","98,123.0","112,640.0","118,815.0","139,080.0","158,626.0","188,359.0","232,658.0","249,789.0","286,858.0","314,945.0","341,385.0","359,276.0","385,287.0","405,190.0","419,773.0","439,538.0","456,002.0","466,139.0","501,446.0","508,068.0","547,367.0","554,064.0","570,015.0","603,892.0","596,060.0","597,011.0","610,815.0","629,407.0","659,500.0","696,627.0","744,562.0","785,518.0","798,497.0","795,166.0","817,410.0","830,391.0","855,645.0","870,165.0"
"86","65","        Owner-occupied housing","W316RC1","57.0","66.0","84.0","94.0","97.0","107.0","127.0","140.0","161.0","182.0","203.0","232.0","266.0","307.0","349.0","392.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,301.0","1,377.0","1,359.0","1,403.0","1,228.0","1,203.0","1,295.0","1,311.0","1,363.0","1,387.0"
"87","66","        Persons","A1147C1","35,488.0","43,863.0","48,871.0","53,945.0","58,926.0","68,134.0","84,028.0","87,784.0","97,962.0","112,458.0","118,612.0","138,848.0","158,360.0","188,052.0","232,309.0","249,397.0","286,416.0","314,430.0","340,796.0","358,655.0","384,640.0","404,496.0","419,032.0","438,743.0","455,112.0","465,180.0","500,481.0","507,051.0","546,327.0","552,978.0","568,902.0","602,752.0","594,882.0","595,786.0","609,525.0","628,123.0","658,199.0","695,250.0","743,203.0","784,115.0","797,269.0","793,963.0","816,115.0","829,080.0","854,282.0","868,777.0"
"88","67","          From banks, credit agencies, and investment companies","B1611C1","7,169.0","9,016.0","10,086.0","11,136.0","11,757.0","14,432.0","21,592.0","19,893.0","21,514.0","24,967.0","24,313.0","22,899.0","20,990.0","27,726.0","51,740.0","48,450.0","69,496.0","72,652.0","74,407.0","76,107.0","75,213.0","71,821.0","74,177.0","86,924.0","96,253.0","104,153.0","106,042.0","109,728.0","117,093.0","125,616.0","133,114.0","143,245.0","137,290.0","140,907.0","145,101.0","159,231.0","171,511.0","171,515.0","180,717.0","187,515.0","179,257.0","191,289.0","200,645.0","197,512.0","213,988.0","235,242.0"
"89","68","          From life insurance carriers","B1612C1","8,067.0","8,614.0","9,379.0","10,015.0","11,192.0","12,931.0","14,730.0","16,261.0","19,162.0","22,196.0","22,458.0","30,606.0","37,013.0","42,994.0","49,796.0","58,270.0","67,511.0","76,773.0","86,278.0","91,871.0","103,641.0","112,313.0","118,134.0","120,313.0","128,852.0","121,229.0","143,099.0","147,543.0","173,710.0","178,990.0","189,541.0","212,711.0","195,582.0","172,500.0","171,439.0","177,565.0","196,200.0","227,531.0","255,359.0","250,811.0","238,125.0","235,164.0","242,185.0","248,963.0","258,795.0","264,349.0"
"90","69","          From property and casualty insurance companies","W356RC1","442.0","517.0","650.0","718.0","791.0","868.0","1,031.0","1,258.0","1,548.0","1,808.0","2,086.0","2,432.0","2,780.0","3,142.0","3,751.0","4,434.0","5,384.0","6,672.0","7,791.0","8,538.0","9,208.0","9,964.0","10,390.0","10,636.0","11,548.0","11,529.0","11,231.0","11,709.0","11,628.0","11,977.0","11,720.0","12,876.0","13,061.0","12,085.0","12,131.0","11,537.0","11,513.0","11,261.0","11,084.0","10,385.0","8,569.0","6,630.0","7,066.0","7,180.0","7,457.0","7,804.0"
"91","70","          From employee pension plans \6\","Y394RC1","19,811.0","25,715.0","28,756.0","32,076.0","35,186.0","39,903.0","46,675.0","50,372.0","55,737.0","63,487.0","69,755.0","82,912.0","97,577.0","114,190.0","127,021.0","138,244.0","144,025.0","158,333.0","172,321.0","182,139.0","196,578.0","210,397.0","216,331.0","220,870.0","218,459.0","228,269.0","240,109.0","238,071.0","243,896.0","236,396.0","234,527.0","233,919.0","248,949.0","270,294.0","280,854.0","279,790.0","278,975.0","284,943.0","296,043.0","335,404.0","371,318.0","360,880.0","366,219.0","375,425.0","374,042.0","361,382.0"
"92","71","      Nonprofit institutions","W317RC1","11.0","13.0","17.0","19.0","20.0","21.0","27.0","34.0","124.0","129.0","137.0","155.0","190.0","233.0","295.0","377.0","586.0","831.0","926.0","892.0","959.0","886.0","919.0","957.0","1,099.0","1,248.0","1,179.0","1,161.0","1,162.0","1,193.0","1,174.0","1,195.0","1,217.0","1,334.0","1,379.0","1,287.0","1,290.0","1,254.0","1,238.0","1,197.0","952.0","898.0","965.0","1,028.0","1,044.0","1,020.0"
"93","72","    Government","A2079C1","1,414.0","1,860.0","2,301.0","2,424.0","2,314.0","2,451.0","3,251.0","3,069.0","3,276.0","2,590.0","1,848.0","1,320.0","892.0","2,353.0","3,366.0","2,820.0","5,497.0","5,958.0","4,550.0","4,267.0","4,196.0","3,831.0","4,278.0","4,004.0","4,050.0","4,341.0","4,693.0","4,768.0","4,928.0","4,980.0","5,755.0","5,920.0","4,678.0","5,002.0","5,391.0","5,446.0","5,726.0","6,017.0","5,963.0","5,486.0","4,628.0","5,032.0","5,491.0","5,447.0","5,309.0","5,918.0"
"94","73","      Federal","B1148C1","624.0","838.0","1,127.0","1,250.0","1,253.0","1,204.0","1,371.0","1,670.0","1,656.0","1,213.0","800.0","508.0","406.0","888.0","800.0","511.0","1,112.0","1,792.0","949.0","756.0","816.0","915.0","1,605.0","1,087.0","836.0","666.0","630.0","600.0","637.0","457.0","1,064.0","1,063.0","216.0","470.0","346.0","155.0","163.0","151.0","163.0","177.0","185.0","196.0","228.0","241.0","288.0","292.0"
"95","74","      State and local","B1149C1","790.0","1,022.0","1,174.0","1,174.0","1,061.0","1,247.0","1,880.0","1,399.0","1,620.0","1,377.0","1,048.0","812.0","486.0","1,465.0","2,566.0","2,309.0","4,385.0","4,166.0","3,601.0","3,511.0","3,380.0","2,916.0","2,673.0","2,917.0","3,214.0","3,675.0","4,063.0","4,168.0","4,291.0","4,523.0","4,691.0","4,857.0","4,462.0","4,532.0","5,045.0","5,291.0","5,563.0","5,866.0","5,800.0","5,309.0","4,443.0","4,836.0","5,263.0","5,206.0","5,021.0","5,626.0"
"96","75","    Rest of the world","W357RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","5,917.0","5,763.0","5,071.0","5,080.0","4,982.0","4,447.0","4,317.0","5,374.0","6,652.0","7,885.0","7,755.0","6,951.0","6,833.0","6,295.0","5,714.0","6,009.0","4,880.0","5,103.0","5,583.0","6,166.0","5,910.0","6,753.0","6,688.0","7,814.0","7,889.0","7,752.0","8,566.0","8,618.0","7,709.0","8,154.0"
"97",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","  Imputed interest paid","W358RC1","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-21,695.0","-18,421.0","-19,407.0","-23,468.0","-28,815.0","-31,424.0","-30,388.0","-29,776.0","-31,053.0","-35,385.0","-38,384.0","-44,471.0","-52,527.0","-61,005.0","-69,836.0","-81,833.0","-84,048.0","-82,100.0","-84,546.0","-89,155.0","-102,151.0","-122,700.0","-143,492.0","-139,107.0","-122,069.0","-123,179.0","-120,660.0","-133,850.0","-150,446.0","-161,813.0"
"99","77","    Domestic business \1\","W296RC1","-4,557.0","-4,353.0","-3,518.0","-3,938.0","-6,962.0","-8,555.0","-2,250.0","-6,593.0","-8,427.0","-12,672.0","-19,278.0","-24,453.0","-30,642.0","-22,683.0","-9,581.0","-19,743.0","-11,927.0","-9,955.0","-11,205.0","-13,781.0","-16,346.0","-17,829.0","-16,856.0","-16,528.0","-16,929.0","-19,248.0","-20,167.0","-22,808.0","-27,246.0","-32,778.0","-38,200.0","-44,936.0","-46,519.0","-44,520.0","-44,036.0","-44,967.0","-50,507.0","-60,530.0","-73,289.0","-76,891.0","-67,144.0","-63,638.0","-63,251.0","-70,300.0","-79,998.0","-86,402.0"
"100","78","      Corporate business","W297RC1","-3,821.0","-3,671.0","-2,967.0","-3,319.0","-5,752.0","-6,853.0","-1,766.0","-5,049.0","-6,411.0","-9,572.0","-14,371.0","-18,249.0","-23,188.0","-17,690.0","-7,660.0","-15,891.0","-9,334.0","-7,805.0","-9,164.0","-11,381.0","-13,237.0","-14,401.0","-13,348.0","-13,177.0","-13,574.0","-15,550.0","-16,231.0","-18,188.0","-21,555.0","-26,069.0","-30,256.0","-35,291.0","-36,379.0","-34,228.0","-33,627.0","-34,210.0","-37,607.0","-43,794.0","-52,710.0","-56,801.0","-48,384.0","-46,181.0","-44,884.0","-48,683.0","-54,983.0","-59,136.0"
"101","79","        Financial","W298RC1","-611.0","-567.0","-497.0","-614.0","-1,088.0","-1,230.0","-266.0","-688.0","-915.0","-1,328.0","-1,950.0","-2,217.0","-2,867.0","-2,005.0","-856.0","-1,802.0","-1,125.0","-678.0","-340.0","-458.0","-543.0","-897.0","-1,460.0","-2,083.0","-1,603.0","-1,438.0","-1,269.0","-1,349.0","-2,284.0","-2,803.0","-3,585.0","-4,480.0","-5,518.0","-6,343.0","-5,857.0","-7,251.0","-7,292.0","-8,966.0","-11,367.0","-10,908.0","-6,861.0","-7,173.0","-7,357.0","-8,366.0","-9,237.0","-9,765.0"
