"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"54","36","      Federal","A896RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","579.0","-3,902.0","-4,956.0","-1,583.0","-337.0","-2,652.0","-5,959.0","-5,022.0","-1,793.0","960.0","5,205.0","8,773.0","4,743.0","-3,237.0","-7,724.0","-8,668.0"
"55","37","        National defense","B897RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-5,607.0","-5,815.0","-6,090.0","-5,029.0","-3,875.0","-4,506.0","-4,908.0","-4,811.0","-2,971.0","278.0","3,924.0","3,486.0","-249.0","-5,526.0","-7,110.0","-8,260.0"
"56","38","        Nondefense","B898RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,237.0","1,967.0","1,185.0","3,506.0","3,599.0","1,907.0","-1,014.0","-170.0","1,220.0","691.0","1,281.0","5,288.0","4,997.0","2,297.0","-607.0","-385.0"
"57","39","      State and local","B899RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","155,246.0","167,053.0","179,900.0","188,885.0","186,096.0","176,882.0","162,056.0","159,484.0","152,725.0","149,314.0","144,597.0","131,779.0","111,015.0","89,318.0","74,276.0","72,731.0"
"58","40","  Equipment","Y054RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","77,344.0","79,758.0","83,095.0","92,549.0","98,049.0","105,419.0","111,353.0","122,538.0","130,990.0","147,176.0","148,263.0","150,998.0","143,377.0","140,455.0","133,294.0","131,731.0"
"59","41","  Less: Consumption of fixed capital","Y085RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","80,415.0","82,793.0","85,070.0","87,045.0","89,484.0","92,519.0","95,998.0","100,349.0","105,475.0","111,578.0","117,705.0","122,532.0","125,926.0","127,596.0","127,918.0","127,299.0"
"60","42","  Equals: Net equipment","Y086RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,071.0","-3,035.0","-1,975.0","5,504.0","8,565.0","12,900.0","15,355.0","22,189.0","25,515.0","35,597.0","30,558.0","28,466.0","17,450.0","12,858.0","5,377.0","4,432.0"
"61","43","      Federal","Y087RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-10,754.0","-10,095.0","-7,670.0","1,055.0","5,093.0","10,713.0","13,684.0","18,613.0","17,999.0","27,672.0","24,999.0","26,126.0","17,813.0","14,022.0","5,040.0","3,345.0"
"62","44","        National defense","Y088RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-13,285.0","-11,414.0","-8,388.0","-1,483.0","2,299.0","7,316.0","9,094.0","12,748.0","13,730.0","22,227.0","20,030.0","20,311.0","13,554.0","9,953.0","3,720.0","1,195.0"
"63","45","        Nondefense","Y089RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,530.0","1,319.0","718.0","2,538.0","2,794.0","3,397.0","4,590.0","5,866.0","4,269.0","5,445.0","4,969.0","5,816.0","4,260.0","4,068.0","1,320.0","2,150.0"
"64","46","      State and local","Y090RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,697.0","6,457.0","5,288.0","4,236.0","3,338.0","2,091.0","1,592.0","3,539.0","7,506.0","7,923.0","5,559.0","2,345.0","-344.0","-1,139.0","351.0","1,080.0"
"65","47","  Intellectual property products","Y055RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","123,281.0","127,220.0","133,518.0","140,377.0","150,437.0","157,947.0","164,083.0","168,672.0","173,604.0","177,156.0","179,845.0","183,205.0","183,283.0","178,839.0","176,237.0","172,867.0"
"66","48","  Less: Consumption of fixed capital","Y091RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","117,538.0","119,098.0","120,926.0","123,185.0","126,409.0","130,874.0","135,998.0","141,192.0","146,348.0","151,442.0","155,905.0","159,750.0","163,355.0","166,193.0","167,920.0","169,003.0"
"67","49","  Equals: Net intellectual property products","Y092RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,742.0","8,122.0","12,591.0","17,192.0","24,028.0","27,074.0","28,085.0","27,480.0","27,255.0","25,714.0","23,940.0","23,455.0","19,928.0","12,645.0","8,317.0","3,864.0"
"68","50","      Federal","Y093RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,784.0","4,852.0","9,363.0","14,315.0","20,972.0","23,870.0","24,855.0","23,444.0","22,761.0","20,858.0","19,237.0","19,024.0","16,213.0","9,388.0","5,433.0","1,327.0"
"69","51","        National defense","Y094RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-5,911.0","-5,092.0","-1,946.0","3,117.0","8,595.0","11,978.0","12,822.0","12,013.0","12,247.0","9,890.0","6,388.0","4,502.0","2,899.0","-1,377.0","-3,660.0","-4,036.0"
"70","52","        Nondefense","Y095RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,649.0","9,892.0","11,253.0","11,157.0","12,352.0","11,878.0","12,019.0","11,417.0","10,495.0","10,959.0","12,849.0","14,515.0","13,305.0","10,760.0","9,089.0","5,347.0"
"71","53","      State and local","Y096RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,785.0","3,104.0","3,114.0","2,833.0","3,056.0","3,215.0","3,245.0","4,039.0","4,495.0","4,857.0","4,703.0","4,429.0","3,708.0","3,268.0","2,902.0","2,562.0"
"72",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","54","  Gross domestic fixed investment","W172RX1","865,463.0","837,513.0","861,613.0","928,946.0","994,323.0","955,826.0","885,516.0","956,062.0","1,054,607.0","1,167,115.0","1,233,557.0","1,180,712.0","1,203,016.0","1,138,315.0","1,221,588.0","1,405,351.0","1,503,809.0","1,550,563.0","1,578,273.0","1,615,490.0","1,662,929.0","1,661,265.0","1,592,532.0","1,658,515.0","1,743,231.0","1,849,737.0","1,945,525.0","2,094,993.0","2,249,973.0","2,450,168.0","2,654,665.0","2,822,280.0","2,807,047.0","2,757,538.0","2,865,712.0","3,032,004.0","3,201,866.0","3,271,615.0","3,231,050.0","3,074,563.0","2,672,714.0","2,702,601.0","2,802,502.0","2,978,336.0","3,050,107.0","3,174,607.0"
"74","55","  Less: Consumption of fixed capital","A262RX1","480,649.0","501,538.0","518,922.0","538,656.0","565,966.0","590,401.0","609,386.0","628,174.0","652,772.0","682,523.0","716,898.0","749,178.0","778,306.0","808,848.0","836,422.0","872,598.0","921,208.0","968,060.0","1,014,851.0","1,058,930.0","1,103,003.0","1,144,877.0","1,179,044.0","1,210,319.0","1,247,049.0","1,289,663.0","1,341,115.0","1,399,263.0","1,469,967.0","1,555,651.0","1,653,444.0","1,755,438.0","1,841,891.0","1,905,112.0","1,963,879.0","2,032,641.0","2,110,982.0","2,194,428.0","2,274,638.0","2,338,430.0","2,368,380.0","2,382,384.0","2,412,901.0","2,458,350.0","2,511,363.0","2,567,128.0"
"75","56","  Equals: Net domestic fixed investment","W173RX1","391,851.0","341,034.0","343,860.0","388,758.0","426,292.0","365,045.0","277,495.0","328,349.0","399,501.0","481,742.0","514,445.0","432,967.0","424,858.0","331,759.0","387,327.0","533,869.0","586,572.0","588,819.0","572,091.0","562,703.0","565,586.0","525,390.0","424,143.0","456,486.0","499,651.0","559,986.0","603,413.0","693,351.0","776,045.0","888,563.0","994,995.0","1,059,941.0","961,173.0","852,265.0","901,626.0","997,400.0","1,086,499.0","1,073,303.0","953,840.0","735,221.0","304,333.0","320,337.0","391,010.0","523,779.0","543,870.0","613,523.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Note. Most chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","estimates are usually not additive. Chained (2009) dollar estimates of net investment are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","by subtracting consumption of fixed capital from gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
