"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"56","36","  Other \9\","M318391","-15.0","95.0","-330.0","-1.0","-66.0","-897.0","10.0","106.0","267.0","177.0","747.0","594.0","176.0","-177.0","436.0","665.0","601.0","558.0","604.0","488.0","1,032.0","899.0","488.0","-123.0","248.0","482.0","449.0","438.0","432.0","440.0","490.0","694.0","583.0","629.0","579.0","565.0","704.0","656.0","732.0","636.0","776.0","671.0","774.0","843.0","823.0","781.0"
"57","37","Less: Netting and grossing differences","M318401","-3,897.0","-3,672.0","-2,928.0","-3,979.0","-4,145.0","-3,088.0","-4,379.0","-5,965.0","-8,696.0","-8,886.0","-12,372.0","-14,090.0","-19,088.0","-29,814.0","-31,880.0","-36,386.0","-42,131.0","-46,095.0","-44,277.0","-48,589.0","-53,390.0","-50,542.0","-62,874.0","-63,103.0","-70,760.0","-70,124.0","-71,108.0","-73,332.0","-80,809.0","-78,402.0","-78,108.0","-83,641.0","-81,674.0","-91,734.0","-95,996.0","-103,766.0","-110,397.0","-124,267.0","-135,223.0","-214,665.0","-182,261.0","-262,449.0","-232,456.0","-189,444.0","-264,578.0","-257,358.0"
"58","38","  Supplementary medical insurance premiums","M318411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,856.0","-4,254.0","-4,943.0","-5,563.0","-5,739.0","-6,520.0","-8,797.0","-11,590.0","-11,610.0","-12,180.0","-13,242.0","-15,308.0","-17,750.0","-20,241.0","-20,040.0","-20,421.0","-20,747.0","-21,561.0","-21,907.0","-23,753.0","-25,952.0","-28,432.0","-32,140.0","-38,243.0","-45,088.0","-50,198.0","-54,179.0","-56,955.0","-60,653.0","-63,128.0","-64,455.0","-68,637.0","-72,000.0"
"59","39","  Interest receipts","W706MC1","-2,458.0","-2,496.0","-2,659.0","-2,965.0","-3,098.0","-2,962.0","-3,307.0","-4,083.0","-4,745.0","-5,723.0","-7,131.0","-8,438.0","-11,043.0","-14,418.0","-15,302.0","-16,561.0","-17,647.0","-22,331.0","-17,281.0","-18,415.0","-16,727.0","-16,378.0","-22,332.0","-17,443.0","-15,080.0","-11,628.0","-11,691.0","-13,949.0","-12,136.0","-11,682.0","-12,365.0","-13,605.0","-11,418.0","-11,437.0","-11,274.0","-10,029.0","-10,160.0","-10,821.0","-12,128.0","-12,132.0","-29,177.0","-38,901.0","-41,864.0","-37,863.0","-114,491.0","-92,068.0"
"60","40","  Current surplus of government enterprises","W707MC1","1,149.0","1,777.0","2,719.0","2,550.0","2,657.0","3,578.0","3,768.0","3,783.0","3,262.0","3,395.0","2,352.0","3,442.0","3,268.0","2,006.0","1,925.0","2,473.0","2,220.0","587.0","371.0","-354.0","-1,772.0","2,138.0","-916.0","-2,924.0","-5,152.0","-3,407.0","-5,469.0","-4,220.0","-6,162.0","-7,352.0","-7,593.0","-6,483.0","-1,864.0","-5,772.0","-6,780.0","-6,229.0","-763.0","-1,415.0","-2,496.0","-964.0","-1,093.0","1,603.0","7,081.0","7,755.0","11,826.0","9,774.0"
"61","41","  Other \4\","M318431","-2,588.0","-2,953.0","-2,988.0","-3,564.0","-3,704.0","-3,704.0","-4,840.0","-5,665.0","-7,213.0","-6,558.0","-7,593.0","-9,094.0","-11,313.0","-13,546.0","-14,249.0","-17,355.0","-21,141.0","-18,612.0","-20,847.0","-21,023.0","-23,301.0","-24,692.0","-27,446.0","-29,494.0","-35,220.0","-37,339.0","-33,707.0","-35,123.0","-42,090.0","-38,621.0","-36,589.0","-41,646.0","-44,639.0","-48,573.0","-49,510.0","-55,368.0","-61,231.0","-66,943.0","-70,401.0","-147,390.0","-95,036.0","-164,498.0","-134,545.0","-94,881.0","-93,276.0","-103,064.0"
"62","42","Plus: Timing differences","M318441","-782.0","-165.0","-116.0","-562.0","2,935.0","-241.0","-640.0","1,099.0","1,947.0","1,558.0","3,108.0","-1,819.0","-1,138.0","-1,921.0","-307.0","3,381.0","-38.0","-1,812.0","10,498.0","-82.0","-2,272.0","9,075.0","1,223.0","-2,248.0","2,944.0","-4,199.0","5,725.0","12,374.0","-4,051.0","-796.0","649.0","-11,542.0","7,918.0","-7,023.0","2,974.0","13,733.0","9,427.0","-7,096.0","13,598.0","12,444.0","-4,214.0","-3,516.0","-27,427.0","116,788.0","82,165.0","65,597.0"
"63","43","  Purchases (increase in payables net of advances)","M318451","-1,329.0","-512.0","-430.0","-1,117.0","2,656.0","-1,091.0","-634.0","946.0","1,547.0","718.0","1,667.0","-1,894.0","-411.0","-2,001.0","-1,385.0","80.0","-939.0","75.0","5,770.0","3,789.0","-3,931.0","3,915.0","3,694.0","-1,506.0","2,194.0","404.0","4,554.0","7,443.0","-696.0","253.0","1,126.0","-2,674.0","393.0","-2,664.0","-1,134.0","-358.0","-2,732.0","969.0","5,747.0","-293.0","-2,154.0","-1,814.0","-1,276.0","7,742.0","4,833.0","4,143.0"
"64","44","  Interest payments","M318461","132.0","11.0","21.0","-88.0","26.0","-120.0","-13.0","-109.0","-222.0","-343.0","-543.0","-661.0","-907.0","-1,095.0","-769.0","-1,256.0","-1,217.0","-1,699.0","862.0","-1,647.0","-767.0","-1,264.0","-4,466.0","-1,478.0","1,450.0","1,339.0","84.0","644.0","-1,125.0","-1,526.0","-325.0","-1,454.0","155.0","-813.0","-26.0","-1,261.0","-1,796.0","-2,541.0","3,615.0","-2,794.0","536.0","-2,440.0","-318.0","420.0","-546.0","-1,326.0"
"65","45","  Current transfer payments","M318471","134.0","338.0","216.0","317.0","528.0","946.0","-357.0","286.0","625.0","670.0","1,551.0","621.0","365.0","574.0","492.0","3,077.0","-44.0","75.0","2,582.0","-1,242.0","1,360.0","2,930.0","177.0","1,894.0","476.0","-3,779.0","-618.0","2,677.0","-1,168.0","-1,148.0","-1,858.0","-6,061.0","4,982.0","407.0","2,737.0","13,332.0","-4,741.0","9,776.0","3,710.0","13,092.0","1,743.0","2,576.0","-24,073.0","105,267.0","83,753.0","61,676.0"
"66","46","  Other \10\","W708MC1","281.0","-2.0","77.0","326.0","-275.0","24.0","364.0","-24.0","-3.0","513.0","433.0","115.0","-185.0","601.0","1,355.0","1,480.0","2,162.0","-263.0","1,284.0","-982.0","1,066.0","3,494.0","1,818.0","-1,158.0","-1,176.0","-2,163.0","1,705.0","1,610.0","-1,062.0","1,625.0","1,706.0","-1,353.0","2,388.0","-3,953.0","1,397.0","2,020.0","18,696.0","-15,300.0","526.0","2,439.0","-4,339.0","-1,838.0","-1,760.0","3,359.0","-5,875.0","1,104.0"
"67","47","Equals: Federal government current expenditures, NIPAs","M318491","189,552.0","207,998.0","232,409.0","254,195.0","278,957.0","299,461.0","348,392.0","387,877.0","425,706.0","471,629.0","518,051.0","595,047.0","686,807.0","760,306.0","839,865.0","885,573.0","957,565.0","1,018,527.0","1,049,668.0","1,101,633.0","1,182,541.0","1,267,595.0","1,326,006.0","1,460,432.0","1,534,485.0","1,572,270.0","1,649,805.0","1,694,300.0","1,743,978.0","1,779,198.0","1,824,341.0","1,896,616.0","1,992,036.0","2,106,242.0","2,254,525.0","2,402,162.0","2,564,093.0","2,738,289.0","2,883,313.0","3,169,571.0","3,384,259.0","3,715,780.0","3,832,308.0","3,779,374.0","3,796,038.0","3,863,649.0"
"68",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","48","Budget surplus or deficit (-) (1-19)","M318501","3,244.0","-2,845.0","-23,033.0","-23,227.0","-14,301.0","-3,460.0","-43,604.0","-65,605.0","-45,035.0","-48,762.0","-27,281.0","-58,961.0","-57,934.0","-110,654.0","-195,373.0","-178,224.0","-203,155.0","-221,099.0","-148,424.0","-154,261.0","-153,317.0","-220,466.0","-269,494.0","-290,340.0","-254,614.0","-203,182.0","-163,950.0","-107,433.0","-21,888.0","69,269.0","125,610.0","236,239.0","128,236.0","-157,758.0","-377,585.0","-412,727.0","-318,344.0","-248,181.0","-160,701.0","-458,468.0","-1,412,687.0","-1,294,373.0","-1,299,593.0","-1,086,964.0","-679,544.0","-484,602.0"
"70","49","Plus: Net investment (28)","M318291","6,200.0","3,683.0","549.0","-727.0","74.0","-494.0","793.0","3,843.0","5,416.0","6,022.0","9,893.0","11,684.0","14,137.0","16,681.0","21,467.0","27,083.0","37,432.0","41,109.0","44,813.0","35,000.0","28,745.0","27,239.0","21,585.0","14,774.0","8,252.0","-1,136.0","-3,285.0","-2,596.0","-9,657.0","-6,526.0","-4,101.0","-2,876.0","-1,500.0","12,042.0","24,390.0","30,039.0","34,284.0","36,155.0","38,720.0","44,807.0","50,746.0","52,927.0","45,525.0","26,387.0","4,986.0","-4,593.0"
"71","50","Less: Net capital transfers received (4-29)","M318521","-2,641.0","-2,009.0","-1,784.0","-376.0","-1,444.0","-2,075.0","-3,698.0","-4,777.0","-4,066.0","-6,150.0","-8,231.0","-9,846.0","-9,879.0","-7,110.0","-9,343.0","-11,128.0","-12,651.0","-14,102.0","-11,685.0","-12,324.0","-11,051.0","-9,490.0","-10,574.0","-10,944.0","-11,010.0","-9,407.0","-12,790.0","-10,856.0","-9,374.0","-4,375.0","-4,008.0","-6,858.0","-13,329.0","-19,189.0","-24,471.0","-22,584.0","-41,084.0","-24,603.0","-27,730.0","-31,066.0","-213,363.0","-125,063.0","-95,193.0","-84,599.0","-64,587.0","-53,628.0"
"72","51","Less: Federal employee retirement plans (3-21)","M318531","16,534.0","19,968.0","23,919.0","25,596.0","26,365.0","26,511.0","25,800.0","25,564.0","26,952.0","31,437.0","32,967.0","32,508.0","31,730.0","33,712.0","33,954.0","37,254.0","59,411.0","61,287.0","60,411.0","61,593.0","63,474.0","64,077.0","66,135.0","68,629.0","67,662.0","66,298.0","66,299.0","65,888.0","66,202.0","68,154.0","69,984.0","71,370.0","72,475.0","73,067.0","81,086.0","83,750.0","87,395.0","87,234.0","86,981.0","92,307.0","79,622.0","89,884.0","101,685.0","98,778.0","95,446.0","95,611.0"
"73","52","Less: Other coverage differences (5+6-26-27-30-35-36)","M318541","-749.0","-842.0","2,171.0","757.0","7,759.0","10,621.0","6,140.0","6,584.0","6,246.0","-232.0","3,486.0","2,916.0","11,790.0","6,892.0","18,981.0","14,893.0","-19,261.0","-9,121.0","886.0","-11,247.0","-22,677.0","-54,888.0","-80,030.0","-7,946.0","20,653.0","6,414.0","19,843.0","13,278.0","25,058.0","10,153.0","9,927.0","6,807.0","16,627.0","5,529.0","-4,373.0","-3,224.0","-3,280.0","-20,609.0","23,032.0","-15,203.0","-91,090.0","119,088.0","84,063.0","-23,439.0","1,351.0","26,013.0"
"74","53","Less: Timing differences (42-12)","M318551","461.0","2,717.0","133.0","-855.0","470.0","-1,558.0","3,007.0","-5,191.0","1,419.0","-1,868.0","-772.0","3,083.0","5,731.0","6,457.0","-7,703.0","-4,100.0","693.0","-3,966.0","10,521.0","402.0","-5,850.0","6,484.0","-809.0","-1,438.0","1,085.0","-6,361.0","4,006.0","11,020.0","-9,519.0","-1,423.0","4,842.0","2,195.0","2,008.0","11,814.0","-20,804.0","-14,565.0","-23,653.0","-19,702.0","28,480.0","74,765.0","-4,589.0","16,733.0","-84,988.0","82,416.0","36,235.0","59,875.0"
"75","54","Equals: Federal government saving, national income and product accounts (18-47)","M318561","-4,161.0","-18,996.0","-46,923.0","-49,076.0","-47,377.0","-37,453.0","-74,060.0","-83,942.0","-70,170.0","-65,927.0","-44,838.0","-75,938.0","-83,169.0","-133,924.0","-209,795.0","-188,060.0","-193,915.0","-214,088.0","-163,744.0","-157,685.0","-148,468.0","-199,410.0","-222,631.0","-323,867.0","-324,752.0","-261,262.0","-244,593.0","-189,359.0","-103,912.0","-9,766.0","40,764.0","159,849.0","48,955.0","-216,937.0","-384,633.0","-426,065.0","-303,438.0","-234,346.0","-232,744.0","-534,464.0","-1,132,521.0","-1,342,088.0","-1,259,635.0","-1,133,733.0","-743,003.0","-617,066.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","or net worth of their own. Table 7.23 shows transactions of the federal government defined-benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","subsectors. Contributions for publicly administered insurance funds are transactions with the household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","sector and include the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","as receipts in the NIPAs. Also includes some transactions that are not reflected in the budget data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","but that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","post-1991 direct loan obligations and loan guarantee commitments. Many of these flows are for new loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","or loan repayments; consequently, related entries are included in 'Loan disbursements less loan repayments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and sales.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","that were not included in the budget in some time periods, and beginning with 1996, the Universal Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Fund. Includes repayments of certain collections from the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","8. Consists of investment grants to state and local governments and maritime construction subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Does not include the forgiveness of debts owed by foreign governments to the U.S. government or payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","to the Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","as capital transfers paid by the United States and are excluded from both budget outlays and NIPA current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","9. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","10. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year. Beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","1977, fiscal year estimates reflect an October 1-September 30 federal fiscal year. NIPA quarterly and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","fiscal year estimates in this table are consistent with the not seasonally adjusted estimates in table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3.22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
