"","Table 8#21# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"47","38","    Imputations (129)","B1156C",2.4,2.1,1.8,1.5,1.1,0.9,0.9,0.9,1,1.2,1.3,1.3,1.5,1.8,2.1,2.3,2.5,2.4,2.3,2.6,3.1,3.7,4.3,5.2,6.3,7.3,7.7,8,8.4,8.9,9.7,10.6,11.2,12,12.4,12.5,12.8,13.4,13.9,13.6,13.8,13.7,14.6,13.9,14,13.9,13.3,12.2,9.1,9.7,9.8,13,15.3,12.2,9.9,9.2,4.8,3,7.1,14.9,12.4,18.5,21.8,19.8,45.5,60.1,60.7,70.5,69.9,80.4,90.2,92.2,84.2
"48","39","    Excluding imputations (37-38)","A2103C",3.2,2.8,2.2,1.7,1.3,1.3,1.3,1.4,1.5,1.9,2,2.1,2.5,3.2,3.5,3.5,3.6,4.6,4.7,5.1,4.8,5,5.2,5.3,5.2,5.2,5.1,5.2,5.4,5.6,5.5,5.6,5.7,5.8,6.1,6.1,6.4,6.5,6.5,6.6,6.5,6.6,6.6,7.7,9.2,9.1,8.8,9.3,11.4,12.7,14.7,18.3,24.3,27.3,27,30.3,34.3,29.2,28.7,29.2,28.1,30.6,34.6,43.5,45.3,50.2,57.2,59.3,58.4,58.2,58.9,54.5,53.6
"49","40","  Net interest","B060RC",4.6,4.8,4.8,4.4,3.9,3.9,3.9,3.7,3.6,3.5,3.5,3.2,3.2,3.1,2.7,2.3,2.1,1.8,2.4,2.4,2.6,3,3.5,3.8,4.4,5.3,6,6.6,7.7,9.4,9.7,10.7,12.4,14.1,15.2,17.3,19.7,22.6,25.4,27.2,32.2,38.4,42.6,46.2,53.9,68.8,76.6,80.8,95.7,114.5,144.2,183.9,226.5,256.3,267.2,309.6,326.7,343.6,361.5,389.4,443.1,452.4,429.8,399.5,374.3,380.5,389.8,386.3,423.9,511.9,526.6,611.5,649.8
"50","41","    Imputations (155)","A2104C",2.2,2.1,1.9,1.7,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.8,2,2.2,2.6,2.8,3.1,3.4,3.8,4.4,4.9,5.7,6.4,7.3,8.4,9.2,10.1,11.1,12.4,13.2,14.4,15.2,16.9,18.4,20.1,21.6,23.6,27.3,30.7,33.6,38,44.2,50.8,57.8,63.9,74,91.4,109,125,138.5,157.1,183.4,204.3,233.5,260.6,289.8,307.8,324.9,346.7,368.9,383.4,382.3,394,424.3,443.5,485.8,514,544.9,599.9,620
"51","42","    Excluding imputations (40-41)","A2105C",2.3,2.7,2.9,2.7,2.3,2.4,2.4,2.1,2,2,2,1.7,1.6,1.4,0.9,0.3,-0.1,-0.8,-0.4,-0.7,-0.8,-0.9,-0.9,-1.1,-1.3,-1.2,-1.3,-1.8,-1.5,-0.7,-1.4,-1.7,-0.8,-0.3,0,0.4,1.3,2.5,3.8,3.6,4.9,7.7,9,8.2,9.7,18,18.8,16.9,21.8,23.1,35.2,58.9,88.1,99.3,83.8,105.3,93.1,82.9,71.7,81.6,118.2,105.8,60.8,16.1,-8,-13.4,-34.5,-57.3,-61.9,-2.1,-18.3,11.6,29.9
"52","43","  Indirect business tax and nontax liability","A028RC",7.1,7.2,6.9,6.8,7.1,7.8,8.2,8.7,9.2,9.2,9.4,10.1,11.4,11.9,12.8,14.2,15.6,17.2,18.6,20.3,21.5,23.5,25.3,27.8,29.8,29.7,32.3,35.1,37.6,38.7,41.9,45.5,48.1,51.7,54.7,58.8,62.7,65.4,70.4,79,86.6,94.3,103.6,111.4,121,129.3,140,151.6,165.5,177.8,188.7,212,249.3,256.7,280.3,309.1,329.4,346.8,369.3,392.6,420.7,447.3,482.3,510.6,540.1,575.3,594.6,620,646.2,681.3,712.9,753.6,774.8
"53","44","    Imputations (122+123+132)","A2094C",1.2,1.2,1.2,1.1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.4,2.7,2.9,3.3,3.8,4.3,4.8,5.2,5.7,6.3,6.8,7.5,8.2,8.9,9.6,10.7,12.1,13.5,15.3,16.8,18.1,19.6,20.9,23,25.4,28,28.6,29.5,32.1,35.7,39.1,42,45.3,48.3,51.3,53.9,56.7,62.8,67.1,71.8,76,79.5,82.3,84.8,88,91.9,96.3,100,103.7,107.7
"54","45","    Excluding imputations (43-44)","A2095C",5.9,6,5.7,5.7,6.1,6.8,7.2,7.7,8.2,8.2,8.4,9.1,10.3,10.8,11.7,13,14.4,16,17.2,18.7,19.7,21.6,23.2,25.4,27.1,26.7,28.9,31.3,33.2,33.9,36.7,39.8,41.9,44.9,47.3,50.7,53.8,55.8,59.7,67,73.1,78.9,86.8,93.2,101.4,108.3,117,126.2,137.5,149.2,159.3,179.8,213.6,217.5,238.3,263.9,281.2,295.5,315.4,335.9,357.9,380.2,410.5,434.5,460.6,493,509.8,532,554.3,585,612.9,649.8,667.1
"55","46","  Less: Subsidies less current surplus of government enterprises","A031RC",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,0.1,0.2,1.2,1.4,0.9,1.4,1.7,3,2.9,3,3.5,4.8,4.9,6.1,5.6,4.2,7.7,6.9,9.7,10.6,11,14.5,16.1,18.1,24.3,22.9,20.4,23.6,30.1,27.4,22.6,25.3,21.5,22.4,29.6,25.2,22.2,22.6,19.1,23.5,32.5,34.1,47.3
"56","47","    Imputations (124)","B1154C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.6,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.8,0.1,0,0.1,0,0,0,0
"57","48","    Excluding imputations (46-47)","A2096C",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,0.1,0.2,1.2,1.4,0.9,1.4,1.7,3,2.9,3,3.5,4.7,4.7,5.6,5.2,4,7.5,6.8,9.5,10.5,10.9,14.3,15.9,17.9,24.1,22.6,20.2,23.4,29.9,27.3,22.4,25.1,21.3,22.2,29,24.4,22.1,22.6,19,23.5,32.5,34.1,47.2
"58","49","  Consumption of fixed capital","A262RC",9.4,9.2,8.6,7.6,7.2,7.7,7.7,7.9,8.8,9.2,9.1,9.6,11.1,13.7,16.4,19.4,21,23.6,26.2,28.1,28.8,29.7,33.7,36.2,38.6,40.5,42.8,47.3,51.1,52.8,54.8,56.9,58.5,61,63.6,66.6,70.8,76.5,83.1,90.9,99.8,109.1,118.9,130.9,142.9,164.8,190.9,209,231.6,261.5,300.4,345.2,394.8,436.5,456.1,482.4,516.5,551.6,586.1,627.4,677.2,711.3,748,787.5,812.8,874.9,911.7,956.2,1013.3,1072,1145.2,1228.9,1329.3
"59","50","    Imputations (125+133+153)","A2092C",2,1.9,1.8,1.5,1.6,1.8,1.8,2,2.2,2.3,2.3,2.5,3.1,4.7,7.5,10.3,11.7,12.6,12.8,12.2,11.4,10.9,12.1,13.2,14.4,15.3,16.2,17.7,18.8,19.3,20.1,20.9,21.6,22.7,23.9,24.9,26.2,27.9,30,32.4,35.2,37.9,40.8,45.2,48.6,54.7,60.4,64.9,70.7,78.1,87.4,98.8,110.7,121.9,128.1,135.5,144.7,153.3,164.2,175.6,192.1,201.3,214.7,235.2,236.5,251.2,262.1,270.5,283.1,296.1,314.6,333.6,355.8
"60","51","    Excluding imputations (49-50)","A2093C",7.4,7.3,6.8,6,5.6,5.9,5.8,6,6.6,6.9,6.8,7.1,8,9,8.9,9.1,9.3,11,13.4,15.9,17.4,18.8,21.6,22.9,24.2,25.2,26.5,29.6,32.2,33.4,34.7,36.1,36.9,38.3,39.7,41.7,44.6,48.6,53.1,58.4,64.6,71.2,78.1,85.8,94.3,110.1,130.5,144.1,160.9,183.4,213,246.4,284.2,314.5,327.9,346.8,371.9,398.3,421.8,451.8,485.1,510,533.3,552.3,576.3,623.7,649.7,685.7,730.3,775.8,830.6,895.3,973.5
"61",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","52","Personal income","A065RC",85.3,76.5,65.5,50,46.9,53.8,60.5,68.8,74.3,68.6,73.1,78.6,96.3,123.8,152.4,166.3,171.9,179.5,192.1,211.1,208.2,229.9,258.7,276.1,292.6,295.2,316.8,340,359.3,370,394,412.7,430.3,457.9,481,515.8,557.4,606.4,650.4,714.5,780.8,841.1,905.1,994.3,1113.4,1225.6,1331.7,1475.4,1637.1,1848.3,2081.5,2323.9,2599.4,2768.4,2946.9,3274.8,3515,3712.4,3962.5,4272.1,4599.8,4903.2,5085.4,5390.4,5610,5888,6200.9,6547.4,6937,7426,7786.5,8406.6,8685.3
"63","53","  Imputations (128+129-124+135+139+  143+144+145+146+151)","A2106C",5.8,5.2,4.4,3.5,3,2.8,3.2,3.4,3.7,3.6,3.6,3.8,4.6,6.2,8,9.1,9.9,8.5,8.2,9,9.4,10.5,12.4,13.6,15.1,16.1,16.9,17.8,18.8,20,21.4,23.1,24.4,25.9,26.9,28.4,30.1,32.4,34.4,36.7,40.5,44.4,47.2,50.2,55.4,61.7,69.8,77.7,85,102,115,129.1,142.1,153.6,175.9,189.1,206.7,224.3,259,288.1,307.6,341.7,376.3,411.4,461.6,499.9,508.8,531.5,547.3,592.6,635.2,689.4,704
"64","54","  Excluding imputations (52-53)","A2107C",79.5,71.2,61.1,46.5,43.9,51,57.2,65.4,70.6,65,69.4,74.9,91.7,117.5,144.4,157.2,162,171,183.9,202.1,198.8,219.4,246.3,262.4,277.5,279.1,299.9,322.2,340.5,350,372.6,389.7,405.9,432,454.2,487.4,527.3,574,616,677.8,740.3,796.7,857.9,944,1058.1,1163.9,1261.9,1397.7,1552.2,1746.3,1966.5,2194.8,2457.3,2614.8,2771,3085.7,3308.3,3488.1,3703.5,3984,4292.2,4561.6,4709.1,4979,5148.4,5388.1,5692.1,6015.9,6389.7,6833.4,7151.3,7717.2,7981.3
"65","55","  Wage and salary disbursements","A576RC",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.6,116.9,117.5,112,123.1,135.5,134.8,147.2,171.5,185.6,199,197.2,212.1,229,239.9,241.3,259.8,272.8,280.5,299.3,314.8,337.7,363.7,400.3,428.9,471.9,518.3,551.5,583.9,638.7,708.7,772.6,814.6,899.5,993.9,1120.7,1255.8,1377.5,1517.2,1593.4,1684.7,1854.6,1995.4,2114.4,2270.2,2452.7,2596.8,2754.6,2824.2,2982.6,3085.2,3236.7,3424.7,3626.5,3888.9,4192.8,4470.4,4836.3,4950.6
"66","56","    Imputations (143+144+145)","A1674C",0.7,0.7,0.6,0.5,0.4,0.5,0.6,0.6,0.7,0.6,0.6,0.7,1.1,2.1,3.3,4,4.5,2.4,1.9,2,2,2.1,2.8,2.8,2.6,2.3,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.7,2.8,2.9,2.9,2.9,2.8,2.8,3,3.6,4,4.5,4.7,5.3,6.1,6.7,7.4,7.8,7.7,7.7,7.5,7.3,7.1,7.5,8,8.2,8.5,8.8,9,9.4,9.9,10.2,10.7,11,11.4,11.8,12
"67","57","    Excluding imputations (55-56)","A1675C",49.7,45.5,38.6,30.1,28.6,33.3,36.1,41.4,45.4,42.4,45.4,49.1,60.9,80,102.3,112.9,113,109.7,121.1,133.5,132.8,145.1,168.7,182.8,196.5,194.9,210,226.9,237.8,239.1,257.7,270.7,278.3,297.1,312.6,335.5,361.4,397.6,426.1,469,515.3,548.6,581.1,635.9,705.7,769.1,810.5,895,989.1,1115.4,1249.7,1370.8,1509.8,1585.6,1677,1846.9,1987.9,2107.1,2263.1,2445.2,2588.8,2746.3,2815.8,2973.8,3076.2,3227.3,3414.8,3616.2,3878.2,4181.8,4459.1,4824.6,4938.6
"68","58","  Other labor income","B040RC",0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.8,0.8,0.8,0.9,0.9,1,1.2,1.5,2,2.3,2.5,3,3.5,3.9,4.8,5.9,6.5,7.2,7.4,8.5,10,11.3,12,13.4,14.4,15.2,16.7,18,20.3,22.7,25.5,28.2,32.5,36.6,41.9,48,55.3,62.8,73.3,87.6,105.3,125.3,143.4,162.6,185.4,204.8,222.8,238.6,262.1,282.3,298.4,319.1,336.5,360.5,390,415.6,449.5,482.8,507.5,497,490,475.4,490.6,510.2,544.2,570.4
"69","59","    Imputations (146)","B4922C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1,1.3,1.5,1.7,1.9,2.3,2.7,3.2,3.6,4,4.5,4.9,5.4,5.9,6.7,7.5,8.2,8.9,10.8,12.3,14.5,16.1,18.7,20.8,23.8,28.6,35.1,42.1,49.7,56.4,65.1,76,87.3,96.3,105.2,115.6,123.5,137.1,153.5,175,195.8,212.4,236.2,256.3,269.1,266.1,267.2,255.4,272.3,291.8,318.8,339.6
"70","60","    Excluding imputations (58-59)","A2636C",0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.3,1.7,2,2.3,2.7,2.9,3.1,3.7,4.5,5,5.4,5.5,6.3,7.2,8.1,8.4,9.4,9.9,10.4,11.3,12.2,13.7,15.2,17.3,19.3,21.7,24.3,27.3,31.8,36.6,42,49.5,59.1,70.1,83.3,93.7,106.1,120.2,128.8,135.5,142.2,156.9,166.7,175,182,182.9,185.6,194.1,203.2,213.4,226.4,238.4,230.9,222.9,220,218.3,218.4,225.4,230.7
"71","61","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC",14.9,11.7,9.1,5.6,5.8,7.6,10.7,11,13.1,11.2,11.7,12.9,17.3,24.1,29.1,30.3,31.7,36.5,35.6,40.4,35.7,38.6,43.8,44.3,43.3,43.5,45.5,47,49,51.4,51.8,51.9,54.4,56.5,57.8,60.6,65.2,69.6,71.1,75.4,78.9,79.8,86.1,97.7,115.2,115.5,121.6,134.3,148.3,170.1,183.7,177.6,186.2,179.9,195.5,247.5,267,278.6,303.9,338.8,361.8,381,384.2,434.3,461.8,476.6,497.7,544.7,581.2,623.8,678.4,714.8,727.9
"72","62","    Imputations (128+139+151)","A2101C",1.6,1.5,1.3,1,1,1,1.2,1.2,1.3,1.1,1,1,1.2,1.5,1.8,1.8,1.9,2.2,2.3,2.4,2.1,2.1,2.2,2.2,2,1.9,1.7,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.6,3.2,3.9,4.2,4.3,3.4,3,2.7,3.6,3.6,3.6,4,5,4.4,4.2,4.4,4.8,5.4,5.8,5.8,6.1,6.6,7.2,7.7,8.1,8.6,8.7
"73","63","    Excluding imputations (61-62)","A2102C",13.3,10.2,7.8,4.6,4.8,6.5,9.5,9.7,11.8,10.1,10.7,11.9,16.1,22.6,27.2,28.5,29.8,34.3,33.4,38,33.6,36.5,41.6,42.1,41.3,41.6,43.7,45.4,47.4,49.7,50.2,50.3,52.8,54.9,56.2,59,63.6,68,69.5,73.7,77.1,77.9,84.1,95.4,112.6,112.9,119,131,144.4,165.9,179.4,174.2,183.2,177.1,191.9,243.9,263.5,274.6,298.9,334.4,357.5,376.6,379.3,429,456,470.7,491.6,538.1,574,616.1,670.3,706.2,719.2
"74","64","  Rental income of persons with capital consumption adjustment","A048RC",5.6,4.9,4,3.2,2.5,2.1,2.2,2.3,2.6,3.1,3.3,3.4,4,5,5.6,5.9,6.1,7,7,7.6,7.8,8.7,9.5,10.5,11.5,12.5,12.8,13.1,13.8,14.5,15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9
"75","65","    Imputations (129)","B1156C",2.4,2.1,1.8,1.5,1.1,0.9,0.9,0.9,1,1.2,1.3,1.3,1.5,1.8,2.1,2.3,2.5,2.4,2.3,2.6,3.1,3.7,4.3,5.2,6.3,7.3,7.7,8,8.4,8.9,9.7,10.6,11.2,12,12.4,12.5,12.8,13.4,13.9,13.6,13.8,13.7,14.6,13.9,14,13.9,13.3,12.2,9.1,9.7,9.8,13,15.3,12.2,9.9,9.2,4.8,3,7.1,14.9,12.4,18.5,21.8,19.8,45.5,60.1,60.7,70.5,69.9,80.4,90.2,92.2,84.2
"76","66","    Excluding imputations (64-65)","A2103C",3.2,2.8,2.2,1.7,1.3,1.3,1.3,1.4,1.5,1.9,2,2.1,2.5,3.2,3.5,3.5,3.6,4.6,4.7,5.1,4.8,5,5.2,5.3,5.2,5.2,5.1,5.2,5.4,5.6,5.5,5.6,5.7,5.8,6.1,6.1,6.4,6.5,6.5,6.6,6.5,6.6,6.6,7.7,9.2,9.1,8.8,9.3,11.4,12.7,14.7,18.3,24.3,27.3,27,30.3,34.3,29.2,28.7,29.2,28.1,30.6,34.6,43.5,45.3,50.2,57.2,59.3,58.4,58.2,58.9,54.5,53.6
"77","67","  Personal interest income","A064RC",6.8,6.3,6.3,5.9,5.4,5.5,5.5,5.3,5.4,5.3,5.3,5.3,5.4,5.3,5.2,5.3,6,6.8,7.8,8.3,9,10,10.8,11.5,13,14.3,15.6,17.4,19.4,21,23,25.6,27.3,30.2,33,36.9,40.8,45.3,49.4,54.1,62.3,71.5,77.5,84.2,97.6,116.1,128,140.5,161.9,191.3,233.5,286.4,352.7,401.6,431.6,505.3,546.4,579.2,609.7,650.5,736.5,772.4,771.8,750.1,725.5,742.4,792.5,810.6,864,964.4,969.2,1077,1091.3
"78","68","    Imputations (135)","B1611C",1,0.9,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.5,2.7,3.1,3.4,3.5,3.7,4,4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
"79","69","    Excluding imputations (67-68)","A2108C",5.8,5.5,5.6,5.4,5,5.1,5,4.7,4.8,4.7,4.8,4.7,4.8,4.6,4.6,4.6,5.2,5.7,6.5,6.9,7.5,8.3,9,9.6,10.5,11.6,12.6,14,15.9,17.4,19.1,21.2,22.7,25.4,28.2,31.5,35,38.9,42.4,46.4,52.6,60.1,65.6,71.1,82.2,98.1,106.5,117.8,136.6,158.2,194.9,245.4,312,357.7,373,441.6,470.8,492.4,506.8,542.7,628.3,657.5,642.8,608.6,580,586.2,626.4,633.6,659.8,743.3,735.4,818.9,831.7
"80","70","  Transfer payments to persons","A577RC",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.5,10.8,10.3,11.3,13.9,11.2,11.8,12.6,14.5,15.7,16.6,19.2,23.3,24.2,25.7,29.5,30.3,32,33.2,35.9,39.6,47.6,55.6,61.6,74.3,88.2,98,111.9,132.3,167.5,182.3,194.6,209.3,234.2,279,317.2,354.2,382.2,393.4,420.9,449,468.6,496.9,540.4,594.4,669.9,751.7,798.6,833.9,885.9,928.8,962.2,983.7,1018.5,1070.3,1170.4
"81","71","    Imputations (-124)","A2111C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.2,-0.6,-0.4,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.6,-0.8,-0.1,0,-0.1,0,0,0,0
"82","72","    Excluding imputations (70-71)","A2112C",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.5,10.8,10.3,11.3,13.9,11.2,11.8,12.6,14.5,15.7,16.6,19.2,23.3,24.2,25.7,29.5,30.3,32,33.2,35.9,39.6,47.6,55.6,61.6,74.4,88.4,98.5,112.2,132.6,167.7,182.5,194.7,209.4,234.3,279.2,317.5,354.5,382.5,393.7,421.2,449.2,468.8,497.1,540.6,594.6,670.1,752,799.3,834.7,886,928.8,962.3,983.8,1018.5,1070.3,1170.4
"83","73","Personal tax and nontax payments","A066RC",2.1,1.9,1.3,1,1,1.1,1.3,1.5,2.1,2.1,1.7,1.9,2.5,5.1,17,18,19.8,17.5,20.1,19.6,17.1,19.3,27.5,32.5,33.8,30.7,33.4,37.2,39.6,39.2,42.8,46.6,47.9,52.3,55.3,52.8,58.4,67.3,74.2,88.3,105.9,104.6,103.4,125.6,134.5,153.3,150.3,175.5,201.2,233.5,273.3,304.2,351.5,361.6,360.9,387.2,428.5,449.9,503,519.7,583.5,609.6,610.5,635.8,674.6,722.6,778.3,869.7,968.8,1070.4,1159.1,1286.4,1292.1
"84","74","  Imputations (-121-132)","A2115C",-1.2,-1.2,-1.2,-1.1,-1,-1,-1,-1,-1,-1,-1,-1,-1.1,-1.1,-1.1,-1.2,-1.3,-1.3,-1.4,-1.6,-1.8,-1.9,-2.2,-2.4,-2.7,-2.9,-3.3,-3.8,-4.3,-4.8,-5.2,-5.7,-6.3,-6.8,-7.5,-8.2,-8.9,-9.6,-10.7,-12.1,-13.5,-15.3,-16.8,-18.1,-19.6,-20.9,-23,-25.4,-28,-28.6,-29.5,-32.1,-35.7,-39.1,-42,-45.3,-48.3,-51.3,-53.9,-56.7,-62.8,-67.1,-71.8,-76,-79.5,-82.3,-84.8,-88,-91.9,-96.3,-100,-103.7,-107.7
"85","75","  Excluding imputations (73-74)","A2116C",3.3,3.1,2.4,2.1,2,2.1,2.3,2.5,3.1,3.1,2.7,2.9,3.6,6.2,18.2,19.2,21.1,18.8,21.5,21.1,18.9,21.2,29.6,34.9,36.4,33.6,36.7,41,43.9,44,47.9,52.2,54.1,59.1,62.7,61,67.3,76.9,84.9,100.3,119.4,119.9,120.2,143.8,154,174.3,173.3,200.9,229.1,262.1,302.7,336.3,387.2,400.8,402.9,432.5,476.8,501.3,556.9,576.4,646.3,676.8,682.4,711.8,754.2,804.9,863.1,957.7,1060.7,1166.7,1259.2,1390.1,1399.8
"86","76","Disposable personal income","A067RC",83.2,74.6,64.2,49.1,45.9,52.7,59.2,67.3,72.2,66.5,71.4,76.7,93.8,118.7,135.4,148.3,152.1,162,172.1,191.6,191.1,210.6,231.2,243.6,258.8,264.5,283.4,302.8,319.7,330.8,351.2,366.2,382.4,405.6,425.8,463,498.9,539.1,576.2,626.2,675,736.5,801.7,868.6,979,1072.3,1181.4,1299.9,1436,1614.8,1808.2,2019.8,2247.9,2406.8,2586,2887.6,3086.5,3262.5,3459.5,3752.4,4016.3,4293.6,4474.8,4754.6,4935.3,5165.4,5422.6,5677.7,5968.2,6355.6,6627.4,7120.2,7393.2
"87","77","  Imputations (53-74)","A2117C",7,6.4,5.6,4.7,4,3.8,4.3,4.4,4.8,4.6,4.6,4.8,5.7,7.3,9.2,10.3,11.2,9.7,9.6,10.6,11.2,12.5,14.6,16,17.8,19,20.2,21.6,23.1,24.8,26.5,28.7,30.6,32.7,34.4,36.5,39,42,45.1,48.8,54,59.7,64.1,68.4,75,82.7,92.8,103.1,113,130.6,144.5,161.2,177.8,192.8,217.9,234.4,255,275.7,312.9,344.8,370.4,408.8,448.1,487.4,541.1,582.2,593.6,619.5,639.2,688.9,735.3,793.1,811.7
"88","78","  Excluding imputations (76-77)","A2118C",76.2,68.1,58.6,44.4,41.9,48.9,55,62.9,67.4,61.9,66.8,71.9,88.1,111.3,126.2,138,140.9,152.2,162.4,181,179.9,198.1,216.7,227.6,241.1,245.5,263.1,281.2,296.6,305.9,324.7,337.4,351.8,372.9,391.4,426.4,460,497,531.1,577.4,621,676.8,737.6,800.2,904,989.6,1088.6,1196.8,1323,1484.2,1663.8,1858.6,2070.1,2214,2368.1,2653.3,2831.5,2986.8,3146.5,3407.6,3645.9,3884.8,4026.7,4267.2,4394.2,4583.3,4829,5058.2,5329,5666.7,5892.1,6327,6581.5
"89","79","Personal outlays","A068RC",79.3,71.3,61.6,49.5,46.6,52.1,56.6,63,67.7,65.1,68,72.2,82.1,89.7,100.4,109.3,120.8,145.6,164,177.5,181.1,195.4,211.5,223,237.5,244.8,263.8,277.4,292.9,302.6,324.7,339.8,350.5,372.2,392.7,422.4,456.2,494.6,522.3,573.6,622.3,667,721.6,791.7,876.5,957.9,1056.2,1177.8,1310.4,1469.4,1642.4,1814.1,2004.2,2144.6,2358.2,2581.1,2803.9,2994.7,3206.7,3460.1,3714.4,3959.3,4103.2,4340.9,4584.5,4849.9,5120.2,5405.6,5715.3,6054.1,6453.3,6918.6,7223.5
"90","80","  Imputations (83+86)","A2119C",5.5,5.7,5.3,4.9,4.4,4.1,4.2,4.1,4.4,4.2,3.7,3.6,4,7.1,9.6,10.8,11.4,4.6,1.4,-0.7,0.8,-3.3,0.8,2.5,3.8,3.4,1.5,4.5,7.6,10.1,6.9,10.8,13.6,14.6,14.4,15.4,17.2,22.1,25.4,26.2,30.4,38.3,33.3,28.9,30.7,46.7,57.8,51.6,39.8,45.9,62.4,98.7,120.9,145.7,132.9,128.3,149.1,145.6,171.4,196.8,225.4,276.5,337.1,352.3,381.7,399.6,427.4,426.8,432.4,448.2,473.6,515.5,525.9
"91","81","  Excluding imputations (79-80)","A2120C",73.8,65.7,56.4,44.6,42.2,48,52.4,58.9,63.3,60.8,64.3,68.6,78.1,82.6,90.9,98.5,109.4,141,162.6,178.2,180.3,198.7,210.8,220.4,233.7,241.3,262.3,273,285.4,292.5,317.8,329,336.9,357.6,378.2,407.1,439,472.5,496.8,547.3,591.9,628.7,688.3,762.8,845.8,911.2,998.4,1126.2,1270.6,1423.4,1580,1715.4,1883.2,1998.9,2225.3,2452.8,2654.8,2849.1,3035.3,3263.3,3489,3682.8,3766.1,3988.6,4202.8,4450.4,4692.8,4978.8,5282.9,5605.9,5979.7,6403.1,6697.6
