"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134"
"27","19","      Textile mills","PK3133",103.958,104.07,103.98,103.979,104.098,104.126,104.068,104.013,104.131,104.202,104.023,104.308,104.154,104.276,104.116,104.143,104.06,103.84,103.521,103.477,103.117,102.485,102.316,102.234,101.693,101.356,101.342,100.977,100.714,100.313,100.155,100.253,100.067,100.177,99.898,99.737,100.117,100.061,99.956,100.138,100.016,99.673,99.982,100.087,99.985,99.753,100.126,100.114,100.224,100.332,100.325,100.308,99.893,99.954,99.273,99.084,98.969,98.613,98.417,98.408,98.1,97.904,97.938,97.792,97.759,97.816,97.757,97.512,97.63,97.484,97.432,97.705,97.074,96.942,96.813,97.024,97.484,97.062,97.21,97.495,97.253,97.479,97.622,97.523,97.977,98.061,97.886,98.572,99.147,99.544,99.612,99.262,99.373,99.644,99.682,99.517,100.382,100.413,100.554,100.91,101.371,101.398,101.6,101.609,102.117,102.599,102.704,102.955,103.5,103.942,103.91,103.921,104.478,104.496,104.67,104.721,104.496,104.781,104.958,104.466,104.709,105.133,104.93,104.414,103.988,104.712,105.883,106.165,106.36,106.179,106.764
"28","20","      Textile product mills","PK3143",98.79,98.633,99.093,98.173,98.367,98.483,98.899,98.839,98.952,99.096,99.536,99.557,99.485,99.504,99.548,99.499,99.535,99.638,99.428,99.431,99.305,99.226,99.449,99.292,98.847,98.652,98.974,98.81,98.793,99.342,99.016,99.014,99.185,99.285,99.303,99.169,98.875,99.25,99.733,99.737,99.846,100.479,100.166,100.446,100.054,100.44,100.278,100.865,101.235,101.514,100.888,101.491,101.288,101.197,101.773,101.256,100.749,101.533,101.261,101.05,101.515,101.144,100.94,101.24,100.888,101.321,101.601,101.608,101.16,101.069,101.418,100.845,101.03,100.981,101.232,101.465,101.659,102.505,102.471,102.462,102.245,102.578,103.58,102.266,102.206,102.268,101.386,102.465,103.436,104.124,104.444,104.987,104.919,105.341,106.422,106.317,106.045,106.3,107.307,107.593,107.597,107.735,107.858,107.852,108.121,108.298,109.603,109.395,110.28,110.652,110.343,110.176,109.765,109.941,110.101,111.189,111.813,111.648,111.612,111.471,111.847,111.894,111.15,111.182,111.927,112.043,112.533,112.158,112.491,112.678,112.648
"29","21","      Apparel manufacturing","PK3153",98.645,98.699,98.812,98.531,98.866,98.954,98.99,99.109,99.146,98.924,99.215,99.212,99.414,99.392,99.372,99.521,99.597,99.664,99.731,99.653,99.857,99.977,99.768,99.779,99.908,99.722,99.827,99.811,99.948,99.521,99.399,99.882,99.907,99.835,99.798,99.975,99.845,99.903,99.965,99.947,99.867,99.898,100.133,100.082,100.106,100.128,100.057,100.089,100.093,100.089,99.878,99.833,99.813,99.684,99.683,99.74,99.666,99.601,99.564,99.235,99.219,99.09,98.89,98.731,98.842,99.041,98.927,98.935,98.955,99.063,99.096,99.239,98.776,98.767,98.924,98.732,98.452,98.337,98.173,98.639,98.788,98.792,98.756,98.712,98.636,98.425,98.48,98.548,98.698,98.417,98.337,98.397,98.855,99.016,99.181,99.127,98.924,98.72,98.365,98.234,98.346,98.514,98.434,98.519,98.841,98.475,98.374,98.34,98.555,98.758,98.751,98.753,98.766,98.698,98.672,99.009,98.954,99.175,99.066,99.128,99.541,99.68,99.669,99.763,99.622,99.927,100.024,100.26,100.255,100.34,100.487
"30","22","      Leather and allied product manufacturing","PK3163",99.465,99.775,99.642,99.878,99.25,98.761,98.969,98.847,98.909,99.596,100.072,99.563,99.334,99.192,99.209,98.847,98.98,98.964,99.199,98.936,99.014,98.879,98.476,98.679,97.964,98.184,98.135,98.19,98.05,98.44,98.589,98.648,98.812,99.042,99.072,99.103,99.455,99.589,99.514,99.674,99.403,99.289,99.528,99.875,100.497,100.499,101.129,101.466,101.578,102.459,102.798,104.088,104.517,103.811,103.805,104.068,103.166,102.824,102.4,101.879,102.365,101.945,101.983,102.075,102.509,102.96,103.364,104.139,104.035,103.878,104.235,104.395,104.365,104.461,104.505,104.9,104.343,104.687,104.855,104.721,105.215,105.466,105.689,105.642,105.725,105.929,105.994,105.686,105.591,105.678,105.887,105.722,105.646,105.602,105.841,105.926,105.922,106.061,106.105,106.074,106.109,106.235,106.417,106.258,106.219,106.367,106.416,106.388,106.477,106.881,107.175,107.692,107.833,107.743,107.856,108.051,108.107,108.396,108.538,108.727,109.515,109.537,109.853,110.159,110.203,109.834,109.831,109.842,110.246,110.521,110.72
"31","23","      Paper manufacturing","PK3223",92.163,91.457,90.749,90.079,90.225,90.453,90.55,91.201,92.09,92.421,93.293,94.297,94.662,94.716,94.621,94.243,94.275,94.056,93.921,93.509,92.841,92.153,91.662,91.397,91.078,90.9,91.44,91.911,92.332,92.93,93.164,93.758,94.684,95.615,95.82,95.945,96.478,96.891,98.3,99.77,100.904,101.193,100.955,100.933,101.195,101.331,101.284,101.173,101.039,101.081,101.007,101.114,100.726,100.699,100.301,99.504,99.478,99.18,98.777,98.944,98.455,97.966,97.649,97.918,97.31,97.503,97.501,97.944,98.411,98.874,99.201,99.117,99.073,99.045,98.9,98.877,99.044,98.927,98.624,98.695,98.601,98.345,98.459,98.478,97.808,97.895,97.965,98.572,99.428,100.607,101.401,102.551,103.183,103.722,103.953,104.237,104.6,104.968,105.431,105.569,105.594,105.626,105.413,105.121,105.093,105.198,106.144,106.411,107.056,108.516,109.308,109.274,110.276,111.384,111.519,111.945,112.595,112.773,112.549,112.875,113.152,113.112,112.967,113.102,112.903,113.14,113.323,113.681,114.434,115.754,116.083
"32","24","      Printing and related support activities","PK3233",95.061,95.053,94.985,95.178,95.149,95.244,95.498,95.664,95.68,96.615,96.752,96.768,96.951,96.99,97.211,97.485,97.398,97.234,97.435,97.483,97.558,97.673,97.626,97.569,97.185,97.2,97.427,97.495,97.536,97.56,97.641,97.797,97.753,98.062,98.164,98.263,98.383,98.553,99.058,99.537,99.634,100.32,100.494,100.595,100.657,100.954,100.847,101.01,101.014,101.181,101.338,101.793,101.574,101.557,101.63,101.357,101.418,101.36,101.294,101.035,101.221,101.222,100.899,101.043,101.021,101.148,101.233,101.057,101.015,101.004,101.014,101.076,100.992,101.285,101.287,101.353,101.415,101.414,101.21,101.356,101.375,101.301,101.293,101.174,101.266,101.261,101.472,101.911,101.887,101.998,102.382,102.365,102.861,102.958,103.182,103.211,103.603,103.482,103.616,103.635,103.691,103.856,104.276,104.433,104.695,104.833,104.871,105.068,105.694,106.075,106.304,106.432,106.523,106.701,106.769,107.038,107.148,107.551,107.569,107.53,107.502,107.298,107.328,107.543,107.658,107.37,107.678,107.975,108.485,108.519,108.7
"33","25","      Petroleum and coal product manufacturing","PK3243",84.16,83.706,80.832,76.638,73.067,72.962,71.653,74.926,73.838,73.493,72.759,72.382,67.387,64.5,61.308,60.972,60.148,59.166,59.165,55.676,54.618,56.74,55.491,52.143,54.166,51.931,56.048,66.311,64.301,63.897,69.729,74.267,75.693,74.561,78.856,86.662,88.126,96.623,103.572,94.417,91.934,102.074,101.141,97.441,104.018,104.154,108.664,108.861,104.876,103.417,98.309,102.169,103.34,99.381,88.647,89.988,96.464,81.134,77.328,72.246,72.774,72.959,79.914,87.825,82.805,85.395,89.173,89.58,93.693,101.043,98.31,100.609,108.416,128.269,129.642,101.956,94.158,101.539,104.571,108.494,103.802,103.007,107.925,114.401,125.786,124.441,121.431,121.987,128.569,124.641,131.961,132.901,136.524,149.987,160.75,147.236,149.837,156.845,165.359,163.238,155.553,164.361,176.489,183.119,208.121,218.72,197.674,205.024,208.165,198.441,201.805,214.951,220.246,232.731,229.101,226.546,196.414,179.202,201.774,211.373,194.785,203.864,213.782,222.504,233.714,231.639,239.834,215.537,230.579,223.037,290.576
"34","26","      Chemical manufacturing","PK3253",94.232,94.171,94.11,94.024,94.055,94.068,94.166,94.29,94.316,94.321,94.36,94.464,94.32,94.097,95.186,95.283,95.148,95.099,95.067,94.887,94.603,94.423,94.386,94.355,94.087,93.857,93.786,93.818,94.221,94.764,95.336,95.508,96.237,97.416,97.667,97.769,98.175,98.69,99.007,99.096,99.592,99.806,100.432,100.499,100.995,101.177,101.023,101.456,102.349,102.976,102.789,102.618,101.818,101.708,100.441,99.682,99.973,99.388,99.34,98.75,98.41,98.334,98.809,99.015,99.38,99.837,100.863,100.988,101.059,101.621,101.885,101.616,102.358,103.235,104.955,105.852,105.544,105.18,104.956,104.795,105.036,105.206,105.143,105.463,106.271,106.758,107.373,108.267,108.67,109.924,111.032,112.143,113.722,114.748,115.539,116.758,117.655,118.071,118.994,119.876,119.849,119.466,120.025,120.046,120.843,123.239,125.075,125.2,126.16,126.59,126.578,125.842,126.676,126.861,127.218,127.82,127.816,127.853,127.592,127.957,128.534,128.847,129.866,130.08,131.313,132.72,133.457,134.036,133.925,134.267,136.571
"35","27","      Plastics and rubber product manufacturing","PK3263",98.494,98.508,98.367,98.589,98.62,98.557,98.585,98.563,98.379,98.312,98.365,98.325,98.287,98.327,98.274,98.162,97.995,97.849,97.678,97.524,97.43,97.326,97.282,97.393,97.296,97.295,97.281,97.575,97.534,97.854,97.998,98.33,98.414,98.698,99.031,99.146,99.27,99.33,99.362,99.577,99.378,99.864,100.379,100.112,100.276,100.282,101.097,101.213,101.094,100.911,101.294,101.271,101.383,101.316,101.212,100.786,100.561,100.55,100.607,100.393,100.218,99.896,100.046,100.269,100.501,100.972,100.733,101.003,101.35,101.371,100.941,101.015,101.344,102.28,103.016,103.736,103.787,103.581,103.489,103.653,103.325,103.33,103.363,103.461,103.576,103.977,104.123,104.326,104.637,105.091,105.481,105.709,106.797,107.469,108.214,108.924,109.889,110.565,111.375,111.663,111.853,112.187,112.441,112.335,113.483,114.841,116.653,117.472,118.276,118.337,118.187,118.182,118.064,118.188,118.666,119.13,119.231,119.368,119.119,118.919,118.501,118.34,118.308,118.278,118.375,118.771,119.324,119.718,119.708,120.073,120.444
"36","28","  Merchant wholesale industries","PK42W3",103.737,103.489,103.664,103.021,102.586,101.994,101.531,101.82,101.536,101.579,101.202,100.971,99.823,99.477,99.128,98.665,98.308,97.734,97.629,96.416,96.023,96.299,95.986,95.485,95.706,95.139,95.512,96.211,96.26,96.312,96.404,97.145,97.511,97.428,97.879,98.591,98.788,99.832,100.503,99.707,100.04,100.295,99.929,99.335,100.138,100.336,100.684,100.398,100.356,99.962,99.604,99.545,99.658,99.185,98.3,98.386,98.579,96.888,96.443,96.114,96.203,96.43,97.308,97.33,97.223,97.22,97.948,98.438,98.85,99.416,98.83,98.962,100.137,101.685,102.06,100.027,99.506,99.744,99.781,100.343,100.481,101.258,101.858,102.888,103.634,103.979,104.74,105.458,106.015,105.44,106.268,106.587,106.916,108.474,108.74,108.19,108.462,108.777,110.05,110.122,109.55,110.073,111.025,111.585,113.235,113.371,112.678,113.666,113.812,113.231,113.662,115.447,116.666,117.836,118.189,118.031,116.014,115.133,116.696,117.762,117.125,118.915,120.079,120.777,121.694,122.146,122.571,121.261,123.009,123.146,127.628
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.228,110.067,110.055,109.788,109.218,109.056,108.712,108.501,108.12,107.8,107.556,107.251,106.521,106.017,105.658,105.099,104.629,104.115,103.728,102.913,102.611,102.196,101.892,101.504,101.093,101.013,100.717,100.515,100.456,100.425,100.423,100.332,100.282,100.444,100.615,100.715,100.777,100.655,100.596,100.54,100.378,100.23,100.158,99.603,99.579,99.408,99.149,98.961,98.283,97.872,97.672,97.551,97.481,97.377,97.155,96.797,96.727,96.196,96.017,95.822,95.715,95.754,95.762,95.74,95.769,95.968,95.817,95.654,95.794,95.852,95.649,95.517,95.616,95.642,95.852,95.507,95.51,95.456,95.414,95.521,95.834,96.141,96.479,96.716,97.269,97.937,98.507,98.837,98.845,98.882,99.795,100.565,100.767,101.192,101.442,101.477,101.481,101.378,101.347,101.545,101.02,100.514,100.469,100.882,101.527,101.118,101.325,101.628,102.027,102.355,102.596,103.177,104.465,104.789,104.661,104.689,104.9,104.399,104.466,104.658,104.827,105.182,106.005,106.271,106.069,106.354,106.364,106.456,106.319,106.541,106.619
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.871,100.697,100.762,100.535,100.056,100.121,99.36,99.57,99.702,99.325,99.001,98.738,98.759,98.875,98.899,98.761,98.476,98.257,98.819,98.73,99.019,99.436,99.642,99.385,99.067,99.14,98.879,99.148,99.425,99.273,99.196,99.358,99.568,100.325,99.945,99.912,99.762,99.563,99.673,99.672,100.289,99.928,100.055,99.911,100.283,99.916,100.385,100.575,100.433,99.294,99.614,100.07,99.429,99.462,100.219,100.044,100.44,98.557,98.662,99.063,98.521,98.907,98.52,98.402,98.212,98.446,97.635,97.302,97.715,97.859,97.3,96.891,97.209,97.49,99.022,97.115,97.196,96.858,97.008,97.197,96.698,97.441,97.22,96.78,96.763,96.858,97.209,97.058,97.397,97.672,97.081,97.258,97.657,98.278,98.225,98.47,98.824,98.153,98.023,98.354,98.784,98.631,99.523,99.514,100.043,97.342,96.878,96.576,96.855,97.305,97.366,97.523,97.578,97.652,95.577,96.642,97.169,94.828,97.726,97.431,97.004,96.881,96.951,96.944,97.079,97.655,98.415,98.461,97.944,97.241,98.129
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.626,97.679,97.771,97.423,97.675,97.671,98.027,97.977,98.042,98.131,98.254,98.283,98.282,98.411,98.503,98.407,98.631,98.473,98.305,98.353,98.297,98.437,98.548,98.567,98.373,98.258,98.511,98.426,98.527,98.837,98.727,98.82,98.846,99.046,99.082,99.045,99.129,99.397,99.621,99.707,99.707,100.045,99.986,100.404,100.231,100.527,100.462,100.758,100.642,100.901,100.591,101.002,100.819,100.664,100.951,100.617,100.485,100.917,100.779,100.729,101.068,100.934,100.828,100.93,100.719,101.074,101.429,101.458,101.611,101.642,101.877,101.488,101.634,101.656,101.783,102.035,102.167,102.615,102.628,102.634,102.353,102.582,103.175,102.442,102.373,102.599,102.221,102.847,103.453,103.914,104.248,104.874,104.846,105.217,106.276,106.478,106.489,106.777,107.435,107.745,108.005,108.189,108.555,108.517,108.751,108.987,109.863,109.923,110.745,110.97,110.986,110.95,110.827,111.068,111.443,112.002,112.5,112.57,112.56,112.477,113.28,113.648,113.199,113.34,113.711,113.536,113.697,113.382,113.789,114.079,114.192
"40","32","      Lumber and other construction materials wholesalers","PK42133",99.915,101.158,101.426,102.228,102.933,101.798,102.042,101.572,100.592,99.213,99.501,99.312,98.67,99.012,99.135,99.161,98.237,96.708,97.513,97.92,96.934,96.376,96.077,96.753,97.703,98.843,99.898,99.984,100.817,102.378,104.533,103.28,101.793,100.333,100.767,101.27,101.842,101.821,102.19,101.848,100.583,100.423,99.698,98.857,98.153,98.369,98.071,98.132,97.65,98.051,98.464,98.83,101.558,102.799,100.962,100.825,100.15,98.787,98.218,97.622,98.596,99.321,100.178,100.123,100.089,99.519,99.662,100.047,99.58,99.108,98.85,98.621,98.863,99.727,99.828,100.001,100.217,100.532,101.592,101.578,103.564,102.78,103.035,103.281,103.958,105.932,108.166,110.372,112.788,111.962,112.089,114.813,115.098,111.949,109.844,110.105,111.086,113.256,113.683,113.861,112.054,113.312,112.745,111.873,113.042,113.35,112.986,113.707,115.986,116.604,116.664,116.481,116.656,115.181,114.316,113.423,113.795,112.06,111.022,111.306,112.529,112.54,112.659,112.551,112.238,112.987,113.465,113.25,112.565,111.845,110.735
"41","33","      Professional and commercial equipment wholesalers","PK42143",156.351,154.622,153.34,152.246,148.616,147.345,145.784,143.665,142.292,140.656,139.002,138.018,135.011,132.143,130.542,127.769,125.961,124.898,123.347,119.936,118.95,117.135,115.969,114.355,112.827,111.516,110.422,109.158,108.301,107.356,106.324,105.492,104.926,104.026,103.774,103.288,102.929,102.203,101.644,101.108,100.68,100.098,100.23,99.028,98.841,98.349,97.726,97.178,94.268,93.146,91.932,91.878,91.284,91.13,90.417,89.091,88.603,87.875,87.122,86.603,86.189,85.609,85.377,84.786,84.728,84.361,83.779,83.246,83.034,82.545,82.199,81.961,81.62,80.614,80.394,80.456,80.15,79.971,79.603,79.287,79.539,79.381,79.24,78.89,78.912,78.854,78.762,78.616,78.47,78.083,77.98,77.649,78.069,77.72,77.282,77.261,76.431,76.526,76.065,75.753,75.153,75.061,74.673,74.877,74.281,74.009,73.65,73.415,73.224,72.78,72.518,72.097,72.016,71.671,71.379,71.089,70.711,70.454,70.565,70.426,69.841,69.735,69.65,69.803,69.543,69.243,68.998,68.742,68.598,68.34,68.062
"42","34","        Computers and software wholesalers","PK42433",217.557,213.658,209.987,206.756,198.439,195.486,191.952,187.157,183.916,180.196,176.589,174.183,168.283,162.092,158.707,153.432,149.971,147.892,144.814,138.082,136.112,132.55,130.13,127.13,124.354,122.017,119.808,117.301,115.689,113.999,112.018,110.351,109.4,107.807,107.2,106.324,105.63,104.354,103.22,102.224,101.402,100.249,100.304,98.098,97.409,96.405,95.622,94.471,89.245,87.528,85.199,84.945,83.746,83.397,82.01,79.45,78.318,76.903,75.6,74.5,73.809,72.585,72.25,71.402,71.234,70.455,69.369,68.295,67.823,66.903,66.117,65.648,64.555,63.164,62.539,62.443,61.998,61.525,60.832,60.236,60.529,59.809,59.427,58.817,58.447,58.332,58.104,57.752,57.419,56.702,56.461,55.861,56.348,56.035,55.163,54.98,53.566,53.273,52.414,52.017,50.915,50.642,49.886,50.042,49.113,48.715,48.21,47.62,47.313,46.589,46.116,45.383,45.117,44.585,44.003,43.545,43.039,42.711,42.738,42.553,42.086,41.785,41.461,41.215,40.925,40.374,39.989,39.552,39.318,39.069,38.725
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.442,98.105,98.325,98.611,98.523,98.449,98.388,98.41,98.545,98.605,98.601,98.827,98.473,98.662,98.755,98.532,98.446,98.465,98.515,98.585,98.63,98.677,98.855,98.733,98.629,98.551,98.819,99.039,99.12,99.091,99.267,99.531,99.463,99.487,99.666,99.621,99.546,99.465,99.608,99.65,99.714,99.842,100.079,100.115,100.545,100.64,100.234,100.448,100.402,100.045,100.192,100.384,100.501,100.604,100.707,100.783,101.059,101.134,101.028,101.195,101.153,101.326,101.232,100.943,101.018,101.147,101.176,101.345,101.469,101.538,101.722,101.756,102.313,101.764,102.033,102.278,102.141,102.312,102.348,102.375,102.575,103.117,103.292,103.294,103.899,103.914,104.002,104.15,104.265,104.348,104.43,104.49,104.797,104.431,104.611,104.804,104.864,105.53,105.712,105.574,105.843,106.052,106.288,106.552,106.572,106.526,106.446,106.804,106.841,106.935,107.076,107.257,107.53,107.588,107.896,107.995,107.966,107.937,108.231,108.262,107.571,107.832,108.232,109.122,108.981,109.29,109.359,109.547,109.628,109.426,109.392
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.388,105.716,106.331,106.177,106.041,106.318,106.209,106.211,106.222,106.335,106.488,106.231,105.005,104.762,104.19,104.069,103.7,102.863,101.987,100.674,99.412,98.365,97.556,96.729,95.268,95.377,94.832,94.774,95.007,95.146,95.187,95.758,95.855,97.146,98.353,99.21,100.333,100.428,101.283,101.349,100.705,100.467,100.518,100.144,99.579,99.045,98.13,97.995,97.65,97.557,97.014,96.294,96.039,95.031,95.039,94.603,94.212,93.974,94.07,93.524,93.723,93.891,94.636,95.691,96.509,97.786,98.416,98.768,99.826,100.706,101.458,101.466,101.515,102.419,102.36,102.175,101.463,101.163,100.983,101.944,102.478,104.576,106.616,109.122,113.263,118.225,122.411,126.483,127.937,128.273,135.023,139.865,140.959,144.451,147.371,147.606,148.456,146.89,146.124,145.755,143.123,138.823,137.107,137.656,141.303,142.351,145.983,146.934,148.616,149.565,150.842,154.252,162.231,167.264,169.957,168.492,170.488,170.821,167.448,168.801,168.733,170.656,176.848,179.181,179.467,180.5,179.818,178.172,175.682,176.882,178.342
"45","37","      Electrical goods wholesalers","PK42163",105.84,105.718,105.808,105.398,105.233,105.303,105.333,104.954,104.693,104.333,104.192,103.977,103.656,103.293,103.228,103.073,103.006,102.701,102.383,102.31,102.151,102.276,102.274,102.246,102.163,102.274,102.057,101.917,101.616,101.357,101.187,101.109,101.033,100.829,100.671,100.705,100.434,100.316,100.034,100.207,100.193,100.168,100.23,99.942,99.855,99.758,99.589,99.324,99.22,99.059,98.916,98.598,98.499,98.315,98.271,98.013,97.806,97.839,97.799,97.831,97.886,97.851,97.758,97.425,97.203,97.241,96.997,97.051,96.946,96.722,96.585,96.426,96.364,96.105,96.009,95.999,95.924,95.784,95.833,95.585,95.507,95.299,95.302,95.072,94.743,94.395,94.356,94.262,94.332,94.263,93.979,93.882,93.827,93.805,93.863,94.064,94.281,94.395,94.313,94.209,94.057,93.992,93.987,93.869,93.612,93.689,93.486,93.494,93.487,93.569,94.473,94.779,94.831,94.998,95.301,95.543,95.814,95.819,95.83,95.77,96.018,95.272,94.998,94.721,94.387,94.742,94.518,94.426,94.429,94.49,94.35
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",96.984,97.062,97.115,97.196,97.218,97.357,97.312,97.519,97.579,97.712,97.759,97.86,97.732,97.935,97.776,97.813,97.867,97.839,97.917,97.865,97.944,98.02,98.164,98.175,98.333,98.039,98.115,98.245,98.319,98.676,98.708,98.894,98.982,99.045,99.197,99.402,99.326,99.512,99.668,99.857,99.851,100.015,100.209,100.326,100.239,100.322,100.324,100.33,100.577,100.887,100.721,100.584,101.041,101.098,101.069,101.121,101.309,101.452,101.67,101.672,101.585,101.545,101.686,101.612,101.679,101.564,101.637,101.813,101.972,101.892,101.806,101.895,102.215,102.394,102.495,102.498,102.599,102.713,102.877,102.876,102.979,103.112,103.415,103.449,104.068,104.173,104.366,104.633,105.297,105.764,106.346,106.502,107.064,107.719,108.084,108.292,109.371,110.067,110.256,110.543,110.608,110.729,110.893,111.619,111.71,111.994,112.638,112.588,112.816,112.707,112.99,113.817,114.094,114.782,115.563,115.962,116.74,117.196,118.03,118.448,118.981,119.44,120.166,120.675,121.69,121.727,121.742,122.194,122.407,122.269,122.223
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.245,97.334,97.261,97.378,97.416,97.526,97.625,97.674,97.616,97.769,97.895,97.98,98.074,98.095,98.195,98.181,98.228,98.273,98.272,98.33,98.504,98.649,98.799,98.827,98.921,98.995,98.949,99.099,99.043,99.051,99.081,99.096,99.173,99.326,99.442,99.495,99.59,99.746,99.738,99.826,99.856,99.919,100.09,100.102,100.216,100.269,100.256,100.382,100.535,100.664,100.669,100.799,100.869,100.958,100.958,101.044,101.141,101.276,101.29,101.286,101.265,101.298,101.436,101.442,101.453,101.569,101.78,101.938,102.033,102.083,102.125,102.292,102.434,102.508,102.656,102.769,102.797,103.079,103.187,103.266,103.322,103.503,103.757,103.958,104.212,104.465,104.807,105.321,105.668,105.983,106.355,106.639,107.022,107.698,108.105,108.632,109.295,109.804,110.404,110.84,111.413,111.574,111.84,112.036,112.302,112.613,112.967,113.261,113.641,114.077,114.211,114.414,114.778,115.304,115.87,116.182,116.544,116.936,117.2,117.404,118.073,118.422,118.677,118.996,119.17,119.583,119.987,120.407,120.529,120.798,121.023
"48","40","      Miscellaneous durable goods wholesalers","PK42193",101.98,101.925,102.475,101.984,101.908,101.952,101.604,102.561,101.838,102.289,102.443,101.91,101.237,101.048,100.527,100.166,99.672,98.749,97.714,96.627,96.37,95.553,94.84,94.507,94.247,94.796,94.455,94.304,94.677,95.373,96.276,96.806,97.527,99.206,100.529,101.235,101.757,101.835,101.668,101.663,101.147,101.216,100.147,98.389,98.706,98.63,97.885,97.16,96.592,96.101,96.529,95.529,95.622,95.186,94.388,94.446,94.81,94.385,94.227,93.559,93.434,93.851,93.924,94.766,95.213,96.497,96.833,96.195,96.711,97.865,97.368,97.397,97.974,98.992,98.944,98.278,99.012,98.999,98.419,99.415,101.071,102.29,103.968,106.127,108.301,110.513,111.353,110.567,107.441,107.782,112.566,115.178,114.179,116.255,117.856,116.576,115.272,113.66,113.746,115.091,112.868,110.255,110.085,113.18,116.811,116.089,116.921,119.314,119.961,121.683,122.067,125.388,132.548,132.985,133.014,132.452,131.859,131.332,128.622,130.147,131.545,134.866,139.481,140.11,138.438,139.025,138.378,140.198,141.244,144.437,144.221
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.95,96.613,96.954,95.949,95.64,94.631,94.049,94.817,94.627,95.029,94.521,94.364,92.809,92.622,92.286,91.923,91.684,91.054,91.239,89.632,89.156,90.114,89.798,89.189,90.045,88.981,90.043,91.671,91.833,91.969,92.154,93.77,94.574,94.232,94.976,96.339,96.659,98.963,100.423,98.817,99.678,100.362,99.677,99.034,100.721,101.301,102.299,101.907,102.543,102.169,101.643,101.647,101.953,101.092,99.525,100.067,100.523,97.664,96.95,96.484,96.767,97.18,98.929,98.996,98.755,98.551,100.163,101.311,102,103.069,102.107,102.503,104.75,107.81,108.358,104.632,103.593,104.126,104.242,105.262,105.226,106.484,107.354,109.206,110.159,110.162,111.124,112.259,113.422,112.171,112.905,112.726,113.197,115.996,116.282,115.085,115.658,116.439,119.164,119.092,118.47,120.155,122.236,122.96,125.754,126.527,124.794,126.58,126.421,124.778,125.427,128.592,129.718,131.868,132.78,132.403,127.819,126.498,129.782,131.854,130.278,133.731,135.28,136.475,138.673,139.314,140.217,137.317,141.192,141.232,150.745
"50","42","      Paper and paper products wholesalers","PK42213",88.97,88.347,87.492,86.959,87.218,87.537,87.648,88.838,89.89,90.302,91.418,92.263,92.667,92.614,92.613,92.247,92.136,92.084,91.399,90.662,89.643,88.73,87.911,87.467,87.151,87.236,88.047,88.598,89.272,89.85,90.559,91.534,92.836,93.387,93.882,94.189,94.915,95.584,97.941,99.554,101.222,101.641,101.479,101.525,101.587,101.758,101.775,101.601,101.734,101.411,101.096,100.728,100.009,99.212,98.533,97.12,96.777,96.194,95.926,96.089,95.477,95.015,94.439,94.238,93.949,94.173,94.485,95.377,95.742,96.223,96.225,96.057,95.936,96.244,96.317,96.629,97.094,97.101,96.547,96.354,95.789,95.653,95.754,95.976,95.281,95.443,95.701,96.832,98.13,99.753,100.963,102.035,102.68,102.634,102.982,103.689,104.356,105.222,105.726,105.648,105.532,104.562,103.931,102.545,102.911,103.841,105.102,105.697,106.303,108.285,109.071,108.541,110.961,112.242,112.503,113.299,114.302,114.605,114.442,114.763,114.886,114.663,114.655,114.566,114.013,114.349,114.396,114.859,116.064,118.116,118.406
