"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"78","71","        Other motor vehicle services (61)","DOVSRC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4
"79","72","      Public transportation","DPUBRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.3,1.4,1.9,2.7,2.8,2.8,2.9,2.9,3,2.9,2.8,3,3.1,3.1,3,3,3.1,3.2,3.1,3.2,3.4,3.4,3.6,3.6,3.8,4.1,4.4,4.9,5.6,6.5
"80","73","        Ground transportation (63)","DGRDRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.4,1.9,2.6,2.8,2.8,2.8,2.8,2.9,2.8,2.7,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.6,2.6,2.7,2.6,2.7,2.7,2.7,2.8,3,3.1,3.3,3.6
"81","74","        Air transportation (64)","DAITRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8
"82","75","        Water transportation (65)","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","76","    Recreation services","DRCARC1",1.6,1.5,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.5,1.6,1.7,2,2.3,2.6,2.8,3.5,3.6,3.6,3.6,3.6,3.8,4,4.2,4.5,4.8,5.2,5.2,5.4,5.9,6.5,6.9,7.5,7.9,8.5,9,9.8,10.5,11.7,12.9
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1",1.3,1.3,1.2,0.9,0.8,0.9,1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.9,2,2.2,2.7,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.9,3.1,3.3,3.2,3.2,3.5,3.8,4.1,4.3,4.6,4.8,5,5.4,5.7,6.3,6.9
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.8,3.2,3.5
"86","79","      Gambling (91)","DGAMRC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1",0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9
"88","81","    Food services and accommodations","DFSARC1",3.4,3.3,3,2.4,2.1,2.6,3,3.4,4,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15,16,16.5,16.6,17,17.7,18.5,18.7,19.7,20.5,21,22.3,23.3,24.9,27.2,29.6,31,34.6,37.5
"89","82","      Food services","DFSERC1",3.2,3,2.7,2.3,2,2.4,2.8,3.2,3.8,3.6,3.9,4.2,5.1,6.6,8.8,10.5,12.3,12.2,11.9,12.1,11.8,12.2,14.3,15.3,15.7,15.8,16.2,16.8,17.5,17.7,18.7,19.3,19.7,20.9,21.8,23.3,25.4,27.7,28.8,32.1,34.7
"90","83","        Purchased meals and beverages (102)","DPMBRC1",2.9,2.8,2.5,2.1,1.8,2.2,2.6,3,3.5,3.4,3.6,3.9,4.6,5.7,7.1,8.1,9.5,10.9,10.9,11,10.8,11.1,12.7,13.6,14.1,14.4,14.9,15.6,16.3,16.4,17.5,18.1,18.5,19.6,20.5,21.9,23.9,25.9,26.8,30.2,32.7
"91","84","        Food furnished to employees (including military) (103)","DFOORC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1
"92","85","      Accommodations (104)","DACCRC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.4,1.5,1.6,1.8,1.9,2.2,2.5,2.7
"93","86","    Financial services and insurance","DIFSRC1",2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.8,4.2,4.7,4.9,5.6,6.3,6.7,7.8,8.6,9.6,10.4,11.1,11.6,12.5,13.6,14.8,15.4,15.9,17.7,19.4,21.3,22.8,25.8,28.5
"94","87","      Financial services","DFNLRC1",1.7,1.4,1,0.8,0.8,0.7,0.8,0.9,1,0.9,0.8,0.9,0.9,0.9,1.1,1.1,1.3,1.7,1.7,1.9,2,2.3,2.5,2.6,3.1,3.6,4.2,4.6,4.7,5,5.7,6.1,6.8,6.9,7.1,8,8.8,9.9,11.1,12.4,14.1
"95","88","        Financial services furnished without payment (107)","DIMPRC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.2,1.2,1.3,1.4,1.6,1.7,2.2,2.4,2.8,3.1,3.2,3.2,3.5,3.9,4.1,4.3,4.2,4.9,5.2,5.8,6.4,7,9.1
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRC1",0.9,0.6,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.2,1.4,1.4,1.5,1.8,2.2,2.2,2.7,2.6,2.9,3.1,3.5,4.1,4.7,5.3,5
"97","90","      Insurance","DINSRC1",1.2,1.2,1.2,1.1,1.1,1.1,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.5,2.8,2.9,3.3,3.9,4.2,4.7,5,5.4,5.8,6.3,6.6,6.8,7.5,8,8.4,8.8,9.7,10.6,11.4,11.8,13.4,14.4
"98","91","        Life insurance (110)","DLIFRC1",0.9,0.9,0.9,0.8,0.8,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2,2.1,2.2,2.4,2.8,3,3.2,3.2,3.6,3.7,3.9,4.1,4.6,5.1,5.3,5.4,5.9,6.3
"99","92","        Net household insurance (111)","DFINRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"100","93","        Net health insurance (112)","DHINRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.4,2.6,2.9,2.9,3.8,4.1
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.1,1.3,1.4,1.5,1.6,1.6,1.7,1.9,2,2.1,2.2,2.3,2.5,2.6,2.9,3.2,3.5,3.7
"102","95","    Other services","DOTSRC1",6.9,6.5,5.6,4.5,4,4.4,4.6,5.1,5.7,5.4,5.6,5.8,6.3,7.1,8.2,9.1,10,10.8,12,12.9,13.3,14.1,15.1,16,17.1,17.8,19.4,20.9,22.4,23.8,25.5,27.1,28.3,29.9,31.6,33.8,36.6,39.9,43.6,46.8,50.5
"103","96","      Communication","DCOMRC1",0.7,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.3,3.6,3.9,4.2,4.5,4.8,5.2,5.5,5.9,6.4,6.9,7.5,8.1,8.9,9.7,10.7
"104","97","        Telecommunication services (71)","DTCSRC1",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,6,6.5,7,7.7,8.3,9.3
"105","98","        Postal and delivery services (68)","DPSSRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4
"106","99","        Internet access (72)","DINTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Education services","DTEDRC1",0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.6,2.8,3.1,3.3,3.6,4,4.4,5,5.7,6.4,7.2,8.1
"108","101","        Higher education (97)","DHEDRC1",0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.6,1.8,2,2.3,2.7,3.1,3.5,3.9,4.5
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.4,1.6,1.7,1.8,2,2.2
"110","103","        Commercial and vocational schools (99)","DVEDRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.4
"111","104","      Professional and other services (121)","DPRSRC1",1.2,1.1,1,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.6,1.7,1.8,2,2.1,2.2,2.3,2.6,2.7,2.9,3,3.2,3.4,3.7,4,4.3,4.5,4.9,5.1,5.5,5.8,6.2,6.9,7.3,7.8,8.6
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1",1.8,1.7,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.7,2,2.4,2.7,2.9,3.3,3.6,3.8,3.8,3.8,4.1,4.3,4.6,4.8,5.1,5.4,5.7,5.8,6.2,6.4,6.7,7.1,7.2,7.7,8.2,8.9,9.5,10.1,10.3
"113","106","      Social services and religious activities (120)","DSOCRC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.7,1.8,2.1,2.4,2.7,3,3.3,3.6
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1",1.9,1.6,1.3,1,0.9,1,1.1,1.2,1.4,1.2,1.3,1.4,1.5,1.7,1.9,2.3,2.6,2.6,2.8,2.9,2.9,3.2,3.3,3.3,3.5,3.4,3.9,4.2,4.3,4.5,4.7,5,4.9,5,5.1,5.3,5.5,5.7,6.1,6.5,6.8
"115","108","      Net foreign travel","DFORRC1",0.5,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.1,1.2,1.2,1.4,1.6,1.6,1.8,1.8,2.4,2.2,2.4
"116","109","        Foreign travel by U.S. residents (129)","DFTRRC1",0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.3,2.6,2.8,3,3.3,3.6,4.2,4.2,4.7
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.4,1.6,1.8,1.8,2,2.3
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",1.3,1.3,1.2,1,0.9,0.9,0.9,0.9,1,1,1,1.1,1.1,1.3,1.5,1.7,1.7,2,2.1,2.3,2.4,2.5,2.6,2.9,3.1,3.3,3.5,3.9,4.2,4.5,5.1,5.3,5.5,5.7,6,6.7,7.2,7.8,8.4,9.3,10.1
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,15.1,16,17.2,18.6,20.5,22.3,24.6,27.4,30.9,34.6
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9.8,10.5,11.5,12.6,13.8,15.1,16.9,18.9,21.6,24.6
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
