"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"74","67","        Nursing homes (52)","DNRSRA3",0.894,0.989,1.045,1.043,0.993,0.973,0.998,1.012,1.043,1.095,1.134,1.174,1.189,1.267,1.34,1.373,1.392,1.482,1.49,1.581,1.688,1.801,1.838,1.98,2.091,2.23,2.379,2.562,2.721,2.958,3.28,5.677,7.095,8.35,10.316,13.516,13.578,16.137,18.77,21.9,25.895
"75","68","    Transportation services","DTRSRA3",9.376,8.269,7.305,6.393,6.406,6.796,6.956,7.786,8.203,7.819,8.426,8.995,10.03,11.05,13.711,14.898,16.014,18.891,18.482,18.409,17.522,17.008,17.609,17.82,18.274,17.699,18.276,18.782,19.122,18.844,19.585,20.222,20.469,21.234,22.159,23.372,24.561,25.979,27.36,29.107,31.055
"76","69","      Motor vehicle services","DMVSRA3",3.85,3.218,2.808,2.45,2.783,3.048,3.04,3.45,3.604,3.443,3.972,4.323,4.929,3.536,3.293,4.018,5.445,9.28,9.886,10.488,11.073,11.517,12.54,12.936,13.886,13.928,14.972,15.667,16.309,16.638,17.566,18.433,19.059,20.049,21.213,22.455,23.551,24.938,26.025,27.371,28.851
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",5.24,4.357,3.786,3.293,3.755,4.126,4.091,4.654,4.845,4.613,5.334,5.81,6.639,4.697,4.365,5.362,7.326,12.637,13.429,14.237,15.025,15.542,16.595,17.154,18.451,18.421,19.784,20.658,21.55,22.055,23.406,24.545,25.303,26.566,28.076,29.621,30.953,32.737,34.093,35.661,37.408
"78","71","        Other motor vehicle services (61)","DOVSRA3",0.874,0.765,0.694,0.622,0.684,0.73,0.763,0.851,0.913,0.895,1.014,1.098,1.229,0.982,0.928,1.074,1.361,2.078,2.269,2.421,2.565,2.799,3.551,3.61,3.822,3.96,4.281,4.548,4.664,4.651,4.728,4.989,5.273,5.623,6.002,6.51,7.009,7.486,7.929,8.676,9.476
"79","72","      Public transportation","DPUBRA3",22.523,20.371,18.093,15.852,15.074,15.765,16.329,18.163,19.21,18.293,19.064,20.144,22.184,29.483,39.514,41.756,41.847,41.674,38.585,36.708,32.139,29.332,28.906,28.672,27.93,25.906,25.35,25.385,24.999,23.31,23.601,23.697,23.097,23.36,23.747,24.871,26.238,27.693,29.681,32.263,35.185
"80","73","        Ground transportation (63)","DGRDRA3",109.262,98.836,87.772,76.773,73.012,76.231,78.842,87.593,92.685,88.157,91.652,96.369,105.903,141.56,190.329,200.695,199.302,196.24,181.144,172.216,149.298,134.305,130.033,127.27,121.936,110.743,105.823,104.196,100.443,92.402,90.649,89.594,85.455,84.128,82.537,82.841,83.501,84.571,84.263,85.729,88.141
"81","74","        Air transportation (64)","DAITRA3",0.02,0.02,0.02,0.032,0.032,0.049,0.069,0.092,0.092,0.104,0.144,0.229,0.288,0.264,0.263,0.343,0.61,0.969,0.989,0.959,1.083,1.337,1.765,2.095,2.468,2.807,3.333,3.766,4.253,4.283,5.06,5.428,5.73,6.322,7.139,8.388,9.855,11.341,13.91,16.806,19.88
"82","75","        Water transportation (65)","DWATRA3",0.294,0.198,0.161,0.175,0.131,0.151,0.149,0.168,0.168,0.149,0.151,0.143,0.156,0.113,0.131,0.126,0.151,0.139,0.143,0.131,0.124,0.113,0.113,0.113,0.124,0.119,0.124,0.131,0.131,0.131,0.139,0.132,0.146,0.162,0.158,0.17,0.185,0.242,0.344,0.393,0.452
"83","76","    Recreation services","DRCARA3",6.322,6.222,6.054,4.924,4.719,5.18,5.508,6.095,6.512,6.168,6.36,6.86,7.266,7.901,8.52,8.398,8.902,10.283,9.741,9.45,9.241,9.258,9.364,9.521,9.631,9.827,10.279,10.779,10.422,10.338,11.076,11.688,12.188,12.779,13.299,13.84,14.357,15.224,15.738,16.728,17.722
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",18.989,18.836,18.496,14.806,14.334,15.447,16.274,17.899,18.914,17.979,18.462,19.821,20.86,23.103,24.934,23.661,24.844,28.7,26.983,26.039,25.284,24.526,24.037,23.793,23.35,23.635,24.572,25.57,23.559,22.763,24.125,25.039,25.803,26.562,27.122,27.411,27.882,28.926,29.057,30.435,31.394
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",1.35,1.415,1.365,1.206,1.121,1.258,1.401,1.571,1.753,1.646,1.75,1.859,2.051,2.192,2.376,2.569,2.798,3.126,3.168,3.421,3.562,4.104,4.549,4.807,5.146,5.452,5.768,6.119,6.45,6.676,7.205,7.814,8.253,8.637,9.15,9.652,10.287,11.339,12.305,13.355,14.855
"86","79","      Gambling (91)","DGAMRA3",0.705,0.679,0.618,0.476,0.478,0.773,0.918,1.062,1.255,1.213,1.246,1.594,1.641,1.593,1.696,2.381,2.657,3.277,2.96,2.583,2.448,2.508,2.73,3.088,3.302,3.235,3.366,3.586,3.677,3.753,4.086,4.381,4.645,5.253,5.623,6.236,6.473,6.709,7.038,7.341,7.666
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",2.646,2.03,1.726,1.656,1.371,1.584,1.646,1.899,2.038,1.808,1.871,1.885,2.109,1.897,2,2.024,2.229,2.464,2.517,2.431,2.333,2.356,2.379,2.496,2.736,2.879,3.192,3.419,3.631,3.786,4.349,4.677,5.097,5.702,6.347,7.399,8.27,9.526,10.046,11.446,12.619
"88","81","    Food services and accommodations","DFSARA3",9.04,9.214,9.64,9.429,8.503,9.662,10.382,11.801,13.387,13.499,14.695,15.549,17.284,19.023,22.539,25.736,28.952,26.089,22.965,22.212,22.447,22.666,24.76,25.944,26.903,26.824,27.497,28.303,28.63,28.204,28.793,29.095,29.189,30.238,30.993,32.578,34.906,36.642,36.265,38.517,39.353
"89","82","      Food services","DFSERA3",9.45,9.674,10.202,10.041,8.994,10.215,10.973,12.509,14.258,14.391,15.719,16.629,18.527,20.503,24.324,27.827,31.33,28.056,24.335,23.615,23.936,24.175,26.47,27.754,28.786,28.657,29.361,30.189,30.458,30.013,30.574,30.788,30.84,31.837,32.479,34.116,36.479,38.255,37.632,39.944,40.765
"90","83","        Purchased meals and beverages (102)","DPMBRA3",9.02,9.251,9.825,9.686,8.6,9.807,10.544,12.066,13.781,13.943,15.271,16.129,17.691,18.799,21.091,23.035,26.138,26.02,23.131,22.562,22.896,23.145,24.884,26.024,27.115,27.088,27.898,28.778,29.053,28.649,29.349,29.617,29.597,30.582,31.273,32.951,35.258,36.778,36.024,38.489,39.381
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",28.38,28.433,27.524,26.537,26.536,28.683,30.487,33.147,36.808,35.979,37.823,40.931,54.737,82.77,130.341,177.766,194.879,100.63,69.579,63.889,63.929,63.943,82.439,88.183,88.156,84.995,82.412,81.476,81.515,79.566,74.965,73.203,75.919,77.309,76.158,76.228,80.576,91.707,95.91,92.549,90.72
"92","85","      Accommodations (104)","DACCRA3",5.126,4.944,4.685,4.23,4.15,4.753,5.126,5.571,5.835,5.796,5.966,6.341,6.763,6.618,7.579,8.213,9.01,9.737,12.136,10.953,10.375,10.43,10.822,11.172,11.525,11.875,12.302,12.918,13.709,13.437,14.247,15.26,15.698,17.182,18.905,20.075,22.155,23.593,25.368,27.16,28.161
"93","86","    Financial services and insurance","DIFSRA3",7.213,6.591,6.157,5.894,6.322,5.802,6.3,6.544,6.649,6.439,6.614,6.636,6.774,6.558,6.946,6.981,7.209,7.725,8.33,8.737,8.972,10.032,11.208,11.235,11.678,12.487,13.501,14.191,14.601,15.053,15.358,15.972,16.835,16.809,17.4,18.626,19.856,20.54,21.561,22.672,22.993
"94","87","      Financial services","DFNLRA3",6.878,5.662,4.722,4.018,4.524,3.728,3.954,4.371,4.367,3.919,3.907,3.838,3.83,3.772,4.273,4.213,4.668,5.294,5.094,5.297,5.215,5.946,6.058,6.108,6.396,7.168,7.719,7.727,7.817,8.39,8.899,9.016,9.847,9.451,9.7,10.452,11.332,11.892,13.077,13.717,13.799
"95","88","        Financial services furnished without payment (107)","DIMPRA3",7.962,7.784,7.455,7.045,6.617,6.385,6.644,6.939,7.142,7.008,7.113,7.246,7.332,7.411,7.405,7.039,7.119,8.373,8.611,8.691,8.617,8.881,9.066,9.445,9.996,10.473,10.976,11.173,11.301,11.704,11.818,12.562,12.949,13.143,13.991,14.862,15.229,15.547,16.28,17.846,19.424
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",5.085,3.456,2.392,1.752,2.423,1.693,1.839,2.185,2.1,1.66,1.61,1.488,1.446,1.351,1.947,2.04,2.595,2.783,2.358,2.602,2.526,3.453,3.507,3.332,3.411,4.421,5.02,4.855,4.914,5.65,6.514,6.079,7.312,6.425,6.232,6.862,8.106,8.853,10.416,10.303,9.18
"97","90","      Insurance","DINSRA3",9.4,9.839,10.315,10.866,11.239,11.107,12.236,12.19,12.533,12.755,13.335,13.546,14.005,13.429,13.672,13.904,13.713,14.09,16.545,17.455,18.444,20.346,24.19,24.16,24.996,25.873,28.061,30.64,31.935,31.946,31.605,33.58,34.367,35.472,36.976,39.367,41.383,42.287,42.554,44.849,45.834
"98","91","        Life insurance (110)","DLIFRA3",27.114,28.809,30.435,33.468,35.479,34.761,38.208,37.072,36.921,37.365,38.31,37.946,37.025,33.778,33.317,32.36,31.072,31.259,36.019,36.426,36.289,37.915,38.583,38.354,39.166,40.224,43.252,47.472,49.713,50.954,47.588,51.446,52.198,52.863,54.862,59.321,64.267,64.126,62.478,64.826,65.673
"99","92","        Net household insurance (111)","DFINRA3",17.446,17.612,17.575,15.603,14.413,14.893,15.621,17.169,18.091,19.105,19.852,20.083,21.632,23.734,26.372,29.738,32.569,32.839,32.698,33.612,32.907,34.904,36.49,37.347,39.474,39.878,42.206,44.413,45.904,46.908,52.604,62.091,68.385,72.823,72.244,68.775,60.762,54.055,53.96,54.925,56.871
"100","93","        Net health insurance (112)","DHINRA3",2.489,2.49,2.621,2.331,2.01,2.045,2.236,2.411,2.718,2.82,3.091,3.34,4.074,4.481,5.014,5.517,5.459,5.589,6.909,7.836,9.31,10.824,13.519,13.641,14.367,14.417,15.827,17.306,18.628,18.388,19.099,19.871,20.523,21.71,22.726,24.318,25.53,26.77,26.881,29.16,30.5
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",4.614,4.638,4.599,4.341,4.526,4.601,5.235,5.66,6.379,6.519,7.179,7.696,8.351,7.93,7.649,8.129,8.991,10.342,12.131,13.155,14.056,17.022,28.09,27.994,29.088,31.445,34.246,37.114,37.295,36.041,37.481,39.046,39.992,41.583,43.708,45.479,45.871,48.335,51.609,54.408,54.939
"102","95","    Other services","DOTSRA3",13.107,12.768,11.946,10.481,9.687,10.381,10.941,11.814,12.586,12.112,12.356,12.65,13.226,13.675,14.121,14.202,14.604,15.115,15.64,16.014,16.188,16.768,17.091,17.454,17.997,18.424,19.755,20.606,21.34,22.046,23.008,23.734,24.504,25.474,26.404,27.584,29.158,30.873,32.69,33.59,34.58
"103","96","      Communication","DCOMRA3",1.273,1.281,1.233,1.074,0.979,1.009,1.078,1.176,1.259,1.271,1.348,1.425,1.591,1.781,2.025,2.195,2.387,2.554,2.661,2.858,2.986,3.122,3.393,3.621,3.871,4.061,4.474,4.806,5.122,5.296,5.505,5.822,6.189,6.571,7.017,7.53,8.27,9.075,9.769,10.476,11.438
"104","97","        Telecommunication services (71)","DTCSRA3",1.06,1.067,1.021,0.887,0.806,0.831,0.89,0.969,1.042,1.042,1.109,1.182,1.329,1.495,1.708,1.837,1.995,2.161,2.274,2.467,2.609,2.72,2.977,3.202,3.429,3.621,4.018,4.331,4.64,4.807,5.05,5.363,5.716,6.05,6.538,7.035,7.784,8.596,9.284,10.093,11.086
"105","98","        Postal and delivery services (68)","DPSSRA3",24.049,24.211,24.11,21.445,19.814,20.436,21.403,23.604,24.775,26.256,27.388,27.682,29.866,32.589,36.101,40.665,44.557,44.966,44.723,45.853,44.98,47.71,49.897,51.02,53.977,54.571,57.665,60.734,62.764,64.084,62.245,64.029,66.979,72.489,71.819,75.787,79.527,83.778,88.263,86.724,91.1
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Education services","DTEDRA3",11.536,12.017,12.45,11.014,10.307,10.169,10.604,11.197,11.969,12.308,12.415,12.713,13.168,14.186,14.834,14.127,13.763,13.997,15.691,16.551,17.628,18.35,18.76,19.758,20.75,21.709,23.348,24.698,26.545,28.434,29.84,31.646,33.335,35.71,38.359,41.479,45.808,49.896,53.442,57.505,60.631
"108","101","        Higher education (97)","DHEDRA3",8.398,9.259,9.899,9.315,9.007,9.096,9.561,9.857,9.993,10.108,10.369,10.873,10.852,11.041,11.358,11.445,11.099,12.035,14.551,15.425,16.556,16.892,16.931,17.611,18.478,19.206,20.518,21.955,24.031,26.261,27.223,28.859,30.871,32.865,35.09,38.761,44.099,48.101,50.769,54.3,57.676
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",18.622,20.275,23.639,18.941,17.234,16.793,16.9,19.22,23.012,25.598,26.018,26.302,25.994,26.385,26.286,26.816,28.692,24.448,26.408,27.871,29.159,30.643,32.033,34.074,35.76,37.904,40.465,43.127,46.362,49.582,54.075,58.813,64.91,71.219,76.655,81.684,86.229,89.791,93.999,100.274,103.874
"110","103","        Commercial and vocational schools (99)","DVEDRA3",10.709,9.976,8.842,7.701,6.925,6.567,6.964,7.207,7.634,7.367,7.061,6.941,8.366,10.723,12.028,9.762,8.526,9.457,9.311,9.695,10.364,11.189,11.64,12.439,13.104,13.662,15.064,15.384,15.878,16.291,16.61,16.932,15.674,16.275,17.744,18.462,20.203,23.899,27.912,31.021,32.851
"111","104","      Professional and other services (121)","DPRSRA3",23.02,22.063,22.339,20.579,20.898,23.014,23.698,24.635,26.501,26.351,27.202,27.851,28.612,28.553,29.995,28.727,28.055,29.071,28.871,29.343,29.701,29.876,31.252,30.733,31.327,31.842,32.514,32.381,34.124,35.561,37.454,38.319,40.229,41.786,43.731,44.533,46.263,49.643,50.604,52.472,54.121
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",25.771,24.366,21.321,17.844,16.11,17.775,19.554,21.728,23.032,21.931,22.334,23.718,25.893,27.239,30.44,31.04,32.958,35.988,35.82,35.467,34.757,34.856,34.61,35.838,36.998,38.667,39.44,40.604,41.243,41.045,42.518,42.465,44.138,45.546,45.559,47.325,48.975,50.749,51.648,52.322,50.677
"113","106","      Social services and religious activities (120)","DSOCRA3",4.39,4.573,4.555,4.141,3.811,3.735,3.751,3.935,3.938,3.976,4.064,4.367,4.521,4.744,5.18,5.744,5.839,6.002,5.474,5.504,5.48,5.584,5.598,6.283,6.601,6.959,7.195,7.778,7.99,8.435,9.139,9.275,9.571,9.434,9.945,11.483,12.57,14.004,15.504,16.079,16.571
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",72.561,68.202,61.395,52.88,50.022,55.923,58.529,62.58,66.082,61.5,65.659,68.539,65.97,67.959,58.973,57.827,58.135,54.404,57.483,56.956,56.598,61.334,61.048,57.367,57.228,54.83,63.291,66.281,65.741,67.259,67.073,67.694,65.949,65.607,64.88,65.55,65.622,65.435,66.63,65.473,64.141
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",4.677,4.886,4.267,3.878,2.922,2.982,3.131,3.66,4.186,3.59,2.94,1.519,1.701,1.162,1.279,1.478,1.812,2.913,3.957,4.508,5.135,5.611,5.765,6.604,6.935,7.197,8.364,9.091,9.699,10.524,11.29,12.622,12.672,13.611,14.605,15.062,16.216,16.855,20.005,18.941,20.807
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",2.236,2.081,1.68,1.279,1.383,1.533,1.772,1.943,2.195,2.292,2.537,1.754,1.566,1.866,2.331,2.748,3.076,4.549,4.581,4.08,4.619,4.863,5.337,5.834,6.354,6.612,7.445,8.123,8.504,8.663,8.143,8.497,8.688,8.576,8.912,10.224,11.202,12.313,12.474,13.099,14.386
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",2.712,2.84,2.904,2.68,2.447,2.304,2.272,2.306,2.233,2.349,2.377,2.536,2.554,2.666,2.913,3.14,3.159,3.261,3.01,3.051,3.072,3.105,3.062,3.404,3.508,3.66,3.738,4.018,4.1,4.32,4.779,5.325,5.46,5.623,5.818,6.462,6.754,7.021,7.389,7.897,8.021
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.915,15.528,16.207,17.06,18.027,19.441,20.548,21.929,23.278,24.986,26.301
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.085,21.155,22.288,23.722,25.327,26.929,28.615,30.915,32.947,35.429,37.861
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
