"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"38","30","      Intellectual property products","Y067RL1",NA,24.8,50.1,69.5,82.2,48.1,27.5,34.5,19.7,25.3,72.9,74.5,86.2,42.7,16,-0.1,-15.8,-13.2,-13.4,-11.2,-9.1,-12.8,-13.6,-14.5,-40,-22.9,-20,-8.3,1.1,-4.3,4.1,17.9,20.9,44.8,30.2,31.4,28.3,45.3,47.5,15.7,29,60.8,43.8,43,39.8,14,2.1,-12.1,-10.8,-5.6,24.3,39.8,71.2,90.9,27.1,15.5,7.7,14.6,26.9,33.3,38.5,48.9,56.7,63.5,65.4,48.3,43.7,23.2,22.8,19.8,19.6,18.9,16.6,22,21.7,22.9,23.8,12.8,5.4,-4.2,-10.4,-5.9,2,9.5,14.5,10,4.9,0.3,-4.2,-4.2
"39","31","        Software","Y068RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2,-2.2,85.6,3.8,1.9,2.8,70.4,0.8,0,5511.3,-98.3,382.1,-1.6,135.4,-0.4,-58.7,396.1,24.2,20.4,0.3,43.1,158.5,15,47.8,-0.8,28,8,8.1,48.6,40.4,35.9,58.2,60.3
"40","32","        Research and development","Y069RL1",NA,24.7,50,69.9,82.1,48.3,27.2,34.7,19.6,25.3,73,74.7,86,42.7,16,-0.2,-15.7,-13.2,-13.4,-11.3,-9.2,-12.7,-13.6,-14.5,-39.9,-22.9,-19.9,-8.4,1.1,-4.3,4.1,17.9,21,44.8,30.2,31.4,28.4,45.2,47.6,15.7,29.1,60.8,43.7,43.1,39.9,14,2,-12.2,-10.8,-5.6,24.4,40.1,71.7,89.8,27.4,14.5,8.6,14.7,27.2,32.7,39,49.5,57.4,63.4,66.1,48.8,37.3,29.4,21.5,20,18.8,19.1,17.6,20.4,21.7,22.9,24.1,12.5,4.2,-4.4,-11.1,-6,1.6,9.5,14.6,9.4,4.3,-0.3,-5.3,-5.5
"41","33","State and local","A829RL1",NA,5.5,9.3,6.3,-0.9,11.3,7,9.8,17.2,24.2,17.4,7.8,10.1,3.4,0.3,0.2,-3.7,6.9,2,-0.5,1.1,8.6,-10.1,9.6,8.7,-0.6,11,9.9,15,1.6,11.4,1.9,17.5,5.3,-0.5,2.5,4.3,5.1,2,4.2,10.2,3.4,5.8,10.2,11.6,6,9,7.4,1.6,1.1,0.4,-2,6.9,10.1,6,4.6,13.5,-2.7,3.4,11.2,-2.9,2.8,5.1,4.2,7.5,3.6,11,5.6,6.1,9.3,4.4,4.3,3.6,10.6,11.7,6,4.9,3.1,4.7,10.6,4.9,2.2,1.6,7.2,7.5,8,5.9,3.4,3.7,3.4
"42","34","  Consumption expenditures","A991RL1",NA,7.1,7.3,2.1,-6.1,1.5,0.9,5.7,14,10.7,11.1,8.5,10.9,0.5,-1.6,-0.6,-2.4,0.8,2.5,2.5,-4.3,15.3,-10.9,6,7.9,-1.2,8.8,-0.2,6,2.5,8.5,3.3,13.9,2.9,3.9,4.1,-0.2,6.6,5.5,5.7,1.9,5.8,8.5,7.4,8.8,8.9,6.6,4.5,-0.6,3,4.9,5.2,6,8.9,2.7,5.7,8.8,5.9,-0.6,3.4,0.4,4.7,3.7,4.2,3.3,5.4,7.3,5.4,7.6,6.1,5.4,7.1,4.8,8.2,7.2,6.2,5.3,5.2,5.8,6.8,0.4,4.3,7.2,5.9,8.3,5,7.3,5.9,7.2,6
"43","35","  Gross investment","A799RL1",NA,-0.8,17.9,24,21.1,51.9,28.6,23.3,27,70.3,35.3,6.3,7.9,11.3,5.4,2.4,-7,22.8,0.7,-7.2,15.2,-5.7,-8.3,18.7,10.4,0.9,16.2,37.5,37.6,-0.2,18,-1.1,25.9,10.8,-9.4,-1,14.6,1.9,-4.9,0.9,30,-1.4,0.3,16.5,17.9,-0.1,14.4,14.2,6.4,-2.6,-8.7,-17.1,9,13,14.4,1.8,25.5,-20.9,14.4,32.7,-10.6,-1.8,8.5,4.2,18.5,-0.7,20.3,5.8,2.5,17.3,1.8,-2.1,0.7,16.6,23,5.4,3.8,-1.6,2.3,20.1,16.4,-2.5,-11,10.5,5.6,15.7,2.4,-2.9,-4.9,-3.1
"44","36","    Structures","A842RL1",NA,-2.6,18.8,26.3,8.6,66.7,36.1,27,33.8,70.5,34.8,4.6,11,13,7.3,4.6,-11.1,25.5,0.3,-7.5,14.1,-6.7,-9.6,20.2,10.1,0.4,17.4,41.4,37.2,0,19.1,-1.8,30.5,10.8,-9.7,0.2,12.1,0.8,-6.4,0.4,27.8,-3.2,-0.8,17.2,22.4,-0.6,15.4,15,6.1,-3.4,-10,-19.4,7.3,13.3,15.4,1.3,29,-23.5,15.5,36.4,-13,-2.5,9,4,16.9,-2,21.4,5.3,0.8,18.1,0.9,-3.7,1.1,17.3,24.5,4.9,3.3,-3.3,1.2,21.4,18.7,-3.6,-12.4,11.7,5.7,17,1.4,-4.2,-6.2,-4.4
"45","37","    Equipment","Y070RL1",NA,15.1,14.6,10.6,180.5,-20.4,-19.1,-5.3,-23.9,76.7,44,24.6,-19.8,-5.9,-14.3,-20.9,53.8,-1.8,5.3,-5,29.4,4.5,4.2,4,13.4,4.6,3.1,1.1,44.7,-4.6,7.5,6.2,-16.6,11,-7.8,-15.5,52.8,15.5,13.1,5.5,60.7,18,12.4,9.7,-21.1,5.2,3.9,6,10.4,6.2,5.1,9,27.6,7.7,4.7,6.2,-4.2,7.8,3,1,18.1,3.9,2.8,4,36.9,9.4,9.9,9.5,20.2,11.4,11.1,12.8,-4.7,10.2,9.8,7.9,6.4,13.4,11,8.4,-4.6,7.3,1.4,-1.1,4.6,4.3,12.2,8.9,5.6,7.6
"46","38","    Intellectual property products","Y071RL1",NA,-2.5,-0.5,0.5,2,4.6,7.7,10.7,13,12.6,11.7,10.9,10.6,9,7.5,6.1,4.8,5.5,5.9,7,7.6,8.6,9.2,9.8,10.3,12.9,15,17.2,19.2,15.8,12.1,9.5,6.7,6.3,5.5,4.6,4.3,5.5,7.5,9.1,10.4,10.4,9.9,9.6,9.4,8.1,7.3,6.3,5.2,6.4,7.5,8.5,17,24.6,13.7,13.8,7.4,9.6,11.5,13.5,9.4,9.9,14.3,18,19.5,20,20.4,14.2,10.6,9.4,7,7.5,14,15.5,17.7,17.2,15.4,17.6,15.8,18,12.7,9.3,5.5,8,6.1,8.5,7.4,7.7,10.5,11.7
"47","39","      Software","Y072RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26874.2,3765.8,102.4,84.8,-27.9,-1.6,32.8,67.1,-1.3,0,59.7,120,120.2,119.6,116.7,44,19.7,8.3,-9.9,-9.7,37.2,46.9,61.1,52.1,36.8,44.6,27.1,35.3,4.9,-3.1,-13.9,5.1,3,17,11.6,14.8,31.6,33.9
"48","40","      Research and development","Y073RL1",NA,-2.5,-0.8,0.4,2.1,4.9,7.6,10.5,13,12.6,11.6,11.1,10.4,8.9,7.6,6.1,4.8,5.4,6.2,6.9,7.7,8.6,9.2,9.9,10.3,12.8,15.1,17.1,19.2,15.6,12.3,9.4,6.8,6.1,5.4,4.8,4.1,5.8,7.3,9,10.5,10.3,9.9,9.7,9.4,8.3,7.2,6.2,5.2,6.4,7.4,8.5,9.5,9.8,9.9,10.2,10.3,10.2,10.3,10.3,10.2,10.8,11.4,11.9,12.5,11.6,10.8,9.9,9.2,9.6,10,10.4,10.7,11,11.2,11.3,11.4,12.3,13.2,14,14.8,12.6,10.6,8.6,6.9,6.6,6.4,6.1,5.9,6.7
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
