"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"37","27","      Structures","A009RS2",NA,0.15,0.43,0.39,0.26,0.29,0.29,0.06,-0.32,-0.28,-0.16,-0.07,-0.14,-0.1,0.27,0.61,0.67,0.38,0.22,0.07,0.01,-0.12,-0.07,0.02,0.07,0.18,0.15,-0.08,-0.29,-0.22,-0.04,-0.01,0.02,0.13,0.24,0.4,0.78,0.06,0.51,0.21,0.19,0.21,0.09,-0.05,-0.45,0.09,0.05,0.04,-0.09,0.09,0.06,0.01,0.05,-0.09,-0.07,-0.1,0,0.03,0.02,0.05,0.02,0.05,-0.01,0.04,0.04,0.03,0.04,0.01,-0.02,0.16,0.02,0.22,0.03,0.11,0.04,0.31,-0.03,0.34,0.02,0.2,0.06,0.08,0.1,0.21,0.21,0.18,0.11,0.36,0.2,0.24
"38","28","      Equipment","Y033RS2",NA,1.09,0.59,0.27,-0.11,0.79,1.06,0.45,-0.06,0.11,-0.11,-0.33,-0.04,0.33,0.51,0.74,0.83,0.31,0.11,0.27,0.03,0.09,-0.12,-0.05,-0.06,0.07,0.09,-0.05,0.34,0.31,-0.29,0.01,-0.21,0.07,0.37,0.46,0.41,0.36,0.56,0.36,0.45,0,0.19,0.36,-0.03,0.13,0.03,0.05,0.17,0.15,0.12,0.05,-0.04,0.1,0.03,-0.04,-0.07,-0.07,-0.06,-0.03,0.01,0.02,0.02,-0.07,-0.02,-0.04,-0.01,-0.01,0.02,0.02,-0.01,-0.02,0.03,-0.01,0.09,-0.08,0,0.1,0.09,0.2,0.14,0.14,0.17,0.19,0.11,0.23,0.22,0.28,0.12,0.15
"39","29","        Information processing equipment","Y034RS2",NA,0.1,0.06,0.02,-0.03,0.02,0.03,0.01,0,-0.02,-0.01,0.02,0.02,-0.03,0.03,0.05,0.09,0.02,0.02,-0.02,0.02,-0.03,-0.08,-0.04,0.03,0.02,0.01,0.01,-0.04,0.03,0,0.07,-0.01,-0.04,-0.01,0.02,0.08,-0.12,0.19,-0.04,0.09,-0.02,-0.01,0.15,-0.07,0.02,0,0,0,0.01,0.02,0.01,-0.03,0.01,-0.03,-0.03,-0.03,0.01,-0.06,0.01,-0.02,0,-0.03,-0.04,-0.03,-0.01,-0.02,-0.03,-0.01,-0.01,-0.04,0,-0.02,-0.06,0.04,-0.1,-0.04,-0.05,-0.07,-0.04,-0.02,-0.01,0.01,-0.01,-0.02,0,0,0.03,0.01,0
"40","30","          Computers and peripheral equipment","B935RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-0.02,0.03,-0.01,-0.02,-0.03,0.02,-0.06,0.01,-0.02,0.01,-0.04,-0.04,-0.04,-0.02,-0.02,-0.02,-0.01,-0.02,-0.06,-0.03,0,-0.07,0.04,-0.1,-0.05,-0.07,-0.09,-0.06,-0.05,-0.03,-0.01,-0.03,-0.05,-0.04,-0.04,-0.01,-0.01,-0.02
"41","31","          Other","A937RS2",NA,0.1,0.06,0.02,-0.03,0.02,0.03,0.01,0,-0.02,-0.01,0.02,0.02,-0.03,0.03,0.05,0.09,0.02,0.02,-0.02,0.02,-0.03,-0.08,-0.04,0.03,0.02,0.01,0.01,-0.04,0.03,0,0.07,-0.01,-0.04,-0.01,0.02,0.08,-0.12,0.19,-0.04,0.09,-0.02,-0.01,0.15,-0.07,0.02,0.01,0,0,0.02,0.02,0.02,-0.01,-0.02,-0.02,-0.01,0,0,0,0,0,-0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.03,-0.02,0,0,0,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.02,0.02
"42","32","        Industrial equipment","A680RS2",NA,0.36,0.16,0.23,-0.07,0.14,0.33,0.21,0.04,-0.03,-0.06,-0.11,0.05,0.08,0.24,0.3,0.44,0.03,-0.04,0.06,-0.09,0.14,-0.07,0.02,0.04,0.1,0.06,-0.01,0.13,-0.02,-0.1,0.01,0.09,0.05,0.1,0.26,0.12,0.27,0.14,0.24,0.16,0,0.15,0.15,-0.05,0.04,0.02,0.02,0.04,0.07,0.07,0.04,0.03,0.01,0,-0.02,-0.02,-0.03,-0.01,0,0.01,0.03,0.03,0.01,-0.01,-0.01,0,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.06,0.1,0.12,0.11,0.09,0.08,0.08,0.08,0.11,0.1,0.1,0.04,0.03
"43","33","        Transportation equipment","A681RS2",NA,0.12,0.13,0.19,0.05,0.12,0.36,0.26,-0.04,0.01,-0.08,0.01,0,0.08,0.03,0.13,0.19,0.13,0.15,0.16,0.13,0.05,-0.02,-0.06,-0.11,-0.13,-0.03,-0.1,0.24,0.26,-0.16,0.02,-0.32,0.05,0.18,0.03,0.28,0.15,0.14,0.09,0.14,-0.01,-0.03,-0.11,0.14,0.06,0.01,0.02,0.08,0.01,-0.01,0,-0.06,0.05,0.03,-0.02,0,-0.03,0,-0.04,0,-0.03,0.02,-0.04,0.01,-0.02,0,-0.03,-0.02,0,0,-0.02,-0.01,0.02,0,-0.04,-0.02,0.03,0.02,0.04,-0.01,0.02,0.05,0.08,0.02,0.06,0.05,0.09,0,0.06
"44","34","        Other equipment","A862RS2",NA,0.51,0.25,-0.17,-0.07,0.51,0.33,-0.03,-0.05,0.14,0.03,-0.24,-0.1,0.2,0.2,0.25,0.1,0.13,-0.01,0.07,-0.02,-0.07,0.04,0.03,-0.02,0.07,0.05,0.05,0.01,0.04,-0.02,-0.09,0.03,0,0.1,0.14,-0.06,0.05,0.1,0.07,0.06,0.02,0.08,0.17,-0.05,0.01,0,0.01,0.05,0.05,0.03,-0.01,0.02,0.04,0.02,0.03,-0.02,-0.02,0.01,0,0.03,0.02,0,-0.01,0.02,0,0.02,0.03,0.02,0.01,0,-0.03,0.04,0,0.03,0.03,0.03,0.06,0.05,0.08,0.06,0.04,0.03,0.04,0.04,0.06,0.07,0.06,0.06,0.06
"45","35","      Intellectual property products","Y001RS2",NA,0.04,0.07,0.08,0.01,0.05,0.04,-0.02,0,-0.02,-0.01,0,0,0.03,0.07,0.07,0.04,0.04,0.02,0.02,-0.01,0,0.01,0.01,0.03,0.01,0.01,0,0.02,-0.01,0,0,0.06,0.01,0.02,0.03,0.06,0.05,0.05,0.03,0.05,0.03,0.03,0.01,0.06,0.02,0.02,0.02,0,0.04,0.04,0.03,0.01,0,0.01,0.01,0,0.01,0.02,0.01,0,0.01,0,0,-0.02,0.01,0.02,0.03,0.02,0.03,0.02,0,0,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.03,0.04,0.06,0.08,0.05,0.05,0.07,0.09,0.07
"46","36","        Software \1\","B985RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","37","        Research and development","Y006RS2",NA,0.01,0.03,0.04,0.05,0.03,0.01,-0.01,-0.02,-0.02,-0.01,0,0.01,0.02,0.03,0.04,0.05,0.03,0.02,0.01,-0.01,0,0,0.01,0.01,0.01,0,0,-0.01,-0.01,0,0.01,0.01,0.01,0.02,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0.01,0.01,0.01,0,-0.01,-0.01,-0.01,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04
"48","38","        Entertainment, literary, and artistic originals","Y020RS2",NA,0.02,0.05,0.04,-0.04,0.02,0.03,-0.01,0.02,0,0,-0.01,-0.02,0.01,0.03,0.03,-0.02,0.01,0,0.02,0,0,0.01,0,0.02,0.01,0.01,0,0.03,0,0,-0.01,0.05,0,0.01,0,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0,0.05,0.01,0,0,-0.02,0.03,0.03,0.02,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0,0.01,0,0.01,-0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.03,0.03,0.04,0.05,0.02,0.02,0.03,0.04,0.03
"49","39","    Residential","A011RS2",NA,1,0.45,0.61,0.49,0.3,0.57,0.1,0.13,-0.06,-0.57,-0.01,-0.06,0.63,1.1,-0.03,0.94,0.3,0.13,0.2,0.11,0.18,0.19,-0.13,0.01,0.02,0.16,-0.09,-0.12,0.05,0.25,0.01,0.13,0.23,0.19,0.05,0.22,0.36,0.06,-0.08,-0.05,0.06,0.13,-0.07,-0.09,0.02,0,0.02,0.04,0.02,-0.01,0.02,0.06,0.08,0,0.02,-0.06,0.08,0.01,-0.02,0.04,0,-0.01,-0.03,0.01,-0.08,-0.24,0.14,-0.2,0.34,0.06,0.43,-0.03,0.02,0,0.51,-0.24,0.64,-0.1,0.33,0.02,0.04,0.09,0.31,0.31,0.16,0.01,0.68,0.37,0.26
"50","40","  Change in private inventories","A014RS2",NA,0.04,0.37,-0.63,0.12,0.02,0.01,-0.28,-0.02,0.04,0.11,0.02,-0.02,-0.01,0.12,0.49,0.7,0.21,-0.17,0.01,-0.03,-0.03,0.01,-0.08,-0.04,0.01,0.02,-0.01,0.03,-0.01,-0.03,-0.01,0.01,0.02,0.04,0.05,0.06,0.02,0.04,0.01,0.03,0,0.01,0.01,0.04,0.04,-0.01,-0.01,-0.13,-0.01,-0.01,0,0.01,-0.01,-0.01,0,0.01,-0.03,0,0,-0.01,-0.02,0,-0.01,-0.02,-0.03,-0.01,0.01,0,-0.02,0.01,-0.01,0,0.01,0,0.02,0.02,0.01,0.01,0.04,0.02,-0.01,-0.02,0.04,0.02,0.03,0.01,0.01,0.01,0.03
"51","41","    Farm","B018RS2",NA,-0.01,0.33,-0.65,0.03,-0.01,-0.01,-0.28,0.01,0.01,0.03,0,0,-0.01,0.01,0.07,0.14,-0.01,-0.06,0.05,-0.03,-0.02,0.01,-0.07,-0.04,-0.01,0,-0.01,0.03,-0.02,-0.01,0,0,0,0.01,0.01,0,-0.04,0,0,0.01,0,0.01,0.01,0.05,0.04,-0.01,-0.01,0,-0.01,0,0.02,0.01,0.01,-0.01,0.01,0,-0.01,0.01,0.01,0,0,0,0,-0.01,-0.01,0,0.01,0,0.01,0,0,0,0.01,-0.01,0.02,0.01,0,-0.01,0.01,0,-0.01,-0.01,0.01,0.01,0.03,0,-0.01,0,0.02
"52","42","    Nonfarm","A015RS2",NA,0.05,0.03,0.02,0.09,0.03,0.02,0,-0.03,0.02,0.08,0.02,-0.02,-0.01,0.11,0.42,0.56,0.23,-0.11,-0.04,0,-0.01,0,-0.02,0,0.02,0.02,0,0.01,0,-0.02,-0.01,0,0.01,0.03,0.04,0.06,0.05,0.03,0.01,0.02,0,0,0,-0.01,0,0,0,-0.13,0,-0.01,-0.01,0,-0.01,0,-0.01,0.01,-0.02,0,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.03,0,0.01,0,-0.03,0.01,0,0,0,0,0,0.01,0.01,0.02,0.03,0.02,0,-0.01,0.03,0.01,0,0.01,0.02,0.02,0.01
"53","43","Government consumption expenditures and gross investment","A822RS2",NA,-0.11,-1.26,0.96,1.23,0.87,1.37,0.41,0.99,-0.58,-0.81,0.67,-0.46,-0.43,1.22,0.49,3.2,-0.59,0.58,1.27,-0.97,1.2,1.1,1,-0.66,0.1,-0.34,0.34,0.52,0.92,0.56,0.72,0.44,1.43,0.85,0.92,1.36,1.29,0.78,0.51,1.55,0.91,0.58,0.68,0.59,0.87,0.72,0.53,0.6,0.01,0.02,0.13,0.32,0.14,0.9,0.85,0.07,0.58,0.03,0.53,0.7,0.44,0.29,0.34,1.42,0.18,-0.39,1.66,0.68,0.25,0.92,0.11,0.62,0.5,0.91,1.4,0.62,0.65,1.43,0.47,0.39,0.99,1.09,1.52,1.21,1.21,1.33,1.62,0.73,1.6
"54","44","  Federal","A823RS2",NA,-0.51,-1.78,0.15,0.34,0.33,0.43,-0.02,1.28,-0.11,-0.74,0.92,-0.07,-0.59,0.4,-0.31,2.21,-1.06,0.08,0.93,-0.99,0.88,0.57,1.04,-0.93,0.21,-0.31,0.43,0.64,0.27,0.39,0.54,0.65,1.32,0.37,0.57,0.7,0.89,0.26,0.22,1.24,0.44,0.42,0.68,0.61,0.54,0.54,0.45,0.11,0,0.05,0.1,-0.02,-0.02,0.71,0.67,-0.18,0.2,-0.21,0.28,0.3,0.34,0.26,0.1,1.06,-0.04,-0.47,1.35,0.54,0.07,0.74,-0.08,0.17,0.26,0.56,1.1,0.09,0.02,0.93,0.02,-0.17,0.62,0.51,1,0.46,0.61,0.9,0.76,0.09,0.73
"55","45","    National defense","A824RS2",NA,-0.19,-2.85,-0.01,0.74,0.46,0.44,0.07,0.54,-0.16,-0.28,0.45,0.02,-0.25,0.62,0.1,1.11,-0.76,0.07,0.85,-1.24,0.78,0.5,0.94,-0.95,0.18,-0.41,0.36,0.74,0.17,0.48,0.5,0.44,1.2,0.59,0.55,0.69,0.75,0.25,0.23,1.09,0.29,0.4,0.55,0.57,0.4,0.58,0.3,-0.19,0.01,0.16,0.11,0.01,-0.01,0.47,0.61,-0.22,0.17,-0.22,0.22,0.22,0.3,0.24,-0.15,1.1,-0.05,-0.51,1.25,0.36,-0.08,0.55,-0.09,0.13,0.25,0.5,0.95,-0.03,0.01,0.86,-0.06,-0.17,0.55,0.48,0.92,0.25,0.5,0.73,0.58,0.04,0.61
"56","46","      Consumption expenditures","A997RS2",NA,-0.19,-2.89,-0.06,0.72,0.41,0.31,0.06,0.45,-0.04,-0.24,0.44,-0.01,-0.26,0.56,-0.16,0.92,-0.93,-0.03,0.6,-1.15,0.81,0.38,0.87,-0.63,0.25,-0.32,0.46,0.7,0.14,0.25,0.31,0.57,1.09,0.43,0.35,0.37,0.6,0.1,0.14,0.84,0.23,0.26,0.45,0.65,0.36,0.43,0.2,-0.22,-0.02,0.11,0.07,0.07,-0.02,0.39,0.6,-0.23,0.11,-0.22,0.09,0.31,0.27,0.11,-0.26,1.2,-0.1,-0.47,1.23,0.36,-0.1,0.55,-0.1,0.19,0.17,0.51,0.92,0,-0.1,0.86,-0.11,-0.13,0.48,0.42,0.84,0.23,0.43,0.66,0.45,-0.04,0.44
"57","47","      Gross investment","A788RS2",NA,0,0.05,0.06,0.02,0.05,0.13,0.01,0.08,-0.12,-0.04,0.01,0.03,0.01,0.05,0.26,0.18,0.16,0.1,0.25,-0.09,-0.03,0.12,0.07,-0.32,-0.07,-0.09,-0.1,0.04,0.02,0.23,0.19,-0.13,0.12,0.16,0.2,0.32,0.15,0.15,0.1,0.24,0.06,0.14,0.1,-0.07,0.04,0.15,0.1,0.03,0.03,0.05,0.03,-0.06,0.01,0.08,0.01,0.01,0.06,0,0.13,-0.09,0.04,0.13,0.12,-0.1,0.05,-0.04,0.02,-0.01,0.02,0,0.01,-0.05,0.08,-0.01,0.04,-0.03,0.11,0,0.06,-0.04,0.07,0.07,0.08,0.01,0.07,0.06,0.12,0.07,0.18
"58","48","    Nondefense","A825RS2",NA,-0.32,1.06,0.16,-0.4,-0.13,-0.01,-0.08,0.74,0.05,-0.47,0.47,-0.09,-0.34,-0.21,-0.41,1.1,-0.29,0,0.08,0.25,0.1,0.07,0.1,0.02,0.03,0.11,0.07,-0.1,0.11,-0.08,0.04,0.22,0.12,-0.22,0.02,0.01,0.14,0,-0.01,0.15,0.15,0.01,0.12,0.04,0.14,-0.05,0.15,0.3,-0.02,-0.11,-0.01,-0.03,-0.01,0.25,0.06,0.04,0.03,0.01,0.05,0.08,0.03,0.02,0.25,-0.04,0.01,0.03,0.1,0.18,0.15,0.19,0.01,0.04,0.01,0.06,0.15,0.12,0.01,0.07,0.08,0.01,0.07,0.03,0.07,0.22,0.11,0.18,0.19,0.06,0.11
"59","49","      Consumption expenditures","A542RS2",NA,-0.34,0.88,0.23,-0.39,-0.15,-0.09,-0.08,0.69,0,-0.12,0.27,0.01,-0.29,-0.23,-0.48,1.02,-0.33,-0.06,0.11,0.22,0.05,0.03,0.1,0,0.07,0.08,0.1,-0.1,0.13,-0.09,0.06,0.22,0.11,-0.23,0.01,0,0.12,-0.02,-0.02,0.14,0.11,-0.01,0.11,0.09,0.11,-0.06,0.14,0.27,-0.03,-0.11,0,-0.04,-0.02,0.23,0.06,0.05,0.02,0,0.04,0.06,0.02,0.02,0.24,-0.05,0,0.03,0.07,0.16,0.11,0.19,0.02,0.05,0.02,0.05,0.14,0.09,-0.02,0.05,0.05,-0.01,0.05,0,0.05,0.16,0.07,0.13,0.14,0.01,0.06
"60","50","      Gross investment","A798RS2",NA,0.02,0.18,-0.07,-0.01,0.02,0.08,0,0.06,0.05,-0.35,0.2,-0.1,-0.05,0.02,0.07,0.08,0.03,0.06,-0.03,0.03,0.05,0.03,0,0.02,-0.04,0.03,-0.03,-0.01,-0.02,0.01,-0.02,-0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.04,0.03,0.01,-0.05,0.02,0.01,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0,-0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.03,0.03,0.04,0,-0.01,-0.01,-0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.05,0.04,0.04,0.05,0.05,0.06
"61","51","  State and local","A829RS2",NA,0.4,0.52,0.8,0.89,0.53,0.94,0.42,-0.28,-0.47,-0.07,-0.25,-0.39,0.16,0.81,0.81,1,0.47,0.5,0.35,0.02,0.31,0.53,-0.04,0.27,-0.11,-0.04,-0.09,-0.12,0.65,0.16,0.17,-0.22,0.11,0.48,0.35,0.67,0.4,0.52,0.29,0.31,0.47,0.16,0,-0.02,0.33,0.18,0.08,0.49,0.01,-0.03,0.03,0.34,0.16,0.19,0.18,0.25,0.38,0.24,0.26,0.4,0.1,0.03,0.24,0.36,0.22,0.08,0.3,0.14,0.18,0.18,0.19,0.45,0.24,0.35,0.3,0.53,0.63,0.5,0.45,0.56,0.37,0.58,0.53,0.75,0.59,0.43,0.86,0.64,0.87
"62","52","      Consumption expenditures","A991RS2",NA,0.32,0.36,0.64,0.72,0.39,0.76,0.39,-0.21,-0.3,0.06,-0.13,-0.01,0.2,0.53,0.43,0.53,0.22,0.34,0.29,0.12,0.2,0.35,0.14,0.18,0.01,-0.04,0.14,0.1,0.37,0.28,0.11,0.05,0.09,0.12,0.22,0.4,0.15,0.3,0.21,0.26,0.3,0.17,0.14,0.24,0.21,0.07,0.09,0.42,0.12,0.04,0.1,0.37,0.17,0.18,0.18,0.25,0.37,0.24,0.23,0.31,0.03,0.01,0.18,0.34,0.18,0.06,0.24,0.12,0.16,0.16,0.15,0.34,0.14,0.28,0.21,0.46,0.4,0.41,0.33,0.5,0.37,0.44,0.42,0.5,0.5,0.43,0.58,0.41,0.6
"63","53","      Gross investment","A799RS2",NA,0.08,0.16,0.16,0.17,0.14,0.18,0.03,-0.07,-0.17,-0.13,-0.11,-0.38,-0.04,0.28,0.37,0.47,0.24,0.16,0.06,-0.11,0.11,0.18,-0.18,0.08,-0.12,0,-0.23,-0.22,0.27,-0.11,0.06,-0.27,0.03,0.36,0.13,0.27,0.25,0.22,0.08,0.05,0.17,-0.01,-0.14,-0.26,0.13,0.11,-0.01,0.07,-0.11,-0.07,-0.06,-0.03,0,0,0,0,0.01,0.01,0.03,0.09,0.07,0.02,0.06,0.02,0.05,0.02,0.06,0.02,0.03,0.02,0.03,0.1,0.1,0.07,0.08,0.07,0.23,0.09,0.13,0.06,0.01,0.14,0.1,0.24,0.1,0,0.28,0.23,0.27
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","54","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","56","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","57","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","58","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
