"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"75","68","Health","G160661",12.9,16.1,17.9,21.9,24.1,29.4,34.7,40.2,45.1,50.6,57.6,67.6,79.3,88.2,98.1,108.6,117.3,126.1,135.7,146.9,164.7,185.1,211.9,241.7,267.5,287.8,314.3,335.7,353.5,360.7,371.2,393.6,445.8,481.1,519.9,561.6,602.3,667.9,715.3,768.1,873.5,921.6,925.9,946.2,977.7
"76","69","Recreation and culture","G160671",0.4,0.4,0.5,0.6,0.7,0.9,1,1.2,1.2,1.4,1.4,1.7,1.8,1.5,1.4,2.1,1.6,1.7,1.6,1.7,1.7,1.9,2.1,2.2,2.4,2.5,2.5,2.7,2.6,2.8,2.7,3.1,3.3,4,4.2,4.6,4.7,4.8,4.8,5.1,5.3,5.8,5.5,5.6,5.5
"77","70","Education","G160681",4.7,6,6.8,8,8,9.7,12.6,11.3,11.6,12.2,13.7,15.2,16.3,15,15.3,16.1,16.9,16.7,16.3,18.2,21.1,21.4,23.2,26,29,29.6,30.2,31.8,32.4,35.4,38.4,39.6,45.2,51.4,58.1,64.1,66.7,69,67.9,75.1,104.8,134,130,110.5,103.2
"78","71","  Elementary and secondary","G160691",1.9,2.2,2.4,3,2.7,3.5,4.1,3.2,4,4.5,5.4,5.8,5.7,5.6,4.9,6.6,6.6,6.6,6.2,7.4,8.4,8.6,9.6,10.6,11.4,11.7,11.2,12.9,12.8,14.3,16.2,17.1,19.6,22.6,28.6,33.4,34.6,35.3,34.3,36.6,56.5,66,55.4,40.3,38.5
"79","72","  Higher","G160701",0.9,1.2,1.3,1.3,1.2,1.3,1.8,2.5,3,3.2,4.1,5.5,6.6,5.7,6.8,6.4,7,6.8,6.9,7.6,9.5,9.3,9.5,10.3,11.9,11.3,12,11.8,12.4,13.9,14.8,14.1,16.1,18.5,19,20.1,20.7,21.2,21.9,26.3,34.4,46,48.6,43.7,39
"80","73","  Other","G160711",1.9,2.6,3.1,3.7,4.1,4.9,6.7,5.6,4.6,4.4,4.2,3.9,3.9,3.7,3.6,3.2,3.3,3.3,3.3,3.2,3.2,3.5,4.2,5,5.7,6.6,7,7.1,7.2,7.3,7.4,8.5,9.4,10.3,10.5,10.7,11.4,12.5,11.7,12.2,13.9,22,25.9,26.5,25.6
"81","74","Income security","G160721",43.3,53.2,64.3,71.8,80.5,96,124.1,134.3,142.2,151.2,167.7,201.4,225.2,250.4,266,266.9,278.9,292.8,299.5,316.3,337.8,367.7,406.9,451.9,471.6,488.4,506,524.3,537.7,552.4,574.8,604.3,645.9,711.3,747.7,772,811.1,853.3,894.3,992.2,1167.3,1238,1225.6,1246.4,1274
"82","75","  Disability","G160731",8,9.1,10.6,12,14,15.9,18.1,20.5,22.8,24.5,27.4,30.1,33.1,34.4,35.2,35.6,36.9,37.9,38.7,40.2,41.9,44.4,47.3,51.1,57.3,59.4,62.9,67.9,70.8,73.5,75.7,80.7,89.7,98.8,104.7,115,125.8,133.8,142.5,150.6,167.6,180.9,190.9,205.4,218.4
"83","76","  Retirement \5\","G160741",25.8,30.7,35.6,39.6,48.5,54.6,61.9,69.3,76.9,84.4,94.9,109.8,129,144.6,155.5,163.9,173.5,183.2,190.2,202.3,215,230.2,247.9,262.4,273.5,286.4,299.6,309.6,322.7,334.1,343.1,361.5,378.4,394.7,408.4,422.6,441.5,467.9,495.4,521,581.5,586.4,605.8,647,677.7
"84","77","  Welfare and social services","G160751",6,7.9,10.8,12.8,11.6,16.6,22.4,24.6,25.7,28.4,31,37.4,40,40,42.6,45.1,46.3,48.2,49.1,52.3,56.1,63.2,72.9,82.5,87.4,93.2,95.6,95.5,94.4,93.9,96.8,100.3,107.7,118.5,129.9,130.4,137.3,139.4,145.6,172.2,187.8,207.5,209.8,213.1,214.7
"85","78","  Unemployment","G160761",2.9,4.8,6.7,6.7,5.2,7.8,18.9,17.6,14.5,11.6,11.8,20.4,18.9,27.6,28.8,18.4,18.5,19.3,17.4,16.1,17.2,21.3,30.3,43.1,38.3,27.4,25.4,26,23.7,23.5,24.4,24,36,57.8,57.1,41.6,35.4,34.4,36.7,55.7,145.5,155,112,88.6,66.6
"86","79","  Other","G160771",0.5,0.7,0.6,0.7,1.1,1.1,2.7,2.3,2.4,2.3,2.5,3.7,4.1,3.8,3.8,3.9,3.6,4.2,4.1,5.4,7.5,8.6,8.5,12.8,15.1,22.1,22.5,25.2,26.2,27.4,34.8,37.7,34,41.5,47.6,62.4,71.1,77.8,73.9,92.8,84.9,108.2,107.2,92.3,96.6
"87","80","      State and local","W024RC1",100.2,115.9,133,148.5,163.1,184.1,213.3,229.1,249.5,271.9,297.6,329.9,362.9,393.2,423.6,454.7,496.7,536.4,572.9,612.9,673.4,736,804.6,873.1,914.3,961,1011.4,1045,1084.1,1133.3,1212.6,1293.2,1417.9,1509.4,1596,1683.4,1775.4,1850.3,1973.3,2074.1,2191.2,2235.8,2246.4,2293.8,2350.8
"88","81","General public service","G160791",14.9,17.2,20,23.2,26,30.6,36.3,38.4,42.8,46.7,51.1,56.3,62.1,70,79.5,85.9,95.8,103.7,109.1,113.4,125.3,128.8,137.5,149.8,150.8,154.2,161.2,159.1,162,160.9,165.1,165.2,186.5,212.1,246.9,247.4,259.5,279.4,286.1,299.7,364.9,368.6,364.5,382.4,382.4
"89","82","  Executive and legislative","G160801",1.4,1.5,1.7,1.9,2.2,2.6,2.9,3,3.2,3.6,4,4.5,5.1,5.7,5.9,6.1,6.6,7.2,7.8,8.4,9.2,10.3,11,11.5,11.8,12.6,13.3,14,14.9,16.1,17.6,18.8,20.3,21.9,23.5,25.7,26.6,29.3,32,33.4,33.2,32.7,32.9,33.7,34.1
"90","83","  Tax collection and financial management","G160811",3.1,3.4,3.4,3.7,3.8,4.4,5.5,5.4,6.2,6.7,6.9,7.1,7.4,9,11,11.3,14.6,15.3,15.1,16.4,17.3,17.7,18.5,20,20.8,22.3,22.9,22.9,23.9,25.5,27.4,27.9,28.4,29.2,30.1,30.8,31.4,31,31.7,36.7,36.7,36.4,35.1,34.9,36.9
"91","84","  Interest payments","G160821",6.6,7.7,9.4,11.1,12.2,14.2,16.7,17.6,19.2,21,23.5,25.6,29.3,34.2,39.5,43.2,47.3,51.8,53.5,55.1,62.3,61.8,67.6,73.6,72.2,71.8,76.6,72.4,70.2,61.4,57.8,52.1,65.4,84.4,115.2,110.5,111.8,120.1,121.5,127,188.8,192.1,190.7,206.6,200.3
"92","85","  Other \7\","G160831",3.9,4.5,5.4,6.6,7.8,9.4,11.2,12.4,14.2,15.4,16.8,19,20.4,21.2,23.2,25.3,27.3,29.5,32.7,33.5,36.5,39,40.5,44.7,45.9,47.5,48.4,49.9,53,57.9,62.3,66.4,72.3,76.5,78.1,80.4,89.7,99,100.8,102.5,106.2,107.4,105.8,107.2,111.1
"93","86","Public order and safety","G160841",9.8,11.1,12.8,14.2,15.7,17.8,20.3,21.9,24,26.6,29.4,32.7,36.9,41.3,44.9,48.6,53.9,58.7,63.6,69.5,78,86.7,94.5,103.6,110.3,118.5,126.7,134.6,142.5,152.1,165.2,177.7,192.3,203.2,209.2,221.3,232.6,246,263,278.1,281.8,283.6,287.1,292.8,305.2
"94","87","  Police","G160851",4.8,5.4,6.2,6.9,7.6,8.6,9.7,10.3,11.3,12.4,13.6,14.9,16.7,18.5,19.8,21.1,23.1,24.8,26.4,28.4,31.4,34.5,37.6,41.2,43,45.9,49.4,52.6,55.6,59.1,63.9,68,73.7,78.5,81.2,86.3,90.4,95.5,102.5,108.4,110.1,113.2,115.7,119.1,124.9
"95","88","  Fire","G160861",2.2,2.5,2.8,3,3.3,3.6,4.2,4.4,4.7,5.2,5.7,6.2,7,7.7,8.4,9,9.8,10.7,11.6,12.1,13.4,14.5,15.5,17.3,17.9,18.9,19.6,20.5,21.4,22.8,24.5,26.6,28.2,30.4,31.6,34.4,36.7,39.2,42.2,45.2,46.7,47.5,48.6,50.5,55.8
"96","89","  Law courts","G160871",1.4,1.6,1.9,2.1,2.4,2.7,3.1,3.3,3.6,4.1,4.7,5.4,6,6.7,7.2,7.7,8.4,9,9.7,11,12.4,13.9,15.2,16.5,18.7,20,21.2,22.3,23.8,26,28.5,30.8,33.6,35.4,36.2,38,39.8,41.6,43.7,46.1,46.6,46.4,46.4,46.6,46.4
"97","90","  Prisons","G160881",1.4,1.6,1.9,2.1,2.5,2.9,3.4,3.8,4.3,4.8,5.5,6.2,7.2,8.4,9.6,10.9,12.6,14.1,16,18,20.8,23.8,26.2,28.6,30.6,33.7,36.5,39.2,41.7,44.2,48.3,52.3,56.7,59,60.1,62.6,65.6,69.7,74.6,78.4,78.4,76.5,76.4,76.6,78
"98","91","Economic affairs","G160891",12,13.4,14.7,15.9,17.6,21,24.1,25.4,26.8,30.3,32.8,36.9,40.7,43.7,45,46.5,49.8,53.1,55.6,58,61.2,65.3,68.9,72.6,75.1,78.5,82.3,85.5,89.4,93.6,100.5,107.2,122.5,122,123.4,129.3,137.8,146.8,158.1,168.3,170.4,169.5,173.2,178.5,185.4
"99","92","  Transportation","G160941",9,10,10.9,11.6,12.9,15.6,17.4,18,18.8,20.5,22.5,25.4,28.6,31.3,32.4,33.5,35.7,38,39.4,41,42.8,45.5,48,50.1,52,54.4,57.3,59.8,62.8,65.8,70.7,75.3,79.6,83.2,85.6,89.9,97.2,104.4,114.1,122,123.4,124.4,129,134.2,139.6
"100","93","    Highways","G160951",9,10,10.9,11.6,12.8,15.4,17.3,17.8,18.6,20.3,22.1,25.1,28.2,30.9,32,33.2,35.4,37.7,39.1,40.6,42.4,45.1,47.6,49.7,51.6,54,57,59.5,62.3,65.3,70.2,74.8,79,82.6,85.2,89.5,96.8,104,113.8,121.6,123,124,128.6,133.8,139.1
"101","94","    Transit and railroad","G160981",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
"102","95","  Other economic affairs","W693RC1",3,3.4,3.8,4.2,4.7,5.5,6.7,7.4,8,9.8,10.4,11.5,12.1,12.4,12.6,13,14.1,15.1,16.2,17,18.5,19.8,20.9,22.5,23.1,24.1,25,25.6,26.7,27.8,29.9,32,42.9,38.9,37.7,39.4,40.6,42.4,43.9,46.3,47,45.1,44.2,44.3,45.8
"103","96","    General economic and labor affairs","G160901",1.5,1.7,2,2.3,2.6,3,3.8,4.4,4.9,6.3,6.5,7,7.1,7,6.8,6.8,7.3,7.9,8.6,8.9,9.7,10.5,10.9,12.1,12.3,12.6,12.9,13,13.6,14.2,15.2,16.1,18.7,20.3,19.5,19.7,20.7,21.6,21.9,23,23.5,22.4,21.6,21.6,22.5
"104","97","    Agriculture","G160911",0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,1.9,2.1,2.3,2.5,2.7,2.8,2.9,3,3.2,3.5,3.7,3.8,3.8,3.9,3.9,4.1,4.2,4.5,5.1,5.7,5.9,5.9,5.8,5.8,5.7,5.8,5.9,6,6,6,6,5.9,5.8
"105","98","    Energy","G160921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0,0,0,0,0,0
"106","99","    Natural resources","G160931",0.9,1,1,1.1,1.3,1.5,1.7,1.8,1.9,2.1,2.3,2.7,3.1,3.3,3.5,3.7,4.1,4.3,4.7,5.2,5.5,5.8,6.3,6.7,7.1,7.7,8.2,8.5,8.8,9.1,9.5,10.2,11.2,12.2,12.5,13.6,13.8,15,16.2,17.3,17.5,16.8,16.6,16.9,17.5
"107","100","    Other \4\","G160991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0,0.2,0.3,0.3,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1
"108","101","Housing and community services \8\","G161001",1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.1,2.3,2.5,2.7,2.7,2.7,2.8,3,3.1,3.3,3.8,4.3,4.8,5.3,5.6,5.5,5.8,5.8,6.1,6.3,6.4,7,7.7,8.3,8.6,8.7,8.9,9.5,9.1,15.5,12,10.2,9.8,8.9,9,9.8
"109","102","Health (net)","G161051",10.2,12,14.1,16,18.1,21.2,25,26.6,29.5,32.7,35.7,40.7,46,49.2,52.6,56.6,61.7,66.8,72.9,80.4,90.8,106.7,131.4,151.1,163.1,173.4,183.1,191.6,194.8,202.4,222.1,239.4,268.8,298,313.9,343.6,366,362.3,395.8,416.7,445.7,470.5,480.2,493.7,521.1
"110","103","  Gross expenditures","Y652RC1",13.7,16,18.9,21.7,24.8,28.7,33.6,36.6,40.5,45.5,51.1,58.3,67.1,73.9,80.6,86.1,93.9,101.7,110.1,120.9,136,157,188.6,216.6,236.5,252.4,268.2,278.3,284.8,296,318.9,343.5,385.1,418.9,438.9,474.7,498.5,503.8,545.8,574.5,612.9,646,662.2,683.6,716.3
"111","104","  Less: Sales to other sectors","Y653RC1",3.6,3.9,4.8,5.7,6.7,7.6,8.6,10,11.1,12.9,15.4,17.5,21.2,24.7,28,29.5,32.2,34.9,37.2,40.5,45.2,50.2,57.2,65.5,73.3,79,85.2,86.7,90,93.6,96.9,104.1,116.3,120.9,125,131.1,132.5,141.5,150,157.8,167.2,175.5,181.9,189.9,195.2
"112","105","Recreation and culture","G161061",1.4,1.6,1.7,1.9,2.1,2.4,2.8,2.9,3.1,3.5,3.9,4.2,4.6,5,5.5,5.9,6.7,7.2,7.5,8,9,9.9,10.6,11.4,11.7,12.5,13.1,13.6,14.3,15.1,16.3,17.7,19.4,20.9,21.4,22.5,23.9,26,27.6,29,29,28.7,28.3,28.7,29.7
"113","106","Education","G161071",40.6,46.9,53.4,59.2,64.1,71.6,82.3,89.3,96.5,103.6,113.8,123.7,134.2,143.6,152,164.4,178.5,193.2,207.4,222.5,243,264.7,280.1,296.7,312.1,328.7,348.1,364.7,383.8,407.8,435.5,470.9,504.8,520.9,543.8,578,607.3,641.2,683.2,718.9,731.9,746.9,749.8,755.3,762.1
"114","107","  Elementary and secondary","G161081",32.5,37.2,42,46.4,50.2,55.3,62.8,68.1,73.5,79,87.1,94.4,101.7,108.7,116.1,126.4,136.7,148.9,161.1,172.9,188,204.7,217.8,232,242.2,253.6,269.2,283.2,298.9,317.4,339.6,366,389.3,408.5,431.9,456.9,479.5,507.3,535.9,561.8,571.7,581.7,579.1,574.7,574.4
"115","108","  Higher","G161091",5.6,6.7,7.9,8.9,9.7,11.5,13.9,15.1,16.4,17.6,19.2,21.2,23.8,25.7,26.6,28,30.7,32.3,33.4,35.9,39.8,43.4,44.9,46.4,50.5,54,55.8,57.4,60.1,64,67.5,73.8,81.5,76.8,73.9,80.1,84,88.7,100.3,107.1,108.1,111.2,115.8,124.2,128.7
"116","109","  Libraries and other","W694RC1",2.5,3,3.5,3.9,4.2,4.8,5.6,6,6.5,7,7.5,8.1,8.7,9.1,9.3,10,11.2,12.1,12.9,13.7,15.2,16.5,17.3,18.3,19.5,21.1,23.1,24.1,24.8,26.4,28.4,31.2,34,35.6,37.9,41,43.7,45.2,47,50,52.1,54,54.8,56.4,58.9
"117","110","    Libraries","G161101",0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.2,2.4,2.6,2.9,3.1,3.3,3.6,3.9,4.2,4.5,4.6,4.9,5.2,5.5,5.9,6.2,6.7,7.2,7.7,8.1,8.5,9.1,9.6,10,10.7,11.5,11.7,11.6,11.3,11.5,12
"118","111","    Other","G161111",1.9,2.3,2.8,3.1,3.3,3.8,4.5,4.9,5.2,5.6,6,6.5,6.9,7.1,7.2,7.7,8.5,9.2,9.8,10.4,11.5,12.6,13.1,13.7,14.8,16.2,17.9,18.6,18.9,20.2,21.7,23.9,26.3,27.5,29.5,31.8,34.2,35.2,36.3,38.5,40.4,42.4,43.5,45,47
"119","112","Income security","G161121",10.4,12.7,15.1,16.8,18.1,17.8,20.8,22.9,25,26.4,28.5,32.9,35.7,37.6,41.3,44,47.2,50.6,53.5,57.3,61.8,69.2,76.3,82.3,85.6,89.5,91,90,91,94.9,100.7,107.3,115.4,123.5,128.8,132.5,138.7,139.5,144.1,151.5,157.3,158.2,154.5,153.4,155.1
"120","113","  Disability","G161131",1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.9,13,13.1,13,13,13.3,13.3,13.2,13.4,14.1,15.7,18.3,20.5,21.5,21.8,21.7,21.2,21.3,21.1,20.7,19.9,19.5,19.6
"121","114","  Welfare and social services","G161141",9.4,11.7,14,15.5,16.7,16.3,19.1,21,22.8,24,25.7,29.8,32.2,33.6,36.9,39.1,41.8,44.6,46.4,49.4,53,58.8,64.4,69.2,72.5,76.5,78,76.6,77.7,81.7,87.3,93.2,99.7,105.2,108.3,111,116.9,117.8,122.9,130.3,136.2,137.5,134.5,134,135.5
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","1. Equals federal government current expenditures less grants-in-aid to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","plus state and local government current expenditures. Federal grants-in-aid to state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2. Prior to 1960, federal interest receipts are not available separately but are included in interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","payments, which is shown net of federal interest receipts.  Interest payments includes interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","accrued on the actuarial liabilities of defined benefit pension plans for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","3. Equals unallocable state and local government expenditures; includes federal government revenue sharing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","grants to state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","4. Consists of state and local government publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","5. Consists of social insurance funds, including old age, survivors, and disability insurance (social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","security), and railroad retirement.  Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","6. Consists primarily of federal government revenue sharing grants to state and local governments beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","7. Equals unallocable state and local government expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","8. Consists of current expenditures for sanitation.  Beginning with 2007, includes housing subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","related to Hurricanes Katrina and Rita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
