"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"83","76","E1FAT1 D         Fats and oils","E1FAT10",1136,1108,1140,1247,1304,1359,1367,1449,1653,1863,1943,2104,2862,2884,3028,4245,4128,3422,3996,4505,4982,5361,5946,6241,6109,6842,7148,6662,6393,6920,7540,8212,8622,8865,8736,8781,8664,8625,8467,8650,9415,9519,10239,10360,10871,11502
"84","77","E1SWE1 D         Sugar and sweets","E1SWE10",3243,3496,3484,3446,3484,3853,4088,4342,4548,4786,5024,5061,6510,6541,7005,10432,10882,11058,12506,13246,14580,16892,17499,16347,17708,18682,19104,19156,18498,19861,21474,23211,24192,24694,25205,26282,26949,27931,28606,29406,30116,32154,32787,34211,35898,38089
"85","78","E1OFD1 D         Other foods","E1OFD10",3473,3446,3507,3763,3865,4151,4631,5190,5744,6237,6475,7027,6968,7160,8099,8908,9563,10864,11802,13358,14506,16474,18218,20966,23353,27677,30792,34107,36345,39357,42905,46750,49109,50514,53251,57302,60595,64724,68272,70719,76726,81186,87018,93084,97674,104323
"86","79","E1PEF1 D         Pet food","E1PEF10",460,534,558,568,604,804,917,1044,1139,1282,1401,1705,1857,1929,2429,2921,3170,3681,4157,4286,4711,5422,6235,6484,7113,7597,8482,8187,8574,9285,10037,11122,11217,11805,12816,14252,15517,16869,18157,19056,20258,21315,22291,23739,25376,27560
"87","80","E1AOP1 C       Alcoholic beverages purchased for off-premise consumption (9)","E1AOP10",6317,6452,6525,6959,7242,7574,7895,8428,8791,9800,10944,12257,13714,14818,15924,17570,19119,20338,21910,23606,26583,29738,32210,34410,36527,37056,39383,41330,41424,42715,44867,48879,50424,48853,50100,52871,54561,58235,61161,63196,66098,71179,73669,75461,79858,86958
"88","81","E1MLT1 D         Beer and ale, at home","E1MLT10",3469,3672,3716,3995,3790,4003,3997,4268,4598,4959,5493,6311,7058,7024,7572,8497,9544,10399,11313,12835,14959,17245,19255,21145,22537,23233,24654,26090,26149,26669,27658,29611,29806,28225,29317,31239,32629,35051,37017,38021,39898,43052,44528,45698,48783,53647
"89","82","E1WIN1 D         Wine and brandy, at home","E1WIN10",545,555,595,678,709,750,761,787,795,874,974,1179,1491,1703,1862,2166,2099,2105,2270,2823,3617,4543,5445,6367,6677,6619,6966,7188,7099,7438,7931,8788,9335,9259,9682,10423,10966,11922,12726,13118,13708,14763,15234,15563,16383,17755
"90","83","E1LIQ1 D         Distilled spirits, at home","E1LIQ10",2303,2225,2214,2286,2743,2821,3137,3373,3398,3967,4477,4767,5165,6091,6490,6907,7476,7834,8327,7948,8007,7950,7510,6898,7313,7205,7764,8052,8176,8607,9278,10480,11284,11369,11101,11209,10966,11261,11419,12056,12492,13364,13907,14199,14692,15556
"91","84","E1PMB1 C     Purchased meals and beverages (4)","E1PMB10",17454,18101,18459,19567,20465,21903,23897,25917,26823,30155,32683,36524,38740,43004,48337,53183,60363,68006,75034,84967,96740,105929,115851,123279,133273,142393,149978,161472,176606,195386,209822,227728,236421,245954,258328,266849,273969,282049,294943,311853,326891,348809,362842,380021,406496,448164
"92","85","E1FPM1 C       Food in purchased meals","E1FPM10",13167,13786,14138,15070,15821,17083,18832,20559,21587,24582,26895,30110,32097,35692,40279,44569,50907,57740,63792,72373,82448,90272,98945,105995,115284,123579,130431,140709,154935,171313,183833,198456,204968,212260,225225,234541,242006,250281,262772,278065,291541,311313,324151,339430,363656,400947
"93","86","E1ESL1 D         Elementary and secondary school lunch","E1ESL10",640,679,720,804,874,949,1018,1092,1129,1227,1341,1406,1414,1464,1551,1632,1623,1603,1704,1866,1976,2065,2226,2330,2451,2574,2730,2944,3161,3304,3413,3593,3745,3815,3962,4094,4258,4454,4702,4987,5336,5657,5904,6159,6521,6946
"94","87","E1HSL1 D         Higher education school lunch","E1HSL10",201,225,252,283,326,372,432,495,576,597,627,649,667,679,835,1020,1259,1537,1815,1971,2183,2460,2782,2978,3143,3319,3429,3617,3708,3850,4151,4367,4435,4665,4863,5088,5257,5476,5722,5980,6381,6769,7093,7403,8041,8755
"95","88","E1OPM1 D         Other purchased meals","E1OPM10",12326,12882,13165,13983,14621,15762,17383,18972,19882,22758,24928,28056,30016,33549,37892,41916,48025,54599,60273,68537,78288,85747,93937,100687,109691,117686,124272,134147,148066,164159,176269,190496,196788,203780,216400,225359,232491,240350,252348,267098,279823,298887,311154,325868,349094,385245
"96","89","E1MLS1 D           Meals at limited service eating places","E1MLS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75630,85628,92549,99589,102554,107744,115905,119690,124643,127735,130603,139920,145831,156106,163384,172106,184452,204816
"97","90","E1MOE1 D           Meals at other eating places","E1MOE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71006,77107,82335,89421,92706,94456,98999,104281,106444,111219,120371,125734,132485,141176,146142,152058,162909,178515
"98","91","E1MDP1 D           Meals at drinking places","E1MDP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1429,1425,1385,1486,1528,1580,1496,1387,1404,1396,1374,1445,1507,1605,1629,1704,1732,1914
"99","92","E1APM1 C       Alcohol in purchased meals","E1APM10",4287,4314,4321,4497,4644,4820,5064,5357,5236,5573,5788,6413,6643,7312,8058,8614,9456,10266,11242,12593,14292,15657,16906,17284,17989,18814,19547,20764,21671,24073,25989,29272,31452,33694,33102,32308,31963,31769,32170,33788,35351,37497,38691,40591,42840,47218
"100","93","E1PIF1 C     Food furnished to employees (including military) and food produced and consumed on farms (5+6)","E1PIF10",2421,2272,2330,2283,2229,2175,2265,2563,2654,2666,2759,2815,2708,2873,3247,3855,4240,4724,4842,5412,6196,6692,7304,7579,7388,7324,7092,6830,6456,6776,7100,7429,7543,7678,7885,8054,8271,8461,8738,8972,9328,9659,9883,10204,10924,11392
"101","94","E1FOO1 C       Food furnished to employees (including military)","E1FOO10",1206,1209,1281,1339,1350,1374,1485,1769,1944,1973,2053,2065,1988,2010,2172,2722,3168,3609,3749,4271,4928,5537,6171,6547,6426,6383,6228,5978,5742,6073,6456,6770,6929,7086,7310,7519,7778,7986,8211,8479,8821,9106,9361,9728,10448,10918
"102","95","E1CFD1 D         Food supplied civilians","E1CFD10",751,782,816,853,886,918,991,1105,1146,1225,1343,1464,1544,1634,1769,2266,2664,3074,3196,3688,4303,4892,5519,5941,5874,5814,5689,5456,5219,5557,5910,6244,6401,6573,6768,6961,7220,7448,7688,7963,8290,8533,8762,9052,9541,9986
"103","96","E1MFD1 D         Food supplied military","E1MFD10",455,427,465,486,464,456,494,664,798,748,710,601,444,376,403,456,504,535,553,583,625,645,652,606,552,569,539,522,523,516,546,526,528,513,542,558,558,538,523,516,531,573,599,676,907,932
"104","97","E1FFD1 C       Food produced and consumed on farms","E1FFD10",1215,1063,1049,944,879,801,780,794,710,693,706,750,720,863,1075,1133,1072,1115,1093,1141,1268,1155,1133,1032,962,941,864,852,714,703,644,659,614,592,576,535,493,475,527,493,507,554,522,476,476,474
"105","98","E1TCS1 B   Clothing and shoes","E1TCS10",26374,26963,27645,28984,29795,32378,34068,37380,39196,43151,46476,47788,51699,56379,62501,65988,70833,76639,84113,94318,101193,107337,117186,120481,130852,142525,152143,163113,174363,185526,198921,204088,208655,221851,229855,238092,241722,250225,258084,270875,286318,297712,297705,302114,307239,326501
"106","99","E1SHU1 C     Shoes (12)","E1SHU10",4358,4512,4565,4762,4810,5206,5403,5999,6356,7073,7801,7778,8146,8865,9822,9859,10343,11055,12211,14103,16000,17367,19347,19189,20365,21575,22911,24464,26027,27629,30370,31516,31328,32903,34232,36358,37582,39496,40732,43041,45389,47026,47811,49281,50695,54223
"107","100","E1WCL1 C     Women's and children's clothing and accessories except shoes (14)","E1WCL10",14291,14581,15007,15835,16407,17764,18640,20227,20879,22958,24587,25591,28135,30439,33695,35986,38771,42129,45948,51677,54950,58036,63225,65670,72098,79350,85300,92129,98426,104195,110744,112996,115621,123406,126993,129131,129484,132427,134971,141248,149930,156692,156509,158253,160400,170257
"108","101","E1WCO1 D       Clothing and sewing for females","E1WCO10",14125,14415,14823,15645,16202,17536,18368,19909,20536,22572,24167,25139,27639,29969,33119,35311,37977,41157,44902,50583,53695,56804,61903,64324,70456,77651,83618,90331,96365,102046,108190,110613,113203,120938,124417,126534,126784,129533,132043,138254,146710,153259,153398,155170,157164,166624
"109","102","E1WGC1 D         Clothing for females","E1WGC10",13109,13395,13776,14544,15056,16439,17157,18628,19262,21185,22600,23401,25755,27700,30479,32237,34812,37439,40796,45833,48505,50957,55283,57030,62712,69335,74916,81069,86559,91198,96514,98484,100492,107474,110804,112863,113335,115874,118459,123960,131407,137203,136962,138133,139905,148470
"110","103","E1WIC1 D         Clothing for infants","E1WIC10",288,304,318,334,377,379,455,495,543,613,788,954,871,1076,1328,1664,1873,2161,2466,3005,3444,3911,4582,5098,5501,5967,6324,6710,7021,7607,7969,8051,8097,8237,8382,8627,8749,8824,8997,9523,10159,10617,10885,11071,11247,11847
"111","104","E1WSG1 D         Sewing goods for females","E1WSG10",728,716,729,767,769,718,756,786,731,774,779,784,1013,1193,1312,1410,1292,1557,1640,1745,1746,1936,2038,2196,2243,2349,2377,2552,2785,3240,3707,4078,4614,5227,5231,5043,4700,4835,4588,4771,5143,5439,5551,5965,6012,6307
"112","105","E1WUG1 D       Luggage for females","E1WUG10",166,166,184,190,205,228,272,318,343,386,420,452,496,470,576,675,794,972,1046,1094,1255,1232,1322,1346,1642,1699,1682,1798,2061,2149,2554,2382,2418,2468,2576,2597,2700,2894,2928,2994,3221,3434,3111,3083,3236,3633
"113","106","E1MMC1 C     Men's and boys' clothing and accessories except shoes (15+16)","E1MMC10",7725,7870,8073,8387,8578,9408,10025,11154,11961,13120,14088,14419,15418,17075,18984,20143,21719,23455,25954,28538,30243,31934,34614,35622,38390,41601,43932,46521,49910,53701,57807,59576,61707,65542,68631,72602,74656,78302,82381,86586,90998,93993,93386,94581,96144,102021
"114","107","E1MCL1 C       Men's and boys' clothing, sewing goods, and luggage, except military issue","E1MCL10",7674,7822,8018,8318,8514,9344,9949,10990,11769,12916,13914,14258,15300,17005,18897,20046,21605,23336,25833,28421,30098,31776,34474,35466,38212,41437,43792,46368,49755,53540,57636,59425,61532,65275,68345,72316,74369,78015,82066,86282,90714,93682,93059,94238,95617,101687
"115","108","E1MCO1 D         Clothing and sewing for males","E1MCO10",7563,7711,7895,8191,8378,9192,9767,10778,11541,12653,13625,13973,15028,16691,18571,19724,21290,23021,25572,28133,29768,31451,34126,35111,37764,40959,43303,45829,49119,52813,56690,58464,60469,64096,67168,71187,73257,76893,81006,85198,89547,92439,91932,93121,94445,100372
"116","109","E1MBC1 D           Clothing for males","E1MBC10",7510,7659,7842,8136,8322,9135,9701,10704,11466,12563,13525,13863,14896,16496,18359,19498,21085,22777,25318,27880,29531,31206,33887,34873,37467,40596,42888,45337,48535,52245,56146,57961,59992,63645,66713,70746,72842,76463,80594,84769,89086,91951,91434,92586,93906,99806
"117","110","E1MSG1 D           Sewing goods for males","E1MSG10",53,52,53,55,56,57,66,74,75,90,100,110,132,195,212,226,205,244,254,253,237,245,239,238,297,362,415,492,584,568,545,503,477,451,455,441,415,430,412,428,462,488,498,536,540,566
"118","111","E1MUG1 D         Luggage for males","E1MUG10",111,111,123,127,136,152,182,212,228,263,289,285,272,314,326,322,315,315,261,288,330,325,348,355,448,478,489,539,637,728,945,962,1063,1179,1177,1129,1112,1122,1060,1084,1166,1243,1127,1116,1172,1316
"119","112","E1MIC1 C       Standard clothing issued to military personnel (n.d.)","E1MIC10",51,48,55,69,64,64,76,164,192,204,174,161,118,70,87,97,114,119,121,117,145,158,140,156,178,164,140,153,155,161,171,151,175,267,286,286,287,287,315,304,284,311,327,343,527,334
"120","113","E1GFO1 B   Gasoline, fuel oil, and other energy goods","E1GFO10",15328,15848,15760,16354,16968,17708,19182,20705,21923,23265,25021,26344,27710,29461,34411,43974,48142,53169,57991,61634,80598,102137,113699,108596,106701,108442,110761,91390,96556,99995,110442,124065,120847,124639,126552,128998,133287,144762,147739,133899,149780,191482,187062,177467,208235,244937
"121","114","E1GAO1 B     Gasoline and oil (75)","E1GAO10",11281,12004,12009,12597,12952,13572,14751,16032,17100,18560,20460,21921,23150,24406,28131,36130,39703,43046,46934,50102,66243,86689,97919,94125,93081,94568,97205,80052,85355,88344,98565,111184,108493,112446,114131,116191,120213,130415,134416,122389,137858,175656,171642,163361,191335,224627
"122","115","E1GAS1 D       Gasoline and other motor fuel","E1GAS10",11097,11809,11814,12392,12741,13351,14511,15771,16822,18258,20127,21564,22773,24009,27673,35542,39057,42345,45966,48980,64685,84767,95649,92182,91037,92260,95014,78119,83415,86230,96314,108743,105872,109411,110931,112819,116845,127033,131218,118838,134808,172321,168415,160134,188109,221237
"123","116","E1LUB1 D       Lubricants","E1LUB10",184,195,196,205,211,221,240,261,278,302,333,357,377,397,458,588,647,701,968,1122,1558,1922,2270,1943,2044,2309,2191,1933,1940,2114,2251,2441,2621,3035,3200,3372,3368,3382,3199,3551,3050,3335,3227,3227,3227,3389
"124","117","E1FUL1 B     Fuel oil and coal (40)","E1FUL10",4047,3844,3751,3757,4016,4136,4431,4673,4823,4705,4561,4423,4560,5055,6280,7844,8439,10123,11057,11532,14355,15448,15780,14471,13620,13874,13556,11338,11201,11651,11878,12881,12355,12193,12421,12806,13074,14347,13322,11510,11922,15826,15420,14106,16899,20310
"125","118","E1OIL1 D       Fuel oil","E1OIL10",3098,2884,2849,2841,2935,2988,3254,3519,3734,3602,3395,3172,3256,3670,4519,5292,5943,6932,7502,7931,10371,11110,11335,10276,9355,9504,9228,7421,7424,7229,7400,7935,7211,7213,7108,7217,7183,7877,7630,6556,6722,8964,8438,7611,9099,11221
"126","119","E1LPF1 D       Liquified petroleum gas and other fuel, and farm fuel","E1LPF10",949,960,902,916,1081,1148,1177,1154,1089,1103,1166,1251,1304,1385,1761,2552,2496,3191,3555,3601,3984,4338,4445,4195,4265,4369,4329,3916,3777,4422,4477,4946,5144,4980,5313,5589,5891,6470,5692,4954,5200,6862,6982,6495,7800,9089
"127","120","E1LPG1 D         Liquified petroleum gas and other fuel","E1LPG10",875,889,842,867,1039,1114,1146,1124,1063,1077,1141,1225,1280,1359,1721,2495,2439,3121,3487,3527,3906,4260,4364,4098,4179,4293,4266,3873,3748,4392,4449,4917,5115,4952,5292,5574,5882,6465,5691,4953,5199,6861,6981,6495,7799,9088
"128","121","E1FFW1 D         Farm fuel","E1FFW10",74,71,60,49,42,34,31,30,26,26,25,26,24,26,40,57,57,70,68,74,78,78,81,97,87,76,62,44,29,29,28,29,28,28,22,15,10,5,1,1,1,1,1,1,1,1
"129","122","E1TON1 B   Other","E1TON10",26114,27693,29191,31374,33140,35015,37586,41353,43508,47038,50161,54075,56398,60797,66558,72728,78544,85989,92400,104731,117998,130636,144487,155164,169849,186275,198220,211933,229137,244465,265699,284953,297779,314690,331133,349500,369205,391862,416940,449004,495589,532858,564416,594691,620099,655303
"130","123","E1TOB1 C     Tobacco products (7)","E1TOB10",6554,6871,7141,7221,7500,7564,8092,8529,8928,9423,9794,10792,11338,12193,13241,14099,15068,16787,16980,18281,19185,20860,22830,24303,27515,29243,30811,32157,34546,34745,38611,40991,42409,48008,48701,47328,49205,51419,53848,58929,71649,78543,84045,89122,88076,88755
"131","124","E1TLG1 C     Toilet articles and preparations (21)","E1TLG10",2692,2975,3290,3629,3861,4157,4532,5018,5398,5857,6238,6635,6918,7421,8320,9301,10256,11269,12586,13982,15509,16872,18407,19334,21358,23748,25670,27722,29979,31763,33892,36011,36888,37903,40318,43192,45934,48879,51623,52622,53893,55016,54377,54154,53224,53910
"132","125","E1SOA1 D       Soap","E1SOA10",327,322,332,336,323,316,314,318,302,337,354,356,387,469,554,700,854,952,1066,1232,1439,1652,1839,1991,2153,2373,2565,2756,2932,3181,3443,3713,3914,4156,4178,4221,4210,4175,4126,4262,4476,4630,4831,4943,5061,5299
"133","126","E1CSM1 D       Cosmetics and perfumes","E1CSM10",919,1013,1200,1335,1306,1455,1619,1835,2008,2288,2447,2579,2744,3150,3721,4167,4854,5353,5951,6575,7166,7665,8367,8724,9656,10784,11650,12609,13811,13869,13997,13939,13139,12554,12847,13377,13654,14140,14422,14734,15148,15573,15164,15102,14872,15393
"134","127","E1OPH1 D       Other personal hygiene goods","E1OPH10",1446,1640,1758,1958,2232,2386,2599,2865,3088,3232,3437,3700,3787,3802,4045,4434,4548,4964,5569,6175,6904,7555,8201,8619,9548,10591,11455,12357,13236,14714,16452,18359,19834,21193,23293,25595,28070,30564,33076,33627,34269,34814,34382,34109,33291,33217
"135","128","E1SDH1 C     Semidurable house furnishings (33)","E1SDH10",2717,2796,2949,3210,3327,3673,3948,4341,4566,4922,4929,4919,4979,5297,5885,6271,6606,7216,7906,8727,9725,10629,11761,12359,13715,15386,16435,18327,19330,20789,21733,22470,23293,25572,26830,28489,29410,30502,31400,32847,35091,36465,36507,37390,37905,39744
"136","129","E1CLP1 C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","E1CLP10",3454,3743,4167,4563,4872,5288,5723,6332,6665,7139,7596,8163,8357,8927,10005,11368,12516,13458,14586,16752,19421,21889,24042,25659,27141,29226,30649,32005,33095,35074,37054,38910,39748,41060,43450,46404,48794,51350,53854,55945,59194,61587,64473,66636,69056,73431
"137","130","E1CLE1 D       Cleaning preparations","E1CLE10",2058,2219,2498,2753,2936,3173,3373,3668,3871,4203,4601,5081,5326,5763,6217,6817,7227,7448,7738,8883,10298,11720,12934,13872,14736,15940,16887,17776,18511,19262,19968,20584,20698,20922,22293,23893,25314,26694,28094,29018,30476,31526,32895,33654,34462,36084
"138","131","E1LIG1 D       Lighting supplies","E1LIG10",323,338,364,382,419,465,497,560,591,631,652,677,706,755,908,1059,1208,1388,1578,1805,2106,2231,2383,2480,2763,3148,3345,3619,3901,4198,4365,4475,4431,4778,5095,5552,5689,5937,6243,6629,7195,7537,7832,8255,8742,9803
"139","132","E1PAP1 D       Paper products","E1PAP10",1073,1186,1305,1428,1517,1650,1853,2104,2203,2305,2343,2405,2325,2409,2880,3492,4081,4622,5270,6064,7017,7938,8725,9307,9642,10138,10417,10610,10683,11614,12720,13851,14619,15360,16062,16959,17791,18719,19518,20298,21523,22525,23746,24727,25852,27544
"140","133","E1DRG1 C     Drug preparations and sundries (45)","E1DRG10",3544,3901,4264,4601,4828,4993,5188,5432,5770,6381,7006,8062,8562,9313,10052,11012,11976,13083,14166,16347,19092,21812,24919,27608,31356,35201,38689,42682,47006,51825,58023,65444,71447,75894,80507,85818,92133,100519,111140,128002,148870,169412,192729,213034,233690,254412
"141","134","E1RXD1 D       Prescription drugs","E1RXD10",1818,1986,2186,2362,2538,2626,2766,2920,3194,3573,3971,4654,5000,5536,5946,6376,6858,7453,7853,8936,10309,11616,13154,14500,16814,19135,21315,23823,26520,30205,34900,40630,45867,50489,54550,59267,64746,72172,82077,97849,117289,136223,158700,177511,197074,215869
"142","135","E1NRX1 D       Nonprescription drugs","E1NRX10",1268,1386,1526,1648,1771,1775,1807,1839,1934,2072,2206,2478,2552,2709,2964,3240,3551,3933,4226,4949,5853,6783,7818,8687,9709,10785,11753,12896,14219,15132,16355,17760,18454,18280,18643,19020,19624,20379,20915,21869,23139,24614,25560,27121,28416,30361
"143","136","E1MDS1 D       Medical supplies","E1MDS10",265,319,343,374,268,323,350,393,301,344,379,455,483,480,534,714,792,816,906,1117,1384,1672,1999,2309,2584,2896,3166,3456,3746,3785,3845,3896,3816,3690,3842,4013,4196,4368,4531,4606,4694,4769,4709,4672,4560,4550
"144","137","E1GYN1 D       Gynecological goods","E1GYN10",193,210,209,217,251,269,265,280,341,392,450,475,527,588,608,682,775,881,1181,1345,1546,1741,1948,2112,2248,2386,2456,2507,2521,2704,2922,3158,3309,3435,3472,3518,3568,3600,3617,3677,3747,3807,3759,3730,3640,3632
"145","138","E1TOY1 C     Nondurable toys and sport supplies (89)","E1TOY10",2365,2478,2665,2891,3115,3379,3591,4047,4282,4781,5234,5498,5826,6572,7447,8168,8954,9953,10843,12279,13640,14582,15970,17130,18398,20483,21432,22853,25346,27710,30697,32768,34627,36523,38823,41970,44350,46523,48399,51310,54671,56611,57564,58954,60220,63966
"146","139","E1DOL1 D       Toys, dolls, and games","E1DOL10",1571,1658,1794,1961,2126,2296,2431,2729,2874,3105,3280,3324,3393,3681,4224,4690,5197,5833,6406,7265,8170,8539,9510,10423,11236,12371,12929,13733,15022,16881,19503,21598,23786,25707,27550,30114,32298,34264,36062,38146,40528,41510,42151,43125,44070,46540
"147","140","E1AMM1 D       Sport supplies, including ammunition","E1AMM10",433,438,455,475,493,543,585,668,717,823,929,1003,1092,1264,1516,1753,2023,2360,2696,3062,3341,3727,4037,4134,4310,4924,5211,5612,6537,6967,7271,7341,7136,7175,7765,8495,8867,9273,9564,10225,10992,11793,12126,12472,12700,13755
"148","141","E1FLM1 D       Film and photo supplies","E1FLM10",361,382,416,455,496,540,575,650,691,853,1025,1171,1341,1627,1707,1725,1734,1760,1741,1952,2129,2316,2423,2573,2852,3187,3292,3507,3787,3862,3922,3829,3705,3641,3508,3361,3185,2986,2773,2939,3152,3308,3286,3358,3451,3670
"149","142","E1STY1 C     Stationery and writing supplies (35)","E1STY10",1056,1106,1085,1170,1259,1363,1452,1735,1757,1951,2271,2348,2193,2435,2671,2861,3095,3325,3727,4450,4980,5526,6165,6599,7113,7956,8514,9044,10022,11086,12411,13192,13931,14850,15368,16020,16330,16522,16856,17667,18493,18982,18319,18077,17746,17823
"150","143","E1STS1 D       Stationery and school supplies","E1STS10",567,599,577,641,747,784,850,1064,1039,1159,1413,1545,1338,1498,1630,1675,1978,2149,2390,2719,2991,3302,3587,3724,3964,4360,4573,4580,4994,5218,5557,5624,5646,5721,5975,6208,6258,6177,6180,6683,7257,7772,7489,7576,7591,7884
"151","144","E1GRE1 D       Greeting cards","E1GRE10",489,507,508,529,512,579,602,671,718,792,858,803,855,937,1041,1186,1117,1176,1337,1731,1989,2224,2578,2875,3148,3596,3941,4464,5028,5868,6854,7568,8285,9129,9392,9812,10072,10345,10676,10985,11236,11210,10830,10501,10155,9939
"152","145","E1NFR1 C     Net foreign remittances (111 less 113)","E1NFR10",959,918,856,905,881,983,1072,1291,1379,1496,1654,1763,1866,1700,1351,1208,1058,918,1008,1238,1414,1794,2052,2664,2705,2821,3160,2978,3075,2499,2700,2592,2349,960,1116,1335,1554,1704,2958,3241,3129,3220,3404,4035,4787,4586
"153","146","E1ABD1 C       Expenditures abroad by U.S. residents","E1ABD10",1068,1053,985,1022,1013,1130,1243,1461,1611,1730,1871,2029,2095,1930,1625,1494,1328,1177,1247,1464,1714,2172,2465,3062,3161,3333,3897,3697,3888,3473,3608,3641,3474,2570,2690,2775,2879,2874,4087,4379,4449,4585,4925,5553,6558,6514
"154","147","E1ART1 D         Government expenditures abroad","E1ART10",1036,1020,951,987,977,1093,1205,1421,1570,1687,1826,1983,2047,1879,1576,1445,1277,1125,1198,1403,1647,2103,2396,3006,3105,3275,3839,3638,3828,3398,3505,3513,3326,2441,2563,2650,2755,2755,3925,4206,4273,4404,4731,5333,6298,6257
"155","148","E1ARS1 D         Other private services","E1ARS10",32,33,34,35,36,37,38,40,41,43,45,46,48,51,49,49,51,52,49,61,67,69,69,56,57,58,58,59,60,76,102,129,148,129,128,125,124,118,162,173,176,181,195,219,259,257
"156","149","E1REM1 C       Less: Personal remittances in kind to nonresidents","E1REM10",109,135,129,117,132,147,171,170,232,234,217,266,229,230,274,286,270,259,239,226,300,378,413,398,457,512,737,719,813,975,907,1049,1125,1610,1574,1440,1325,1170,1129,1138,1320,1365,1521,1518,1771,1928
"157","150","E1MAG1 C     Magazines, newspapers, and sheet music (88)","E1MAG10",2133,2182,2045,2329,2494,2531,2703,3186,3271,3436,3692,4097,4426,4775,5291,5881,6356,7033,7727,9119,10881,12015,13039,13843,14588,15729,15910,16503,17587,19244,20056,21632,22053,21959,23434,25601,27525,29477,31153,32058,33457,35048,34954,35273,36590,39159
"158","151","E1MGZ1 D       Magazines and sheet music","E1MGZ10",771,789,740,842,902,915,977,1152,1183,1260,1389,1580,1748,1910,2128,2378,2585,2877,3210,3828,4615,5148,5642,6048,6565,7292,7597,8116,8907,9829,10330,11234,11547,11590,12298,13360,14285,15216,15995,16460,17178,17995,17946,18110,18786,20106
"159","152","E1NWP1 D       Newspapers","E1NWP10",1362,1393,1305,1487,1592,1616,1726,2034,2088,2176,2303,2517,2678,2865,3163,3503,3771,4156,4517,5291,6266,6867,7397,7795,8023,8437,8314,8388,8680,9414,9725,10397,10506,10369,11136,12241,13240,14261,15158,15598,16279,17053,17007,17163,17803,19054
"160","153","E1FLO1 C     Flowers, seeds, and potted plants (95)","E1FLO10",640,723,729,855,1003,1084,1285,1442,1492,1652,1747,1798,1933,2164,2295,2559,2659,2947,2871,3556,4151,4657,5302,5665,5961,6482,6948,7663,9151,9730,10522,10944,11034,11961,12585,13342,13969,14966,15710,16383,17142,17974,18045,18016,18805,19517
"161","154","E1TSS1 A Services","E1TSS10",126509,135574,143771,153620,162921,176124,188979,203828,220254,241591,266131,291493,319483,352212,385786,426602,480208,534744,600249,676569,753347,846884,950839,1049447,1178594,1292169,1428105,1538292,1663305,1816542,1960031,2115851,2247367,2421172,2571760,2723891,2879122,3048741,3235779,3445717,3660040,3928836,4154254,4379788,4610099,4858980
"162","155","E1HOS1 B   Housing","E1HOS10",45032,48151,51179,54732,57960,61365,65426,69460,74056,79782,86932,94075,102794,112602,123313,134754,147710,162220,180234,202361,227279,256171,289727,315163,340999,374544,412710,448370,483663,521501,557354,597939,631114,658466,683886,726142,764386,800092,842613,894612,948412,1006456,1073711,1144789,1188365,1238962
"163","156","E1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","E1OWN10",29047,31273,33285,35714,37787,39991,42668,45338,48329,51883,56627,61300,67344,73716,80980,89677,98778,108670,121336,138123,156871,178385,201023,218189,235996,258101,280789,304499,329438,357628,384925,412788,436922,455079,474119,504878,531161,557686,588292,627467,668355,712236,768670,820710,859580,902788
"164","157","E1OMH1 D       Owner occupied mobile homes","E1OMH10",400,438,472,523,592,693,815,943,1089,1294,1563,1821,2124,2634,3338,4072,4399,4500,5123,5950,6558,6992,8770,9564,10598,11606,12787,13743,14612,15640,16623,17591,19340,20335,20546,21282,22052,23288,24568,25706,26462,28317,33636,35889,35982,38373
"165","158","E1OST1 D       Owner occupied stationary homes","E1OST10",28647,30835,32813,35191,37195,39298,41853,44395,47240,50589,55064,59479,65220,71082,77642,85605,94379,104170,116213,132173,150313,171393,192252,208626,225398,246495,268003,290756,314827,341989,368302,395196,417582,434744,453572,483595,509109,534397,563725,601761,641893,683919,735035,784821,823598,864415
"166","159","E1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","E1TEN10",12532,13279,14150,15115,16045,17034,18156,19238,20390,22168,24042,25962,28395,30791,33696,35817,38983,42569,47016,51117,55676,61835,70954,78615,85526,94625,108267,119245,126754,133750,140116,150669,157661,163565,168497,176784,186624,191982,198957,208994,218954,227549,240737,258677,262258,266216
