"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"70","59","Economic affairs","G170591",0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.8,1,1.4,1.6,1.8,2.4,3.5,3.8,3.7,6.4,7.6,9.3,15.1,12.8,11.6,9.9,6.9,7,7,7.1,7.3,7.2,7.5,7.7,8.2,8.3,8.1,8.3,9,9,8.3,8.7,8.9,9.2,9.4,9.9,11,11.5,12.3,11.9,12.2,12.1,12
"71","60","  Transportation","G170641",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","61","  Space","G170651",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.4,0.6,0.9,0.9,0.8,0.9,1,1,0.6,0.5,0.6,0.6,0.7
"73","62","  Other economic affairs","W695RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.8,1,1.3,1.6,1.7,2.3,3.4,3.8,3.6,6.4,7.5,9.2,15,12.6,11.4,9.7,6.7,6.9,6.8,7,7.1,6.9,7.2,7.5,8,8,7.7,7.9,8.5,8.5,7.8,8.1,8,8.3,8.6,9.1,10,10.5,11.7,11.4,11.7,11.5,11.3
"74","63","    General economic and labor affairs","G170601",0,0,0,0,0,0,0.2,0.3,0.5,0.7,0.8,0.9,1.4,2.3,2.3,2.2,5.1,6,7.5,13,10.3,8.6,6.7,3.8,3.8,3.3,3.4,3.4,3.4,3.3,3.4,3.4,3.5,3.8,3.8,4.3,4.3,4.1,4.3,4.3,4.4,4.6,4.7,5.5,5.2,6.1,5.2,5.1,5,3.8
"75","64","    Agriculture","G170611",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.9,0.8,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.3,1.5,1.2,1.4,1.5,1.5,1.1,1,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1.1
"76","65","    Energy","G170621",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,1,1.1,0.9,1.1,1.3,1.3,1.3,1.2,1.3,1.4,1.5,1.4,1,1.1,1.1,1.1,1,1.1,1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.5
"77","66","    Natural resources","G170631",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.5,1.4,1.6,1.6,1.8,1.7,1.7,1.6,1.5,1.6,1.6,1.8,1.8,1.9,2,2.5,2.5,3.1,3.5,4,4.4,4.3,4.8
"78","67","Housing and community services","G170661",0.1,0.1,0.2,0.2,0.3,0.6,0.4,0.4,0.5,0.6,0.7,1.4,1.7,1.9,2,1.8,2.2,2.9,3,3,3.8,4.5,4.5,4.1,3.9,4.3,4.3,4.6,4.2,4.1,3.9,3.4,3.4,3.5,3.7,5.1,6.1,6.5,7.8,11.2,12,13,13.1,14.3,14.4,14.1,14,14.9,20.7,17.2
"79","68","Health","G170671",0.2,0.3,0.4,0.4,0.5,0.6,0.7,1.9,2.6,1.9,2.4,4.3,4.9,7,6.7,9,10.3,12,13,14,15.8,17.6,20.7,21.2,22.2,24,26.7,29.2,31.8,35.9,40.3,48.9,63.5,76.1,86.1,90,97.2,101.7,104.4,111.1,123.2,133.4,152.7,169.6,186,201.3,208.9,203.1,216.9,225.9
"80","69","Recreation and culture","G170681",NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.5
"81","70","Education","G170691",0.4,0.4,0.4,0.5,0.6,0.6,0.8,2.6,2.8,3,3.1,3.7,3.9,4.4,3.9,5,5.5,4.5,5.5,6.1,7.2,7.9,7.9,7.5,6.8,7.8,8.6,9,8.5,9.9,10.8,11.3,12.7,14.1,15,15.7,15.3,17.1,16.9,18.3,20.5,21.3,23.7,27.7,34.1,38.8,40.1,42,40.2,42.9
"82","71","Income security","G170701",2.6,2.6,3,3.2,3.5,3.8,4.2,4,4.5,5.2,6.1,7.3,9.5,11.2,10,9.1,12.8,14.7,15.6,17.5,17.9,21.7,22.8,22.9,24.7,26.5,27,28.7,29,30.8,32.4,35.8,39.1,42.4,45.7,50,51.5,51,52.6,53.8,57.1,60.2,66.1,71.7,72.7,71.7,73.5,74.4,76.5,80.8
"83","72","  Disability","G170711",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.4,0.4,0.9,1,1.2,1.3,1.4,1.4,1.6,1.6,1.7,1.8,1.8,1.9,2,2,1.9,1.9
"84","73","  Welfare and social services","G170731",2.1,2.1,2.3,2.6,2.8,3.1,3.4,2.9,3.3,4.4,5.2,6.2,8.4,10,8.6,7.8,11.2,12.7,13.6,15.5,15.5,18.6,19.3,19.4,21,22.8,23.4,24.8,25.1,26.9,28.3,31.3,35.2,37.9,39.3,42.7,45.1,44.3,46,46.6,49.6,53.2,57.7,62.5,62.4,62.3,62.8,63.3,66.5,69.4
"85","74","  Unemployment","G170741",0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.8,0.9,1.2,1.3,1.5,1.5,1.6,2,2.1,2.1,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.8,3,3.5,3.6,3.2,3.3,3.3,3.2,3.3,3.4,3.1,3.3,3.6,3.5,3.4,3.4,3.4,3.2,3.5
"86","75","  Other","G170751",0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.6,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.4,0.7,1,0.9,0.7,0.8,0.5,0.7,0.6,0.5,0.8,1,0.4,0.6,1.9,3.2,1.8,2.1,2,2.4,2.4,2.3,3.5,3.9,4.9,4,5.3,5.7,5,5.9
"87",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","76","      Government","A107RC1",1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.8,53.5
"89","77","Economic affairs","G170791",0.9,1,1.9,2.1,2,2.5,2.8,3.7,3.5,3.8,4.1,4.2,3.7,5.2,3.6,1.2,2.2,2.5,4,5.3,3.9,4.3,4.7,6.3,11.8,11,10.1,13.8,18.8,16.8,13.2,11.5,10.4,11.7,16.1,10.9,10.4,10.2,10.3,14.7,24.1,26.1,38,17,22.5,17.8,29.2,20.7,16.9,19.1
"90","78","  Transportation","G170841",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,1.4,1.7,2.1,2.2,2.5,3,2.7,2.8,2.5,2.5,2.3,1.9,1.9,2.1,2.1,1.9,1.9,2.1,2.2,2.1,2.1,1.6,1.6,1.1,1.1,1.2,6.2,1.9,4.2,2.3,2.2,2.2,1.9,2.1
"91","79","  Other economic affairs","W696RC1",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.4,8.5,7.8,11.9,16.8,14.6,11.2,9.6,8.5,9.5,13.9,8.7,8.3,8.5,8.7,13.6,22.9,24.8,31.9,15.1,18.3,15.4,26.9,18.6,15.1,17
"92","80","    General economic and labor affairs","G170801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.9,0.9,1,1.2,1.9,2.2,2.1,2.5,2.5,2.8,3.2,4.1
"93","81","    Agriculture","G170811",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.4
"94","82","    Energy","G170821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0
"95","83","    Natural resources","G170831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0,0,0,0,0,0.5
"96","84","Housing and community services","G170871",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.7,24.4,25,23.5,21.6,21.1,19.8,20.7,24.4,26.6,28.6,31.7,30.6,37.8,34.4
"97","85","      Federal","B096RC1",1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51,47.6,50.6
"98","86","Economic affairs","G170911",0.9,1,1.9,2.1,2,2.5,2.8,3.7,3.5,3.8,4.1,4.1,3.7,5.2,3.6,1.1,2,2.3,3.8,5,3.6,4,4.3,5.9,11.4,10.6,9.8,13.5,18.5,16.4,12.8,11.1,10,11.3,15.7,10.5,10.1,9.9,9.8,14.3,23.6,25.5,30.4,16.1,22.4,17.4,28.8,20.4,16.6,18.7
"99","87","  Transportation","G170961",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.5,0.5,1.2,1.5,1.9,1.9,2.2,2.7,2.3,2.3,2,2.1,2,1.6,1.7,1.8,1.7,1.5,1.5,1.7,1.8,1.8,1.8,1.3,1.2,0.7,0.7,0.7,5.6,1.3,3.8,2,1.9,1.8,1.5,1.7
"100","88","  Other economic affairs","W697RC1",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.4,8.5,7.8,11.9,16.8,14.6,11.2,9.6,8.5,9.5,13.9,8.7,8.3,8.5,8.7,13.6,22.9,24.8,24.8,14.7,18.6,15.4,26.9,18.6,15.1,17
"101","89","    General economic and labor affairs","G170921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.9,0.9,1,1.2,1.9,2.2,2.1,2.5,2.5,2.8,3.2,4.1
"102","90","    Agriculture","G170931",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.4
"103","91","    Natural resources","G170951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0,0,0,0,0,0.5
"104","92","Housing and community services","G170981",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.7,24.4,25,23.5,21.6,21.1,19.8,20.7,24.4,26.6,28.6,31.7,30.6,31.1,31.8
"105","93","      State and local","B114RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,7.1,3
"106","94","Economic affairs","G171001",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,0.4,0.4
"107","95","  Transportation","G171021",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4
"108","96","  Energy","G171011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0
"109","97","Housing and community services","G171041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2.6
"110",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","98","      Government","A782RC1",29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"112","99","General public service","G171061",0.5,0.6,0.6,0.7,0.9,0.9,1.1,1,1.1,1.3,1.8,1.5,1.7,1.9,2.4,3.3,4.1,4.1,3.9,4.5,5.1,5.7,5.8,6.1,6.2,6.6,7.5,8.6,9.5,9.3,10.4,12.6,13.6,13.7,13.2,14,16.3,16.8,17.9,19.8,22.1,24.2,25.2,28.1,27.6,30.5,31,30.7,35.5,38
"113","100","National defense","A788RC1",13.7,12.3,13.9,14.5,12.6,11.5,10,11.8,13.5,12.2,11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.5,53,51.8,51.6,45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,87.3,103.9
"114","101","Public order and safety","G171081",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.9,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.5,2.6,2.9,3.3,3.8,4.6,5.4,6,6.9,8.2,9,9.5,9,9.9,10.3,10.8,11.7,13.1,13.9,14.6,14.9,14.6,15.8,14.8,14.9,15.4,16.4,18.7,21.3
"115","102","Economic affairs","G171091",8.5,8.6,9.5,10.1,11.7,12.8,14,15.2,15.4,16.2,16,16.8,17.5,17.8,18.2,21,22.5,23,24,28.8,33.2,36.7,38.9,38.1,40.7,45.1,50.2,52.5,54.6,56.9,58.7,65.4,66.3,69,72.1,73,74.1,77.3,81.1,84.7,94.3,101.7,108.1,112.1,115.7,117.7,122.5,130.5,140,145.4
"116","103","Housing and community services","G171101",2.1,2.2,2.4,2.8,2.6,3.1,3.2,3.3,3.4,4.2,4,4.2,4.5,4.5,5.1,6.4,7.4,7.8,7.6,9.4,10.6,12.8,12.5,12.2,11.6,13.1,14.4,16.3,18.3,19,19.4,21.3,21.9,22,21.2,20.3,21.7,23.5,24.6,24.7,26.3,25.6,29.2,32.5,34.5,36.5,38.7,47.1,50.6,50.9
"117","104","Health","G171111",0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.7,1.8,1.9,2.3,2.6,2.8,2.7,2.9,3.2,4,4.3,4.5,5.2,5.9,6.3,7.1,7.8,8,8.9,9.6,10.5,10.9,11.9,11.7,11.9,12.7,12.7,13.6,14,14.1,14.3,15.2,16.2,16.1,17.8,17.4,19.5,20.8
"118","105","Recreation and culture","G171121",0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.8,1.1,1.5,1.5,1.4,1.6,1.7,1.8,1.8,1.9,1.8,1.9,2.2,2.4,2.7,2.9,3.2,3.7,3.7,3.5,3.5,3.5,4.2,4.9,5.8,6,6.4,7.7,8.4,8.5,7.9,7.9,8.4,7.6,9,9.3
"119","106","Education","G171131",3.2,3.4,3.7,3.7,4.3,4.8,5.4,6.7,7.4,7.6,7.4,7.3,7.3,7.4,8.6,9.6,10,9.6,8.7,9.4,10.4,11.4,11.1,11.1,11.5,13.3,15.2,17.3,18,21.1,24.9,27,30.1,31.6,30.4,33.3,40,43.7,49.9,52.1,59.3,64.5,69,71.8,73.6,76.6,80.2,88.8,97,102.7
"120","107","Income security","G171141",0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.1,0.2,0.1,0.1,0.2,0.2,0.5,0.6,0.7,0.9,0.9,0.8,1,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.8,1.2,1.2,1.3,1.8,1.7,1.8,1.9,1.9,1.9,2.3,2.3,2.4,2.3,2.5,2.6,2.7,3.8,5.6,4,4.1
"121","108","      Federal","A787RC1",15.4,14.3,16.3,17.4,16.1,15.6,14.7,16.7,17.7,16,15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.8,77.9,78.6,80.4,73.4,76.4,81.6,80.1,81.5,90.1,96.2,103.3,110.5,120.7,127.9,148.2
"122","109","General public service","G171161",0.1,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0,0,0.1,0.2,0.3,0.4,0.5,0.8,0.9,0.9,0.9,1.1,1.4,1.7,1.6,1.8,1.7,1.7,2.1,2.2,2.7,2,2,2.7,3,3,1.9,1.6,2.9,1.7,1.9,1.7,2,1,2.3,2,2.4,4,3.7,4.3,4.4,4.4
"123","110","National defense","A788RC1",13.7,12.3,13.9,14.5,12.6,11.5,10,11.8,13.5,12.2,11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.5,53,51.8,51.6,45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,87.3,103.9
"124","111","Public order and safety","G171181",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.5,2,2.3,3.3,3,2.7,3.5,4.4,4.9,5.1,5.2,4.9,6.2,5.9,5.6,5.7,6.5,7.4,9.6
"125","112","Economic affairs","G171191",1.2,1.5,1.8,2,2.5,3.3,3.6,3.9,3.4,3.1,2.8,2.8,3,3.1,3.2,3.4,3.8,4.4,5,6.4,6.6,7.3,8.2,7.9,8.9,9.3,10,9.8,10.7,10.6,11.5,13.1,13.3,15.3,15.3,12.7,13.3,15,13.6,14.6,16.4,15.3,13.9,14.9,14,14.2,15.4,16.6,16.9,17.2
"126","113","Housing and community services","G171201",0,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.7,0.4,0.5,0.4,0.3,0.5,0.5,0,0.3,0.3,0.4,0.3,0.4,0.2,0.4,0.4
"127","114","Health","G171211",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.7,0.6,0.6,0.7,0.7,1,1.3,1.2,1.9,2.4,2.6,3,3.4,3.3,3.6,3.7,4.4,4.3,4.9,5,5.1,5.9,5.2,5.8,6.1,5.9,5.7,5.8,6.5,5.7,6.5,6,7,8
"128","115","Recreation and culture","G171221",0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.7,0.7,0.7,0.8,0.8,0.8,1,0.7,0.7,0.6,0.6,0.7
"129","116","Education","G171231",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.9,1,1.1,1.1,1.1,1.3,1.4,1.5,1.7,1.8,1.8,1.8,1.4,1.3,1.4,1.5
"130","117","Income security","G171241",0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0.3,0.5,0.6,0.7,0.7,0.7,0.9,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.7,1.1,0.9,1,1,1,0.9,1.2,1.2,1.2,1.1,1.3,1.4,1.4,2.5,4.3,2.5,2.4
"131","118","      State and local","A799RC1",13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,333.7,348.2
"132","119","General public service","G171261",0.4,0.5,0.5,0.5,0.7,0.7,0.9,0.8,1.1,1.3,1.7,1.3,1.4,1.5,1.9,2.5,3.2,3.2,3,3.4,3.6,4,4.2,4.3,4.4,4.9,5.4,6.4,6.8,7.2,8.4,10,10.5,10.7,11.3,12.4,13.4,15.1,16,18.1,20.1,23.1,22.9,26.1,25.2,26.5,27.4,26.4,31.1,33.5
"133","120","Public order and safety","G171271",0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,1,1.2,1.3,1.5,1.6,1.8,2.1,2.3,2.5,2.7,3.1,3.8,4.5,4.9,5.6,6.7,7.5,7.4,6.8,6.6,7.3,8,8.2,8.7,8.9,9.4,9.7,9.8,9.6,8.9,9.3,9.7,9.9,11.3,11.7
"134","121","Economic affairs","G171281",7.3,7.1,7.7,8.1,9.2,9.5,10.4,11.3,12.1,13,13.2,14,14.5,14.7,15,17.6,18.7,18.6,19,22.4,26.7,29.4,30.7,30.2,31.8,35.8,40.2,42.7,43.9,46.3,47.1,52.3,52.9,53.7,56.8,60.3,60.8,62.3,67.5,70,77.8,86.4,94.2,97.2,101.7,103.5,107.1,113.9,123.1,128.2
"135","122","Housing and community services","G171291",2.1,2.2,2.4,2.7,2.5,3,3.2,3.2,3.4,4.1,4,4.1,4.4,4.4,5,6.3,7.3,7.7,7.5,9.2,10.5,12.7,12.3,12,11.3,12.9,14.2,16,18.1,18.7,19.2,21,21.6,21.8,20.5,20,21.2,23.2,24.3,24.2,25.8,25.6,28.9,32.2,34.1,36.3,38.3,46.9,50.2,50.5
"136","123","Health","G171301",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.8,1,1,1.4,1.4,1.4,1.8,1.9,2.2,2.1,2.2,2.5,2.9,3,3.3,3.2,3.5,3.8,4,4.4,4.7,5.3,5.8,6.1,6.6,7,6.7,6.8,6.9,7.5,7.9,7.9,8.2,8.6,9.3,9.7,10.3,11.3,11.4,12.5,12.8
"137","124","Recreation and culture","G171311",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,1,1.3,1.3,1.2,1.3,1.5,1.6,1.6,1.7,1.7,1.8,2,2.3,2.5,2.8,3.1,3.6,3.5,3.3,3.3,3.3,3.9,4.6,5.1,5.3,5.7,6.9,7.6,7.7,7,7.2,7.7,7,8.4,8.6
"138","125","Education","G171321",3.1,3.3,3.6,3.6,4.2,4.7,5.3,6.5,7.2,7.4,7.3,7.1,7.1,7.2,8.3,9.4,9.7,9.4,8.5,9.1,10.1,11.1,10.8,10.7,11,12.7,14.7,16.7,17.4,20.5,24.3,26.4,29.3,30.8,29.5,32.3,38.9,42.6,48.8,50.9,57.9,63.1,67.3,70,71.8,74.8,78.8,87.5,95.6,101.3
