"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRA3",107.805,111.491,107.531,112.257,114.593,106.874,107.367,99.375,103.553,105.983,112.523,121.069,119.077,122.958,127.526,135.787,134.938,141.133,149.666,144.402,141.099,139.608,124.694,121.148,124.258,130.508,127.657,132.209,134.775,134.295,130.398,128.304,120.048,111.913,100.22,101.094,100,96.041,96.68,93.574,82.781
"77","70","      Other delivery services (by non-USPS facilities)","DODSRA3",9.931,12.635,15.743,18.573,18.896,19.763,18.956,19.676,17.907,18.816,16.855,13.712,10.315,8.174,18.272,29.964,39.88,48.97,58.401,67.468,76.953,85.123,93.295,100.023,104.469,110.272,115.087,116.659,114.809,123.17,123.156,127.844,118.826,108.576,105.685,99.234,100,99.716,96.637,85.204,78.916
"78","71","    Telecommunication services","DTCSRA3",11.086,11.914,12.429,13.253,14.697,15.49,17.123,18.481,19.873,21.756,23.516,24.796,25.359,26.186,27.086,27.303,29.12,30.227,32.62,34.61,37.053,38.809,40.591,45,47.311,50.228,52.833,57.448,63.571,69.301,76.627,85.815,92.189,93.207,93.842,97.299,100,107.345,109.546,111.328,109.396
"79","72","    Internet access","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.052,0.11,0.232,0.501,0.828,1.228,2.736,5.75,9.281,11.937,17.315,32.371,54.635,59.53,70.953,83.828,93.585,100,113.009,169.006,183.889,197.117
"80","73","  Recreation","DRRLRA3",10.508,10.98,11.226,12.34,13.511,13.839,14.386,15.473,16.383,17.563,18.594,18.543,19.369,19.77,21.649,23.902,25.67,27.737,29.9,32.422,34.137,35.419,35.774,37.66,40.928,44.506,48.341,52.081,55.994,61.322,68.285,74.385,77.237,81.466,86.588,93.641,100,107.34,114.702,116.048,115.093
"81","74","    Video and audio equipment, computers, and related services","DVPIRA3",1.704,1.823,1.902,2.124,2.373,2.514,2.73,2.956,3.139,3.336,3.606,3.764,4.06,4.321,5.506,6.469,7.64,9.225,10.409,11.855,12.658,13.362,14.067,15.313,17.488,19.99,23.242,27.183,31.692,38.782,47.654,55.968,62.35,69.585,77.088,88.525,100,113.898,128.574,137.969,143.581
"82","75","      Video and audio equipment","DVAARA3",2.783,2.975,3.093,3.481,3.923,4.145,4.5,4.911,5.174,5.605,6.152,6.39,6.721,6.736,8.25,9.869,12.072,14.181,16.057,17.876,18.973,19.443,19.586,20.739,22.89,26.179,28.806,30.924,32.39,38.247,46.287,54.866,61.504,69.545,75.381,86.795,100,116.758,132.803,145.102,151.859
"83","76","      Information processing equipment","DIPERA3",0.008,0.009,0.01,0.01,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.01,0.013,0.03,0.077,0.09,0.092,0.199,0.257,0.362,0.394,0.494,0.76,1.002,1.612,2.348,3.565,6.009,10.107,15.889,23.418,31.004,38.487,50.619,64.361,80.124,100,123.663,148.402,165.001,180.809
"84","77","      Services related to video and audio goods and computers","DSVCRA3",11.024,11.78,12.419,13.623,14.933,16.092,17.744,18.994,20.843,21.084,21.973,23.131,26.532,29.111,34.137,38.55,43.73,47.526,50.811,55.916,59.938,62.577,60.773,63.529,65.512,65.852,70.319,71.946,73.317,77.011,83.673,88.357,90.003,87.522,90.614,97.854,100,103.45,110.417,112.786,112.405
"85","78","    Sports and recreational goods and related services","DODRRA3",11.863,12.069,12.337,14.522,15.892,15.699,16.687,18.557,19.804,21.224,22.15,20.299,20.682,20.549,21.503,24.775,26.071,28.207,30.915,32.472,34.425,35.085,35.361,36.671,39.819,42.99,45.685,48.451,51.652,57.184,64.728,71.959,75.359,80.478,86.415,93.071,100,106.742,112.824,110.017,107.402
"86","79","      Sports and recreational vehicles","DWHLRA3",20.969,23.164,24.803,31.399,35.145,30.543,33.285,36.506,39.979,40.915,41.357,31.723,31.661,30.224,31.007,38.366,39.646,42.619,44.353,44.525,43.95,41.179,38.772,37.739,42.323,46.877,50.327,53.425,58.169,63.9,69.36,74.703,74.626,77.465,86.82,95.805,100,101.631,103.582,91.293,84.09
"87","80","      Other sporting and recreational goods","DORIRA3",9.549,9.396,9.42,10.648,11.534,12.292,12.898,14.452,15.189,16.69,17.599,17.615,18.055,18.201,19.198,21.383,22.74,24.604,27.47,29.317,31.783,33.274,34.257,36.275,39.071,42,44.413,47.172,49.95,55.286,63.316,70.955,75.287,81.033,85.962,92.036,100,108.612,116.162,117.16,116.699
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",8.306,8.628,8.251,11.171,10.909,8.335,8.768,9.737,10.744,12.338,17.009,14.209,15.944,16.654,17.209,23.323,22.66,26.549,31.456,34.186,38.883,39.477,37.902,34.673,37.311,36.858,41.889,41.917,45.294,54.427,64.427,75.835,83.147,91.008,93.889,95.379,100,106.061,113.628,105.152,93.335
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRA3",31.394,32.106,32.621,33.693,35.191,37.678,39.232,40.399,43.269,45.036,46.537,48.033,51.011,52.639,55.349,57.119,59.451,60.144,60.887,65.641,70.49,73.503,73.305,78.68,81.679,82.842,87.664,90.846,93.239,95.958,96.089,96.67,95.529,96.146,96.858,98.932,100,102.88,105.488,106.499,103.018
"90","83","      Membership clubs and participant sports centers","DMDFRA3",26.817,26.163,25.002,25.364,27.673,30.684,34.269,37.877,41.167,40.147,40.773,41.134,41.425,42.47,46.447,49.663,56.888,61.491,64.712,67.721,70.67,71.63,70.992,74.125,73.194,72.304,77.064,81.412,93.805,93.706,94.139,93.193,91.68,93.553,93.198,96.988,100,100.714,105.001,104.399,100.17
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRA3",29.161,31.474,33.401,36.897,41.102,42.927,44.391,45.443,47.547,48.61,51.745,56.01,62.421,63.487,66.815,66.736,69.988,66.183,66.31,74.39,82.999,87.978,88.237,99.787,102.489,104.844,112.085,113.043,106.351,107.226,104.823,104.16,100.889,94.461,94.42,96.964,100,103.473,108.974,112.5,108.092
"92","85","      Admissions to specified spectator amusements","DADMRA3",40.147,40.269,40.574,39.676,37.737,40.435,40.741,40.047,43.551,48.241,48.641,47.756,48.998,52.082,53.408,56.149,53.273,55.249,54.434,57.69,60.912,64.241,64.162,65.804,72.465,74.534,77.628,82.647,84.769,91.427,93.116,95.444,96.104,100.49,102.437,102.521,100,103.616,103.871,103.726,101.66
"93","86","        Motion picture theaters","DMOVRA3",89.116,87.741,88.173,86.414,78.502,90.059,90.427,82.003,89.867,98.662,94.287,81.909,82.991,90.649,86.749,87.773,79.302,78.621,77.402,83.57,91.932,97.274,94.058,87.769,88.896,90.206,92.136,95.441,100.62,107.72,111.553,113.637,114.469,118.421,115.897,112.164,100,100.13,97.856,96.594,102.375
"94","87","        Live entertainment, excluding sports","DLIGRA3",16.853,16.136,15.215,15.95,16.7,17.567,18.111,20.801,22.951,26.564,28.515,31.778,35.063,34.824,37.493,40.679,44.072,51.912,51.477,53.448,50.286,55.697,55.038,60.456,70.656,73.135,76.187,77.259,78.718,85.847,87.938,90.12,93.121,96.486,98.108,98.529,100,104.487,101.108,101.774,94.114
"95","88","        Spectator sports","DSPERA3",32.435,34.045,35.325,33.511,32.646,31.873,31.938,32.748,34.92,38.187,39.988,42.103,41.646,45.006,48.176,51.524,46.372,44.738,43.823,46.525,52.386,52.727,54.972,57.881,64.643,66.794,70.602,80.084,81.023,87.019,87.113,89.717,88.234,93.738,98.516,100.501,100,104.818,109.508,109.304,107.573
"96","89","      Museums and libraries","DMUSRA3",16.864,18.075,19.18,20.845,22.996,26.449,27.127,29.562,32.56,35.029,36.57,39.586,43.677,43.568,43.987,44.469,46.79,47.848,48.589,51.385,53.695,54.104,52.782,56.758,61.841,62.264,63.31,61.495,62.033,67.689,71.624,77.362,79.519,91.035,94.049,97.097,100,105.7,98.328,100.474,96.579
"97","90","    Magazines, newspapers, books, and stationery","DNBSRA3",41.237,43.286,41.637,43.165,45.316,43.264,41.373,41.728,43.506,49.308,53.846,54.501,54.941,54.251,55.002,58.408,58.053,59.071,62.935,66.922,68.957,71.187,69.509,68.446,70.957,75.064,76.82,78.22,80.925,82.282,86.833,91.076,88.655,88.109,91.063,95.865,100,104.727,108.779,108.372,105.213
"98","91","    Gambling","DGAMRA3",7.666,7.951,8.551,9.645,11.061,11.409,11.864,12.78,13.474,14.816,15.332,15.803,18.18,19.724,21.637,23.629,25.93,27.718,29.287,32.825,33.994,36.027,36.228,40.192,46.429,54.099,60.557,65.29,69.295,69.993,76.391,80.108,80.723,84.061,89.81,97.047,100,105.211,109.045,106.047,103.954
"99","92","    Pets, pet products, and related services","DPETRA3",17.044,18.541,19.215,19.842,22.992,25.373,26.065,28.859,30.844,31.529,32.595,34.403,36.298,36.581,38.771,40.144,43.074,42.532,44.815,46.805,47.968,50.49,50.654,53.096,57.293,62.273,67.316,70.858,74.771,78.429,82.577,86.281,88.225,91.239,93.676,96.165,100,103.177,107.545,105.982,101.657
"100","93","    Photographic goods and services","DPHORA3",32.551,35.129,38.753,43.103,50.156,53.086,54.357,61.68,62.821,66.748,71.177,71.047,71.573,72.059,79.157,84.601,87.472,90.91,94.568,97.617,97.308,94.093,90.81,89.895,91.788,93.428,94.749,94.05,90.983,94.063,96.718,97.548,95.627,94.479,96.992,99.285,100,100.362,109.684,110.579,103.548
"101","94","    Package tours \14\","DXHLRA3",7.084,7.581,7.985,9.239,10.891,11.911,11.88,13.302,14.908,15.697,18.275,20.103,21.401,23.621,25.638,26.565,31.397,32.068,34.855,44.603,52.022,61.072,61.217,69.014,73.385,80.92,84.547,90.282,88.475,96.35,105.523,107.717,98.974,95.412,93.71,97.342,100,94.808,100.707,97.146,97.848
"102","95","  Education","DEDURA3",60.058,64.504,66.985,68.891,71.039,68.948,70.989,72.629,73.579,77.464,78.135,78.357,77.872,76.609,78.193,79.026,80.193,80.979,82.931,86.142,89.53,91.093,90.172,90.241,89.356,89.904,91.104,93.36,95.76,98.524,100.975,104.174,105.726,103.361,102.567,100.489,100,100.286,101.484,102.481,102.533
"103","96","    Educational books","DEBKRA3",52.831,64.417,61.495,57.073,57.86,59.427,63.431,60.491,65.375,74.138,80.045,83.375,84.543,81.962,85.791,92.163,94.398,98.346,106.547,108.919,108.454,107.916,104.647,103.532,107.371,110.978,112.137,109.3,109.105,111.595,116.907,115.419,111.417,109.178,108.064,105.517,100,93.913,89.04,81.621,74.987
"104","97","    Higher education","DHEDRA3",57.676,62.74,67.024,69.965,72.657,71.878,71.585,72.636,74.135,74.772,77.001,79.263,80.972,82.186,82.314,81.528,81.007,81.252,81.71,82.829,84.981,86.678,86.975,86.574,84.971,84.965,85.562,87.9,90.921,94.02,96.945,100.988,103.785,101.922,102.007,99.961,100,100.4,101.286,103.034,104.669
"105","98","    Nursery, elementary, and secondary schools","DNEHRA3",103.874,106.339,110.387,115.789,115.603,111.55,112.79,110.428,108.038,122.229,120.102,118.499,112.297,103.4,105.654,106.587,107.48,105.525,106.782,107.109,113.721,115.515,112.788,112.306,109.197,108.072,107.72,107.572,105.473,102.862,102.82,102.242,102.594,100.739,100.212,100.234,100,100.652,102.19,102.416,101.739
"106","99","    Commercial and vocational schools \15\","DVEDRA3",32.851,34.493,33.738,33.183,35.583,31.561,37.507,43.467,44.458,46.293,44.631,41.806,40.673,40.061,43.246,45.782,50.405,53.49,57.614,68.429,73.446,75.113,73.176,75.583,77.537,80.595,85.569,91.905,97.775,105.254,107.657,113.695,114.194,109.42,105.274,100.937,100,101.672,105.814,107.851,105.081
"107","100","  Food services and accommodations","DFSARA3",39.353,40.717,40.673,43.779,45.963,45.541,47.435,50.297,51.641,53.83,55.499,55.524,56.078,56.448,58.304,59.918,60.716,62.471,65.718,69.627,71.551,74.098,74.145,76.033,77.772,79.006,79.198,79.721,81.484,83.607,85.67,89.575,89.45,90.847,93.957,96.848,100,103.102,104.93,104.234,100.461
"108","101","    Food services","DFSERA3",40.765,42.174,42.226,44.959,47.119,46.577,48.494,51.314,52.675,55.026,56.704,56.844,57.227,57.851,59.715,61.028,61.611,63.452,66.567,70.702,72.691,75.418,75.417,76.931,79.055,80.094,80.205,80.33,81.468,83.764,85.849,89.615,90.329,91.647,94.66,97.316,100,103.142,104.917,103.695,100.252
"109","102","      Purchased meals and beverages \16\","DPMBRA3",39.381,40.985,41.235,44.099,46.314,45.525,47.344,50.075,51.562,53.852,55.471,55.547,55.87,56.486,58.576,60.055,60.815,62.897,66.272,70.484,72.491,75.286,75.304,76.851,79.002,80.04,80.125,80.246,81.414,83.759,85.874,89.712,90.415,91.743,94.769,97.436,100,102.954,104.736,103.543,100.018
"110","103","      Food furnished to employees (including military)","DFOORA3",90.72,84.939,77.776,75.603,75.726,84.149,89.599,95.605,92.43,96.941,100.762,103.143,105.667,106.58,100.402,95.833,90.093,83.356,77.128,78.509,79.875,80.12,79.447,79.773,80.939,82.002,83.05,83.31,83.399,83.891,84.854,85.99,87.099,88.024,90.577,92.8,100,110.193,111.745,109.379,109.055
"111","104","    Accommodations \17\","DACCRA3",28.161,29.165,28.267,34.826,37.315,38.022,39.789,43.22,44.481,45.243,46.9,45.91,47.962,46.221,48.049,52.089,54.572,55.684,59.962,62.23,63.689,64.944,65.336,69.934,68.93,71.54,72.297,75.542,81.506,82.481,84.404,89.2,83.666,85.585,89.336,93.792,100,102.841,105.005,107.699,101.698
"112","105","  Financial services and insurance","DIFSRA3",22.993,23.842,24.714,26.151,27.654,28.321,31.029,32.72,34.759,36.524,37.643,38.12,37.813,40.771,46.634,47.072,52.061,53.708,53.952,53.877,55.931,57.218,61.03,62.744,67.875,68.344,68.679,71.253,73.704,78.392,84.985,93.371,92.719,92.382,92.307,97.075,100,103.202,107.545,108.183,104.265
"113","106","    Financial services","DFNLRA3",13.799,14.345,15.553,16.457,17.26,17.598,20.341,21.726,23.39,24.249,24.596,24.505,24.108,27.194,35.25,35.528,40.824,43.093,43.397,41.582,43.039,43.887,46.655,48.601,54.546,57.056,58.948,65.063,68.802,74.813,84.388,94.796,93.513,93.466,92.032,97.042,100,104.88,111.898,113.811,110.03
"114","107","      Financial services furnished without payment","DIMPRA3",19.424,21.84,23.999,25.75,28.139,29.156,34.61,36.649,39.881,41.429,41.398,39.814,38.822,43.756,58.165,57.668,66.422,66.88,67.307,65.124,65.892,67.042,69.976,70.466,78.359,81.019,81.756,88.635,90.809,91.68,95.442,98.55,99.239,97.29,91.942,99.046,100,101.009,108.131,115.476,110.965
"115","108","      Financial service charges, fees, and commissions","DOFIRA3",9.18,8.081,8.49,8.703,8.21,7.942,8.289,9.142,9.469,9.745,10.45,11.656,11.741,13.276,16.207,17.03,19.452,22.945,23.139,21.694,23.553,24.119,26.551,29.476,33.631,35.869,38.53,43.732,48.503,58.575,73.208,90.684,87.348,89.333,92.162,94.905,100,108.949,115.861,112.005,109.03
"116","109","    Insurance","DINSRA3",45.834,47.411,47.005,49.743,53.02,54.544,56.168,58.312,61.004,65.081,68.327,70.536,70.636,72.379,70.253,71.061,74.47,74.085,74.092,79.422,82.809,85.077,91.131,92.09,94.886,90.82,87.856,83.272,83.192,85.288,86.23,90.943,91.39,90.561,92.736,97.124,100,100.695,101.069,99.816,95.703
"117","110","      Life insurance \18\","DLIFRA3",65.673,68.161,65.735,67.593,71.75,72.09,74.529,81.809,83.869,89.031,91.608,95.322,96.198,101.069,96.801,96.997,100.34,93.802,85.465,96.101,106.038,109.911,129.428,126.777,134.984,120.963,116.029,104.527,105.173,101.101,97.995,104.231,99.018,87.292,85.18,95.96,100,102.863,103.103,101.518,93.719
"118","111","      Net household insurance \19\","DFINRA3",56.871,61.116,62.961,69.209,78.212,98.667,105.024,100.304,108.539,128.434,138.271,135.053,128.047,122.295,118.732,122.326,121.256,120.002,129.707,138.816,138.965,131.971,125.738,114.273,106.796,107.406,101.045,102.531,92.849,105.887,106.558,106.154,105.68,96.654,89.654,98.121,100,97.186,112.254,113.709,108.608
"119","112","      Net health insurance","DHINRA3",30.5,32.112,32.41,34.505,36.4,38.163,40.201,42.631,44.843,47.285,51.546,53.812,52.942,52.628,50.81,52.141,56.278,58.631,62.932,65.866,66.524,68.331,69.971,73.779,75.041,74.146,70.658,67.45,66.49,71.323,74.255,80.012,83.169,88.631,94.509,96.294,100,100.094,100.16,99.641,97.411
"120","113","        Medical care and hospitalization \20\","DMINRA3",24.213,25.373,26.144,27.857,29.543,31.352,35.286,37.101,37.965,39.29,41.765,44.755,47.071,48.136,48.412,49.471,52.34,54.146,57.567,59.725,60.52,61.983,63.928,67.44,69.084,68.901,66.73,65.419,64.723,71.196,74.961,81.206,83.571,89.049,94.921,96.638,100,99.747,100.869,103.275,102.44
"121","114","        Income loss \21\","DIINRA3",48.085,52.374,51.215,53.185,52.931,54.219,51.81,51.688,50.495,51.552,58.865,58.88,48.335,41.42,32.463,33.312,36.116,32.369,32.308,31.531,31.924,31.937,29.912,35.049,44.477,41.933,43.024,45.968,55.329,64.026,70.173,74.895,79.283,84.364,89.406,94.553,100,106.341,109.974,110.145,109.432
"122","115","        Workers' compensation \22\","DPWCRA3",29.905,30.628,30.665,33.519,37.441,39.161,40.456,46.414,54.855,62.001,68.384,69.486,65.02,65.025,62.008,64.49,74.551,83.844,94.147,102.646,102.66,107.286,109.392,112.62,106.931,102.356,90.046,76.733,73.589,72.114,71.619,75.609,81.662,87.079,93.067,94.805,100,101.085,96.049,82.84,74.433
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRA3",54.939,55.252,55.953,61.164,66.08,67.6,67.031,61.95,66.533,71.996,73.942,74.578,75.986,78.422,78.875,78.882,80.504,82.883,86.567,88.87,88.821,90.653,88.763,89.25,89.02,90.226,91.071,91.493,93.356,95.732,97.123,97.572,99.24,99.015,99.072,100.73,100,99.689,99.46,96.477,92.332
"124","117","  Other goods and services","DOISRA3",38.549,39.467,40.207,41.784,44.658,44.85,45.119,48.193,50.187,52.629,52.475,51.178,51.538,50.805,52.655,55.273,58.671,61.824,64.318,66.008,67.926,68.443,66.408,69.1,70.738,72.545,74.391,76.994,79.232,82.614,86.035,89.273,90.71,92.55,95.685,98.519,100,101.892,102.925,102.139,99.106
"125","118","    Personal care \24\","DPCRRA3",29.719,30.242,29.834,30.979,33.002,32.563,32.132,33.205,35.701,37.441,38.022,37.622,37.112,35.995,39.736,41.527,43.991,46.541,49.575,52.738,54.601,56.557,54.175,56.778,58.878,61.859,65.435,68.7,71.964,75.865,80.142,84.446,85.712,88.465,92.098,96.989,100,103.304,105.584,106.096,103.078
"126","119","    Personal items \25\","DPEORA3",18.896,19.285,20.751,21.957,25.482,26.706,28.365,32.178,34.242,35.681,33.815,29.267,29.239,29.005,32.039,35.989,38.834,44.075,44.697,44.81,45.039,43.399,42.193,43.689,46.576,48.349,49.87,53.604,55.867,62.203,71.489,78.959,76.426,81.726,87.147,92.905,100,104.047,102.247,95.221,91.799
"127","120","    Social services and religious activities \26\","DSOCRA3",16.571,17.163,18.491,20.354,20.823,19.578,19.946,21.737,23.427,25.588,27.636,28.818,30.37,32.333,34.454,37.113,41.659,45.351,49.071,50.052,54.403,55.674,56.448,59.608,62.36,64.524,66.828,68.263,70.284,74.157,78.499,83.186,89.458,93.167,96.235,99.185,100,102.631,106.056,108.98,110.391
"128","121","    Professional and other services","DPRSRA3",54.121,56.185,56.852,58.145,60.606,61.217,60.551,63.366,65.871,69.839,68.517,67.74,68.148,66.623,64.996,67.119,71.683,74.005,76.283,82.07,84.542,86.483,84.951,87.015,87.114,86.631,85.49,86.979,88.373,91.075,93.214,93.767,95.678,95.566,99.299,99.835,100,100.361,102.036,101.14,96.285
"129","122","      Legal services","DGALRA3",51.921,55.374,56.471,56.628,59.692,61.008,59.299,61.106,63.072,67.611,65.763,65.174,67.773,66.31,63.991,66.449,71.401,74.445,77.991,84.307,86.505,87.763,84.771,86.758,85.892,84.827,82.889,85.464,87.404,89.5,91.375,91.124,92.982,93.261,97.889,99.202,100,101.642,104.042,102.451,98.321
"130","123","      Accounting and other business services \27\","DPRORA3",34.265,33.728,33.148,36.244,37.559,36.995,37.406,39.676,42.67,45.485,44.259,41.27,39.894,36.641,39.27,39.368,41.401,42.006,42.388,48.638,54.472,57.836,58.102,59.88,63.416,67.163,65.408,67.376,70.018,76.829,82.454,87.027,90.233,92.91,95.698,100.182,100,99.347,105.399,107.062,96.079
"131","124","      Labor organization dues","DUNSRA3",61.293,63.149,62.845,66.015,70.895,72.06,74.051,78.449,82.287,86.28,88.487,88.302,88.103,93.832,94.493,99.666,107.583,113.752,116.279,118.179,119.815,124.429,127.745,130.312,130.368,130.241,130.703,130.304,131.763,125.065,120.478,115.726,108.372,103.59,104.651,102.986,100,100.252,100.438,104.462,102.78
"132","125","      Professional association dues","DAXSRA3",34.334,36.483,39.434,43.09,44.812,47.433,54.77,60.095,64.502,71.4,73.928,73.201,71.375,71.162,67.653,66.933,69.096,71.086,72.239,77.19,80.004,80.793,79.066,77.604,79.788,80.449,85.128,83.802,85.858,88.866,93.387,97.246,102.248,105.991,105.034,103.293,100,102.826,104.506,99.005,99.782
"133","126","      Funeral and burial services","DFUNRA3",94.878,95.401,96.192,98.201,98.073,96.048,93.827,100.041,103.047,105.694,101.732,101.941,95.825,88.489,83.481,85.061,89.423,87.926,86.879,93.246,93.931,96.154,96.156,99.765,99.748,96.301,96.854,94.86,92.14,97.765,99.919,101.13,106.059,102.105,105.768,99.557,100,94.946,88.441,86.255,82.526
"134","127","    Tobacco","DTOBRA3",138.868,141.207,142.335,145.131,153.354,155.714,155.339,166.019,160.217,163.466,162.151,163.822,166.255,159.454,151.267,151.087,150.558,147.268,147.975,136.663,134.841,129.96,120.577,125.862,123.26,124.803,126.624,128.414,128.775,124.12,115.807,113.047,110.989,107.063,105.168,104.292,100,98.366,94.093,90.985,85.425
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRA3",20.807,23.533,23.255,25.561,25.046,22.96,22.501,23.629,24.432,25.312,24.689,24.193,25.201,28.93,33.355,49.197,54.213,49.071,61.199,63.455,64.635,67.678,62.118,65.466,69.107,73.305,73.021,76.03,83.008,93.383,96.513,107.048,101.267,94.861,91.985,98.803,100,104.355,102.515,99.722,95.569
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRA3",14.386,15.522,16.511,17.888,20.315,21.877,23.581,26.594,26.7,28.48,30.17,33.047,36.342,33.711,30.142,40.74,40.538,46.222,49.622,57.163,66.902,74.881,78.73,86.68,90.194,91.33,96.85,102.79,105.517,102.886,105.202,109.637,98.569,93.952,89.625,96.859,100,100.218,107.767,115.773,106.602
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRA3",8.021,8.454,8.911,9.454,9.545,9.369,9.419,9.946,10.107,10.648,11.011,11.536,12.457,14.438,16.607,19.178,20.697,23.461,25.214,28.998,33.139,39.906,45.4,54.418,58.683,63.546,66.469,70.503,65.658,71.902,77.072,83.075,89.411,97.652,102.462,101.98,100,109.96,114.597,124.877,119.597
"140","133","  Gross output of nonprofit institutions \29\","DNPERA3",26.301,27.582,29.507,31.268,32.164,32.544,33.773,35.549,36.891,38.971,40.08,41.257,42.955,44.75,46.413,48.003,49.69,52.172,54.248,57.239,59.301,62.8,65.128,68.634,70.323,71.81,72.766,74.708,75.894,79.659,82.431,85.635,89.787,95.024,96.499,98.396,100,103.016,105.48,108.252,108.852
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRA3",37.861,39.624,42.64,45.165,46.799,47.901,50.296,52.883,55.277,58.447,60,61.402,63.168,63.604,63.877,63.824,65.206,66.838,68.788,70.671,71.032,72.334,72.955,74.008,74.704,74.983,75.262,76.504,79.747,82.653,84.566,86.752,90.099,94.24,94.547,97.235,100,100.789,102.568,103.033,105.361
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
