"","Table 1#15# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"46","39","      Supplements to wages and salaries","B1660C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.5,1.7,1.9,2.5,3.7,4.3,5,5.5,6.4,7.6,8.9,9.6,10.7,11.2,12.7,13.1,13.9,15.7,16.7,18.8,19.9,21.4,21.9,23.1,23.7,24.1,25.1,25.6,26.4,27.6,29.5
"47","40","Households and institutions","A193RC",2.9,2.7,2.3,1.9,1.7,1.8,1.9,2,2.3,2.2,2.3,2.4,2.5,2.9,3.2,3.7,4.1,4.5,5.1,5.6,5.9,6.5,6.9,7.2,7.8,8.1,9.1,9.9,10.6,11.5,12.4,13.9,14.5,15.6,16.7,17.9,19.3,21.3,23.4,26.1,29.5,32.4,35.6,38.9,43,47.1,52,57.1,62.4,69.7,77.3,87.1,97.6,108.2,119.2,131.2,141,153.7,173.3,195.1,214.6,237.9,257.5,279.5,297,313.3,330.3,348.6,363.2,383.8,403.1,431.1,459.6
"48","41","  Compensation of employees","A193RC",2.9,2.7,2.3,1.9,1.7,1.8,1.9,2,2.3,2.2,2.3,2.4,2.5,2.9,3.2,3.7,4.1,4.5,5.1,5.6,5.9,6.5,6.9,7.2,7.8,8.1,9.1,9.9,10.6,11.5,12.4,13.9,14.5,15.6,16.7,17.9,19.3,21.3,23.4,26.1,29.5,32.4,35.6,38.9,43,47.1,52,57.1,62.4,69.7,77.3,87.1,97.6,108.2,119.2,131.2,141,153.7,173.3,195.1,214.6,237.9,257.5,279.5,297,313.3,330.3,348.6,363.2,383.8,403.1,431.1,459.6
"49","42","    Wage and salary accruals","B1661C",2.9,2.6,2.3,1.9,1.7,1.8,1.9,2,2.2,2.1,2.3,2.4,2.5,2.9,3.2,3.7,4.1,4.4,5.1,5.5,5.9,6.4,6.8,7.1,7.6,7.9,8.9,9.6,10.3,11.2,12,13.3,13.9,14.9,15.8,17,18.3,20.1,22,24.6,27.7,30.3,33.1,35.9,39.3,42.9,47,51.5,55.9,62.9,69.5,78.4,87.7,97.3,105.8,115.1,123.3,134.2,151.2,169.5,184.9,203.7,219.1,237.7,250.5,263.9,281,295.7,312.3,332.7,350,374.5,398.3
"50","43","    Supplements to wages and salaries","B1662C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.7,0.8,0.9,1,1.2,1.4,1.5,1.8,2.1,2.5,3,3.7,4.3,4.9,5.6,6.4,6.9,7.7,8.6,9.9,11,13.4,16,17.7,19.5,22.2,25.6,29.7,34.3,38.4,41.8,46.5,49.4,49.3,52.8,50.9,51.1,53.1,56.6,61.3
"51","44","General government","A194RC",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.8,189.6,206.4,225.1,244.8,266.3,295.7,325.5,353.1,375.8,411,444.3,471.1,499.9,532.6,567.3,609.4,645.1,671.8,695.8,717,735.8,759.4,790,819.7,854.8,902.6,952.1
"52","45","  Compensation of employees","A194RC",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.8,189.6,206.4,225.1,244.8,266.3,295.7,325.5,353.1,375.8,411,444.3,471.1,499.9,532.6,567.3,609.4,645.1,671.8,695.8,717,735.8,759.4,790,819.7,854.8,902.6,952.1
"53","46","    Wage and salary accruals","B1663C",4.2,4.4,4.5,4.3,4.5,5.4,5.8,7.1,6.7,7.4,7.4,7.5,9.2,14.8,25.2,31.5,33.4,18.9,15.6,16.8,18.3,20,26.3,30,30.9,31.4,32.9,35,37,39.7,41.4,44.1,47.2,50.7,53.9,58.3,62.8,70.6,78.2,87.3,95.4,105.4,114.2,124.2,133.8,143.6,157.6,169,181.5,197,211.9,233,253.9,274.1,289.2,309.7,332.7,354.1,377.3,402.6,429.2,462.3,488.8,507.9,525.1,541,558,574.9,596.7,623,652.1,691.9,730.3
"54","47","    Supplements to wages and salaries","B1664C",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.8,2,3.5,2,1.3,1.8,1.2,1.4,1.6,1.5,1.7,1.9,2.3,2.8,3.2,3.5,4,4.4,4.8,5.4,6.1,6.5,7.8,9.2,10.5,12.1,14,16.7,18.8,21.7,26.2,32.1,37.4,43.6,47.8,54.4,62.8,71.5,78.9,86.6,101.3,111.6,117,122.6,130,138.1,147,156.3,163.9,170.8,176,177.8,184.5,193.3,196.7,202.7,210.7,221.8
"55","48","Rest of the world","A192RC",0.8,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.7,1.2,1.5,1.3,1.5,2,2.1,2,2.2,2.5,2.9,3.2,2.7,2.9,3.2,3.6,4.2,4.6,5,5.4,5.2,5.5,6.2,6.2,6.4,7.7,8.7,12.7,15.7,13.2,17.1,20.7,22.1,32.9,35.3,34.7,36.4,36.9,35.3,25.4,15.5,13.7,18.4,20.4,29,24.7,23.4,24.4,16.8,20.3,18.1,7.1,-3.4,22.7,23.4,21.9
"56","49","  Compensation of employees","A4187C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0.1,0.1,0.1,0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-1.8,-1.4,-0.9,-1.3,-2.3,-2.8,-3.3,-3.7,-4.4,-4.5,-4.6,-4.9,-5,-5.7,-5.9,-6.2
"57","50","  Corporate profits","B394RC",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1,1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.7,35.5,37,38.4,39.8,48,56.7,64.2,72.7,74.3,68.7,76.7,77.2,92,100.9,110.7,102.3,120.2,143.3,150.8
"58","51","  Net interest","A1627C1",0.5,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.5,-0.5,-0.7,-0.2,-0.8,-2.2,-1.7,-1.4,0.6,1.6,-0.7,-1.6,-0.1,5.2,3.9,1.6,-1.4,-12.8,-22.5,-33,-37.4,-42.6,-41.4,-46.9,-42,-48.7,-56,-67.2,-78.2,-98.8,-100.7,-91.7,-114.1,-122.6
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Domestic income (1-48)","A367RC",86,74.8,59.9,43.6,41.1,50,57.6,65.5,73.6,66.9,72.4,80.8,103.8,137.1,170.9,183.8,182.9,181.6,197.4,221.8,215.4,239.5,276.7,291.2,306.2,306.2,336,355.8,371.9,374.5,408.6,424.3,438.9,472.9,499.8,537.1,584.2,641.5,676.2,737.5,796.5,831,896.2,991.7,1114.7,1196.2,1289,1439.2,1615.2,1838.1,2042.7,2207.7,2462.3,2566.5,2759.6,3126.9,3355.1,3510.3,3789.7,4132.7,4371.7,4613.2,4731.9,4971.5,5227.5,5540,5856.4,6192.3,6611.4,7044.8,7446,7961,8100.1
"61","53","    Compensation of employees (4+13+26+37+41+45)","A4002C1",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.6,121.3,123.3,119.7,130,142,141.9,155.3,181.5,196.3,210.4,209.3,225.9,244.7,257.7,259.7,281.1,296.6,305.5,327.3,345.3,370.8,399.5,442.6,475.1,524.3,577.6,617.2,658.8,725.1,811.2,890.2,949.1,1059.3,1180.5,1336.1,1500.8,1651.8,1825.9,1926.2,2042.9,2256.1,2425.4,2572.5,2756.9,2974.7,3152.3,3353.3,3457.7,3648.1,3818.1,4020.6,4207,4400.1,4656.2,4994.6,5314.5,5729.3,5881
"62","54","    Proprietors' income with inventory valuation and capital consumption adjustments (16+29)","A041RC",14.9,11.7,9.1,5.6,5.8,7.6,10.7,11,13.1,11.2,11.7,12.9,17.3,24.1,29.1,30.3,31.7,36.5,35.6,40.4,35.7,38.6,43.8,44.3,43.3,43.5,45.5,47,49,51.4,51.8,51.9,54.4,56.5,57.8,60.6,65.2,69.6,71.1,75.4,78.9,79.8,86.1,97.7,115.2,115.5,121.6,134.3,148.3,170.1,183.7,177.6,186.2,179.9,195.5,247.5,267,278.6,303.9,338.8,361.8,381,384.2,434.3,461.8,476.6,497.7,544.7,581.2,623.8,678.4,714.8,727.9
"63","55","    Rental income of persons with capital consumption adjustment (32)","A048RC",5.6,4.9,4,3.2,2.5,2.1,2.2,2.3,2.6,3.1,3.3,3.4,4,5,5.6,5.9,6.1,7,7,7.6,7.8,8.7,9.5,10.5,11.5,12.5,12.8,13.1,13.8,14.5,15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9
"64","56","    Corporate profits with inventory valuation and capital consumption adjustments (7)","A445RC",10.4,7.1,2.8,-0.4,-0.3,2.2,3.6,5.8,6.5,4.3,5.9,9.2,14.6,19.7,24.1,24.2,19.8,16.7,22.5,29.6,27.5,34.1,38.6,36.5,36.9,35.9,46.1,44.5,43.9,39.9,51,49.2,50.1,57.8,63.6,70.4,81.2,87.4,84.8,90.9,87.1,74.5,87.3,100.2,109.1,97,118.4,144,171.8,194.4,187.9,163,189.3,168.5,218.6,272.8,284,261,298.6,348.3,331.4,335.9,356.9,384.4,433.7,496,576.8,653.2,723.1,675.2,685.5,644.8,580.9
"65","57","    Net interest (11+24+35)","A1850C1",4,4.2,4.3,4,3.6,3.7,3.7,3.5,3.5,3.4,3.4,3.1,3.1,3,2.6,2.2,2.1,1.7,2.2,2.3,2.5,2.8,3.2,3.6,4.2,5,5.7,6.4,7.5,9.1,9.5,10.5,12,13.6,14.7,16.8,19,22,24.7,26.7,32.6,39.2,42.8,47,56.1,70.5,77.9,80.2,94.1,115.1,145.8,184,221.3,252.4,265.7,311,339.5,366.1,394.5,426.8,485.6,493.9,476.7,441.4,423,436.5,457,464.5,522.6,612.5,618.4,725.6,772.5
