"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"60","39","    Rental income of persons (without CCAdj)","B049RC1","7,348.0","7,497.0","7,739.0","7,951.0","8,134.0","8,293.0","8,367.0","8,445.0","8,354.0","8,458.0","8,690.0","8,907.0","9,261.0","9,479.0","9,663.0","9,994.0","10,194.0","10,474.0","10,775.0","11,053.0","11,335.0","11,603.0","11,869.0","12,203.0","12,519.0","12,826.0","13,087.0","13,391.0","13,710.0","13,925.0","14,055.0","14,205.0","14,265.0","14,333.0","14,406.0","14,514.0","14,602.0","14,626.0","14,715.0","14,827.0","14,910.0","15,008.0","15,119.0","15,334.0","15,621.0","15,800.0","15,942.0","16,029.0","16,024.0","16,496.0","16,857.0","17,122.0","17,306.0","17,459.0","17,623.0","17,783.0","18,002.0","18,169.0","18,370.0","18,595.0","18,822.0","19,033.0","19,238.0","19,439.0","19,652.0","19,805.0","19,968.0","19,960.0","19,961.0","19,899.0","19,988.0","19,972.0","20,233.0","20,439.0","20,690.0","20,692.0","21,058.0","20,987.0","21,264.0","21,270.0","21,497.0","21,617.0","21,680.0","21,585.0","21,357.0","21,378.0","21,557.0","21,414.0","21,681.0","21,780.0","21,949.0"
"61","40","    Capital consumption adjustment","B050RC1","-414.0","-447.0","-474.0","-493.0","-505.0","-512.0","-517.0","-518.0","-515.0","-514.0","-512.0","-511.0","-512.0","-518.0","-529.0","-545.0","-566.0","-581.0","-593.0","-600.0","-601.0","-601.0","-602.0","-600.0","-601.0","-601.0","-599.0","-595.0","-593.0","-592.0","-591.0","-592.0","-596.0","-600.0","-606.0","-614.0","-620.0","-624.0","-627.0","-625.0","-625.0","-622.0","-619.0","-618.0","-615.0","-612.0","-611.0","-610.0","-611.0","-609.0","-606.0","-602.0","-594.0","-587.0","-580.0","-571.0","-565.0","-558.0","-550.0","-543.0","-537.0","-530.0","-525.0","-520.0","-517.0","-514.0","-513.0","-512.0","-514.0","-518.0","-523.0","-533.0","-545.0","-558.0","-571.0","-586.0","-601.0","-616.0","-631.0","-644.0","-659.0","-676.0","-698.0","-723.0","-750.0","-781.0","-815.0","-854.0","-892.0","-925.0","-953.0"
"62","41","  Corporate profits with IVA and CCAdj","A051RC1","20,694.0","23,943.0","23,836.0","25,475.0","29,412.0","31,175.0","30,652.0","32,261.0","30,727.0","28,332.0","29,545.0","26,236.0","29,767.0","33,426.0","38,078.0","41,269.0","40,192.0","40,186.0","40,740.0","42,086.0","39,521.0","37,424.0","37,103.0","41,308.0","41,969.0","41,210.0","40,159.0","33,130.0","35,450.0","36,803.0","38,717.0","42,366.0","47,494.0","48,725.0","49,351.0","50,426.0","48,350.0","48,160.0","47,377.0","48,053.0","49,670.0","48,543.0","48,027.0","44,316.0","38,426.0","39,158.0","43,256.0","48,992.0","52,583.0","57,607.0","52,347.0","52,767.0","57,025.0","53,152.0","52,258.0","49,949.0","48,899.0","53,170.0","55,421.0","59,258.0","61,677.0","60,958.0","62,240.0","64,505.0","64,708.0","68,129.0","69,494.0","71,009.0","75,236.0","75,146.0","76,279.0","75,435.0","83,296.0","85,422.0","86,657.0","90,741.0","93,912.0","92,807.0","91,089.0","92,376.0","89,620.0","88,450.0","89,701.0","92,929.0","93,923.0","97,709.0","97,942.0","99,430.0","99,378.0","96,361.0","93,611.0"
"63","42","    Corporate profits with IVA","A052RC1","23,108.0","26,292.0","26,552.0","28,232.0","32,192.0","34,064.0","33,548.0","35,092.0","33,456.0","31,108.0","32,324.0","28,964.0","32,268.0","36,056.0","40,628.0","44,120.0","43,140.0","43,040.0","43,532.0","44,644.0","42,016.0","39,836.0","39,476.0","43,516.0","44,084.0","42,976.0","41,564.0","34,120.0","36,524.0","37,648.0","39,352.0","42,576.0","47,192.0","48,092.0","47,956.0","49,352.0","47,376.0","47,740.0","47,504.0","48,460.0","49,912.0","48,604.0","47,772.0","43,876.0","38,300.0","39,540.0","43,660.0","49,332.0","52,712.0","57,204.0","52,000.0","52,000.0","55,712.0","51,624.0","50,448.0","48,048.0","46,772.0","50,752.0","53,008.0","56,828.0","56,564.0","55,724.0","56,828.0","59,012.0","59,112.0","61,932.0","63,176.0","64,312.0","68,284.0","68,364.0","69,240.0","68,520.0","75,988.0","77,836.0","78,700.0","83,096.0","86,116.0","84,864.0","83,176.0","84,216.0","81,688.0","80,444.0","81,308.0","84,532.0","85,512.0","89,200.0","89,532.0","90,908.0","90,288.0","87,260.0","84,560.0"
"64","43","      Profits before tax (without IVA and CCAdj)","A053RC1","32,760.0","30,968.0","30,600.0","33,452.0","35,068.0","36,932.0","36,344.0","35,160.0","32,052.0","28,272.0","29,340.0","28,764.0","32,968.0","39,372.0","47,932.0","52,660.0","51,864.0","44,052.0","40,068.0","43,168.0","40,744.0","38,680.0","38,776.0","42,720.0","44,516.0","44,572.0","43,568.0","34,076.0","36,536.0","37,684.0","40,036.0","43,116.0","48,300.0","48,976.0","50,148.0","52,112.0","50,288.0","51,384.0","48,696.0","51,484.0","52,336.0","50,112.0","49,052.0","44,820.0","38,520.0","39,228.0","43,904.0","50,200.0","53,340.0","58,200.0","52,332.0","51,152.0","56,580.0","52,228.0","49,932.0","47,784.0","46,848.0","49,736.0","52,684.0","57,008.0","56,120.0","55,848.0","57,580.0","58,476.0","58,128.0","61,716.0","63,408.0","65,064.0","68,520.0","68,508.0","70,140.0","69,216.0","76,388.0","78,956.0","80,220.0","85,036.0","87,312.0","87,528.0","86,788.0","85,172.0","82,060.0","81,768.0","83,036.0","87,324.0","90,188.0","92,124.0","92,484.0","94,960.0","95,220.0","92,480.0","89,496.0"
"65","44","        Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0","40,428.0","39,140.0"
"66","45","        Profits after tax (without IVA and CCAdj)","A055RC1","21,200.0","20,032.0","19,804.0","21,672.0","22,924.0","24,136.0","23,764.0","22,996.0","21,008.0","18,556.0","19,220.0","18,832.0","19,340.0","23,064.0","28,008.0","30,820.0","25,584.0","21,788.0","19,924.0","21,620.0","20,940.0","20,028.0","20,168.0","22,188.0","22,900.0","22,848.0","22,336.0","17,500.0","20,132.0","20,780.0","22,116.0","23,848.0","26,956.0","27,368.0","27,992.0","29,056.0","28,248.0","28,896.0","27,552.0","29,184.0","29,512.0","28,240.0","27,624.0","25,252.0","21,600.0","21,980.0","24,516.0","27,900.0","29,840.0","32,476.0","29,216.0","28,584.0","31,476.0","29,164.0","27,908.0","26,848.0","26,192.0","27,644.0","29,292.0","31,588.0","32,216.0","32,188.0","33,216.0","34,024.0","33,572.0","35,452.0","36,404.0","37,404.0","40,616.0","40,544.0","41,556.0","41,048.0","46,832.0","48,452.0","49,136.0","51,920.0","53,144.0","53,320.0","52,916.0","51,896.0","49,560.0","49,564.0","50,552.0","52,916.0","51,460.0","52,628.0","52,820.0","54,336.0","53,760.0","52,052.0","50,356.0"
"67","46","          Net dividends","B056RC1","6,004.0","6,312.0","6,520.0","6,448.0","7,028.0","6,676.0","7,088.0","7,352.0","7,224.0","7,204.0","7,112.0","7,412.0","8,288.0","8,372.0","9,156.0","9,536.0","8,380.0","8,632.0","8,580.0","8,688.0","8,156.0","8,712.0","8,600.0","8,772.0","8,432.0","9,176.0","9,044.0","8,892.0","9,436.0","8,880.0","9,308.0","9,504.0","10,048.0","10,168.0","10,780.0","10,916.0","11,164.0","11,188.0","11,180.0","11,588.0","11,608.0","11,792.0","11,896.0","11,672.0","11,552.0","11,676.0","11,656.0","11,380.0","12,084.0","12,464.0","12,764.0","12,968.0","13,172.0","13,248.0","13,536.0","13,508.0","13,564.0","13,640.0","13,932.0","14,468.0","14,564.0","14,992.0","15,180.0","15,372.0","15,760.0","16,092.0","16,332.0","16,760.0","17,456.0","18,020.0","18,412.0","18,888.0","19,208.0","19,888.0","20,540.0","21,184.0","21,268.0","20,876.0","20,532.0","20,004.0","21,064.0","21,680.0","22,072.0","21,224.0","22,604.0","23,372.0","23,968.0","24,196.0","23,964.0","24,124.0","24,268.0"
"68","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","15,196.0","13,720.0","13,284.0","15,224.0","15,896.0","17,460.0","16,676.0","15,644.0","13,784.0","11,352.0","12,108.0","11,420.0","11,052.0","14,692.0","18,852.0","21,284.0","17,204.0","13,156.0","11,344.0","12,932.0","12,784.0","11,316.0","11,568.0","13,416.0","14,468.0","13,672.0","13,292.0","8,608.0","10,696.0","11,900.0","12,808.0","14,344.0","16,908.0","17,200.0","17,212.0","18,140.0","17,084.0","17,708.0","16,372.0","17,596.0","17,904.0","16,448.0","15,728.0","13,580.0","10,048.0","10,304.0","12,860.0","16,520.0","17,756.0","20,012.0","16,452.0","15,616.0","18,304.0","15,916.0","14,372.0","13,340.0","12,628.0","14,004.0","15,360.0","17,120.0","17,652.0","17,196.0","18,036.0","18,652.0","17,812.0","19,360.0","20,072.0","20,644.0","23,160.0","22,524.0","23,144.0","22,160.0","27,624.0","28,564.0","28,596.0","30,736.0","31,876.0","32,444.0","32,384.0","31,892.0","28,496.0","27,884.0","28,480.0","31,692.0","28,856.0","29,256.0","28,852.0","30,140.0","29,796.0","27,928.0","26,088.0"
"69","48","      Inventory valuation adjustment","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0","-5,220.0","-4,936.0"
"70","49","    Capital consumption adjustment","A059RC1","-2,414.0","-2,349.0","-2,716.0","-2,757.0","-2,780.0","-2,889.0","-2,896.0","-2,831.0","-2,729.0","-2,776.0","-2,779.0","-2,728.0","-2,501.0","-2,630.0","-2,550.0","-2,851.0","-2,948.0","-2,854.0","-2,792.0","-2,558.0","-2,495.0","-2,412.0","-2,373.0","-2,208.0","-2,115.0","-1,766.0","-1,405.0","-990.0","-1,074.0","-845.0","-635.0","-210.0","302.0","633.0","1,395.0","1,074.0","974.0","420.0","-127.0","-407.0","-242.0","-61.0","255.0","440.0","126.0","-382.0","-404.0","-340.0","-129.0","403.0","347.0","767.0","1,313.0","1,528.0","1,810.0","1,901.0","2,127.0","2,418.0","2,413.0","2,430.0","5,113.0","5,234.0","5,412.0","5,493.0","5,596.0","6,197.0","6,318.0","6,697.0","6,952.0","6,782.0","7,039.0","6,915.0","7,308.0","7,586.0","7,957.0","7,645.0","7,796.0","7,943.0","7,913.0","8,160.0","7,932.0","8,006.0","8,393.0","8,397.0","8,411.0","8,509.0","8,410.0","8,522.0","9,090.0","9,101.0","9,051.0"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
