"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"22","2","Less: Coverage differences","M318021","1,450.0","1,476.0","1,187.0","1,210.0","1,352.0","1,782.0","1,182.0","1,243.0","1,399.0","1,761.0","1,391.0","2,069.0","2,416.0","1,926.0","1,660.0","1,843.0","2,037.0","1,715.0","1,849.0","1,863.0","1,960.0","1,657.0","1,947.0","1,772.0","1,770.0","1,908.0","2,160.0","782.0","1,630.0","3,753.0","2,324.0","2,312.0","3,843.0","2,165.0","2,229.0","2,134.0","2,214.0","2,040.0","2,219.0","2,156.0","2,227.0","2,275.0","2,321.0","2,317.0","2,451.0","2,506.0","2,855.0","2,697.0","2,567.0","3,234.0","2,695.0","2,861.0","3,640.0","2,998.0","3,321.0","2,554.0","2,467.0","2,158.0","2,585.0","2,109.0","3,031.0","2,296.0","2,538.0","2,817.0","2,569.0","2,795.0","3,298.0","2,785.0","3,130.0","3,207.0","3,454.0","2,978.0","2,787.0","3,494.0","2,879.0","3,347.0","2,735.0","3,303.0","3,125.0","3,241.0","3,055.0","3,898.0","3,404.0","3,584.0","3,278.0","5,384.0","4,011.0","3,870.0","3,567.0","4,238.0","4,121.0","3,924.0","3,754.0","4,318.0","4,186.0","4,209.0","3,785.0","4,913.0","4,476.0","4,673.0","4,596.0","5,878.0","4,856.0","4,680.0","4,298.0","5,391.0","5,041.0","5,038.0","4,733.0","6,333.0","6,691.0","5,763.0","5,603.0","7,587.0","6,486.0","6,691.0","6,860.0","9,812.0","7,961.0","8,583.0","7,991.0","11,032.0","8,657.0","9,992.0","8,611.0","11,171.0","8,854.0","8,556.0","9,034.0","11,423.0","8,661.0","9,179.0","8,879.0","9,741.0","8,941.0","7,953.0","7,870.0","8,277.0","8,087.0","8,543.0","8,550.0","9,258.0","9,733.0","8,356.0","8,904.0","9,693.0","9,479.0","9,061.0","10,501.0","10,444.0","9,794.0","9,101.0","8,612.0","10,561.0","9,481.0","10,001.0","9,496.0","12,017.0","9,714.0","9,906.0","8,401.0","9,452.0","8,129.0","7,039.0","8,369.0","9,009.0","6,797.0","3,764.0","2,642.0","9,893.0","3,669.0","6,211.0","6,545.0","7,766.0","6,722.0","6,496.0"
"23","3","  Contributions received by federal employee pension and insurance funds \1\","M318041","372.0","348.0","432.0","392.0","440.0","502.0","463.0","494.0","482.0","514.0","499.0","505.0","554.0","540.0","544.0","518.0","577.0","548.0","574.0","558.0","629.0","586.0","647.0","606.0","647.0","665.0","678.0","685.0","747.0","705.0","720.0","710.0","762.0","752.0","745.0","801.0","806.0","832.0","798.0","842.0","861.0","886.0","905.0","850.0","944.0","922.0","1,003.0","915.0","1,041.0","979.0","1,050.0","958.0","1,094.0","1,026.0","1,134.0","1,046.0","1,130.0","1,066.0","1,194.0","1,097.0","1,159.0","1,159.0","1,165.0","1,194.0","1,154.0","1,196.0","1,215.0","1,243.0","1,147.0","1,186.0","1,165.0","1,266.0","1,113.0","1,196.0","1,140.0","1,252.0","1,069.0","1,197.0","1,116.0","1,130.0","1,106.0","1,154.0","1,120.0","1,120.0","1,111.0","1,150.0","1,141.0","1,134.0","1,126.0","1,153.0","1,149.0","1,167.0","1,204.0","1,170.0","1,247.0","1,212.0","1,164.0","1,162.0","1,267.0","1,150.0","1,184.0","1,101.0","1,226.0","1,122.0","1,153.0","1,126.0","1,149.0","1,098.0","1,196.0","1,057.0","1,118.0","1,129.0","1,086.0","1,099.0","1,104.0","1,174.0","1,006.0","1,106.0","1,049.0","1,153.0","1,046.0","1,171.0","1,102.0","1,215.0","1,169.0","1,200.0","1,179.0","1,183.0","1,243.0","1,144.0","1,143.0","1,138.0","1,143.0","1,162.0","1,151.0","1,156.0","1,147.0","1,162.0","1,166.0","1,119.0","1,153.0","1,119.0","1,205.0","1,126.0","1,116.0","1,042.0","1,175.0","1,106.0","1,153.0","1,084.0","1,015.0","1,082.0","1,067.0","1,058.0","1,051.0","1,069.0","1,022.0","1,040.0","1,034.0","1,110.0","967.0","1,084.0","981.0","1,121.0","926.0","1,068.0","962.0","1,091.0","925.0","1,058.0","978.0","959.0","925.0","928.0","927.0","918.0"
"24","4","  Capital transfers received \2\","M318051","813.0","1,258.0","731.0","761.0","873.0","1,275.0","750.0","784.0","876.0","1,319.0","892.0","1,501.0","1,813.0","1,219.0","1,072.0","1,257.0","1,452.0","1,129.0","1,265.0","1,246.0","1,340.0","1,176.0","1,221.0","1,058.0","1,139.0","1,184.0","1,359.0","1,205.0","1,324.0","1,317.0","1,454.0","1,488.0","3,015.0","1,311.0","1,503.0","1,328.0","1,322.0","1,229.0","1,353.0","1,308.0","1,341.0","1,282.0","1,416.0","1,455.0","1,489.0","1,564.0","1,809.0","1,652.0","1,529.0","1,597.0","1,948.0","1,817.0","2,038.0","1,940.0","1,993.0","1,544.0","1,364.0","1,441.0","1,584.0","1,384.0","1,540.0","1,480.0","1,442.0","1,508.0","1,569.0","1,559.0","1,634.0","1,611.0","1,564.0","1,839.0","1,777.0","1,791.0","1,733.0","1,994.0","1,790.0","1,691.0","1,639.0","2,065.0","1,897.0","2,042.0","1,871.0","2,646.0","2,044.0","2,338.0","2,195.0","4,159.0","2,636.0","2,607.0","2,499.0","3,048.0","2,819.0","2,631.0","2,509.0","3,114.0","2,748.0","2,910.0","2,625.0","3,746.0","3,088.0","3,444.0","3,376.0","4,752.0","3,510.0","3,470.0","3,090.0","4,236.0","3,778.0","3,844.0","3,482.0","5,233.0","4,500.0","4,274.0","4,224.0","6,171.0","5,010.0","5,159.0","5,106.0","7,772.0","5,856.0","6,425.0","5,945.0","8,901.0","6,373.0","7,551.0","6,217.0","8,762.0","6,297.0","6,825.0","6,453.0","8,929.0","6,015.0","6,554.0","6,315.0","7,159.0","6,336.0","5,492.0","5,443.0","5,659.0","5,130.0","5,744.0","5,748.0","6,452.0","6,740.0","5,675.0","6,018.0","6,541.0","6,315.0","6,115.0","7,510.0","7,414.0","6,667.0","6,242.0","5,734.0","7,607.0","6,261.0","6,869.0","6,498.0","8,861.0","6,372.0","6,532.0","5,503.0","6,373.0","4,915.0","3,820.0","5,214.0","5,578.0","3,642.0","645.0","-586.0","6,645.0","581.0","2,980.0","3,142.0","4,316.0","3,429.0","3,182.0"
"25","5","  Financial transactions","M318061","5.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","6","  Other \3\","M318071","260.0","-134.0","24.0","57.0","39.0","5.0","-31.0","-35.0","41.0","-72.0","0.0","63.0","49.0","167.0","44.0","68.0","8.0","38.0","10.0","59.0","-9.0","-105.0","79.0","108.0","-16.0","59.0","123.0","-1,108.0","-441.0","1,731.0","150.0","114.0","66.0","102.0","-19.0","5.0","86.0","-21.0","68.0","6.0","25.0","107.0","0.0","12.0","18.0","20.0","43.0","130.0","-3.0","658.0","-303.0","86.0","508.0","32.0","194.0","-36.0","-27.0","-349.0","-193.0","-372.0","332.0","-343.0","-69.0","115.0","-154.0","40.0","449.0","-69.0","419.0","182.0","512.0","-79.0","-59.0","304.0","-51.0","404.0","27.0","41.0","112.0","69.0","78.0","98.0","240.0","126.0","-28.0","75.0","234.0","129.0","-58.0","37.0","153.0","126.0","41.0","34.0","191.0","87.0","-4.0","5.0","121.0","79.0","36.0","25.0","120.0","88.0","55.0","29.0","114.0","96.0","55.0","43.0","1,073.0","360.0","293.0","317.0","372.0","358.0","748.0","934.0","1,056.0","1,005.0","1,000.0","960.0","1,182.0","1,226.0","1,225.0","1,209.0","1,378.0","548.0","1,338.0","1,350.0","1,503.0","1,487.0","1,421.0","1,420.0","1,454.0","1,305.0","1,280.0","1,456.0","1,791.0","1,680.0","1,649.0","1,687.0","1,788.0","1,555.0","1,770.0","2,110.0","1,989.0","1,840.0","1,838.0","1,946.0","2,112.0","1,777.0","1,811.0","1,896.0","2,169.0","2,063.0","1,976.0","2,116.0","2,308.0","2,264.0","1,931.0","1,995.0","2,233.0","2,098.0","2,229.0","2,363.0","2,193.0","2,028.0","2,303.0","2,190.0","2,110.0","2,272.0","2,478.0","2,522.0","2,366.0","2,396.0"
"27","7","Less: Netting and grossing differences","M318081","-1,188.0","-745.0","-663.0","-1,064.0","-1,028.0","-917.0","-420.0","-879.0","-756.0","-873.0","-547.0","-1,213.0","-910.0","-1,309.0","-847.0","-933.0","-1,086.0","-1,279.0","-533.0","-483.0","-1,061.0","-1,011.0","-987.0","-1,007.0","-885.0","-1,500.0","-1,068.0","-1,200.0","-1,734.0","-1,781.0","-1,868.0","-1,850.0","-2,430.0","-2,176.0","-1,879.0","-1,961.0","-1,922.0","-2,223.0","-2,501.0","-3,097.0","-3,081.0","-2,930.0","-3,015.0","-3,553.0","-3,332.0","-3,209.0","-3,442.0","-4,245.0","-4,633.0","-4,690.0","-4,894.0","-7,439.0","-7,389.0","-7,398.0","-6,960.0","-7,734.0","-7,790.0","-8,036.0","-7,745.0","-8,530.0","-9,262.0","-9,248.0","-8,829.0","-9,751.0","-9,522.0","-11,517.0","-10,858.0","-11,143.0","-11,527.0","-11,314.0","-11,551.0","-11,230.0","-10,938.0","-10,605.0","-10,961.0","-11,293.0","-12,635.0","-12,545.0","-11,234.0","-11,763.0","-13,093.0","-12,858.0","-14,196.0","-12,014.0","-12,072.0","-12,342.0","-12,234.0","-15,501.0","-15,217.0","-15,085.0","-14,874.0","-14,616.0","-15,694.0","-15,437.0","-15,083.0","-17,739.0","-15,315.0","-16,110.0","-19,363.0","-16,100.0","-16,469.0","-15,985.0","-19,089.0","-15,152.0","-16,345.0","-15,927.0","-19,661.0","-14,740.0","-16,521.0","-16,066.0","-21,032.0","-20,028.0","-17,215.0","-16,538.0","-21,495.0","-16,538.0","-17,537.0","-16,859.0","-21,557.0","-18,262.0","-15,983.0","-17,180.0","-21,634.0","-17,557.0","-18,953.0","-18,927.0","-23,148.0","-16,813.0","-18,695.0","-18,606.0","-22,619.0","-19,080.0","-19,165.0","-21,026.0","-27,534.0","-20,204.0","-22,551.0","-23,631.0","-24,579.0","-22,489.0","-24,535.0","-25,138.0","-26,365.0","-23,761.0","-25,799.0","-26,564.0","-28,883.0","-26,017.0","-29,554.0","-31,161.0","-31,604.0","-29,381.0","-32,586.0","-32,566.0","-34,453.0","-32,407.0","-35,076.0","-35,847.0","-39,461.0","-37,084.0","-42,482.0","-42,831.0","-50,287.0","-94,192.0","-38,280.0","-42,304.0","-46,679.0","-42,612.0","-45,212.0","-45,002.0","-46,899.0","-39,903.0","-41,804.0","-40,670.0","-39,677.0","-32,771.0"
"28","8","  Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,202.0","-675.0","-947.0","-1,032.0","-1,068.0","-1,054.0","-1,071.0","-1,061.0","-1,077.0","-1,286.0","-1,301.0","-1,279.0","-1,335.0","-1,425.0","-1,377.0","-1,426.0","-1,427.0","-1,442.0","-1,426.0","-1,444.0","-1,454.0","-1,678.0","-1,689.0","-1,699.0","-2,380.0","-1,682.0","-2,364.0","-2,371.0","-2,384.0","-3,043.0","-3,070.0","-3,093.0","-3,113.0","-2,822.0","-2,816.0","-2,859.0","-2,949.0","-3,063.0","-3,073.0","-3,095.0","-3,142.0","-3,332.0","-3,353.0","-3,415.0","-4,508.0","-2,836.0","-3,987.0","-3,977.0","-4,071.0","-4,534.0","-4,555.0","-4,590.0","-4,615.0","-5,191.0","-5,162.0","-5,273.0","-5,043.0","-5,138.0","-4,898.0","-4,961.0","-4,967.0","-5,152.0","-5,119.0","-5,183.0","-5,155.0","-5,200.0","-5,190.0","-5,202.0","-6,657.0","-4,059.0","-5,402.0","-5,443.0","-5,510.0","-5,447.0","-5,457.0","-5,493.0","-5,540.0","-6,060.0","-6,019.0","-6,134.0","-6,108.0","-6,643.0","-6,585.0","-6,616.0","-6,709.0","-7,177.0","-7,213.0","-7,333.0","-7,266.0","-8,229.0","-8,234.0","-8,411.0","-8,455.0","-9,855.0","-9,888.0","-10,045.0","-10,161.0","-11,544.0","-11,540.0","-11,843.0","-11,784.0","-12,865.0","-12,618.0","-12,931.0","-12,938.0","-13,788.0","-13,589.0","-13,864.0","-13,887.0","-14,175.0","-14,341.0","-14,552.0","-18,507.0","-11,394.0","-15,264.0","-15,488.0","-15,500.0","-15,950.0","-15,635.0","-16,043.0","-16,076.0","-16,004.0","-15,959.0","-16,303.0","-15,585.0"
"29","9","  Interest receipts","W704MC1","-514.0","-574.0","-554.0","-688.0","-595.0","-659.0","-614.0","-741.0","-586.0","-718.0","-682.0","-883.0","-675.0","-725.0","-711.0","-859.0","-742.0","-786.0","-673.0","-804.0","-710.0","-775.0","-773.0","-896.0","-769.0","-869.0","-936.0","-1,068.0","-1,046.0","-1,033.0","-1,100.0","-1,108.0","-1,102.0","-1,273.0","-1,262.0","-1,312.0","-1,295.0","-1,553.0","-1,563.0","-1,786.0","-1,709.0","-1,755.0","-1,881.0","-2,109.0","-1,924.0","-2,076.0","-2,329.0","-2,657.0","-2,613.0","-2,717.0","-3,056.0","-3,473.0","-3,580.0","-3,592.0","-3,773.0","-3,772.0","-3,806.0","-3,797.0","-3,927.0","-4,046.0","-4,030.0","-4,305.0","-4,180.0","-4,115.0","-4,190.0","-4,410.0","-4,932.0","-5,330.0","-5,616.0","-5,497.0","-5,888.0","-4,800.0","-4,346.0","-4,159.0","-3,976.0","-3,832.0","-5,847.0","-4,450.0","-4,286.0","-4,422.0","-3,960.0","-3,886.0","-4,459.0","-4,047.0","-4,182.0","-4,037.0","-4,112.0","-6,904.0","-5,488.0","-4,902.0","-5,038.0","-4,533.0","-4,427.0","-4,322.0","-4,161.0","-4,184.0","-3,659.0","-3,636.0","-3,601.0","-3,497.0","-2,856.0","-2,690.0","-2,585.0","-2,841.0","-2,934.0","-3,099.0","-2,817.0","-2,991.0","-3,646.0","-3,576.0","-3,736.0","-3,144.0","-2,888.0","-3,040.0","-3,064.0","-3,322.0","-2,590.0","-2,827.0","-2,943.0","-3,129.0","-3,065.0","-3,106.0","-3,065.0","-3,035.0","-3,706.0","-3,667.0","-3,197.0","-2,897.0","-2,828.0","-2,762.0","-2,931.0","-3,401.0","-2,605.0","-2,615.0","-2,816.0","-2,897.0","-2,552.0","-2,902.0","-2,923.0","-2,933.0","-2,378.0","-2,313.0","-2,405.0","-2,453.0","-2,527.0","-2,607.0","-2,573.0","-2,676.0","-2,645.0","-2,712.0","-2,788.0","-2,952.0","-2,987.0","-3,093.0","-3,096.0","-3,076.0","-2,963.0","-2,910.0","-3,183.0","-3,373.0","-6,937.0","-9,510.0","-9,357.0","-10,409.0","-8,826.0","-9,300.0","-10,366.0","-10,643.0","-10,877.0","-10,666.0","-10,398.0","-9,964.0","-9,868.0","-9,424.0","-9,411.0","-9,455.0"
"30","10","  Current surplus of government enterprises","W705MC1","311.0","330.0","426.0","196.0","471.0","684.0","759.0","549.0","771.0","640.0","902.0","468.0","608.0","572.0","636.0","561.0","738.0","722.0","909.0","1,016.0","889.0","764.0","745.0","852.0","1,021.0","1,150.0","1,127.0","1,121.0","765.0","770.0","733.0","638.0","779.0","887.0","958.0","805.0","1,007.0","890.0","693.0","305.0","546.0","683.0","818.0","620.0","800.0","954.0","1,068.0","819.0","963.0","750.0","736.0","164.0","322.0","564.0","956.0","298.0","506.0","470.0","651.0","317.0","619.0","650.0","887.0","530.0","667.0","481.0","542.0","-67.0","146.0","96.0","412.0","-67.0","181.0","332.0","-75.0","61.0","-86.0","-350.0","21.0","-242.0","-214.0","-314.0","-1,002.0","463.0","771.0","490.0","414.0","657.0","-574.0","-880.0","-119.0","-554.0","-908.0","-1,007.0","-455.0","-1,750.0","-215.0","-198.0","-2,989.0","-54.0","-76.0","-131.0","-3,146.0","-687.0","-552.0","-518.0","-3,712.0","-267.0","-138.0","-181.0","-3,634.0","-507.0","-709.0","-747.0","-4,199.0","-919.0","-985.0","-1,026.0","-4,422.0","-1,118.0","-1,005.0","-1,042.0","-4,428.0","-727.0","-746.0","-706.0","-4,304.0","438.0","475.0","522.0","-3,299.0","-496.0","-453.0","-465.0","-4,358.0","-1,577.0","-1,560.0","-1,751.0","-1,892.0","-1,477.0","-1,513.0","-1,378.0","-1,861.0","-133.0","-131.0","-30.0","-469.0","-313.0","-295.0","-273.0","-534.0","-692.0","-574.0","-611.0","-619.0","-241.0","-246.0","-231.0","-246.0","-119.0","-931.0","-64.0","21.0","224.0","423.0","403.0","553.0","1,706.0","1,847.0","1,717.0","1,916.0","1,799.0","1,737.0","1,763.0","1,952.0","7,982.0"
"31","11","  Other \4\","M318111","-985.0","-501.0","-535.0","-572.0","-904.0","-942.0","-565.0","-687.0","-941.0","-795.0","-767.0","-798.0","-843.0","-1,156.0","-772.0","-635.0","-1,082.0","-1,215.0","-769.0","-695.0","-1,240.0","-1,000.0","-959.0","-963.0","-1,137.0","-1,781.0","-1,259.0","-1,253.0","-1,453.0","-1,518.0","-1,501.0","-1,380.0","-2,107.0","-1,790.0","-1,575.0","-1,454.0","-1,634.0","-1,560.0","-1,631.0","-1,616.0","-1,918.0","-1,858.0","-1,952.0","-2,064.0","-2,208.0","-2,087.0","-2,181.0","-2,407.0","-2,983.0","-2,723.0","-2,574.0","-2,928.0","-3,456.0","-3,423.0","-3,111.0","-3,192.0","-3,436.0","-3,638.0","-3,408.0","-3,724.0","-4,565.0","-4,292.0","-4,257.0","-4,831.0","-4,574.0","-6,211.0","-5,042.0","-4,319.0","-4,615.0","-4,487.0","-4,631.0","-4,909.0","-5,095.0","-5,089.0","-5,211.0","-5,142.0","-5,020.0","-5,381.0","-4,598.0","-4,715.0","-5,876.0","-5,588.0","-5,642.0","-5,317.0","-5,839.0","-5,979.0","-5,677.0","-6,305.0","-6,092.0","-6,230.0","-6,622.0","-6,387.0","-7,027.0","-6,755.0","-7,052.0","-7,297.0","-8,605.0","-8,289.0","-8,796.0","-8,478.0","-9,003.0","-8,609.0","-8,768.0","-7,009.0","-7,668.0","-7,148.0","-7,859.0","-6,439.0","-7,599.0","-7,411.0","-8,701.0","-11,410.0","-8,466.0","-7,632.0","-9,049.0","-7,142.0","-8,762.0","-7,816.0","-8,990.0","-7,358.0","-7,854.0","-7,630.0","-8,698.0","-8,285.0","-9,054.0","-9,097.0","-10,154.0","-8,814.0","-10,282.0","-10,347.0","-10,255.0","-9,075.0","-9,464.0","-11,361.0","-13,744.0","-9,021.0","-11,262.0","-11,765.0","-12,431.0","-10,813.0","-12,415.0","-13,213.0","-13,688.0","-12,720.0","-13,286.0","-14,039.0","-15,796.0","-12,867.0","-15,070.0","-16,636.0","-16,439.0","-13,953.0","-16,160.0","-16,244.0","-17,807.0","-16,152.0","-18,079.0","-19,117.0","-22,168.0","-19,705.0","-20,439.0","-18,916.0","-26,399.0","-65,500.0","-18,483.0","-18,143.0","-21,378.0","-18,175.0","-20,232.0","-20,418.0","-22,374.0","-15,662.0","-17,669.0","-17,050.0","-15,915.0","-15,713.0"
"32","12","Plus: Timing differences","M318121","2,507.0","-5,415.0","95.0","567.0","1,894.0","-5,438.0","287.0","231.0","2,616.0","-3,383.0","555.0","142.0","5,216.0","-5,620.0","368.0","1,361.0","6,249.0","-5,513.0","1,172.0","1,004.0","4,495.0","-5,354.0","2,064.0","78.0","1,394.0","-7,183.0","2,589.0","1,357.0","7,172.0","-4,828.0","2,841.0","1,319.0","5,294.0","-9,069.0","2,984.0","1,024.0","8,698.0","-8,092.0","1,796.0","3,133.0","9,465.0","-10,862.0","2,144.0","2,064.0","8,970.0","-14,805.0","-1,131.0","3,270.0","7,614.0","-14,230.0","-3,523.0","-1,312.0","3,454.0","-12,156.0","1,636.0","-695.0","10,959.0","-4,552.0","1,684.0","437.0","15,480.0","-7,031.0","-1,405.0","-2,349.0","10,655.0","-10,328.0","1,291.0","-2,725.0","11,136.0","-6,821.0","564.0","-2,823.0","9,588.0","-5,089.0","-1,699.0","-3,787.0","16,592.0","-13,646.0","357.0","-2,962.0","20,915.0","-15,746.0","1,371.0","-1,431.0","15,753.0","-15,669.0","3,938.0","-6,180.0","14,608.0","-8,307.0","1,911.0","-5,942.0","21,454.0","-13,867.0","-2,455.0","-1,612.0","23,866.0","-20,792.0","425.0","-567.0","23,821.0","-23,068.0","1,980.0","-1,683.0","28,710.0","-29,721.0","4,418.0","-5,277.0","30,865.0","-25,535.0","1,298.0","-777.0","29,864.0","-31,763.0","8,140.0","-9,626.0","31,340.0","-30,731.0","9,643.0","-15,445.0","32,851.0","-22,134.0","536.0","-3,662.0","31,074.0","-34,746.0","-6,405.0","-10,270.0","22,651.0","-26,764.0","20,292.0","-26,197.0","19,710.0","-12,088.0","-250.0","-8,230.0","42,311.0","-21,225.0","10,913.0","1,780.0","43,981.0","-27,349.0","9,889.0","5,225.0","56,827.0","-29,813.0","840.0","3,496.0","57,531.0","-42,740.0","-5,680.0","-9,431.0","45,849.0","-43,124.0","-8,178.0","-27,782.0","36,519.0","-58,893.0","-12,165.0","-31,279.0","43,785.0","-14,682.0","2,551.0","-43,681.0","61,469.0","-36,653.0","-1,384.0","19,654.0","61,433.0","-37,442.0","8,852.0","2,128.0","66,680.0","-40,549.0","-2,364.0","1,580.0"
"33","13","  Taxes on corporate income","M318131","886.0","-5,856.0","719.0","1,285.0","333.0","-5,421.0","1,240.0","1,126.0","2,404.0","-2,945.0","1,817.0","1,597.0","925.0","-5,254.0","1,411.0","2,205.0","2,130.0","-4,922.0","2,356.0","2,237.0","631.0","-5,017.0","3,169.0","1,322.0","-1,764.0","-6,511.0","3,098.0","2,785.0","2,975.0","-4,023.0","4,123.0","2,824.0","-191.0","-8,032.0","4,598.0","2,431.0","2,007.0","-7,143.0","4,077.0","4,444.0","2,755.0","-9,360.0","3,796.0","3,578.0","2,019.0","-12,982.0","2,269.0","4,082.0","2,579.0","-12,512.0","1,646.0","-543.0","-3,365.0","-9,893.0","2,933.0","1,879.0","2,234.0","-2,346.0","3,864.0","2,963.0","4,585.0","-3,349.0","340.0","1,047.0","810.0","-5,572.0","3,379.0","130.0","3,215.0","-2,756.0","1,726.0","965.0","1,296.0","-441.0","530.0","645.0","3,800.0","-7,684.0","2,799.0","-83.0","10,972.0","-9,882.0","1,324.0","399.0","5,449.0","-7,502.0","5,565.0","-2,510.0","3,905.0","-5,378.0","4,630.0","-3,110.0","10,089.0","-8,326.0","-1,788.0","2,571.0","10,897.0","-13,038.0","3,561.0","2,718.0","8,620.0","-16,948.0","4,472.0","1,533.0","15,842.0","-21,290.0","6,903.0","-2,316.0","17,921.0","-17,705.0","2,527.0","793.0","17,868.0","-24,067.0","8,407.0","-5,689.0","18,803.0","-22,570.0","5,894.0","-5,325.0","18,953.0","-15,166.0","1,772.0","-1,353.0","19,108.0","-25,982.0","-4,380.0","-8,616.0","10,630.0","-16,017.0","20,607.0","-24,997.0","9,134.0","-2,508.0","2,045.0","-4,787.0","26,885.0","-9,661.0","14,723.0","4,862.0","24,515.0","-14,958.0","12,536.0","7,214.0","35,387.0","-17,308.0","5,301.0","5,541.0","39,045.0","-26,650.0","-3,386.0","-9,596.0","29,665.0","-28,636.0","-5,751.0","-24,402.0","21,022.0","-43,215.0","-8,432.0","-27,079.0","28,505.0","-6,286.0","7,298.0","7,767.0","31,688.0","-22,686.0","1,011.0","24,535.0","31,839.0","-25,747.0","8,621.0","2,144.0","35,666.0","-24,888.0","2,136.0","4,195.0"
