"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","9.8","10.1","11.6","11.5","11.8","12.5","13.1","13.1","13.2","13.6","13.4","12.9","12.2","11.4","11.7","13.2","12.2","13.0","13.0","14.1","13.6","12.5","12.2","13.3","12.4","15.0","12.5","12.3","11.7","11.3","11.1","10.4","9.4","10.0","10.5","10.8","10.9","9.9","10.1","10.1","10.6","9.8","9.4","9.5","9.7","10.5","10.7","11.2","10.4","10.3","11.7","12.4","11.8","11.9","11.7","10.4","10.3","9.2","8.9","9.4","10.5","10.7","11.1","10.7","8.8","9.6","7.6","8.3","8.6","8.8","7.9","7.4","8.3","6.2","6.8","7.8","7.6","7.9","8.0","7.8","8.4","7.7","7.4","7.7","7.8","8.0","7.7","7.6","8.1","8.0","7.9","8.7","9.1","9.4","8.8","8.2","8.3","7.7","6.8","6.6","6.2","6.4","6.2","6.5","7.1","6.3","6.2","6.0","6.0","5.9","6.0","5.8","5.7","6.0","5.5","5.7","6.8","6.4","6.1","5.5","5.5","4.2","3.7","3.8","4.1","4.2","4.2","3.6","4.2","3.8","5.8","3.3","5.4","5.3","4.6","4.7","4.6","4.9","5.1","4.8","4.5","4.9","4.4","4.6","2.8","2.5","2.3","2.8","3.8","3.4","3.0","3.2","3.3","3.1","2.8","2.9","3.9","5.8","4.3","6.1","6.1","7.1","5.6","5.7","5.3","5.9","5.8","5.5","6.2","5.8","5.7","5.0","5.4","5.5","4.9","6.6","4.1","4.7","4.9","4.3","4.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts, millions of chained (2009) dollars \5\","W875RX1","3,398,571.0","3,440,595.0","3,492,926.0","3,516,746.0","3,534,394.0","3,531,154.0","3,560,312.0","3,537,311.0","3,583,161.0","3,611,415.0","3,636,634.0","3,684,319.0","3,747,541.0","3,796,753.0","3,865,461.0","3,982,427.0","3,995,312.0","4,026,830.0","4,054,881.0","4,107,090.0","4,028,705.0","3,982,784.0","3,980,445.0","3,958,591.0","3,913,688.0","3,919,742.0","3,956,617.0","3,997,776.0","4,045,548.0","4,094,430.0","4,125,623.0","4,164,673.0","4,175,679.0","4,246,811.0","4,304,871.0","4,408,287.0","4,437,464.0","4,506,449.0","4,549,727.0","4,604,387.0","4,653,186.0","4,621,042.0","4,633,455.0","4,661,912.0","4,649,848.0","4,586,810.0","4,591,079.0","4,709,672.0","4,708,049.0","4,723,609.0","4,808,791.0","4,803,262.0","4,797,634.0","4,820,773.0","4,794,400.0","4,798,310.0","4,823,664.0","4,863,707.0","4,920,248.0","5,038,900.0","5,141,138.0","5,237,277.0","5,330,133.0","5,380,691.0","5,413,916.0","5,435,420.0","5,466,081.0","5,536,967.0","5,580,078.0","5,649,821.0","5,695,491.0","5,731,386.0","5,760,640.0","5,799,030.0","5,862,607.0","5,965,191.0","6,013,692.0","6,062,273.0","6,124,947.0","6,189,260.0","6,282,582.0","6,273,657.0","6,309,457.0","6,355,369.0","6,381,109.0","6,420,899.0","6,418,191.0","6,342,015.0","6,291,615.0","6,315,243.0","6,331,997.0","6,360,105.0","6,446,793.0","6,517,132.0","6,543,467.0","6,593,804.0","6,574,994.0","6,618,955.0","6,626,162.0","6,688,175.0","6,715,772.0","6,816,201.0","6,850,250.0","6,934,089.0","6,993,823.0","7,027,958.0","7,091,251.0","7,163,157.0","7,235,850.0","7,329,919.0","7,400,924.0","7,465,207.0","7,567,988.0","7,651,328.0","7,766,682.0","7,903,207.0","8,092,426.0","8,229,843.0","8,334,818.0","8,419,100.0","8,482,192.0","8,519,860.0","8,590,982.0","8,742,985.0","8,959,281.0","9,042,972.0","9,149,440.0","9,176,803.0","9,250,344.0","9,212,277.0","9,190,949.0","9,164,593.0","9,167,311.0","9,167,630.0","9,149,504.0","9,172,553.0","9,153,475.0","9,268,111.0","9,331,273.0","9,449,376.0","9,471,203.0","9,568,962.0","9,659,052.0","9,793,635.0","9,735,809.0","9,819,610.0","9,891,149.0","9,998,877.0","10,248,679.0","10,280,997.0","10,297,473.0","10,471,102.0","10,535,337.0","10,583,132.0","10,599,704.0","10,601,680.0","10,656,186.0","10,554,224.0","10,469,161.0","10,482,034.0","10,088,347.0","9,965,695.0","9,860,967.0","9,855,136.0","9,815,378.0","9,974,333.0","10,043,467.0","10,138,340.0","10,408,875.0","10,429,210.0","10,507,488.0","10,483,537.0","10,638,366.0","10,685,454.0","10,676,183.0","10,959,623.0","10,756,924.0","10,905,420.0","10,958,095.0","10,995,705.0","11,027,096.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2009) dollars \5\","A067RX1","3,197,022.0","3,232,315.0","3,300,615.0","3,326,458.0","3,359,104.0","3,398,517.0","3,451,814.0","3,442,941.0","3,511,986.0","3,563,381.0","3,582,192.0","3,623,955.0","3,640,627.0","3,677,764.0","3,748,494.0","3,897,247.0","3,924,912.0","3,956,225.0","3,973,557.0","4,017,065.0","3,950,863.0","3,913,970.0","3,917,747.0","3,912,896.0","3,906,657.0","4,087,984.0","4,028,577.0","4,059,234.0","4,106,855.0","4,128,180.0","4,158,585.0","4,183,351.0","4,182,191.0","4,234,188.0","4,299,086.0","4,382,062.0","4,413,034.0","4,456,770.0","4,488,809.0","4,524,277.0","4,572,251.0","4,532,798.0","4,554,249.0","4,574,296.0","4,589,891.0","4,523,217.0","4,578,413.0","4,668,252.0","4,655,723.0","4,654,620.0","4,749,874.0","4,759,131.0","4,764,925.0","4,792,392.0","4,817,995.0","4,839,776.0","4,881,256.0","4,915,988.0","4,990,147.0","5,097,712.0","5,201,785.0","5,288,348.0","5,360,901.0","5,405,044.0","5,392,014.0","5,495,909.0","5,477,364.0","5,540,411.0","5,609,465.0","5,683,976.0","5,724,206.0","5,734,474.0","5,781,729.0","5,725,633.0","5,829,572.0","5,907,609.0","5,993,787.0","6,055,317.0","6,113,628.0","6,172,673.0","6,248,909.0","6,230,466.0","6,272,942.0","6,323,338.0","6,376,564.0","6,414,748.0","6,417,126.0","6,366,261.0","6,379,817.0","6,423,956.0","6,447,309.0","6,502,425.0","6,642,022.0","6,711,451.0","6,740,760.0","6,763,905.0","6,801,915.0","6,813,785.0","6,817,799.0","6,862,624.0","6,910,708.0","6,983,912.0","7,025,410.0","7,123,033.0","7,190,991.0","7,207,346.0","7,271,837.0","7,313,852.0","7,383,811.0","7,454,397.0","7,513,828.0","7,552,985.0","7,628,888.0","7,694,016.0","7,785,654.0","7,897,163.0","8,065,530.0","8,178,110.0","8,261,466.0","8,328,585.0","8,403,185.0","8,424,000.0","8,480,407.0","8,605,082.0","8,774,676.0","8,865,942.0","8,969,588.0","9,000,038.0","9,076,766.0","9,068,881.0","9,283,069.0","9,168,102.0","9,391,144.0","9,438,669.0","9,426,252.0","9,471,728.0","9,499,200.0","9,636,403.0","9,794,392.0","9,834,035.0","9,905,628.0","10,003,339.0","10,056,026.0","10,181,651.0","10,083,458.0","10,163,348.0","10,215,612.0","10,299,699.0","10,534,904.0","10,550,848.0","10,581,022.0","10,719,123.0","10,789,579.0","10,810,880.0","10,838,876.0","10,848,230.0","10,926,857.0","11,156,203.0","10,901,498.0","10,969,490.0","10,932,253.0","11,014,685.0","10,902,878.0","10,899,831.0","10,909,101.0","11,052,229.0","11,104,423.0","11,177,286.0","11,315,380.0","11,303,889.0","11,348,421.0","11,332,275.0","11,459,150.0","11,510,241.0","11,493,571.0","11,742,976.0","11,502,411.0","11,618,467.0","11,703,412.0","11,723,664.0","11,772,298.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","3,311","3,383","3,487","3,545","3,612","3,684","3,765","3,791","3,892","3,982","4,030","4,089","4,142","4,198","4,305","4,501","4,578","4,693","4,788","4,928","4,981","5,063","5,191","5,303","5,382","5,687","5,693","5,817","5,938","6,006","6,127","6,244","6,340","6,513","6,694","6,901","7,049","7,247","7,406","7,583","7,788","7,911","8,121","8,328","8,582","8,640","8,923","9,297","9,483","9,617","9,947","10,092","10,210","10,344","10,536","10,674","10,837","10,992","11,277","11,570","11,911","12,202","12,435","12,585","12,682","13,007","13,033","13,241","13,475","13,609","13,741","13,815","14,051","14,017","14,370","14,654","14,953","15,242","15,538","15,806","16,148","16,278","16,437","16,654","16,995","17,197","17,358","17,385","17,454","17,612","17,733","17,951","18,394","18,648","18,779","18,911","19,074","19,178","19,208","19,383","19,535","19,794","19,989","20,300","20,537","20,641","20,842","20,990","21,257","21,541","21,734","21,926","22,185","22,365","22,615","22,938","23,366","23,669","23,908","24,091","24,308","24,431","24,646","25,081","25,724","26,046","26,442","26,608","26,953","26,994","27,581","27,188","27,840","28,134","28,168","28,363","28,587","28,961","29,542","29,711","30,097","30,540","30,803","31,356","31,149","31,537","31,965","32,399","33,220","33,451","33,699","33,994","34,460","34,723","34,920","35,211","35,692","36,742","36,181","35,803","35,407","35,760","35,537","35,687","35,768","36,213","36,420","36,781","37,449","37,691","37,980","37,981","38,562","38,774","38,804","39,731","38,961","39,278","39,677","39,776","40,017"
"61","39","      Chained (2009) dollars","A229RX0","15,830","15,968","16,260","16,339","16,459","16,601","16,804","16,703","16,986","17,184","17,222","17,369","17,407","17,543","17,835","18,493","18,585","18,691","18,726","18,885","18,536","18,324","18,295","18,225","18,159","18,956","18,626","18,719","18,898","18,956","19,047","19,109","19,060","19,250","19,491","19,810","19,904","20,050","20,135","20,235","20,398","20,169","20,204","20,230","20,242","19,892","20,075","20,413","20,317","20,266","20,625","20,611","20,592","20,665","20,723","20,765","20,901","21,006","21,271","21,678","22,078","22,400","22,653","22,784","22,687","23,075","22,938","23,144","23,386","23,647","23,756","23,741","23,891","23,609","23,978","24,239","24,544","24,744","24,918","25,096","25,355","25,223","25,325","25,459","25,615","25,689","25,608","25,315","25,291","25,385","25,387","25,516","25,988","26,172","26,189","26,189","26,258","26,224","26,150","26,239","26,352","26,553","26,625","26,912","27,096","27,081","27,235","27,309","27,502","27,686","27,816","27,872","28,077","28,236","28,478","28,796","29,335","29,663","29,872","30,024","30,216","30,208","30,314","30,668","31,193","31,439","31,721","31,744","31,941","31,839","32,506","32,021","32,729","32,822","32,696","32,773","32,800","33,200","33,661","33,716","33,896","34,156","34,250","34,592","34,186","34,383","34,473","34,669","35,383","35,357","35,367","35,737","35,892","35,883","35,883","35,823","36,004","36,679","35,754","35,893","35,699","35,894","35,448","35,356","35,316","35,715","35,813","35,977","36,362","36,264","36,336","36,215","36,563","36,666","36,542","37,265","36,444","36,751","36,948","36,943","37,038"
"62","40","  Population (midperiod, thousands)","B230RC0","201,955","202,419","202,986","203,584","204,086","204,721","205,419","206,130","206,763","207,362","208,000","208,642","209,142","209,637","210,181","210,737","211,192","211,663","212,191","212,708","213,144","213,602","214,147","214,700","215,135","215,652","216,289","216,848","217,314","217,776","218,338","218,917","219,427","219,956","220,573","221,201","221,719","222,281","222,933","223,583","224,152","224,737","225,418","226,117","226,754","227,389","228,070","228,689","229,155","229,674","230,301","230,903","231,395","231,906","232,498","233,074","233,546","234,028","234,603","235,153","235,605","236,082","236,657","237,232","237,673","238,176","238,789","239,387","239,861","240,368","240,962","241,539","242,009","242,520","243,120","243,721","244,208","244,716","245,354","245,966","246,460","247,017","247,698","248,374","248,936","249,711","250,595","251,482","252,258","253,063","253,965","254,835","255,585","256,439","257,386","258,277","259,039","259,826","260,714","261,547","262,250","263,020","263,870","264,678","265,388","266,142","267,000","267,820","268,487","269,251","270,128","270,991","271,709","272,487","273,391","274,246","274,950","275,703","276,564","277,400","278,103","278,864","279,751","280,592","281,304","282,002","282,769","283,518","284,169","284,838","285,584","286,311","286,935","287,574","288,303","289,007","289,609","290,253","290,974","291,669","292,237","292,875","293,603","294,334","294,957","295,588","296,340","297,086","297,736","298,408","299,180","299,946","300,609","301,284","302,062","302,829","303,494","304,160","304,902","305,616","306,237","306,866","307,573","308,285","308,900","309,457","310,067","310,680","311,191","311,708","312,321","312,915","313,407","313,920","314,532","315,125","315,620","316,140","316,754","317,347","317,842"
"63",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","41","    Disposable personal income, current dollars","A067RP1","4.9","9.9","14.2","8.0","8.9","9.5","10.6","4.2","12.4","10.9","6.2","7.4","6.2","6.6","11.8","20.7","8.0","11.4","9.4","13.3","5.2","7.7","11.7","10.0","7.0","25.9","1.6","10.2","9.5","5.6","9.4","9.0","7.3","12.5","12.8","14.3","9.9","12.9","10.4","11.2","12.4","7.6","12.4","12.0","14.1","3.9","15.1","19.2","9.1","6.7","15.7","7.1","5.7","6.3","8.7","6.4","7.1","6.7","11.9","11.8","13.2","11.0","8.9","5.9","3.9","11.6","1.8","7.6","8.1","4.9","5.0","3.2","7.8","-0.1","11.6","9.2","9.3","8.8","9.1","8.1","9.8","4.2","5.1","6.5","9.4","6.2","5.3","2.0","2.9","5.0","4.2","6.5","11.6","7.0","4.4","4.3","4.7","3.5","2.0","5.0","4.3","6.6","5.4","7.7","5.9","3.2","5.3","4.1","6.2","6.6","5.0","4.9","5.9","4.5","5.9","7.2","8.8","6.5","5.4","4.3","4.7","3.2","4.9","8.6","11.8","6.1","7.4","3.6","6.3","1.6","10.1","-4.6","10.9","5.2","1.5","3.8","4.1","6.3","9.3","3.3","6.1","7.0","4.5","8.4","-1.8","6.0","6.6","6.6","11.5","3.7","4.1","4.6","6.5","4.0","3.3","4.4","6.5","13.3","-5.0","-3.2","-3.6","4.9","-1.6","2.6","1.7","5.8","3.1","4.8","8.2","3.3","3.9","0.8","6.9","2.9","1.1","10.7","-7.0","4.0","4.9","1.8","3.1"
"65","42","    Disposable personal income, chained (2009) dollars","A067RL1","0.8","4.5","8.7","3.2","4.0","4.8","6.4","-1.0","8.3","6.0","2.1","4.7","1.9","4.1","7.9","16.8","2.9","3.2","1.8","4.5","-6.4","-3.7","0.4","-0.5","-0.6","19.9","-5.7","3.1","4.8","2.1","3.0","2.4","-0.1","5.1","6.3","7.9","2.9","4.0","2.9","3.2","4.3","-3.4","1.9","1.8","1.4","-5.7","5.0","8.1","-1.1","-0.1","8.4","0.8","0.5","2.3","2.2","1.8","3.5","2.9","6.2","8.9","8.4","6.8","5.6","3.3","-1.0","7.9","-1.3","4.7","5.1","5.4","2.9","0.7","3.3","-3.8","7.5","5.5","6.0","4.2","3.9","3.9","5.0","-1.2","2.8","3.3","3.4","2.4","0.1","-3.1","0.9","2.8","1.5","3.5","8.9","4.2","1.8","1.4","2.3","0.7","0.2","2.7","2.8","4.3","2.4","5.7","3.9","0.9","3.6","2.3","3.9","3.9","3.2","2.1","4.1","3.5","4.8","5.9","8.8","5.7","4.1","3.3","3.6","1.0","2.7","6.0","8.1","4.2","4.8","1.4","3.5","-0.3","9.8","-4.9","10.1","2.0","-0.5","1.9","1.2","5.9","6.7","1.6","2.9","4.0","2.1","5.1","-3.8","3.2","2.1","3.3","9.5","0.6","1.1","5.3","2.7","0.8","1.0","0.3","2.9","8.7","-8.8","2.5","-1.4","3.1","-4.0","-0.1","0.3","5.4","1.9","2.7","5.0","-0.4","1.6","-0.6","4.6","1.8","-0.6","9.0","-7.9","4.1","3.0","0.7","1.7"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Includes actual employer contributions and actuarially imputed employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","reflect benefits accrued by defined benefit pension plan participants through service to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","employers in the current period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
