"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"77","66","    Agriculture","G170611",0.3,0.4,0.5,0.7,0.9,0.8,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1.2,1.4,1.1,1.3,1.4,1.5,1,0.9,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1,1.2,1,1.3,1.3,1.2
"78","67","    Energy","G170621",0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.8,1.1,0.8,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,1.3,3.5,5.1,3.1,0.3
"79","68","    Natural resources","G170631",0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.5,0.7,0.7,0.8,0.9,1.1,1.2,1.3,1.5,1.4,1.5,1.4,1.6,1.6,1.8,1.7,1.7,1.6,1.5,1.6,1.6,1.8,1.8,1.9,2,2.5,2.5,3.1,3.4,3.9,4.3,4.2,4.9,4.5,4.7,4.3,4.7,4.7
"80","69","Housing and community services","G170661",0.7,1.4,1.7,1.9,2,1.8,2.2,2.9,3,3,3.8,4.5,4.5,4.1,3.9,4.3,4.3,4.6,4.2,4.1,3.9,3.4,3.4,3.5,3.7,5.1,6.1,6.5,7.8,11.2,12,13,13.1,14.3,14.4,14.1,14,14.9,20.7,17.3,17,24,23.7,20.5,19.2
"81","70","Health","G170671",2,3.9,4.4,6.4,6.1,8.3,9.5,11.2,12.1,13,14.7,16.3,19.5,20.1,21.1,22.8,25.3,27.7,30.1,34,38.1,46.7,61.1,73.6,83.1,87,93.9,98.6,101,106.9,117.5,127.1,145.4,161.1,176.6,190.8,198,191.8,205.3,214.2,274.3,295.2,270.5,266.2,280
"82","71","Recreation and culture","G170681",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4
"83","72","Education","G170691",2.9,3.4,3.6,4,3.5,4.5,5.1,4,5,5.5,6.5,7.1,7.2,6.7,6.1,7.1,7.7,7.9,7.3,8.7,9.6,10.1,11.4,12.8,13.6,14.2,13.7,15.5,15.2,16.6,18.7,19.4,21.6,25.2,31.4,36,37.1,39,37.1,38.9,56.6,68.3,60.4,43.5,38.8
"84","73","Income security","G170701",6.1,7.3,9.5,11.2,10,9.1,12.8,14.7,15.6,17.5,17.9,21.7,22.8,22.9,24.7,26.5,27,28.7,29,30.8,32.4,35.8,39.1,42.4,45.7,50,50.2,49.7,51.2,52.3,55.4,58.5,64.7,70.2,72.9,72.3,74.4,75.4,77.3,82.3,89.1,93.4,91.3,89.4,88.6
"85","74","  Disability","G170711",0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.4,0.4,0.9,1,1.2,1.3,1.4,1.4,1.6,1.6,1.7,1.8,1.8,1.9,2,2,1.9,2,2.3,2.5,2.7,2.6,2.5
"86","75","  Welfare and social services","G170731",5.2,6.2,8.4,10,8.6,7.8,11.2,12.7,13.6,15.5,15.5,18.6,19.3,19.4,21,22.8,23.4,24.8,25.1,26.9,28.3,31.3,35.2,37.9,39.3,42.7,43.8,42.9,44.7,45.1,47.9,51.5,56.3,61.1,62.7,63,63.7,64.3,67.2,70.8,75.9,80.9,78.5,76.6,76.5
"87","76","  Unemployment","G170741",0.6,0.7,0.7,0.9,0.8,0.9,1.2,1.3,1.5,1.5,1.6,2,2.1,2.1,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.8,3,3.5,3.6,3.2,3.3,3.3,3.2,3.3,3.4,3.1,3.3,3.6,3.5,3.4,3.4,3.4,3.2,3.5,4.1,4.8,4.4,4.4,4.1
"88","77","  Other","G170751",0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.4,0.7,1,0.9,0.7,0.8,0.5,0.7,0.6,0.5,0.8,1,0.4,0.6,1.9,3.2,1.8,2.1,2,2.4,2.4,2.3,3.5,3.9,4.9,4,5.3,5.7,5,6.1,6.9,5.1,5.7,5.9,5.6
"89",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","78","      Government","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58,60.2
"91","79","Economic affairs","G170791",4.1,4.2,3.7,5.2,3.6,1.2,2.2,2.5,4,5.3,3.9,4.3,4.7,6.3,11.8,11,10.1,13.8,18.8,16.8,13.2,11.5,10.4,11.7,16.1,10.9,10.4,10.2,10.3,14.7,24.1,26.1,38,17,22.5,17.8,29.2,20.7,16.4,19,23.3,21.1,24.6,23.5,25.1
"92","80","  Transportation","G170841",0.3,0.3,0.4,0.5,0.6,0.7,1.4,1.7,2.1,2.2,2.5,3,2.7,2.8,2.5,2.5,2.3,1.9,1.9,2.1,2.1,1.9,1.9,2.1,2.2,2.1,2.1,1.6,1.6,1.1,1.1,1.2,6.2,1.9,4.2,2.3,2.2,2.2,1.9,2.1,2.6,3.1,2.6,2.2,2.2
"93","81","  Other economic affairs","W696RC1",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.4,8.5,7.8,11.9,16.8,14.6,11.2,9.6,8.5,9.5,13.9,8.7,8.3,8.5,8.7,13.6,22.9,24.8,31.9,15.1,18.3,15.4,26.9,18.6,14.5,16.9,20.6,17.9,22,21.4,22.9
"94","82","    General economic and labor affairs","G170801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.9,0.9,1,1.2,1.9,2.2,2.1,2.5,2.5,2.8,2.6,4.7,8.5,5.5,11.6,10.7,11.7
"95","83","    Agriculture","G170811",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.2,12.2,12.4,10.4,10.6,11.2
"96","84","    Energy","G170821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0,0,0,0,0,0
"97","85","    Natural resources","G170831",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0
"98","86","Housing and community services","G170871",0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.7,24.4,25,23.5,21.6,21.1,19.8,20.7,24.4,26.6,28.6,31.8,30.7,38.2,33.5,35.1,34.8,35.4,34.5,35
"99","87","      Federal","B096RC1",4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51.1,47.5,49.6,56.9,54.3,59.5,57.6,59.7
"100","88","Economic affairs","G170911",4.1,4.1,3.7,5.2,3.6,1.1,2,2.3,3.8,5,3.6,4,4.3,5.9,11.4,10.6,9.8,13.5,18.5,16.4,12.8,11.1,10,11.3,15.7,10.5,10.1,9.9,9.8,14.3,23.6,25.5,30.4,16.1,22.4,17.4,28.8,20.4,16,18.6,22.9,20.6,24.2,23.1,24.7
"101","89","  Transportation","G170961",0.2,0.2,0.4,0.4,0.5,0.5,1.2,1.5,1.9,1.9,2.2,2.7,2.3,2.3,2,2.1,2,1.6,1.7,1.8,1.7,1.5,1.5,1.7,1.8,1.8,1.8,1.3,1.2,0.7,0.7,0.7,5.6,1.3,3.8,2,1.9,1.8,1.5,1.7,2.2,2.7,2.1,1.7,1.7
"102","90","  Other economic affairs","W697RC1",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.4,8.5,7.8,11.9,16.8,14.6,11.2,9.6,8.5,9.5,13.9,8.7,8.3,8.5,8.7,13.6,22.9,24.8,24.8,14.7,18.6,15.4,26.9,18.6,14.5,16.9,20.6,17.9,22,21.4,22.9
"103","91","    General economic and labor affairs","G170921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.9,0.9,1,1.2,1.9,2.2,2.1,2.5,2.5,2.8,2.6,4.7,8.5,5.5,11.6,10.7,11.7
"104","92","    Agriculture","G170931",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.2,12.2,12.4,10.4,10.6,11.2
"105","93","    Natural resources","G170951",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0
"106","94","Housing and community services","G170981",0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.7,24.4,25,23.5,21.6,21.1,19.8,20.7,24.4,26.6,28.6,31.8,30.7,31.4,31,34.1,33.7,35.3,34.5,35
"107","95","      State and local","B114RC1",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,7.1,3,1.4,1.6,0.5,0.5,0.5
"108","96","Economic affairs","G171001",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
"109","97","  Transportation","G171021",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
"110","98","  Energy","G171011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0,0,0,0,0,0
"111","99","Housing and community services","G171041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2.6,1,1.1,0.1,0,0
"112",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","100","      Government","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,619.4,596.3
"114","101","General public service","G171061",2.2,1.8,2.1,2.2,2.7,3.7,4.6,4.6,4.4,4.9,5.6,6.5,6.6,6.9,6.7,7.2,8.2,9.3,10.3,10.2,11.3,13.7,14.7,14.7,14.2,15.1,17.5,17.9,19.1,20.9,23.1,25.3,26.5,30,28.8,30.8,30.3,27.8,30.4,33,33.3,32.3,31.3,29.9,27.2
"115","102","National defense","A788RC1",19.5,18.9,15.7,16.3,17.8,20.4,22.6,25.6,27.9,30,34.8,40.2,48.2,58.2,69.8,81.1,95.4,103.4,110.8,105.4,105.2,107.3,101.3,97.2,89.2,85.8,85,85,79,79.2,81.5,83.4,87.7,98.7,111,123.4,132.3,142.1,152.7,171.3,175,179.6,174.7,167.5,153.5
"116","103","Public order and safety","G171081",0.7,0.7,0.8,1,1,1.2,1.5,1.7,1.8,2,2.3,2.6,2.8,3.1,3.5,4,4.8,5.6,6.3,7.3,8.6,9.4,9.9,9.5,10.4,11,11.5,12.5,14,14.8,15.4,15.9,15.7,17.3,16.5,16.8,17.4,18.4,20.6,22.4,22.2,21.7,23,23.4,21.7
"117","104","Economic affairs","G171091",21.7,22.6,23.3,23.9,24.4,27.6,29.7,30.9,32.9,39.1,44.8,49.1,52.1,51,52.8,57.5,63.3,65.9,68.4,71.2,74.2,82.6,85,88.5,92.1,93.5,94.6,97.2,100.7,104.2,114.5,122.4,128.3,131.1,134.7,135.6,140.5,149,160.7,168.9,174.4,179.4,176.1,174.5,175.4
"118","105","Housing and community services","G171101",4,4.2,4.6,4.6,5.2,6.4,7.5,7.8,7.7,9.4,10.6,12.9,12.5,12.2,11.6,13.2,14.4,16.3,18.4,19,19.5,21.3,21.9,22.1,21.3,20.3,21.7,23.5,24.6,24.7,26.3,25.6,29.2,32.6,34.5,36.4,38.7,47.3,49.7,50.6,50,53.2,48,44.3,44.1
"119","106","Health","G171111",2.6,2.8,3.3,3.7,4.2,4.9,5.5,6.1,6.2,6.9,7.5,8.7,9.3,9.7,10.5,11.7,12.7,14,15.5,16.6,18.2,19.5,21.2,22,23.7,24.2,25.4,26.8,27.7,29.8,31.8,34.7,37.5,40.8,45.2,47.3,49.6,51.8,55.6,59.2,63.2,67.8,69.2,68.4,69
"120","107","Recreation and culture","G171121",0.6,0.7,0.7,0.7,0.8,1.1,1.5,1.5,1.5,1.6,1.8,1.9,1.9,1.9,1.9,2,2.2,2.5,2.7,3,3.3,3.8,3.8,3.6,3.6,3.7,4.3,5.1,6,6.2,6.5,7.8,8.5,8.7,8,8.1,8.7,7.9,9.2,9.8,9.7,9.2,8.3,7.9,7.3
"121","108","Education","G171131",7.9,7.9,7.9,8.1,9.3,10.3,10.8,10.5,9.7,10.5,11.6,12.9,12.8,12.9,13.5,15.4,17.7,20.1,21.1,24.6,28.8,31.3,34.7,36.4,35.4,38.6,45.5,49.6,56.3,58.9,66.6,72.6,77.7,81.2,83.2,86.4,91.4,101,108.4,114.6,114.5,103.4,102.6,98.8,93
"122","109","Income security","G171141",0.2,0.2,0.2,0.3,0.3,0.6,0.7,0.9,1.1,1.1,1.1,1.3,1.1,1.1,1,1.1,1.1,1,1.1,1.1,1.4,1.4,1.6,2.1,1.9,2.1,2.3,2.2,2.2,2.6,2.6,2.7,2.6,3.2,3.4,3.5,4.8,7,5.1,4.8,4.7,5.1,4.8,4.8,5.1
"123","110","      Federal","A787RC1",30.7,30.5,27.8,29.3,31.7,35.7,39.8,44.7,49.2,54.7,61.7,70.3,80.4,90,102.3,115.6,132.5,141.9,152.4,148,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,180.3,196.4,211,222.9,238,251.4,275.8,284,300,297.4,287.8,268.5
"124","111","General public service","G171161",0.5,0.5,0.7,0.7,0.8,1.3,1.4,1.4,1.5,1.5,2,2.5,2.3,2.6,2.3,2.3,2.8,2.9,3.5,3,3,3.7,4.1,4,2.9,2.7,4.1,2.8,3.1,2.8,3,2.2,3.6,3.9,4.4,6.4,6.2,6.7,7.2,8,8.3,9.2,9.7,10.2,8.8
"125","112","National defense","A788RC1",19.5,18.9,15.7,16.3,17.8,20.4,22.6,25.6,27.9,30,34.8,40.2,48.2,58.2,69.8,81.1,95.4,103.4,110.8,105.4,105.2,107.3,101.3,97.2,89.2,85.8,85,85,79,79.2,81.5,83.4,87.7,98.7,111,123.4,132.3,142.1,152.7,171.3,175,179.6,174.7,167.5,153.5
"126","113","Public order and safety","G171181",0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.9,1,1.1,1.3,1.7,1.9,1.9,2.5,2.7,3.8,3.7,3.5,4.3,5.3,5.8,6,6.2,5.9,7.7,7.6,7.5,7.7,8.5,9.4,10.5,10.5,10.9,12.1,12.4,10.8
"127","114","Economic affairs","G171191",8.5,8.6,8.8,9.2,9.4,9.9,11,12.3,14,16.7,18.1,19.7,21.4,20.7,21,21.8,23.1,23.2,24.5,24.9,27.1,30.3,32.1,34.8,35.3,33.2,33.8,34.9,33.1,34.2,36.7,35.9,34,34,33.4,32.8,33.4,34.6,36.6,38.4,39,44.3,43.5,42.1,39.6
"128","115","Housing and community services","G171201",0,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.7,0.4,0.5,0.4,0.3,0.6,0.6,0,0.3,0.3,0.4,0.3,0.5,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.3
"129","116","Health","G171211",1.5,1.7,1.8,2.2,2.6,2.9,3.4,3.6,3.8,4.4,4.6,5.4,5.9,6,6.8,7.6,8.4,9.3,10.4,11.2,12.2,13,14.4,14.8,16.1,16.9,18,19.3,19.5,21.2,23.2,25.6,28.1,30.6,34.4,35.5,36.6,37.8,39.2,41.2,44.8,48.8,50.3,48.8,49.2
"130","117","Recreation and culture","G171221",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.8,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.8,0.9,0.9,1,1.4,1.3,1.1,0.9
"131","118","Education","G171231",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.5,1.6,1.6,1.9,2.1,2,2,1.8,1.7,1.7,1.7,1.7,1.7,2,2,1.9
"132","119","Income security","G171241",0.2,0.1,0.1,0.2,0.2,0.5,0.6,0.8,1,0.9,0.9,1.2,1,0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.9,1.4,1.2,1.3,1.3,1.3,1.2,1.5,1.5,1.5,1.4,2,2.2,2.2,3.4,5.5,3.4,3.2,3.2,3.6,3.3,3.3,3.6
"133","120","      State and local","A799RC1",28.8,29.3,30.7,31.3,34,40.5,44.6,44.9,44,50.8,58.4,65.7,66.9,67,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160,170.2,185.8,193.7,213.6,232.9,249.8,263.3,268.9,277.5,290.8,314.3,340.8,358.8,363,351.9,340.5,331.6,327.8
"134","121","General public service","G171261",1.7,1.3,1.4,1.5,1.9,2.5,3.2,3.2,3,3.4,3.6,4,4.2,4.3,4.4,4.9,5.4,6.4,6.8,7.2,8.4,10,10.5,10.7,11.3,12.4,13.4,15.1,16,18.1,20.1,23.1,22.9,26.1,24.4,24.4,24.1,21.2,23.1,25,25,23.2,21.6,19.7,18.4
"135","122","Public order and safety","G171271",0.5,0.6,0.7,0.8,0.8,1,1.2,1.3,1.5,1.6,1.8,2.1,2.3,2.5,2.7,3.1,3.8,4.5,4.9,5.6,6.7,7.5,7.4,6.8,6.6,7.3,8,8.2,8.7,8.9,9.4,9.7,9.8,9.6,8.9,9.3,9.7,9.9,11.2,11.9,11.7,10.8,10.9,11,10.9
"136","123","Economic affairs","G171281",13.2,14,14.5,14.7,15,17.6,18.7,18.6,19,22.4,26.7,29.4,30.7,30.2,31.8,35.8,40.2,42.7,43.9,46.3,47.1,52.3,52.9,53.7,56.8,60.3,60.8,62.3,67.5,70,77.8,86.4,94.2,97.2,101.3,102.9,107,114.4,124.1,130.4,135.5,135.1,132.6,132.3,135.8
"137","124","Housing and community services","G171291",4,4.1,4.4,4.4,5,6.3,7.3,7.7,7.5,9.2,10.5,12.7,12.3,12,11.3,12.9,14.2,16,18.1,18.7,19.2,21,21.6,21.8,20.5,20,21.2,23.2,24.3,24.2,25.8,25.6,28.9,32.2,34.1,36.1,38.2,47,49.2,50.2,49.6,52.8,47.5,43.9,43.8
"138","125","Health","G171301",1.1,1.1,1.5,1.5,1.6,2,2.2,2.5,2.4,2.5,2.9,3.3,3.4,3.7,3.8,4,4.4,4.7,5.1,5.4,6,6.5,6.8,7.3,7.6,7.3,7.4,7.5,8.1,8.6,8.6,9,9.4,10.2,10.8,11.8,13,14,16.4,18,18.4,19,18.9,19.6,19.7
"139","126","Recreation and culture","G171311",0.5,0.6,0.6,0.6,0.7,1,1.3,1.3,1.2,1.3,1.5,1.6,1.6,1.7,1.7,1.8,2,2.3,2.5,2.8,3.1,3.6,3.5,3.3,3.3,3.3,3.9,4.6,5.1,5.3,5.7,6.9,7.6,7.7,7,7.2,7.8,7.1,8.4,8.8,8.7,7.8,7,6.8,6.4
"140","127","Education","G171321",7.7,7.6,7.6,7.8,8.9,10.1,10.4,10.2,9.4,10.2,11.3,12.4,12.3,12.4,12.9,14.8,17.1,19.4,20.4,23.9,28.1,30.6,33.8,35.5,34.4,37.5,44.3,48.3,55,57.5,65,70.9,75.8,79.1,81.3,84.4,89.6,99.3,106.7,112.9,112.8,101.7,100.5,96.8,91.1
"141","128","Income security","G171331",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.5
"142",NA,"        Capital transfers paid \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","129","      Government \4\","W069RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,4.2,17.1,21.6,42.3,18.4,25.1,88.2,143.5,69.3,54.4,32.2,13
"144","130","General public service","W800RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0,0.2,1.9,0.7,2.3,1.7,0.1,0.2,0.1,0.2,1.2,0.7,0.4
"145","131","Economic affairs","W801RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0,0,0,0.1,0.1,0,0,0,61.1,34.9,2,1.7,1.1,0.6
"146","132","  Transportation","W802RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0
"147","133","    Highways","W803RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","134","    Air","W804RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","135","    Water","W805RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0
"150","136","    Transit and railroad","W806RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","137","  Other economic affairs","W807RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,34.9,2,1.7,1.1,0.6
"152","138","Housing and community services","W808RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.3,0.4,0.3,4.7,24,0.3,0.3,10.1,95.5,52.7,40.1,21.9,5.5
"153","139","Health","W809RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,14.8,16.1,15.9,16.4,24.7,16.9,12.9,14.5,11.4,8.5,6.5
"154","140","Income security","W810RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
