"","Table.1.6.8..Contributions.to.Percent.Change.in.the.Gross.Domestic.Purchases.Price.Index..................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76"
"43","35","    Farm","B018RS2","0.01","-0.12","-0.17","-0.05","-0.24","-0.1","-0.01","-0.01","-0.46","-0.02","0","0.05","0.14","0.04","-0.02","-0.01","-0.05","-0.09","-0.03","-0.1","-0.02","0.03","-0.05","-0.1","-0.01","-0.02","0.01","-0.02","-0.01","-0.01","-0.01","0","0","-0.01","0","-0.01","0.01","0","-0.01","0","-0.01","0","0","0","-0.07","-0.02","-0.02","-0.02","-0.02","-0.01","-0.01","0","-0.04",-0.02,0,-0.03,-0.02,0,-0.06,-0.01,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0
"44","36","    Nonfarm","A015RS2","-0.05","0.1","0.23","-0.13","-0.08","0.01","0.03","0.05","0","0","0.03","0.13","0.12","-0.01","0","-0.02","0.1","0.5","0.06","-0.03","0.01","0.21","-0.01","0","0","0","0.04","0.01","0","0.01","0","0","0","0","0","0.01","0.01","0.02","0.01","0.02","0.02","0.01","0.01","0.03","0.18","0.03","0","0.04","0.06","0.08","0.04","0.02","0",0.01,0.03,0.01,-0.01,0.01,0.03,0.01,0,-0.01,0,0,0,0,-0.01,-0.01,-0.04,-0.02,-0.01,0,0,-0.01,0.01
"45","37","Government consumption expenditures and gross investment","A822RS2","-0.31","-0.59","-1.22","0.46","1.17","0.13","0.46","0.32","0.03","-0.26","-0.18","1.13","-0.3","0.66","-0.62","0.52","7.07","1.38","0.61","0.46","0.01","1.2","0.44","0.25","0.5","0.9","1.17","0.94","0.67","0.09","0.27","0.43","0.56","0.48","0.61","0.57","0.9","0.94","1.24","1.37","1.81","1.71","1.63","1.51","2.1","2.16","1.41","1.43","1.28","1.63","2.15","1.97","1.33",0.82,1.03,0.62,0.37,0.57,0.53,0.62,0.8,0.7,0.49,0.5,0.5,0.5,0.44,0.32,0.25,0.47,0.69,0.43,0.51,0.67,0.67
"46","38","  Federal","A823RS2","-0.08","-0.02","-0.13","0.04","0.31","0.06","0.5","0.1","0.1","-0.12","-0.26","0.61","-0.93","0.31","-0.77","0.39","6.65","0.73","-0.09","0.41","-0.05","0.49","0.14","0.12","0.38","0.75","0.68","0.59","0.55","-0.1","0.11","0.21","0.27","0.27","0.41","0.3","0.41","0.37","0.67","0.64","0.9","0.88","0.94","0.63","0.8","0.94","0.64","0.65","0.52","0.63","0.88","0.85","0.62",0.33,0.55,0.21,0.05,0.12,0.19,0.24,0.29,0.35,0.25,0.21,0.2,0.2,0.19,0.11,0.06,0.15,0.18,0.11,0.22,0.25,0.28
"47","39","    National defense","A824RS2","-0.03","-0.01","-0.03","-0.04","0.08","0.04","0.03","0.05","0.01","-0.01","-0.1","0.51","-0.99","0.33","-0.7","0.27","6.37","0.69","-0.04","0.24","-0.01","0.39","0.05","0.07","0.38","0.67","0.64","0.52","0.45","-0.1","0.08","0.15","0.2","0.23","0.28","0.24","0.31","0.29","0.52","0.52","0.67","0.7","0.81","0.49","0.6","0.62","0.45","0.45","0.4","0.45","0.63","0.6","0.46",0.24,0.49,0.13,-0.01,0.07,0.13,0.17,0.21,0.23,0.21,0.11,0.13,0.12,0.14,0.06,0.04,0.09,0.12,0.07,0.14,0.18,0.17
"48","40","      Consumption expenditures","A997RS2","-0.03","-0.01","-0.02","-0.03","0.06","0.03","0.03","0.02","0.01","-0.01","-0.11","0.18","-0.69","0.23","0.55","1.29","5.75","0.6","-0.08","0.22","-0.03","0.23","0","0.15","0.34","0.59","0.43","0.39","0.42","-0.14","0.08","0.12","0.17","0.21","0.28","0.24","0.29","0.26","0.48","0.45","0.59","0.64","0.64","0.47","0.57","0.57","0.39","0.39","0.35","0.41","0.58","0.53","0.39",0.21,0.47,0.16,0.06,0.12,0.14,0.15,0.19,0.21,0.2,0.09,0.1,0.1,0.14,0.07,0.04,0.08,0.12,0.08,0.15,0.18,0.16
"49","41","      Gross investment","A788RS2","0","-0.01","-0.01","0","0.02","0","0","0.03","0","0","0.01","0.33","-0.3","0.1","-1.24","-1.02","0.63","0.09","0.04","0.02","0.02","0.15","0.05","-0.09","0.04","0.08","0.21","0.13","0.03","0.04","0","0.03","0.03","0.02","0","0","0.02","0.03","0.04","0.07","0.08","0.06","0.17","0.02","0.03","0.05","0.06","0.06","0.06","0.04","0.05","0.07","0.07",0.03,0.02,-0.03,-0.07,-0.05,0,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0,-0.01,0,0.01,0,-0.01,0,0,0.01
"50","42","    Nondefense","A825RS2","-0.05","0","-0.1","0.07","0.23","0.02","0.47","0.05","0.1","-0.11","-0.17","0.1","0.06","-0.02","-0.08","0.12","0.27","0.04","-0.05","0.17","-0.05","0.11","0.09","0.05","0","0.08","0.04","0.07","0.11","0","0.03","0.06","0.07","0.04","0.13","0.05","0.11","0.08","0.16","0.12","0.23","0.19","0.13","0.14","0.21","0.32","0.18","0.2","0.12","0.18","0.26","0.25","0.16",0.09,0.06,0.08,0.06,0.04,0.06,0.07,0.07,0.12,0.04,0.1,0.07,0.08,0.05,0.05,0.02,0.06,0.07,0.04,0.08,0.07,0.1
"51","43","      Consumption expenditures","A542RS2","-0.04","0.02","-0.03","0.02","0.12","-0.01","0.41","0.03","0.1","-0.1","-0.18","0.03","0.01","0.02","-0.1","0.14","0.27","0.03","-0.07","0.16","-0.03","0.07","0.07","0.05","0.01","0.09","0.02","0.05","0.11","-0.01","0.02","0.06","0.06","0.03","0.11","0.07","0.09","0.06","0.13","0.11","0.2","0.17","0.11","0.13","0.17","0.27","0.16","0.18","0.1","0.15","0.22","0.21","0.14",0.08,0.06,0.07,0.05,0.04,0.05,0.06,0.07,0.11,0.04,0.1,0.07,0.07,0.05,0.05,0.03,0.06,0.06,0.04,0.08,0.07,0.1
"52","44","      Gross investment","A798RS2","-0.01","-0.02","-0.07","0.06","0.11","0.03","0.06","0.03","0","-0.01","0.02","0.07","0.05","-0.04","0.02","-0.02","0","0.01","0.02","0.01","-0.01","0.04","0.02","0","-0.01","0","0.01","0.02","0","0.01","0","0","0.01","0.01","0.03","-0.01","0.02","0.02","0.02","0.02","0.03","0.02","0.02","0.02","0.04","0.05","0.02","0.02","0.01","0.03","0.04","0.04","0.02",0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,-0.01,0,0,0,0,0,0
"53","45","  State and local","A829RS2","-0.23","-0.57","-1.09","0.42","0.87","0.08","-0.05","0.22","-0.07","-0.14","0.08","0.52","0.63","0.35","0.15","0.13","0.43","0.66","0.7","0.06","0.07","0.71","0.29","0.13","0.12","0.15","0.49","0.35","0.12","0.19","0.16","0.22","0.29","0.21","0.2","0.27","0.49","0.57","0.57","0.72","0.92","0.82","0.69","0.88","1.3","1.22","0.78","0.77","0.75","1","1.27","1.12","0.71",0.49,0.48,0.41,0.32,0.45,0.34,0.38,0.52,0.35,0.24,0.28,0.3,0.3,0.25,0.21,0.18,0.33,0.5,0.32,0.29,0.43,0.39
"54","46","      Consumption expenditures","A991RS2","-0.05","-0.22","-0.46","0.07","0.48","0.17","-0.27","0.15","-0.05","-0.05","0.09","0.28","0.41","0.16","0.16","0.13","0.46","0.49","0.54","0.09","0.13","0.41","0.24","0.15","0.18","0.14","0.26","0.25","0.16","0.19","0.2","0.22","0.24","0.17","0.17","0.2","0.37","0.48","0.43","0.53","0.68","0.62","0.55","0.69","0.86","0.93","0.72","0.69","0.63","0.8","1","0.88","0.58",0.47,0.47,0.38,0.26,0.38,0.29,0.33,0.46,0.32,0.23,0.24,0.25,0.24,0.21,0.18,0.16,0.28,0.43,0.28,0.25,0.39,0.32
"55","47","      Gross investment","A799RS2","-0.17","-0.35","-0.63","0.35","0.39","-0.09","0.22","0.07","-0.02","-0.09","0","0.24","0.22","0.18","-0.01","0","-0.03","0.16","0.15","-0.03","-0.07","0.29","0.05","-0.01","-0.06","0.01","0.23","0.1","-0.05","0","-0.04","0.01","0.05","0.04","0.03","0.07","0.12","0.09","0.14","0.2","0.23","0.21","0.14","0.19","0.45","0.29","0.06","0.09","0.13","0.2","0.27","0.24","0.13",0.02,0.01,0.03,0.06,0.07,0.05,0.05,0.06,0.03,0.01,0.04,0.05,0.06,0.04,0.04,0.03,0.04,0.07,0.05,0.04,0.04,0.06
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Final sales of computers to domestic purchasers \2\","W489RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-0.08","-0.13","-0.08","-0.07",-0.15,-0.18,-0.15,-0.15,-0.14,-0.07,-0.07,-0.1,-0.1,-0.16,-0.17,-0.13,-0.22,-0.38,-0.4,-0.47,-0.41,-0.24,-0.31,-0.21,-0.16,-0.11
"58","49","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.85","10.61","9.22","5.75",3.65,3.7,3,2.41,3.21,3.49,3.87,4.17,3.38,2.51,2.36,2.22,2.32,2.18,1.77,1.12,1.97,2.75,2.3,1.77,2.37,2.97
"59","50","  Food","B981RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0.26,0.37,0.19,0.31,0.34,0.28,0.51,0.51,0.37,0.12,0.16,0.17,0.22,0.27,0.21,0.16,0.18,0.22,0.27,0.18,0.18,0.29
"60","51","  Energy goods and services","B982RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0.03,0.05,0.04,-0.73,0.06,0.02,0.26,0.39,0,0.01,0.03,0,0.04,0.2,0.03,-0.35,0.15,0.66,0.09,-0.25,0.48,0.46
"61","52","  Gross domestic purchases excluding food and energy","B983RS2",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",3.22,3.09,2.63,2.7,2.66,3.13,3.03,3.17,2.91,2.22,2,1.92,1.85,1.33,1.14,0.84,1.23,1.63,1.63,1.63,1.55,2.12
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. For some components of final sales of computers, includes computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
