"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"23","3","        Contributions received by federal employee retirement plans \1\","M318041","372.0","348.0","432.0","392.0","440.0","502.0","463.0","494.0","482.0","514.0","499.0","505.0","554.0","540.0","544.0","518.0","577.0","548.0","574.0","558.0","629.0","586.0","647.0","606.0","647.0","665.0","678.0","685.0","747.0","705.0","720.0","710.0","762.0","752.0","745.0","801.0","806.0","832.0","798.0","842.0","861.0","886.0","905.0","850.0","944.0","922.0","1,003.0","915.0","1,041.0","979.0","1,050.0","958.0","1,094.0","1,026.0","1,134.0","1,046.0","1,130.0","1,066.0","1,194.0","1,097.0","1,159.0","1,159.0","1,165.0","1,194.0","1,154.0","1,196.0","1,215.0","1,243.0","1,147.0","1,186.0","1,165.0","1,266.0","1,113.0","1,196.0","1,140.0","1,252.0","1,069.0","1,197.0","1,116.0","1,130.0","1,106.0","1,154.0","1,120.0","1,120.0","1,111.0","1,150.0","1,141.0","1,134.0","1,126.0","1,153.0","1,149.0","1,167.0","1,204.0","1,170.0","1,247.0","1,212.0","1,164.0","1,162.0","1,267.0","1,150.0","1,184.0","1,101.0","1,226.0","1,122.0","1,153.0","1,126.0","1,149.0","1,098.0","1,196.0","1,057.0","1,118.0","1,129.0","1,086.0","1,099.0","1,104.0","1,174.0","1,006.0","1,106.0","1,049.0","1,153.0","1,046.0","1,171.0","1,102.0","1,215.0","1,169.0","1,200.0","1,179.0","1,183.0","1,243.0","1,144.0","1,143.0","1,138.0","1,143.0","1,162.0","1,151.0","1,156.0","1,147.0","1,162.0","1,166.0","1,119.0","1,153.0","1,119.0","1,205.0","1,126.0","1,116.0","1,042.0","1,175.0","1,106.0","1,153.0","1,084.0","1,015.0","1,082.0","1,067.0","1,058.0","1,051.0","1,069.0","1,022.0","1,040.0","1,034.0","1,110.0","967.0","1,084.0","981.0","1,121.0","926.0","1,068.0","962.0","1,091.0"
"24","4","        Capital transfers received \2\","M318051","813.0","1,258.0","731.0","761.0","873.0","1,275.0","750.0","784.0","876.0","1,319.0","892.0","1,501.0","1,813.0","1,219.0","1,072.0","1,257.0","1,452.0","1,129.0","1,265.0","1,246.0","1,340.0","1,176.0","1,221.0","1,058.0","1,139.0","1,184.0","1,359.0","1,205.0","1,324.0","1,317.0","1,454.0","1,488.0","3,015.0","1,311.0","1,503.0","1,328.0","1,322.0","1,229.0","1,353.0","1,308.0","1,341.0","1,282.0","1,416.0","1,455.0","1,489.0","1,564.0","1,809.0","1,652.0","1,529.0","1,597.0","1,948.0","1,817.0","2,038.0","1,940.0","1,993.0","1,544.0","1,364.0","1,441.0","1,584.0","1,384.0","1,540.0","1,480.0","1,442.0","1,508.0","1,569.0","1,559.0","1,634.0","1,611.0","1,564.0","1,839.0","1,777.0","1,791.0","1,733.0","1,994.0","1,790.0","1,691.0","1,639.0","2,065.0","1,897.0","2,042.0","1,871.0","2,646.0","2,044.0","2,338.0","2,195.0","4,159.0","2,636.0","2,607.0","2,499.0","3,048.0","2,819.0","2,631.0","2,509.0","3,114.0","2,748.0","2,884.0","2,625.0","3,746.0","3,088.0","3,440.0","3,376.0","4,752.0","3,510.0","3,465.0","3,090.0","4,236.0","3,778.0","3,847.0","3,482.0","5,233.0","4,500.0","4,278.0","4,224.0","6,171.0","5,010.0","5,160.0","5,106.0","7,772.0","5,856.0","6,424.0","5,945.0","8,901.0","6,373.0","7,553.0","6,217.0","8,762.0","6,297.0","6,826.0","6,453.0","8,929.0","6,015.0","6,542.0","6,315.0","7,159.0","6,336.0","5,501.0","5,444.0","5,661.0","5,129.0","5,745.0","5,746.0","6,451.0","6,737.0","5,673.0","6,020.0","6,542.0","6,315.0","6,117.0","7,510.0","7,414.0","6,665.0","6,241.0","5,733.0","7,607.0","6,264.0","6,869.0","6,497.0","8,862.0","6,376.0","6,527.0","5,516.0","6,369.0","4,888.0","3,838.0","5,224.0","5,583.0","3,608.0","562.0"
"25","5","        Financial transactions","M318061","5.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","6","        Other \3\","M318071","260.0","-134.0","24.0","57.0","39.0","5.0","-31.0","-35.0","41.0","-72.0","0.0","63.0","49.0","167.0","44.0","68.0","8.0","38.0","10.0","59.0","-9.0","-105.0","79.0","108.0","-16.0","59.0","123.0","-1,108.0","-441.0","1,731.0","150.0","114.0","66.0","102.0","-19.0","5.0","86.0","-21.0","68.0","6.0","25.0","107.0","0.0","12.0","18.0","20.0","43.0","130.0","-3.0","658.0","-303.0","86.0","508.0","32.0","194.0","-36.0","-27.0","-349.0","-193.0","-372.0","332.0","-343.0","-69.0","115.0","-154.0","40.0","449.0","-69.0","419.0","182.0","512.0","-79.0","-59.0","304.0","-51.0","404.0","27.0","41.0","112.0","69.0","78.0","98.0","240.0","126.0","-28.0","75.0","234.0","129.0","-58.0","37.0","153.0","126.0","41.0","34.0","191.0","87.0","-4.0","5.0","121.0","79.0","36.0","25.0","120.0","88.0","27.0","1.0","86.0","67.0","26.0","14.0","1,044.0","331.0","264.0","288.0","343.0","326.0","716.0","902.0","1,024.0","972.0","967.0","927.0","1,149.0","1,192.0","1,191.0","1,175.0","1,344.0","514.0","1,304.0","1,316.0","1,469.0","1,450.0","1,384.0","1,383.0","1,417.0","1,263.0","1,238.0","1,414.0","1,749.0","1,621.0","1,590.0","1,628.0","1,729.0","1,486.0","1,701.0","2,041.0","1,920.0","1,759.0","1,757.0","1,865.0","2,031.0","1,689.0","1,781.0","1,866.0","2,139.0","2,017.0","1,785.0","1,921.0","2,009.0","1,815.0","1,878.0","1,942.0","2,180.0","1,938.0","2,089.0","2,221.0","2,053.0","1,881.0"
"27","7","Less: Netting and grossing differences","M318081","-1,382.0","-948.0","-869.0","-1,281.0","-1,258.0","-1,074.0","-683.0","-1,187.0","-1,062.0","-1,078.0","-815.0","-1,617.0","-1,314.0","-1,516.0","-1,118.0","-1,344.0","-1,531.0","-1,439.0","-1,003.0","-967.0","-1,559.0","-937.0","-1,503.0","-1,529.0","-1,186.0","-928.0","-1,598.0","-1,741.0","-2,288.0","-858.0","-2,436.0","-2,418.0","-3,005.0","-2,719.0","-599.0","-2,568.0","-2,540.0","-2,856.0","-1,046.0","-3,753.0","-3,744.0","-3,611.0","-1,086.0","-4,268.0","-4,073.0","-3,971.0","-920.0","-5,061.0","-5,471.0","-5,558.0","-1,777.0","-8,335.0","-8,278.0","-8,288.0","-3,628.0","-8,608.0","-8,659.0","-8,903.0","-4,154.0","-9,424.0","-10,173.0","-10,180.0","-5,326.0","-10,735.0","-10,537.0","-12,549.0","-6,942.0","-12,164.0","-12,495.0","-12,265.0","-7,423.0","-12,168.0","-11,566.0","-11,220.0","-6,645.0","-11,933.0","-13,290.0","-13,192.0","-6,393.0","-12,395.0","-13,719.0","-13,490.0","-9,479.0","-12,672.0","-12,729.0","-13,017.0","-7,311.0","-16,182.0","-15,919.0","-15,787.0","-9,099.0","-15,345.0","-16,407.0","-16,143.0","-8,981.0","-18,349.0","-15,875.0","-16,664.0","-13,095.0","-16,586.0","-16,990.0","-16,521.0","-12,703.0","-15,877.0","-16,902.0","-16,435.0","-12,951.0","-15,195.0","-17,031.0","-16,585.0","-14,424.0","-20,583.0","-17,546.0","-16,925.0","-14,441.0","-16,875.0","-17,511.0","-16,957.0","-14,653.0","-17,898.0","-15,997.0","-17,198.0","-15,098.0","-17,560.0","-19,145.0","-18,789.0","-16,118.0","-16,824.0","-18,962.0","-18,507.0","-15,453.0","-19,080.0","-18,981.0","-21,046.0","-20,054.0","-20,204.0","-22,056.0","-23,282.0","-21,680.0","-21,486.0","-24,105.0","-24,395.0","-21,545.0","-22,643.0","-25,108.0","-25,818.0","-24,044.0","-25,021.0","-29,508.0","-29,915.0","-26,420.0","-27,885.0","-32,578.0","-32,334.0","-29,019.0","-32,258.0","-34,879.0","-35,238.0","-34,737.0","-37,471.0","-41,772.0","-42,909.0","-46,001.0","-93,802.0","-40,003.0","-43,852.0","-42,967.0","-41,732.0"
"28","8","        Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,202.0","-675.0","-947.0","-1,032.0","-1,068.0","-1,054.0","-1,071.0","-1,061.0","-1,077.0","-1,286.0","-1,301.0","-1,279.0","-1,335.0","-1,425.0","-1,377.0","-1,426.0","-1,427.0","-1,442.0","-1,426.0","-1,444.0","-1,454.0","-1,678.0","-1,689.0","-1,699.0","-2,380.0","-1,682.0","-2,364.0","-2,371.0","-2,384.0","-3,043.0","-3,070.0","-3,093.0","-3,113.0","-2,822.0","-2,816.0","-2,859.0","-2,949.0","-3,063.0","-3,073.0","-3,095.0","-3,142.0","-3,332.0","-3,353.0","-3,415.0","-4,508.0","-2,836.0","-3,987.0","-3,977.0","-4,071.0","-4,534.0","-4,555.0","-4,590.0","-4,615.0","-5,191.0","-5,162.0","-5,273.0","-5,043.0","-5,138.0","-4,898.0","-4,961.0","-4,967.0","-5,152.0","-5,119.0","-5,183.0","-5,155.0","-5,200.0","-5,190.0","-5,202.0","-6,657.0","-4,059.0","-5,402.0","-5,443.0","-5,510.0","-5,447.0","-5,457.0","-5,493.0","-5,540.0","-6,060.0","-6,019.0","-6,134.0","-6,108.0","-6,643.0","-6,585.0","-6,616.0","-6,709.0","-7,177.0","-7,213.0","-7,333.0","-7,266.0","-8,229.0","-8,234.0","-8,411.0","-8,455.0","-9,855.0","-9,888.0","-10,045.0","-10,161.0","-11,544.0","-11,540.0","-11,843.0","-11,784.0","-12,865.0","-12,618.0","-12,931.0","-12,938.0","-13,788.0","-13,589.0","-13,864.0","-13,887.0","-14,175.0","-14,341.0","-14,552.0","-18,507.0","-11,394.0","-15,264.0","-15,488.0","-15,500.0"
"29","9","        Interest receipts","W704MC1","-514.0","-574.0","-554.0","-688.0","-595.0","-659.0","-614.0","-741.0","-586.0","-718.0","-682.0","-883.0","-675.0","-725.0","-711.0","-859.0","-742.0","-786.0","-673.0","-804.0","-710.0","-775.0","-773.0","-896.0","-769.0","-869.0","-936.0","-1,068.0","-1,046.0","-1,033.0","-1,100.0","-1,108.0","-1,102.0","-1,273.0","-1,262.0","-1,312.0","-1,295.0","-1,553.0","-1,563.0","-1,786.0","-1,709.0","-1,755.0","-1,881.0","-2,109.0","-1,924.0","-2,076.0","-2,329.0","-2,657.0","-2,613.0","-2,717.0","-3,056.0","-3,473.0","-3,580.0","-3,592.0","-3,773.0","-3,772.0","-3,806.0","-3,797.0","-3,927.0","-4,046.0","-4,030.0","-4,305.0","-4,180.0","-4,115.0","-4,190.0","-4,410.0","-4,932.0","-5,330.0","-5,616.0","-5,497.0","-5,888.0","-4,800.0","-4,346.0","-4,159.0","-3,976.0","-3,832.0","-5,847.0","-4,450.0","-4,286.0","-4,422.0","-3,960.0","-3,886.0","-4,459.0","-4,047.0","-4,182.0","-4,037.0","-4,112.0","-6,904.0","-5,488.0","-4,902.0","-5,038.0","-4,533.0","-4,427.0","-4,322.0","-4,161.0","-4,184.0","-3,659.0","-3,636.0","-3,601.0","-3,497.0","-2,856.0","-2,690.0","-2,585.0","-2,841.0","-2,934.0","-3,099.0","-2,817.0","-2,991.0","-3,646.0","-3,576.0","-3,736.0","-3,144.0","-2,888.0","-3,040.0","-3,064.0","-3,322.0","-2,590.0","-2,827.0","-2,943.0","-3,129.0","-3,065.0","-3,106.0","-3,065.0","-3,035.0","-3,706.0","-3,667.0","-3,197.0","-2,897.0","-2,828.0","-2,762.0","-2,931.0","-3,401.0","-2,605.0","-2,615.0","-2,816.0","-2,897.0","-2,665.0","-2,964.0","-2,880.0","-2,688.0","-2,460.0","-2,286.0","-2,255.0","-2,222.0","-2,289.0","-2,301.0","-2,226.0","-2,359.0","-2,805.0","-2,697.0","-2,522.0","-2,193.0","-3,056.0","-3,049.0","-3,075.0","-3,264.0","-2,777.0","-2,961.0","-3,495.0","-3,809.0","-7,324.0","-9,977.0","-9,798.0","-10,595.0","-9,726.0","-9,786.0","-10,074.0","-9,805.0"
"30","10","        Current surplus of government enterprises","W705MC1","118.0","129.0","221.0","-19.0","242.0","529.0","498.0","243.0","467.0","437.0","636.0","65.0","208.0","367.0","367.0","151.0","294.0","564.0","442.0","535.0","395.0","842.0","233.0","334.0","724.0","1,726.0","602.0","586.0","217.0","1,699.0","171.0","74.0","207.0","348.0","2,243.0","203.0","395.0","262.0","2,153.0","-345.0","-111.0","7.0","2,754.0","-88.0","67.0","200.0","3,598.0","11.0","134.0","-108.0","3,865.0","-718.0","-551.0","-310.0","4,303.0","-563.0","-351.0","-385.0","4,254.0","-565.0","-278.0","-269.0","4,404.0","-440.0","-319.0","-513.0","4,492.0","-1,052.0","-815.0","-847.0","4,553.0","-993.0","-433.0","-280.0","4,245.0","-575.0","-735.0","-992.0","4,865.0","-869.0","-834.0","-943.0","3,717.0","-191.0","117.0","-167.0","5,354.0","-9.0","-1,249.0","-1,556.0","5,677.0","-1,260.0","-1,596.0","-1,693.0","5,671.0","-2,339.0","-755.0","-733.0","3,293.0","-542.0","-574.0","-619.0","3,338.0","-1,205.0","-1,038.0","-989.0","3,088.0","-720.0","-587.0","-613.0","3,336.0","-928.0","-985.0","-1,030.0","3,307.0","-1,199.0","-1,277.0","-1,305.0","3,121.0","-1,374.0","-1,275.0","-1,302.0","2,786.0","-1,000.0","-1,015.0","-993.0","3,039.0","190.0","249.0","292.0","4,169.0","-723.0","-706.0","-703.0","3,027.0","-1,823.0","-1,827.0","-1,829.0","1,481.0","-1,500.0","-1,495.0","-1,394.0","2,718.0","-117.0","-83.0","-68.0","3,967.0","-269.0","-341.0","-308.0","4,255.0","-724.0","-717.0","-694.0","4,432.0","-297.0","-341.0","-318.0","4,467.0","-157.0","-128.0","-115.0","4,367.0","298.0","50.0","89.0","4,425.0","259.0"
"31","11","        Other \4\","M318111","-986.0","-503.0","-536.0","-574.0","-905.0","-944.0","-567.0","-689.0","-943.0","-797.0","-769.0","-799.0","-847.0","-1,158.0","-774.0","-636.0","-1,083.0","-1,217.0","-772.0","-698.0","-1,244.0","-1,004.0","-963.0","-967.0","-1,141.0","-1,785.0","-1,264.0","-1,259.0","-1,459.0","-1,524.0","-1,507.0","-1,384.0","-2,110.0","-1,794.0","-1,580.0","-1,459.0","-1,640.0","-1,565.0","-1,636.0","-1,622.0","-1,924.0","-1,863.0","-1,959.0","-2,071.0","-2,216.0","-2,095.0","-2,189.0","-2,415.0","-2,992.0","-2,733.0","-2,586.0","-2,942.0","-3,472.0","-3,439.0","-3,126.0","-3,205.0","-3,448.0","-3,650.0","-3,420.0","-3,736.0","-4,579.0","-4,305.0","-4,271.0","-4,845.0","-4,603.0","-6,249.0","-5,076.0","-4,355.0","-4,622.0","-4,495.0","-4,644.0","-4,921.0","-5,109.0","-5,092.0","-5,215.0","-5,146.0","-5,026.0","-5,386.0","-4,601.0","-4,720.0","-5,882.0","-5,591.0","-5,644.0","-5,321.0","-5,842.0","-5,997.0","-5,694.0","-6,320.0","-6,119.0","-6,256.0","-6,643.0","-6,410.0","-7,052.0","-6,775.0","-7,076.0","-7,318.0","-8,625.0","-8,308.0","-8,810.0","-8,476.0","-9,026.0","-8,657.0","-8,866.0","-7,216.0","-7,739.0","-7,185.0","-7,949.0","-6,441.0","-7,660.0","-7,498.0","-9,063.0","-11,544.0","-8,521.0","-7,736.0","-9,501.0","-7,199.0","-8,444.0","-7,635.0","-9,629.0","-6,738.0","-7,598.0","-7,388.0","-9,376.0","-8,015.0","-8,977.0","-8,672.0","-10,467.0","-8,577.0","-10,323.0","-10,018.0","-10,557.0","-8,848.0","-9,027.0","-11,143.0","-13,649.0","-8,775.0","-10,387.0","-11,276.0","-12,948.0","-10,032.0","-11,921.0","-12,481.0","-13,597.0","-11,849.0","-12,881.0","-13,561.0","-15,740.0","-12,232.0","-14,818.0","-15,370.0","-16,310.0","-13,184.0","-15,940.0","-15,973.0","-17,445.0","-15,759.0","-17,973.0","-18,370.0","-21,845.0","-19,618.0","-20,145.0","-18,476.0","-26,018.0","-64,998.0","-18,933.0","-18,891.0","-21,830.0","-16,686.0"
"32","12","Plus: Timing differences","M318121","2,507.0","-5,415.0","95.0","567.0","1,894.0","-5,438.0","287.0","231.0","2,616.0","-3,383.0","555.0","142.0","5,216.0","-5,620.0","368.0","1,361.0","6,249.0","-5,513.0","1,172.0","1,004.0","4,495.0","-5,354.0","2,064.0","78.0","1,394.0","-7,183.0","2,589.0","1,357.0","7,172.0","-4,828.0","2,841.0","1,319.0","5,294.0","-9,069.0","2,984.0","1,024.0","8,698.0","-8,092.0","1,796.0","3,133.0","9,465.0","-10,862.0","2,144.0","2,064.0","8,970.0","-14,805.0","-1,131.0","3,270.0","7,614.0","-14,230.0","-3,523.0","-1,312.0","3,454.0","-12,156.0","1,636.0","-695.0","10,959.0","-4,552.0","1,684.0","437.0","15,480.0","-7,031.0","-1,405.0","-2,349.0","10,655.0","-10,328.0","1,291.0","-2,725.0","11,136.0","-6,821.0","564.0","-2,823.0","9,588.0","-5,089.0","-1,699.0","-3,787.0","16,592.0","-13,646.0","357.0","-2,962.0","20,915.0","-15,746.0","1,371.0","-1,431.0","15,753.0","-15,669.0","3,938.0","-6,180.0","14,608.0","-8,307.0","1,911.0","-5,942.0","21,454.0","-13,867.0","-2,455.0","-1,638.0","23,865.0","-20,792.0","425.0","-571.0","23,821.0","-23,068.0","1,980.0","-1,688.0","28,682.0","-29,743.0","4,314.0","-5,303.0","30,980.0","-25,452.0","1,069.0","-677.0","30,092.0","-31,610.0","7,831.0","-9,521.0","31,842.0","-30,416.0","9,059.0","-14,680.0","33,192.0","-21,868.0","-66.0","-3,262.0","31,345.0","-34,229.0","-6,773.0","-10,338.0","22,579.0","-26,440.0","19,851.0","-25,795.0","19,907.0","-11,820.0","-149.0","-8,007.0","42,109.0","-21,417.0","9,928.0","2,650.0","44,371.0","-27,818.0","8,487.0","5,139.0","56,942.0","-30,063.0","-467.0","3,659.0","58,303.0","-42,734.0","-6,665.0","-9,163.0","44,264.0","-44,073.0","-6,397.0","-27,417.0","36,169.0","-58,655.0","-11,814.0","-31,009.0","43,187.0","-14,165.0","7,452.0","-41,097.0","72,493.0","-26,256.0","8,014.0","27,356.0"
"33","13","        Taxes on corporate income","M318131","886.0","-5,856.0","719.0","1,285.0","333.0","-5,421.0","1,240.0","1,126.0","2,404.0","-2,945.0","1,817.0","1,597.0","925.0","-5,254.0","1,411.0","2,205.0","2,130.0","-4,922.0","2,356.0","2,237.0","631.0","-5,017.0","3,169.0","1,322.0","-1,764.0","-6,511.0","3,098.0","2,785.0","2,975.0","-4,023.0","4,123.0","2,824.0","-191.0","-8,032.0","4,598.0","2,431.0","2,007.0","-7,143.0","4,077.0","4,444.0","2,755.0","-9,360.0","3,796.0","3,578.0","2,019.0","-12,982.0","2,269.0","4,082.0","2,579.0","-12,512.0","1,646.0","-543.0","-3,365.0","-9,893.0","2,933.0","1,879.0","2,234.0","-2,346.0","3,864.0","2,963.0","4,585.0","-3,349.0","340.0","1,047.0","810.0","-5,572.0","3,379.0","130.0","3,215.0","-2,756.0","1,726.0","965.0","1,296.0","-441.0","530.0","645.0","3,800.0","-7,684.0","2,799.0","-83.0","10,972.0","-9,882.0","1,324.0","399.0","5,449.0","-7,502.0","5,565.0","-2,510.0","3,905.0","-5,378.0","4,630.0","-3,110.0","10,089.0","-8,326.0","-1,788.0","2,571.0","10,897.0","-13,038.0","3,561.0","2,718.0","8,620.0","-16,948.0","4,472.0","1,533.0","15,842.0","-21,290.0","6,903.0","-2,316.0","17,921.0","-17,705.0","2,527.0","793.0","17,868.0","-24,067.0","8,407.0","-5,689.0","18,803.0","-22,570.0","5,894.0","-5,325.0","18,953.0","-15,166.0","1,772.0","-1,353.0","19,108.0","-25,982.0","-4,380.0","-8,616.0","10,630.0","-16,017.0","20,607.0","-24,997.0","9,134.0","-2,508.0","2,045.0","-4,787.0","26,906.0","-9,656.0","14,699.0","4,880.0","24,503.0","-14,971.0","12,546.0","6,666.0","35,389.0","-17,298.0","5,310.0","5,547.0","39,046.0","-26,651.0","-3,390.0","-11,162.0","29,671.0","-28,636.0","-5,767.0","-24,593.0","21,017.0","-43,228.0","-8,430.0","-28,672.0","27,274.0","-6,243.0","7,657.0","10,154.0","40,225.0","-13,992.0","8,614.0","30,262.0"
"34","14","        Federal and state unemployment insurance taxes","M318141","334.0","-65.0","-181.0","-53.0","414.0","-167.0","-217.0","-104.0","581.0","-335.0","-304.0","-136.0","1,409.0","-509.0","-531.0","-198.0","1,901.0","-796.0","-687.0","-245.0","1,889.0","-824.0","-715.0","-229.0","1,901.0","-1,030.0","-654.0","-235.0","2,979.0","-1,443.0","-978.0","-339.0","3,591.0","-1,892.0","-1,044.0","-377.0","4,269.0","-1,926.0","-1,602.0","-593.0","4,512.0","-2,300.0","-1,499.0","-608.0","4,229.0","-2,195.0","-1,280.0","-814.0","4,872.0","-2,367.0","-1,548.0","-468.0","5,168.0","-2,877.0","-1,397.0","-561.0","6,809.0","-2,913.0","-1,597.0","-921.0","8,120.0","-4,632.0","-2,625.0","-960.0","7,537.0","-5,112.0","-1,480.0","-777.0","7,645.0","-4,485.0","-1,796.0","-826.0","7,355.0","-4,470.0","-3,163.0","-724.0","8,229.0","-4,493.0","-2,371.0","-875.0","7,653.0","-4,647.0","-1,235.0","-362.0","6,872.0","-4,451.0","-2,211.0","-823.0","7,361.0","-4,359.0","-1,944.0","-966.0","8,924.0","-5,225.0","-2,086.0","-682.0","9,642.0","-6,032.0","-2,742.0","-823.0","9,933.0","-6,288.0","-2,143.0","-1,071.0","10,442.0","-7,294.0","-2,008.0","-973.0","10,225.0","-7,601.0","-1,823.0","-706.0","10,156.0","-7,602.0","-2,120.0","-1,029.0","9,369.0","-6,761.0","-1,744.0","-728.0","9,180.0","-6,290.0","-1,661.0","-737.0","10,009.0","-7,296.0","-1,555.0","-808.0","10,222.0","-7,702.0","-1,740.0","-925.0","11,367.0","-8,061.0","-1,346.0","-952.0","13,636.0","-9,720.0","-3,480.0","-958.0","16,453.0","-11,888.0","-3,696.0","-1,168.0","17,195.0","-12,827.0","-2,701.0","-1,324.0","16,958.0","-13,538.0","-2,531.0","-1,175.0","16,039.0","-12,651.0","-2,387.0","-1,093.0","15,360.0","-13,049.0","-2,252.0","-1,088.0","15,644.0","-11,996.0","-2,278.0","-1,254.0","19,797.0","-13,889.0","-3,052.0","-3,655.0"
"35","15","        Withheld personal income tax and social security contributions","M318151","1,160.0","371.0","-351.0","-463.0","1,002.0","-15.0","-629.0","-728.0","-349.0","20.0","-423.0","-721.0","1,920.0","-14.0","-446.0","-635.0","2,138.0","111.0","-346.0","-786.0","1,755.0","342.0","-243.0","-844.0","1,179.0","93.0","-148.0","-800.0","1,588.0","353.0","-227.0","-1,132.0","1,772.0","725.0","-489.0","-945.0","2,273.0","843.0","-550.0","-630.0","2,047.0","668.0","-85.0","-839.0","1,879.0","466.0","-1,910.0","-1,040.0","-297.0","1,021.0","-2,738.0","91.0","1,718.0","623.0","181.0","-2,322.0","1,976.0","153.0","397.0","-1,373.0","2,604.0","1,584.0","1,528.0","-2,009.0","2,365.0","502.0","6.0","-1,099.0","377.0","971.0","831.0","-2,229.0","1,305.0","573.0","1,149.0","-2,575.0","2,903.0","-1,038.0","787.0","-1,110.0","1,910.0","-641.0","513.0","-1,403.0","2,271.0","-888.0","730.0","-2,836.0","2,014.0","399.0","844.0","-2,417.0","1,973.0","-316.0","1,577.0","-2,900.0","2,240.0","-648.0","1,172.0","-2,777.0","3,150.0","-373.0","959.0","-2,483.0","1,347.0","-696.0","1,212.0","-1,337.0","1,868.0","-44.0","1,750.0","-1,931.0","1,771.0","-105.0","2,294.0","-2,740.0","2,508.0","-286.0","2,243.0","-1,740.0","2,302.0","-11.0","2,154.0","-1,985.0","1,745.0","-326.0","2,268.0","-1,565.0","1,877.0","-3,202.0","2,871.0","-4,734.0","2,076.0","-75.0","2,159.0","-2,802.0","107.0","-1,931.0","2,213.0","-1,882.0","2,089.0","-456.0","2,284.0","-1,347.0","4,155.0","342.0","147.0","-906.0","1,267.0","-744.0","2,204.0","1,516.0","-951.0","-1,809.0","3,006.0","-2,590.0","606.0","-1,683.0","1,550.0","-2,944.0","-1,112.0","-453.0","1,274.0","-2,557.0","1,450.0","-2,855.0","-304.0","-3,729.0"
