"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"32","12","  Net domestic product","A362RX1","1,625,902.0","1,624,689.0","1,624,098.0","1,652,438.0","1,681,943.0","1,716,828.0","1,727,146.0","1,730,177.0","1,702,793.0","1,695,433.0","1,716,351.0","1,697,849.0","1,774,248.0","1,833,526.0","1,912,198.0","1,947,985.0","1,973,361.0","2,007,490.0","2,049,620.0","2,050,939.0","2,071,155.0","2,070,737.0","2,083,308.0","2,156,784.0","2,198,275.0","2,213,478.0","2,195,656.0","2,154,036.0","2,139,543.0","2,139,967.0","2,164,330.0","2,210,440.0","2,279,195.0","2,318,859.0","2,350,962.0","2,363,262.0","2,348,699.0","2,366,897.0","2,361,029.0","2,402,180.0","2,416,631.0","2,407,589.0","2,430,973.0","2,399,214.0","2,322,875.0","2,336,295.0","2,395,866.0","2,457,322.0","2,511,820.0","2,581,793.0","2,577,116.0","2,585,718.0","2,649,436.0","2,633,962.0","2,636,955.0","2,596,910.0","2,612,062.0","2,664,390.0","2,710,381.0","2,769,509.0","2,822,191.0","2,854,265.0","2,880,572.0","2,885,249.0","2,923,973.0","2,961,549.0","3,020,328.0","3,042,356.0","3,115,098.0","3,151,267.0","3,195,029.0","3,200,689.0","3,283,729.0","3,328,502.0","3,398,511.0","3,484,424.0","3,573,645.0","3,581,391.0","3,602,069.0","3,629,142.0","3,659,272.0","3,654,992.0","3,682,189.0","3,708,352.0","3,788,408.0","3,854,828.0","3,878,970.0","3,892,488.0","3,955,455.0","3,963,096.0"
"33","13","  Command-basis net national product \4\","C027RX1","1,668,627.0","1,674,962.0","1,679,346.0","1,716,311.0","1,738,520.0","1,767,272.0","1,778,135.0","1,787,636.0","1,754,764.0","1,738,230.0","1,763,245.0","1,742,632.0","1,821,113.0","1,879,190.0","1,961,271.0","2,001,151.0","2,029,238.0","2,067,036.0","2,105,323.0","2,104,831.0","2,121,392.0","2,115,952.0","2,138,653.0","2,213,063.0","2,254,659.0","2,270,997.0","2,252,520.0","2,206,924.0","2,188,874.0","2,186,221.0","2,215,848.0","2,268,233.0","2,342,732.0","2,379,434.0","2,413,149.0","2,435,440.0","2,423,447.0","2,432,551.0","2,431,663.0","2,465,694.0","2,491,156.0","2,484,105.0","2,503,108.0","2,452,683.0","2,383,560.0","2,394,463.0","2,465,084.0","2,537,808.0","2,585,828.0","2,653,053.0","2,648,760.0","2,658,894.0","2,730,547.0","2,711,584.0","2,712,700.0","2,668,156.0","2,688,380.0","2,743,942.0","2,792,808.0","2,857,711.0","2,913,821.0","2,943,254.0","2,969,801.0","2,976,446.0","3,011,857.0","3,051,477.0","3,111,454.0","3,139,555.0","3,213,021.0","3,245,580.0","3,289,202.0","3,295,528.0","3,389,805.0","3,436,084.0","3,501,772.0","3,585,204.0","3,681,030.0","3,684,830.0","3,712,038.0","3,744,954.0","3,777,944.0","3,769,465.0","3,802,478.0","3,829,705.0","3,913,281.0","3,981,921.0","4,005,190.0","4,019,449.0","4,087,947.0","4,091,949.0"
"34","14","  Net national product","A027RX1","1,635,621.0","1,634,891.0","1,634,249.0","1,663,166.0","1,693,682.0","1,729,194.0","1,739,582.0","1,742,607.0","1,714,679.0","1,706,978.0","1,727,558.0","1,708,032.0","1,785,108.0","1,845,040.0","1,925,807.0","1,961,559.0","1,986,384.0","2,022,722.0","2,065,491.0","2,067,679.0","2,086,984.0","2,086,649.0","2,098,950.0","2,172,176.0","2,213,441.0","2,229,531.0","2,210,061.0","2,168,465.0","2,155,030.0","2,155,376.0","2,179,940.0","2,227,942.0","2,297,087.0","2,336,486.0","2,368,784.0","2,381,468.0","2,368,806.0","2,386,818.0","2,381,392.0","2,420,213.0","2,437,700.0","2,430,164.0","2,452,641.0","2,416,639.0","2,340,680.0","2,354,380.0","2,413,397.0","2,474,686.0","2,529,092.0","2,599,088.0","2,595,664.0","2,605,371.0","2,668,396.0","2,653,338.0","2,657,131.0","2,618,168.0","2,634,516.0","2,685,753.0","2,732,215.0","2,791,840.0","2,844,393.0","2,878,560.0","2,905,103.0","2,913,295.0","2,950,758.0","2,987,388.0","3,046,651.0","3,069,501.0","3,144,605.0","3,179,677.0","3,224,283.0","3,227,953.0","3,314,596.0","3,360,357.0","3,428,241.0","3,511,604.0","3,601,749.0","3,609,542.0","3,629,609.0","3,657,883.0","3,687,678.0","3,682,620.0","3,712,585.0","3,737,905.0","3,818,713.0","3,885,747.0","3,910,793.0","3,924,084.0","3,987,193.0","3,993,694.0"
"35",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Trading gains index \5\","W368RG3","102.172","102.458","102.602","102.564","102.450","102.348","102.268","102.240","102.238","102.181","102.122","102.049","101.906","101.834","101.743","101.627","101.531","101.471","101.501","101.563","101.607","101.660","101.725","101.793","101.848","101.883","101.891","101.872","101.805","101.770","101.735","101.731","101.795","101.810","101.824","101.839","101.860","101.871","101.894","101.907","101.950","101.982","102.017","102.051","102.105","102.132","102.135","102.130","102.097","102.080","102.097","102.101","102.122","102.114","102.113","102.104","102.123","102.195","102.188","102.225","102.280","102.221","102.231","102.213","102.179","102.151","102.112","102.088","102.058","102.031","102.075","102.116","102.195","102.193","102.163","102.091","102.152","102.140","102.210","102.267","102.360","102.361","102.350","102.373","102.376","102.444","102.366","102.366","102.421","102.407"
"37","16","    Terms of trade index \6\","W369RG3","145.966","146.463","146.104","144.773","142.362","141.118","140.838","140.913","141.616","140.445","138.822","136.796","132.098","129.610","126.730","123.331","120.618","118.632","118.654","120.119","122.101","123.724","125.680","127.595","129.234","130.286","130.460","129.890","127.817","126.776","125.725","125.601","127.561","128.032","128.441","128.936","129.572","129.909","130.587","130.859","132.082","132.989","134.182","135.388","137.361","138.244","138.342","138.193","137.183","136.686","137.157","137.254","137.851","137.675","137.634","137.569","138.067","140.047","139.943","141.041","142.912","141.332","141.740","141.195","140.116","139.308","138.169","137.555","136.674","135.948","137.224","138.288","140.271","140.398","139.567","137.611","139.234","138.925","140.922","142.494","145.002","145.175","144.979","145.693","145.786","147.672","145.588","145.595","147.193","146.804"
"38","17","      Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","164.800","164.669","163.968","164.549","164.208","167.095","164.174","163.849","165.695","164.581"
"39","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","117.799","117.893","117.669","117.948","117.370","119.497","117.286","117.250","118.375","117.544"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
