"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"21","13","Services","DSERRC1",289.6,297.1,303.5,311.5,319.1,325.6,333.4,340,346.9,355,363.4,372.6,383.1,391,400.3,411.2,420,430.2,440.6,450.6,459.2,474.6,488,503.8,520.1,535.3,547.9,566.5,582.6,594.1,612,631.1,651.3,666.7,687,704.8,729.8,755.7,775.4,795.3,814.7,841,864.4,892.8,916,932.2,966.9,1009.1,1032.3,1060.2,1082.4,1105.7,1129.9,1154.7,1188.9,1231.3,1266.3,1293.7,1335.7,1363.4,1387.6,1420.5,1456.1,1485.3,1533,1561.4,1598.9,1626.6,1656.4,1684.4,1713.9,1749.8,1788.9,1820.5,1857.1,1896.2,1944.7,1986.3,2039.2,2080.8,2118.7,2148.9,2184.8,2230.3,2269.2,2332.6,2378.5,2396.3,2423.9,2466.3,2500,2540.4,2606.3,2645.3,2694.5,2748.4,2777.9,2817.9,2867.1,2902,2944.7,2983,3027.4,3061.8,3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4971.8,5041.7,5112.6,5180.3,5270.3,5346.6,5431.3,5523.1,5612.3,5699.9,5784.4,5883.7,5967.4,6060.1,6141.3,6235,6339,6409.8,6481.1,6564.6,6650.3,6724.3,6751.9,6773.3,6754.6,6744.7,6764.6,6818.6,6850.9,6907.9,6946.7,6988.1
"22","14","  Household consumption expenditures (for services)","DHCERC1",279.9,287.2,293.3,301,308.4,314.6,322.1,328.6,335.2,343,350.9,359.5,370,377.6,386.8,396.8,406,415.6,425.9,435.5,443.5,458.1,471.4,486.8,502.8,517.7,529.5,547.6,562.7,574.2,592,610.6,630.2,645.7,665,681.7,706.3,731.6,750.6,769.8,787.8,813.5,836.8,863.7,885.8,900.9,934.5,975.3,997.8,1024.6,1045.7,1067.5,1090.9,1115.2,1148.3,1190.1,1224.7,1251.6,1292.5,1318.8,1342.3,1373.4,1407.9,1435.6,1484,1511.6,1548.2,1574.9,1602.8,1628.9,1657.9,1693.4,1731.8,1763,1797.8,1835.9,1881.1,1920.5,1971.2,2011.2,2049.4,2077.7,2112.1,2156.6,2194,2254.2,2296.7,2313.3,2341.4,2382.7,2415.2,2454.3,2517.4,2553.8,2600.6,2653.3,2684.5,2724.2,2772.1,2805.7,2846.4,2882.1,2923.4,2955.7,2995.4,3047.1,3089.1,3126.7,3172.2,3216.7,3260.9,3311.1,3369.6,3419.4,3480.9,3536.6,3590.2,3651.2,3711.9,3756.7,3810,3871,3937.7,4010.9,4108.4,4171.4,4238.4,4305.3,4371.5,4415.4,4438.4,4489.1,4543.1,4601.3,4650.5,4702,4760,4829.5,4900.4,4969.3,5060.8,5136.8,5220.9,5312.7,5402.8,5489.2,5569.6,5662.4,5740.2,5822.9,5893.1,5986.2,6089.8,6164.2,6224.3,6299.5,6378.9,6449.8,6469.3,6486.5,6489.6,6493.8,6507.5,6556.2,6589.6,6643.2,6679.2,6721
"23","15","    Housing and utilities","DHUTRC1",97.7,99.5,102.2,104.5,106.2,107.9,110.5,113.1,115.8,118.6,121.3,124.1,126.8,129.6,132.2,136.1,138.6,141.8,145.3,148.3,151.5,156.4,160.8,165.6,170,174.9,178.7,182.5,187,190.9,196.5,204.3,210.2,213.3,221.1,226.6,234.5,241.3,246.7,254.7,262.4,268.1,276,287.1,296.1,305.7,316.9,328.6,333.8,347.9,357.7,368.5,378.1,381.7,388.9,399.2,405.6,415.7,426.6,436.8,441.3,454.1,463.9,473.7,487.6,492,505.2,517.8,521.7,531.7,540.6,548.8,555.3,567,577.1,587.8,600,607,620,630.8,640.1,647.2,658.4,676.7,675.2,692.2,706.1,712,719.7,733.9,740.4,748.2,755.1,766.9,774.5,788.2,797,805.8,821.9,833.3,849.5,863.9,871.8,880.6,891.4,908.2,923.6,932,948.8,957.7,962,976.5,987.9,1001.3,1014.7,1035.6,1040.9,1061.2,1076.3,1082.5,1101,1118.1,1136.9,1144.1,1159.6,1184.4,1208.1,1242.1,1271.2,1281.3,1295.7,1302.8,1313,1328.4,1339.2,1358.4,1376.2,1389.5,1396.5,1413.1,1429.7,1448.7,1468.8,1501.7,1532.2,1566.1,1598.4,1634.7,1645.8,1677,1705.7,1715.3,1737.3,1748.8,1762,1775,1802.1,1827,1839.7,1863.8,1870.2,1870,1877.5,1887.6,1887.1,1892.5,1910.9,1912.4
"24","16","    Health care","DHLCRC1",40.3,41.6,42.5,43.8,45.5,46.7,48.3,50.3,51.3,52.9,54.6,56.1,57.6,59,60.6,62.1,64.4,66.5,68.1,69.7,71.9,74.6,77.4,80.4,84.5,87.7,89.5,94.2,97.3,100.3,103.4,106.4,109.7,114.8,118,120.3,125.2,129.5,132.8,137.2,141.7,146.1,151,156.6,162.4,165.7,174.7,183.8,191.4,199,206.2,211,215.4,221.1,228.3,236,243.6,250.2,256.2,262.5,269.2,273.6,278.7,284.4,291,297.7,306.1,314,320.6,325.8,332.6,341.6,350.6,361,371.9,380.5,392.7,404.4,416.7,426.4,437.1,444.8,454.5,468.4,483.1,499.4,515.2,527.1,536.3,548.1,561.3,577.3,593.1,607.8,620.5,629.8,638.8,645,652.8,658.7,667.1,675.5,684.7,694.6,707.8,715.6,723.6,732.6,736.3,748,754.8,769.1,776.3,785.4,796.5,805.6,820.2,829.3,836.7,842,848.9,856.1,867.8,881.5,893.8,910,926.7,943.2,966.2,985,1006.1,1028.9,1052.4,1074.9,1094.2,1110,1123.8,1140.3,1157.4,1175.6,1195.6,1218.6,1242.8,1261.9,1289.8,1305.7,1324.7,1343.6,1360.6,1374.4,1383.6,1404.4,1441,1455,1470.3,1495.3,1524,1543.5,1552.8,1568.5,1594.4,1618.9,1629.5,1650.1,1657.5,1680.4,1694.3,1718.7
"25","17","    Transportation services","DTRSRC1",17.1,17.7,18.2,18.8,19.4,19.7,20.3,20.7,21.2,22,22.8,23.4,24,24.3,24.7,25.2,25.6,25.9,26.2,26.6,27.4,28.1,28.8,29.6,30.5,31.4,32.6,33.7,34.9,35.7,36.4,37.6,39.4,40.8,42.3,43,43.7,45,45.8,46.3,48.1,49.9,51.3,53.5,54.2,53.8,56,57.4,59.3,58.8,60.5,60.5,60,60.9,62.4,63.6,65,67.1,70.3,73.2,76.8,79.2,80.4,83.8,87.4,89.6,91,92.5,93.4,94,95.4,97.2,99.5,101.8,104.4,106.6,109.4,112.6,115.9,118.7,121.1,121.8,122,122.5,124.7,126.7,126.9,127.2,122.9,122.8,123.9,125.2,129.3,130.8,135.4,139,141.7,144.1,147.3,151.3,155.5,160.1,164.2,167.8,170.6,175.5,180.8,184.9,187.5,192.2,197,203.1,208.4,212.8,216.6,219.5,222.3,225,229.1,232.3,236,240.6,246.1,250.4,255.5,260.7,264.7,268.1,268.2,266.3,260.5,255.9,256.6,256.8,256.1,257.4,259.4,260,265.3,267.7,269.9,271.3,274,277.7,280.4,283.8,288.2,291.2,292.5,296.6,297.8,301,305,306.2,307.9,309.4,309.8,310.3,308,299.6,293.2,288.8,288.3,290.2,294.6,299.6,301.5,303
"26","18","    Recreation services","DRCARC1",12.6,13,12.9,13.2,13.7,13.9,14.1,14.3,14.6,14.9,15.2,15.8,15.9,16.1,16.5,16.9,17.6,18.2,18.5,19.1,19.6,20.4,21.4,22.4,23.1,23.2,23.8,24.6,25.2,25.9,27.1,28,28.2,29,30,31,31.7,32.3,33.4,34.1,35.3,36.3,37.3,38,39.1,39.9,41.3,43.1,44.7,46.5,48.2,49.1,50.7,51.7,53.1,54.4,56.4,58.8,60.3,62.2,63.6,65.1,67,68.7,71,73.1,74.8,76.9,78.4,79.3,80.6,83.1,84.6,86.1,88,90.4,93.8,97.6,100.9,104.6,107.8,109.7,112,113.1,117.2,120.9,123.5,125.5,124.9,126,127.7,130.2,135.1,138.3,141.1,144.7,147.9,151.5,156.1,158,160.6,163.1,166.4,168.5,173.7,179.6,183.3,187.8,189.8,193.6,198.3,200.5,204.1,207.3,209.5,212.4,216.5,218,222,225.7,229.6,235.5,242.5,247.6,250.2,254.2,258.2,259.3,263.4,263.2,263,264.6,267.9,271.1,273.5,278.8,280.9,286.2,292.5,298.2,305.6,310.8,314.3,317.1,322.2,324,327.6,333.3,339.5,344.2,351.4,360.2,364.5,371.4,376.3,380.5,383.5,385.3,384.8,380.2,381.4,378.5,377.9,377.3,376.8,378.5,384.1,382.5
"27","19","    Food services and accommodations","DFSARC1",36,37.3,37.7,38.7,40.3,41.7,42.3,42.3,42.5,43.2,44.2,45.2,47,48.2,49.6,50.7,52.7,53.5,55.5,57.6,57.9,59.7,61.4,63.5,65.5,68,69,72.8,75.1,76.8,79.3,80.1,84.8,85.6,85.7,86.6,90.2,95.2,100,103,107.1,108.5,111.4,116.7,118.5,119.5,122.1,126.8,131.6,133.9,134.6,135.6,137.1,141,144.6,147.3,150.1,152,155.1,157,161.6,162.7,167,168.4,170.5,174.6,175.4,176.7,181.4,185.3,187.8,192.3,198.1,202.2,205.1,212.1,214.9,222.4,230.3,235.7,237.5,239.8,244.8,248.3,257,262.1,266.7,265.2,266.4,274.1,275.8,277.2,285.1,280.6,284.2,295.3,293.5,297.8,301.7,301.4,302.1,307.9,311.2,313.4,312.7,316.2,318.5,319.5,321,325.6,328.5,334.4,340,342.1,347.8,348.4,354.2,360.8,364.3,372.7,373.1,377.9,382,393.3,402.9,409,413.7,414.9,421.2,420.3,421.1,422.4,431.7,437,440.4,443.7,448.4,457.4,469.3,476.2,483.3,488.5,495.7,504.2,511.6,522.8,527.8,539,555.9,555,558.9,569.2,574.9,586.6,598.1,608.3,605.9,613.3,616.1,610,606,602.6,601.2,604.7,615.2,623.3,630.5,636.7
"28","20","    Financial services and insurance","DIFSRC1",27.3,28.2,28.8,29.8,30,30.6,31.4,32.3,33.3,33.8,34.5,35,37,37.7,39,39.7,40.1,41,41.9,43,43,44.5,46.9,49.2,52.1,53.6,54.2,56.2,57.5,57.7,59.9,61.9,63.1,65.7,69.5,72.9,76.5,81,81.6,83.5,80.1,89.2,90.9,90.2,91.9,91.6,95.9,103,104.1,102.8,100.2,100.8,104.7,109.7,119,131.8,141.4,139.4,152.6,150.1,147.3,154.2,161.8,162.9,178,178.8,183.1,182.2,191,194.6,197.7,203.4,208.1,204.6,206.7,209.1,213.9,217,222.1,224.7,231.5,234.6,236.3,240.5,243.9,253.6,256.4,258.9,273.7,278.9,284.4,290.9,304.8,306.7,313.8,321.7,330.8,340,344.5,348.8,349.4,345.5,350,351.2,354.4,361.4,368.5,374.5,383.5,390.4,395.6,405,416.7,423.9,438.4,446.2,453.9,463.4,474.7,486.6,494.8,507.1,517.9,537.1,574.2,567.7,567.5,570.4,566.4,565.6,549.8,569.3,568.5,573.6,580.2,582.3,579.7,595.8,608.9,622.7,646.4,658.9,672.6,692,696.8,710.4,718.5,724.8,733.4,745,753,778.1,795.6,811.5,826.1,842.3,848.3,856.3,850.5,837.5,816.5,813.3,809.3,816.3,824.9,829.9,812.2,815.4
"29","21","    Other services","DOTSRC1",48.9,49.9,50.9,52.1,53.3,54.2,55.2,55.6,56.5,57.4,58.3,59.9,61.7,62.7,64.1,66.2,66.9,68.7,70.4,71.3,72.3,74.4,74.7,76,77.2,78.9,81.6,83.6,85.8,86.8,89.4,92.5,94.8,96.4,98.5,101.3,104.5,107.4,110.3,111.1,113.1,115.2,118.8,121.7,123.7,124.8,127.6,132.6,132.8,135.6,138.4,142,144.9,149.1,152,157.7,162.6,168.4,171.4,177,182.5,184.5,189.1,193.7,198.4,205.8,212.5,214.7,216.3,218.3,223.1,227,235.6,240.3,244.5,249.3,256.5,259.4,265.1,270.4,274.3,279.7,284.1,287.1,292.8,299.3,301.9,297.5,297.5,299,301.7,305.3,314.9,322.6,331.2,334.6,334.8,340,347.7,354.3,362.1,366.1,375,379.5,384.8,390.7,390.9,395.5,405.1,409.3,424.7,422.3,436.1,446.6,457.5,468.9,482.2,493.5,508.7,514.8,526.5,535.7,544.5,556.7,572.1,585.3,599.5,607.4,615,633.6,642.1,645.2,653,659.6,666.8,671.4,691.7,700.2,710.5,715.8,730.2,740.1,752.6,758.2,769.9,776.3,784.5,795.8,812.5,830.7,842.7,858,871.5,884.8,883.7,888.7,905.4,914.1,917.5,926.9,927.9,921.8,923.8,930.1,933.3,939.1,945.7,952.3
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",9.7,9.9,10.2,10.5,10.7,10.9,11.3,11.4,11.7,12,12.5,13.1,13.2,13.4,13.5,14.4,14.1,14.6,14.7,15.1,15.7,16.5,16.6,17,17.3,17.6,18.4,18.9,19.9,19.9,20,20.5,21.1,21.1,21.9,23.1,23.5,24.1,24.8,25.5,26.9,27.6,27.6,29.1,30.1,31.3,32.4,33.8,34.5,35.6,36.7,38.2,39,39.6,40.6,41.2,41.7,42.2,43.2,44.6,45.3,47.1,48.2,49.8,49.1,49.8,50.8,51.8,53.5,55.5,56,56.4,57,57.5,59.3,60.3,63.5,65.8,68.1,69.6,69.3,71.2,72.7,73.7,75.2,78.4,81.9,83,82.5,83.5,84.8,86.1,88.9,91.5,94,95,93.4,93.8,95,96.3,98.3,100.9,104.1,106.2,105.2,106.5,107.6,109.4,113.4,116.1,117.7,115.7,110.8,110.1,111.9,116.2,122.1,128.5,134.4,139,140.4,143.3,146.8,151.2,156.7,161.6,167.8,175.4,179.8,184.9,188.9,191.2,196.3,202.8,208.7,212.2,211.8,212.2,212.3,211,209.5,209.8,210.3,210.4,209.5,210.7,214.7,221.4,227.2,237.2,248.1,248.8,249.2,245.6,256.7,265.1,271.4,274.5,282.6,286.7,265,250.9,257.1,262.4,261.3,264.7,267.5,267.1
"31","23","    Gross output of nonprofit institutions \2\","DNPERC1",33.1,34.2,35.1,36.2,37.4,38,39.2,40.2,41.3,42.8,44.2,45.4,46.6,47.5,48.6,49.9,50.6,52.3,53.2,54.7,56.4,59.3,60.7,62.5,64.8,66.9,68.9,72.2,75,76.1,78.3,80.2,83,85.5,87,89.7,93.1,97,99.7,102.6,106.2,109.4,111.8,116.7,121.2,124.1,130.4,136.1,140.7,145.6,149.8,155.1,159.1,163.4,168.2,173,176.5,179.7,182.5,186.7,190.6,194.9,198.3,202.7,205.2,208.7,213.8,219.1,224.4,228.7,231.4,235.7,240.6,246.4,253.3,258.6,267.2,275,283.9,289.9,295.1,301.4,307.9,315.2,323.5,333.8,344.7,350.7,354.8,362.9,370.5,379.9,388.6,397.2,406,411.4,416,420.6,426.5,430.1,434.5,440.7,448.6,454.9,456.2,460.7,465,471.6,476.7,486.1,491.9,500.5,500.2,504.2,511.9,520.9,535.1,545.8,556.6,564.7,571.8,579.4,588.9,601.1,611.3,624.8,638.6,653.2,667.6,681.1,695.6,707.9,726,744.4,759.7,768.7,775.2,781.3,789.1,797.7,807.8,821.2,836,845.8,858.2,865.2,878.8,896.4,912.8,928.6,940.5,952.5,972.3,977.9,987.5,1004.6,1021.6,1033,1042.4,1053.5,1050.4,1052.2,1059,1070.7,1071.5,1087.7,1097.1,1112
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",23.4,24.3,24.9,25.7,26.6,27.1,27.9,28.9,29.6,30.7,31.6,32.3,33.4,34.1,35.1,35.5,36.5,37.7,38.5,39.7,40.7,42.9,44.1,45.5,47.5,49.4,50.5,53.3,55.1,56.2,58.3,59.7,61.9,64.4,65.1,66.6,69.6,72.9,75,77.1,79.3,81.8,84.2,87.7,91.1,92.8,98,102.4,106.1,110,113.1,116.9,120.1,123.9,127.7,131.7,134.8,137.6,139.3,142.2,145.3,147.9,150.1,152.9,156.1,159,163,167.4,170.9,173.2,175.4,179.3,183.5,188.9,194,198.3,203.7,209.2,215.8,220.2,225.8,230.3,235.2,241.5,248.4,255.4,262.8,267.7,272.3,279.3,285.7,293.8,299.7,305.7,312,316.4,322.6,326.8,331.5,333.8,336.2,339.8,344.5,348.8,351,354.2,357.5,362.2,363.4,370,374.2,384.9,389.4,394.1,400,404.7,413,417.4,422.2,425.6,431.4,436.1,442.1,449.9,454.6,463.3,470.7,477.8,487.7,496.1,506.7,516.7,529.7,541.6,550.9,556.5,563.4,569.1,576.9,586.8,598.3,611.5,625.6,635.4,648.7,654.4,664.1,675,685.6,691.4,692.4,703.6,723.1,732.3,730.8,739.5,750.2,758.5,759.7,766.8,785.4,801.3,801.9,808.3,810.2,823,829.6,845
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRC1",457.4,467.1,475,483.7,490.9,499.5,509.2,513.5,531.5,543.6,555.6,569.8,585.4,599.1,614.2,633,654.4,665.7,676.9,686.7,696.9,716.2,736,740.5,764.2,786.2,812,839.8,868.5,884.6,907.9,932.3,962.9,987.7,1013.8,1045.4,1069.1,1120.1,1145.9,1176.1,1196.7,1226.3,1265.1,1293.7,1321.5,1316.3,1368.1,1427.1,1470.3,1491.8,1529,1537.2,1569.6,1598.7,1641.4,1698.8,1742.9,1795.3,1854.4,1904.1,1950.1,1997.9,2036.8,2082.8,2145.7,2189.5,2253.1,2272.2,2319.3,2368,2441.6,2478.2,2505,2561.6,2624.7,2657.8,2729.2,2781,2837.1,2905.4,2949,2996,3050.8,3083.4,3165.8,3208.5,3252.9,3258,3282.9,3329.3,3377.8,3414.3,3515.4,3561.2,3629.6,3698.1,3736.3,3802.5,3858.3,3915.6,3980.4,4034.2,4102.7,4172,4200.8,4261.6,4323.7,4381.3,4436.9,4514.8,4575.7,4640.8,4716.4,4762.8,4866.1,4941.2,5019,5124.7,5217.3,5333.2,5403.8,5509,5596.8,5708.8,5856.7,5919.1,6006.8,6083.2,6153.5,6213,6256.3,6400.9,6449.6,6516.2,6596,6635.7,6683.4,6784.3,6913.9,6981.9,7088,7178.1,7287.8,7401.5,7507.1,7629.2,7712.7,7786.2,7941.2,8029.5,8122.1,8254.8,8367.8,8446.4,8527.9,8625.6,8665.8,8734.3,8728.2,8649.5,8654.4,8658.1,8726.9,8780.9,8851.5,8931.3,8984.9,9096.8
"35","26","  Energy goods and services \5\","DNRGRC1",38,38.6,39.2,40.1,40.7,41.1,41.8,42.5,43.6,44,44.5,45.3,45.8,46.5,48,51.1,51.8,53.2,54.8,57.7,60.1,67.4,70.2,72.2,72.4,75.8,78.9,79.5,81.6,82.6,86,92.4,93.7,93.1,96.8,98.8,101.4,102.8,103.4,107.3,115,121.2,132.5,140.7,153.7,157.8,159.3,162.8,171.5,178.2,177.7,181,184.3,178.1,180.7,181.7,178.4,185.4,192.3,193.3,190,195.6,192.4,194.3,199.9,197.4,199,201.9,193.4,177.1,172.7,171,177.8,186.2,188.3,189,191.3,192.1,196.2,196.6,200.9,212,208.2,216.2,210,213.3,226.6,242,226.3,227.7,225.8,224.4,222.1,230.1,233.2,240.1,240.3,238.2,243.5,245.7,246,245.5,248.4,245.6,247,253.4,255.3,250.9,266.2,273.9,264.5,274.1,277.2,269.4,270.8,279.5,260,261.8,261.9,250,250.7,271.7,286.4,289.6,302.1,321,333.6,349.1,352.6,346.4,332.9,300.9,293.1,319.7,325.9,342.1,377.1,354.5,370,378.4,401.2,407.6,413,450.5,452.4,459.1,525.1,544.2,522,544.8,569.9,514.5,541.1,576.6,582.3,607.8,637.3,671.1,688.6,542.4,484.8,487.9,536.8,564.1,582,559.5,580.1,603
"36","27","  Market-based PCE \6\","DPCMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2695.2,2761.6,2823.5,2853.7,2924.6,2979.4,3038.6,3106.8,3156.2,3215.2,3269.4,3312.1,3389.8,3430.3,3487.9,3508.4,3507.9,3559.6,3599.7,3623.5,3712.5,3756.9,3818.4,3888.4,3920.3,3976.3,4031.9,4087.3,4145.6,4203.4,4267,4331.4,4359.2,4420.9,4485.2,4534.6,4593.7,4679.2,4715.2,4798.2,4865.6,4894.3,4991.7,5060,5102.9,5199.2,5277.2,5370.8,5443.3,5558.9,5649.7,5760.1,5883.6,5965.1,6056.8,6148.1,6217.3,6256.9,6297.3,6393.4,6424.3,6506.2,6587.3,6641.5,6724.7,6792.3,6931.7,6998.4,7115.4,7192,7292,7444.2,7542.8,7673,7823.5,7904.3,8019.1,8116.6,8217.5,8281.8,8415.4,8521.7,8600.8,8722.2,8784,8889.8,8911.3,8677.1,8659.9,8688.9,8805.1,8880.2,8967.6,9017.2,9098,9240.8
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2196.2,2252.1,2310.6,2339.3,2401,2448.1,2496,2559.6,2598.2,2641.9,2694.1,2722.6,2797.5,2827.6,2866.2,2871.1,2881.6,2926.3,2969.4,2999.8,3088.3,3125.1,3180.9,3240.9,3272.2,3327.2,3374.5,3422.3,3476.1,3528.3,3583.9,3647.2,3671.8,3725.5,3786.5,3836.2,3874.5,3945.7,3986.9,4054.7,4115.3,4153.5,4244.8,4303.5,4364.8,4454.1,4526.8,4626.2,4690,4778.2,4848,4944.4,5057.7,5108.9,5182.2,5250.5,5312.9,5351.6,5402.6,5527.4,5565.2,5619.3,5692.4,5724.3,5761.5,5853,5963.4,6017.8,6098.3,6160.9,6249.5,6351,6440.6,6555.3,6627.7,6680.5,6812.5,6879.8,6948.2,7052.9,7150.7,7215.3,7278.3,7359.8,7384.5,7441.5,7438,7359.8,7401.7,7427.3,7491.7,7530,7588.6,7663.5,7717,7824.4
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
