"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"81","74","    Video and audio equipment, computers, and related services","DVPIRC1",1,0.9,0.5,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.5,0.4,0.5,1.3,1.6,1.7,1.9,2.7,2.6,2.8,3.1,3.3,3.5,3.7,3.6,3.7,4,4.1,4.3,4.6,5,5.6,6.4,7.6,8.5,9.2,9.8
"82","75","      Video and audio equipment","DVAARC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,3,3.1,3.4,4,4.7,5.8,6.5,7.1,7.4
"83","76","      Information processing equipment","DIPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3
"84","77","      Services related to video and audio goods and computers","DSVCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.9,2.1
"85","78","    Sports and recreational goods and related services","DODRRC1",0.8,0.6,0.5,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.8,1,1.2,1.9,2.1,2.2,2.2,2.5,2.8,2.9,3.1,3.1,3.4,3.7,3.9,4,4.5,4.7,4.8,5.2,5.7,6.4,7.2,8.5,9.2,10.7,11.7
"86","79","      Sports and recreational vehicles","DWHLRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,0.7,0.8,0.9,1.2,1.4,1.7,1.9,2.6,3.3
"87","80","      Other sporting and recreational goods","DORIRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.8,4.1,4.4,4.8,5.2,5.7,6.7,7.2,7.9,8.3
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRC1",1.3,1.3,1.2,0.9,0.8,0.9,1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.9,2,2.2,2.7,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.9,3.1,3.3,3.2,3.2,3.5,3.8,4.1,4.3,4.6,4.8,5,5.4,5.7,6.3,6.9
"90","83","      Membership clubs and participant sports centers","DMDFRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,1,1.1,1.2,1.3,1.3,1.5,1.6,1.8,2.2
"92","85","      Admissions to specified spectator amusements","DADMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.7,1.8,1.9,2,2.2,2.3,2.4,2.8,3
"93","86","        Motion picture theaters","DMOVRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1.2,1.2,1.2,1.4,1.5
"94","87","        Live entertainment, excluding sports","DLIGRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"95","88","        Spectator sports","DSPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,1,1.1
"96","89","      Museums and libraries","DMUSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"97","90","    Magazines, newspapers, books, and stationery","DNBSRC1",1,0.9,0.8,0.6,0.6,0.7,0.7,0.8,0.9,0.8,0.9,1,1.1,1.2,1.4,1.6,1.8,2.1,2.2,2.4,2.5,2.6,2.9,3,3.2,3.3,3.5,3.6,3.8,4,4.2,4.4,4.3,4.7,5.1,5.4,5.7,6.7,6.9,7.4,8.2
"98","91","    Gambling","DGAMRC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5
"99","92","    Pets, pet products, and related services","DPETRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.3,1.5,1.7,1.8,2.1,2.4
"100","93","    Photographic goods and services","DPHORC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.3,1.5,1.7,1.9,2.2,2.4,2.7,3.1
"101","94","    Package tours \14\","DXHLRC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"102","95","  Education","DEDURC1",0.6,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,0.9,1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.4,2.6,2.9,3.1,3.4,3.6,4,4.3,4.8,5.5,6.2,6.9,7.7,8.7
"103","96","    Educational books","DEBKRC1",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6
"104","97","    Higher education","DHEDRC1",0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.6,1.8,2,2.3,2.7,3.1,3.5,3.9,4.5
"105","98","    Nursery, elementary, and secondary schools","DNEHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.4,1.6,1.7,1.8,2,2.2
"106","99","    Commercial and vocational schools \15\","DVEDRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.4
"107","100","  Food services and accommodations","DFSARC1",3.4,3.3,3,2.4,2.1,2.6,3,3.4,4,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15,16,16.5,16.6,17,17.7,18.5,18.7,19.7,20.5,21,22.3,23.3,24.9,27.2,29.6,31,34.6,37.5
"108","101","    Food services","DFSERC1",3.2,3,2.7,2.3,2,2.4,2.8,3.2,3.8,3.6,3.9,4.2,5.1,6.6,8.8,10.5,12.3,12.2,11.9,12.1,11.8,12.2,14.3,15.3,15.7,15.8,16.2,16.8,17.5,17.7,18.7,19.3,19.7,20.9,21.8,23.3,25.4,27.7,28.8,32.1,34.7
"109","102","      Purchased meals and beverages \16\","DPMBRC1",2.9,2.8,2.5,2.1,1.8,2.2,2.6,3,3.5,3.4,3.6,3.9,4.6,5.7,7.1,8.1,9.5,10.9,10.9,11,10.8,11.1,12.7,13.6,14.1,14.4,14.9,15.6,16.3,16.4,17.5,18.1,18.5,19.6,20.5,21.9,23.9,25.9,26.8,30.2,32.7
"110","103","      Food furnished to employees (including military)","DFOORC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1
"111","104","    Accommodations \17\","DACCRC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.4,1.5,1.6,1.8,1.9,2.2,2.5,2.7
"112","105","  Financial services and insurance","DIFSRC1",2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.8,4.2,4.7,4.9,5.6,6.3,6.7,7.8,8.6,9.6,10.4,11.1,11.6,12.5,13.6,14.8,15.4,15.9,17.7,19.4,21.3,22.8,25.8,28.5
"113","106","    Financial services","DFNLRC1",1.7,1.4,1,0.8,0.8,0.7,0.8,0.9,1,0.9,0.8,0.9,0.9,0.9,1.1,1.1,1.3,1.7,1.7,1.9,2,2.3,2.5,2.6,3.1,3.6,4.2,4.6,4.7,5,5.7,6.1,6.8,6.9,7.1,8,8.8,9.9,11.1,12.4,14.1
"114","107","      Financial services furnished without payment","DIMPRC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.2,1.2,1.3,1.4,1.6,1.7,2.2,2.4,2.8,3.1,3.2,3.2,3.5,3.9,4.1,4.3,4.2,4.9,5.2,5.8,6.4,7,9.1
"115","108","      Financial service charges, fees, and commissions","DOFIRC1",0.9,0.6,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.2,1.4,1.4,1.5,1.8,2.2,2.2,2.7,2.6,2.9,3.1,3.5,4.1,4.7,5.3,5
"116","109","    Insurance","DINSRC1",1.2,1.2,1.2,1.1,1.1,1.1,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.5,2.8,2.9,3.3,3.9,4.2,4.7,5,5.4,5.8,6.3,6.6,6.8,7.5,8,8.4,8.8,9.7,10.6,11.4,11.8,13.4,14.4
"117","110","      Life insurance \18\","DLIFRC1",0.9,0.9,0.9,0.8,0.8,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2,2.1,2.2,2.4,2.8,3,3.2,3.2,3.6,3.7,3.9,4.1,4.6,5.1,5.3,5.4,5.9,6.3
"118","111","      Net household insurance \19\","DFINRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"119","112","      Net health insurance","DHINRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.4,2.6,2.9,2.9,3.8,4.1
"120","113","        Medical care and hospitalization \20\","DMINRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.3,2,1.9
"121","114","        Income loss \21\","DIINRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2
"122","115","        Workers' compensation \22\","DPWCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.1,1.3,1.4,1.5,1.6,1.6,1.7,1.9,2,2.1,2.2,2.3,2.5,2.6,2.9,3.2,3.5,3.7
"124","117","  Other goods and services","DOISRC1",5.4,4.9,4.5,3.8,3.4,3.8,4,4.3,4.8,4.8,5,5.3,6,6.8,8,8.5,9.3,10.3,11.1,11.7,11.8,12.2,13.3,14.3,15,15.4,16.3,17.5,18.8,19.9,21.4,22.4,23.7,24.9,26.2,27.8,30.2,33.3,35.8,38.6,41
"125","118","    Personal care \24\","DPCRRC1",1.3,1.2,1.1,0.9,0.7,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.6,1.9,2.1,2.3,2.4,2.5,2.6,2.6,2.8,3,3.3,3.5,3.8,4.2,4.7,5.1,5.5,5.9,6.3,6.9,7.5,7.9,8.5,9.2,10.2,11.2,12.1,12.5
"126","119","    Personal items \25\","DPEORC1",0.9,0.8,0.6,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.9,1.1,1.4,1.6,1.8,2.2,2.2,2.2,2.1,2.1,2.3,2.5,2.6,2.6,2.8,2.9,2.9,3,3.1,3.1,3.1,3.3,3.5,3.9,4.3,5,5.4,6,6.4
"127","120","    Social services and religious activities \26\","DSOCRC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.7,1.8,2.1,2.4,2.7,3,3.3,3.6
"128","121","    Professional and other services","DPRSRC1",1.2,1.1,1,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.6,1.7,1.8,2,2.1,2.2,2.3,2.6,2.7,2.9,3,3.2,3.4,3.7,4,4.3,4.5,4.9,5.1,5.5,5.8,6.2,6.9,7.3,7.8,8.6
"129","122","      Legal services","DGALRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2.3,2.4,2.6,2.8,3,3.4,3.6,3.8,4.2
"130","123","      Accounting and other business services \27\","DPRORC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8
"131","124","      Labor organization dues","DUNSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2
"132","125","      Professional association dues","DAXSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"133","126","      Funeral and burial services","DFUNRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1,2.2
"134","127","    Tobacco","DTOBRC1",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC1",0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.2,0.3,0.6,1.2,-0.1,0,0.3,0.6,0.7,0.9,1.1,1.5,1.5,1.6,1.7,1.7,1.9,2,2.1,2,2.3,2.5,2.6,2.9,3.1,3.8,3.7,4
"136","129","    Foreign travel by U.S. residents","DFTRRC1",0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.3,2.6,2.8,3,3.3,3.6,4.2,4.2,4.7
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.4,1.6,1.8,1.8,2,2.3
"138","131","    Net expenditures abroad by U.S. residents","DNFRRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.1,-0.1,-0.2,0,0.2,0.2,0.5,0.7,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,1,1.1,1.3,1.4,1.5,1.7
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRC1",1.3,1.3,1.2,1,0.9,0.9,0.9,0.9,1,1,1,1.1,1.1,1.3,1.5,1.7,1.7,2,2.1,2.3,2.4,2.5,2.6,2.9,3.1,3.3,3.5,3.9,4.2,4.5,5.1,5.3,5.5,5.7,6,6.7,7.2,7.8,8.4,9.3,10.1
"140","133","  Gross output of nonprofit institutions \29\","DNPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,15.1,16,17.2,18.6,20.5,22.3,24.6,27.4,30.9,34.6
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9.8,10.5,11.5,12.6,13.8,15.1,16.9,18.9,21.6,24.6
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","8. Consists of household supplies; domestic services; moving, storage and freight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","service; and other household service.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","9. Excludes drug preparations and related products dispensed by physicians, hospitals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","and other medical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","10. Consists of offices of physicians, health maintenance organization medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","centers, and freestanding ambulatory surgical and emergency centers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","11. Includes podiatrists, chiropractors, mental health practitioners (except physicians),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
