"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"36","28","        Intermediate goods and services purchased \3\","W087RL1",NA,191.6,446.7,-42.8,294.5,54.5,-22.2,140.4,10.8,33.3,20.9,-43.1,82.4,9,53,68.1,920.3,51.1,172.9,26.4,48.6,65.3,17.3,22.4,4.2,-9.9,-7.2,17.3,-58.4,-21.4,-22.3,-27.5,20.3,-45.5,78.7,-16.7,-15.7,64.2,-36.9,70.7,28.5,25.9,2.1,4.5,-0.3,14.1,-32,11.3,-61.5,6.5,33.8,2.4,-13,-8.1,30.5,-9.2,-3.2,3.5,16.7,-0.4,35.7,1.7,15.2,5.6,-6.2,-4.8,26.5,-3.1,-15.2,-18.8,-2.1,-23.5,-6.9,13.1,45.6,56,9.4,46.9,24.7,5.9,44,20.5,0.5,-0.3,42.8,-2.7,-18.4,9.7,-28.5,7.2,-16,5.3
"37","29","          Durable goods","A998RL1",NA,20.9,1039.5,-6.3,640.8,-5.1,55.5,68.5,-19.8,86,33.9,-47.4,502.5,12,75.7,79.5,210.7,244.1,115.4,128.2,80.1,57.4,22.1,31,28.7,26.4,-48.3,-23.1,-42.4,7.7,-45.7,1.9,-19.6,18,-29.9,-37.3,5.3,64.9,-33.6,21.6,1.5,28.1,-12,-6.3,19.8,27.1,-30.8,5.7,-76.1,16,17.9,-8.9,-46.3,-16.6,19.8,-12.1,-59,11.1,15,1.7,96.3,8.6,6.2,-8.1,16.1,-10.9,-5.6,3.7,-39.7,-5.1,-20.4,5.7,0.8,56,-30.1,30.4,83.7,137.6,-22.5,133.3,-49.1,-6.9,-1.7,-2.7,101.1,-10.8,4.1,0.9,-34.7,-26.2,-1.6,-22.8
"38","30","          Nondurable goods","A725RL1",NA,-58.7,-24.8,-20.7,2781.7,-10.2,-56.6,239,248.8,-72.9,5.1,-32.7,-5.9,37.8,196.6,42.2,2105,-3.9,-3.3,-4.1,115.6,40.1,17.3,9,455.9,-24.9,33.5,10.6,-85.6,-0.5,0.5,55.9,-95.8,-2.8,-31.9,-21.9,30.7,-1.1,30.5,-20.5,40.1,16.1,17.7,162.2,-39.8,-15.9,5.8,-41.6,-12.6,-28,27.7,-12.3,72,-32.5,37.9,-25.6,186.2,-44.4,113.4,0.7,69.9,-27.3,150.7,-17.2,-43.8,-56.9,266.6,4.5,10.8,-50.5,125.4,-13.4,-19.4,-66.7,618.7,75.9,-5.7,153,-26.6,-33.8,486.5,22.6,16.8,-11.7,78,16,-33.1,7.5,-20.5,3.1,-18.5,-21.3
"39","31","          Services","A489RL1",NA,2484.2,794.4,-58,-17.9,251.1,-29.5,156.9,-40.4,200.7,20.9,-44.6,-8.3,-5,-10.1,74.8,1859.4,-0.8,452.8,-17,-1.1,89.4,10.1,16.5,-73.2,-49.8,122.6,131,-45.1,-57.5,13.7,-81.2,1549.7,-83.4,640.5,7.7,-37,87.6,-50.4,182.5,50.6,26.2,10,-10.1,-0.6,13.2,-38.8,35,-53.8,11.7,50.3,15.8,0,4.8,34.8,-3.1,10.2,18.1,1,-1.6,7.6,8.3,-5.4,22.2,-1.8,18.6,11.5,-8,-9.4,-12.8,-16.2,-36,-5.8,37.4,25.9,60.2,-6.3,-9.5,99.4,-15.5,36,32.7,-5.6,6.4,11.3,-7.8,-19,15.2,-29.4,27.6,-19.8,34.3
"40","32","      Less: Own-account investment \4\","W088RL1",NA,-8.7,-15.5,-10.3,272.3,3.9,424.9,6.6,-19.3,96.8,-1,-7.5,-43.6,255.4,-5.6,143.9,-19.7,189.9,189.1,52.6,-11.7,75.2,39.3,12.9,32.3,-29,-23.1,-31.9,44.1,-18.9,-13.6,-43.7,18.6,-23.4,-15.8,1,-23,77,45,-55.2,77,16.9,16.3,-2.8,-12.8,33,15.7,79.3,-92.1,145.3,1.9,23.4,-2,11.8,-47,22.1,45.5,3.6,-43.7,49,-27.4,14.4,144.6,-28.1,-94.3,2330.4,0,-58.6,38.1,-30,-22.8,49.2,-32.4,126.2,6.6,-43.5,5.6,95.2,22.3,62.2,-98.4,-33.3,18.7,-11.2,-2.1,-4.3,31.2,31,-17,34.2,-12.6,-17.1
"41","33","            Sales to other sectors","W089RL1",NA,-7.6,5.6,-100,0,78.8,-11.6,6.7,-94.5,2.9,-27.6,2.6,-39.1,-6.2,-5.8,-14.6,0,-100,-67.9,-3.2,215.7,-100,0,-67.7,197.1,756,-88.2,1.3,386.6,1321.1,-67.7,379.4,89195.7,-6.7,52.2,-7.9,-82.6,662.7,-93.5,135.3,123,-44.2,759.1,4.2,50.3,67.3,-95.7,2824.5,-97.2,-26.9,-27.5,142,76.9,29.7,-19.3,-56.2,-55,351.4,-79.7,-45.3,127.7,550,-70.4,62.1,-90.9,326.6,74.1,-20.6,53,-38.4,188.4,71.7,-37.9,15.9,551.3,-45.3,734.2,256.8,-89.2,-56.9,-68,182.8,-99.3,77.2,-44.2,47.6,-60.9,438.8,-69.2,297.7,-74.6,-63.6
"42","34","    Nondefense consumption expenditures \1\","A542RL1",NA,377.8,-24.6,-64.1,37.9,414.6,70.7,8.2,17.9,48.2,-40.5,-20.8,-6.9,12.4,-85.2,117.6,-40.3,38.5,10.6,-29.9,126.2,-19.6,31.6,-3.5,88,126.6,-41.6,7.8,31.4,-54.2,-0.4,90.1,-44.3,41.1,13.7,-28.3,-15.3,0.2,-49.4,37,60.1,-59,-17.2,173,-70.8,167.7,-16.6,76.4,27.6,145.4,3.7,-10.4,-59.7,16.4,10.8,32.3,-53.3,65.1,7.8,2.1,18.1,36.5,50,2.1,-10.9,-8.4,73.8,-16.3,10.1,23.8,-17,-3.2,9.2,4.3,31.5,-4.9,-12.7,30,-18.2,-18.7,80.9,-24.2,-10.2,17.7,-0.1,-13.7,24.8,2.7,8.8,5.1,7.8,-18.5
"43","35","      Gross output of general government","W128RL1",NA,151.5,-55.5,-62.1,85.1,230.8,67,28.6,-2.6,46.4,-34,-24.8,-7.5,75.4,-89.8,107.1,-28,30.9,11.4,-30.5,111.8,-5.1,14.5,1.1,82.9,110.1,-40,6.3,29.5,-42.3,-19,89.1,-41.7,219.1,-51.9,-27.9,-14.9,12.7,-53.1,32.2,77.6,-48.8,-21.2,148.4,-74.1,272.1,-41.1,72.7,57.5,93.6,5.3,-2.1,-60.8,14.8,10.3,30.6,-50.1,54.7,10.6,0.6,18.1,31.8,49.1,1.1,5.6,-24.3,77.4,-17.9,18.5,11,-12.6,-5.3,10.7,1.7,32.5,-5.1,-8.8,25.3,-19.2,-18,81.8,-26,-0.5,12.1,-0.4,-12.9,24.3,3.4,5.9,6.7,8.2,-18.3
"44","36","        Value added","W129RL1",NA,17,-23,-68.8,251.4,11.4,14.1,5,-20.5,3,-4.8,-16.9,5.9,39.7,21.6,47.7,-52.2,24.6,-17.4,-22.3,12.9,4.7,2.4,-3.9,-12.8,-8.7,-11.8,-7.9,-3.1,3.5,-8.1,10.1,-2.7,-3.5,9.5,0.1,3.2,-4,4.6,5.3,4.7,4.6,-2.4,-11.7,17.8,0.6,7.7,-0.5,-5.4,2.7,1.3,0.1,20.5,19.1,-11.3,-2.1,4.5,6.1,7.1,2.4,6.6,6.5,7.5,-0.9,15.4,5.7,4,-1.6,4.9,6.3,3.5,1.7,0.9,4.5,8.3,2.7,-0.5,9.3,13.5,5.5,1.6,6.9,7.6,-3.7,6.5,4.5,1.1,-5,6.4,0.7,1.7,0
"45","37","          Compensation of general government employees","W130RL1",NA,20.3,-26.8,-76.8,379.6,13.9,16.1,6.2,-24.8,3,-5.6,-19.9,6.2,49.6,26.1,57.5,-58.7,29.7,-20,-26.5,15.2,4.9,3.9,-4.3,-15.3,-10.7,-14.1,-8.3,-5.4,5.7,-10.3,13.2,-3.2,-3.8,10.8,0.5,4.5,-4.9,5.6,6.4,6.1,4.8,-2.6,-13.2,19.9,1.6,8.4,0,-6.2,3.1,1.8,0,24.2,21.9,-12.2,-3.3,5.5,6.5,8.1,0.9,6.7,6.7,7.4,-2.1,15.8,5.1,3.3,-3.9,4.4,5.1,2.5,0.1,-1.2,3.1,7.2,1.3,-3.5,8.6,14,4.6,0.1,6.7,7.5,-5.1,6.4,4.7,0.4,-6.8,7,0.3,1.3,-0.5
"46","38","          Consumption of general government fixed capital \2\","B546RL1",NA,1.5,-0.4,1.4,1.4,1.2,6,-0.3,2.4,2.6,-0.6,0.6,4.2,-1.7,0,3.6,3.8,1.7,-2.2,1.6,2.4,4,-4.8,-1.7,0.6,1.6,0.1,-6.1,8.7,-6.5,3.3,-3.7,-0.3,-2,2.9,-2.1,-3.4,1,-0.7,-0.3,-3.1,3.7,-1.1,-2,5.6,-5.3,3,-3.6,0.7,-0.1,-2.3,0.3,-2,0.7,-4.2,6.6,-3,3.1,-0.5,14.5,5.7,4.2,8.7,9.2,12.3,10.5,9.9,16.6,7.9,15.6,10.7,13.1,16.1,13.5,15.2,12.4,19.6,12.8,11.1,10.4,9.9,7.8,8.6,4.9,7.5,3.2,5,5.6,3.3,3,3.8,2.8
"47","39","        Intermediate goods and services purchased \3\","W131RL1",NA,1776.8,-87.8,-33.4,-78.5,5854.6,228,95.7,54.9,101.3,-68.5,-68,-78.6,-10.8,-100,0,-100,680.1,659.5,-43.9,671.1,-38.7,25.5,7.6,526.3,418.3,-56.9,22.1,62.9,-66.4,-29.7,223.6,-64.5,790.2,-75.1,-49,-32.9,39.8,-87.5,105.6,297.9,-84.2,-51.2,1414.2,-99.3,10240.5,-80.9,391,210.7,266.8,9,-4.1,-89.9,8,56,94.7,-85,208,16.5,-2.2,38.9,78.4,121.5,3.8,-4.4,-51.6,249.2,-33.1,36.7,16.4,-28.1,-13.4,23.9,-1.6,68.1,-13.3,-17.8,47.1,-46.9,-43,291.5,-52.9,-10.8,38,-9.3,-33.4,68.1,15.9,5.3,15,17,-37.7
"48","40","          Durable goods","A543RL1",NA,-50.6,-99.9,-93.4,146762.6,-94.9,-20,3903.3,-94.9,-96.8,7510.4,790.1,-88.5,-51.8,1564.5,-99.7,579.5,439.8,-95.9,40224.3,-88.7,-80.6,30.3,138.3,-97.6,5278,-16.9,-33.5,-69.3,2329.9,-94.2,112.1,69.6,-58.8,-82.6,417.9,-0.6,-0.6,25.6,-18.2,-1,-23.4,-27.2,29.3,-48.3,-77.3,468.9,-33.2,-63,-14.5,-31.9,20,-16.9,113.5,63.3,85.6,21.1,38.7,473.7,42.1,2.6,43.7,145.4,23,-1.9,35.4,103.2,32.8,19.2,-24.4,113,30.5,16.1,34,26.2,0.2,6.7,-12.3,20.1,-31,-5.1,-20.7,-12.9,-3.4,-32.9,-37.5,11.8,-20.3,3.9,-22.9,-14.3,-28.7
"49","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RL1",NA,608,-98.6,321.3,-47.2,16905.6,-24.2,-18.5,-71.3,-85.6,9963,-10.5,-96.1,-93.9,67.3,399.6,332.2,-11.4,83.1,-14.3,-6,-93.4,-0.6,-48.4,623.2,-27.4,-37.5,-41.4,-20.6,-11.2,-18.9,2429,-97,488.8,179.8,12.1,234.8,-39.6,-1.5,19.7,658,-45.9,70,-93.3,-88.4,-20.3,193.6,502.4,446.6,154.3,-16.3,27.4,-97.7,1725.7,53.5,-22.6,-98.5,16483.9,-9.1,12,-92,929.9,17.1,-67.5,170.3,35.4,-13.2,-86.9,576.6,178.9,-68.9,-67.7,-84.4,3972.5,31.3,-23.9,-58.1,819.4,-76.5,-34.1,519.3,-87.4,82.9,154.8,-64.8,-55.2,47.4,83.4,88,-7.5,-29.1,38.2
"52","44","          Services","A544RL1",NA,219.2,-87.4,0,303.9,106.5,52.9,20.6,-60.9,693,-93.4,-76.3,1666.4,49.6,-87,-81.6,168.3,99.2,-23.8,-53,2975.2,-51.1,9.5,-70.8,-18.2,220.5,66.7,60.6,31,-66,64.9,-67.4,167.4,786.3,-98.1,57.7,432.9,43,-11.2,-33.7,-30.6,224.4,-48.2,-1.2,-39.8,337.1,-82.3,-26.4,615.3,-34.6,-0.1,142.4,75.6,-60.4,32.4,35,180.5,-54.5,17.1,9.1,246,-66.9,38.7,37.1,95.9,-32.7,70.7,78.9,5.1,-10.8,-22.7,61.7,32.1,-44.1,14.3,6.6,49.3,-5.1,28.4,-38.8,26.5,-50.5,47.9,11.1,-38.9,-26.8,30.3,1.3,-2.5,-3.6,-27.2,23.5
"53","45","      Less: Own-account investment \4\","W136RL1",NA,362.8,-16.2,-5.1,21.4,229.1,155.4,287.2,-80.6,-0.2,532.7,-12.5,-67.6,-78.5,7804.6,-64.4,102,186.7,117,-22.7,104.1,34,40.7,-7.5,54.5,-30.6,-22.2,-34.9,22.4,-7.6,-29.1,-24.1,-6.3,-27,2.1,-37.4,-5.1,43.7,43.2,-19.5,-4.7,18.2,37.3,30.1,-37,6.3,57.9,49.6,147,20.1,-29.2,-3.1,-37.2,39.1,-1.7,42.8,7.6,-41.1,35.4,24.8,-45.5,50.9,-1.6,24,-64.3,22.4,82.5,-36.8,-26,8.4,15.6,-0.6,-26,47,-3.2,13.8,33.6,-13.9,-12.8,-0.9,104.7,-28.4,6.4,-23,4.9,-21.2,-26.3,6.9,-14.4,1.7,-2.2,-17.5
"54","46","            Sales to other sectors","W137RL1",NA,-66.3,-99.5,-24.9,2528.6,-99,-30.4,4697.4,-99,-18.6,1635.1,-87.8,7.9,149066.4,-100,45.6,3289.2,-63.5,-15.3,-46.7,-71.3,3630.8,-96.3,383.3,-3.7,-59.1,41.7,11.3,-10.1,5563.3,-98.9,263.5,55.8,407850,-100,-1.5,-4.7,1120.6,-94.1,-25.2,2109.2,391.6,-57.1,7,-98,41996.7,-99.7,-0.2,8014.2,-98.5,188.4,764.6,-83.7,-29.6,10,-19.5,37.6,-31.9,89.5,-47.3,147.8,-60.4,82.7,-44.3,8046.9,-99.2,280.2,-46.4,1163.1,-96.6,469.9,-59.7,152,-71.7,143.3,-25.3,217,-52.8,-54.2,-3.2,100.1,-76.5,3356,-60.2,-13.5,19.6,47.4,18.8,-42,60.2,26.3,-13.9
"55","47","State and local consumption expenditures \1\","A991RL1",NA,7.2,7.5,2.4,-6,2,1,5.8,14.4,10.9,11.2,8.5,11.3,0.6,-1.6,-0.6,-2.5,0.8,2.5,2.4,-4.3,15.7,-11.2,6.1,8.2,-1.3,9.1,-0.2,6.1,2.5,8.7,3.3,14.2,2.9,3.8,4,-0.2,6.5,5.6,5.8,2,5.9,8.6,7.4,8.9,8.9,6.6,4.4,2,3,4.9,5.3,6.3,8.9,2.7,5.9,8.9,6.1,-0.6,3.7,0.7,5,3.9,4.6,3.6,5.7,7.5,5.7,7.7,6.3,5.6,7.2,5.2,8.1,7.3,6.2,5.6,5.2,5.8,7,0.6,4.4,7.3,5.9,7.9,5,7.3,6.2,6.7,6,5.9,6.8
"56","48","      Gross output of general government","W138RL1",NA,7.3,7.6,2.6,-6,3.5,1.5,6.7,15.1,12.3,11.4,8.6,11.2,1.2,-1.5,-0.5,-3,1.4,2.3,2,-2.1,14,-9.8,5.8,7.1,-0.9,8.4,0.7,5.6,3.3,8.8,3.7,13.7,3.6,4.1,4.2,0.3,6.2,5.3,5.6,2.4,5.9,8.4,7.8,9.4,9.1,7,5.3,4.1,3.3,4.6,4.3,6.2,8.1,2.5,5.2,9.8,5.2,0.8,5.3,2.2,3.9,5.5,4.8,5.8,5.2,7.3,6,7.3,7.1,6,7.4,5.8,8.3,7.8,6.6,5.6,6.2,5.6,7.4,2.2,4.3,6.8,6.6,8.5,6,6.8,6,6.4,5.5,5.7,6.2
"57","49","        Value added","W139RL1",NA,6.4,5.6,4.1,-0.3,0.3,3.4,5.8,8.4,8.8,7.9,5.9,1.5,1.2,1.2,1.9,2.8,3.3,3.7,3.9,2.5,2.9,3.8,4.4,4.3,4.6,5.4,4.7,4,3.8,4.4,5.1,3.3,4.3,6.7,6.6,4.1,8.7,7.1,6,3.3,4.7,6.5,6.8,4.7,7.6,6.7,5.2,2.2,2.9,4.3,4.5,6.1,5.9,6.3,5,7.3,2.2,5,3.2,1.5,4.9,5.4,5,4.8,4.9,7,5,7,5.9,4.7,7.1,3.8,8.2,7.4,6.3,4.2,5.9,5.9,6.9,0.1,3.6,6.4,5.5,8.5,4.9,5,4.4,4.8,4.2,4.3,4.9
"58","50","          Compensation of general government employees","B251RL1",NA,7.5,6.4,4.5,-0.8,-0.2,3.5,6.4,9.4,9.8,8.7,6.2,1,0.7,0.8,1.4,2.6,3.2,3.7,3.9,2.2,2.6,3.7,4.4,4.3,4.7,5.5,4.6,3.9,3.6,4.1,5.1,3,4.1,6.9,6.8,4,9.3,7.2,6,3,4.5,6.6,6.8,4.4,7.8,6.8,5,1.4,2.5,4.1,4.4,6.2,6,6.4,5,7.6,1.8,5,3,1,4.8,5.4,4.9,4.7,4.7,7.1,4.8,7.1,5.9,4.5,7.1,3.5,8.4,7.6,6.3,4,5.8,5.8,6.9,-0.6,3.2,6.4,5.5,8.8,4.8,4.9,4.2,4.7,4.1,4.2,4.8
"59","51","          Consumption of general government fixed capital \2\","B986RL1",NA,1.2,1.4,2.3,2.2,2.8,2.8,3.1,3.5,3.6,3.6,4.3,4.5,4.4,4.1,4.8,4,4.1,3.9,3.9,3.9,4.4,4,4.2,4,4.1,4.7,5,4.9,5.2,5.8,5.6,5.7,5.6,5.7,5.3,5.4,5.4,6.1,5.6,5.8,5.9,5.8,6.5,6.1,6.1,5.9,5.9,7.9,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.6,5.5,5.4,5.4,5.5,5.5,5.5,5.6,5.7,5.9,6,6.1,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.4,6.2,6.1,5.9,5.8,5.7,5.6,5.4,5.3,5.1,5
"60","52","        Intermediate goods and services purchased \3\","W140RL1",NA,9.4,13.1,-1.4,-19.8,12.8,-3.7,9,36.4,22.4,21.2,15.9,38.9,1.3,-7.9,-6.3,-16.3,-3.4,-1.6,-2.9,-14.2,52.3,-40,10.6,16.5,-16.4,18.3,-11,10.6,1.7,24.3,-0.6,53,1.6,-3.5,-2.7,-11.1,-1.7,-0.7,4.3,-1.1,10.4,15.1,11,27,14,8,5.8,10.3,4.4,5.8,3.4,6.7,15.3,-8.8,5.7,18.2,15.1,-11.7,12.5,4.6,0.6,6,4.3,9.1,6.1,8.2,9.7,8.4,11.1,10.6,8.5,12.9,8.7,9,7.4,10.3,7.2,4.6,9.3,9.4,6.6,8.2,10.1,8.7,9.7,12.9,11.4,12,9.7,10.3,10.7
"61","53","          Durable goods","B989RL1",NA,28.1,26.8,2.8,175.8,-6.8,-15.6,-9.6,-8.1,48.3,47,20.5,-17,-5.1,-14.3,-17,54.7,1.9,4.1,-6.3,38.4,4.2,-1.2,4.4,5.3,3.9,6.9,8.7,30.6,-6.2,12.9,4.5,-18.7,13.8,-7.3,-9.8,41.3,15.1,5.6,8.8,53.7,17.9,15.8,13.5,-25.5,8.6,4.6,12.4,33.6,0.6,9.6,0.2,7.9,10.5,0.6,5.2,17.2,-5.6,8.5,3.5,19.3,-5.2,14.2,7,14.7,-6,6.7,9.9,7.2,4.9,10.4,10,24.8,3.2,13,8.4,5.9,9.4,5.8,7.2,12.4,-2.4,-2.6,6.3,31.4,24.5,20.7,14.4,9,14.1,13.8,16
"62","54","          Nondurable goods","B337RL1",NA,6,12.3,-6.5,-29.8,7.1,8.2,19.7,44.1,36.3,26.1,16.7,34.2,-1.9,-13.6,-13.4,-31.5,-3.4,-2.4,-4.1,-8.8,58.7,-40.3,14.3,11.7,-19,14.3,-9.6,0.3,3.1,32.7,2.5,53.2,5.3,-2.4,-3.8,-21.7,-4.7,1,4,-14,10.9,22,17.4,34.1,25,15.3,12.4,62.5,6.1,7.8,4.1,4.7,5.3,3.5,5.9,8.7,8.8,4,4.3,2.1,0.8,6.9,4.1,7.5,3.8,4.2,6.7,6,11.8,8.6,6.4,9,6.2,5,3,7.3,3.6,0.9,6.8,6.4,3.9,5.3,9.9,8,7.5,10.1,12.2,8.7,6.4,9.2,10.1
"63","55","          Services","A988RL1",NA,11.7,13,3.5,-17.4,20.2,-12.6,1.3,33.5,9,14.7,14.9,49.5,4.8,-1.7,1.5,-4.4,-3.9,-1.3,-1.8,-21.8,52,-42.3,8.3,21.8,-15.7,22.8,-13.7,17.5,1.3,19.3,-3.5,61.8,-2.2,-3.9,-1.3,-6.2,-0.9,-2.6,4.1,4.5,9.2,10.3,6.3,28.8,7.1,3,0.4,-21,3.5,3.8,3.1,8.3,24.8,-18.7,5.5,27,22.8,-24.5,21,5.3,1.1,4.5,4.1,9.8,9.5,11.7,12.2,10.4,11.2,12.2,10,14.8,11.2,11.7,10.6,12.9,9.6,7.2,11.2,11.2,9.5,11.3,10.6,7.3,9.8,14,10.7,14.5,11.3,10.6,10.5
"64","56","      Less: Own-account investment \4\","W144RL1",NA,-4.5,31.2,26.1,8.3,65.8,27,15,36.8,65.7,21.7,1.4,-13.3,3,12.9,18.8,3.5,38.3,-2.1,-11.4,111,-4.6,-5.6,1.5,-21.9,-7.9,19.1,16.9,-5.9,5.2,4.8,-2,-12.5,7.6,1.9,1,41,10.9,-1.2,-0.3,6.8,-2.2,-6.8,6.7,15.2,0.6,19.5,12,170.1,13.3,2.1,-20.7,-18.5,14.7,1.5,-12.1,50.9,-50.6,42.9,90.5,-19.5,-48.4,137.9,14.3,41.8,-25.2,-3.1,0.4,-4.2,12.7,1.2,-6.5,-4.6,6.6,22.9,7.7,1.8,14.6,-15.7,3,25.3,-29.8,-14.9,9.7,21.8,34.3,-19.1,-0.2,1.8,0,9.6,-1
"65","57","            Sales to other sectors","W145RL1",NA,8.7,6.1,2.3,-7.4,12.8,3.5,14.7,19.1,19.4,11.4,10.5,14.6,7.2,-3.1,-2.8,-8.5,1.9,1.2,1,3.4,2.1,3.4,3.9,4.3,4.5,0.3,6.8,3.3,11.2,10,9.4,14.4,9.7,7,6.9,-1.4,2.5,3.7,5,5.1,7.9,10.1,10.7,12.7,12.9,8.7,12.3,1.2,3.6,3.1,1.8,12.2,-0.9,0.2,2.4,10.7,12.8,8,6.4,24,8.3,3.5,5,19.3,8.9,7.8,10.2,6.8,12.3,10.4,12.1,13.1,10,9.5,9.7,6.1,12.4,7.8,11.1,11.2,10.1,6.8,11.5,12,9.8,7.1,5.4,5.1,2.3,3.4,2.6
"66","58","              Tuition and related educational charges","B1065L1",NA,15.2,10.6,9.9,27.2,28.6,26.4,9.9,13.1,12.7,12.3,0,-13.8,8.7,-13.8,-6.1,5.5,-3,8.5,0,11.5,0,11.3,10.9,10.7,10.3,-3,6.9,6.6,16.4,9.2,15.1,14.4,5.1,10.1,24.6,8.7,11.4,15,20.5,16.2,9.1,18,14.1,10.8,13,15.5,17,6.8,-0.8,-0.1,7.1,18.7,14.8,13.2,5.4,8.5,11,7.6,13.1,16.2,9.5,18,14.6,12.5,15.2,14.5,13.6,21.2,18,15,18.6,16.9,12.1,18.4,14.2,15.7,9.9,9.4,11.7,13.2,9.8,13.4,11.2,19.8,11.3,5.3,8.2,10.1,9.7,12.9,17.7
"67","59","              Health and hospital charges","B1066L1",NA,2.5,11.2,24.9,14.7,17.8,24.2,20,18.6,6.9,-6,-4.4,-6.5,-7.8,-2.4,3.6,3.8,3.3,-7,7.3,2.9,-0.2,5.5,1,0.5,12.3,4.8,15,5.2,18.5,8,5,10.8,16.5,15.3,18.4,14.1,13.1,12.2,8.2,8.5,19,20.1,24.1,35.9,27.8,17.8,22.1,-5.3,-0.5,-2.9,-9.1,0.1,-17.5,-10.7,-7.5,2.2,12.3,17.2,21.7,25.3,14.4,8.8,3.7,-0.2,2.6,1.8,6.9,7.3,11.4,13.2,11.5,15.8,14.3,15.9,15.9,15,13.5,12.2,10.3,10.9,15.7,16.6,21.3,21.5,15.2,10.8,5.4,1.7,-0.1,0.4,-1.7
"68","60","              Other sales","W146RL1",NA,9.5,4.4,-3.5,-15.7,9.6,-4.5,13.8,20,24.4,17,16.7,25.3,11.1,-1.9,-4,-12.8,2.1,2.5,-0.4,2.6,3,2,3.9,4.6,1.8,-0.6,4.5,2.3,8.6,10.7,10.1,15.4,8.4,4.2,1.3,-7.4,-2.1,-0.9,1.5,2.1,3.7,5.1,4.9,4,6.4,3.2,6.7,3.7,6.7,6.8,6.5,17.2,5.1,3.3,6.7,15.2,13.4,4.2,-1.2,25.2,5.2,-1.9,3.7,31.7,10.5,9.1,10.9,3.5,11.4,7.9,10.8,10.9,7.4,4.2,5.5,-0.8,12.5,5,11.5,10.8,7.3,-0.4,6.1,4,5.9,5.3,4.5,5.6,1.2,2.1,0.1
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
