"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"37","19","            Wage and salary accruals","B1019C1","1,300.0","1,177.0","914.0","669.0","617.0","679.0","775.0","868.0","988.0","979.0","988.0","1,029.0","1,249.0","1,631.0","2,027.0","2,202.0","2,299.0","2,532.0","2,783.0","2,990.0","2,806.0","2,811.0","2,910.0","2,846.0","2,724.0","2,579.0","2,557.0","2,566.0","2,658.0","2,770.0","2,841.0","2,964.0","3,090.0","3,170.0","3,244.0","3,284.0","3,380.0","3,414.0","3,412.0","3,537.0","3,763.0","3,942.0","3,912.0","4,025.0","4,698.0","5,473.0","5,844.0","6,532.0","6,870.0","7,229.0","7,903.0","8,218.0","8,044.0","9,138.0","8,809.0","8,792.0","8,921.0","8,336.0","8,389.0","9,464.0","10,000.0","11,666.0","11,301.0","11,061.0","11,933.0","12,213.0","13,079.0","13,752.0","14,894.0","15,883.0","16,169.0","16,974.0","17,926.0","17,919.0","17,586.0","19,109.0","19,597.0","20,005.0","20,033.0","20,721.0"
"38","20","            Supplements to wages and salaries","B1020C1","4.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","3.0","3.0","3.0","5.0","7.0","10.0","10.0","10.0","11.0","10.0","22.0","22.0","22.0","27.0","41.0","45.0","52.0","102.0","111.0","129.0","135.0","149.0","169.0","173.0","178.0","209.0","217.0","231.0","260.0","273.0","299.0","324.0","429.0","517.0","638.0","813.0","924.0","943.0","996.0","980.0","911.0","876.0","851.0","956.0","983.0","935.0","1,023.0","1,112.0","1,409.0","1,769.0","1,935.0","1,947.0","2,258.0","2,222.0","2,405.0","2,276.0","2,248.0","2,330.0","2,739.0","2,749.0","2,959.0","2,879.0","2,915.0","3,226.0","3,012.0","3,131.0","3,485.0","3,653.0"
"39","21","          Taxes on production and imports","B1017C1","445.0","443.0","395.0","339.0","291.0","280.0","282.0","292.0","306.0","301.0","302.0","305.0","326.0","331.0","350.0","369.0","425.0","460.0","542.0","603.0","660.0","692.0","752.0","776.0","800.0","819.0","852.0","884.0","933.0","947.0","1,039.0","1,119.0","1,174.0","1,205.0","1,240.0","1,287.0","1,322.0","1,412.0","1,493.0","1,602.0","1,693.0","1,787.0","1,849.0","1,920.0","1,970.0","2,130.0","2,247.0","2,480.0","2,576.0","2,568.0","2,824.0","2,815.0","3,103.0","2,880.0","3,081.0","2,951.0","3,053.0","3,005.0","3,284.0","3,328.0","3,507.0","3,772.0","3,846.0","4,066.0","3,781.0","4,048.0","4,214.0","4,245.0","4,435.0","4,225.0","4,771.0","4,670.0","4,685.0","4,778.0","5,096.0","5,203.0","5,230.0","5,706.0","6,869.0","7,111.0"
"40","22","          Less: Subsidies to operators","B1018C1","0.0","0.0","0.0","0.0","113.0","397.0","498.0","242.0","283.0","377.0","661.0","626.0","472.0","563.0","563.0","687.0","659.0","683.0","277.0","227.0","161.0","249.0","250.0","240.0","186.0","224.0","200.0","486.0","891.0","988.0","615.0","632.0","1,324.0","1,540.0","1,488.0","1,898.0","2,143.0","2,871.0","2,703.0","3,030.0","3,319.0","3,266.0","2,782.0","3,524.0","2,335.0","478.0","732.0","670.0","1,657.0","2,483.0","1,015.0","1,006.0","1,488.0","2,153.0","7,515.0","7,043.0","6,294.0","9,546.0","13,512.0","11,744.0","9,309.0","7,643.0","6,903.0","7,716.0","11,292.0","6,644.0","6,137.0","6,221.0","6,357.0","10,530.0","18,577.0","19,960.0","19,987.0","10,763.0","14,167.0","11,068.0","20,914.0","13,489.0","10,151.0","10,344.0"
"41","23","          Net operating surplus","W251RC1","6,464.0","4,616.0","3,688.0","2,346.0","2,758.0","3,053.0","5,341.0","4,384.0","6,044.0","4,420.0","4,456.0","4,519.0","6,515.0","10,161.0","11,979.0","11,821.0","12,181.0","14,569.0","14,739.0","17,148.0","12,432.0","13,410.0","15,882.0","14,866.0","12,703.0","12,326.0","11,316.0","11,227.0","11,239.0","13,187.0","10,785.0","11,492.0","12,153.0","12,268.0","12,075.0","11,111.0","13,604.0","14,785.0","13,518.0","13,691.0","15,669.0","15,893.0","16,658.0","21,067.0","35,657.0","29,131.0","28,712.0","23,907.0","23,657.0","30,006.0","35,155.0","24,027.0","36,418.0","30,626.0","20,764.0","39,867.0","38,602.0","38,970.0","44,871.0","41,306.0","50,569.0","49,763.0","42,202.0","52,867.0","46,475.0","53,352.0","36,149.0","59,001.0","51,743.0","45,296.0","43,303.0","45,925.0","46,741.0","32,837.0","55,228.0","74,417.0","65,596.0","46,426.0","63,079.0","76,292.0"
"42","24","            Net interest","B1021C1","796.0","754.0","713.0","648.0","554.0","490.0","428.0","409.0","391.0","411.0","424.0","428.0","433.0","397.0","327.0","284.0","265.0","224.0","240.0","280.0","320.0","363.0","428.0","481.0","492.0","506.0","545.0","590.0","643.0","708.0","756.0","829.0","885.0","992.0","1,023.0","1,251.0","1,406.0","1,587.0","1,784.0","1,916.0","2,087.0","2,319.0","2,473.0","2,676.0","3,173.0","3,963.0","4,528.0","5,309.0","6,199.0","7,445.0","9,587.0","12,092.0","14,854.0","16,545.0","17,065.0","16,519.0","14,866.0","13,012.0","11,758.0","10,876.0","10,397.0","10,040.0","9,059.0","8,455.0","7,651.0","8,074.0","8,554.0","8,896.0","9,071.0","9,007.0","9,392.0","9,851.0","8,841.0","8,427.0","7,202.0","6,973.0","8,369.0","8,667.0","9,649.0","8,984.0"
"43","25","            Current transfer payments","W252RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","14.0","13.0","13.0","14.0","18.0","19.0","18.0","22.0","28.0","36.0","37.0","32.0","22.0","15.0","14.0","13.0","13.0","13.0","14.0","15.0","13.0","16.0","15.0","19.0","20.0","23.0","25.0","28.0","30.0","30.0","32.0","33.0","39.0","38.0","34.0","27.0","26.0","26.0","26.0","-23.0","-484.0","358.0","594.0","308.0","219.0","315.0","334.0","-319.0","589.0","1,174.0","302.0","-258.0","-347.0","-208.0","114.0","-120.0","671.0","904.0","409.0","1,407.0","2,623.0"
"44","26","            Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1","5,667.0","3,862.0","2,975.0","1,697.0","2,204.0","2,562.0","4,912.0","3,976.0","5,654.0","4,009.0","4,033.0","4,092.0","6,082.0","9,764.0","11,652.0","11,537.0","11,916.0","14,345.0","14,488.0","16,854.0","12,098.0","13,034.0","15,440.0","14,366.0","12,193.0","11,802.0","10,748.0","10,610.0","10,560.0","12,442.0","9,998.0","10,641.0","11,253.0","11,262.0","11,039.0","9,847.0","12,185.0","13,184.0","11,719.0","11,762.0","13,567.0","13,559.0","14,166.0","18,371.0","32,461.0","25,143.0","24,157.0","18,568.0","17,429.0","22,529.0","25,534.0","11,896.0","21,526.0","14,046.0","3,672.0","23,322.0","23,709.0","25,931.0","33,136.0","30,913.0","39,813.0","39,129.0","32,835.0","44,193.0","38,509.0","44,944.0","27,915.0","49,516.0","41,499.0","35,986.0","34,169.0","36,421.0","38,107.0","24,296.0","48,146.0","66,774.0","56,323.0","37,350.0","52,023.0","64,685.0"
"45","27","              Proprietors' income","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","39,432.0","48,735.0"
"46","28","              Corporate profits","B1023C1","8.0","-35.0","-59.0","-53.0","-20.0","-18.0","18.0","29.0","16.0","-2.0","10.0","27.0","56.0","76.0","109.0","99.0","92.0","135.0","146.0","150.0","109.0","162.0","137.0","54.0","24.0","53.0","32.0","22.0","10.0","20.0","-46.0","-7.0","4.0","45.0","29.0","66.0","156.0","166.0","77.0","101.0","733.0","665.0","780.0","1,348.0","3,387.0","1,675.0","2,158.0","1,359.0","1,465.0","2,607.0","3,384.0","189.0","2,498.0","733.0","-2,502.0","2,383.0","2,733.0","3,094.0","4,229.0","4,111.0","6,792.0","6,961.0","5,332.0","8,384.0","6,482.0","9,348.0","4,477.0","11,081.0","8,910.0","7,107.0","5,674.0","6,789.0","7,584.0","5,844.0","11,612.0","17,111.0","12,448.0","8,015.0","12,591.0","15,949.0"
"47",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","29","  Change in farm inventories \1\","B018RC1","-122.0","-269.0","460.0","110.0","-99.0","-775.0","728.0","-881.0","924.0","446.0","-121.0","491.0","387.0","1,268.0","-226.0","-320.0","-852.0","-194.0","-1,790.0","2,663.0","-604.0","-85.0","998.0","1,381.0","724.0","201.0","-564.0","-963.0","92.0","1,970.0","-1,562.0","552.0","880.0","583.0","492.0","-1,179.0","822.0","-500.0","885.0","1,372.0","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,275.0","6,262.0","-6,176.0","12,033.0","-11,063.0","8,623.0","3,330.0","1,266.0","-2,730.0","-1,399.0","37.0","-2,497.0","92.0","8,807.0","117.0","-3,603.0","-646.0","-7,076.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
