"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"43","2","Goods","DGDSRC1","572,316.0","581,809.0","587,069.0","590,902.0","593,199.0","594,678.0","601,547.0","603,177.0","606,981.0","615,904.0","627,269.0","629,756.0","615,444.0","629,740.0","642,540.0","652,308.0","662,687.0","668,002.0","665,980.0","676,152.0","674,949.0","682,193.0","691,779.0","701,024.0","699,483.0","708,312.0","715,809.0","711,768.0","723,765.0","730,968.0","737,328.0","755,566.0","766,941.0","762,051.0","770,064.0","773,195.0","793,785.0","793,143.0","789,076.0","777,519.0","774,952.0","781,022.0","797,015.0","803,337.0","805,234.0","824,312.0","825,447.0","832,681.0","849,682.0","861,633.0","868,958.0","863,176.0","860,328.0","867,849.0","871,720.0","890,157.0","881,279.0","870,680.0","870,638.0","876,320.0","878,257.0","892,706.0","887,914.0","882,359.0","895,408.0","886,076.0","900,319.0","895,597.0","909,561.0","910,585.0","923,048.0","929,655.0","923,367.0","919,707.0","934,658.0","947,027.0","961,565.0","979,304.0","989,705.0","989,369.0","993,320.0","1,007,469.0","1,012,388.0","1,027,519.0","1,047,339.0","1,030,217.0","1,036,129.0","1,052,598.0","1,061,331.0","1,077,001.0","1,061,707.0","1,061,597.0","1,076,621.0","1,071,786.0","1,095,119.0","1,092,960.0","1,102,522.0","1,110,608.0","1,118,045.0","1,119,710.0","1,138,213.0","1,120,109.0","1,131,554.0","1,151,478.0","1,187,775.0","1,145,205.0","1,156,020.0","1,170,066.0","1,185,808.0","1,166,034.0","1,160,789.0","1,165,398.0","1,182,809.0","1,176,019.0","1,187,497.0","1,202,844.0","1,259,906.0","1,213,207.0","1,195,202.0","1,252,009.0","1,182,623.0","1,232,752.0","1,232,263.0","1,246,606.0","1,246,370.0","1,261,171.0","1,269,696.0","1,291,372.0","1,282,524.0","1,267,227.0","1,273,586.0","1,289,378.0","1,302,472.0","1,301,340.0","1,322,667.0","1,316,911.0","1,329,043.0","1,334,334.0","1,337,030.0","1,341,772.0","1,344,697.0","1,361,730.0","1,369,811.0","1,385,908.0","1,398,761.0","1,381,753.0","1,386,415.0","1,420,999.0","1,417,817.0","1,424,462.0","1,429,987.0","1,453,728.0","1,442,062.0","1,436,891.0","1,438,704.0","1,454,074.0","1,501,718.0","1,481,661.0","1,485,322.0","1,482,177.0","1,472,724.0","1,482,881.0","1,487,404.0","1,493,482.0","1,509,143.0","1,502,454.0","1,506,188.0","1,490,465.0","1,465,662.0","1,477,844.0","1,514,016.0","1,491,650.0","1,500,287.0","1,499,103.0","1,510,538.0","1,506,149.0","1,509,497.0","1,492,584.0","1,499,959.0","1,501,920.0","1,535,562.0","1,539,879.0","1,526,104.0","1,533,312.0","1,550,356.0","1,560,953.0","1,563,463.0","1,573,180.0","1,582,781.0","1,596,604.0","1,585,588.0","1,611,430.0","1,616,634.0","1,605,619.0","1,598,690.0","1,625,424.0","1,643,649.0","1,633,433.0","1,650,457.0","1,641,929.0","1,655,111.0","1,669,024.0","1,681,375.0","1,686,816.0","1,689,568.0","1,711,062.0","1,716,375.0","1,733,097.0","1,712,820.0","1,734,527.0","1,741,363.0","1,766,968.0","1,768,343.0","1,790,736.0","1,794,237.0","1,799,548.0"
"44","3","  Durable goods","DDURRC1","177,810.0","184,060.0","189,923.0","188,852.0","188,579.0","190,238.0","191,717.0","194,205.0","196,055.0","197,128.0","200,813.0","204,178.0","191,238.0","198,523.0","204,743.0","213,489.0","216,969.0","218,103.0","215,252.0","221,847.0","213,121.0","220,330.0","222,327.0","224,239.0","220,543.0","223,984.0","225,307.0","222,654.0","224,355.0","219,293.0","226,043.0","231,341.0","235,411.0","228,264.0","228,981.0","229,901.0","239,583.0","232,935.0","223,647.0","212,350.0","208,522.0","214,878.0","226,688.0","223,958.0","225,442.0","236,285.0","236,703.0","235,704.0","239,899.0","247,343.0","250,898.0","241,690.0","239,765.0","241,351.0","245,207.0","260,392.0","250,176.0","237,256.0","236,954.0","236,323.0","241,002.0","249,303.0","249,012.0","244,854.0","256,797.0","246,028.0","247,762.0","248,589.0","259,970.0","254,134.0","268,086.0","270,846.0","268,310.0","266,842.0","271,571.0","281,694.0","288,823.0","298,234.0","303,363.0","301,169.0","302,552.0","313,652.0","315,864.0","328,294.0","336,814.0","328,742.0","328,760.0","336,004.0","341,679.0","346,123.0","341,511.0","339,745.0","344,967.0","343,041.0","358,422.0","360,056.0","365,512.0","364,877.0","373,632.0","365,736.0","384,336.0","369,681.0","376,334.0","390,290.0","422,727.0","379,244.0","380,844.0","391,166.0","401,416.0","389,362.0","384,098.0","404,020.0","414,173.0","403,679.0","415,927.0","434,383.0","486,811.0","434,902.0","420,002.0","468,495.0","399,744.0","426,955.0","428,793.0","437,584.0","433,996.0","445,723.0","452,400.0","468,892.0","460,332.0","443,069.0","447,359.0","459,420.0","470,251.0","468,671.0","472,395.0","467,753.0","474,662.0","477,253.0","472,352.0","470,143.0","468,671.0","477,859.0","481,776.0","498,851.0","496,183.0","481,276.0","481,895.0","500,427.0","487,630.0","491,975.0","497,396.0","518,683.0","500,834.0","493,929.0","490,096.0","491,631.0","536,412.0","505,922.0","503,848.0","505,671.0","495,280.0","494,270.0","496,322.0","489,313.0","495,076.0","486,124.0","482,735.0","473,982.0","452,701.0","466,975.0","495,396.0","474,416.0","473,542.0","477,787.0","485,355.0","479,764.0","487,889.0","474,135.0","477,336.0","480,896.0","495,581.0","501,260.0","491,699.0","490,006.0","501,940.0","511,021.0","507,248.0","511,889.0","517,140.0","522,696.0","514,089.0","532,408.0","538,135.0","524,197.0","521,225.0","542,978.0","551,989.0","548,560.0","558,589.0","551,506.0","559,819.0","568,851.0","574,189.0","578,349.0","579,642.0","593,267.0","593,563.0","606,989.0","588,862.0","600,311.0","602,087.0","612,008.0","613,836.0","629,639.0","635,145.0","630,706.0"
"45","4","  Nondurable goods","DNDGRC1","394,506.0","397,749.0","397,146.0","402,050.0","404,620.0","404,440.0","409,831.0","408,972.0","410,926.0","418,776.0","426,457.0","425,578.0","424,206.0","431,217.0","437,797.0","438,819.0","445,718.0","449,899.0","450,728.0","454,305.0","461,828.0","461,863.0","469,453.0","476,785.0","478,941.0","484,329.0","490,502.0","489,114.0","499,411.0","511,675.0","511,285.0","524,225.0","531,530.0","533,787.0","541,083.0","543,293.0","554,202.0","560,208.0","565,429.0","565,169.0","566,429.0","566,144.0","570,327.0","579,379.0","579,792.0","588,027.0","588,744.0","596,977.0","609,783.0","614,290.0","618,060.0","621,485.0","620,563.0","626,498.0","626,512.0","629,765.0","631,103.0","633,424.0","633,684.0","639,998.0","637,255.0","643,403.0","638,902.0","637,504.0","638,611.0","640,048.0","652,557.0","647,009.0","649,591.0","656,450.0","654,961.0","658,809.0","655,056.0","652,865.0","663,087.0","665,333.0","672,743.0","681,070.0","686,342.0","688,200.0","690,768.0","693,817.0","696,524.0","699,224.0","710,525.0","701,476.0","707,370.0","716,594.0","719,652.0","730,877.0","720,196.0","721,852.0","731,653.0","728,744.0","736,696.0","732,903.0","737,010.0","745,731.0","744,413.0","753,974.0","753,878.0","750,428.0","755,220.0","761,188.0","765,047.0","765,961.0","775,175.0","778,899.0","784,392.0","776,671.0","776,691.0","761,378.0","768,636.0","772,341.0","771,570.0","768,461.0","773,095.0","778,306.0","775,201.0","783,514.0","782,879.0","805,797.0","803,470.0","809,022.0","812,374.0","815,448.0","817,295.0","822,481.0","822,192.0","824,159.0","826,227.0","829,959.0","832,221.0","832,669.0","850,272.0","849,158.0","854,381.0","857,081.0","864,678.0","871,629.0","876,026.0","883,871.0","888,035.0","887,056.0","902,578.0","900,478.0","904,520.0","920,572.0","930,187.0","932,487.0","932,591.0","935,045.0","941,227.0","942,962.0","948,608.0","962,443.0","965,306.0","975,739.0","981,473.0","976,505.0","977,443.0","988,611.0","991,082.0","1,004,169.0","1,014,067.0","1,016,331.0","1,023,452.0","1,016,483.0","1,012,961.0","1,010,869.0","1,018,620.0","1,017,234.0","1,026,746.0","1,021,315.0","1,025,183.0","1,026,385.0","1,021,608.0","1,018,449.0","1,022,624.0","1,021,024.0","1,039,980.0","1,038,618.0","1,034,405.0","1,043,306.0","1,048,416.0","1,049,932.0","1,056,215.0","1,061,291.0","1,065,641.0","1,073,908.0","1,071,499.0","1,079,021.0","1,078,499.0","1,081,422.0","1,077,465.0","1,082,446.0","1,091,661.0","1,084,873.0","1,091,868.0","1,090,423.0","1,095,292.0","1,100,173.0","1,107,186.0","1,108,467.0","1,109,926.0","1,117,796.0","1,122,812.0","1,126,108.0","1,123,958.0","1,134,216.0","1,139,276.0","1,154,960.0","1,154,507.0","1,161,097.0","1,159,092.0","1,168,841.0"
"46","5","Services","DSERRC1","646,156.0","652,935.0","654,705.0","659,945.0","667,558.0","672,713.0","682,812.0","686,476.0","691,618.0","699,623.0","703,988.0","710,759.0","718,866.0","730,433.0","740,199.0","749,308.0","754,599.0","763,217.0","766,297.0","776,321.0","783,504.0","790,357.0","794,460.0","801,080.0","808,411.0","814,932.0","820,798.0","832,178.0","840,601.0","850,318.0","854,491.0","865,804.0","872,900.0","885,669.0","893,379.0","899,238.0","909,365.0","913,876.0","924,620.0","923,132.0","930,447.0","943,055.0","955,183.0","965,405.0","979,982.0","997,243.0","1,005,949.0","1,024,141.0","1,026,550.0","1,029,415.0","1,040,967.0","1,047,909.0","1,059,885.0","1,072,709.0","1,076,146.0","1,081,815.0","1,089,158.0","1,097,661.0","1,103,829.0","1,115,545.0","1,121,021.0","1,130,427.0","1,138,188.0","1,146,423.0","1,152,102.0","1,165,664.0","1,176,266.0","1,189,613.0","1,200,744.0","1,221,511.0","1,233,146.0","1,239,336.0","1,258,399.0","1,264,997.0","1,275,592.0","1,286,498.0","1,291,262.0","1,303,470.0","1,321,445.0","1,337,745.0","1,348,011.0","1,356,670.0","1,360,502.0","1,372,939.0","1,379,089.0","1,380,614.0","1,403,053.0","1,412,865.0","1,421,397.0","1,427,195.0","1,441,825.0","1,459,826.0","1,466,690.0","1,469,459.0","1,486,512.0","1,500,078.0","1,524,789.0","1,537,388.0","1,536,968.0","1,546,522.0","1,564,134.0","1,573,573.0","1,586,236.0","1,601,846.0","1,608,662.0","1,614,187.0","1,619,816.0","1,645,903.0","1,644,727.0","1,657,478.0","1,666,873.0","1,675,584.0","1,682,334.0","1,695,397.0","1,705,581.0","1,709,343.0","1,726,736.0","1,735,368.0","1,750,180.0","1,763,770.0","1,773,885.0","1,790,699.0","1,802,030.0","1,811,135.0","1,820,222.0","1,830,120.0","1,845,037.0","1,860,497.0","1,865,662.0","1,889,277.0","1,892,702.0","1,906,689.0","1,932,920.0","1,941,640.0","1,959,470.0","1,967,896.0","1,986,098.0","2,004,787.0","2,024,794.0","2,044,490.0","2,048,394.0","2,070,660.0","2,079,296.0","2,092,541.0","2,103,118.0","2,123,825.0","2,129,297.0","2,138,456.0","2,150,022.0","2,158,215.0","2,172,308.0","2,184,155.0","2,197,999.0","2,216,111.0","2,224,589.0","2,250,149.0","2,248,662.0","2,266,882.0","2,291,906.0","2,314,102.0","2,332,005.0","2,351,668.0","2,363,503.0","2,383,323.0","2,388,773.0","2,395,032.0","2,393,310.0","2,400,619.0","2,409,365.0","2,425,545.0","2,436,795.0","2,452,379.0","2,469,296.0","2,477,162.0","2,490,615.0","2,498,143.0","2,511,148.0","2,520,913.0","2,542,280.0","2,558,070.0","2,589,163.0","2,599,575.0","2,630,178.0","2,636,035.0","2,645,574.0","2,654,317.0","2,681,442.0","2,688,638.0","2,713,451.0","2,728,208.0","2,753,988.0","2,762,924.0","2,760,351.0","2,784,986.0","2,788,453.0","2,802,604.0","2,812,459.0","2,838,770.0","2,848,681.0","2,868,036.0","2,884,616.0","2,891,814.0","2,900,972.0","2,913,168.0","2,925,368.0","2,951,096.0","2,957,725.0","2,964,134.0","2,982,700.0","3,002,253.0","3,011,378.0","3,029,971.0","3,040,919.0","3,053,822.0","3,061,132.0","3,070,516.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
