"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"63","45","    Services","A646RC1","592.0","515.0","412.0","308.0","251.0","323.0","365.0","417.0","588.0","568.0","622.0","773.0","949.0","986.0","1,114.0","1,291.0","1,416.0","2,392.0","2,643.0","2,282.0","2,271.0","2,147.0","2,856.0","3,010.0","2,901.0","2,907.0","3,253.0","3,728.0","4,455.0","4,146.0","6,267.0","6,592.0","6,655.0","7,357.0","7,737.0","8,304.0","9,356.0","10,184.0","11,293.0","12,645.0","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","79,778.0","94,332.0","106,217.0","118,099.0","133,789.0","155,486.0","173,022.0","187,009.0","195,652.0","210,636.0","228,602.0","249,335.0","266,727.0","273,003.0","292,121.0","308,896.0","296,497.0","302,713.0","314,199.0","363,243.0","398,972.0","446,642.0","516,494.0","564,185.0","525,882.0"
"64","46","  Imports","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,369,711.0","2,538,871.0","1,956,585.0"
"65","47","    Goods","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,047,690.0","1,246,500.0","1,171,680.0","1,193,876.0","1,289,260.0","1,501,666.0","1,707,981.0","1,884,930.0","1,987,658.0","2,126,441.0","1,575,385.0"
"66","48","    Services","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","203,702.0","228,791.0","227,033.0","236,325.0","255,887.0","297,253.0","319,810.0","355,417.0","382,053.0","412,430.0","381,200.0"
"67","49","Government consumption expenditures and gross investment","A822RC1","9,356.0","9,992.0","9,884.0","8,698.0","8,659.0","10,509.0","10,889.0","13,091.0","12,802.0","13,816.0","14,790.0","15,031.0","26,525.0","62,722.0","94,826.0","105,333.0","92,990.0","39,588.0","36,338.0","40,502.0","46,634.0","46,714.0","68,054.0","83,584.0","90,514.0","86,131.0","86,442.0","91,370.0","99,659.0","105,958.0","109,994.0","111,548.0","119,499.0","130,088.0","136,351.0","143,214.0","151,446.0","171,631.0","192,508.0","209,312.0","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0","2,676,485.0","2,883,208.0","2,930,731.0"
"68","50","  Federal","A823RC1","1,729.0","1,830.0","1,878.0","1,829.0","2,286.0","3,278.0","3,375.0","5,565.0","5,092.0","5,718.0","6,016.0","6,471.0","17,969.0","54,146.0","86,456.0","96,948.0","84,027.0","28,818.0","22,590.0","24,156.0","27,638.0","25,972.0","45,007.0","59,146.0","64,367.0","57,229.0","54,851.0","56,669.0","61,315.0","63,803.0","65,326.0","64,078.0","67,891.0","75,234.0","76,895.0","78,434.0","80,404.0","92,412.0","104,624.0","111,263.0","113,281.0","113,413.0","113,632.0","119,628.0","122,451.0","134,543.0","149,032.0","159,703.0","175,402.0","190,903.0","210,560.0","243,717.0","280,178.0","310,765.0","342,851.0","374,275.0","412,750.0","438,444.0","459,537.0","461,577.0","481,437.0","507,490.0","526,561.0","532,910.0","524,977.0","518,579.0","518,768.0","526,988.0","530,959.0","531,018.0","554,926.0","576,077.0","611,689.0","680,637.0","756,479.0","824,643.0","876,300.0","931,691.0","976,679.0","1,082,613.0","1,144,828.0"
"69","51","    National defense","A824RC1","916.0","949.0","940.0","924.0","875.0","816.0","1,026.0","1,249.0","1,300.0","1,363.0","1,490.0","2,478.0","14,306.0","51,139.0","84,152.0","94,498.0","81,923.0","25,125.0","18,153.0","18,222.0","19,782.0","19,506.0","39,218.0","52,314.0","55,902.0","49,164.0","46,920.0","49,211.0","53,607.0","55,364.0","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0","87,604.0","84,557.0","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0","662,133.0","737,926.0","779,027.0"
"70","52","      Consumption expenditures","A997RC1","880.0","889.0","856.0","857.0","786.0","703.0","923.0","990.0","976.0","1,045.0","1,165.0","1,675.0","7,107.0","25,134.0","46,790.0","59,062.0","59,256.0","23,610.0","17,204.0","16,266.0","16,854.0","17,148.0","30,082.0","38,884.0","41,199.0","37,056.0","36,841.0","38,724.0","43,124.0","44,041.0","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","574,877.0","634,025.0","666,648.0"
"71","53","      Gross investment","A788RC1","36.0","60.0","84.0","67.0","89.0","113.0","103.0","259.0","324.0","318.0","325.0","803.0","7,199.0","26,005.0","37,362.0","35,436.0","22,667.0","1,515.0","949.0","1,956.0","2,928.0","2,358.0","9,136.0","13,430.0","14,703.0","12,108.0","10,079.0","10,487.0","10,483.0","11,323.0","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0","45,753.0","48,176.0","49,208.0","50,939.0","57,043.0","62,758.0","69,576.0","74,210.0","80,973.0","87,256.0","103,901.0","112,379.0"
"72","54","    Nondefense","A825RC1","813.0","881.0","938.0","905.0","1,411.0","2,462.0","2,349.0","4,316.0","3,792.0","4,355.0","4,526.0","3,993.0","3,663.0","3,007.0","2,304.0","2,450.0","2,104.0","3,693.0","4,437.0","5,934.0","7,856.0","6,466.0","5,789.0","6,832.0","8,465.0","8,065.0","7,931.0","7,458.0","7,708.0","8,439.0","11,510.0","10,730.0","11,382.0","14,149.0","15,931.0","18,193.0","19,801.0","20,756.0","21,184.0","22,019.0","23,790.0","25,809.0","29,075.0","32,696.0","34,317.0","38,979.0","45,133.0","48,616.0","54,513.0","60,417.0","65,378.0","75,758.0","83,948.0","84,874.0","92,262.0","92,747.0","101,569.0","107,640.0","109,558.0","106,849.0","119,348.0","133,607.0","143,447.0","156,124.0","161,972.0","164,803.0","169,969.0","172,165.0","181,118.0","184,943.0","193,789.0","205,030.0","218,735.0","242,933.0","258,539.0","273,858.0","287,253.0","306,835.0","314,546.0","344,687.0","365,801.0"
"73","55","      Consumption expenditures","A542RC1","660.0","681.0","685.0","590.0","899.0","1,684.0","1,278.0","3,345.0","2,888.0","3,449.0","3,729.0","3,180.0","2,302.0","1,999.0","1,459.0","1,938.0","1,462.0","3,297.0","3,630.0","4,891.0","6,430.0","4,887.0","4,268.0","5,274.0","7,087.0","6,855.0","7,069.0","6,298.0","6,334.0","6,813.0","9,837.0","8,735.0","8,957.0","11,251.0","12,447.0","14,022.0","15,139.0","15,850.0","17,023.0","18,202.0","20,171.0","22,054.0","24,884.0","28,164.0","29,423.0","33,425.0","38,652.0","41,357.0","46,534.0","50,631.0","55,134.0","63,766.0","70,955.0","72,133.0","77,733.0","77,062.0","84,657.0","90,145.0","90,141.0","88,281.0","99,083.0","111,009.0","118,611.0","128,915.0","133,705.0","139,894.0","143,161.0","143,366.0","153,019.0","154,277.0","160,341.0","174,170.0","188,141.0","209,829.0","225,075.0","240,171.0","251,001.0","267,120.0","273,918.0","300,421.0","319,742.0"
"74","56","      Gross investment","A798RC1","153.0","200.0","253.0","315.0","512.0","778.0","1,071.0","971.0","904.0","906.0","797.0","813.0","1,361.0","1,008.0","845.0","512.0","642.0","396.0","807.0","1,043.0","1,426.0","1,579.0","1,521.0","1,558.0","1,378.0","1,210.0","862.0","1,160.0","1,374.0","1,626.0","1,673.0","1,995.0","2,425.0","2,898.0","3,484.0","4,171.0","4,662.0","4,906.0","4,161.0","3,817.0","3,619.0","3,755.0","4,191.0","4,532.0","4,894.0","5,554.0","6,481.0","7,259.0","7,979.0","9,786.0","10,244.0","11,992.0","12,993.0","12,741.0","14,529.0","15,685.0","16,912.0","17,495.0","19,417.0","18,568.0","20,265.0","22,598.0","24,836.0","27,209.0","28,267.0","24,909.0","26,808.0","28,799.0","28,099.0","30,666.0","33,448.0","30,860.0","30,594.0","33,104.0","33,464.0","33,687.0","36,252.0","39,715.0","40,628.0","44,266.0","46,059.0"
"75","57","  State and local","A829RC1","7,627.0","8,162.0","8,006.0","6,869.0","6,373.0","7,231.0","7,514.0","7,526.0","7,710.0","8,098.0","8,774.0","8,560.0","8,556.0","8,576.0","8,370.0","8,385.0","8,963.0","10,770.0","13,748.0","16,346.0","18,996.0","20,742.0","23,047.0","24,438.0","26,147.0","28,902.0","31,591.0","34,701.0","38,344.0","42,155.0","44,668.0","47,470.0","51,608.0","54,854.0","59,456.0","64,780.0","71,042.0","79,219.0","87,884.0","98,049.0","108,150.0","120,284.0","132,783.0","143,791.0","159,206.0","183,374.0","208,684.0","223,297.0","238,658.0","262,651.0","290,172.0","322,404.0","347,299.0","369,682.0","390,529.0","422,645.0","466,140.0","510,891.0","539,856.0","577,326.0","619,160.0","674,222.0","709,529.0","740,551.0","769,822.0","811,212.0","855,253.0","893,970.0","943,475.0","995,032.0","1,076,344.0","1,154,874.0","1,234,731.0","1,302,706.0","1,356,071.0","1,408,175.0","1,493,582.0","1,586,705.0","1,699,806.0","1,800,595.0","1,785,903.0"
"76","58","    Consumption expenditures","A991RC1","4,984.0","5,254.0","5,357.0","5,104.0","5,048.0","5,461.0","5,912.0","4,625.0","5,146.0","5,130.0","5,405.0","5,803.0","6,321.0","7,043.0","7,502.0","7,685.0","8,157.0","9,190.0","10,907.0","12,328.0","13,655.0","14,880.0","16,080.0","17,117.0","18,237.0","19,708.0","21,556.0","23,439.0","25,824.0","28,622.0","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,366,134.0","1,452,431.0","1,430,549.0"
"77","59","    Gross investment","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","333,672.0","348,164.0","355,354.0"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
