"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"65","47","State and local consumption expenditures \1\","A991RC1","4,984.0","5,254.0","5,357.0","5,104.0","5,048.0","5,461.0","5,912.0","4,625.0","5,146.0","5,130.0","5,405.0","5,803.0","6,321.0","7,043.0","7,502.0","7,685.0","8,157.0","9,190.0","10,907.0","12,328.0","13,655.0","14,880.0","16,080.0","17,117.0","18,237.0","19,708.0","21,556.0","23,439.0","25,824.0","28,622.0","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,366,134.0","1,452,431.0","1,430,549.0"
"66","48","      Gross output of general government","W138RC1","5,535.0","5,892.0","6,011.0","5,681.0","5,784.0","6,873.0","7,156.0","7,159.0","7,188.0","7,928.0","7,928.0","7,934.0","8,233.0","8,427.0","8,398.0","8,526.0","9,041.0","10,196.0","12,157.0","13,756.0","15,318.0","16,739.0","18,065.0","19,265.0","20,482.0","22,133.0","24,233.0","26,334.0","28,997.0","32,217.0","34,808.0","37,871.0","41,261.0","44,269.0","47,891.0","52,349.0","57,618.0","64,491.0","71,999.0","81,213.0","91,869.0","104,902.0","117,873.0","130,019.0","144,734.0","164,467.0","187,868.0","204,848.0","223,709.0","244,704.0","269,626.0","299,330.0","329,548.0","358,297.0","383,723.0","412,091.0","452,367.0","495,279.0","524,444.0","561,811.0","606,014.0","659,024.0","702,190.0","744,847.0","786,578.0","831,587.0","876,943.0","914,309.0","959,907.0","1,013,087.0","1,085,981.0","1,163,720.0","1,247,170.0","1,313,727.0","1,373,814.0","1,432,580.0","1,519,861.0","1,607,508.0","1,713,555.0","1,824,748.0","1,813,429.0"
"67","49","        Value added","W139RC1","4,069.0","4,244.0","4,320.0","4,077.0","4,118.0","4,561.0","4,845.0","4,428.0","4,650.0","4,902.0","4,989.0","5,122.0","5,329.0","5,597.0","5,871.0","6,069.0","6,475.0","7,403.0","8,788.0","10,177.0","11,117.0","11,801.0","13,178.0","14,404.0","15,542.0","16,940.0","18,232.0","20,393.0","22,568.0","24,702.0","26,462.0","28,937.0","31,601.0","34,178.0","37,077.0","40,402.0","44,227.0","49,571.0","55,516.0","62,527.0","70,022.0","79,495.0","88,640.0","97,867.0","109,310.0","121,756.0","137,150.0","149,652.0","162,596.0","177,776.0","195,370.0","217,305.0","237,920.0","257,741.0","274,116.0","293,071.0","318,415.0","343,704.0","368,235.0","395,847.0","425,781.0","463,856.0","492,770.0","519,931.0","545,976.0","574,739.0","601,163.0","623,725.0","650,286.0","680,301.0","721,167.0","763,677.0","814,699.0","859,593.0","909,258.0","947,332.0","997,733.0","1,051,307.0","1,116,044.0","1,173,223.0","1,201,174.0"
"68","50","          Compensation of general government employees","B251RC1","3,456.0","3,630.0","3,737.0","3,565.0","3,531.0","3,884.0","4,178.0","3,696.0","3,889.0","4,121.0","4,185.0","4,289.0","4,388.0","4,473.0","4,663.0","4,938.0","5,370.0","6,195.0","7,338.0","8,521.0","9,442.0","10,145.0","11,159.0","12,252.0","13,334.0","14,698.0","15,838.0","17,620.0","19,556.0","21,578.0","23,133.0","25,470.0","27,934.0","30,243.0","32,857.0","35,873.0","39,294.0","44,115.0","49,530.0","55,898.0","62,599.0","71,058.0","79,236.0","87,693.0","97,984.0","107,695.0","121,214.0","133,046.0","145,065.0","158,914.0","174,296.0","192,966.0","210,095.0","227,411.0","242,963.0","261,066.0","284,737.0","307,550.0","329,257.0","354,346.0","381,400.0","415,871.0","441,650.0","466,564.0","489,710.0","515,223.0","537,726.0","557,063.0","580,081.0","606,411.0","642,463.0","678,997.0","725,042.0","765,758.0","811,655.0","842,913.0","883,338.0","927,128.0","979,941.0","1,026,913.0","1,047,903.0"
"69","51","          Consumption of general government fixed capital \2\","B986RC1","613.0","614.0","583.0","512.0","587.0","677.0","667.0","732.0","761.0","781.0","804.0","833.0","941.0","1,124.0","1,208.0","1,131.0","1,105.0","1,208.0","1,450.0","1,656.0","1,675.0","1,656.0","2,019.0","2,152.0","2,208.0","2,242.0","2,394.0","2,773.0","3,012.0","3,124.0","3,329.0","3,467.0","3,667.0","3,935.0","4,220.0","4,529.0","4,933.0","5,456.0","5,986.0","6,629.0","7,423.0","8,437.0","9,404.0","10,174.0","11,326.0","14,061.0","15,936.0","16,606.0","17,531.0","18,862.0","21,074.0","24,339.0","27,825.0","30,330.0","31,153.0","32,005.0","33,678.0","36,154.0","38,978.0","41,501.0","44,381.0","47,985.0","51,120.0","53,367.0","56,266.0","59,516.0","63,437.0","66,662.0","70,205.0","73,890.0","78,704.0","84,680.0","89,657.0","93,835.0","97,603.0","104,419.0","114,395.0","124,179.0","136,103.0","146,310.0","153,271.0"
"70","52","        Intermediate goods and services purchased \3\","W140RC1","1,466.0","1,648.0","1,691.0","1,604.0","1,666.0","2,312.0","2,311.0","2,731.0","2,538.0","3,026.0","2,939.0","2,812.0","2,904.0","2,830.0","2,527.0","2,457.0","2,566.0","2,793.0","3,369.0","3,579.0","4,201.0","4,937.0","4,887.0","4,861.0","4,940.0","5,194.0","6,002.0","5,941.0","6,429.0","7,514.0","8,345.0","8,935.0","9,660.0","10,092.0","10,814.0","11,947.0","13,391.0","14,919.0","16,483.0","18,686.0","21,847.0","25,407.0","29,232.0","32,152.0","35,424.0","42,711.0","50,718.0","55,196.0","61,113.0","66,928.0","74,255.0","82,025.0","91,628.0","100,556.0","109,607.0","119,020.0","133,952.0","151,576.0","156,209.0","165,964.0","180,233.0","195,168.0","209,419.0","224,916.0","240,602.0","256,848.0","275,780.0","290,584.0","309,621.0","332,786.0","364,814.0","400,043.0","432,471.0","454,134.0","464,556.0","485,248.0","522,128.0","556,201.0","597,512.0","651,525.0","612,254.0"
"71","53","          Durable goods","B989RC1","82.0","74.0","78.0","69.0","78.0","127.0","109.0","243.0","209.0","289.0","268.0","211.0","170.0","106.0","41.0","31.0","36.0","61.0","106.0","151.0","164.0","173.0","201.0","223.0","234.0","264.0","279.0","325.0","383.0","386.0","431.0","462.0","508.0","543.0","588.0","644.0","734.0","825.0","894.0","1,082.0","1,288.0","1,556.0","1,879.0","2,187.0","2,467.0","2,892.0","3,308.0","3,645.0","4,017.0","4,397.0","4,879.0","5,330.0","6,077.0","6,672.0","7,182.0","7,799.0","8,391.0","9,249.0","9,824.0","10,452.0","11,362.0","11,992.0","12,732.0","13,288.0","13,741.0","14,452.0","15,583.0","15,999.0","16,960.0","18,535.0","19,873.0","21,055.0","22,231.0","22,254.0","21,659.0","21,899.0","22,269.0","22,950.0","24,001.0","24,901.0","25,397.0"
"72","54","          Nondurable goods","B337RC1","739.0","849.0","878.0","847.0","876.0","1,187.0","1,180.0","1,349.0","1,251.0","1,481.0","1,429.0","1,390.0","1,454.0","1,436.0","1,288.0","1,251.0","1,262.0","1,304.0","1,588.0","1,667.0","1,964.0","2,285.0","2,160.0","2,116.0","2,097.0","2,149.0","2,507.0","2,396.0","2,546.0","3,063.0","3,645.0","3,865.0","4,142.0","4,309.0","4,556.0","4,915.0","5,384.0","5,837.0","6,241.0","6,932.0","7,846.0","8,997.0","10,210.0","10,950.0","12,401.0","15,499.0","18,873.0","21,306.0","24,195.0","26,292.0","30,041.0","33,765.0","37,184.0","38,404.0","39,962.0","42,762.0","45,627.0","45,640.0","49,264.0","51,826.0","57,726.0","63,824.0","66,034.0","69,085.0","72,723.0","77,446.0","84,508.0","90,577.0","94,323.0","96,617.0","107,181.0","124,775.0","132,405.0","135,172.0","142,919.0","155,402.0","176,944.0","191,942.0","209,013.0","242,977.0","202,532.0"
"73","55","          Services","A988RC1","645.0","725.0","735.0","688.0","711.0","997.0","1,022.0","1,139.0","1,078.0","1,257.0","1,242.0","1,211.0","1,280.0","1,288.0","1,198.0","1,176.0","1,268.0","1,428.0","1,674.0","1,761.0","2,072.0","2,480.0","2,526.0","2,522.0","2,610.0","2,781.0","3,215.0","3,221.0","3,500.0","4,065.0","4,269.0","4,608.0","5,010.0","5,240.0","5,669.0","6,388.0","7,272.0","8,257.0","9,348.0","10,672.0","12,713.0","14,854.0","17,143.0","19,015.0","20,556.0","24,320.0","28,537.0","30,244.0","32,900.0","36,238.0","39,335.0","42,930.0","48,367.0","55,480.0","62,463.0","68,459.0","79,933.0","96,687.0","97,121.0","103,686.0","111,145.0","119,351.0","130,654.0","142,544.0","154,138.0","164,950.0","175,689.0","184,008.0","198,337.0","217,634.0","237,759.0","254,213.0","277,835.0","296,708.0","299,977.0","307,947.0","322,915.0","341,309.0","364,498.0","383,647.0","384,325.0"
"74","56","      Less: Own-account investment \4\","W144RC1","116.0","132.0","120.0","76.0","252.0","858.0","650.0","2,042.0","1,510.0","2,248.0","1,948.0","1,512.0","1,224.0","616.0","98.0","28.0","34.0","68.0","122.0","174.0","239.0","262.0","313.0","393.0","389.0","430.0","438.0","513.0","546.0","608.0","816.0","782.0","834.0","902.0","1,030.0","1,029.0","1,083.0","1,187.0","1,209.0","1,336.0","1,424.0","1,536.0","1,636.0","1,680.0","1,741.0","2,064.0","2,149.0","2,044.0","2,005.0","2,326.0","2,909.0","3,341.0","3,494.0","3,745.0","3,955.0","4,620.0","5,208.0","5,744.0","6,097.0","6,678.0","7,812.0","8,588.0","9,323.0","9,526.0","9,732.0","10,128.0","10,629.0","10,967.0","12,197.0","12,619.0","13,527.0","14,864.0","16,663.0","17,026.0","17,198.0","18,118.0","19,140.0","20,507.0","22,300.0","23,812.0","23,739.0"
"75","57","            Sales to other sectors","W145RC1","435.0","507.0","534.0","500.0","483.0","554.0","594.0","492.0","532.0","551.0","575.0","619.0","688.0","768.0","798.0","813.0","850.0","938.0","1,128.0","1,254.0","1,424.0","1,597.0","1,672.0","1,755.0","1,856.0","1,996.0","2,240.0","2,383.0","2,627.0","2,987.0","3,245.0","3,542.0","3,867.0","4,383.0","4,920.0","5,530.0","6,341.0","7,203.0","8,215.0","9,496.0","10,597.0","11,831.0","13,517.0","15,189.0","17,004.0","18,666.0","20,624.0","23,346.0","25,834.0","29,207.0","33,378.0","37,556.0","43,712.0","49,697.0","55,688.0","59,802.0","65,403.0","71,455.0","76,941.0","84,111.0","93,750.0","103,451.0","115,390.0","129,111.0","142,695.0","153,292.0","165,029.0","173,150.0","183,170.0","191,870.0","201,846.0","218,240.0","236,277.0","247,320.0","260,110.0","275,394.0","288,691.0","304,663.0","325,121.0","348,506.0","359,141.0"
"76","58","              Tuition and related educational charges","B1065C1","75.0","88.0","93.0","83.0","71.0","71.0","70.0","69.0","70.0","71.0","70.0","70.0","70.0","72.0","72.0","74.0","80.0","81.0","94.0","119.0","137.0","137.0","142.0","151.0","164.0","182.0","210.0","247.0","291.0","335.0","379.0","430.0","483.0","566.0","668.0","813.0","985.0","1,174.0","1,375.0","1,640.0","1,925.0","2,400.0","2,872.0","3,217.0","3,656.0","3,960.0","4,259.0","4,701.0","5,216.0","5,769.0","6,394.0","7,224.0","8,281.0","9,367.0","10,660.0","11,716.0","12,755.0","13,881.0","14,998.0","16,601.0","18,423.0","20,314.0","22,700.0","25,532.0","27,468.0","29,354.0","31,215.0","33,046.0","35,479.0","37,964.0","40,619.0","43,745.0","46,218.0","49,414.0","53,561.0","56,851.0","61,165.0","65,847.0","70,816.0","76,161.0","79,928.0"
"77","59","              Health and hospital charges","B1066C1","159.0","186.0","199.0","177.0","151.0","150.0","148.0","148.0","149.0","152.0","149.0","148.0","150.0","153.0","155.0","159.0","173.0","174.0","201.0","255.0","291.0","290.0","316.0","339.0","368.0","414.0","479.0","562.0","671.0","882.0","954.0","1,000.0","1,047.0","1,252.0","1,341.0","1,512.0","1,777.0","2,093.0","2,524.0","3,150.0","3,488.0","3,838.0","4,649.0","5,593.0","6,567.0","7,423.0","8,478.0","9,885.0","10,912.0","12,695.0","15,192.0","17,349.0","20,985.0","24,497.0","27,824.0","29,380.0","32,000.0","34,771.0","37,036.0","40,320.0","44,971.0","50,015.0","57,005.0","65,302.0","73,145.0","78,824.0","85,015.0","86,604.0","89,892.0","93,460.0","96,731.0","104,030.0","116,189.0","120,773.0","124,845.0","130,895.0","132,304.0","137,776.0","146,118.0","156,988.0","161,785.0"
"78","60","              Other sales","W146RC1","201.0","232.0","242.0","240.0","262.0","333.0","376.0","276.0","313.0","328.0","357.0","401.0","469.0","543.0","571.0","580.0","597.0","683.0","833.0","880.0","996.0","1,170.0","1,214.0","1,265.0","1,323.0","1,400.0","1,551.0","1,574.0","1,665.0","1,769.0","1,912.0","2,112.0","2,337.0","2,566.0","2,910.0","3,205.0","3,579.0","3,936.0","4,316.0","4,706.0","5,184.0","5,594.0","5,996.0","6,379.0","6,782.0","7,283.0","7,888.0","8,760.0","9,706.0","10,744.0","11,793.0","12,983.0","14,446.0","15,833.0","17,203.0","18,706.0","20,648.0","22,803.0","24,907.0","27,190.0","30,357.0","33,122.0","35,686.0","38,277.0","42,082.0","45,114.0","48,799.0","53,500.0","57,800.0","60,445.0","64,496.0","70,464.0","73,870.0","77,133.0","81,704.0","87,648.0","95,223.0","101,040.0","108,187.0","115,357.0","117,428.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
