"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"64","44","        Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","451,542.0","292,180.0","314,809.0"
"65","45","        Profits after tax (without IVA and CCAdj)","A055RC1","9,226.0","3,449.0","-141.0","-1,865.0","1,207.0","2,335.0","3,265.0","5,522.0","5,948.0","3,414.0","6,187.0","7,603.0","10,732.0","10,632.0","11,478.0","11,506.0","9,332.0","15,832.0","20,677.0","23,455.0","19,404.0","25,308.0","22,229.0","20,831.0","21,396.0","21,719.0","27,843.0","28,470.0","27,657.0","23,999.0","30,029.0","28,849.0","28,679.0","32,911.0","35,708.0","40,941.0","49,085.0","52,819.0","50,648.0","52,811.0","51,394.0","46,235.0","54,714.0","65,883.0","84,999.0","94,991.0","93,896.0","114,451.0","136,069.0","161,278.0","182,118.0","166,352.0","159,403.0","132,113.0","153,351.0","171,077.0","158,058.0","136,286.0","192,658.0","248,293.0","244,385.0","266,263.0","286,795.0","325,713.0","347,989.0","405,890.0","466,458.0","509,268.0","556,342.0","474,522.0","521,730.0","507,379.0","509,427.0","573,011.0","659,707.0","923,310.0","1,227,774.0","1,349,453.0","1,322,847.0","1,170,569.0","1,112,808.0"
"66","46","          Net dividends","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","767,785.0","689,874.0","575,757.0"
"67","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","3,425.0","-2,019.0","-4,207.0","-4,409.0","-831.0","-232.0","421.0","999.0","1,288.0","249.0","2,421.0","3,587.0","6,301.0","6,378.0","7,032.0","6,889.0","4,732.0","10,258.0","14,356.0","16,419.0","12,166.0","16,470.0","13,659.0","12,271.0","12,510.0","12,437.0","17,365.0","17,190.0","15,915.0","12,433.0","17,459.0","15,483.0","14,778.0","17,884.0","19,472.0","22,747.0","28,880.0","32,149.0","29,138.0","29,276.0","27,155.0","21,928.0","29,687.0","39,047.0","55,092.0","61,772.0","60,936.0","75,437.0","91,300.0","110,485.0","124,598.0","102,282.0","85,647.0","54,399.0","69,887.0","80,270.0","60,506.0","30,106.0","80,346.0","118,374.0","86,411.0","97,201.0","106,112.0","137,686.0","145,059.0","170,167.0","212,054.0","211,546.0","225,137.0","123,068.0","184,333.0","129,506.0","138,509.0","173,755.0","234,846.0","372,975.0","670,454.0","644,675.0","555,062.0","480,695.0","537,051.0"
"68","48","      Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-44,009.0","-38,219.0","9,110.0"
"69","49","    Capital consumption adjustment","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-188,684.0","-64,141.0","-127,800.0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
