"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"38","20","    Trucks, buses, and truck trailers","C279RC1","496.0","358.0","248.0","136.0","160.0","258.0","325.0","424.0","437.0","304.0","415.0","490.0","617.0","134.0","146.0","348.0","937.0","1,164.0","1,734.0","2,084.0","1,772.0","2,095.0","2,360.0","1,861.0","1,841.0","1,736.0","2,379.0","2,505.0","2,348.0","2,084.0","2,616.0","2,567.0","2,660.0","3,410.0","3,596.0","3,736.0","4,655.0","5,407.0","4,857.0","5,926.0","7,158.0","6,208.0","7,248.0","9,434.0","11,214.0","11,612.0","9,188.0","12,128.0","16,209.0","19,932.0","21,826.0","17,097.0","18,134.0","17,777.0","20,831.0","28,184.0","32,004.0","28,412.0","28,763.0","29,124.0","28,518.0","23,723.0","22,025.0","26,262.0","37,179.0","51,030.0","58,624.0","64,622.0","73,191.0","79,766.0","90,227.0","82,769.0","66,073.0","62,058.0","64,962.0","86,419.0","102,986.0","114,129.0","93,289.0","61,146.0"
"39","21","      Light trucks (including utility vehicles) \3\","W178RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,691.0","11,979.0","10,755.0","9,713.0","9,870.0","10,168.0","15,242.0","25,901.0","29,654.0","38,981.0","49,354.0","49,675.0","55,941.0","53,055.0","44,988.0","40,685.0","43,967.0","57,017.0","66,525.0","73,304.0","66,523.0","40,027.0"
"40","22","      Other trucks, buses, and truck trailers \3\","W179RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,072.0","17,145.0","17,762.0","14,009.0","12,154.0","16,094.0","21,937.0","25,130.0","28,969.0","25,641.0","23,837.0","30,091.0","34,287.0","29,714.0","21,085.0","21,373.0","20,995.0","29,402.0","36,461.0","40,825.0","26,766.0","21,119.0"
"41","23","    Autos \3\","C280RC1","1,105.0","701.0","488.0","271.0","331.0","436.0","643.0","822.0","849.0","524.0","715.0","948.0","1,158.0","251.0","253.0","167.0","172.0","1,048.0","1,822.0","1,997.0","2,508.0","3,209.0","2,563.0","2,211.0","3,189.0","3,294.0","4,006.0","3,154.0","3,579.0","2,556.0","3,661.0","3,821.0","3,547.0","4,251.0","4,009.0","4,179.0","5,079.0","4,768.0","4,590.0","5,985.0","6,330.0","5,261.0","7,404.0","7,862.0","8,855.0","8,292.0","8,607.0","10,870.0","14,249.0","16,619.0","15,870.0","14,258.0","16,711.0","16,594.0","21,943.0","25,606.0","26,451.0","29,832.0","26,397.0","29,487.0","26,132.0","29,138.0","31,299.0","30,545.0","33,265.0","41,108.0","37,101.0","37,946.0","38,296.0","36,808.0","42,836.0","43,832.0","42,829.0","43,655.0","39,145.0","41,265.0","45,029.0","49,650.0","50,949.0","39,151.0"
"42","24","    Aircraft","C281RC1","41.0","17.0","9.0","1.0","8.0","15.0","8.0","7.0","19.0","15.0","23.0","39.0","35.0","6.0","0.0","7.0","48.0","178.0","129.0","59.0","113.0","76.0","85.0","198.0","191.0","215.0","159.0","381.0","516.0","375.0","861.0","779.0","815.0","781.0","488.0","841.0","1,283.0","1,816.0","2,489.0","3,666.0","2,753.0","2,421.0","1,326.0","1,914.0","2,990.0","2,443.0","2,303.0","2,354.0","3,416.0","4,300.0","7,003.0","8,014.0","7,731.0","7,130.0","7,308.0","6,674.0","7,217.0","9,000.0","9,719.0","10,449.0","8,475.0","12,116.0","13,417.0","13,721.0","13,386.0","9,114.0","13,274.0","12,914.0","15,511.0","20,989.0","30,813.0","33,515.0","36,608.0","27,240.0","20,295.0","23,724.0","21,967.0","21,475.0","24,017.0","20,256.0"
"43","25","    Ships and boats","C282RC1","91.0","111.0","85.0","21.0","13.0","21.0","9.0","57.0","65.0","122.0","57.0","133.0","185.0","197.0","232.0","130.0","195.0","255.0","586.0","273.0","167.0","157.0","331.0","371.0","341.0","182.0","276.0","429.0","560.0","539.0","487.0","454.0","395.0","414.0","362.0","424.0","489.0","529.0","556.0","756.0","856.0","889.0","861.0","1,102.0","1,683.0","1,567.0","2,273.0","2,271.0","2,501.0","2,586.0","3,215.0","3,460.0","4,451.0","3,129.0","1,934.0","1,711.0","1,294.0","1,476.0","1,825.0","1,602.0","1,485.0","1,554.0","1,598.0","1,177.0","2,158.0","1,840.0","1,797.0","2,312.0","2,715.0","2,891.0","2,975.0","3,499.0","3,233.0","3,827.0","4,241.0","4,850.0","4,771.0","4,340.0","4,567.0","3,836.0"
"44","26","    Railroad equipment","C283RC1","374.0","374.0","82.0","45.0","22.0","101.0","97.0","196.0","356.0","142.0","170.0","313.0","408.0","394.0","268.0","346.0","332.0","367.0","645.0","1,069.0","1,143.0","888.0","1,224.0","1,101.0","1,015.0","586.0","683.0","932.0","1,262.0","561.0","648.0","888.0","609.0","933.0","977.0","1,397.0","1,709.0","1,998.0","1,774.0","1,296.0","1,793.0","1,463.0","1,573.0","1,537.0","1,818.0","2,365.0","2,797.0","2,366.0","2,902.0","3,885.0","5,725.0","5,556.0","3,529.0","2,191.0","1,495.0","2,232.0","1,988.0","1,749.0","1,361.0","2,199.0","3,308.0","3,429.0","3,192.0","3,010.0","3,437.0","4,640.0","5,281.0","5,357.0","5,818.0","6,692.0","7,508.0","7,171.0","5,473.0","4,788.0","4,251.0","4,860.0","6,962.0","8,616.0","8,880.0","7,919.0"
"45","27","  Other equipment","A682RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,664.0","4,165.0","5,420.0","4,721.0","5,137.0","5,595.0","5,671.0","5,676.0","5,366.0","6,439.0","6,901.0","6,805.0","7,007.0","7,693.0","7,191.0","7,188.0","7,711.0","9,053.0","10,200.0","11,502.0","13,201.0","12,768.0","13,387.0","14,931.0","16,184.0","16,706.0","19,397.0","23,691.0","26,516.0","28,643.0","31,281.0","37,784.0","45,592.0","52,074.0","52,224.0","59,326.0","53,209.0","52,034.0","60,046.0","61,696.0","62,488.0","66,450.0","71,991.0","83,014.0","83,071.0","72,926.0","73,961.0","84,145.0","92,348.0","99,858.0","105,814.0","116,890.0","129,456.0","133,740.0","142,121.0","142,057.0","142,408.0","150,520.0","163,575.0","184,174.0","196,795.0","200,814.0","203,434.0"
"46","28","    Furniture and fixtures","A667RC1","363.0","294.0","194.0","114.0","99.0","142.0","155.0","182.0","237.0","198.0","212.0","255.0","334.0","249.0","201.0","214.0","292.0","504.0","690.0","672.0","644.0","700.0","934.0","887.0","873.0","981.0","1,167.0","1,312.0","1,283.0","1,313.0","1,360.0","1,404.0","1,356.0","1,434.0","1,609.0","1,765.0","1,944.0","2,218.0","2,298.0","2,331.0","2,700.0","2,730.0","2,640.0","3,392.0","3,864.0","3,948.0","3,685.0","4,200.0","5,596.0","6,852.0","7,987.0","9,017.0","9,963.0","11,043.0","12,162.0","14,491.0","15,668.0","16,692.0","18,387.0","18,751.0","21,627.0","21,002.0","18,866.0","20,902.0","21,384.0","22,557.0","24,455.0","25,545.0","29,785.0","33,600.0","36,526.0","39,496.0","37,389.0","36,032.0","36,761.0","38,852.0","42,779.0","44,307.0","44,635.0","43,040.0"
"47","29","    Agricultural machinery","C268RC1","405.0","383.0","198.0","104.0","72.0","123.0","234.0","332.0","432.0","382.0","329.0","389.0","565.0","422.0","243.0","576.0","659.0","548.0","1,034.0","1,520.0","1,614.0","1,678.0","1,760.0","1,708.0","1,606.0","1,416.0","1,610.0","1,374.0","1,385.0","1,813.0","1,945.0","1,573.0","1,637.0","1,782.0","2,240.0","2,457.0","2,741.0","3,269.0","3,412.0","3,278.0","3,432.0","4,010.0","3,918.0","4,797.0","6,391.0","6,807.0","8,546.0","8,834.0","9,464.0","10,734.0","12,749.0","11,600.0","12,611.0","9,513.0","8,456.0","9,121.0","7,302.0","6,814.0","7,179.0","9,762.0","11,985.0","13,597.0","11,430.0","10,202.0","11,864.0","13,428.0","13,946.0","14,088.0","16,245.0","17,002.0","12,625.0","13,991.0","14,983.0","17,353.0","18,992.0","21,479.0","23,506.0","22,421.0","23,155.0","26,923.0"
"48","30","    Construction machinery","C269RC1","136.0","114.0","69.0","21.0","14.0","34.0","64.0","106.0","139.0","113.0","106.0","140.0","173.0","121.0","87.0","115.0","358.0","462.0","582.0","782.0","582.0","673.0","804.0","924.0","847.0","717.0","983.0","1,250.0","1,044.0","1,128.0","1,346.0","1,099.0","1,055.0","1,136.0","1,534.0","1,887.0","2,188.0","2,482.0","2,287.0","2,512.0","2,863.0","2,880.0","3,003.0","3,749.0","4,629.0","5,512.0","5,478.0","5,632.0","8,083.0","10,641.0","10,831.0","9,343.0","9,667.0","6,467.0","7,261.0","9,961.0","10,892.0","10,803.0","10,445.0","10,565.0","13,571.0","14,055.0","9,414.0","9,416.0","12,215.0","13,985.0","15,835.0","18,062.0","19,529.0","22,330.0","22,992.0","23,502.0","20,963.0","19,554.0","20,842.0","24,690.0","32,076.0","37,599.0","34,027.0","32,875.0"
"49","31","    Mining and oilfield machinery","C270RC1","143.0","87.0","41.0","30.0","33.0","51.0","77.0","117.0","119.0","79.0","90.0","119.0","215.0","117.0","112.0","164.0","293.0","207.0","243.0","332.0","268.0","332.0","449.0","452.0","436.0","409.0","558.0","617.0","629.0","425.0","505.0","469.0","426.0","421.0","538.0","609.0","687.0","730.0","564.0","604.0","668.0","932.0","1,084.0","904.0","1,140.0","1,700.0","2,656.0","3,001.0","3,558.0","3,648.0","3,884.0","4,498.0","7,640.0","5,552.0","3,200.0","2,815.0","2,466.0","1,317.0","1,231.0","1,532.0","1,853.0","1,753.0","1,448.0","1,297.0","2,505.0","2,472.0","2,535.0","2,696.0","3,587.0","3,625.0","5,329.0","5,336.0","6,239.0","4,107.0","5,048.0","6,034.0","8,722.0","13,696.0","18,919.0","19,388.0"
"50","32","    Service industry machinery","C570RC1","186.0","147.0","117.0","65.0","61.0","74.0","92.0","134.0","168.0","127.0","143.0","162.0","179.0","150.0","174.0","246.0","345.0","506.0","965.0","1,378.0","947.0","974.0","895.0","955.0","1,126.0","1,079.0","1,223.0","1,396.0","1,476.0","1,299.0","1,327.0","1,335.0","1,304.0","1,378.0","1,360.0","1,509.0","1,789.0","2,063.0","2,088.0","2,255.0","2,576.0","2,665.0","2,814.0","2,874.0","3,139.0","3,252.0","3,116.0","3,656.0","4,193.0","5,045.0","5,921.0","6,457.0","6,970.0","7,345.0","7,646.0","9,128.0","9,937.0","10,188.0","11,210.0","11,734.0","12,855.0","11,695.0","11,238.0","11,060.0","11,894.0","13,149.0","14,170.0","14,820.0","14,781.0","16,775.0","18,313.0","19,046.0","19,899.0","19,480.0","19,522.0","20,274.0","21,884.0","22,195.0","22,342.0","24,177.0"
"51","33","    Electrical equipment, n.e.c.","A670RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","101.0","184.0","193.0","186.0","248.0","230.0","208.0","218.0","190.0","223.0","247.0","248.0","201.0","216.0","231.0","239.0","260.0","347.0","376.0","434.0","450.0","333.0","387.0","443.0","508.0","525.0","624.0","759.0","838.0","853.0","1,044.0","1,070.0","1,635.0","2,063.0","2,466.0","2,807.0","2,360.0","2,467.0","2,757.0","2,944.0","3,111.0","3,246.0","3,604.0","3,604.0","3,298.0","2,766.0","2,857.0","2,853.0","3,026.0","3,321.0","3,222.0","3,631.0","4,297.0","4,123.0","4,318.0","4,662.0","4,977.0","5,300.0","6,472.0","6,319.0","6,382.0","5,508.0","5,267.0"
"52","34","    Other","C286RC1","161.0","134.0","97.0","74.0","74.0","85.0","94.0","111.0","113.0","97.0","108.0","140.0","184.0","148.0","136.0","152.0","186.0","336.0","467.0","543.0","480.0","532.0","523.0","537.0","570.0","574.0","675.0","705.0","740.0","828.0","994.0","1,080.0","1,171.0","1,300.0","1,425.0","1,597.0","1,719.0","1,989.0","1,786.0","2,020.0","2,249.0","2,459.0","2,722.0","3,057.0","3,769.0","4,459.0","4,309.0","4,914.0","5,820.0","7,037.0","8,639.0","8,843.0","9,668.0","10,929.0","10,842.0","11,773.0","12,487.0","13,563.0","14,752.0","16,043.0","17,519.0","17,671.0","17,764.0","18,227.0","21,430.0","23,731.0","25,596.0","27,381.0","29,332.0","31,827.0","33,832.0","36,432.0","37,922.0","40,905.0","44,055.0","45,774.0","48,888.0","50,195.0","52,228.0","51,764.0"
"53","35","  Less: Sale of equipment scrap, excluding autos","C287RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33.0","87.0","41.0","43.0","81.0","102.0","78.0","103.0","41.0","124.0","158.0","116.0","63.0","119.0","139.0","205.0","182.0","239.0","349.0","457.0","498.0","364.0","361.0","530.0","619.0","444.0","445.0","1,072.0","2,208.0","1,279.0","1,662.0","1,527.0","2,351.0","4,161.0","3,900.0","4,134.0","2,056.0","1,639.0","1,896.0","1,799.0","1,826.0","2,499.0","2,973.0","2,815.0","2,847.0","2,124.0","2,006.0","3,991.0","4,281.0","5,136.0","4,844.0","4,774.0","4,049.0","3,358.0","3,524.0","2,564.0","2,802.0","3,066.0","5,650.0","5,231.0","7,002.0","8,260.0","8,310.0"
"54","36","Residential equipment","B013RC1","78.0","67.0","57.0","35.0","40.0","51.0","60.0","72.0","83.0","70.0","77.0","87.0","113.0","82.0","35.0","24.0","44.0","177.0","301.0","330.0","299.0","375.0","371.0","368.0","386.0","391.0","432.0","458.0","455.0","476.0","570.0","529.0","521.0","540.0","592.0","628.0","687.0","692.0","711.0","866.0","1,010.0","1,121.0","1,278.0","1,536.0","1,739.0","1,881.0","1,919.0","2,122.0","2,397.0","2,734.0","3,167.0","3,376.0","3,615.0","3,689.0","4,220.0","4,715.0","5,056.0","5,499.0","5,805.0","6,061.0","6,149.0","6,008.0","5,748.0","5,921.0","6,071.0","6,227.0","6,327.0","6,330.0","6,269.0","6,691.0","7,303.0","7,791.0","7,984.0","8,234.0","8,519.0","9,158.0","9,784.0","10,316.0","10,360.0","9,988.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","  Private fixed investment in equipment and software","A327RC1","5,570.0","4,247.0","2,700.0","1,495.0","1,476.0","2,149.0","2,893.0","3,953.0","4,853.0","3,471.0","3,960.0","5,254.0","6,556.0","4,147.0","3,706.0","5,026.0","7,329.0","10,122.0","15,617.0","17,610.0","16,031.0","18,174.0","20,245.0","20,062.0","21,917.0","21,203.0","24,320.0","26,801.0","29,016.0","25,353.0","28,929.0","30,335.0","29,592.0","32,817.0","35,392.0","39,853.0","47,143.0","54,726.0","55,576.0","60,716.0","67,963.0","69,846.0","72,747.0","83,199.0","100,021.0","110,109.0","114,314.0","128,568.0","156,538.0","189,713.0","219,364.0","229,598.0","256,312.0","252,591.0","267,074.0","316,951.0","336,724.0","348,806.0","355,719.0","387,055.0","420,178.0","425,531.0","420,317.0","445,475.0","495,486.0","550,869.0","609,090.0","657,113.0","724,611.0","792,698.0","878,261.0","958,334.0","906,091.0","850,917.0","862,331.0","925,541.0","1,005,355.0","1,081,975.0","1,115,163.0","1,094,102.0"
"57","38","  Less: Dealers' margin on used equipment","B549RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","129.0","194.0","222.0","188.0","238.0","268.0","227.0","189.0","146.0","288.0","319.0","312.0","283.0","286.0","268.0","260.0","285.0","310.0","341.0","393.0","445.0","420.0","483.0","549.0","554.0","608.0","707.0","779.0","829.0","859.0","976.0","1,090.0","1,492.0","1,813.0","2,090.0","2,483.0","2,679.0","2,676.0","3,052.0","3,153.0","3,290.0","3,486.0","3,986.0","4,421.0","4,676.0","4,258.0","4,323.0","5,040.0","5,630.0","6,343.0","6,955.0","8,308.0","9,810.0","11,533.0","12,484.0","13,138.0","13,445.0","13,393.0","14,745.0","16,120.0","17,253.0","18,903.0","18,203.0"
"58","39","        Net purchases of used equipment from government","B550RC1","33.0","17.0","15.0","15.0","11.0","9.0","9.0","10.0","11.0","12.0","19.0","26.0","17.0","9.0","7.0","27.0","119.0","582.0","638.0","283.0","68.0","73.0","169.0","43.0","-30.0","15.0","77.0","181.0","131.0","85.0","80.0","83.0","72.0","73.0","74.0","80.0","93.0","107.0","95.0","96.0","100.0","109.0","116.0","130.0","158.0","203.0","234.0","253.0","298.0","354.0","409.0","453.0","495.0","489.0","262.0","302.0","314.0","336.0","383.0","357.0","373.0","279.0","368.0","344.0","347.0","360.0","348.0","328.0","387.0","649.0","436.0","480.0","515.0","562.0","601.0","597.0","645.0","667.0","677.0","695.0"
"59","40","  Plus: Net sales of used equipment","B554RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","134.0","324.0","541.0","658.0","857.0","913.0","937.0","814.0","860.0","902.0","1,001.0","1,078.0","1,140.0","1,100.0","1,222.0","1,402.0","1,521.0","1,555.0","1,745.0","2,008.0","2,301.0","2,462.0","2,696.0","2,615.0","2,681.0","2,697.0","3,229.0","3,618.0","4,501.0","5,279.0","5,715.0","6,362.0","7,401.0","7,593.0","8,776.0","9,515.0","10,195.0","16,233.0","19,446.0","18,380.0","22,105.0","25,101.0","26,097.0","27,829.0","30,741.0","36,097.0","39,724.0","43,973.0","48,764.0","57,801.0","60,534.0","69,829.0","77,238.0","79,786.0","77,881.0","76,462.0","70,141.0","68,476.0","70,546.0","71,911.0","76,906.0","74,822.0"
"60","41","        Net exports of used equipment","B555RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","82.0","88.0","72.0","42.0","32.0","42.0","25.0","25.0","36.0","61.0","62.0","73.0","57.0","34.0","46.0","43.0","45.0","42.0","49.0","57.0","64.0","126.0","128.0","229.0","225.0","355.0","496.0","610.0","617.0","777.0","702.0","800.0","915.0","918.0","1,072.0","834.0","895.0","779.0","931.0","834.0","1,122.0","308.0","867.0","726.0","834.0","1,099.0","1,035.0","781.0","1,084.0","404.0","345.0","1,549.0","1,234.0","753.0","-15.0","116.0","1,968.0","1,344.0","1,438.0","3,318.0","2,676.0","2,146.0","3,838.0"
"61","42","        Sale of equipment scrap","B556RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33.0","87.0","42.0","46.0","85.0","104.0","80.0","105.0","46.0","130.0","164.0","124.0","71.0","128.0","147.0","214.0","191.0","249.0","359.0","469.0","509.0","377.0","370.0","542.0","633.0","458.0","459.0","1,087.0","2,224.0","1,295.0","1,680.0","1,545.0","2,358.0","4,180.0","3,918.0","4,162.0","2,062.0","1,644.0","1,903.0","1,805.0","1,832.0","2,507.0","2,985.0","2,854.0","2,888.0","2,153.0","2,059.0","4,036.0","4,329.0","5,190.0","4,908.0","4,845.0","4,099.0","3,442.0","3,610.0","2,635.0","2,859.0","3,140.0","5,694.0","5,271.0","7,056.0","8,317.0","8,369.0"
"62","43","  Equals: Private fixed investment in new equipment and software","A763RC1","5,537.0","4,230.0","2,685.0","1,480.0","1,465.0","2,140.0","2,884.0","3,943.0","4,842.0","3,459.0","3,941.0","5,228.0","6,539.0","4,138.0","3,699.0","4,999.0","7,210.0","9,526.0","15,094.0","17,543.0","16,404.0","18,638.0","20,811.0","20,810.0","22,825.0","21,938.0","25,006.0","27,429.0","29,771.0","26,191.0","29,865.0","31,277.0","30,739.0","34,097.0","36,820.0","41,395.0","48,928.0","56,755.0","57,865.0","63,097.0","70,781.0","72,656.0","75,517.0","86,014.0","104,010.0","115,536.0","119,794.0","135,000.0","163,210.0","197,502.0","229,641.0","239,638.0","267,106.0","261,895.0","276,754.0","332,664.0","355,342.0","366,514.0","376,770.0","411,665.0","445,061.0","452,127.0","449,684.0","479,999.0","534,640.0","594,265.0","656,757.0","712,884.0","782,844.0","857,401.0","947,725.0","1,028,751.0","973,070.0","918,199.0","922,962.0","985,807.0","1,067,725.0","1,145,698.0","1,182,952.0","1,162,233.0"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.5B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
