"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"37","19","    Housing","DHSGRC1","11,418.0","10,961.0","10,237.0","9,005.0","7,932.0","7,623.0","7,720.0","8,018.0","8,529.0","8,937.0","9,140.0","9,444.0","10,153.0","10,943.0","11,427.0","11,966.0","12,368.0","13,743.0","15,411.0","17,340.0","19,087.0","21,127.0","23,678.0","26,298.0","29,133.0","31,483.0","33,553.0","35,817.0","38,344.0","41,009.0","43,954.0","46,976.0","49,955.0","53,381.0","56,469.0","59,764.0","63,627.0","67,511.0","71,866.0","77,316.0","84,207.0","91,040.0","99,725.0","108,730.0","118,990.0","130,045.0","142,420.0","156,034.0","173,353.0","194,495.0","218,026.0","245,916.0","277,830.0","302,480.0","327,163.0","358,441.0","394,682.0","429,228.0","461,750.0","497,345.0","531,470.0","570,438.0","601,788.0","634,533.0","665,948.0","712,583.0","756,172.0","794,234.0","839,282.0","893,933.0","950,490.0","1,010,486.0","1,085,759.0","1,134,517.0","1,176,116.0","1,233,890.0","1,328,897.0","1,416,275.0","1,480,012.0","1,543,115.0"
"38","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1","4,542.0","4,454.0","4,280.0","3,858.0","3,415.0","3,277.0","3,323.0","3,490.0","3,763.0","4,003.0","4,132.0","4,298.0","4,580.0","4,827.0","4,837.0","4,816.0","4,670.0","4,918.0","5,290.0","5,895.0","6,505.0","7,058.0","7,745.0","8,406.0","9,194.0","9,756.0","10,094.0","10,514.0","11,151.0","11,822.0","12,532.0","13,279.0","14,150.0","15,115.0","16,045.0","17,034.0","18,156.0","19,238.0","20,390.0","22,168.0","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","61,835.0","70,950.0","78,614.0","85,536.0","94,646.0","108,307.0","119,301.0","126,824.0","133,753.0","140,127.0","150,669.0","157,633.0","163,882.0","168,752.0","176,679.0","186,233.0","191,213.0","199,384.0","208,990.0","218,730.0","227,926.0","241,929.0","249,150.0","247,106.0","253,681.0","264,687.0","283,410.0","311,941.0","330,328.0"
"39","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1","5,868.0","5,552.0","5,101.0","4,416.0","3,844.0","3,643.0","3,646.0","3,759.0","3,950.0","4,104.0","4,179.0","4,310.0","4,706.0","5,192.0","5,588.0","6,060.0","6,496.0","7,356.0","8,456.0","9,731.0","10,968.0","12,391.0","14,089.0","15,901.0","17,899.0","19,724.0","21,407.0","23,233.0","25,036.0","26,953.0","29,047.0","31,273.0","33,285.0","35,714.0","37,787.0","39,991.0","42,668.0","45,338.0","48,329.0","51,883.0","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,385.0","201,023.0","218,189.0","235,996.0","258,101.0","280,785.0","304,497.0","329,438.0","357,613.0","384,868.0","412,788.0","436,687.0","462,819.0","488,461.0","526,209.0","559,814.0","592,467.0","629,459.0","674,050.0","720,267.0","768,886.0","829,759.0","870,850.0","913,823.0","962,526.0","1,044,497.0","1,111,028.0","1,143,454.0","1,186,830.0"
"40","22","      Rental value of farm dwellings","DFARRC1","913.0","865.0","775.0","664.0","614.0","640.0","683.0","693.0","733.0","745.0","741.0","744.0","767.0","821.0","879.0","955.0","1,052.0","1,303.0","1,447.0","1,505.0","1,408.0","1,464.0","1,607.0","1,736.0","1,765.0","1,711.0","1,741.0","1,734.0","1,787.0","1,861.0","2,031.0","2,098.0","2,202.0","2,258.0","2,360.0","2,443.0","2,481.0","2,599.0","2,747.0","2,838.0","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","20,917.0","23,624.0","24,916.0"
"41","23","      Group housing","DGRHRC1","95.0","90.0","81.0","67.0","59.0","63.0","68.0","76.0","83.0","85.0","88.0","92.0","100.0","103.0","123.0","135.0","150.0","166.0","218.0","209.0","206.0","214.0","237.0","255.0","275.0","292.0","311.0","336.0","370.0","373.0","344.0","326.0","318.0","294.0","277.0","296.0","322.0","336.0","400.0","427.0","492.0","510.0","511.0","510.0","530.0","590.0","661.0","680.0","632.0","571.0","555.0","526.0","512.0","529.0","460.0","493.0","476.0","447.0","447.0","505.0","568.0","640.0","694.0","625.0","668.0","674.0","721.0","795.0","803.0","870.0","902.0","928.0","929.0","877.0","901.0","890.0","884.0","920.0","993.0","1,041.0"
"42","24","    Household utilities and fuels","DUTFRC1","3,051.0","3,065.0","2,851.0","2,621.0","2,566.0","2,734.0","2,797.0","2,984.0","3,047.0","2,976.0","3,133.0","3,396.0","3,587.0","3,880.0","4,084.0","4,247.0","4,513.0","5,029.0","5,787.0","6,609.0","6,530.0","7,303.0","7,893.0","8,296.0","8,739.0","9,368.0","10,222.0","10,957.0","11,635.0","12,316.0","12,904.0","13,549.0","14,060.0","14,814.0","15,709.0","16,471.0","17,372.0","18,339.0","19,254.0","20,089.0","21,283.0","22,746.0","24,753.0","27,442.0","30,690.0","36,253.0","42,424.0","48,596.0","55,336.0","61,135.0","69,522.0","81,111.0","89,646.0","98,713.0","107,374.0","113,460.0","119,313.0","117,596.0","121,072.0","128,562.0","135,854.0","138,677.0","146,029.0","148,798.0","160,919.0","166,622.0","170,602.0","181,263.0","183,860.0","182,873.0","186,909.0","203,976.0","217,483.0","214,537.0","234,514.0","246,728.0","274,971.0","291,958.0","307,164.0","327,210.0"
"43","25","      Water supply and sanitation","DWRSRC1","285.0","303.0","303.0","284.0","274.0","306.0","316.0","331.0","336.0","332.0","348.0","364.0","373.0","389.0","396.0","412.0","425.0","463.0","499.0","532.0","558.0","606.0","651.0","723.0","783.0","838.0","921.0","983.0","1,051.0","1,072.0","1,214.0","1,375.0","1,478.0","1,615.0","1,821.0","1,929.0","2,062.0","2,161.0","2,225.0","2,416.0","2,758.0","3,162.0","3,559.0","4,011.0","4,438.0","4,920.0","5,460.0","6,005.0","6,669.0","7,531.0","8,409.0","9,398.0","10,476.0","11,657.0","13,107.0","14,938.0","16,978.0","19,078.0","21,074.0","22,881.0","25,260.0","27,149.0","28,819.0","30,294.0","33,498.0","36,733.0","39,337.0","42,069.0","44,058.0","46,214.0","48,740.0","50,440.0","52,379.0","54,609.0","57,309.0","60,194.0","63,579.0","68,822.0","72,883.0","77,054.0"
"44","26","      Electricity, gas, and other fuels","DEGFRC1","2,766.0","2,762.0","2,548.0","2,337.0","2,292.0","2,428.0","2,481.0","2,653.0","2,711.0","2,644.0","2,785.0","3,032.0","3,214.0","3,491.0","3,688.0","3,835.0","4,088.0","4,566.0","5,288.0","6,077.0","5,972.0","6,697.0","7,242.0","7,573.0","7,956.0","8,530.0","9,301.0","9,974.0","10,584.0","11,244.0","11,690.0","12,174.0","12,582.0","13,199.0","13,888.0","14,542.0","15,310.0","16,178.0","17,029.0","17,673.0","18,525.0","19,584.0","21,194.0","23,431.0","26,252.0","31,333.0","36,964.0","42,591.0","48,667.0","53,604.0","61,113.0","71,713.0","79,170.0","87,056.0","94,267.0","98,522.0","102,335.0","98,518.0","99,998.0","105,681.0","110,594.0","111,528.0","117,210.0","118,504.0","127,421.0","129,889.0","131,265.0","139,194.0","139,802.0","136,659.0","138,169.0","153,536.0","165,104.0","159,928.0","177,205.0","186,534.0","211,392.0","223,136.0","234,281.0","250,156.0"
"45","27","        Electricity","DELCRC1","616.0","660.0","674.0","662.0","645.0","671.0","697.0","726.0","766.0","810.0","849.0","910.0","965.0","1,017.0","1,045.0","1,125.0","1,194.0","1,328.0","1,473.0","1,668.0","1,879.0","2,138.0","2,395.0","2,652.0","2,932.0","3,213.0","3,496.0","3,802.0","4,097.0","4,381.0","4,714.0","5,061.0","5,327.0","5,678.0","5,950.0","6,294.0","6,607.0","7,043.0","7,527.0","8,093.0","8,772.0","9,604.0","10,622.0","11,803.0","13,303.0","16,101.0","19,388.0","21,633.0","25,174.0","28,042.0","30,741.0","37,187.0","42,472.0","47,018.0","51,576.0","55,321.0","59,254.0","60,621.0","63,253.0","66,834.0","69,681.0","71,809.0","76,636.0","76,774.0","82,749.0","84,505.0","87,581.0","90,491.0","90,704.0","93,408.0","93,578.0","98,359.0","103,368.0","107,106.0","111,532.0","115,871.0","128,720.0","140,940.0","148,673.0","157,032.0"
"46","28","        Natural gas","DGHERC1","557.0","575.0","568.0","548.0","506.0","506.0","515.0","529.0","541.0","535.0","551.0","588.0","591.0","641.0","667.0","686.0","726.0","778.0","893.0","996.0","1,067.0","1,217.0","1,378.0","1,502.0","1,622.0","1,833.0","2,063.0","2,296.0","2,442.0","2,725.0","2,967.0","3,308.0","3,541.0","3,802.0","3,968.0","4,161.0","4,322.0","4,511.0","4,726.0","4,923.0","5,245.0","5,615.0","6,075.0","6,641.0","6,755.0","7,513.0","9,259.0","10,991.0","12,610.0","14,211.0","16,227.0","19,317.0","21,174.0","25,813.0","29,316.0","29,569.0","29,754.0","26,758.0","25,731.0","27,392.0","29,190.0","26,960.0","28,297.0","29,587.0","32,308.0","32,645.0","30,689.0","34,452.0","35,864.0","31,683.0","32,236.0","39,270.0","46,236.0","38,533.0","48,863.0","52,285.0","61,646.0","59,916.0","61,544.0","66,493.0"
"47","29","        Fuel oil and other fuels","DFULRC1","1,593.0","1,527.0","1,306.0","1,127.0","1,141.0","1,251.0","1,269.0","1,398.0","1,404.0","1,299.0","1,385.0","1,534.0","1,658.0","1,833.0","1,976.0","2,024.0","2,168.0","2,460.0","2,922.0","3,413.0","3,026.0","3,342.0","3,469.0","3,419.0","3,402.0","3,484.0","3,742.0","3,876.0","4,045.0","4,138.0","4,009.0","3,805.0","3,714.0","3,719.0","3,970.0","4,087.0","4,381.0","4,624.0","4,776.0","4,657.0","4,508.0","4,365.0","4,497.0","4,987.0","6,194.0","7,719.0","8,317.0","9,967.0","10,883.0","11,351.0","14,145.0","15,209.0","15,524.0","14,225.0","13,375.0","13,632.0","13,327.0","11,139.0","11,014.0","11,455.0","11,723.0","12,759.0","12,277.0","12,143.0","12,364.0","12,739.0","12,995.0","14,251.0","13,234.0","11,568.0","12,355.0","15,907.0","15,500.0","14,289.0","16,810.0","18,378.0","21,026.0","22,280.0","24,064.0","26,631.0"
"48","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1","6,670.0","5,536.0","4,681.0","3,423.0","3,220.0","3,747.0","4,145.0","4,959.0","5,520.0","4,947.0","5,481.0","6,000.0","7,092.0","7,436.0","7,414.0","7,962.0","8,939.0","12,659.0","15,468.0","16,789.0","16,278.0","18,657.0","19,717.0","19,331.0","20,024.0","19,919.0","22,271.0","23,587.0","23,930.0","24,058.0","25,640.0","26,179.0","26,792.0","28,317.0","29,828.0","32,702.0","34,706.0","37,837.0","39,692.0","43,191.0","45,381.0","46,617.0","48,764.0","53,519.0","59,945.0","64,605.0","67,804.0","75,042.0","84,020.0","93,595.0","104,324.0","110,736.0","118,283.0","121,040.0","132,337.0","147,102.0","155,992.0","168,658.0","176,892.0","186,561.0","197,475.0","200,559.0","199,110.0","209,399.0","221,891.0","238,615.0","251,693.0","263,722.0","277,270.0","296,846.0","319,652.0","342,491.0","351,095.0","363,539.0","376,468.0","400,430.0","423,860.0","445,411.0","456,226.0","449,857.0"
"49","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1","2,106.0","1,667.0","1,441.0","981.0","863.0","996.0","1,188.0","1,543.0","1,651.0","1,486.0","1,702.0","1,872.0","2,296.0","2,338.0","2,409.0","2,509.0","2,809.0","3,955.0","4,455.0","4,947.0","4,804.0","5,526.0","5,919.0","5,995.0","6,263.0","6,278.0","7,192.0","7,636.0","7,658.0","7,667.0","8,224.0","8,229.0","8,297.0","8,887.0","9,675.0","10,938.0","11,630.0","12,543.0","13,036.0","14,292.0","15,000.0","15,073.0","15,919.0","18,054.0","20,497.0","22,083.0","22,574.0","24,830.0","28,265.0","31,111.0","34,462.0","35,252.0","36,625.0","35,943.0","40,598.0","45,971.0","49,164.0","54,432.0","58,991.0","62,096.0","66,067.0","65,269.0","63,768.0","66,016.0","69,818.0","75,148.0","78,797.0","83,291.0","88,426.0","95,438.0","104,708.0","114,449.0","117,060.0","122,179.0","125,841.0","134,940.0","143,005.0","149,658.0","150,795.0","143,419.0"
"50","32","    Household textiles","DTEXRC1","747.0","604.0","518.0","390.0","397.0","457.0","483.0","601.0","653.0","587.0","696.0","764.0","928.0","1,122.0","1,323.0","1,468.0","1,542.0","2,027.0","2,107.0","2,336.0","2,337.0","2,661.0","2,870.0","2,661.0","2,592.0","2,424.0","2,592.0","2,687.0","2,706.0","2,630.0","2,781.0","2,830.0","2,950.0","3,171.0","3,262.0","3,599.0","3,871.0","4,257.0","4,479.0","4,782.0","4,739.0","4,669.0","4,669.0","4,915.0","5,445.0","5,766.0","6,035.0","6,549.0","7,152.0","7,863.0","8,696.0","9,433.0","10,357.0","10,842.0","12,396.0","14,252.0","15,577.0","17,747.0","19,166.0","20,089.0","20,376.0","20,436.0","20,545.0","21,986.0","23,435.0","25,571.0","27,109.0","28,854.0","30,130.0","31,039.0","32,955.0","34,243.0","34,036.0","34,955.0","36,193.0","38,184.0","40,220.0","42,109.0","42,978.0","42,156.0"
"51","33","    Household appliances \6\","DHAPRC1","727.0","638.0","540.0","335.0","392.0","494.0","583.0","693.0","798.0","677.0","735.0","834.0","1,090.0","778.0","316.0","217.0","397.0","1,704.0","2,947.0","3,221.0","2,921.0","3,675.0","3,632.0","3,598.0","3,771.0","3,830.0","4,226.0","4,489.0","4,482.0","4,319.0","4,650.0","4,557.0","4,566.0","4,608.0","4,799.0","5,176.0","5,233.0","5,733.0","5,992.0","6,669.0","7,252.0","7,656.0","8,283.0","9,277.0","10,220.0","10,711.0","10,998.0","11,992.0","13,290.0","14,265.0","15,700.0","16,105.0","16,640.0","16,142.0","17,809.0","19,439.0","20,938.0","22,285.0","22,801.0","23,793.0","24,961.0","24,758.0","24,446.0","25,533.0","26,659.0","27,711.0","29,025.0","29,626.0","29,783.0","32,041.0","35,145.0","37,639.0","39,295.0","41,158.0","42,401.0","44,997.0","47,601.0","49,958.0","50,970.0","50,387.0"
"52","34","    Glassware, tableware, and household utensils \7\","DUTERC1","640.0","452.0","437.0","412.0","369.0","410.0","413.0","464.0","524.0","481.0","485.0","521.0","635.0","672.0","627.0","659.0","818.0","1,279.0","1,363.0","1,468.0","1,419.0","1,531.0","1,631.0","1,592.0","1,647.0","1,657.0","1,765.0","1,825.0","1,763.0","1,734.0","1,780.0","1,780.0","1,800.0","1,906.0","1,951.0","2,182.0","2,434.0","2,808.0","3,022.0","3,337.0","3,505.0","3,561.0","3,735.0","4,083.0","4,715.0","5,213.0","5,732.0","6,511.0","7,321.0","8,558.0","9,537.0","10,550.0","11,815.0","12,809.0","13,351.0","14,084.0","14,397.0","15,142.0","15,123.0","16,271.0","17,502.0","18,360.0","18,537.0","20,050.0","21,145.0","22,766.0","23,743.0","24,772.0","25,682.0","28,326.0","31,909.0","35,274.0","37,115.0","39,973.0","41,415.0","43,376.0","45,361.0","47,759.0","49,092.0","48,191.0"
"53","35","    Tools and equipment for house and garden","DTOORC1","160.0","137.0","102.0","74.0","70.0","84.0","89.0","110.0","128.0","117.0","130.0","146.0","182.0","207.0","220.0","248.0","285.0","408.0","472.0","535.0","535.0","612.0","686.0","602.0","557.0","489.0","531.0","567.0","589.0","598.0","654.0","691.0","725.0","804.0","855.0","942.0","1,064.0","1,226.0","1,311.0","1,442.0","1,530.0","1,569.0","1,674.0","1,845.0","2,168.0","2,461.0","2,772.0","3,188.0","3,692.0","4,209.0","4,856.0","5,255.0","5,706.0","5,998.0","6,466.0","7,039.0","7,270.0","7,678.0","8,123.0","8,714.0","9,238.0","9,693.0","9,867.0","10,677.0","11,492.0","12,541.0","13,046.0","13,643.0","14,486.0","15,422.0","16,378.0","17,077.0","17,603.0","18,077.0","19,113.0","20,775.0","22,310.0","23,420.0","23,515.0","23,212.0"
"54","36","    Other household goods and services \8\","DOGSRC1","2,290.0","2,038.0","1,643.0","1,231.0","1,129.0","1,306.0","1,389.0","1,548.0","1,766.0","1,599.0","1,733.0","1,863.0","1,961.0","2,319.0","2,519.0","2,861.0","3,088.0","3,286.0","4,124.0","4,282.0","4,262.0","4,652.0","4,979.0","4,883.0","5,194.0","5,241.0","5,965.0","6,383.0","6,732.0","7,110.0","7,551.0","8,092.0","8,454.0","8,941.0","9,286.0","9,865.0","10,474.0","11,270.0","11,852.0","12,669.0","13,355.0","14,089.0","14,484.0","15,345.0","16,900.0","18,371.0","19,693.0","21,972.0","24,300.0","27,589.0","31,073.0","34,141.0","37,140.0","39,306.0","41,717.0","46,317.0","48,646.0","51,374.0","52,688.0","55,598.0","59,331.0","62,043.0","61,947.0","65,137.0","69,342.0","74,878.0","79,973.0","83,536.0","88,763.0","94,580.0","98,557.0","103,809.0","105,986.0","107,197.0","111,505.0","118,158.0","125,363.0","132,507.0","138,876.0","142,492.0"
"55","37","  Health","DHLTRC1","2,956.0","2,878.0","2,620.0","2,195.0","2,027.0","2,196.0","2,314.0","2,506.0","2,675.0","2,684.0","2,820.0","2,979.0","3,232.0","3,640.0","4,043.0","4,531.0","4,821.0","5,919.0","6,648.0","7,582.0","7,900.0","8,502.0","9,292.0","10,144.0","11,000.0","11,948.0","12,753.0","14,078.0","15,488.0","17,125.0","18,836.0","20,362.0","21,826.0","24,319.0","26,406.0","29,802.0","31,978.0","34,966.0","38,408.0","43,786.0","50,019.0","56,849.0","63,384.0","70,422.0","78,680.0","88,653.0","102,718.0","116,758.0","131,576.0","149,369.0","169,876.0","195,473.0","228,860.0","254,921.0","287,133.0","315,155.0","345,323.0","378,377.0","419,876.0","470,722.0","518,984.0","583,725.0","638,374.0","700,443.0","741,682.0","779,896.0","826,008.0","868,313.0","919,881.0","979,652.0","1,033,335.0","1,109,594.0","1,209,404.0","1,317,081.0","1,403,832.0","1,500,649.0","1,601,456.0","1,688,079.0","1,790,367.0","1,878,194.0"
"56","38","    Medical products, appliances, and equipment","DMPARC1","705.0","673.0","608.0","519.0","497.0","567.0","581.0","623.0","694.0","705.0","751.0","787.0","913.0","1,060.0","1,264.0","1,346.0","1,425.0","1,599.0","1,643.0","1,820.0","1,927.0","2,113.0","2,418.0","2,539.0","2,641.0","2,661.0","2,849.0","3,197.0","3,522.0","3,720.0","4,005.0","4,332.0","4,706.0","5,184.0","5,428.0","5,652.0","5,940.0","6,288.0","6,479.0","7,210.0","7,960.0","9,186.0","9,659.0","10,580.0","11,505.0","12,570.0","13,718.0","14,909.0","15,885.0","18,167.0","21,036.0","23,812.0","26,946.0","29,739.0","34,008.0","38,677.0","43,128.0","48,217.0","53,865.0","60,671.0","67,775.0","77,523.0","82,615.0","87,658.0","92,873.0","99,435.0","106,122.0","116,246.0","128,932.0","147,606.0","169,745.0","191,169.0","212,839.0","234,208.0","254,563.0","270,919.0","285,504.0","307,347.0","320,806.0","323,997.0"
"57","39","      Pharmaceutical and other medical products \9\","DPHMRC1","540.0","508.0","462.0","401.0","382.0","418.0","424.0","455.0","499.0","517.0","547.0","567.0","648.0","758.0","906.0","958.0","1,017.0","1,136.0","1,173.0","1,310.0","1,390.0","1,536.0","1,769.0","1,851.0","1,924.0","1,950.0","2,131.0","2,401.0","2,690.0","2,886.0","3,167.0","3,472.0","3,819.0","4,127.0","4,381.0","4,495.0","4,677.0","4,879.0","5,210.0","5,744.0","6,294.0","7,282.0","7,720.0","8,413.0","9,095.0","9,868.0","10,680.0","11,652.0","12,371.0","14,218.0","16,509.0","18,740.0","21,286.0","23,496.0","26,872.0","30,318.0","33,510.0","37,207.0","41,265.0","45,903.0","51,906.0","59,118.0","65,101.0","69,561.0","73,991.0","79,060.0","85,109.0","93,241.0","103,671.0","119,792.0","140,041.0","159,000.0","181,006.0","200,165.0","219,566.0","234,493.0","247,268.0","267,136.0","277,624.0","279,446.0"
"58","40","        Pharmaceutical products","DPNPRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,061.0","3,344.0","3,681.0","3,977.0","4,274.0","4,366.0","4,537.0","4,722.0","5,089.0","5,604.0","6,135.0","7,086.0","7,506.0","8,197.0","8,858.0","9,560.0","10,349.0","11,320.0","12,009.0","13,799.0","16,051.0","18,260.0","20,799.0","22,988.0","26,297.0","29,659.0","32,774.0","36,386.0","40,365.0","44,929.0","50,794.0","57,868.0","63,756.0","68,196.0","72,609.0","77,692.0","83,758.0","91,918.0","102,346.0","118,258.0","138,306.0","157,050.0","178,948.0","198,000.0","217,308.0","232,077.0","244,722.0","264,387.0","274,662.0","276,244.0"
"59","41","        Other medical products","DOMPRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","106.0","128.0","137.0","150.0","107.0","129.0","140.0","157.0","120.0","140.0","159.0","196.0","214.0","216.0","237.0","308.0","332.0","332.0","362.0","419.0","458.0","480.0","486.0","508.0","575.0","659.0","736.0","820.0","899.0","974.0","1,112.0","1,250.0","1,346.0","1,365.0","1,382.0","1,368.0","1,351.0","1,323.0","1,325.0","1,534.0","1,735.0","1,950.0","2,058.0","2,165.0","2,259.0","2,415.0","2,546.0","2,749.0","2,962.0","3,202.0"
"60","42","      Therapeutic appliances and equipment","DTAERC1","165.0","165.0","146.0","118.0","115.0","149.0","157.0","168.0","195.0","188.0","204.0","220.0","265.0","302.0","358.0","388.0","408.0","463.0","470.0","510.0","537.0","577.0","649.0","688.0","717.0","711.0","718.0","796.0","832.0","834.0","838.0","860.0","888.0","1,057.0","1,047.0","1,157.0","1,263.0","1,409.0","1,270.0","1,466.0","1,666.0","1,904.0","1,939.0","2,167.0","2,410.0","2,702.0","3,037.0","3,257.0","3,514.0","3,949.0","4,527.0","5,072.0","5,661.0","6,243.0","7,136.0","8,359.0","9,618.0","11,011.0","12,601.0","14,768.0","15,869.0","18,405.0","17,513.0","18,097.0","18,882.0","20,375.0","21,013.0","23,005.0","25,261.0","27,814.0","29,704.0","32,169.0","31,833.0","34,043.0","34,996.0","36,427.0","38,236.0","40,211.0","43,182.0","44,551.0"
"61","43","    Outpatient services","DOUTRC1","1,679.0","1,608.0","1,418.0","1,120.0","1,025.0","1,111.0","1,177.0","1,308.0","1,364.0","1,344.0","1,411.0","1,497.0","1,587.0","1,740.0","1,827.0","2,128.0","2,243.0","2,900.0","3,277.0","3,778.0","3,815.0","3,980.0","4,219.0","4,604.0","5,066.0","5,697.0","5,961.0","6,514.0","7,101.0","7,872.0","8,653.0","9,155.0","9,618.0","10,712.0","11,506.0","13,528.0","14,450.0","15,395.0","16,279.0","17,813.0","19,946.0","22,305.0","24,093.0","26,305.0","29,855.0","33,157.0","38,494.0","43,353.0","49,497.0","54,731.0","61,534.0","70,635.0","83,585.0","90,693.0","103,303.0","115,770.0","129,444.0","143,356.0","164,431.0","186,187.0","204,641.0","232,126.0","253,768.0","282,638.0","297,450.0","314,563.0","336,597.0","351,312.0","369,147.0","390,430.0","407,136.0","436,625.0","475,797.0","514,722.0","552,062.0","593,685.0","636,465.0","665,008.0","707,258.0","747,172.0"
"62","44","      Physician services \10\","DPHYRC1","962.0","926.0","821.0","663.0","619.0","680.0","733.0","822.0","856.0","835.0","868.0","915.0","960.0","1,051.0","1,095.0","1,325.0","1,374.0","1,811.0","2,124.0","2,446.0","2,470.0","2,575.0","2,752.0","3,001.0","3,285.0","3,680.0","3,819.0","4,190.0","4,580.0","5,131.0","5,533.0","5,768.0","5,945.0","6,529.0","6,954.0","8,193.0","8,559.0","9,095.0","10,067.0","10,948.0","12,431.0","14,012.0","15,344.0","16,657.0","18,452.0","20,398.0","23,571.0","25,893.0","29,728.0","32,714.0","37,171.0","43,271.0","50,993.0","55,822.0","62,858.0","69,928.0","77,489.0","85,370.0","99,137.0","112,466.0","121,895.0","134,774.0","144,894.0","158,661.0","162,051.0","168,259.0","177,849.0","183,405.0","190,873.0","202,021.0","212,102.0","229,244.0","249,300.0","269,306.0","291,331.0","311,360.0","332,403.0","346,793.0","365,612.0","381,814.0"
"63","45","      Dental services","DDENRC1","482.0","463.0","408.0","312.0","276.0","295.0","302.0","331.0","350.0","356.0","386.0","419.0","459.0","505.0","539.0","573.0","620.0","772.0","785.0","910.0","920.0","962.0","1,003.0","1,110.0","1,247.0","1,428.0","1,532.0","1,654.0","1,781.0","1,897.0","1,950.0","2,028.0","2,115.0","2,272.0","2,307.0","2,685.0","2,849.0","3,002.0","3,387.0","3,719.0","4,326.0","4,872.0","5,139.0","5,644.0","6,592.0","7,253.0","8,218.0","9,250.0","10,274.0","11,335.0","12,281.0","13,730.0","16,121.0","17,370.0","18,868.0","20,601.0","22,569.0","24,217.0","26,767.0","28,414.0","30,328.0","32,421.0","34,082.0","37,636.0","39,573.0","42,224.0","45,389.0","47,800.0","50,931.0","54,627.0","58,491.0","63,573.0","69,324.0","75,568.0","78,123.0","83,943.0","88,999.0","93,542.0","99,329.0","103,493.0"
"64","46","      Paramedical services","DPMSRC1","235.0","219.0","189.0","145.0","130.0","136.0","142.0","155.0","158.0","153.0","157.0","163.0","168.0","184.0","193.0","230.0","249.0","317.0","368.0","422.0","425.0","443.0","464.0","493.0","534.0","589.0","610.0","670.0","740.0","844.0","1,170.0","1,359.0","1,558.0","1,911.0","2,245.0","2,650.0","3,042.0","3,298.0","2,825.0","3,146.0","3,189.0","3,421.0","3,610.0","4,004.0","4,811.0","5,506.0","6,705.0","8,210.0","9,495.0","10,682.0","12,082.0","13,634.0","16,471.0","17,501.0","21,577.0","25,241.0","29,386.0","33,769.0","38,527.0","45,307.0","52,418.0","64,931.0","74,792.0","86,341.0","95,826.0","104,080.0","113,359.0","120,107.0","127,343.0","133,782.0","136,543.0","143,808.0","157,173.0","169,848.0","182,608.0","198,382.0","215,063.0","224,673.0","242,317.0","261,865.0"
"65","47","        Home health care","DHHCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,987.0","11,999.0","14,347.0","18,399.0","22,086.0","27,026.0","31,874.0","36,662.0","41,608.0","44,450.0","45,667.0","45,303.0","43,177.0","42,801.0","45,425.0","47,032.0","50,186.0","56,134.0","61,216.0","64,064.0","70,866.0","77,922.0"
