"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"37","18","      Motor vehicle dealers \2\","C631RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,082.0","4,918.0","-1,849.0","-4,141.0","11,544.0","2,139.0","935.0","-838.0","-8,821.0","58.0","-32.0","35.0","946.0","-261.0","3,057.0","3,100.0","1,404.0","-1,003.0","1,766.0","5,756.0","3,353.0","1,591.0","4,836.0","-8,843.0","8,901.0","5,934.0","3,126.0","3,680.0","777.0","6,760.0","-4,292.0","5,642.0","-3,755.0","-7,427.0","-4,448.0","3,533.0","4,928.0","6,688.0","-5,325.0","13,366.0","688.0","-1,607.0","6,361.0","3,998.0","-4,207.0","2,962.0","2,137.0","-16,463.0","17,916.0","10,508.0","17,690.0","-10,308.0","-289.0","-147.0","-975.0","5,343.0","6,600.0","9,246.0","4,246.0","6,913.0","-3,018.0","-5,567.0","-3,451.0","12,893.0","-15,982.0","2,770.0","7,633.0","-8,673.0","6,837.0","1,510.0","5,999.0","1,660.0","6,269.0","4,432.0","6,261.0","7,129.0","5,553.0","-3,632.0","-1,985.0","13,388.0","6,823.0","12,833.0","-12,817.0","-6,468.0","-11,467.0","-12,165.0","-6,919.0","-508.0","-8,971.0","11,712.0","143.0","-1,635.0","-9,579.0","2,311.0","12,754.0","-15,786.0","2,450.0","4,078.0","4,440.0","6,966.0","13,566.0","-1,558.0","-4,446.0","19,594.0","260.0","6,236.0","-552.0","25,110.0","13,192.0","870.0","-23,429.0","3,128.0","34,018.0","3,985.0","-8,885.0","16,108.0","-19,096.0","9,012.0","3,822.0","14,438.0","21,696.0","-10,574.0","-12,626.0","20,650.0","-20,465.0","9,334.0","6,876.0","-2,073.0","-21,693.0","3,162.0","7,089.0","-4,553.0","1,607.0","4,005.0","-1,734.0","1,708.0","21,167.0","3,684.0","-8,177.0","-855.0","11,756.0","2,912.0","6,029.0","8,967.0","13,872.0","6,912.0","-4,841.0","6,331.0","-15,208.0","12,181.0","14,515.0","-1,465.0","-4,626.0","2,988.0","6,875.0","11,976.0"
"38","19","      Other \2\","A632RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","378.0","517.0","527.0","518.0","265.0","-211.0","-91.0","91.0","-683.0","-987.0","-909.0","-525.0","171.0","457.0","1,174.0","-185.0","-552.0","-88.0","759.0","984.0","1,318.0","1,350.0","-92.0","1,653.0","2,668.0","-379.0","390.0","-930.0","3,271.0","2,398.0","1,231.0","-742.0","-392.0","1,402.0","794.0","-67.0","694.0","2,147.0","1,241.0","1,573.0","1,075.0","829.0","2,499.0","912.0","329.0","88.0","366.0","1,432.0","1,746.0","1,035.0","1,839.0","2,167.0","3,167.0","3,515.0","3,604.0","5,484.0","1,750.0","4,348.0","1,038.0","-111.0","2,519.0","600.0","-1,573.0","965.0","-3,074.0","-758.0","1,119.0","2,500.0","1,618.0","3,827.0","3,060.0","2,388.0","763.0","377.0","1,921.0","-278.0","4,038.0","3,643.0","1,492.0","135.0","-445.0","82.0","228.0","-1,365.0","191.0","-185.0","-1,361.0","-1,366.0","4,538.0","621.0","1,596.0","2,401.0","-3,557.0","-2,401.0","510.0","1,437.0","2,706.0","3,868.0","2,587.0","2,648.0","5,051.0","4,656.0","821.0","5,189.0","3,499.0","1,566.0","4,491.0","1,186.0","5,804.0","1,524.0","3,196.0","-4,750.0","1,027.0","8,278.0","1,532.0","6,745.0","3,486.0","1,765.0","4,553.0","2,371.0","1,311.0","2,294.0","4,773.0","603.0","3,578.0","2,579.0","-2,234.0","-3,012.0","-4,399.0","-868.0","1,682.0","-180.0","-3,594.0","2,062.0","-938.0","2,083.0","3,567.0","2,185.0","4,829.0","9,090.0","3,054.0","9,171.0","4,922.0","5,505.0","2,580.0","4,639.0","7,435.0","-1,569.0","3,391.0","2,337.0","1,437.0","1,621.0","1,160.0","5,417.0","5,425.0","3,115.0"
"39","20","    Nondurable goods","C633RX1","-6,560.0","216.0","-4,590.0","7,488.0","3,114.0","332.0","1,679.0","2,330.0","-1,920.0","1,530.0","-933.0","585.0","4,702.0","1,679.0","5,374.0","-634.0","6,493.0","-1,601.0","-6,075.0","-655.0","-2,546.0","-1,526.0","3,545.0","2,077.0","-970.0","2,322.0","-1,190.0","614.0","1,999.0","236.0","1,431.0","116.0","3,645.0","605.0","3,043.0","3,267.0","311.0","3,782.0","610.0","809.0","833.0","709.0","-70.0","-336.0","-17.0","1,144.0","1,766.0","1,634.0","1,899.0","3,326.0","2,172.0","2,406.0","5,433.0","-1,030.0","1,675.0","-648.0","-930.0","1,843.0","3,805.0","2,358.0","4,473.0","2,466.0","987.0","3,349.0","3,161.0","1,162.0","1,868.0","1,310.0","1,560.0","4,833.0","2,662.0","1,832.0","4,044.0","1,849.0","94.0","5,268.0","3,861.0","4,160.0","1,437.0","4,355.0","5,598.0","1,683.0","-784.0","2,284.0","3,327.0","223.0","2,674.0","2,210.0","2,930.0","5,230.0","3,904.0","2,314.0","145.0","3,933.0","3,032.0","4,947.0","6,864.0","1,742.0","4,774.0","6,547.0","3,394.0","6,322.0","3,916.0","3,395.0","4,325.0","2,639.0","-4,733.0","9,716.0","-4,174.0","1,638.0","-2,412.0","-7,433.0","-6,019.0","-9,099.0","-2,365.0","1,125.0","12,535.0","4,487.0","-1,800.0","75.0","1,433.0","3,076.0","1,914.0","2,262.0","6,716.0","8,511.0","3,297.0","534.0","-5,148.0","2,745.0","497.0","2,968.0","2,746.0","7,185.0","4,996.0","-1,217.0","6,405.0","2,555.0","10,467.0","5,895.0","-4,198.0","2,022.0","-286.0","1,523.0","2,353.0","9,222.0","6,640.0","6,464.0","19,485.0","10,998.0","6,777.0","8,896.0","1,093.0","3,800.0","10,050.0","5,576.0","7,490.0","-276.0","6,388.0","968.0","5,605.0","6,980.0","3,194.0","6,023.0","7,161.0","64.0","2,906.0","-626.0","8,150.0","11,231.0","6,720.0","5,335.0","913.0","2,674.0","-3,184.0","-1,870.0","4,118.0","2,819.0","4,184.0","12,481.0","-2,123.0","4,121.0","6,080.0","6,373.0","14,675.0","2,157.0","6,209.0","2,958.0","510.0","18,261.0","3,774.0","6,407.0","5,608.0","6,043.0","2,159.0","-1,658.0","-2,738.0","464.0","7,080.0","5,716.0","2,700.0","9,605.0","5,633.0","1,045.0"
"40","21","  Other","A154RX1","-3,334.0","1,197.0","3,606.0","3,747.0","-2,156.0","-394.0","157.0","589.0","0.0","-2,623.0","-3,770.0","-4,076.0","1,063.0","921.0","1,728.0","8,075.0","1,273.0","2,459.0","2,952.0","4,267.0","3,606.0","1,193.0","-268.0","-3,556.0","-1,969.0","-3,846.0","-2,608.0","-3,017.0","616.0","-329.0","122.0","214.0","-1,438.0","157.0","-1,246.0","-2,107.0","2,822.0","1,881.0","1,927.0","4,087.0","1,472.0","-195.0","3,304.0","2,894.0","-27.0","0.0","-92.0","-96.0","608.0","2,264.0","564.0","2,740.0","121.0","2,544.0","1,507.0","303.0","2,729.0","3,610.0","2,769.0","5,667.0","-337.0","710.0","-397.0","-469.0","3,192.0","2,986.0","1,052.0","3,641.0","1,510.0","4,886.0","2,402.0","1,644.0","1,586.0","3,393.0","944.0","1,741.0","-72.0","-445.0","1,287.0","4,207.0","2,806.0","5,254.0","8,065.0","6,504.0","2,958.0","18.0","2,793.0","321.0","2,699.0","4,552.0","3,400.0","757.0","-428.0","-1,016.0","424.0","3,614.0","2,605.0","3,934.0","-871.0","2,841.0","3,310.0","4,321.0","1,933.0","2,463.0","2,860.0","1,424.0","3,704.0","5,128.0","12,150.0","-1,650.0","461.0","6,524.0","-4,088.0","1,749.0","3,416.0","6,548.0","4,554.0","4,198.0","-4,602.0","-1,045.0","10,848.0","-382.0","11,861.0","-42.0","6,050.0","4,460.0","9,399.0","-793.0","2,348.0","814.0","-1,308.0","-2,099.0","-11,580.0","4,781.0","-3,443.0","4,613.0","7,059.0","-3,247.0","18,203.0","15,317.0","3,235.0","1,548.0","-5,542.0","-10,656.0","8,574.0","-1,767.0","-6,570.0","-4,458.0","-24.0","-1,935.0","1,844.0","5,398.0","5,491.0","4,164.0","6,641.0","4,179.0","6,512.0","10,138.0","2,582.0","-5,193.0","2,514.0","1,656.0","-454.0","6,327.0","-2,007.0","-1,841.0","-2,005.0","-256.0","-3,548.0","-9,056.0","10.0","-5,273.0","2,222.0","907.0","-4,255.0","-13,494.0","2,723.0","8,426.0","412.0","3,117.0","6,754.0","30.0","-96.0","4,828.0","-2,861.0","9,346.0","1,577.0","5,809.0","4,284.0","6,716.0","-757.0","9,464.0","4,022.0","-1,042.0","109.0","6,964.0","-211.0","1,559.0","3,283.0","2,532.0","8,753.0","8,491.0","6,914.0","4,709.0"
"41","22","    Durable goods","C636RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","895.0","341.0","-521.0","522.0","60.0","-41.0","165.0","624.0","1,438.0","829.0","1,436.0","1,358.0","480.0","499.0","396.0","-126.0","420.0","272.0","-165.0","-644.0","786.0","535.0","-617.0","494.0","1,086.0","1,184.0","-101.0","-101.0","-1,101.0","-823.0","-157.0","848.0","-550.0","825.0","1,126.0","947.0","-1,054.0","-1,561.0","-1,086.0","-1,024.0","-1,797.0","-77.0","2,228.0","-403.0","-174.0","-787.0","-781.0","822.0","190.0","-564.0","-2,031.0","-1,297.0","1,705.0","455.0","-536.0","223.0","3,037.0","-998.0","2,352.0","1,186.0","982.0","-1,877.0","1,138.0","37.0","-1,968.0","-915.0","1,447.0","262.0","1,264.0","-242.0","-1,847.0","211.0","226.0","2,467.0","-118.0","-1,481.0","2,077.0","2,200.0","1,178.0","-1,206.0","1,358.0","766.0","-70.0","-2,202.0","-606.0","-3,751.0","64.0","2,868.0","1,654.0","-304.0","466.0","-770.0","1,960.0","1,046.0","-74.0","1,482.0","735.0","-653.0","439.0","-4,252.0","3,871.0","497.0","-1,645.0","-2,139.0","234.0","-1,591.0","-1,379.0","637.0","-856.0","-1,152.0","-1,688.0","-207.0","-245.0","587.0","450.0","477.0","-600.0","-1,294.0","-1,179.0","1,545.0","354.0","244.0","328.0","1,600.0","1,813.0","17.0","-571.0","-1,465.0","-3,319.0","-823.0","2,436.0","-96.0","2,969.0","518.0","-1,801.0","757.0","-2,625.0","1,058.0","418.0","2,452.0","2,003.0","89.0","673.0","15.0","741.0","-939.0","-73.0","473.0","2,130.0","-1,779.0","927.0","438.0","994.0","1,244.0","1,393.0","829.0"
"42","23","    Nondurable goods","C637RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-422.0","1,902.0","1,192.0","2,177.0","52.0","2,637.0","1,339.0","-413.0","1,120.0","2,709.0","1,128.0","4,182.0","-904.0","135.0","-867.0","-325.0","2,753.0","2,716.0","1,264.0","4,462.0","609.0","4,345.0","3,182.0","1,093.0","363.0","2,084.0","1,081.0","1,886.0","1,167.0","478.0","1,470.0","3,298.0","3,441.0","4,397.0","6,903.0","5,522.0","4,176.0","1,805.0","4,106.0","1,542.0","4,912.0","4,702.0","846.0","1,183.0","-237.0","-171.0","1,265.0","2,770.0","2,410.0","4,584.0","1,383.0","4,351.0","1,397.0","3,856.0","2,576.0","2,237.0","-652.0","2,658.0","1,007.0","3,852.0","11,191.0","354.0","-730.0","6,509.0","-2,093.0","2,706.0","1,938.0","6,314.0","3,251.0","4,482.0","-2,687.0","-1,273.0","10,656.0","-2,925.0","12,031.0","1,509.0","3,879.0","2,130.0","8,206.0","501.0","953.0","60.0","-1,198.0","87.0","-10,982.0","8,091.0","-3,485.0","2,071.0","5,613.0","-2,942.0","17,617.0","15,761.0","1,617.0","692.0","-5,408.0","-11,666.0","7,855.0","-1,230.0","-6,874.0","-899.0","-3,251.0","-2,328.0","3,183.0","7,133.0","5,231.0","5,482.0","7,769.0","3,586.0","7,196.0","11,114.0","4,137.0","-4,994.0","2,727.0","1,101.0","-873.0","5,849.0","-1,421.0","-567.0","-833.0","-1,788.0","-3,895.0","-9,276.0","-311.0","-6,794.0","502.0","899.0","-3,689.0","-12,065.0","5,777.0","9,191.0","-1,906.0","3,208.0","3,868.0","-466.0","1,645.0","4,097.0","-250.0","8,300.0","1,178.0","3,336.0","2,217.0","6,627.0","-1,470.0","9,467.0","3,246.0","-52.0","187.0","6,485.0","-2,394.0","3,386.0","2,339.0","2,095.0","7,823.0","7,228.0","5,458.0","3,947.0"
"43","24","Residual","A969RX1","-200.0","-3,400.0","-6,900.0","-5,400.0","1,000.0","2,300.0","2,100.0","2,200.0","-1,200.0","1,300.0","1,900.0","1,700.0","-1,300.0","-1,800.0","0.0","-7,900.0","-1,600.0","-6,300.0","-5,200.0","-2,700.0","-2,500.0","2,300.0","1,800.0","1,800.0","1,700.0","2,200.0","2,100.0","2,100.0","0.0","-500.0","100.0","-900.0","1,000.0","-200.0","600.0","2,100.0","500.0","-500.0","-2,300.0","-1,100.0","-200.0","1,400.0","600.0","-1,500.0","-1,400.0","-300.0","800.0","-100.0","-100.0","-900.0","-2,700.0","-2,300.0","2,900.0","-1,900.0","200.0","-1,800.0","-4,500.0","-2,600.0","900.0","-900.0","2,900.0","-500.0","1,700.0","-300.0","900.0","-600.0","-1,100.0","-3,200.0","-300.0","-1,200.0","-200.0","700.0","2,200.0","900.0","2,300.0","-400.0","1,900.0","500.0","4,300.0","-1,500.0","700.0","1,800.0","-2,300.0","-2,000.0","1,000.0","1,300.0","-400.0","-500.0","1,000.0","-400.0","-1,200.0","1,600.0","-1,200.0","-2,900.0","100.0","-5,400.0","0.0","-2,200.0","-200.0","-5,500.0","1,100.0","300.0","300.0","200.0","-6,200.0","6,800.0","5,100.0","-5,600.0","-9,900.0","-3,700.0","1,500.0","-10,700.0","9,000.0","4,200.0","-4,400.0","-3,900.0","-4,200.0","-3,500.0","1,000.0","3,200.0","-6,100.0","-800.0","-1,900.0","400.0","-500.0","2,100.0","2,200.0","-1,900.0","4,400.0","500.0","3,400.0","1,600.0","400.0","-1,600.0","-3,500.0","-2,100.0","1,600.0","-200.0","500.0","-2,900.0","-1,700.0","400.0","-2,500.0","-4,400.0","-5,700.0","800.0","-5,600.0","1,700.0","-2,300.0","2,300.0","3,100.0","3,700.0","-1,500.0","-900.0","-2,500.0","-7,600.0","-1,600.0","-2,600.0","-1,800.0","-4,100.0","1,500.0","4,000.0","-1,200.0","2,000.0","1,200.0","-1,700.0","4,400.0","2,800.0","4,000.0","1,400.0","-400.0","500.0","0.0","-800.0","700.0","200.0","-3,800.0","-4,600.0","-1,300.0","-4,000.0","-5,800.0","-300.0","-2,600.0","-4,200.0","1,500.0","-1,500.0","1,300.0","3,300.0","1,600.0","3,000.0","1,500.0","1,200.0","3,000.0","3,200.0","3,700.0","2,700.0","-100.0","2,200.0","3,300.0","-1,700.0","4,300.0","5,800.0","-2,200.0","-4,500.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1986 and earlier periods are based on the 1972 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(SIC). Manufacturing estimates for 1981 and earlier periods and trade estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
