"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"80","62","  Corporate profits","B394RC1","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0","56,984.0","67,129.0","76,088.0","76,469.0","73,090.0","76,930.0","77,966.0","92,947.0","101,971.0","107,556.0","102,762.0","121,516.0","145,624.0","169,701.0","157,887.0","165,751.0","205,027.0","239,442.0","256,841.0","347,752.0","377,200.0"
"81","63","  Net interest","A1627C1","109.0","97.0","93.0","134.0","95.0","108.0","190.0","165.0","57.0","41.0","177.0","124.0","130.0","347.0","420.0","458.0","505.0","569.0","519.0","589.0","437.0","-502.0","-730.0","-282.0","-971.0","-2,266.0","-1,926.0","-1,583.0","336.0","1,241.0","-1,189.0","-2,603.0","-1,188.0","3,412.0","4,116.0","2,202.0","-68.0","-11,344.0","-20,079.0","-29,000.0","-32,757.0","-39,923.0","-39,359.0","-43,809.0","-40,983.0","-42,425.0","-49,874.0","-59,200.0","-66,175.0","-79,702.0","-80,882.0","-88,501.0","-103,190.0","-112,571.0","-103,195.0","-91,359.0","-107,671.0","-135,886.0","-177,813.0","-224,933.0","-227,969.0"
"82",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","64","    Corporate profits with IVA and CCAdj","A445RC1","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,193,945.0","983,188.0"
"85","65","      Profits before tax (without IVA and CCAdj)","E561RC1","34,615.0","28,482.0","41,964.0","43,044.0","38,342.0","39,885.0","37,381.0","47,530.0","47,642.0","45,988.0","40,440.0","51,038.0","48,494.0","48,253.0","53,234.0","57,998.0","64,627.0","75,444.0","82,172.0","78,772.0","86,803.0","84,776.0","73,892.0","85,024.0","98,688.0","120,073.0","130,307.0","130,911.0","163,190.0","191,395.0","223,267.0","237,522.0","218,071.0","214,063.0","166,029.0","198,940.0","232,042.0","219,358.0","206,487.0","275,087.0","332,939.0","323,326.0","335,598.0","348,916.0","401,309.0","442,090.0","521,066.0","591,350.0","638,764.0","694,205.0","620,119.0","658,996.0","626,835.0","543,021.0","607,460.0","737,721.0","1,024,377.0","1,400,717.0","1,565,879.0","1,426,637.0","1,085,549.0"
"86","66","      Inventory valuation adjustment","B058RC1","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-44,009.0","-38,219.0"
"87","67","      Corporate capital consumption adjustment","A059RC1","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-188,684.0","-64,141.0"
"88",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","68","    Proprietors' income with IVA and CCAdj","A1645C1","39,252.0","34,654.0","37,515.0","42,689.0","43,109.0","42,050.0","42,309.0","44,293.0","45,906.0","47,879.0","50,245.0","50,008.0","50,362.0","52,812.0","54,879.0","56,074.0","58,895.0","63,445.0","67,774.0","69,367.0","73,724.0","77,059.0","78,028.0","84,206.0","95,478.0","113,025.0","112,919.0","119,058.0","131,670.0","145,412.0","166,871.0","180,442.0","172,897.0","181,012.0","174,105.0","189,646.0","231,805.0","245,077.0","261,573.0","292,615.0","332,984.0","349,660.0","363,599.0","365,482.0","413,013.0","447,670.0","482,669.0","513,518.0","581,341.0","625,590.0","685,553.0","745,350.0","816,094.0","869,327.0","889,013.0","929,413.0","1,031,444.0","1,067,352.0","1,129,993.0","1,092,796.0","1,102,002.0"
"90","69","      Farm proprietors' income with IVA and CCAdj","B042RC1","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","39,432.0","48,735.0"
"91","70","        Proprietors' income with IVA","A043RC1","17,139.0","12,445.0","13,310.0","15,841.0","14,889.0","12,709.0","12,243.0","11,161.0","11,114.0","11,142.0","13,030.0","10,668.0","11,198.0","11,769.0","11,726.0","11,503.0","10,270.0","12,541.0","13,566.0","12,250.0","12,337.0","13,623.0","13,798.0","14,450.0","18,202.0","30,328.0","25,290.0","24,614.0","20,127.0","19,251.0","23,646.0","26,578.0","17,285.0","25,573.0","20,424.0","13,148.0","27,615.0","27,170.0","28,904.0","34,773.0","32,535.0","38,786.0","37,860.0","33,182.0","41,369.0","37,428.0","40,938.0","28,688.0","43,552.0","37,391.0","33,482.0","33,034.0","34,099.0","34,965.0","22,814.0","40,976.0","54,546.0","49,415.0","35,352.0","45,795.0","55,560.0"
"92","71","        Capital consumption adjustment","B044RC1","-435.0","-456.0","-438.0","-538.0","-576.0","-540.0","-494.0","-445.0","-526.0","-592.0","-608.0","-624.0","-550.0","-520.0","-509.0","-493.0","-489.0","-512.0","-548.0","-608.0","-677.0","-790.0","-904.0","-1,064.0","-1,179.0","-1,253.0","-1,822.0","-2,615.0","-2,917.0","-3,287.0","-3,724.0","-4,428.0","-5,578.0","-6,545.0","-7,110.0","-6,975.0","-6,677.0","-6,194.0","-6,067.0","-5,866.0","-5,733.0","-5,764.0","-5,692.0","-5,678.0","-5,560.0","-5,401.0","-5,342.0","-5,251.0","-5,116.0","-4,803.0","-4,602.0","-4,539.0","-4,467.0","-4,442.0","-4,362.0","-4,441.0","-4,883.0","-5,539.0","-6,017.0","-6,363.0","-6,825.0"
"93","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1","22,548.0","22,665.0","24,643.0","27,386.0","28,796.0","29,881.0","30,560.0","33,577.0","35,318.0","37,329.0","37,823.0","39,964.0","39,714.0","41,563.0","43,662.0","45,064.0","49,114.0","51,416.0","54,756.0","57,725.0","62,064.0","64,226.0","65,134.0","70,820.0","78,455.0","83,950.0","89,451.0","97,059.0","114,460.0","129,448.0","146,949.0","158,292.0","161,190.0","161,984.0","160,791.0","183,473.0","210,867.0","224,101.0","238,736.0","263,708.0","306,182.0","316,638.0","331,431.0","337,978.0","377,204.0","415,643.0","447,073.0","490,081.0","542,905.0","593,002.0","656,673.0","716,855.0","786,462.0","838,804.0","870,561.0","892,878.0","981,781.0","1,023,476.0","1,100,658.0","1,053,364.0","1,053,267.0"
"94","73","        Proprietor's income (without IVA and CCAdj)","A1647C1","23,226.0","22,242.0","25,735.0","27,828.0","28,609.0","29,970.0","30,484.0","33,708.0","35,580.0","37,436.0","37,880.0","39,966.0","39,619.0","41,604.0","43,625.0","44,991.0","48,989.0","51,667.0","55,207.0","58,177.0","62,910.0","65,021.0","66,088.0","72,029.0","79,262.0","85,829.0","93,054.0","98,658.0","115,763.0","130,398.0","148,154.0","159,078.0","161,604.0","156,646.0","153,640.0","167,311.0","184,422.0","188,856.0","198,240.0","227,406.0","269,262.0","278,872.0","303,039.0","311,760.0","348,336.0","384,726.0","419,711.0","462,264.0","508,429.0","547,918.0","606,269.0","655,691.0","715,377.0","742,944.0","761,797.0","773,149.0","858,850.0","933,251.0","1,000,555.0","946,007.0","882,858.0"
"95","74","          Inventory valuation adjustment","B179RC1","-410.0","463.0","-1,094.0","-327.0","201.0","-168.0","-49.0","-198.0","-502.0","-300.0","-56.0","-32.0","25.0","3.0","-4.0","-44.0","-56.0","-166.0","-224.0","-204.0","-413.0","-464.0","-533.0","-557.0","-721.0","-1,887.0","-3,393.0","-1,105.0","-1,060.0","-1,111.0","-1,887.0","-2,637.0","-2,890.0","-1,255.0","-503.0","-516.0","-402.0","-186.0","-38.0","-811.0","-1,200.0","-1,320.0","-1,118.0","-120.0","-537.0","-431.0","-738.0","-1,469.0","-404.0","987.0","1,281.0","-885.0","-1,730.0","984.0","-392.0","-1,521.0","-4,228.0","-4,065.0","-3,633.0","-6,247.0","-5,091.0"
"96","75","          Capital consumption adjustment","A2205C1","-268.0","-40.0","2.0","-115.0","-14.0","79.0","125.0","67.0","240.0","193.0","-1.0","30.0","70.0","-44.0","41.0","117.0","181.0","-85.0","-227.0","-248.0","-433.0","-331.0","-421.0","-652.0","-86.0","8.0","-210.0","-494.0","-243.0","161.0","682.0","1,851.0","2,476.0","6,593.0","7,654.0","16,678.0","26,847.0","35,431.0","40,534.0","37,113.0","38,120.0","39,086.0","29,510.0","26,338.0","29,405.0","31,348.0","28,100.0","29,286.0","34,880.0","44,097.0","49,123.0","62,049.0","72,815.0","94,876.0","109,156.0","121,250.0","127,159.0","94,290.0","103,736.0","113,604.0","175,500.0"
"97",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","    Proprietors' income with IVA and CCAdj","A1654C1","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","318.0","345.0","387.0","425.0","448.0","456.0","458.0","474.0","481.0","466.0","449.0","449.0","477.0","558.0","602.0","564.0","550.0","570.0","617.0","633.0","668.0","570.0","604.0","728.0","1,004.0","1,264.0","1,026.0","990.0","1,632.0","1,855.0","1,916.0","1,545.0","1,799.0","1,908.0","1,946.0","2,436.0","2,507.0","2,342.0","2,643.0","1,978.0","1,452.0","1,364.0","1,398.0","1,279.0","1,233.0","2,312.0","2,430.0","2,968.0","3,555.0","4,273.0"
"99","77","      Proprietors' income with IVA","B1207C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","378.0","395.0","429.0","462.0","482.0","490.0","493.0","509.0","524.0","520.0","512.0","527.0","574.0","663.0","721.0","732.0","796.0","853.0","936.0","994.0","1,085.0","1,085.0","1,193.0","1,345.0","1,616.0","1,860.0","1,607.0","1,565.0","2,209.0","2,464.0","2,555.0","2,211.0","2,465.0","2,560.0","2,596.0","3,094.0","3,173.0","2,992.0","3,274.0","2,571.0","2,021.0","1,944.0","1,966.0","1,835.0","1,775.0","2,892.0","3,076.0","3,699.0","4,361.0","5,155.0"
"100","78","      Capital consumption adjustment","B1411C1","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","-60.0","-50.0","-42.0","-37.0","-34.0","-34.0","-35.0","-35.0","-43.0","-54.0","-63.0","-78.0","-97.0","-105.0","-119.0","-168.0","-246.0","-283.0","-319.0","-361.0","-417.0","-515.0","-589.0","-617.0","-612.0","-596.0","-581.0","-575.0","-577.0","-609.0","-639.0","-666.0","-666.0","-652.0","-650.0","-658.0","-666.0","-650.0","-631.0","-593.0","-569.0","-580.0","-568.0","-556.0","-542.0","-580.0","-646.0","-731.0","-806.0","-882.0"
"101","79","    Rental income of persons with CCAdj","W155RC1","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","69,310.0","81,115.0"
"102","80","      Rental income of persons (without CCAdj)","W488RC1","5,070.0","4,961.0","5,335.0","5,700.0","5,834.0","5,923.0","6,014.0","5,983.0","6,074.0","6,031.0","6,246.0","6,092.0","6,070.0","6,107.0","6,130.0","6,362.0","6,348.0","6,586.0","6,699.0","6,683.0","6,882.0","6,959.0","7,236.0","7,419.0","8,640.0","10,217.0","10,390.0","10,927.0","11,220.0","12,431.0","13,688.0","15,563.0","19,209.0","25,583.0","30,055.0","31,709.0","34,564.0","38,678.0","35,413.0","34,116.0","32,729.0","32,566.0","36,622.0","41,842.0","49,608.0","55,326.0","60,120.0","64,524.0","67,027.0","70,209.0","69,956.0","70,265.0","71,080.0","75,556.0","70,052.0","67,002.0","68,410.0","71,593.0","75,594.0","85,876.0","96,919.0"
"103","81","      Capital consumption adjustment","B050RC1","-513.0","-513.0","-526.0","-585.0","-601.0","-599.0","-592.0","-604.0","-624.0","-621.0","-612.0","-607.0","-583.0","-554.0","-528.0","-514.0","-522.0","-565.0","-623.0","-689.0","-800.0","-936.0","-1,002.0","-1,149.0","-1,311.0","-1,561.0","-1,904.0","-2,268.0","-2,516.0","-2,934.0","-3,541.0","-4,164.0","-4,876.0","-5,468.0","-5,834.0","-5,901.0","-6,048.0","-6,138.0","-6,411.0","-6,707.0","-6,979.0","-7,224.0","-7,401.0","-7,448.0","-7,463.0","-7,769.0","-8,046.0","-8,416.0","-8,615.0","-8,916.0","-9,238.0","-9,728.0","-10,349.0","-10,980.0","-11,278.0","-11,989.0","-13,370.0","-14,820.0","-16,243.0","-16,566.0","-15,804.0"
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","separately; the current surplus of government enterprises is included in line 17, taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","on production and imports less subsidies plus business current transfer payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
