"","Table 3#21# Local Government Current Receipts and Expenditures  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"54","35","    Capital transfer receipts","W864RC1","1,173.0","1,214.0","1,285.0","1,342.0","1,447.0","1,559.0","1,668.0","1,771.0","1,998.0","2,853.0","3,171.0","2,874.0","3,375.0","3,701.0","4,222.0","5,697.0","6,473.0","7,292.0","8,318.0","8,828.0","10,054.0","10,915.0","11,149.0","10,772.0","10,785.0","11,321.0","11,392.0","11,910.0","11,812.0","11,601.0","12,045.0","12,739.0","13,109.0","13,467.0","13,896.0","14,194.0","16,036.0","16,736.0","17,253.0","17,513.0","18,508.0","20,249.0","23,733.0","22,799.0","23,529.0","24,391.0","26,059.0","24,234.0","24,618.0","25,435.0"
"55","36","  Total expenditures","W865RC1","29,631.0","32,431.0","35,243.0","37,341.0","40,111.0","44,135.0","48,516.0","53,754.0","59,576.0","67,383.0","73,853.0","82,369.0","91,912.0","100,391.0","111,480.0","126,961.0","145,571.0","156,874.0","168,524.0","186,830.0","203,327.0","224,126.0","240,931.0","258,194.0","275,840.0","298,794.0","331,018.0","367,277.0","387,111.0","410,247.0","442,328.0","481,347.0","510,495.0","534,684.0","551,215.0","577,365.0","608,826.0","639,916.0","673,192.0","705,473.0","750,597.0","804,261.0","857,449.0","910,532.0","962,810.0","1,001,930.0","1,054,282.0","1,121,546.0","1,207,974.0","1,270,816.0"
"56","37","    Current expenditures","W851RC1","24,137.0","26,447.0","29,075.0","30,870.0","33,167.0","36,291.0","39,579.0","44,196.0","48,873.0","55,207.0","62,369.0","72,033.0","81,563.0","90,616.0","100,370.0","112,481.0","129,130.0","140,936.0","153,901.0","168,461.0","182,770.0","200,975.0","219,369.0","237,891.0","256,002.0","275,881.0","303,950.0","336,083.0","354,377.0","375,004.0","402,482.0","435,253.0","463,405.0","488,636.0","508,255.0","533,320.0","558,992.0","583,809.0","609,544.0","638,651.0","673,951.0","721,065.0","767,798.0","812,558.0","862,012.0","900,690.0","953,182.0","1,011,566.0","1,083,741.0","1,147,988.0"
"57","38","    Gross government investment","W867RC1","7,554.0","8,193.0","8,440.0","8,848.0","9,480.0","10,488.0","11,787.0","12,747.0","14,197.0","16,076.0","15,948.0","15,377.0","15,991.0","16,041.0","18,053.0","23,087.0","26,619.0","27,062.0","26,743.0","31,744.0","35,667.0","40,485.0","41,192.0","41,825.0","42,413.0","46,347.0","51,611.0","57,152.0","60,419.0","64,919.0","71,473.0","79,920.0","83,461.0","84,466.0","83,899.0","87,299.0","95,701.0","104,978.0","115,384.0","120,235.0","133,303.0","144,839.0","154,119.0","165,227.0","171,729.0","178,494.0","185,781.0","201,778.0","224,573.0","231,664.0"
"58","39","    Capital transfer payments","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"59","40","    Net purchases of nonproduced assets","W868RC1","379.0","362.0","447.0","515.0","539.0","648.0","712.0","713.0","758.0","789.0","798.0","861.0","940.0","934.0","1,055.0","1,006.0","1,018.0","923.0","928.0","1,038.0","1,188.0","1,379.0","1,492.0","1,365.0","1,386.0","1,693.0","2,029.0","2,404.0","2,626.0","2,761.0","3,306.0","3,985.0","3,963.0","3,998.0","4,152.0","4,598.0","4,973.0","4,442.0","4,223.0","5,571.0","6,177.0","6,033.0","7,451.0","8,011.0","8,008.0","8,179.0","8,513.0","9,030.0","9,273.0","8,998.0"
"60","41","    Less: Consumption of fixed capital","W869RC1","2,438.0","2,570.0","2,719.0","2,892.0","3,075.0","3,292.0","3,562.0","3,902.0","4,253.0","4,689.0","5,262.0","5,902.0","6,582.0","7,200.0","7,998.0","9,614.0","11,195.0","12,048.0","13,048.0","14,413.0","16,297.0","18,713.0","21,122.0","22,887.0","23,961.0","25,127.0","26,572.0","28,362.0","30,312.0","32,436.0","34,932.0","37,810.0","40,335.0","42,416.0","45,090.0","47,852.0","50,840.0","53,313.0","55,959.0","58,985.0","62,834.0","67,676.0","71,919.0","75,264.0","78,939.0","85,433.0","93,194.0","100,827.0","109,612.0","117,834.0"
"61","42","  Net lending or net borrowing (-)","W870RC1","-1,555.0","-1,357.0","-1,382.0","-785.0","-467.0","-813.0","-1,376.0","-2,119.0","-1,734.0","-2,867.0","-1,463.0","812.0","1,223.0","3,803.0","5,505.0","1,319.0","-2,549.0","487.0","4,296.0","1,612.0","-2,844.0","-5,623.0","-3,648.0","-3,734.0","-3,392.0","1,463.0","-2,832.0","-14,352.0","-16,803.0","-12,528.0","-13,185.0","-25,276.0","-24,101.0","-24,118.0","-20,219.0","-11,728.0","-13,908.0","-11,666.0","-9,411.0","-4,124.0","-259.0","-1,968.0","-19,117.0","-36,075.0","-39,717.0","-40,290.0","-33,183.0","-35,862.0","-53,023.0","-79,571.0"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
