"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.656,12.057,12.17,12.281,14.113,14.572,14.685,14.798,15.198,17.255,17.766
"77","70","      Other delivery services (by non-USPS facilities)","DODSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.996,12.222,12.357,12.595,12.812,13.089,13.375,13.784,14.163,14.879,15.528
"78","71","    Telecommunication services","DTCSRG3",36.841,37.106,37.244,37.312,37.132,36.607,36.392,36.191,35.702,35.702,35.654,35.72,35.903,37.88,39.099,40.242,40.913,40.911,41.543,43.669,45.542,49.01,50.034,51.896,53.713,52.874,52.29,52.947,53.97,55.575,56.875,57.772,57.97,57.965,57.982,58.061,57.238,55.978,56.718,56.721,57.469
"79","72","    Internet access","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","  Recreation","DRRLRG3",27.537,25.554,22.816,20.651,19.686,20.402,20.698,20.778,21.808,21.64,21.201,21.567,22.004,24.22,25.786,28.397,29.437,30.71,33.905,36.052,36.832,36.926,38.289,38.804,39.26,39.221,39.558,40.269,41.789,43.114,42.95,43.818,44.377,44.827,45.561,46.369,46.675,47.171,48.231,50.122,51.9
"81","74","    Video and audio equipment, computers, and related services","DVPIRG3",427.838,331.223,238.792,180.186,165.471,177.35,175.306,174.096,178.28,173.127,166.778,168.374,173.783,204.961,208.492,223.242,224.566,228.145,276.989,291.989,306.282,306.951,308.381,292.258,288.547,280.148,271.142,274.134,284.551,292.23,277.852,279.041,275.796,269.415,266.549,263.651,256.476,247.559,245.638,246.39,246.453
"82","75","      Video and audio equipment","DVAARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.065,305.047,299.171,289.116,284.299,279.906,270.483,258.787,254.892,254.042,253.611
"83","76","      Information processing equipment","DIPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5255.665,5280.594,5277.541,5169.683,5163.946,5165.086,5422.154,5684.512,5872.906,6177.371,6518.77
"84","77","      Services related to video and audio goods and computers","DSVCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.028,25.411,25.554,25.595,25.67,25.667,25.238,24.85,25.222,25.758,25.755
"85","78","    Sports and recreational goods and related services","DODRRG3",28.193,27.202,23.966,19.754,19.694,22.432,23.588,22.745,25.826,23.587,21.819,22.916,22.8,27.282,28.719,33.252,34.653,35.384,38.683,41.737,41.302,40.46,42.855,43.753,43.061,41.961,42.3,42.492,43.39,44.054,43.689,44.482,45.017,45.66,46.174,45.871,45.845,46.396,47.643,49.987,52.538
"86","79","      Sports and recreational vehicles","DWHLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.534,28.164,28.062,28.343,28.713,28.91,29.01,29.46,30.199,31.259,32.534
"87","80","      Other sporting and recreational goods","DORIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.306,54.209,55.031,55.86,56.466,55.925,55.832,56.447,57.99,61.103,64.451
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.144,29.055,28.821,29.16,29.7,30.205,30.548,31.264,32.132,33.353,34.972
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRG3",6.259,6.179,5.914,5.635,5.277,5.298,5.367,5.488,5.684,5.788,5.743,5.812,6.017,6.315,6.822,7.768,8.189,8.619,9.148,9.352,9.514,9.591,9.889,10.116,10.542,11.044,11.488,11.804,12.247,12.711,13.032,13.725,14.278,14.755,15.227,15.863,16.377,17.018,17.776,18.861,19.956
"90","83","      Membership clubs and participant sports centers","DMDFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.809,14.709,15.443,16.107,16.723,17.289,17.288,17.563,18.128,18.796,19.359
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.675,16.12,16.46,16.695,17.032,17.318,17.724,18.341,18.963,19.93,21.241
"92","85","      Admissions to specified spectator amusements","DADMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.082,11.723,12.236,12.694,13.129,13.95,14.775,15.595,16.494,17.826,19.018
"93","86","        Motion picture theaters","DMOVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.593,10.219,10.743,11.211,11.624,12.566,13.558,14.599,15.693,17.209,18.614
"94","87","        Live entertainment, excluding sports","DLIGRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,10.222,10.74,11.218,11.634,12.597,13.54,14.611,15.692,17.213,18.631
"95","88","        Spectator sports","DSPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.542,16.001,16.3,16.599,17.054,17.356,17.653,17.808,18.204,19.107,19.861
"96","89","      Museums and libraries","DMUSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.608,10.226,10.754,11.216,11.656,12.581,13.562,14.593,15.726,17.225,18.66
"97","90","    Magazines, newspapers, books, and stationery","DNBSRG3",7.582,7.431,7.107,6.931,6.612,6.651,6.632,6.696,6.891,7.062,7.122,7.2,7.218,7.6,8.185,8.564,8.729,8.995,9.789,10.702,11.219,11.486,12.004,12.602,13.016,13.1,13.463,13.814,14.67,15.4,15.633,15.862,16.075,16.308,16.908,17.525,18.021,18.642,19.328,20.361,21.275
"98","91","    Gambling","DGAMRG3",5.359,5.331,5.046,4.808,4.897,5.059,5.154,5.057,5.36,5.723,5.528,5.371,5.959,6.437,6.673,7.196,7.541,9.334,10.951,12.746,13.036,12.509,12.254,13.385,14.088,14.346,14.436,14.799,15.457,16.016,16.458,16.701,16.881,17.08,17.294,17.523,17.796,18.334,18.839,19.644,20.708
"99","92","    Pets, pet products, and related services","DPETRG3",10.053,9.579,8.208,7.11,7.103,7.806,8.29,8.325,8.627,8.191,8.135,8.152,8.703,10.028,11.245,11.474,11.824,13.083,15.117,16.047,15.634,15.842,17.336,17.745,17.666,17.735,17.579,17.852,18.339,19.031,18.959,19.228,19.443,19.746,19.969,20.57,21.257,22.159,23.123,24.835,26.093
"100","93","    Photographic goods and services","DPHORG3",25.317,25.182,24.399,23.219,22.633,23.1,23.605,23.802,24.805,25.293,24.955,25.446,25.428,27.748,28.27,31.308,32.668,34.098,36.912,39.087,39.321,39.185,41.777,42.439,43.118,43.048,43.264,44.65,45.422,46.361,46.419,46.918,47.533,48.285,49.036,52.469,51.702,50.844,50.749,51.209,51.019
"101","94","    Package tours \14\","DXHLRG3",14.15,13.837,13.91,13.829,13.73,14.017,13.803,14.053,14.053,13.385,13.605,13.491,13.962,14.269,14.677,15.264,15.254,15.258,15.231,16.097,15.53,15.367,15.367,15.367,15.029,15.144,15.029,15.15,15.15,15.15,15.674,16.117,16.463,16.695,17.028,17.321,17.729,18.361,18.977,19.927,21.246
"102","95","  Education","DEDURG3",2.866,2.862,2.735,2.662,2.422,2.461,2.445,2.465,2.52,2.537,2.546,2.541,2.651,2.782,3.036,3.232,3.35,3.575,3.888,4.177,4.271,4.361,4.594,4.673,4.763,4.857,4.964,5.191,5.396,5.555,5.748,5.869,5.978,6.105,6.24,6.38,6.606,6.905,7.187,7.518,7.975
"103","96","    Educational books","DEBKRG3",4.706,4.542,4.329,4.156,3.942,3.904,3.904,3.941,4.004,4.067,4.104,4.091,4.142,4.156,4.468,4.593,4.768,4.943,5.342,5.843,6.23,6.319,6.469,6.882,7.183,7.258,7.396,7.496,8.035,8.546,8.686,8.727,8.722,8.544,8.534,8.537,8.956,9.398,9.704,10.204,10.772
"104","97","    Higher education","DHEDRG3",2.57,2.569,2.469,2.345,2.171,2.22,2.196,2.221,2.27,2.295,2.295,2.27,2.345,2.47,2.67,2.844,2.994,3.194,3.393,3.567,3.617,3.692,3.868,3.892,3.916,4.016,4.116,4.267,4.367,4.416,4.639,4.759,4.878,5.063,5.248,5.445,5.682,5.968,6.272,6.652,7.1
"105","98","    Nursery, elementary, and secondary schools","DNEHRG3",2.106,2.055,1.951,2.08,1.769,1.795,1.795,1.795,1.847,1.847,1.847,1.873,2.003,2.106,2.287,2.493,2.621,2.825,3.156,3.511,3.587,3.714,3.99,4.091,4.242,4.342,4.467,4.667,4.866,5.04,5.156,5.289,5.419,5.486,5.549,5.581,5.71,5.931,6.093,6.254,6.641
"106","99","    Commercial and vocational schools \15\","DVEDRG3",5.641,5.798,5.528,5.155,4.778,4.843,4.812,4.858,4.949,4.955,5.018,5.013,5.256,5.574,6.247,6.603,6.51,7.02,7.84,8.41,8.568,8.642,9.151,9.18,9.285,9.343,9.423,10.226,10.782,11.281,11.552,11.67,11.667,11.826,11.981,12.247,12.559,13.042,13.501,13.92,14.497
"107","100","  Food services and accommodations","DFSARG3",7.206,6.763,5.834,4.925,4.763,5.126,5.512,5.521,5.717,5.45,5.339,5.401,5.889,6.883,7.722,8.054,8.322,9.257,10.333,10.804,10.514,10.699,11.503,11.76,11.658,11.789,11.762,11.896,12.288,12.6,13.05,13.403,13.673,14.012,14.315,14.537,14.824,15.396,16.25,17.098,18.122
"108","101","    Food services","DFSERG3",7.363,6.886,5.897,4.948,4.813,5.231,5.652,5.655,5.852,5.554,5.431,5.502,6.023,7.073,7.959,8.309,8.592,9.585,10.725,11.207,10.871,11.055,11.89,12.145,12.011,12.135,12.09,12.216,12.615,12.933,13.405,13.775,14.058,14.422,14.751,14.985,15.282,15.895,16.789,17.665,18.715
"109","102","      Purchased meals and beverages \16\","DPMBRG3",7.276,6.795,5.831,4.893,4.761,5.168,5.581,5.578,5.772,5.485,5.364,5.435,5.877,6.8,7.631,7.957,8.197,9.441,10.587,11.022,10.683,10.805,11.506,11.765,11.719,11.949,12.018,12.217,12.631,12.931,13.409,13.78,14.062,14.425,14.755,14.987,15.281,15.888,16.788,17.665,18.712
"110","103","      Food furnished to employees (including military)","DFOORG3",7.682,7.31,6.102,5.115,4.955,5.471,5.954,6.04,6.246,5.824,5.697,5.762,7.284,9.562,10.914,11.443,11.984,11.372,12.472,13.556,13.269,14.275,16.793,17.017,15.877,14.751,13.299,12.473,12.675,13.263,13.647,14.01,14.313,14.693,15.037,15.29,15.634,16.363,17.194,18.084,19.197
"111","104","    Accommodations \17\","DACCRG3",7.076,6.938,6.566,5.995,5.384,5.073,5.069,5.168,5.415,5.559,5.609,5.54,5.624,5.936,6.185,6.277,6.356,6.5,6.843,7.25,7.563,7.812,8.327,8.689,9.081,9.365,9.615,9.912,10.287,10.566,10.816,11.005,11.145,11.24,11.272,11.4,11.606,11.809,12.342,12.979,13.832
"112","105","  Financial services and insurance","DIFSRG3",5.769,5.635,5.124,4.561,4.35,4.505,4.699,4.911,5.126,5.004,4.967,5.108,5.243,5.6,5.855,6.098,6.329,6.999,7.297,7.678,7.817,7.969,8.067,8.558,9.53,9.873,10.167,10.489,10.84,11.009,11.639,12.148,12.558,13.076,13.091,13.639,13.986,14.829,15.169,16.293,17.749
"113","106","    Financial services","DFNLRG3",6.076,5.919,5.341,4.757,4.499,4.47,4.907,5.174,5.394,5.27,5.209,5.455,5.592,5.87,6.172,6.563,6.713,7.667,8.293,8.699,9.081,9.479,9.838,10.137,11.715,12.166,13.145,14.315,14.64,14.355,15.364,16.244,16.729,17.749,17.657,18.626,18.747,20.182,20.51,21.802,24.763
"114","107","      Financial services furnished without payment","DIMPRG3",4.879,4.525,3.742,3.002,2.736,2.695,3.106,3.368,3.556,3.33,3.276,3.493,3.62,3.869,4.189,4.604,4.806,5.776,6.246,6.517,6.842,7.408,7.804,8.096,9.928,10.346,11.534,12.739,12.918,12.352,13.447,14.105,14.496,14.876,13.714,15.003,15.656,16.969,17.804,17.87,21.32
"115","108","      Financial service charges, fees, and commissions","DOFIRG3",9.228,9.492,9.632,9.964,9.827,9.85,10.168,10.351,10.618,11.017,10.97,11.147,11.192,11.322,11.256,11.331,11.236,11.858,12.832,13.601,14.047,13.732,13.902,14.148,14.403,14.845,15.084,15.953,16.615,17.104,17.787,19.058,19.697,22.021,24.655,24.607,23.444,24.993,24.304,27.883,29.358
"116","109","    Insurance","DINSRG3",4.372,4.285,3.925,3.491,3.351,3.57,3.608,3.749,3.915,3.82,3.801,3.868,3.974,4.286,4.465,4.591,4.811,5.194,5.268,5.556,5.562,5.579,5.553,6,6.525,6.748,6.703,6.63,6.907,7.202,7.541,7.788,8.076,8.277,8.329,8.59,8.946,9.363,9.636,10.45,10.941
"117","110","      Life insurance \18\","DLIFRG3",4.195,4.069,3.776,3.314,3.105,3.273,3.315,3.44,3.608,3.482,3.44,3.524,3.65,3.944,4.195,4.447,4.573,4.909,5.118,5.496,5.748,6.041,6.461,6.671,7.006,7.174,7.342,7.677,7.971,8.265,8.66,9.028,9.295,9.61,9.833,10.205,10.464,10.84,11.217,11.866,12.455
"118","111","      Net household insurance \19\","DFINRG3",1.844,1.769,1.675,1.653,1.692,1.753,1.802,1.776,1.849,1.799,1.783,1.818,1.937,2.056,2.212,2.361,2.421,2.522,2.81,2.993,3.083,3.157,3.362,3.568,3.672,3.811,3.886,3.974,4.063,4.183,4.374,4.338,4.396,4.479,4.764,5.246,6.056,6.795,7.571,8.099,8.559
"119","112","      Net health insurance","DHINRG3",4.786,4.84,3.824,3.281,3.629,4.407,4.576,5.022,5.366,5.444,5.486,5.482,5.458,6.029,6.309,6.144,6.836,7.33,6.975,6.771,5.736,5.334,4.394,4.92,5.691,6.208,5.884,5.311,5.588,5.655,5.908,6.052,6.524,6.732,6.514,6.653,7,7.38,7.457,8.938,9.179
"120","113","        Medical care and hospitalization \20\","DMINRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.568,3.942,4.451,4.699,4.663,4.784,5.051,5.214,4.975,7.217,6.64
"121","114","        Income loss \21\","DIINRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.732,68.112,72.025,71.324,65.338,65.555,68.531,77.136,85.248,82.065,95.491
"122","115","        Workers' compensation \22\","DPWCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.233,9.934,10.038,10.402,10.182,10.506,11.057,11.314,11.476,12.171,13.578
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRG3",4.253,4.327,4.387,4.417,4.398,4.446,4.282,4.218,4.16,4.12,4.213,4.238,4.349,4.469,4.094,4.02,4.014,4.567,4.645,5.384,6.163,5.979,6.157,7.012,7.68,7.675,7.579,7.379,7.676,8.316,8.714,8.95,9.092,9.12,9.2,9.415,9.909,10.442,10.764,11.015,11.724
"124","117","  Other goods and services","DOISRG3",7.591,7.337,7.081,6.696,6.282,6.394,6.396,6.468,6.703,6.677,6.729,6.847,7.191,7.78,8.295,8.952,9.368,9.668,10.578,10.953,11.032,11.123,11.788,12.081,12.451,12.55,12.724,13.101,13.504,13.811,14.14,14.445,14.541,14.679,14.971,15.338,15.689,16.095,16.639,17.359,18.333
"125","118","    Personal care \24\","DPCRRG3",10.114,9.982,9.636,9.063,8.78,8.532,8.491,8.544,9.01,9.156,9.138,9.124,9.514,10.499,11.431,12.374,12.776,13.506,15.259,15.841,15.592,15.453,16.832,16.886,17.151,17.279,17.658,18.307,19,19.657,19.985,20.368,20.396,20.633,20.949,21.283,21.594,22.026,22.778,23.745,24.964
"126","119","    Personal items \25\","DPEORG3",27.536,27.023,25.592,22.532,23.046,24.395,23.722,24.458,24.687,23.479,23.663,24.609,27.594,33.373,35.15,40.341,42.204,41.879,44.311,44.273,43.475,42.486,45.405,44.878,45.113,43.907,42.934,43.299,42.978,42.65,42.707,42.682,42.418,42.233,42.554,44.018,43.345,42.902,43.853,44.709,47.121
"127","120","    Social services and religious activities \26\","DSOCRG3",6.832,6.553,6.038,5.653,5.531,5.818,5.912,6.07,6.392,6.272,6.271,6.281,6.487,6.989,7.393,7.665,7.902,8.657,9.992,10.701,10.762,11.152,12.001,12.074,12.317,12.578,12.848,13.337,13.815,14.095,14.469,14.684,14.812,14.962,15.212,15.401,15.747,16.149,16.559,17.249,18.31
"128","121","    Professional and other services","DPRSRG3",3.388,3.28,3.017,2.75,2.584,2.614,2.69,2.77,2.89,2.859,2.88,2.914,3.091,3.273,3.464,3.823,4.105,4.2,4.646,4.897,5.063,5.209,5.542,5.852,6.107,6.331,6.588,6.924,7.267,7.53,7.723,7.919,8.076,8.218,8.391,8.693,9.011,9.242,9.62,10.001,10.659
"129","122","      Legal services","DGALRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.093,6.273,6.401,6.494,6.627,6.976,7.377,7.597,7.992,8.3,9.009
"130","123","      Accounting and other business services \27\","DPRORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.765,7.966,8.032,8.138,8.241,8.349,8.513,8.747,9.057,9.474,9.955
"131","124","      Labor organization dues","DUNSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.541,14.618,14.688,14.835,15.048,15.342,15.703,15.999,16.43,17.088,17.962
"132","125","      Professional association dues","DAXSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.092,6.273,6.397,6.493,6.622,6.991,7.374,7.598,7.998,8.3,9.007
"133","126","      Funeral and burial services","DFUNRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.486,9.759,10.032,10.301,10.575,10.801,10.935,11.163,11.483,11.937,12.437
"134","127","    Tobacco","DTOBRG3",4.028,3.798,3.867,3.867,3.43,3.544,3.51,3.487,3.579,3.602,3.66,3.763,3.855,3.97,4.223,4.362,4.557,4.707,5.064,5.259,5.374,5.478,5.651,5.904,6.191,6.238,6.295,6.422,6.629,6.756,7.023,7.257,7.315,7.373,7.597,7.777,8.107,8.545,8.865,9.423,9.926
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRG3",13.826,12.792,10.668,8.812,9.032,9.469,9.899,10.286,10.581,10.8,11.586,11.582,11.369,11.27,11.439,12.116,15.072,15.804,15.435,16.497,16.933,16.775,16.398,16.174,17.318,17.954,17.809,18.274,18.333,18.471,19.129,18.747,18.892,19.414,19.893,20.294,21.11,21.886,21.729,22.684,23.192
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRG3",7.17,7.162,6.589,6.091,5.716,6.261,6.756,7.088,7.203,6.651,6.409,6.759,6.778,7.381,6.781,6.945,7.451,8.937,10.302,11.042,11.024,11.169,12.018,12.329,12.492,12.552,12.588,12.788,13.239,13.634,14.574,14.75,14.933,15.088,15.256,15.495,15.725,16.185,16.656,17.344,18.265
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRG3",22.118,21.273,19.45,18.074,17.394,18.353,18.49,18.991,19.984,19.456,19.488,19.463,20.404,22.14,23.75,24.834,25.693,28.341,32.968,35.515,35.819,37.246,40.366,40.452,41.18,42.221,43.308,45.316,47.362,48.595,49.469,46.3,46.765,47.428,48.189,48.409,49.76,51.587,53.261,55.299,58.741
"140","133","  Gross output of nonprofit institutions \29\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.811,11.082,11.288,11.501,11.778,12.063,12.414,12.845,13.433,14.14,15.062
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.494,6.995,7.157,7.309,7.513,7.767,7.997,8.268,8.697,9.21,9.822
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
