"","Table 2#5#5# Personal Consumption Expenditures by Type of Expend","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"45","38","    Gas (s.)","BNGSRC1",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.6,1.8,2,2.3,2.4,2.7,2.9,3.3,3.5,3.8,3.9,4.1,4.3,4.5,4.7,4.9,5.2,5.6,6,6.6,6.7,7.4,9.1,10.8,12.4,14,16,19.1,20.9,25.6,29.1,29.3,29.5,26.6,25.5,27.2,29,26.8,28.2,29.5,32.5,33,31.2,35.3,36.8,32.7,33.4,41,48.6,40.8,51.2
"46","39","    Water and other sanitary services (s.)","BWATRC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.8,50.8,52.8,55.2,58.2
"47","40","    Fuel oil and coal (n.d.)","A171RC1",1.6,1.5,1.3,1.1,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.9,2,2,2.2,2.5,3,3.4,3.1,3.4,3.5,3.5,3.4,3.5,3.8,3.9,4.1,4.2,4,3.8,3.8,3.8,4,4.1,4.4,4.7,4.8,4.7,4.6,4.4,4.6,5.1,6.3,7.8,8.4,10.1,11.1,11.5,14.4,15.4,15.8,14.5,13.6,13.9,13.6,11.3,11.2,11.7,11.9,12.9,12.4,12.2,12.4,12.8,13.1,14.3,13.3,11.5,11.9,15.8,15.4,14.1,16.9
"48","41","  Telephone and telegraph (s.)","BTELRC1",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,5.9,6.5,7,7.7,8.3,9.3,10.1,11,12.4,14.1,15.5,17.7,19.8,21.5,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58,60.5,63.7,70.7,74.8,81.2,85,92.8,103.6,110.3,118.4,125.1,128.4,128.3,129.8
"49","42","  Domestic service (s.)","BDMSRC1",1.7,1.5,1.1,0.8,0.7,0.9,0.9,1,1.2,1,1.1,1.2,1.2,1.5,1.6,1.9,2.1,2.1,2.3,2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.7,5.5,6.1,6.6,6.4,6.1,6.2,6.5,6.6,7.7,7.7,8.2,8.2,9,9.8,10.4,10.2,11.4,12.1,12.8,13.8,13.8,14.7,17.1,16.1,17.4,16.9,16.8,18.5
"50","43","  Other (s.) \10\","AOPORC1",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.3,2.5,2.6,2.8,3.1,3.4,3.8,4.1,4.5,4.7,5,5.6,6.1,6.7,7,8.1,9.1,10.2,12,13.1,14.4,15,16.3,18.5,20.4,22,23.3,24.8,26.9,28.1,28.4,29.6,31.3,34.8,38.4,40.5,43.3,47.2,50.8,53.6,54.3,56.1,57.6
"51","44","Medical care","A536RC1",3.2,3.1,2.8,2.3,2.1,2.3,2.5,2.7,2.9,2.9,3.1,3.3,3.6,4.1,4.5,5.1,5.4,6.6,7.4,8.4,8.7,9.4,10.2,11.2,12.2,13.3,14.2,15.5,17.1,18.7,20.6,22.2,23.9,26.5,28.7,32.3,34.7,38,41.4,47.7,54.2,61.3,68.5,76.7,85.3,95.5,109.9,124.7,142.1,162.3,183.3,209.6,245.2,274.8,310,343.7,376.4,407.4,447.6,505,561.9,635.1,692.9,761.1,809,853.3,905,950.7,1002.8,1069.4,1130.8,1218.3,1327.3,1444.9,1557.2
"52","45","  Drug preparations and sundries (n.d.) \11\","BDRGRC1",0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,1,1.1,1.1,1.3,1.3,1.5,1.6,1.7,2,2.1,2.2,2.2,2.4,2.7,3,3.2,3.5,3.9,4.3,4.6,4.8,5,5.2,5.4,5.8,6.4,7,8.1,8.6,9.3,10.1,11,12,13.1,14.2,16.3,19.1,21.8,24.9,27.6,31.4,35.2,38.7,42.7,47,51.8,58,65.4,71.4,75.9,80.5,85.8,92.1,100.5,111.1,128,148.9,169.4,192.7,213,233.7
"53","46","  Ophthalmic products and orthopedic appliances (d.)","BOPTRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.8,0.8,0.9,1,1.1,1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.4,2.5,2.7,2.9,3.2,3.4,3.6,3.9,4.4,5.3,6.2,7.2,8.4,10.3,11.4,13.7,12.5,13,13.4,14.6,15,16.7,18.6,20,20.8,22.1,20.8,21.6,22.4
"54","47","  Physicians (s.) \12\","BPHYRC1",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.7,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,6.9,8.2,8.5,9.1,10,10.9,12.4,14,15.3,16.6,18.4,20.3,23.5,25.8,29.6,32.7,37.2,43.4,51.2,56.2,63.5,70.9,78.8,87.2,101.5,115.3,125.1,138.6,149.2,163.6,167.7,174.4,184.6,190.4,198.2,210.3,220.8,236.8,256.8,278.3,298.2
"55","48","  Dentists (s.)","BDENRC1",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.1,57.4,61.8,66.8,72.2,75
"56","49","  Other professional services (s.) \13\","BOPSRC1",0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.3,1.5,1.7,2.1,2.4,2.9,3.3,3.6,3.1,3.4,3.4,3.7,3.9,4.3,5.2,6,7.2,8.9,10.3,11.5,13.1,14.7,17.8,18.9,23.3,27.3,31.8,36.6,41.8,49.4,57.1,70.7,81.6,94.1,105.6,115.7,126.6,134.5,142,149.4,153.3,161.6,175.5,189.7,205.1
"57","50","  Hospitals and nursing homes \14\","BPHORC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.4,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.8,4.2,4.7,5.4,6,6.7,7.3,8.2,9.2,10.3,11.3,12.9,15.2,18.3,21.6,24.7,28.9,32.7,36.4,41.9,49.3,57.1,64.6,74.7,85.4,98.9,116,132,147.1,158,169.9,183.9,198.5,220.7,243.4,270.9,298.8,326.9,347,362,380.5,398.3,416.8,435.9,453.6,482.6,525.3,574,616.8
"58","51","    Hospitals","A2601C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,6.1,6.5,7.3,8.1,8.8,9.7,11,12.8,15.2,17.7,20.2,23.5,26.7,29.7,34.1,40.4,47.1,53.4,61.7,70.9,82.4,97.5,112.4,124.4,132.8,142.7,154.2,167.5,185.1,203.9,224.9,249.4,273.5,290.4,302.4,314.3,326.2,338.5,354.9,371.1,396,433.2,477.1,515.5
"59","52","      Nonprofit (s.)","B2602C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4.6,4.9,5.4,6,6.5,7.1,8,9.3,10.9,12.8,14.7,17,19,21,24.3,29,33.8,38.7,44.6,50.7,59,69.6,79.6,87.4,92.9,99,106.3,115.6,128.1,141,155.7,171.9,188,198,203.2,207.8,214.9,223.9,236.9,250.7,267.1,288,312.8,333.9
"60","53","      Proprietary (s.)","B2603C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.9,3.5,4.1,4.7,5.4,6.4,7.5,9,10.7,12.1,13.6,15.4,17.3,19.2,21.5,23.8,26.1,28.5,30.3,30.9,32.4,35.3,38.8,40.8,40.4,40.9,43.1,49.5,57.9,64.7
"61","54","      Government (s.)","B2604C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,1,1.2,1.3,1.5,1.7,2,2.4,3,3.4,3.7,4.5,5.4,6.1,6.9,7.8,9.2,10.1,11.6,13.8,15.8,19,22.1,24.9,26.2,28.3,30.6,32.7,35.6,39.2,43.1,48.9,55.2,61.5,66.7,71.2,72.5,73.9,77.6,79.6,85.7,95.7,106.5,116.9
"62","55","    Nursing homes (s.)","B2605C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,0.7,0.9,1.1,1.6,1.6,2,2.4,3.1,3.9,4.5,5.4,6,6.8,7.8,8.9,10,11.2,13,14.5,16.5,18.5,19.5,22.7,25.2,27.3,29.7,31,35.6,39.4,46,49.4,53.4,56.6,59.6,66.2,72,78.3,81,82.4,86.6,92.1,96.9,101.3
"63","56","  Health insurance","AHINRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.4,2.6,2.9,2.9,3.8,4.1,4.4,5.2,6.3,6.7,6.9,7.3,8.1,10.5,12.9,13,13.6,15.5,18.9,21.5,26.5,28.4,25.6,23.6,29.1,36.6,43.4,45.2,50,55.2,58.6,60.7,62.6,65.1,71.6,76.1,84,89.4,96.1,106
"64","57","    Medical care and hospitalization (s.) \15\","BMINRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.3,2,1.9,2.1,2.6,3.5,3.6,3.6,3.2,3.6,5.4,6.4,7.2,7.6,9.1,11.8,14.5,18.9,20.6,16.5,14.1,18.9,26,31.8,34.1,38.4,43.4,46.3,47.8,48.7,50.6,56.8,61.1,68.4,73,79.7,88.1
"65","58","    Income loss (s.) \16\","BIINRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.1,1.3,1.6,1.7,1.7,2.2,2.2,2.4,3.4,2.3,1.9,1.9,2.5,2.1,2.1,2.1,2.4,2.2,2.5,2.4,2.6,1.8,2.1,1.5,1.8,1.4,1.1,1.2,1.4,1.5,1.7,1.8,2,2.2
"66","59","    Workers' compensation (s.) \17\","BPWCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.2,1.3,1.3,1.4,1.6,1.9,2.3,2.7,3.1,3.6,4.1,4.5,4.6,5,5.5,5.7,6.7,7.2,7.7,8.3,9,9.3,9.4,10.3,10.5,11.5,12.8,13.4,13.5,13.5,13.8,14.6,14.4,15.7
"67","60","Personal business","A479RC1",3.8,3.4,2.9,2.5,2.5,2.5,2.7,2.9,3.1,3,3,3.1,3.2,3.3,3.7,3.9,4.1,4.7,5.2,5.6,5.8,6.4,6.9,7.2,8,8.8,9.8,10.7,11.4,12.2,13.1,14.1,15.3,15.9,16.7,18.4,20.1,22,23.7,26,28.9,31.8,34.3,37.7,41.3,46.6,54.9,60.5,67.2,78.9,85.9,95.2,102.3,115.1,143.6,151.8,177.5,198.3,213.6,224.2,236.3,250.9,279.7,306.7,330,336.1,349.6,376,412.9,446.1,491.6,539.1,536.5,552.1,577.7
"68","61","  Brokerage charges and investment counseling (s.)","BBRORC1",0.8,0.5,0.3,0.2,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.6,0.7,0.7,0.7,0.9,1.2,1.2,1.6,1.5,1.7,1.9,2.2,2.6,3,3.5,3,2.3,3,3.4,2.5,2.1,2.9,3.6,3.6,4.4,4.9,6.9,6.9,8.8,12.7,12.3,15.2,20.3,23.4,19.8,23,23.2,26.8,31.6,38.2,37.9,43.5,51.5,60.8,69.1,84.4,100.6,77.8,75.7,77.3
"69","62","  Bank service charges, trust services, and safe deposit box rental (s.)","BBNKRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.3,2.6,2.8,3.1,3.4,3.9,4.4,5.1,6.5,8.3,10.4,11.5,13.4,15.6,18.2,19.9,21.4,23.6,25.5,28.2,30.9,34,35.3,37.2,40.5,43.7,50.2,58.3,64.2,69.1,75.5,82.5
"70","63","  Services furnished without payment by financial intermediaries except life insurance carriers (s.)","AIMPRC1",0.8,0.8,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,1,1.2,1.2,1.3,1.4,1.5,1.7,2.2,2.4,2.8,3.1,3.2,3.1,3.5,3.8,4.1,4.2,4.2,4.8,5.2,5.7,6.3,6.9,8.9,10.6,11.4,12.6,14.4,17.5,22.4,22.6,25.2,30.5,32.6,33,32.6,35.6,55,55.1,65.4,72.6,78.9,79,76.7,81.9,93.7,107.6,109.4,113.6,113.3,121.8,133.1,143.6,157.2,167.2,180,193.7,195.2
"71","64","  Expense of handling life insurance and pension plans (s.) \18\","BLIFRC1",0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.6,1.6,1.8,1.9,2,2.1,2.2,2.5,2.8,3.1,3.3,3.2,3.6,3.8,3.9,4.2,4.7,5.2,5.4,5.4,6,6.5,7.2,7.4,8,9.1,10.2,11.7,14.3,16.3,18.9,21.2,24.3,26.6,29.9,31.2,34.2,39.8,41.6,41.3,47.5,51.5,53.2,61.6,62,70.6,68.9,72.9,74.4,81.9,82.7,85.2,96.1,91.9,84.8,91.5
"72","65","  Legal services (s.)","BGALRC1",0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.4,1.6,1.8,2,2,2.3,2.4,2.6,2.8,3,3.4,3.6,3.8,4.2,4.9,5.4,6,6.9,7.6,7.9,8.7,9.6,11,11.7,13.1,15.5,17.2,18.9,21.4,24.5,27.2,30.8,34.6,37.6,40.9,41.7,44.9,46.2,47,47.4,50.5,53.7,57.5,61,63.9,68,71.3,77.3
"73","66","  Funeral and burial expenses (s.)","BFUNRC1",0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.8,2.9,3.3,3.5,3.8,4,4.5,4.8,5.1,5.4,6,6.8,7.1,7.5,8.3,8.8,9.5,10.1,11,11.5,11.6,12.4,12.7,13,13.8,14,14,14.6,14.6,15.7
"74","67","  Other (s.) \19\","APBORC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.5,2.8,3.1,3.6,4,4.5,5.1,5.8,6.3,7,7.6,8.2,8.9,9.5,10.3,11.1,11.8,13.5,15,16.6,17.6,18.6,20.2,21.8,23,24.6,26.7,29.1,31.6,33.1,35.2,36.6,38.2
"75","68","Transportation","A537RC1",7.7,6.2,5.1,4,4,4.7,5.4,6.2,6.6,5.7,6.5,7.3,8.6,5.6,5.6,5.9,6.8,12.4,15.8,18.4,21.7,25.2,25.3,25.6,29.4,28.8,35,34.4,37.4,35.5,40.7,42.8,41.5,46.4,50.2,53.3,59.4,62.2,64.5,73.9,80.4,81.5,94.5,105.1,115.8,119.7,132.4,156.8,179.1,196.7,219.6,238.9,264,270,300.7,339.9,377.7,385.2,401.3,431.1,455.9,471.7,447.3,483.2,520.8,567.3,594.6,641.8,685.2,718,785,853.4,872.4,877.5,925.5
"76","69","  User-operated transportation","A538RC1",6.1,4.8,3.8,3,3.1,3.6,4.3,5,5.4,4.5,5.2,6,7.2,3.6,2.9,3.1,4,9.5,12.9,15.5,18.9,22.4,22.3,22.5,26.3,25.8,32,31.3,34.3,32.5,37.5,39.5,38.1,42.8,46.7,49.5,55.3,57.9,59.6,68.4,74,74.5,86.8,96.5,106.5,109.1,121.1,143.7,164.4,181,202.2,218.8,242.7,248,276.8,313.1,349.8,356.5,370.5,397.6,420.7,434.7,410.8,445.9,481.1,525.4,550.5,594.8,634.6,664.4,729.3,793.8,818.3,827.2,872.9
"77","70","    New autos (d.)","A136RC1",2.6,1.6,1.1,0.6,0.8,1,1.5,1.9,2,1.2,1.6,2.1,2.6,0.1,0.1,0.1,0,2,4,5,7.7,10.3,8.6,8,11.1,10.8,13.8,11.6,12.6,9.7,13.2,14,12.1,15,17.2,18.3,21.4,21,20,24.5,25.1,21.9,28.2,31.6,33.9,27,29.3,38.2,44.4,48.5,49.3,46.4,50.7,53.3,66,77.1,86.3,99,91.3,96.7,92.9,89.7,72.3,78,82,86.4,82.1,81.8,82.3,87.7,97.5,103.6,103.2,101.6,97.5
"78","71","    Net purchases of used autos (d.)","A137RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.8,1.2,1.3,1.4,1.5,1.4,0.9,0.2,1.8,1.9,2.4,2.8,2.7,2.6,2.6,2.9,3.2,3.4,3.8,3.9,4.3,4.6,5,4.8,5.3,5.9,6.4,6.6,7.4,9.7,10.4,11.1,11.3,10.8,12.8,13.6,15.6,21.4,24.4,23.8,28.4,28.9,31,29.3,31.4,34.4,38.4,46.8,50.5,54.2,57.1,59.6,60.9,60.7,59.7,58.4,53.9
"79","72","    Other motor vehicles (d.)","AOAURC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.5,0.7,0.9,1,1.3,1.5,1.6,2.3,2.8,2.7,3.9,5.6,6.9,6.4,7.7,12.1,15.9,19.1,16.6,11.8,12.8,15.6,22.6,30.3,41,46.7,50.1,56,62.9,63.9,60.3,70.1,80.8,91.2,96.2,108.6,123.8,144.9,165.4,173.2,195.9,215.4,235.4
"80","73","    Tires, tubes, accessories, and other parts (d.)","ATBARC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.3,23.2,24.3,24.6,25.2,27.8,28.5,29.9,29.5,30.5,32.8,36,37.8,40.3,41.9,43.9,47,49,49.1,50.7,53.2
"81","74","    Repair, greasing, washing, parking, storage, rental, and leasing (s.)","BREPRC1",0.8,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.6,0.6,0.7,1,1.7,2,2.2,2.4,2.5,2.9,3.1,3.5,3.6,3.9,4.3,4.6,4.8,5.2,5.5,5.8,6.2,6.6,7.1,7.6,8.1,8.8,9.7,10.9,12.3,13.9,15.1,15.8,17,19.8,22.1,25.7,28.5,32.2,34,37.2,38.5,43.7,51.6,60.5,64,69.8,77.7,82.5,84.9,81.9,90.3,99.5,112.5,125.5,138.7,152.9,161.1,172.6,183.5,189.1,186,186.2
"82","75","    Gasoline and oil (n.d.)","C170RC1",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.3,98.6,111.2,108.5,112.4,114.1,116.2,120.2,130.4,134.4,122.4,137.9,175.7,171.6,163.4,191.3
"83","76","    Bridge, tunnel, ferry, and road tolls (s.)","BTOLRC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.8,2,1.9,2.3,2.3,2.5,2.8,3.1,3.4,3.7,4,4.4,4.4,4.8,5.1,5.1,5.8,6.6
"84","77","    Insurance (s.) \20\","BAINRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.2,1.3,1.5,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6,2.9,3.2,3.5,3.7,4.1,4.6,5.1,5.6,5.7,5.9,6.4,7.3,8.3,9.3,10,10.5,11.2,12.2,13.4,14.7,16.6,18.3,20.4,22.1,23.5,24.4,27.3,30.4,32.8,34.5,36.7,37.8,40.4,43.2,43,44.6,45.8,48.7
"85","78","  Purchased local transportation","A477RC1",1.1,1.1,0.9,0.8,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.9,1,1.3,1.6,1.7,1.7,1.9,1.9,2,2,1.9,2,2,2,1.9,1.9,2,2,1.9,2,2,2,2,2,2,2.1,2.1,2.2,2.4,2.7,3,3.3,3.4,3.5,3.7,4,4.4,4.8,4.8,4.8,4.8,5,5.4,5.8,6.4,6.8,7.1,6.9,7.3,7.5,8.4,8.8,9,9.4,9.9,10.1,10.9,11.1,11.8,11.9,12.2,12.5,12.4,12.6
"86","79","    Mass transit systems (s.)","BSTRRC1",0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2,2.1,2.2,2.4,2.5,2.8,2.9,3.3,3.8,4,4.1,4.2,4.5,4.6,5,5.2,5.8,6.1,6.5,6.7,7.1,7.1,7.7,7.8,8.3,8.6,9.1,9.2,9,8.8
"87","80","    Taxicab (s.)","BTAXRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1.2,1.4,1.6,1.6,1.7,2,2.2,2.4,2.2,2,1.9,1.7,1.5,1.9,2.3,2.6,2.5,2.4,2.3,2.3,2.6,2.6,2.6,2.7,2.8,3,3.2,3.3,3.5,3.3,3.1,3.2,3.4,3.7
"88","81","  Purchased intercity transportation","A480RC1",0.5,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.7,1,1.1,1.1,1,1,1,0.9,0.9,1,1.1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.3,1.4,1.5,1.5,1.7,2,2.3,2.7,3.1,3.7,4,4.4,5.2,5.9,6.9,7.3,8.6,9.9,10.9,12.6,15.4,16.3,16.6,18.1,20.4,21,21.7,23.8,26.2,27.7,28.6,27.7,28.2,30.3,32.1,33.9,36.2,39.5,41.8,43.9,47.4,41.6,37.9,40
