"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"45",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","36","      Current dollars","A229RC0",684,606,518,394,366,418,466,526,560,512,545,581,703,879,990,1072,1088,1141,1188,1300,1276,1385,1497,1550,1621,1627,1714,1801,1867,1898,1979,2022,2078,2171,2246,2410,2563,2734,2895,3114,3324,3587,3860,4140,4616,5010,5498,5972,6517,7224,7967,8822,9765,10426,11131,12319,13037,13649,14241,15297,16257,17131,17609,18494,18872,19555,20287,21091,21940,23161,23968,25472,26237,27157,28033
"47","37","      Chained (2000) dollars","A229RX0",5848,5413,5183,4469,4315,4700,5121,5723,5882,5505,5914,6255,7127,7934,8190,8387,8185,8011,7565,7832,7747,8306,8408,8534,8802,8757,9177,9450,9508,9433,9685,9735,9901,10227,10455,11061,11594,12065,12457,12892,13163,13563,14001,14512,15345,15094,15291,15738,16128,16704,16931,16940,17217,17418,17828,19011,19476,19906,20072,20740,21120,21281,21109,21548,21493,21812,22153,22546,23065,24131,24564,25472,25699,26227,26569
"48","38","  Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282425,285358,288240,291085
"49",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Disposable personal income, current dollars","A067RP1",NA,-10.4,-13.9,-23.5,-6.4,14.7,12.3,13.6,7.2,-7.8,7.3,7.5,22.1,26.4,14.2,9.5,2.6,6,6.1,11.3,-0.1,10.3,9.9,5.4,6.3,2.2,7.2,7,5.6,3.3,6.1,4.3,4.5,6.1,4.9,8.8,7.7,7.9,7,8.6,7.8,9.2,9,8.4,12.6,9.5,10.8,9.7,10.2,12,11.5,12,11.8,7.8,7.7,11.6,6.8,5.7,5.3,8.4,7.3,6.6,4.2,6.4,3.4,4.9,5,5.2,5.3,6.8,4.7,7.5,4.1,4.6,4.2
"51","40","    Disposable personal income, chained (2000) dollars","A067RL1",NA,-6.4,-3.5,-13.2,-2.9,9.6,9.7,12.5,3.4,-5.7,8.3,6.6,15,12.5,4.7,3.6,-1.3,-1.1,-3.7,5.3,0.6,9,3,3.2,4.9,1.3,6.7,4.8,2.4,0.9,4.4,2.6,3.4,4.9,3.7,7.3,6.1,5.3,4.4,4.5,3.1,4.2,4.5,4.8,6.8,-0.7,2.3,3.9,3.5,4.7,2.5,1.2,2.7,2.1,3.3,7.6,3.4,3.1,1.7,4.3,2.8,1.9,0.5,3.4,1,2.7,2.8,3,3.5,5.8,3,4.8,1.9,3.1,2.3
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Equals disposable personal income deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
