"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"59","41","        Other medical products","DOMPRC1","159.0","196.0","214.0","216.0","237.0","308.0","332.0","332.0","362.0","419.0","458.0","480.0","486.0","508.0","575.0","659.0","736.0","820.0","899.0","974.0","1,112.0","1,250.0","1,346.0","1,365.0","1,382.0","1,368.0","1,351.0","1,323.0","1,325.0","1,534.0","1,735.0","1,950.0","2,058.0","2,165.0","2,259.0","2,415.0","2,546.0","2,749.0","2,942.0","3,039.0","3,060.0"
"60","42","      Therapeutic appliances and equipment","DTAERC1","1,666.0","1,904.0","1,939.0","2,167.0","2,410.0","2,702.0","3,037.0","3,257.0","3,514.0","3,949.0","4,527.0","5,072.0","5,661.0","6,243.0","7,136.0","8,359.0","9,618.0","11,011.0","12,601.0","14,768.0","15,869.0","18,405.0","17,513.0","18,097.0","18,882.0","20,375.0","21,013.0","23,005.0","25,261.0","27,814.0","29,704.0","32,169.0","31,833.0","34,043.0","34,996.0","36,427.0","38,236.0","40,211.0","43,264.0","44,262.0","43,924.0"
"61","43","    Outpatient services","DOUTRC1","19,946.0","22,305.0","24,093.0","26,305.0","29,855.0","33,157.0","38,494.0","43,353.0","49,497.0","54,731.0","61,534.0","70,635.0","83,585.0","90,693.0","103,303.0","115,770.0","129,444.0","143,356.0","164,431.0","186,187.0","204,641.0","232,126.0","253,768.0","282,638.0","297,450.0","314,563.0","336,597.0","351,312.0","369,147.0","390,430.0","407,136.0","436,625.0","475,797.0","514,722.0","552,062.0","593,685.0","636,465.0","665,008.0","705,850.0","745,359.0","772,360.0"
"62","44","      Physician services \10\","DPHYRC1","12,431.0","14,012.0","15,344.0","16,657.0","18,452.0","20,398.0","23,571.0","25,893.0","29,728.0","32,714.0","37,171.0","43,271.0","50,993.0","55,822.0","62,858.0","69,928.0","77,489.0","85,370.0","99,137.0","112,466.0","121,895.0","134,774.0","144,894.0","158,661.0","162,051.0","168,259.0","177,849.0","183,405.0","190,873.0","202,021.0","212,102.0","229,244.0","249,300.0","269,306.0","291,331.0","311,360.0","332,403.0","346,793.0","364,837.0","382,484.0","396,237.0"
"63","45","      Dental services","DDENRC1","4,326.0","4,872.0","5,139.0","5,644.0","6,592.0","7,253.0","8,218.0","9,250.0","10,274.0","11,335.0","12,281.0","13,730.0","16,121.0","17,370.0","18,868.0","20,601.0","22,569.0","24,217.0","26,767.0","28,414.0","30,328.0","32,421.0","34,082.0","37,636.0","39,573.0","42,224.0","45,389.0","47,800.0","50,931.0","54,627.0","58,491.0","63,573.0","69,324.0","75,568.0","78,123.0","83,943.0","88,999.0","93,542.0","99,554.0","104,456.0","104,979.0"
"64","46","      Paramedical services","DPMSRC1","3,189.0","3,421.0","3,610.0","4,004.0","4,811.0","5,506.0","6,705.0","8,210.0","9,495.0","10,682.0","12,082.0","13,634.0","16,471.0","17,501.0","21,577.0","25,241.0","29,386.0","33,769.0","38,527.0","45,307.0","52,418.0","64,931.0","74,792.0","86,341.0","95,826.0","104,080.0","113,359.0","120,107.0","127,343.0","133,782.0","136,543.0","143,808.0","157,173.0","169,848.0","182,608.0","198,382.0","215,063.0","224,673.0","241,459.0","258,419.0","271,144.0"
"65","47","        Home health care","DHHCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,987.0","11,999.0","14,347.0","18,399.0","22,086.0","27,026.0","31,874.0","36,662.0","41,608.0","44,450.0","45,667.0","45,303.0","43,177.0","42,801.0","45,425.0","47,032.0","50,186.0","56,134.0","61,216.0","64,064.0","70,103.0","75,181.0","81,243.0"
"66","48","        Medical laboratories","DMLBRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,640.0","4,596.0","5,429.0","6,407.0","7,344.0","8,256.0","8,550.0","9,129.0","9,453.0","10,127.0","11,445.0","13,247.0","14,542.0","16,910.0","19,744.0","21,024.0","22,992.0","24,783.0","26,704.0","28,081.0","29,089.0","31,476.0","33,451.0"
"67","49","        Other professional medical services \11\","DOMDRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,900.0","28,712.0","32,642.0","40,125.0","45,362.0","51,059.0","55,402.0","58,289.0","62,298.0","65,530.0","70,231.0","75,232.0","78,824.0","84,097.0","92,004.0","101,792.0","109,430.0","117,465.0","127,143.0","132,528.0","142,267.0","151,762.0","156,450.0"
"68","50","    Hospital and nursing home services","DHPNRC1","22,113.0","25,358.0","29,632.0","33,537.0","37,320.0","42,926.0","50,506.0","58,496.0","66,194.0","76,471.0","87,306.0","101,026.0","118,329.0","134,489.0","149,822.0","160,708.0","172,751.0","186,804.0","201,580.0","223,864.0","246,568.0","274,076.0","301,991.0","330,147.0","351,359.0","365,898.0","383,289.0","400,755.0","421,802.0","441,616.0","456,454.0","481,800.0","520,768.0","568,151.0","597,207.0","636,045.0","679,487.0","715,724.0","759,568.0","801,851.0","850,864.0"
"69","51","      Hospitals \12\","DHSPRC1","18,303.0","20,901.0","24,314.0","27,580.0","30,628.0","35,260.0","41,685.0","48,625.0","55,141.0","63,623.0","72,948.0","84,662.0","100,035.0","115,176.0","127,394.0","135,803.0","145,777.0","157,413.0","170,922.0","188,785.0","207,699.0","228,784.0","253,293.0","277,619.0","295,473.0","307,246.0","318,444.0","330,073.0","345,494.0","360,080.0","373,236.0","393,892.0","427,107.0","469,536.0","493,772.0","528,821.0","567,007.0","601,015.0","638,012.0","673,832.0","718,601.0"
"70","52","      Nursing homes","DNRSRC1","3,810.0","4,457.0","5,318.0","5,957.0","6,692.0","7,666.0","8,821.0","9,871.0","11,053.0","12,848.0","14,358.0","16,364.0","18,294.0","19,313.0","22,428.0","24,905.0","26,974.0","29,391.0","30,658.0","35,079.0","38,869.0","45,292.0","48,698.0","52,528.0","55,886.0","58,652.0","64,845.0","70,682.0","76,308.0","81,536.0","83,218.0","87,908.0","93,661.0","98,615.0","103,435.0","107,224.0","112,480.0","114,709.0","121,556.0","128,019.0","132,263.0"
"71","53","  Transportation","DTRNRC1","75,885.0","76,502.0","88,742.0","98,315.0","108,567.0","112,768.0","124,391.0","147,373.0","168,125.0","184,475.0","207,123.0","226,485.0","250,726.0","255,868.0","284,925.0","321,776.0","357,415.0","362,580.0","376,634.0","404,758.0","428,335.0","442,931.0","418,274.0","451,284.0","485,332.0","528,231.0","554,065.0","598,935.0","641,819.0","669,156.0","730,469.0","798,408.0","814,097.0","818,350.0","857,412.0","909,488.0","979,345.0","1,008,795.0","1,052,590.0","1,033,478.0","890,668.0"
"72","54","    Motor vehicles","DMTRRC1","32,045.0","28,451.0","36,097.0","41,361.0","45,460.0","38,659.0","42,356.0","56,805.0","66,919.0","74,756.0","73,840.0","66,504.0","73,443.0","79,584.0","100,828.0","124,398.0","146,582.0","163,975.0","164,241.0","175,902.0","180,805.0","176,865.0","157,945.0","176,071.0","193,918.0","216,106.0","220,343.0","235,839.0","253,950.0","280,728.0","309,660.0","321,439.0","342,030.0","359,673.0","358,240.0","359,546.0","361,601.0","346,571.0","349,864.0","291,001.0","269,381.0"
"73","55","      New motor vehicles","DNMVRC1","26,842.0","23,438.0","30,535.0","35,171.0","38,710.0","31,691.0","34,568.0","46,639.0","55,858.0","62,734.0","61,406.0","54,331.0","59,142.0","64,278.0","82,867.0","99,666.0","117,830.0","134,047.0","128,790.0","138,220.0","139,304.0","134,664.0","112,903.0","126,690.0","138,896.0","151,200.0","147,451.0","152,971.0","162,209.0","179,374.0","200,058.0","210,708.0","230,018.0","243,551.0","251,607.0","252,431.0","248,894.0","233,047.0","233,151.0","184,864.0","165,318.0"
"74","56","      Net purchases of used motor vehicles","DNPVRC1","5,203.0","5,013.0","5,562.0","6,190.0","6,750.0","6,968.0","7,788.0","10,166.0","11,061.0","12,022.0","12,434.0","12,173.0","14,301.0","15,306.0","17,961.0","24,732.0","28,752.0","29,928.0","35,451.0","37,682.0","41,501.0","42,201.0","45,042.0","49,381.0","55,022.0","64,906.0","72,892.0","82,868.0","91,741.0","101,354.0","109,602.0","110,731.0","112,012.0","116,122.0","106,633.0","107,115.0","112,707.0","113,524.0","116,713.0","106,137.0","104,063.0"
"75","57","    Motor vehicle operation","DMVORC1","37,350.0","40,989.0","44,851.0","48,241.0","53,674.0","63,382.0","70,614.0","77,413.0","86,448.0","94,006.0","115,778.0","139,741.0","155,902.0","154,364.0","160,217.0","170,334.0","182,726.0","169,395.0","181,099.0","194,227.0","210,460.0","226,897.0","221,033.0","234,723.0","247,934.0","266,132.0","284,913.0","310,897.0","330,796.0","326,503.0","355,176.0","404,007.0","404,127.0","393,730.0","430,093.0","476,010.0","540,962.0","581,635.0","619,565.0","657,982.0","544,255.0"
"76","58","      Motor vehicle parts and accessories","DMVPRC1","5,403.0","6,087.0","7,136.0","8,004.0","8,898.0","9,507.0","10,287.0","11,367.0","12,877.0","14,417.0","16,335.0","17,926.0","19,574.0","20,430.0","22,117.0","22,794.0","23,483.0","23,544.0","23,940.0","26,311.0","26,966.0","28,254.0","27,803.0","28,727.0","30,797.0","33,737.0","35,366.0","37,647.0","39,133.0","39,477.0","41,069.0","41,788.0","41,260.0","41,674.0","43,288.0","45,188.0","48,046.0","50,561.0","52,644.0","52,237.0","50,330.0"
"77","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRC1","20,460.0","21,921.0","23,150.0","24,406.0","28,131.0","36,130.0","39,703.0","43,046.0","46,934.0","50,102.0","66,243.0","86,689.0","97,919.0","94,125.0","93,081.0","94,568.0","97,205.0","80,052.0","85,355.0","88,395.0","98,716.0","111,440.0","108,852.0","112,864.0","114,518.0","116,492.0","120,410.0","130,494.0","134,428.0","121,791.0","136,456.0","172,929.0","168,083.0","160,273.0","192,793.0","231,555.0","283,798.0","314,665.0","342,973.0","383,298.0","280,837.0"
"78","60","      Motor vehicle maintenance and repair","DVMRRC1","10,110.0","11,449.0","12,862.0","13,975.0","14,685.0","15,710.0","18,327.0","20,468.0","23,785.0","26,438.0","29,818.0","31,190.0","33,861.0","35,109.0","39,861.0","45,869.0","53,365.0","56,247.0","61,515.0","68,261.0","72,452.0","73,905.0","69,368.0","73,722.0","78,866.0","86,470.0","93,475.0","100,134.0","106,305.0","112,771.0","119,890.0","127,418.0","133,841.0","136,837.0","143,403.0","148,336.0","154,903.0","156,894.0","162,392.0","159,701.0","154,371.0"
"79","61","      Other motor vehicle services","DOVSRC1","1,377.0","1,532.0","1,703.0","1,856.0","1,960.0","2,035.0","2,297.0","2,532.0","2,852.0","3,049.0","3,382.0","3,936.0","4,548.0","4,700.0","5,158.0","7,103.0","8,673.0","9,552.0","10,289.0","11,260.0","12,326.0","13,298.0","15,010.0","19,410.0","23,753.0","29,433.0","35,662.0","42,622.0","50,930.0","52,464.0","57,761.0","61,872.0","60,943.0","54,946.0","50,609.0","50,931.0","54,215.0","59,515.0","61,556.0","62,746.0","58,717.0"
"80","62","    Public transportation","DPUBRC1","6,490.0","7,062.0","7,794.0","8,713.0","9,433.0","10,727.0","11,421.0","13,155.0","14,758.0","15,713.0","17,505.0","20,240.0","21,381.0","21,920.0","23,880.0","27,044.0","28,107.0","29,210.0","31,294.0","34,629.0","37,070.0","39,169.0","39,296.0","40,490.0","43,480.0","45,993.0","48,809.0","52,199.0","57,073.0","61,925.0","65,633.0","72,962.0","67,940.0","64,947.0","69,079.0","73,932.0","76,782.0","80,589.0","83,161.0","84,495.0","77,032.0"
"81","63","      Ground transportation \13\","DGRDRC1","3,639.0","3,982.0","4,308.0","4,578.0","4,712.0","5,173.0","5,519.0","6,013.0","6,450.0","6,598.0","7,098.0","7,445.0","7,973.0","8,405.0","8,743.0","9,349.0","9,777.0","9,874.0","9,969.0","11,191.0","11,796.0","12,938.0","14,015.0","14,764.0","15,435.0","16,135.0","16,679.0","17,436.0","18,050.0","19,655.0","20,507.0","21,578.0","22,766.0","23,133.0","23,326.0","25,182.0","26,405.0","28,414.0","28,581.0","29,861.0","29,257.0"
"82","64","      Air transportation","DAITRC1","2,846.0","3,075.0","3,480.0","4,128.0","4,712.0","5,543.0","5,890.0","7,128.0","8,291.0","9,096.0","10,384.0","12,768.0","13,377.0","13,480.0","15,066.0","17,552.0","18,088.0","18,987.0","20,935.0","22,987.0","24,840.0","25,891.0","25,069.0","25,581.0","27,742.0","29,226.0","31,072.0","33,269.0","37,216.0","40,269.0","43,042.0","49,166.0","42,873.0","39,515.0","43,348.0","46,163.0","47,654.0","49,368.0","51,596.0","51,603.0","45,057.0"
"83","65","      Water transportation","DWATRC1","5.0","5.0","6.0","7.0","9.0","11.0","12.0","14.0","17.0","19.0","23.0","27.0","31.0","35.0","71.0","143.0","242.0","349.0","390.0","451.0","434.0","340.0","212.0","145.0","303.0","632.0","1,058.0","1,494.0","1,807.0","2,001.0","2,084.0","2,218.0","2,301.0","2,299.0","2,405.0","2,587.0","2,723.0","2,807.0","2,984.0","3,031.0","2,718.0"
"84","66","  Communication","DCMCRC1","10,729.0","11,606.0","12,763.0","14,352.0","16,131.0","17,688.0","19,956.0","22,425.0","24,304.0","27,014.0","29,426.0","31,797.0","35,963.0","41,056.0","44,838.0","48,421.0","53,104.0","56,856.0","59,985.0","63,139.0","67,276.0","70,093.0","73,870.0","81,142.0","85,767.0","93,263.0","98,943.0","108,317.0","120,106.0","130,594.0","144,727.0","162,068.0","171,320.0","177,469.0","181,816.0","187,853.0","192,759.0","207,800.0","221,105.0","230,628.0","234,689.0"
"85","67","    Telephone and facsimile equipment","DTCERC1","20.0","21.0","22.0","24.0","28.0","31.0","34.0","39.0","44.0","152.0","378.0","653.0","979.0","1,199.0","1,224.0","1,244.0","1,220.0","1,256.0","1,306.0","1,436.0","1,625.0","1,782.0","1,874.0","2,049.0","2,302.0","2,676.0","3,011.0","3,389.0","3,736.0","4,177.0","4,806.0","5,515.0","5,839.0","6,243.0","6,465.0","7,082.0","7,543.0","8,212.0","8,717.0","8,984.0","9,705.0"
"86","68","    Postal and delivery services","DPSSRC1","1,424.0","1,490.0","1,693.0","1,884.0","1,950.0","2,111.0","2,181.0","2,557.0","2,695.0","2,988.0","3,331.0","3,570.0","4,095.0","4,717.0","4,975.0","5,391.0","5,906.0","6,339.0","6,800.0","7,288.0","7,466.0","7,509.0","7,793.0","7,790.0","8,045.0","8,491.0","9,153.0","9,483.0","9,646.0","9,787.0","9,865.0","9,890.0","9,658.0","9,456.0","9,057.0","9,200.0","9,261.0","9,497.0","9,806.0","9,831.0","8,995.0"
"87","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRC1","1,393.0","1,450.0","1,640.0","1,819.0","1,881.0","2,034.0","2,101.0","2,469.0","2,609.0","2,891.0","3,238.0","3,488.0","4,028.0","4,660.0","4,839.0","5,158.0","5,582.0","5,923.0","6,284.0","6,665.0","6,725.0","6,654.0","6,819.0","6,707.0","6,879.0","7,225.0","7,797.0","8,075.0","8,232.0","8,203.0","8,203.0","8,072.0","7,845.0","7,733.0","7,289.0","7,353.0","7,273.0","7,360.0","7,593.0","7,594.0","7,050.0"
"88","70","      Other delivery services (by non-USPS facilities)","DODSRC1","31.0","40.0","53.0","65.0","69.0","77.0","80.0","88.0","86.0","97.0","93.0","82.0","67.0","57.0","136.0","233.0","324.0","416.0","516.0","623.0","741.0","855.0","974.0","1,083.0","1,166.0","1,266.0","1,356.0","1,408.0","1,414.0","1,584.0","1,662.0","1,818.0","1,813.0","1,723.0","1,768.0","1,847.0","1,988.0","2,137.0","2,213.0","2,237.0","1,945.0"
"89","71","    Telecommunication services","DTCSRC1","9,285.0","10,095.0","11,048.0","12,444.0","14,153.0","15,546.0","17,741.0","19,829.0","21,565.0","23,874.0","25,717.0","27,574.0","30,889.0","35,140.0","38,639.0","41,786.0","45,978.0","49,261.0","51,879.0","54,390.0","58,135.0","60,702.0","64,003.0","70,998.0","75,008.0","81,291.0","85,168.0","92,770.0","103,149.0","111,081.0","120,001.0","130,226.0","137,580.0","139,841.0","140,166.0","143,120.0","146,067.0","157,790.0","163,922.0","169,355.0","168,863.0"
"90","72","    Internet access","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","25.0","50.0","100.0","200.0","305.0","412.0","805.0","1,611.0","2,675.0","3,575.0","5,549.0","10,055.0","16,437.0","18,243.0","21,929.0","26,128.0","28,451.0","29,888.0","32,301.0","38,660.0","42,458.0","47,126.0"
"91","73","  Recreation","DRRLRC1","43,699.0","47,016.0","50,113.0","56,198.0","63,016.0","68,939.0","77,053.0","86,193.0","94,916.0","106,281.0","118,861.0","127,439.0","141,635.0","151,436.0","169,328.0","189,971.0","207,163.0","225,398.0","247,013.0","273,377.0","295,741.0","314,744.0","326,271.0","346,840.0","378,423.0","413,997.0","449,769.0","481,537.0","509,503.0","545,957.0","593,597.0","639,852.0","655,708.0","680,925.0","712,512.0","764,637.0","807,399.0","859,129.0","905,795.0","915,955.0","897,051.0"
"92","74","    Video and audio equipment, computers, and related services","DVPIRC1","9,798.0","10,463.0","11,026.0","12,387.0","13,873.0","14,991.0","16,796.0","18,461.0","19,986.0","21,673.0","24,146.0","25,911.0","28,721.0","31,122.0","38,503.0","44,208.0","50,778.0","58,772.0","65,279.0","73,167.0","77,660.0","81,097.0","84,559.0","89,092.0","98,662.0","108,571.0","119,259.0","128,040.0","135,919.0","150,660.0","167,926.0","184,361.0","189,760.0","198,110.0","205,418.0","224,776.0","239,432.0","256,115.0","269,535.0","273,317.0","265,197.0"
"93","75","      Video and audio equipment","DVAARC1","7,435.0","7,955.0","8,313.0","9,381.0","10,531.0","11,307.0","12,621.0","13,903.0","14,841.0","16,241.0","18,226.0","19,254.0","20,603.0","20,575.0","24,485.0","28,050.0","32,322.0","36,096.0","39,543.0","42,319.0","43,772.0","43,695.0","42,994.0","44,574.0","48,138.0","53,475.0","56,844.0","58,494.0","58,756.0","66,091.0","74,757.0","83,074.0","87,661.0","92,672.0","93,746.0","100,866.0","107,766.0","114,648.0","115,999.0","115,585.0","107,144.0"
"94","76","      Information processing equipment","DIPERC1","302.0","343.0","385.0","434.0","463.0","485.0","506.0","524.0","582.0","599.0","594.0","641.0","784.0","1,704.0","3,280.0","3,463.0","3,330.0","5,685.0","6,723.0","8,774.0","8,941.0","9,574.0","12,510.0","12,738.0","16,039.0","20,534.0","25,028.0","29,606.0","34,225.0","37,550.0","40,686.0","44,086.0","42,143.0","44,490.0","46,626.0","51,513.0","55,943.0","60,353.0","65,606.0","65,759.0","64,655.0"
"95","77","      Services related to video and audio goods and computers","DSVCRC1","2,061.0","2,165.0","2,328.0","2,572.0","2,879.0","3,199.0","3,669.0","4,034.0","4,563.0","4,833.0","5,326.0","6,016.0","7,334.0","8,843.0","10,738.0","12,695.0","15,126.0","16,991.0","19,013.0","22,074.0","24,947.0","27,828.0","29,055.0","31,780.0","34,485.0","34,562.0","37,387.0","39,940.0","42,938.0","47,019.0","52,483.0","57,201.0","59,956.0","60,948.0","65,046.0","72,397.0","75,723.0","81,114.0","87,930.0","91,973.0","93,398.0"
"96","78","    Sports and recreational goods and related services","DODRRC1","11,728.0","12,058.0","13,066.0","15,641.0","17,544.0","18,548.0","21,346.0","24,646.0","27,282.0","30,604.0","33,812.0","33,639.0","36,642.0","37,908.0","40,114.0","46,766.0","49,636.0","53,675.0","59,813.0","65,066.0","70,861.0","74,170.0","76,503.0","80,621.0","87,313.0","95,460.0","101,932.0","107,758.0","113,414.0","123,244.0","135,167.0","147,858.0","153,305.0","159,515.0","167,252.0","178,294.0","188,400.0","199,641.0","207,569.0","202,954.0","196,939.0"
"97","79","      Sports and recreational vehicles","DWHLRC1","3,258.0","3,472.0","4,178.0","5,479.0","6,409.0","6,199.0","7,451.0","8,578.0","9,983.0","10,845.0","11,706.0","9,826.0","10,424.0","10,346.0","10,748.0","13,759.0","14,622.0","15,714.0","16,434.0","17,024.0","17,310.0","16,617.0","15,963.0","15,864.0","17,979.0","20,379.0","22,491.0","24,076.0","26,034.0","28,655.0","31,824.0","34,917.0","35,377.0","36,547.0","40,639.0","45,012.0","47,741.0","49,660.0","50,351.0","44,836.0","41,712.0"
"98","80","      Other sporting and recreational goods","DORIRC1","8,313.0","8,434.0","8,715.0","9,917.0","10,881.0","12,127.0","13,633.0","15,762.0","16,936.0","19,318.0","21,460.0","23,224.0","25,513.0","26,796.0","28,564.0","31,888.0","33,904.0","36,668.0","41,841.0","46,310.0","51,527.0","55,428.0","58,436.0","62,804.0","67,234.0","72,970.0","77,016.0","81,258.0","84,779.0","91,482.0","99,712.0","108,714.0","113,312.0","118,003.0","121,541.0","128,142.0","135,249.0","144,160.0","151,020.0","152,287.0","149,985.0"
"99","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERC1","157.0","152.0","173.0","245.0","254.0","222.0","262.0","306.0","363.0","441.0","646.0","589.0","705.0","766.0","802.0","1,119.0","1,110.0","1,293.0","1,538.0","1,732.0","2,024.0","2,125.0","2,104.0","1,953.0","2,100.0","2,111.0","2,425.0","2,424.0","2,601.0","3,107.0","3,631.0","4,227.0","4,616.0","4,965.0","5,072.0","5,140.0","5,410.0","5,821.0","6,198.0","5,831.0","5,242.0"
"100","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRC1","6,926.0","7,575.0","8,091.0","8,628.0","9,364.0","10,775.0","12,106.0","13,211.0","14,961.0","16,623.0","18,282.0","20,149.0","22,611.0","24,641.0","27,214.0","29,383.0","31,994.0","33,921.0","35,799.0","40,016.0","45,305.0","49,733.0","52,106.0","57,425.0","61,233.0","64,206.0","69,535.0","74,607.0","78,995.0","83,320.0","87,287.0","91,929.0","94,315.0","97,513.0","101,854.0","106,542.0","110,555.0","117,843.0","124,703.0","129,285.0","126,491.0"
"101","83","      Membership clubs and participant sports centers","DMDFRC1","1,585.0","1,609.0","1,610.0","1,676.0","1,901.0","2,228.0","2,640.0","3,080.0","3,528.0","3,718.0","4,049.0","4,457.0","4,905.0","5,461.0","6,351.0","7,154.0","8,648.0","9,873.0","11,002.0","12,142.0","13,385.0","14,289.0","14,973.0","16,282.0","16,840.0","17,474.0","18,599.0","20,272.0","24,329.0","24,955.0","25,890.0","26,390.0","26,619.0","27,475.0","28,139.0","29,426.0","30,532.0","31,909.0","33,775.0","34,157.0","32,732.0"
"102","84","      Amusements parks, campgrounds, and related recreational services","DORSRC1","2,163.0","2,529.0","2,828.0","3,248.0","3,763.0","4,295.0","4,840.0","5,349.0","6,009.0","6,551.0","7,334.0","8,493.0","9,949.0","10,549.0","11,471.0","11,806.0","12,844.0","12,764.0","13,118.0","14,934.0","17,314.0","19,192.0","20,047.0","23,332.0","24,597.0","25,729.0","28,352.0","29,343.0","28,362.0","29,360.0","29,964.0","31,122.0","31,335.0","30,233.0","31,453.0","33,085.0","34,920.0","37,398.0","40,633.0","42,994.0","41,827.0"
"103","85","      Admissions to specified spectator amusements","DADMRC1","2,993.0","3,219.0","3,409.0","3,431.0","3,387.0","3,868.0","4,198.0","4,297.0","4,868.0","5,720.0","6,189.0","6,390.0","6,828.0","7,654.0","8,343.0","9,300.0","9,261.0","9,967.0","10,278.0","11,392.0","12,875.0","14,402.0","15,180.0","15,739.0","17,514.0","18,628.0","20,085.0","22,443.0","23,660.0","26,060.0","28,127.0","30,616.0","32,310.0","35,018.0","37,065.0","38,491.0","39,214.0","42,092.0","44,067.0","45,624.0","45,580.0"
"104","86","        Motion picture theaters","DMOVRC1","1,507.0","1,629.0","1,733.0","1,744.0","1,647.0","2,022.0","2,197.0","2,074.0","2,368.0","2,752.0","2,823.0","2,578.0","2,721.0","3,134.0","3,188.0","3,421.0","3,244.0","3,338.0","3,443.0","3,884.0","4,572.0","5,136.0","5,231.0","4,939.0","5,056.0","5,308.0","5,612.0","6,099.0","6,608.0","7,226.0","7,948.0","8,611.0","8,993.0","9,597.0","9,883.0","9,867.0","9,083.0","9,413.0","9,562.0","9,653.0","10,388.0"
"105","87","        Live entertainment, excluding sports","DLIGRC1","433.0","454.0","454.0","489.0","533.0","597.0","668.0","800.0","918.0","1,126.0","1,296.0","1,520.0","1,746.0","1,828.0","2,093.0","2,407.0","2,738.0","3,346.0","3,470.0","3,770.0","3,799.0","4,458.0","4,656.0","5,167.0","6,102.0","6,530.0","7,040.0","7,494.0","7,851.0","8,742.0","9,504.0","10,364.0","11,104.0","11,880.0","12,692.0","13,158.0","13,786.0","14,913.0","14,994.0","15,436.0","14,493.0"
"106","88","        Spectator sports","DSPERC1","1,053.0","1,136.0","1,222.0","1,198.0","1,207.0","1,249.0","1,333.0","1,423.0","1,582.0","1,842.0","2,070.0","2,292.0","2,361.0","2,692.0","3,062.0","3,472.0","3,279.0","3,283.0","3,365.0","3,738.0","4,504.0","4,808.0","5,293.0","5,633.0","6,357.0","6,790.0","7,433.0","8,851.0","9,202.0","10,092.0","10,675.0","11,642.0","12,213.0","13,541.0","14,490.0","15,467.0","16,345.0","17,766.0","19,511.0","20,535.0","20,699.0"
"107","89","      Museums and libraries","DMUSRC1","185.0","218.0","244.0","273.0","313.0","384.0","428.0","485.0","556.0","634.0","710.0","809.0","929.0","977.0","1,049.0","1,123.0","1,241.0","1,317.0","1,401.0","1,548.0","1,731.0","1,850.0","1,906.0","2,072.0","2,281.0","2,375.0","2,499.0","2,548.0","2,643.0","2,945.0","3,306.0","3,800.0","4,051.0","4,787.0","5,197.0","5,539.0","5,889.0","6,444.0","6,228.0","6,510.0","6,352.0"
"108","90","    Magazines, newspapers, books, and stationery","DNBSRC1","8,153.0","9,081.0","9,278.0","9,862.0","10,699.0","11,560.0","12,525.0","13,406.0","14,867.0","17,693.0","20,576.0","22,840.0","25,177.0","26,888.0","28,886.0","31,574.0","32,717.0","34,341.0","37,555.0","41,228.0","44,109.0","47,345.0","48,832.0","50,281.0","53,658.0","58,417.0","62,467.0","66,308.0","69,897.0","72,772.0","77,002.0","80,990.0","79,791.0","80,704.0","83,462.0","88,282.0","93,074.0","98,246.0","103,236.0","104,904.0","105,125.0"
"109","91","    Gambling","DGAMRC1","1,518.0","1,667.0","1,869.0","2,177.0","2,654.0","3,037.0","3,447.0","3,930.0","4,411.0","5,182.0","5,865.0","6,702.0","8,427.0","9,678.0","11,053.0","12,564.0","14,253.0","15,516.0","16,938.0","19,686.0","21,255.0","23,660.0","24,664.0","28,080.0","33,277.0","39,608.0","45,418.0","50,291.0","54,513.0","55,881.0","62,341.0","67,556.0","69,990.0","74,057.0","80,930.0","89,785.0","95,637.0","103,865.0","110,854.0","111,902.0","109,335.0"
"110","92","    Pets, pet products, and related services","DPETRC1","2,361.0","2,711.0","2,956.0","3,130.0","3,737.0","4,366.0","4,772.0","5,506.0","6,132.0","6,491.0","7,200.0","8,393.0","9,693.0","10,309.0","11,334.0","12,158.0","13,484.0","13,681.0","14,788.0","15,960.0","17,242.0","18,813.0","19,623.0","20,595.0","22,482.0","24,935.0","27,333.0","30,025.0","32,489.0","34,532.0","37,025.0","39,650.0","41,851.0","44,639.0","46,778.0","49,813.0","53,131.0","56,946.0","61,779.0","65,744.0","67,058.0"
