"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"125","101","Public order and safety","G171081","607.0","628.0","742.0","924.0","925.0","1,088.0","1,366.0","1,539.0","1,670.0","1,858.0","2,116.0","2,450.0","2,585.0","2,874.0","3,291.0","3,834.0","4,577.0","5,358.0","5,999.0","6,904.0","8,220.0","8,983.0","9,467.0","9,036.0","9,885.0","10,308.0","10,752.0","11,691.0","13,086.0","13,876.0","14,570.0","14,944.0","14,641.0","15,802.0","14,805.0","14,920.0","15,406.0","16,397.0","18,481.0","20,678.0","20,983.0"
"126","102","Economic affairs","G171091","16,023.0","16,771.0","17,458.0","17,779.0","18,181.0","21,027.0","22,535.0","23,004.0","23,957.0","28,816.0","33,241.0","36,707.0","38,912.0","38,119.0","40,659.0","45,136.0","50,223.0","52,464.0","54,638.0","56,934.0","58,681.0","65,418.0","66,267.0","68,964.0","72,054.0","72,989.0","74,054.0","77,278.0","81,117.0","84,652.0","94,250.0","101,722.0","108,097.0","112,087.0","115,740.0","117,665.0","122,541.0","130,488.0","141,125.0","149,250.0","152,119.0"
"127","103","Housing and community services","G171101","4,020.0","4,173.0","4,513.0","4,521.0","5,106.0","6,350.0","7,418.0","7,812.0","7,615.0","9,364.0","10,583.0","12,840.0","12,484.0","12,195.0","11,559.0","13,149.0","14,385.0","16,283.0","18,348.0","18,951.0","19,437.0","21,258.0","21,901.0","22,047.0","21,248.0","20,314.0","21,663.0","23,509.0","24,577.0","24,707.0","26,293.0","25,613.0","29,155.0","32,534.0","34,482.0","36,541.0","38,682.0","47,128.0","48,379.0","49,603.0","47,991.0"
"128","104","Health","G171111","1,289.0","1,361.0","1,730.0","1,774.0","1,924.0","2,310.0","2,590.0","2,847.0","2,681.0","2,933.0","3,180.0","3,955.0","4,310.0","4,479.0","5,171.0","5,873.0","6,345.0","7,050.0","7,834.0","8,002.0","8,939.0","9,574.0","10,519.0","10,877.0","11,890.0","11,703.0","11,919.0","12,716.0","12,734.0","13,649.0","13,984.0","14,096.0","14,324.0","15,165.0","16,211.0","16,074.0","17,778.0","17,383.0","19,535.0","21,510.0","22,446.0"
"129","105","Recreation and culture","G171121","585.0","662.0","702.0","675.0","791.0","1,076.0","1,470.0","1,480.0","1,385.0","1,563.0","1,680.0","1,821.0","1,824.0","1,856.0","1,817.0","1,939.0","2,150.0","2,423.0","2,686.0","2,893.0","3,217.0","3,748.0","3,712.0","3,544.0","3,535.0","3,541.0","4,160.0","4,944.0","5,799.0","6,035.0","6,390.0","7,665.0","8,393.0","8,464.0","7,912.0","7,856.0","8,372.0","7,619.0","8,964.0","9,385.0","8,936.0"
"130","106","Education","G171131","7,430.0","7,288.0","7,277.0","7,433.0","8,589.0","9,598.0","9,963.0","9,605.0","8,712.0","9,412.0","10,385.0","11,444.0","11,144.0","11,089.0","11,519.0","13,276.0","15,243.0","17,296.0","17,977.0","21,074.0","24,934.0","27,011.0","30,101.0","31,618.0","30,442.0","33,286.0","39,958.0","43,703.0","49,875.0","52,132.0","59,282.0","64,548.0","68,973.0","71,761.0","73,630.0","76,561.0","80,200.0","88,782.0","95,309.0","102,511.0","101,530.0"
"131","107","Income security","G171141","160.0","115.0","123.0","216.0","234.0","461.0","602.0","724.0","853.0","850.0","809.0","1,027.0","879.0","838.0","798.0","848.0","889.0","821.0","899.0","845.0","1,150.0","1,207.0","1,340.0","1,810.0","1,676.0","1,795.0","1,935.0","1,919.0","1,896.0","2,294.0","2,348.0","2,363.0","2,309.0","2,516.0","2,626.0","2,679.0","3,789.0","5,602.0","3,993.0","3,670.0","3,472.0"
"132","108","      Federal","A787RC1","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0","76,419.0","81,624.0","80,068.0","81,533.0","90,147.0","96,222.0","103,263.0","110,462.0","120,688.0","127,427.0","145,252.0","152,425.0"
"133","109","General public service","G171161","63.0","190.0","335.0","386.0","454.0","812.0","883.0","917.0","941.0","1,056.0","1,448.0","1,728.0","1,594.0","1,846.0","1,725.0","1,680.0","2,072.0","2,210.0","2,659.0","2,047.0","2,038.0","2,672.0","3,040.0","2,976.0","1,948.0","1,602.0","2,901.0","1,748.0","1,938.0","1,663.0","1,965.0","1,041.0","2,306.0","1,978.0","2,420.0","3,981.0","3,687.0","4,279.0","4,666.0","5,471.0","5,721.0"
"134","110","National defense","A788RC1","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0","45,753.0","48,176.0","49,208.0","50,939.0","57,043.0","62,758.0","69,576.0","74,210.0","80,973.0","86,930.0","101,676.0","107,464.0"
"135","111","Public order and safety","G171181","78.0","74.0","70.0","98.0","103.0","103.0","150.0","204.0","210.0","261.0","311.0","336.0","324.0","353.0","563.0","694.0","752.0","885.0","1,051.0","1,268.0","1,472.0","1,479.0","2,046.0","2,261.0","3,292.0","2,998.0","2,748.0","3,473.0","4,387.0","4,931.0","5,125.0","5,237.0","4,876.0","6,212.0","5,947.0","5,627.0","5,706.0","6,500.0","7,197.0","8,437.0","8,551.0"
"136","112","Economic affairs","G171191","2,843.0","2,812.0","3,003.0","3,101.0","3,198.0","3,386.0","3,829.0","4,360.0","4,985.0","6,396.0","6,567.0","7,341.0","8,240.0","7,900.0","8,853.0","9,347.0","10,017.0","9,808.0","10,699.0","10,603.0","11,542.0","13,115.0","13,349.0","15,272.0","15,261.0","12,731.0","13,260.0","14,950.0","13,579.0","14,632.0","16,440.0","15,283.0","13,863.0","14,914.0","14,015.0","14,213.0","15,418.0","16,585.0","17,097.0","16,963.0","17,089.0"
"137","113","Housing and community services","G171201","8.0","45.0","117.0","124.0","141.0","100.0","100.0","126.0","127.0","139.0","133.0","173.0","215.0","178.0","223.0","221.0","220.0","317.0","247.0","209.0","238.0","256.0","298.0","267.0","706.0","362.0","462.0","357.0","303.0","527.0","540.0","29.0","265.0","285.0","370.0","289.0","420.0","225.0","435.0","579.0","373.0"
"138","114","Health","G171211","324.0","352.0","345.0","407.0","521.0","496.0","653.0","643.0","558.0","745.0","655.0","1,023.0","1,315.0","1,227.0","1,926.0","2,391.0","2,562.0","3,033.0","3,419.0","3,309.0","3,629.0","3,747.0","4,395.0","4,291.0","4,935.0","5,037.0","5,098.0","5,863.0","5,243.0","5,779.0","6,060.0","5,852.0","5,735.0","5,822.0","6,518.0","5,732.0","6,467.0","6,015.0","6,488.0","7,684.0","8,772.0"
"139","115","Recreation and culture","G171221","64.0","53.0","56.0","69.0","81.0","117.0","149.0","174.0","186.0","217.0","188.0","182.0","190.0","171.0","135.0","147.0","145.0","150.0","149.0","143.0","155.0","137.0","203.0","226.0","282.0","261.0","279.0","311.0","662.0","706.0","713.0","772.0","788.0","785.0","952.0","690.0","650.0","575.0","614.0","701.0","716.0"
"140","116","Education","G171231","152.0","191.0","224.0","216.0","264.0","209.0","252.0","253.0","251.0","268.0","279.0","330.0","386.0","388.0","492.0","580.0","541.0","596.0","620.0","550.0","623.0","648.0","827.0","809.0","901.0","951.0","1,056.0","1,130.0","1,123.0","1,264.0","1,432.0","1,457.0","1,677.0","1,798.0","1,793.0","1,772.0","1,416.0","1,262.0","1,446.0","1,511.0","1,663.0"
"141","117","Income security","G171241","87.0","38.0","41.0","131.0","132.0","331.0","465.0","582.0","721.0","704.0","663.0","879.0","729.0","678.0","612.0","625.0","603.0","496.0","573.0","439.0","568.0","544.0","678.0","1,107.0","942.0","967.0","1,004.0","967.0","864.0","1,164.0","1,173.0","1,189.0","1,084.0","1,310.0","1,449.0","1,383.0","2,488.0","4,274.0","2,554.0","2,230.0","2,076.0"
"142","118","      State and local","A799RC1","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","329,033.0","350,279.0","350,953.0"
"143","119","General public service","G171261","1,744.0","1,316.0","1,375.0","1,465.0","1,908.0","2,468.0","3,243.0","3,171.0","2,952.0","3,412.0","3,636.0","3,990.0","4,217.0","4,273.0","4,438.0","4,925.0","5,412.0","6,402.0","6,826.0","7,222.0","8,357.0","9,963.0","10,541.0","10,677.0","11,260.0","12,416.0","13,435.0","15,069.0","16,011.0","18,092.0","20,102.0","23,125.0","22,896.0","26,122.0","25,203.0","26,517.0","27,350.0","26,405.0","29,079.0","31,777.0","32,718.0"
"144","120","Public order and safety","G171271","529.0","554.0","672.0","826.0","822.0","985.0","1,216.0","1,335.0","1,460.0","1,597.0","1,805.0","2,114.0","2,261.0","2,521.0","2,728.0","3,140.0","3,825.0","4,473.0","4,948.0","5,636.0","6,748.0","7,504.0","7,421.0","6,775.0","6,593.0","7,310.0","8,004.0","8,218.0","8,699.0","8,945.0","9,445.0","9,707.0","9,765.0","9,590.0","8,858.0","9,293.0","9,700.0","9,897.0","11,284.0","12,241.0","12,432.0"
"145","121","Economic affairs","G171281","13,180.0","13,959.0","14,455.0","14,678.0","14,983.0","17,641.0","18,706.0","18,644.0","18,972.0","22,420.0","26,674.0","29,366.0","30,672.0","30,219.0","31,806.0","35,789.0","40,206.0","42,656.0","43,939.0","46,331.0","47,139.0","52,303.0","52,918.0","53,692.0","56,793.0","60,258.0","60,794.0","62,328.0","67,538.0","70,020.0","77,810.0","86,439.0","94,234.0","97,173.0","101,725.0","103,452.0","107,123.0","113,903.0","124,028.0","132,287.0","135,030.0"
"146","122","Housing and community services","G171291","4,012.0","4,128.0","4,396.0","4,397.0","4,965.0","6,250.0","7,318.0","7,686.0","7,488.0","9,225.0","10,450.0","12,667.0","12,269.0","12,017.0","11,336.0","12,928.0","14,165.0","15,966.0","18,101.0","18,742.0","19,199.0","21,002.0","21,603.0","21,780.0","20,542.0","19,952.0","21,201.0","23,152.0","24,274.0","24,180.0","25,753.0","25,584.0","28,890.0","32,249.0","34,112.0","36,252.0","38,262.0","46,903.0","47,944.0","49,024.0","47,618.0"
"147","123","Health","G171301","965.0","1,009.0","1,385.0","1,367.0","1,403.0","1,814.0","1,937.0","2,204.0","2,123.0","2,188.0","2,525.0","2,932.0","2,995.0","3,252.0","3,245.0","3,482.0","3,783.0","4,017.0","4,415.0","4,693.0","5,310.0","5,827.0","6,124.0","6,586.0","6,955.0","6,666.0","6,821.0","6,853.0","7,491.0","7,870.0","7,924.0","8,244.0","8,589.0","9,343.0","9,693.0","10,342.0","11,311.0","11,368.0","13,047.0","13,826.0","13,674.0"
"148","124","Recreation and culture","G171311","521.0","609.0","646.0","606.0","710.0","959.0","1,321.0","1,306.0","1,199.0","1,346.0","1,492.0","1,639.0","1,634.0","1,685.0","1,682.0","1,792.0","2,005.0","2,273.0","2,537.0","2,750.0","3,062.0","3,611.0","3,509.0","3,318.0","3,253.0","3,280.0","3,881.0","4,633.0","5,137.0","5,329.0","5,677.0","6,893.0","7,605.0","7,679.0","6,960.0","7,166.0","7,722.0","7,044.0","8,350.0","8,684.0","8,220.0"
"149","125","Education","G171321","7,278.0","7,097.0","7,053.0","7,217.0","8,325.0","9,389.0","9,711.0","9,352.0","8,461.0","9,144.0","10,106.0","11,114.0","10,758.0","10,701.0","11,027.0","12,696.0","14,702.0","16,700.0","17,357.0","20,524.0","24,311.0","26,363.0","29,274.0","30,809.0","29,541.0","32,335.0","38,902.0","42,573.0","48,752.0","50,868.0","57,850.0","63,091.0","67,296.0","69,963.0","71,837.0","74,789.0","78,784.0","87,520.0","93,863.0","101,000.0","99,867.0"
"150","126","Income security","G171331","73.0","77.0","82.0","85.0","102.0","130.0","137.0","142.0","132.0","146.0","146.0","148.0","150.0","160.0","186.0","223.0","286.0","325.0","326.0","406.0","582.0","663.0","662.0","703.0","734.0","828.0","931.0","952.0","1,032.0","1,130.0","1,175.0","1,174.0","1,225.0","1,206.0","1,177.0","1,296.0","1,301.0","1,328.0","1,439.0","1,440.0","1,396.0"
"151",NA,"        Capital transfers paid \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","127","      Government \4\","W069RC1","79.0","130.0","155.0","224.0","194.0","259.0","298.0","249.0","225.0","251.0","351.0","404.0","324.0","312.0","139.0","106.0","147.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","4,153.0","17,119.0","21,619.0","42,335.0","18,368.0","29,134.0","104,616.0","161,763.0"
"153","128","General public service","W800RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","207.0","7,221.0","5,129.0","56.0","668.0","1,087.0","444.0","1.0","185.0","25.0","4,190.0","32.0","25.0","193.0","1,886.0","658.0","2,342.0","1,711.0","110.0","159.0","141.0"
"154","129","Economic affairs","W801RC1","79.0","129.0","153.0","220.0","189.0","254.0","290.0","242.0","216.0","239.0","336.0","386.0","307.0","296.0","125.0","92.0","127.0","95.0","119.0","115.0","121.0","131.0","146.0","148.0","140.0","140.0","174.0","164.0","170.0","184.0","261.0","312.0","223.0","322.0","361.0","343.0","281.0","265.0","288.0","61,377.0","35,238.0"
"155","130","  Transportation","W802RC1","79.0","129.0","153.0","220.0","189.0","254.0","290.0","242.0","216.0","239.0","336.0","386.0","307.0","296.0","125.0","92.0","127.0","95.0","119.0","115.0","121.0","131.0","146.0","148.0","140.0","140.0","174.0","164.0","170.0","184.0","261.0","312.0","223.0","322.0","361.0","343.0","281.0","265.0","288.0","377.0","437.0"
"156","131","    Highways","W803RC1","2.0","3.0","9.0","17.0","21.0","20.0","32.0","28.0","36.0","49.0","61.0","71.0","68.0","63.0","57.0","54.0","80.0","62.0","78.0","75.0","79.0","85.0","95.0","97.0","94.0","103.0","128.0","122.0","126.0","114.0","160.0","229.0","85.0","86.0","90.0","71.0","107.0","111.0","133.0","207.0","242.0"
"157","132","    Air","W804RC1","0.0","0.0","3.0","5.0","6.0","6.0","10.0","9.0","11.0","15.0","18.0","22.0","21.0","19.0","17.0","17.0","24.0","19.0","23.0","23.0","24.0","26.0","29.0","29.0","25.0","23.0","28.0","22.0","20.0","24.0","28.0","21.0","34.0","56.0","42.0","36.0","43.0","60.0","68.0","62.0","64.0"
"158","133","    Water","W805RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","87.0","109.0","43.0","10.0","23.0","33.0","34.0"
"159","134","    Transit and railroad","W806RC1","0.0","1.0","2.0","4.0","5.0","5.0","7.0","7.0","8.0","11.0","14.0","17.0","16.0","15.0","13.0","13.0","19.0","14.0","18.0","17.0","18.0","20.0","22.0","22.0","21.0","14.0","18.0","20.0","24.0","46.0","73.0","62.0","104.0","171.0","142.0","127.0","88.0","84.0","64.0","75.0","97.0"
"160","135","  Other economic affairs","W807RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","61,000.0","34,801.0"
"161","136","Housing and community services","W808RC1","0.0","1.0","2.0","4.0","5.0","5.0","8.0","7.0","9.0","12.0","15.0","18.0","17.0","16.0","14.0","14.0","20.0","16.0","19.0","19.0","20.0","21.0","24.0","24.0","20.0","17.0","23.0","36.0","48.0","36.0","28.0","26.0","35.0","46.0","30.0","4,493.0","23,769.0","33.0","41.0","9,739.0","95,105.0"
"162","137","Health","W809RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","12,695.0","15,630.0","10,972.0"
"163","138","Income security","W810RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,000.0","17,711.0","20,307.0"
"164","139","      Federal \5\","W020RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,898.0","36,344.0","36,590.0","42,013.0","49,199.0","62,589.0","63,499.0","84,786.0","70,498.0","82,815.0","160,818.0","224,551.0"
"165","140","General public service","W698RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","207.0","7,221.0","5,129.0","56.0","668.0","1,087.0","444.0","1.0","185.0","25.0","4,190.0","32.0","25.0","193.0","1,886.0","658.0","2,342.0","1,711.0","110.0","159.0","141.0"
"166","141","Economic affairs","G171361","4,302.0","4,878.0","5,337.0","5,374.0","5,153.0","5,936.0","7,242.0","7,636.0","7,720.0","8,737.0","10,469.0","12,423.0","11,952.0","11,254.0","12,765.0","14,983.0","16,610.0","17,084.0","16,365.0","17,342.0","17,710.0","18,642.0","18,916.0","20,316.0","21,543.0","22,977.0","24,890.0","25,817.0","26,367.0","26,257.0","29,279.0","33,106.0","37,589.0","41,151.0","41,059.0","42,068.0","44,695.0","47,583.0","49,283.0","114,131.0","94,018.0"
"167","142","  Transportation","G171371","4,302.0","4,878.0","5,337.0","5,374.0","5,153.0","5,936.0","7,242.0","7,636.0","7,720.0","8,737.0","10,469.0","12,423.0","11,952.0","11,254.0","12,765.0","14,983.0","16,610.0","17,084.0","16,365.0","17,342.0","17,710.0","18,642.0","18,916.0","20,316.0","21,543.0","22,977.0","24,890.0","25,817.0","26,367.0","26,257.0","29,279.0","33,106.0","37,589.0","41,151.0","41,059.0","42,068.0","44,695.0","47,583.0","49,283.0","53,131.0","59,217.0"
"168","143","    Highways","G171381","4,016.0","4,551.0","4,911.0","4,662.0","4,354.0","4,756.0","5,748.0","6,117.0","5,931.0","6,358.0","7,957.0","9,445.0","8,623.0","8,096.0","9,244.0","11,291.0","13,290.0","13,512.0","12,976.0","14,012.0","13,799.0","14,173.0","14,256.0","15,708.0","16,908.0","18,567.0","19,527.0","20,188.0","20,866.0","20,755.0","23,503.0","25,732.0","28,314.0","30,899.0","30,705.0","30,576.0","32,844.0","34,485.0","35,856.0","38,479.0","41,608.0"
"169","144","    Air","G171391","103.0","77.0","78.0","166.0","214.0","307.0","326.0","203.0","398.0","610.0","535.0","607.0","392.0","340.0","591.0","711.0","821.0","920.0","859.0","872.0","1,158.0","1,329.0","1,612.0","1,822.0","1,817.0","1,653.0","1,720.0","1,660.0","1,476.0","1,553.0","1,555.0","1,742.0","2,283.0","2,913.0","2,888.0","3,746.0","3,916.0","4,284.0","4,147.0","4,472.0","4,764.0"
"170","145","    Water","W813RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","87.0","109.0","43.0","10.0","23.0","33.0","912.0"
"171","146","    Transit and railroad","G171411","106.0","125.0","209.0","352.0","428.0","650.0","927.0","1,118.0","1,230.0","1,605.0","1,734.0","2,095.0","2,735.0","2,619.0","2,892.0","2,973.0","2,495.0","2,652.0","2,530.0","2,458.0","2,753.0","3,140.0","3,048.0","2,786.0","2,818.0","2,757.0","3,643.0","3,969.0","4,025.0","3,949.0","4,221.0","5,632.0","6,992.0","7,330.0","7,379.0","7,637.0","7,892.0","8,804.0","9,257.0","10,147.0","11,933.0"
"172","147","  Other economic affairs","W699RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","61,000.0","34,801.0"
"173","148","Housing and community services","G171421","286.0","382.0","612.0","677.0","844.0","1,990.0","2,469.0","2,981.0","3,473.0","3,247.0","4,053.0","4,316.0","3,784.0","3,416.0","2,817.0","2,800.0","2,955.0","2,997.0","2,734.0","2,412.0","2,294.0","2,342.0","2,462.0","2,241.0","2,093.0","1,983.0","2,566.0","2,602.0","2,662.0","2,616.0","2,875.0","3,452.0","4,399.0","4,263.0","4,802.0","4,648.0","21,806.0","4,845.0","4,727.0","13,187.0","99,113.0"
"174","149","Health","G171431","1,272.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","12,695.0","15,630.0","10,972.0"
"175","150","Income security","G171441",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,000.0","17,711.0","20,307.0"
"176","151","      State and local","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0"
"177","152","Housing and community services \6\","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0"
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","1. Equals consumption expenditures, government social benefits, interest payments, subsidies, less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","""wage accruals less disbursements;"" for federal government, also includes grants-in-aid to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","and local governments and other current transfer payments to the rest of the world (net).  Government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","federal government, and state and local government current expenditures are shown separately in tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","3.1, 3.2, and 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2. Federal grants-in-aid to state and local governments are included in federal current expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","because the grants are transactions between levels of government, they are eliminated in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","consolidation of the government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","3. For more information regarding capital transfers, please see NIPA table 5.10.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","4. Federal investment grants to state and local governments are excluded in the consolidation of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","federal and state and local sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","5. Includes federal investment grants to state and local governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","6. Consists of disaster-related benefits payments by state-owned insurance entities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
