"","Table 2#5#6 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"127","109","    Insurance","DINSRX1","250,750.0","237,668.0","237,439.0","243,423.0","246,110.0","259,560.0","260,837.0","258,472.0","264,679.0","277,203.0","285,411.0","287,393.0","288,461.0","284,885.0","273,148.0"
"128","110","      Life insurance \19\","DLIFRX1","88,765.0","79,966.0","80,460.0","77,344.0","74,969.0","79,739.0","75,751.0","66,780.0","65,165.0","73,412.0","76,502.0","78,693.0","78,876.0","77,664.0","71,697.0"
"129","111","      Net household insurance \20\","DFINRX1","6,231.0","6,323.0","5,726.0","6,530.0","6,571.0","6,546.0","6,517.0","5,960.0","5,529.0","6,051.0","6,167.0","5,993.0","6,922.0","7,012.0","6,698.0"
"130","112","      Net health insurance","DHINRX1","102,544.0","97,888.0","96,495.0","103,510.0","107,764.0","116,119.0","120,701.0","128,627.0","137,158.0","139,749.0","145,128.0","145,263.0","145,360.0","144,607.0","141,370.0"
"131","113","        Medical care and hospitalization \21\","DMINRX1","78,634.0","77,089.0","76,269.0","83,897.0","88,334.0","95,693.0","98,479.0","104,934.0","111,853.0","113,877.0","117,839.0","117,541.0","118,862.0","121,698.0","120,714.0"
"132","114","        Income loss \22\","DIINRX1","1,107.0","1,182.0","1,423.0","1,647.0","1,805.0","1,927.0","2,039.0","2,170.0","2,300.0","2,432.0","2,572.0","2,735.0","2,829.0","2,833.0","2,815.0"
"133","115","        Workers' compensation \23\","DPWCRX1","22,256.0","18,966.0","18,189.0","17,824.0","17,702.0","18,688.0","20,184.0","21,523.0","23,003.0","23,432.0","24,716.0","24,984.0","23,740.0","20,475.0","18,397.0"
"134","116","      Net motor vehicle and other transportation insurance \24\","DTINRX1","52,470.0","52,713.0","53,786.0","55,155.0","55,957.0","56,215.0","57,177.0","57,047.0","57,080.0","58,035.0","57,614.0","57,435.0","57,303.0","55,585.0","53,196.0"
"135","117","  Other goods and services","DOISRX1","432,156.0","447,279.0","460,279.0","479,928.0","499,799.0","518,607.0","526,958.0","537,645.0","555,858.0","572,321.0","580,925.0","591,918.0","597,920.0","593,349.0","575,732.0"
"136","118","    Personal care \25\","DPCRRX1","110,681.0","116,204.0","121,725.0","128,324.0","135,556.0","142,837.0","144,978.0","149,635.0","155,781.0","164,053.0","169,146.0","174,735.0","178,591.0","179,457.0","174,353.0"
"137","119","    Personal items \26\","DPEORX1","36,199.0","38,909.0","40,552.0","45,151.0","51,891.0","57,313.0","55,475.0","59,322.0","63,257.0","67,436.0","72,587.0","75,524.0","74,218.0","69,118.0","66,634.0"
"138","120","    Social services and religious activities \27\","DSOCRX1","79,327.0","81,029.0","83,429.0","88,026.0","93,180.0","98,743.0","106,189.0","110,591.0","114,233.0","117,735.0","118,702.0","121,826.0","125,891.0","129,361.0","131,037.0"
"139","121","    Professional and other services","DPRSRX1","127,752.0","129,977.0","132,060.0","136,098.0","139,295.0","140,120.0","142,977.0","142,809.0","148,387.0","149,188.0","149,435.0","149,974.0","152,477.0","151,138.0","143,883.0"
"140","122","      Legal services","DGALRX1","74,356.0","76,666.0","78,406.0","80,286.0","81,969.0","81,744.0","83,410.0","83,660.0","87,812.0","88,990.0","89,706.0","91,178.0","93,331.0","91,904.0","88,199.0"
"141","123","      Accounting and other business services \28\","DPRORX1","15,888.0","16,366.0","17,008.0","18,663.0","20,029.0","21,140.0","21,918.0","22,569.0","23,246.0","24,335.0","24,291.0","24,132.0","25,602.0","26,006.0","23,338.0"
"142","124","      Labor organization dues","DUNSRX1","13,973.0","13,930.0","14,086.0","13,370.0","12,879.0","12,371.0","11,585.0","11,074.0","11,187.0","11,009.0","10,690.0","10,717.0","10,737.0","11,167.0","10,987.0"
"143","125","      Professional association dues","DAXSRX1","4,900.0","4,824.0","4,942.0","5,115.0","5,376.0","5,598.0","5,886.0","6,101.0","6,046.0","5,946.0","5,756.0","5,919.0","6,016.0","5,699.0","5,744.0"
"144","126","      Funeral and burial services","DFUNRX1","18,394.0","18,016.0","17,499.0","18,567.0","18,977.0","19,206.0","20,143.0","19,392.0","20,087.0","18,908.0","18,992.0","18,032.0","16,797.0","16,381.0","15,673.0"
"145","127","    Tobacco","DTOBRX1","89,973.0","91,245.0","91,501.0","88,194.0","82,287.0","80,326.0","78,864.0","76,074.0","74,728.0","74,105.0","71,055.0","69,894.0","66,858.0","64,650.0","60,699.0"
"146","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX1","-26,861.0","-29,825.0","-23,649.0","-10,116.0","-9,558.0","-2,952.0","3,236.0","2,144.0","3,598.0","2,407.0","-89.0","3,901.0","-6,029.0","-17,354.0","-10,546.0"
"147","129","    Foreign travel by U.S. residents","DFTRRX1","72,848.0","75,850.0","82,811.0","93,161.0","96,284.0","106,794.0","101,026.0","94,636.0","91,767.0","98,568.0","99,762.0","104,107.0","102,271.0","99,485.0","95,342.0"
"148","130","    Less: Expenditures in the United States by nonresidents","DEXFRX1","101,571.0","107,800.0","110,660.0","107,901.0","110,330.0","114,982.0","103,373.0","98,532.0","93,993.0","101,581.0","104,874.0","105,103.0","113,020.0","121,416.0","111,798.0"
"149","131","    Net expenditures abroad by U.S. residents","DNFRRX1","1,862.0","2,126.0","4,200.0","4,625.0","4,488.0","5,236.0","5,583.0","6,040.0","5,825.0","5,419.0","5,023.0","4,897.0","4,720.0","4,578.0","5,910.0"
"150","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \29\","DNPIRX1","142,294.0","150,929.0","140,557.0","153,925.0","164,993.0","177,843.0","191,406.0","209,049.0","219,345.0","218,314.0","214,076.0","235,398.0","245,325.0","267,332.0","256,028.0"
"151","133","  Gross output of nonprofit institutions \30\","DNPERX1","636,438.0","653,417.0","663,797.0","696,725.0","720,967.0","748,991.0","785,303.0","831,110.0","844,015.0","860,604.0","874,632.0","901,014.0","922,559.0","946,805.0","952,052.0"
"152","134","  Less: Receipts from sales of goods and services by nonprofit institutions \31\","DNPSRX1","497,148.0","505,355.0","526,771.0","545,972.0","558,609.0","573,046.0","595,154.0","622,508.0","624,537.0","642,289.0","660,557.0","665,769.0","677,520.0","680,589.0","695,967.0"
"153","135","Residual","A964RX1","-208,300.0","-180,000.0","-151,300.0","-116,100.0","-76,500.0","-47,300.0","-36,600.0","-20,700.0","-12,100.0","-3,500.0","500.0","-3,300.0","-14,400.0","-22,700.0","-27,000.0"
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","8. Consists of household supplies; domestic services; moving, storage and freight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","service; and other household service.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","9. Excludes drug preparations and related products dispensed by physicians, hospitals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","and other medical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","10. Consists of offices of physicians, health maintenance organization medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","centers, and freestanding ambulatory surgical and emergency centers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","11. Includes podiatrists, chiropractors, mental health practitioners (except physicians),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","physical, occupational and speech therapists, audiologists, all other health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","practitioners, ambulance services, kidney dialysis centers, and blood and organ bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","12. Consists of nonprofit hospitals, proprietary hospitals, and government hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Consists of primary sales of these hospitals for personal consumption.  Expenses of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","nonprofit hospitals are included in the expenditures of nonprofit institutions serving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","households (NPISHs).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","13. Includes railway transportation, taxicab services, school and employee services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","limousine services, and airport bus fares.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","14. The quantity index for computers can be used to accurately measure the real growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","rate of this component. However, because computers exhibit rapid changes in prices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","relative to other prices in the economy, the chained-dollar estimates should not be used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","to measure the component's relative importance or its contribution to the growth rate of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","more aggregate series.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","15. Consists of tour operators' and travel agents' margins. Purchases of travel and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","accommodations included in tours are accounted for separately in other personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","consumption expenditures categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","16. Consists of fees paid to business schools and computer and management training,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","technical and trade schools, other schools and instruction, and educational support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","17. Consists of purchases (including tips) of meals and beverages from retail, service,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","and amusement establishments, hotels, dining and buffet cars, schools, school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","fraternities, institutions, clubs, and industrial lunchrooms.  Includes meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","beverages consumed both on- and off-premises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","18. Consists of transient hotels, motels, other traveler accommodations, clubs, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","housing at schools.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","19. Consists of operating expenses of commercial life insurance carriers and fraternal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","benefit life insurance.  For commercial life insurance carriers, excludes expenses for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","accident and health insurance and includes profits of stock companies and services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","furnished without payment by banks, credit agencies, and investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","20. Consists of premiums plus premium supplements less normal losses and dividends paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","to policyholders for insurance on personal property (except motor vehicles).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","21. Consists of premiums less benefits for health, hospitalization, and accidental death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","and dismemberment insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","22. Consists of premiums less benefits for income loss insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","23. Consists of premiums plus premium supplements less normal losses and dividends paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","to policyholders for privately administered workers' compensation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","24. Consists of premiums plus premium supplements less normal losses and dividends paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","to policyholders for motor vehicle and other transportation insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","25. Consists of cosmetics and toiletries, electric appliances for personal care,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","hairdressing salons, and miscellaneous personal care services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","26. Consists of jewelry, watches, luggage, and similar personal items.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","27. Consists of household purchases of goods and services from business, government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","nonprofit institutions providing social services and religious activities. Purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","from nonprofit establishments exclude unrelated sales, secondary sales, and sales to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","businesses, government, and the rest of the world, but include membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","28. Consists of tax preparation and other related services, employment agency services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","and other personal business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","29. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","30. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","government, and the rest of the world; excludes own-account investment (construction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","31. Excludes unrelated sales, secondary sales, and sales to business, government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
