"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"28","20","    Financial services and insurance","DIFSRC1",27.3,28.2,28.8,29.8,30,30.6,31.4,32.3,33.3,33.8,34.5,35,37,37.7,39,39.7,40.1,41,41.9,43,43,44.5,46.9,49.2,52.1,53.6,54.2,56.2,57.5,57.7,59.9,61.9,63.1,65.7,69.5,72.9,76.5,81,81.6,83.5,80.1,89.2,90.9,90.2,91.9,91.6,95.9,103,104.1,102.9,100.2,100.8,104.7,109.7,119,131.9,141.5,139.4,152.6,150.1,147.3,154.2,161.8,162.9,181.3,185.2,194.4,191.5,200.1,199.7,198.1,201.3,204,204.5,205.4,207.3,212.7,216.4,223.6,226.5,234,238.6,239.6,241.4,243.8,245.9,248.5,251.3,258.5,263.9,270.2,274.5,287.4,291.3,296,305.6,318,329,338.3,345,346.7,346.4,345,349.4,355.4,363.9,370.2,376.1,384.4,389.5,393.8,401.6,412.7,422.5,436.9,444.9,452.6,463.2,473.6,479.8,490.6,500.5,512.1,533.3,567.3,561.6,565.9,570.3,562.9,556.6,539,552.9,549.9,558.2,567.8,574.5,572.5,584.5,594.3,602.6,618,625.9,640.2,657.3,668.7,685.4,698.3,706.2,716.5,720.7,722.1,737.6,754.3,762.4,775.4,781.9,782.9,781.5,772.9,748.7,719.6,714.9,715.9,725.4,740.5,764.7,768.1,779.6,786.7,793.1,804.6,798.8,803.3,785.5,779.2,789.3,812.6,833.3,841.5,863.6,865.8,876.9,890.9,897.4,904.7,920.4,925.5
"29","21","    Other services","DOTSRC1",48.9,49.9,50.9,52.1,53.3,54.2,55.2,55.6,56.5,57.4,58.3,59.9,61.7,62.7,64.1,66.2,66.9,68.7,70.4,71.3,72.3,74.4,74.7,76,77.2,78.9,81.6,83.6,85.8,86.8,89.4,92.5,94.8,96.4,98.5,101.3,104.5,107.4,110.3,111.1,113.1,115.2,118.8,121.7,123.7,124.8,127.6,132.6,132.8,135.6,138.4,142,144.9,149.1,152,157.7,162.6,168.4,171.4,177,182.5,184.5,189.2,193.7,198.4,205.8,212.6,214.7,216.3,218.3,223,227,235.6,240.3,244.5,249.3,256.5,259.3,265,270.3,274.2,279.5,283.9,286.9,292.5,298.9,301.5,297,297.1,298.7,301.4,305,314.7,322.5,331.1,334.6,334.9,340.1,347.9,354.6,362.5,366.6,375.5,380.1,385.4,391.4,391.7,396.3,406.2,410.4,425.8,423.3,436.9,447,457.4,467.9,480.1,490.1,504.3,509.6,514.4,518.7,522.8,538.9,553.2,567.5,579.3,586,596.6,612.8,622.4,629.2,633.3,637.2,642.8,655.6,671.7,679.3,690.4,697.3,708.1,718.5,731.3,737.2,745.9,754.8,763,772.7,787.7,803.7,811.5,829,836.8,848.1,851.9,855.3,869.2,875.6,886,889.6,881.5,871.8,876.8,886.5,893.8,904.1,910.3,913.5,926.2,934.8,945.8,950.4,969.3,969.5,972.1,984.2,981.4,992.4,998.6,1015.6,1030.7,1045.7,1061.5,1081.9,1085.2,1099.9,1107.4
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",9.1,9.3,9.6,9.9,10.1,10.3,10.7,10.8,11.1,11.4,11.9,12.4,12.4,12.6,12.7,13.6,13.2,13.8,13.8,14.2,14.8,15.6,15.6,16,16.3,16.6,17.4,17.9,18.8,18.8,18.9,19.4,20,19.9,20.8,21.9,22.2,22.7,23.3,23.9,25.3,25.9,25.9,27.3,28.3,29.5,30.5,31.8,32.5,33.5,34.5,36,36.8,37.4,38.5,39.1,39.5,40.1,41,42.4,43.1,44.9,46,47.5,46.8,47.5,48.3,49.1,50.8,52.7,53.3,53.7,54.3,54.7,56.4,57.3,60.3,62.4,64.5,66,65.7,67.5,69,70,71.4,74.7,78.1,79.2,78.6,79.5,80.6,81.8,84.5,87.1,89.5,90.6,88.8,89.2,90.5,91.7,93.8,96.3,99.5,101.5,100.5,101.7,102.7,104.4,108.1,110.6,111.9,109.6,104.5,103.5,105.2,109.2,115,121.2,127.1,131.9,133.2,136.2,139.6,143.9,149.4,154.3,160.5,168,172.5,177.7,181.8,184.3,189.5,196.1,202.2,205.6,204.8,205.5,206,205.8,206.1,206.8,206.9,205.7,200.9,207.3,210.5,222.4,231.6,240,243.2,241.9,246.1,243,248.4,257.7,266.8,278.8,288.2,294.9,281,273.3,273.4,276.4,275.9,277.3,274.7,273.5,271.8,273,279.7,275.4,280,293.5,292.3,305.7,297.3,301.2,305.2,311.9,315.4,319.5,325.6,329,325.9,329,342.4
"31","23","    Gross output of nonprofit institutions \2\","DNPERC1",32.5,33.5,34.4,35.6,36.7,37.4,38.6,39.6,40.7,42.1,43.5,44.7,45.9,46.7,47.7,49.1,49.7,51.4,52.3,53.8,55.5,58.4,59.7,61.5,63.8,65.9,67.9,71.2,73.9,75,77.2,79.1,81.9,84.4,85.9,88.5,91.8,95.6,98.2,101.1,104.6,107.8,110.1,115,119.4,122.3,128.5,134.2,138.6,143.4,147.6,152.9,156.9,161.3,166.1,170.9,174.3,177.6,180.3,184.5,188.5,192.7,196.1,200.5,203,206.4,211.3,216.5,221.7,225.9,228.6,233,237.8,243.6,250.4,255.6,264,271.6,280.3,286.2,291.5,297.7,304.2,311.5,319.8,330.1,340.9,346.9,350.9,358.8,366.3,375.6,384.2,392.8,401.6,407,411.5,416,422,425.5,430,436.1,444,450.2,451.5,455.9,460.2,466.6,471.4,480.5,486,494.5,493.9,497.7,505.2,513.7,527.6,537.9,548.4,556.3,563.2,570.6,579.8,591.7,601.5,614.7,628.1,642.3,656.4,669.6,683.9,695.9,713.7,731.8,747,755.8,763,770,778.3,787.3,797.8,811.7,827.3,839.2,844.5,858.7,876.4,894.2,910.4,926.7,940.5,951.4,968.5,974.4,986.5,1003.1,1020.7,1034.8,1049.5,1058.6,1061.5,1067.5,1077.6,1083.7,1085.4,1101,1113.1,1124,1126.3,1136.5,1140.2,1155.3,1176.1,1185.8,1200.4,1209.7,1210.4,1228.2,1236.9,1257.3,1246.9,1269.4,1287.2,1309.9,1319,1330.2,1341.4
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",23.4,24.3,24.9,25.7,26.6,27.1,27.9,28.9,29.6,30.7,31.6,32.3,33.4,34.1,35.1,35.5,36.5,37.7,38.5,39.7,40.7,42.9,44.1,45.5,47.5,49.4,50.5,53.3,55.1,56.2,58.3,59.7,61.9,64.4,65.1,66.6,69.6,72.9,75,77.1,79.3,81.8,84.2,87.7,91.1,92.8,98,102.4,106.1,110,113.1,116.9,120.1,123.9,127.7,131.7,134.8,137.6,139.3,142.2,145.3,147.9,150.1,152.9,156.1,159,163,167.4,170.9,173.2,175.4,179.3,183.5,188.9,194,198.3,203.7,209.2,215.8,220.2,225.8,230.3,235.2,241.5,248.4,255.4,262.8,267.7,272.3,279.3,285.7,293.8,299.7,305.7,312,316.4,322.6,326.8,331.5,333.8,336.2,339.8,344.5,348.8,351,354.2,357.5,362.2,363.3,369.9,374.2,384.9,389.5,394.2,400,404.5,412.6,416.7,421.2,424.4,430,434.4,440.3,447.7,452.1,460.4,467.6,474.3,483.9,491.9,502.1,511.6,524.2,535.7,544.8,550.2,558.3,564.5,572.3,581.5,591.7,604.9,620.4,633.5,643.6,651.4,666,671.8,678.8,686.7,697.2,709.5,722.5,731.5,738.2,745.3,753.9,756.1,761.3,763.8,780.5,794.2,804.2,807.3,809.6,823.7,838.3,850.6,854.5,863.4,860.4,879.9,896.1,892.3,908.1,904,913.1,927.1,931.6,945.4,931.5,949.9,961.6,980.9,993.1,1001.2,999
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRC1",456.7,466.4,474.3,483,490.3,498.9,508.6,512.9,530.9,543,555,569.2,584.6,598.3,613.4,632.2,653.5,664.8,676,685.8,696,715.3,735.1,739.5,763.2,785.2,810.9,838.8,867.4,883.5,906.8,931.2,961.8,986.6,1012.6,1044.2,1067.8,1118.7,1144.4,1174.5,1195.1,1224.6,1263.4,1292,1320,1315.2,1367.1,1425.9,1468.6,1489.8,1526.9,1535.1,1567.9,1597.2,1640,1697.3,1741.2,1793.4,1852.2,1901.7,1947.3,1995,2033.8,2079.8,2146.2,2193.3,2262,2279.3,2326.8,2371.8,2440.7,2474.4,2498.5,2558.6,2619.9,2652.5,2724.7,2777,2835,2903.3,2947.4,2995.6,3049.6,3080,3161.5,3196.8,3241.1,3246.5,3263.3,3309.7,3358.7,3392.8,3492.9,3541,3607.3,3678.1,3719.9,3787.8,3848.1,3906.6,3970.9,4027.2,4089.5,4162.5,4195.5,4259.1,4321.3,4379.1,4434.2,4510.1,4569.5,4632.2,4706,4753.9,4856.2,4930.7,5007.4,5112.4,5202.2,5310.6,5375.4,5472.2,5555.6,5673.4,5817.4,5881.8,5971.5,6047.9,6117.2,6168.1,6209.8,6350.9,6392.4,6458.5,6539.4,6591.5,6639.5,6749.6,6883.5,6964,7072.4,7167.1,7279.3,7387.6,7485.7,7620.1,7714,7789.3,7943.7,8030.3,8118.6,8240.9,8342.4,8412,8497.2,8578.1,8606.8,8671.2,8673.4,8561,8529.5,8526,8608.5,8645.6,8710,8820.1,8897.2,9006.8,9098,9187.8,9277.3,9364.1,9503.2,9537.7,9589.3,9679.5,9766.3,9836.6,9921.5,10049.2,10105.3,10281.8,10430.6,10570.7,10630,10788.8,10912.1
"35","26","  Energy goods and services \5\","DNRGRC1",38,38.6,39.2,40.1,40.7,41.1,41.8,42.5,43.6,44,44.5,45.3,45.8,46.5,48,51.1,51.8,53.2,54.8,57.7,60.1,67.4,70.2,72.2,72.4,75.8,78.9,79.5,81.6,82.6,86,92.4,93.7,93.1,96.8,98.8,101.4,102.8,103.4,107.3,115,121.2,132.5,140.7,153.7,157.8,159.3,162.8,171.5,178.2,177.7,181,184.3,178.1,180.7,181.7,178.4,185.4,192.3,193.3,190,195.6,192.4,194.3,199.9,197.4,199,201.9,193.4,177.1,172.7,171,177.8,186.2,188.3,189,191.3,192.1,196.2,196.6,200.9,212,208.2,216.2,210,213.3,226.6,242,226.3,227.7,225.8,224.4,222.1,230.1,233.2,240.1,240.3,238.2,243.5,245.7,246,245.5,248.4,245.6,247,253.4,255.3,250.9,266.2,273.9,264.5,274.1,277.2,269.4,270.8,279.5,259.6,261,260.7,248.5,249.1,269.6,284,286.7,298.6,316.9,329,344.1,347.4,340.5,327,295.4,287.6,313.1,318.9,334.6,365.1,343.1,356.3,362.7,383.9,391.5,397.9,430,432.3,439.5,503.2,519.5,501.8,527.8,554,497.8,523.9,557.1,561.4,580.5,609.7,648,667.7,525.2,471.8,476.4,514.4,536,549.2,535.5,549.6,584.8,610.2,635.8,642.4,625.1,608.1,623.4,635.4,630.9,642,625.5,628.7,635.6,658.3,645.9,628.1,596.9,534,544.4,546.2
"36","27","  Market-based PCE \6\","DPCMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2695.5,2761.3,2822.9,2853.2,2924.4,2979.4,3038.6,3106.7,3155.7,3214.5,3268.6,3311.5,3389.4,3430.1,3487.7,3508.2,3507.5,3559,3599,3622.8,3711.9,3756.6,3818.4,3888.9,3921.2,3977.3,4032.3,4086.5,4143.2,4200,4263.3,4328.3,4357.5,4420.5,4485.7,4535.7,4595.1,4680.7,4716.4,4798.6,4865.1,4893.1,4990.1,5058.5,5101.3,5196.9,5273.9,5366.2,5437,5551,5640.9,5751,5874.3,5955.5,6046.6,6137,6204.9,6242.9,6281.9,6376.7,6405.6,6485.1,6565.1,6618.6,6697.2,6781.6,6926.1,7007.8,7129.3,7215.8,7321.7,7461.1,7556.8,7686.2,7835.8,7912.5,8029,8136.2,8249.8,8309.8,8433.1,8534.7,8616.6,8722.3,8778,8893.4,8921.3,8668.9,8619.1,8638,8757.3,8807.6,8879.4,8948.4,9035.8,9188.2,9309.4,9429.6,9518.1,9597.7,9708.3,9772.7,9834.7,9902.8,9995.6,10020.7,10105.3,10207.6,10286.3,10431.7,10540.9,10637.6,10625.6,10774.5,10886.1
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2196.5,2251.8,2310.1,2338.8,2400.8,2448.1,2496,2559.5,2597.7,2641.2,2693.3,2722,2797.1,2827.4,2866,2870.8,2881.2,2925.7,2968.7,2999.1,3087.7,3124.8,3180.9,3241.4,3273.2,3328.2,3374.9,3421.6,3473.7,3524.9,3580.2,3644.1,3670.1,3725.1,3787,3837.4,3876,3947.1,3988.1,4055.1,4114.8,4152.3,4243.2,4301.9,4363.2,4451.9,4523.7,4621.6,4683.7,4770.6,4839.6,4935.8,5049.2,5100.4,5173.3,5240.8,5302,5339.2,5388.6,5511.3,5547,5599.4,5671.6,5703.2,5743.5,5847,5964.3,6033.7,6125.3,6196.9,6288.6,6384.7,6469.8,6582.7,6662.1,6710.8,6838.8,6913.2,6994.6,7097.6,7184.1,7246.2,7315,7390.7,7410.8,7469.3,7470.3,7370.7,7378.8,7394.6,7475.3,7496.5,7545.3,7631.3,7700,7802.2,7884.2,7966.4,8041.3,8134.3,8255.6,8302.3,8350.8,8418.5,8490.7,8535.1,8609.8,8700.7,8752.1,8901.3,9023.2,9147.7,9200.9,9335.7,9439.9
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Food consists of food and beverages purchased for off-premises consumption; food services, which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
