"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144"
"60","52","A   Motor vehicle and parts dealers","KP4410",56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,72300,73083,72355,73813,70307,73876,76030,77667,73048,72875,73745,75567,75754,72673,75074,75722,75767,75568,77768,80013,78418,77771,80576,78511,78168,79690,80783,78268,81608,75960,79659,79732,83214,82337,80839,82861,80599,80832,80221,81739,79764,84289,88908,79904,76279,74274,78996,79955,83689,80461,81088,81237,79247,79115,80989,79867,80056,80932,82023,83548,82995,84185,83962,84137,84771,82846,80747,83476,84744,84201,82974,81868,82116,80794,80467,78217,77648,75643,72407,73604,70598
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9704,9919,9941,10182,10210,10294,10496,10695,10775,10828,11041,11159,11359,11458,11440,11407,11554,11874,12047,12253,12238,12390,12722,12885,12811,13083,13320,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16254,16144,16243,16190,16374,16686,16855,16996,16715,17071,17798,18200,18180,18537,18717,18611,18868,18802,18623,18828,19010,19172,19374,19509,19427,19000,19691,19906,20651,21013,21316,21864,22178,22325,22615,22828,22802,22959,23534,23657,23625,24094,24849,24726,24804,25062,25301,25668,25569,26307,26274,26530,26538,27247,27367,27859,28303,28725,28500,28466,30010,29741,30075,30275,30485,31034,31096,31190,31681,31322,31854,32372,32839,32647,32707,32898,33104,32943,33715,34002,33987,34204,35133,34470,34272,34506,34519,35097,35719,35298,35255,34430,33903
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26089,26094,26142,27192,26807,26789,26584,26747,26788,26869,27050,26355,27438,25760,27397,27208,27699,28387,28858,28864,28543,29039,29049,28935,28795,28432,30877,30146,29943,30453,30464,30078,30453,30436,30967,31562,31526,30993,31424,32216,32458,32340,32219,32299,32743,33150,33600,33118,35170,35021,35259,34603,33867,33284,33308,33488,32840,33417,32912,33282,33103,32795,33624,32624,34145,32902,33195,32825,32793,32373,32991,31976,31767,31742,31266,31887,32395,32066,32131,31265,31096
"63","55","A   Food and beverage stores","KP4450",37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39820,39654,39519,39134,39339,39286,39270,39166,39061,39298,39454,39390,39716,39517,39518,39667,39195,39686,40016,39851,39848,39748,39668,39487,40118,39685,40104,39961,39915,39995,39907,40108,40423,40327,40517,40648,40837,40948,40953,40864,40900,41023,40916,41181,41213,41240,41160,41195,40970,41489,41257,41448,41683,41679,41711,41959,41459,42379,42085,42372,42270,42483,42111,42156,42271,42278,42587,42224,42369,42485,42607,42761,42547,42581,42826,42698,42554,42723,42401,42433,42052
"64","56","A   Clothing and clothing accessories stores","KP4480",11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14917,15003,14664,14944,14880,14782,14890,15145,14280,15079,14935,15305,15380,15630,15448,15714,15391,15703,15590,15631,15243,16076,15924,16247,16159,15811,16241,16229,16587,16748,16997,16995,17163,16964,17282,17526,17646,17793,18050,17544,17694,17483,17660,17771,17949,18235,18164,18367,18402,19018,18360,19127,18898,19323,18989,19178,18756,19707,19546,19787,20009,20200,19960,20156,20039,20154,20485,20243,20744,20675,20358,20883,21109,20795,21431,20937,21532,21266,21537,21534,21480,21325,21509,20986,21411,21299,21717,21712,21913,21872,21675,21416,20685
"65","57","A   General merchandise stores","KP4520",28541,28773,28780,28722,28790,28902,29431,29613,29427,29727,29809,29604,30048,30487,30647,30756,30896,31120,30929,31068,31518,31762,32079,31999,32658,33174,33559,33154,33448,33725,33859,34013,34384,34319,34452,35293,34607,34892,35529,35081,35717,35746,36149,36204,36702,36646,36717,37097,37722,36894,36441,37530,37583,37572,38034,38322,38205,38772,39202,39895,39565,39840,39757,40194,39830,40355,40120,40231,40004,40974,40972,41061,41268,41767,42105,42028,42621,42871,43496,44430,44347,43815,44356,44635,45202,45029,45719,45230,46013,45302,46071,46183,46530,46784,47026,47657,47534,48082,48057,48709,48648,49621,49461,49747,49872,51108,50768,50578,51562,51750,51687,52463,52194,52345,52561,52683,53368,53445,53454,54119,54920,53960,55236,54806,55147,55381,56143,56446,56317,56190,56692,56894,56672,57378,57784,58003,58912,59111,58947,58386,57977
"66","58","D     Department stores","KP45210",18583,18761,18803,18688,18716,18838,19064,19267,19083,19263,19370,19162,19145,19427,19399,19353,19477,19467,19314,19362,19530,19673,19782,19838,20077,20383,20483,20194,20253,20323,20419,20337,20591,20428,20364,20456,20625,20358,20586,20464,20811,20573,20689,20619,20896,20680,20943,21086,21417,20542,19925,20442,20509,20413,20591,20753,20407,20598,20752,20760,20604,20628,20466,20740,20234,20383,20168,20146,19849,20497,20031,20017,19997,20039,20027,20044,20380,20414,20681,20903,20846,20514,20428,20535,20536,20556,20882,20483,20628,20314,20713,20771,20878,20806,20790,21139,20857,21060,20759,21065,20815,21366,21019,20988,20660,21294,21292,21076,21411,21408,21157,21230,21141,21267,21095,21057,21313,21237,21245,21359,21709,21215,21530,21166,21438,21208,21571,21572,21418,21277,21378,21321,20991,21120,21177,21187,21368,21386,21208,20700,20406
"67","59","D     Other general merchandise stores","KP45290",9886,9938,9899,9962,10002,9989,10299,10272,10275,10396,10367,10375,10852,11008,11202,11363,11378,11618,11583,11676,11962,12063,12274,12135,12560,12771,13059,12945,13182,13392,13430,13670,13786,13887,14085,14843,13979,14536,14945,14618,14907,15174,15461,15584,15805,15964,15774,16010,16306,16349,16509,17077,17064,17146,17429,17555,17775,18148,18421,19094,18921,19167,19243,19407,19536,19906,19883,20012,20074,20402,20842,20942,21162,21607,21945,21855,22113,22324,22678,23373,23346,23143,23747,23917,24462,24276,24639,24539,25159,24766,25136,25189,25424,25736,25983,26267,26411,26750,27005,27348,27521,27947,28114,28417,28839,29442,29118,29134,29770,29954,30124,30800,30624,30653,31017,31170,31592,31735,31735,32268,32715,32248,33180,33101,33179,33610,34008,34295,34312,34318,34705,34949,35035,35590,35925,36123,36824,36997,37000,36919,36793
"68","60","A   Other retail stores","KP44X0",52695,53583,54331,53823,53921,55066,55231,54474,55186,54902,55610,55487,55963,56732,57279,57845,58050,58219,58903,59424,59397,59848,60533,61071,61436,62483,62828,61673,62517,62425,62303,62743,62773,63121,64511,65898,65046,65505,64758,65055,65459,64864,65467,65997,66167,66760,67027,67473,66430,66745,66678,66790,66762,66033,66779,67783,65532,67523,68172,68644,69623,69983,69499,69831,69946,69911,70742,70461,70674,70696,71011,71890,71470,70708,70025,70434,71608,72564,72946,73355,72383,72926,74601,74793,75070,74743,74272,74744,74669,74399,75016,75281,75889,75361,76877,77264,77414,77542,77831,77889,78724,79727,78791,79330,78090,79582,80628,81059,82385,83143,83920,83963,84746,84691,84051,84359,84098,85486,86475,85515,85978,88368,87651,88072,89521,88863,89411,88914,89701,89890,91196,89565,90437,90140,90950,92247,92552,91898,90953,90120,90161
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
