"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"54","44","    Goods","A253RY2",0.67,0.5,1.2,0.45,0.69,0.37,0.6,1.69,1.11,1.52,0.98,0.05,0.09,-0.76,0.07,1.22,-0.59,0.33,0.96,1,0.67,0.99,1.33,-0.47,-0.41,-1.39,-1.58,-0.63,-0.03,0.9,0.12,-0.64,0.11,-0.01,0.5,1.18,0.43,0.45,0.34,0.43,0.57,0.92,-0.08,0.81,1.23,0.54,0.01,0.96,0.23,0.48,1.11,0.97,0.34,1.17,-0.17,-2.5,-3.41,-0.68
"55","45","    Services","A646RY2",0.07,0.07,0.68,0.2,-0.1,0.41,-0.22,1.04,-0.24,0.29,0.1,-0.13,0.13,0.25,-0.25,0.39,0.26,0.15,0.14,0.09,0.06,0.27,-0.25,0.13,-0.15,0,-0.52,-0.47,0.61,0.1,0.14,0.24,-0.46,-0.1,0.5,0.56,0.48,0.16,-0.05,0.47,0.18,-0.05,0.09,0.23,0.41,0.18,0.05,0.87,0.16,0.1,0.88,0.68,-0.36,0.3,-0.31,-0.17,-0.54,-0.09
"56","46","  Imports","A021RY2",-1.02,-0.45,-0.16,-0.62,-1.57,-1.08,-1.56,-0.94,-2.05,-1.63,-1.81,-1.08,-1.89,-1.16,-0.67,-1.59,-1.27,-1.62,-1.91,-1.3,-2.27,-1.75,-2.05,0.04,0.86,1.72,1.31,0.61,-1.28,-1.76,-0.89,-0.97,0.69,-0.78,-0.62,-2.02,-1.45,-2.34,-0.88,-1.56,-0.36,-0.68,-0.37,-1.78,-1.2,-0.7,-0.78,0.1,-0.68,0.08,-0.63,0.6,0.38,0.88,0.38,3.12,6.58,2.14
"57","47","    Goods","A255RY2",-0.75,-0.55,-0.08,-0.46,-1.44,-1.02,-1.36,-0.97,-1.73,-1.55,-1.5,-0.94,-1.56,-0.99,-0.47,-1.5,-1.13,-1.49,-1.72,-1.22,-1.83,-1.53,-1.76,-0.02,0.75,1.95,0.86,0.38,-0.85,-1.84,-0.83,-0.58,0.53,-1.19,-0.17,-1.6,-1.13,-2.12,-0.82,-1.33,-0.45,-0.62,-0.34,-1.55,-0.81,-0.66,-0.74,0.35,-0.67,0.13,-0.41,0.51,0.46,0.67,0.55,3.09,6.25,1.82
"58","48","    Services","A656RY2",-0.27,0.1,-0.08,-0.16,-0.13,-0.06,-0.19,0.03,-0.32,-0.08,-0.31,-0.14,-0.33,-0.17,-0.2,-0.09,-0.13,-0.13,-0.19,-0.08,-0.44,-0.23,-0.3,0.06,0.11,-0.23,0.45,0.23,-0.43,0.08,-0.05,-0.39,0.16,0.41,-0.45,-0.42,-0.32,-0.22,-0.06,-0.23,0.1,-0.06,-0.03,-0.23,-0.39,-0.05,-0.04,-0.25,-0.01,-0.05,-0.22,0.08,-0.08,0.21,-0.17,0.03,0.34,0.32
"59","49","Government consumption expenditures and gross investment","A822RY2",0.28,0.25,-0.15,-0.81,0.5,1.09,-0.07,0.6,0.1,0.61,0.08,0.12,-0.4,1.51,0.67,0.65,0.36,0.3,0.92,1.14,-0.58,0.96,-0.22,0.22,1.04,1.48,-0.13,1.27,1.12,0.71,0.6,0.5,-0.16,1.14,0.25,0.06,0.36,0.28,0.28,-0.46,0.08,0.08,0.68,-0.34,0.75,0.06,0.11,0.21,0,0.82,0.75,0.31,0.51,0.71,0.95,0.24,-0.52,1.12
"60","50","  Federal","A823RY2",-0.08,-0.12,-0.18,-1.04,0.59,0.42,-0.47,-0.06,-0.35,0.47,-0.08,-0.03,-0.78,0.67,-0.19,0.25,-0.15,0.01,0.5,0.55,-0.95,0.94,-0.46,-0.1,0.49,0.5,0.16,0.29,0.58,0.58,0.4,0.43,0.01,1.29,0.04,0.2,0.35,0.16,0.48,-0.34,0.12,0.02,0.65,-0.47,0.79,-0.24,-0.03,0.08,-0.36,0.5,0.63,0.19,0.56,0.55,0.93,0.49,-0.33,0.82
"61","51","    National defense","A824RY2",-0.06,-0.04,-0.22,-0.58,0.37,0.27,-0.38,-0.1,-0.56,0.41,-0.08,0.09,-0.99,0.6,0.2,-0.11,-0.18,0.01,0.46,0.38,-0.93,0.7,-0.31,0.01,0.26,0.21,0.14,0.21,0.34,0.37,0.28,0.38,-0.13,1.45,-0.21,0.35,0.27,0.09,0.54,-0.47,0.17,0.14,0.5,-0.72,0.46,0.05,-0.09,0.38,-0.37,0.39,0.46,0.03,0.39,0.34,0.93,0.2,-0.27,0.67
"62","52","      Consumption expenditures","A997RY2",-0.09,-0.05,-0.07,-0.56,0.17,0.25,-0.27,0.12,-0.4,0.38,-0.28,0.1,-0.78,0.49,0.02,0,-0.07,-0.16,0.35,0.44,-0.91,0.69,-0.35,0.03,0.29,0.1,0.09,0.19,0.34,0.19,0.16,0.42,-0.14,1.34,-0.27,0.3,0.27,0.05,0.38,-0.41,0.21,0.03,0.42,-0.65,0.4,-0.11,0.02,0.24,-0.31,0.24,0.43,0.03,0.27,0.1,0.81,0.15,-0.22,0.52
"63","53","      Gross investment","A788RY2",0.03,0.01,-0.16,-0.02,0.2,0.03,-0.11,-0.22,-0.16,0.02,0.2,0,-0.21,0.1,0.19,-0.11,-0.11,0.17,0.11,-0.06,-0.02,0,0.04,-0.02,-0.03,0.11,0.05,0.02,0,0.18,0.12,-0.04,0,0.11,0.06,0.05,0,0.05,0.16,-0.06,-0.05,0.11,0.08,-0.07,0.06,0.15,-0.11,0.14,-0.06,0.15,0.03,0,0.11,0.24,0.13,0.05,-0.05,0.15
"64","54","    Nondefense","A825RY2",-0.02,-0.08,0.04,-0.46,0.21,0.14,-0.09,0.04,0.21,0.06,0,-0.12,0.21,0.07,-0.4,0.37,0.03,-0.01,0.04,0.16,-0.02,0.24,-0.14,-0.12,0.23,0.29,0.02,0.08,0.24,0.21,0.13,0.05,0.14,-0.16,0.25,-0.15,0.08,0.06,-0.05,0.13,-0.05,-0.12,0.15,0.25,0.32,-0.29,0.06,-0.3,0.01,0.11,0.17,0.16,0.17,0.21,0,0.29,-0.06,0.15
"65","55","      Consumption expenditures","A542RY2",-0.06,-0.01,0.01,-0.44,0.09,0.1,-0.09,0.11,0.17,0.05,0,-0.02,0.01,0.04,-0.37,0.38,-0.02,-0.08,0.06,0.03,0.17,0.26,-0.14,-0.07,0.21,0.28,0.03,0.05,0.17,0.21,0.1,0.06,0.16,-0.2,0.25,-0.13,0.1,0.02,-0.03,0.13,-0.05,-0.12,0.06,0.15,0.3,-0.23,0.06,-0.3,0.02,0.08,0.14,0.16,0.18,0.16,-0.02,0.16,0.06,0.15
"66","56","      Gross investment","A798RY2",0.04,-0.07,0.03,-0.02,0.12,0.04,0,-0.07,0.04,0.01,0,-0.11,0.2,0.03,-0.03,-0.01,0.05,0.08,-0.02,0.13,-0.2,-0.02,-0.01,-0.05,0.02,0.01,-0.01,0.03,0.08,0,0.02,-0.01,-0.02,0.05,0,-0.02,-0.01,0.04,-0.02,-0.01,0,0,0.08,0.1,0.02,-0.07,0.01,0,-0.01,0.03,0.03,0,-0.01,0.05,0.02,0.13,-0.11,0
"67","57","  State and local","A829RY2",0.36,0.36,0.03,0.24,-0.08,0.67,0.4,0.66,0.45,0.15,0.16,0.15,0.38,0.85,0.86,0.4,0.52,0.29,0.41,0.59,0.38,0.02,0.24,0.32,0.55,0.97,-0.29,0.99,0.54,0.13,0.2,0.07,-0.17,-0.15,0.2,-0.14,0.01,0.12,-0.2,-0.11,-0.04,0.06,0.04,0.13,-0.03,0.3,0.14,0.14,0.36,0.32,0.11,0.12,-0.05,0.15,0.01,-0.25,-0.19,0.3
"68","58","    Consumption expenditures","A991RY2",0.31,0.18,0.15,0.19,-0.01,0.43,0.13,0.22,0.19,0.28,0.34,0.35,0.43,0.43,0.39,0.32,0.36,0.29,0.31,0.27,0.1,0.2,0.18,0.23,0.37,0.4,0.42,0.42,0.38,0.25,0.14,-0.02,-0.12,-0.09,-0.1,-0.05,0.06,0.04,0,0.06,0.04,0.02,0.1,-0.01,0.02,0.08,0.18,0.24,0.18,0.21,0.09,0.07,0.07,0.02,0.08,0.04,-0.04,-0.01
"69","59","    Gross investment","A799RY2",0.05,0.18,-0.12,0.04,-0.07,0.24,0.27,0.45,0.26,-0.14,-0.19,-0.2,-0.05,0.42,0.47,0.08,0.16,0,0.11,0.32,0.28,-0.18,0.06,0.1,0.18,0.57,-0.7,0.56,0.16,-0.12,0.05,0.08,-0.05,-0.07,0.3,-0.09,-0.05,0.08,-0.2,-0.18,-0.07,0.04,-0.06,0.14,-0.05,0.22,-0.04,-0.1,0.18,0.11,0.02,0.05,-0.13,0.14,-0.06,-0.28,-0.15,0.31
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
