"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"56","48","      Gross output of general government","W138RG3",70.849,71.402,71.72,72.036,72.746,72.896,73.332,73.85,74.332,74.506,74.764,75.223,75.27,75.563,75.988,76.571,77.283,78.228,79.098,79.895,80.913,81.528,82.33,83.267,84.111,84.605,84.913,84.935,85.329,86.148,87.035,88.189,89.983,90.422,91.234,91.914,92.902,93.893,95.06,96.617,97.813,99.078,100.695,102.414,103.225,104.617,105.66,106.305,107.698,109.122,110.15,112.161,113.957,116.014,117.498,115.106,114.234,114.716
"57","49","        Value added","W139RG3",69.685,70.134,70.509,70.843,71.537,71.429,71.955,72.353,72.832,73.255,73.609,74.027,74.342,74.788,75.441,76.25,77.151,78.073,78.887,79.602,80.205,80.893,81.662,82.564,83.539,84.388,85.219,85.845,86.295,86.975,88.012,89.25,90.64,91.836,92.711,93.429,94.143,95.016,96.026,97.193,98.32,99.491,100.526,101.663,102.63,103.824,105.034,106.304,107.502,108.453,109.443,110.666,111.583,112.539,113.524,114.331,115.04,115.705
"58","50","          Compensation of general government employees","B251RG3",68.408,68.85,69.228,69.555,70.285,70.168,70.717,71.138,71.62,72.048,72.438,72.852,73.222,73.729,74.407,75.274,76.252,77.211,78.081,78.807,79.413,80.081,80.875,81.84,82.883,83.813,84.734,85.404,85.883,86.609,87.752,89.133,90.623,91.971,92.952,93.765,94.531,95.349,96.204,97.257,98.435,99.546,100.446,101.574,102.601,103.676,104.875,106.012,107.042,107.987,108.981,110.206,111.077,112.009,112.907,113.538,114.223,115.091
"59","51","          Consumption of general government fixed capital \2\","B986RG3",81.121,81.631,81.965,82.366,82.692,82.673,82.961,83.127,83.579,83.941,83.952,84.402,84.18,84.06,84.464,84.744,84.931,85.518,85.815,86.428,87.007,87.871,88.421,88.776,89.16,89.305,89.369,89.619,89.821,90.11,90.256,90.293,90.859,90.793,90.808,90.775,91.088,92.413,94.651,96.704,97.437,99.07,101.146,102.347,102.859,104.96,106.25,108.528,110.981,111.978,112.933,114.144,115.406,116.549,118.168,120.268,121.15,120.352
"60","52","        Intermediate goods and services purchased \3\","W140RG3",73.186,73.979,74.164,74.438,75.182,75.918,76.148,76.937,77.422,77.036,77.078,77.623,77.089,77.056,77.006,77.122,77.458,78.453,79.437,80.398,82.234,82.702,83.563,84.56,85.142,84.957,84.281,83.182,83.478,84.557,85.173,86.177,88.719,87.744,88.436,89.043,90.546,91.756,93.22,95.518,96.845,98.289,101.017,103.85,104.364,106.134,106.859,106.307,108.074,110.4,111.505,115.021,118.5,122.672,125.12,116.566,112.644,112.774
"61","53","          Durable goods","B989RG3",108.079,108.414,108.719,109.021,108.726,108.463,108.268,108.203,107.957,107.491,107.02,107.057,106.326,105.665,104.989,104.895,104.347,103.658,103.102,103.073,102.593,102.359,102.066,102.27,100.968,100.836,100.223,99.738,99.546,99.493,99.042,98.69,98.336,98.192,98.076,98.072,98.347,98.605,98.744,99.305,99.702,99.867,100.093,100.339,100.864,101.238,101.57,101.987,102.277,102.615,102.887,103.17,103.838,104.499,105.709,106.578,107.23,107.537
"62","54","          Nondurable goods","B337RG3",66.307,67.553,67.262,67.283,68.753,70.117,69.824,71.311,71.194,69.352,68.87,69.244,67.353,66.901,66.144,65.746,65.66,67.972,70.169,71.729,75.38,76.177,77.521,78.781,78.216,78.184,76.272,73.006,72.84,74.797,75.606,77.68,83.347,79.143,80.136,81.297,84.32,86.291,88.127,92.844,94.934,96.739,101.89,106.437,105.655,109.335,109.467,105.786,108.251,112.972,114.427,122.324,130.056,138.968,142.62,116.409,105.707,107.43
"63","55","          Services","A988RG3",74.602,75.176,75.61,76.02,76.433,76.89,77.429,77.89,78.745,79.156,79.515,80.185,80.397,80.632,81.005,81.413,82.036,82.43,82.86,83.562,84.572,84.908,85.585,86.493,87.834,87.56,87.555,87.595,88.172,88.85,89.433,89.95,91.003,91.714,92.299,92.648,93.411,94.274,95.626,96.722,97.696,99.029,100.601,102.674,103.898,104.712,105.793,106.896,108.385,109.529,110.5,111.826,113.148,114.942,116.807,117.391,116.916,116.145
"64","56","      Less: Own-account investment \4\","W144RG3",74.051,74.81,75.215,75.509,75.983,76.143,76.436,76.877,77.278,77.473,77.755,78.113,78.204,78.475,78.839,79.295,79.896,80.89,81.744,82.541,83.481,84.058,84.791,85.585,86.343,86.974,87.392,87.454,87.807,88.536,89.298,90.21,91.569,91.912,92.6,93.146,94.05,94.991,95.939,97.141,98.42,99.413,100.511,101.657,102.592,103.647,104.583,105.275,106.366,107.394,108.307,109.499,110.706,112.066,113.492,112.994,112.771,113.265
"65","57","            Sales to other sectors","W145RG3",71.134,71.743,72.242,72.939,73.397,73.913,74.429,74.927,75.326,75.833,76.069,76.262,76.516,76.923,77.18,77.746,78.489,78.876,79.244,79.877,80.734,81.063,81.842,82.436,83.14,83.51,84.129,84.698,85.387,86.09,87.116,88.17,89.366,90.495,91.715,92.962,94.078,95.323,96.21,97.238,98.378,99.457,100.433,101.732,102.822,103.989,105.306,106.332,107.616,108.629,109.547,111.198,112.426,113.632,114.9,115.652,116.342,117.112
"66","58","              Tuition and related educational charges","B1065G3",54.765,55.509,56.317,57.079,57.888,58.675,59.406,60.111,60.914,61.635,62.341,62.903,63.653,64.336,64.826,65.32,66.123,66.853,67.386,67.919,68.607,69.589,70.242,70.929,71.736,72.774,73.967,75.146,76.353,77.728,79.124,80.464,81.966,83.538,86.169,88.274,90.337,92.049,93.929,95.88,97.516,99.382,100.827,102.252,103.991,105.794,107.653,109.365,110.943,112.557,114.026,115.995,117.815,119.704,121.39,122.897,124.687,126.685
"67","59","              Health and hospital charges","B1066G3",74.652,75.027,75.327,76.026,76.436,76.806,77.157,77.545,77.683,78.098,78.158,78.084,78.342,78.743,78.92,79.224,79.76,80.029,80.373,80.768,81.228,81.71,82.829,83.284,83.784,84.512,85.12,85.601,86.149,86.922,88.162,89.526,90.725,91.899,92.851,93.911,95.151,96.225,96.957,97.65,98.665,99.445,100.298,101.592,102.555,103.678,104.831,105.564,106.39,107.149,107.83,109.35,109.943,110.788,111.534,111.929,112.796,113.604
"68","60","              Other sales","W146RG3",77.885,78.789,79.362,79.979,80.205,80.731,81.335,81.838,82.33,82.808,82.945,83.272,83.112,83.302,83.498,84.544,85.565,85.862,86.129,87.216,88.833,88.397,88.728,89.467,90.423,89.683,89.871,90.116,90.639,90.715,91.118,91.472,92.449,93.188,93.812,94.737,95.005,96.187,96.635,97.542,98.529,99.52,100.363,101.588,102.439,103.264,104.46,105.449,107.167,108.15,109.044,110.677,112.409,113.691,115.429,116.212,115.965,115.92
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
