"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"29","21","Less: Personal current taxes","W055RC1",716.5,720.3,723.3,772.2,723.9,730.6,741.2,747.4,754.4,759.7,765.8,771.5,786.7,797.9,805,859.4,817.2,826.6,830.6,838.3,846.4,851.1,858.4,865.7,889.4,896.9,903.1,904.6,910.1,916.9,926.2,936.3,943.9,952.2,963.5,970.9,980.7,990.4,999.3,1008,1017.5,1023.5,1028.6,1038.1,1045.1,1052.8,1063,1070.2,1066.3,1075.1,1079.2,1084.1,1091.1,1097.1,1106.9,1116.6,1125.2,1136.9,1148.4,1163.5,1194.6,1205,1214.4,1222.4,1223.9,1231.9,1241.4,1242.5,1247,1249.8,1253.6,1260.5,1284.9,1299.1,1308.8,1310.7,1306.5,1296.2,1181.3,1039.1,1108.3,1232.8,1226.3,1224,1077.9,1067.9,1059.2,1048.1,1042.9,1044.9,1044.3,1047.2,1047.5,1043.4,1041.7,1039.9,1022.9,1021.3,1019.6,1011.2,1017.1,1026,934.9,892.9,1007.8,1013,1018.7,1018.8,1008.2,1008.5,1011.2,1016.4,1027.5,1035.3,1052.1,1065.6,1076.3,1084.4,1089.9,1098.5,1157.4,1164.7,1170.6,1182.7,1191.7,1202.6,1214.9,1223.6,1233.6,1244.1,1253.1,1264.1,1309.8,1323.2,1331.5,1339.6,1337.9,1343.2,1347.1,1352.2,1363.7,1374.1,1391.3,1415.2,1443,1460.6,1474.8,1476,1480.7,1488.6,1494.4,1498.8,1508.7,1512.2,1522.6,1530.7,1527.2,1532,1536,1518,1125.6,1335.1,1347.9,1489.4,1474.7,1455,1431.6,1416.3,1221.4,1194.8,1161.7,1093.9,1080.3,1064.3
"30","22","Equals: Disposable personal income","A067RC1",5370.5,5386.1,5405,5374.1,5432,5451.2,5467.1,5480.5,5500.5,5520,5537.3,5559.7,5580.2,5637,5675.1,5659.8,5744.5,5780.6,5778.9,5800.4,5831.4,5849.2,5875.7,5902.7,5929.4,5958,5989.9,5997.3,6018.4,6044,6071.6,6108.1,6138.5,6174.5,6214.4,6250.8,6316.4,6357.9,6398.4,6428.1,6464.4,6497.8,6526.5,6558,6575.1,6600.8,6625.5,6638.5,6673.4,6688.4,6700.3,6720.9,6738.7,6763,6787.9,6827.6,6844.3,6899,6958.7,7037.6,7118.4,7180.8,7225.6,7248.4,7277.4,7315.6,7366.3,7398.8,7436.6,7443.9,7444.4,7469.9,7540.7,7562.9,7580.6,7567.7,7572.1,7590.5,7706,7843.9,7763.3,7663.5,7683.5,7706.7,7887.2,7908.1,7934.4,7991.9,8014.9,8039.5,8023.8,8024.8,8036.2,8059.9,8080.9,8114.6,8134,8166.3,8219.3,8255.7,8312,8341.2,8442.8,8521.8,8455.9,8508.5,8571.6,8604.4,8634.3,8665.6,8711.5,8764.1,8834.6,8863.5,8894.3,8946.4,8962.4,9015.3,9026.5,9354.6,9050.4,9075.2,9097.3,9147.9,9192,9243.3,9306.4,9354.3,9399.7,9444.1,9486.2,9530.9,9651.8,9708.5,9755.3,9821.7,9853.2,9916.4,9939.3,9985.8,10022.5,10061.1,10097.4,10175.2,10185.5,10248.8,10308,10314,10340.6,10370.4,10396.8,10438.5,10499.7,10541,10582.6,10611.8,10612.9,10602.4,10616,10644.6,11236.3,11019,10907,10809,10831.9,10813.2,10803.9,10780.2,10846.7,10771.4,10749.5,10845.7,11014.4,10870.6
"31","23","Less: Personal outlays","A068RC1",5047.6,5047.9,5084.2,5092.6,5137.7,5183.9,5179.3,5216,5233,5231.8,5275.6,5319.4,5307.1,5355.8,5397.9,5436.8,5454.3,5462.8,5487.4,5512.7,5536,5570.5,5596.1,5624.4,5660,5683.8,5704.6,5711.5,5714.3,5749.9,5807.4,5848.2,5863.7,5901.9,5926.7,5958,5955.1,5989.1,6017.3,6061.1,6113.8,6149.3,6170.6,6208.1,6252.2,6292.8,6312.2,6368,6368.5,6398.8,6435.5,6507.2,6541.9,6573.7,6605,6651.9,6704.8,6726.9,6765.2,6867,6872.6,6961.4,7031.2,7015.7,7053.7,7092.6,7118.9,7154.8,7240.9,7249.9,7265.7,7311.6,7343.2,7361.5,7355,7376,7427,7441.6,7454,7492.9,7397.4,7591.2,7550.7,7532,7562.7,7603.6,7622.3,7693.1,7671.4,7717.5,7775.6,7797.5,7770.7,7806.4,7829.7,7879.4,7907.1,7906.4,7956.2,7983.2,7995.1,8047.1,8103.4,8197.9,8200.2,8207.1,8262.4,8290.1,8361.9,8388.1,8434.8,8450.4,8537,8528.7,8591.9,8615.9,8698.1,8753.5,8801.9,8866,8879.5,8936.9,8981.2,9073.1,9036.1,9123,9214.8,9227.4,9287.5,9324.4,9336.3,9374.9,9457.4,9491.6,9531.4,9588.6,9618.5,9647.4,9730.9,9752.4,9781.2,9809.8,9831.9,9927.5,9995.6,10034.5,10084.9,10123.4,10164.2,10187.1,10224.5,10276.7,10325.5,10364.7,10448.5,10461.7,10472.9,10465.2,10514.2,10555.7,10582.3,10638.6,10625.6,10624.6,10590.5,10504.7,10394.5,10270.6,10347.8,10386,10353.1,10333.5,10333.4,10365.8
"32","24","  Personal consumption expenditures","DPCERC1",4878.4,4877,4910.6,4914.5,4956.8,5001.2,4994.2,5029.6,5044.9,5038.1,5079.9,5122.2,5111.1,5158.7,5199.7,5235.6,5251.9,5258.9,5281.4,5305.1,5326.8,5359.2,5383.6,5411.3,5445.2,5468.3,5487.7,5491.9,5493,5527,5582.5,5621.7,5635.8,5671.5,5695.7,5727.2,5725.6,5760,5786.9,5825.1,5875.7,5909.9,5928.9,5965.9,6009.3,6046.9,6065.9,6121.9,6125.5,6155.6,6191.2,6258,6290.8,6321,6351.8,6396.9,6447.9,6467.7,6503.7,6603.1,6602.8,6689.2,6757,6740.1,6775.6,6811.2,6832.2,6864.7,6948.3,6955.4,6970.7,7017.2,7047.7,7066.5,7060.1,7079.9,7130.8,7145.3,7156.5,7195.8,7101.4,7298.6,7259.9,7243,7275,7316.7,7335.2,7402.9,7380.6,7426.7,7484.4,7507.3,7481.9,7517.6,7543.9,7598.1,7631.3,7630.6,7678.8,7701.1,7710.1,7760.3,7819.6,7913.2,7914.7,7917.3,7972.3,7998.9,8071.1,8098.3,8146.5,8157.7,8240.9,8229.6,8290.2,8311.3,8390.5,8443.9,8489.5,8551.3,8557.2,8614,8657.8,8746.6,8705.9,8789.1,8880.5,8892.9,8953.1,8990.5,9002,9038.5,9115.5,9145.6,9183.6,9236.9,9267.3,9295.6,9372.7,9389.1,9413.5,9440.7,9460.5,9551,9613.9,9653.6,9707.8,9737,9768.6,9782,9816.7,9866.7,9913.3,9954,10042.3,10061.4,10079.6,10077.4,10128.2,10160.2,10183.7,10240.2,10231.4,10232.1,10196.7,10118.7,10013.7,9897,9972.7,10011.3,9978.9,9969.2,9978.2,10019.6
"33","25","  Personal interest payments \1\","B069RC1",118.5,120.1,122.7,126.9,129.6,131.3,132.2,133.3,134.9,137.4,139.2,140.6,140.6,141.6,142.6,144,145.2,146.5,148,149.5,150.9,152.3,153.1,153.5,152.7,153.2,154.2,156.6,158.2,159.6,160.9,162.2,163.6,164.7,165.3,164.9,163.2,163.3,164.7,168.1,170,171.1,171.6,171.9,172.3,172.6,172.6,172,169.6,169.5,170.2,173.2,174.7,176,176.4,177.8,179.4,181.7,183.7,185.9,188.2,190.2,192,193.1,195.3,198.3,203.3,206.3,208.4,209.8,209.9,208.9,206.9,206,205.5,205.9,205.6,205.4,205.7,204.9,203.5,200.5,198.5,196.4,192.8,191.6,191.6,194.7,195,194.8,193.8,192.5,190.8,189.7,186.4,181.6,177.6,177.1,178.5,181.9,184.4,185.7,184.6,185.1,185.3,184,183.7,184.1,183.3,181.6,179.7,182.8,185.8,188.4,190.5,193.1,195.7,198.5,201,203,203.5,203.8,204,207.5,211,214.4,215,215.1,214.7,212.9,213,215,221,224.7,226.1,224.2,223.4,223.6,229.1,233.8,237.7,236.4,238.2,242.9,244.4,243.1,238.8,247.4,256.2,265.1,266.6,268.2,270,266.2,261.1,254.8,244.6,238.6,236.3,242.3,245.1,244.4,239.3,237.3,238.2,234.9,229.4,221.9,221.2,220.4,219.7,210.3,201,191.6
"34","26","  Personal current transfer payments","W211RC1",50.7,50.8,50.9,51.2,51.3,51.4,52.9,53,53.2,56.3,56.5,56.6,55.3,55.5,55.6,57.1,57.3,57.4,58,58.2,58.3,59.1,59.3,59.6,62,62.4,62.7,62.9,63.2,63.4,64,64.2,64.3,65.7,65.8,65.9,66.3,65.8,65.7,67.9,68.1,68.3,70.1,70.3,70.6,73.3,73.7,74.1,73.3,73.7,74.1,76,76.3,76.6,76.9,77.2,77.5,77.5,77.8,78.1,81.7,82,82.3,82.4,82.7,83.1,83.4,83.8,84.2,84.7,85.1,85.5,88.5,88.9,89.4,90.2,90.6,91,91.8,92.2,92.5,92,92.3,92.6,94.9,95.2,95.5,95.5,95.8,96.1,97.4,97.7,97.9,99.1,99.4,99.6,98.3,98.6,99,100.2,100.6,101.1,99.2,99.7,100.2,105.8,106.4,107,107.5,108.1,108.6,109.8,110.3,110.8,111.1,111.5,111.9,111.1,111.4,111.7,118.8,119.1,119.4,119,119.2,119.5,119.2,119.5,119.7,121,121.2,121.5,120.9,121.4,121.7,127.5,127.8,128.2,129.1,129.6,130,132.6,133.2,133.7,137.3,137.8,138.3,138.9,139.4,139.9,141.2,141.8,142.3,144.5,145.1,145.6,148.7,149.2,149.7,153.2,153.6,154,154.9,155.2,155.6,151,151.3,151.6,153.9,154.2,154.6,153.9,154.3,154.6
"35","27","Equals: Personal saving","A071RC1",322.9,338.2,320.8,281.5,294.3,267.3,287.8,264.5,267.5,288.2,261.7,240.2,273.1,281.2,277.2,223.1,290.1,317.8,291.6,287.7,295.4,278.7,279.6,278.3,269.5,274.2,285.4,285.8,304.1,294.1,264.2,259.9,274.8,272.7,287.7,292.7,361.4,368.8,381.1,367,350.6,348.4,355.9,349.9,322.9,307.9,313.3,270.5,304.9,289.7,264.8,213.7,196.8,189.3,182.9,175.7,139.5,172.1,193.5,170.5,245.8,219.4,194.4,232.8,223.7,223.1,247.4,244,195.7,194,178.6,158.3,197.5,201.4,225.6,191.6,145.1,148.9,252,351,365.9,72.4,132.9,174.7,324.5,304.6,312.2,298.8,343.4,321.9,248.2,227.4,265.5,253.6,251.3,235.2,226.8,259.9,263.1,272.5,316.8,294.1,339.4,323.9,255.6,301.4,309.1,314.3,272.4,277.5,276.7,313.7,297.6,334.8,302.4,330.5,264.3,261.8,224.6,488.6,170.9,138.4,116.1,74.7,155.9,120.3,91.6,126.9,112.2,119.7,149.9,156,194.4,216.8,223.9,233.1,234.7,269,208.4,233.4,241.3,251.3,265.5,247.6,189.9,214.3,223.1,190.7,176.4,183.3,172.3,161.8,174.2,176.3,134.1,150,140,137.2,101.8,88.9,654,380.4,281.4,184.4,241.4,308.5,409.5,509.7,498.8,385.4,396.4,512.3,681,504.8
"36","28","  Personal saving as a percentage of disposable personal income","A072RC1",6,6.3,5.9,5.2,5.4,4.9,5.3,4.8,4.9,5.2,4.7,4.3,4.9,5,4.9,3.9,5.1,5.5,5,5,5.1,4.8,4.8,4.7,4.5,4.6,4.8,4.8,5.1,4.9,4.4,4.3,4.5,4.4,4.6,4.7,5.7,5.8,6,5.7,5.4,5.4,5.5,5.3,4.9,4.7,4.7,4.1,4.6,4.3,4,3.2,2.9,2.8,2.7,2.6,2,2.5,2.8,2.4,3.5,3.1,2.7,3.2,3.1,3,3.4,3.3,2.6,2.6,2.4,2.1,2.6,2.7,3,2.5,1.9,2,3.3,4.5,4.7,0.9,1.7,2.3,4.1,3.9,3.9,3.7,4.3,4,3.1,2.8,3.3,3.1,3.1,2.9,2.8,3.2,3.2,3.3,3.8,3.5,4,3.8,3,3.5,3.6,3.7,3.2,3.2,3.2,3.6,3.4,3.8,3.4,3.7,2.9,2.9,2.5,5.2,1.9,1.5,1.3,0.8,1.7,1.3,1,1.4,1.2,1.3,1.6,1.6,2,2.2,2.3,2.4,2.4,2.7,2.1,2.3,2.4,2.5,2.6,2.4,1.9,2.1,2.2,1.8,1.7,1.8,1.7,1.6,1.7,1.7,1.3,1.4,1.3,1.3,1,0.8,5.8,3.5,2.6,1.7,2.2,2.9,3.8,4.7,4.6,3.6,3.7,4.7,6.2,4.6
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","  Personal income excluding current transfer receipts (billions of chained 2005 dollars) \2\","W875RX1",6426.1,6432.2,6440.9,6445.4,6440,6465.5,6483.4,6491.9,6520.8,6540.9,6572.6,6584.5,6590.6,6652.8,6676.6,6692.2,6730.1,6781.6,6774.7,6804.4,6832.4,6839.7,6863.6,6892,6921.8,6952.5,6982.7,6989.9,7025.1,7050.4,7087.3,7131.6,7155.3,7195.4,7250.5,7295.5,7375,7434.3,7484.4,7516.9,7557.6,7605.4,7627.1,7661.4,7688.4,7706.2,7738.9,7746.1,7751.8,7779,7783.7,7781.7,7802.2,7830.2,7845.7,7879.9,7879.3,7940,8013.9,8092.5,8185,8233.9,8254.4,8288.1,8288.6,8322.7,8366.1,8397.8,8402.9,8399.9,8395.9,8399.1,8439.1,8459,8477.4,8430.2,8399.7,8390.9,8394.9,8398.9,8402.3,8367.7,8378.9,8396.9,8409.6,8405.6,8401.2,8391.7,8403.3,8419.9,8380.9,8367.7,8357.8,8359.7,8369.4,8384.7,8361.2,8356.5,8380.2,8422,8495.1,8515.4,8495.2,8498.2,8514.5,8587.8,8646.1,8645.9,8619.7,8616.7,8644.9,8685.7,8731,8735.6,8782.1,8820.2,8835,8853.7,8832.8,9156.2,8874.6,8868.2,8862.8,8882.6,8934.5,8993.7,9035.8,9030.9,8983.5,9019.2,9090.3,9149.9,9237.7,9301.8,9332.2,9361.7,9352.1,9384.5,9384.8,9380,9449.2,9522.4,9558.7,9591.3,9574.6,9605.8,9635.5,9629.9,9629.8,9647.7,9654,9668.3,9691.1,9687.7,9669.4,9651.9,9614.1,9581.6,9556.2,9531.7,9509.5,9455.4,9433.1,9455.9,9437,9451.6,9518.6,9514.1,9330,9196.1,9120.7,9092.1,9076.8,9001.9
"39",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","30","    Total, billions of chained (2005) dollars \2\","A067RX1",6608.8,6615.1,6626,6571.1,6632,6648.6,6659.1,6660.7,6680.5,6687.7,6708.7,6722.3,6730.8,6788.1,6814.1,6776.3,6866.2,6908.9,6890.9,6909,6926.7,6927.5,6945.3,6967.5,6987.5,7004.9,7034.4,7036.3,7063.6,7084.4,7112.3,7148.4,7166.5,7198.1,7242.1,7284.3,7356.8,7408.4,7453.6,7477,7507.6,7551.5,7566.2,7591.6,7615.1,7627,7653.8,7658.9,7684,7702,7709.1,7696.3,7712.9,7738.7,7746.7,7778.9,7772.2,7823.9,7885.3,7953.9,8019.9,8062.8,8077.9,8112,8139.4,8156.3,8194.5,8233,8239.7,8236.3,8225.4,8242.2,8282,8294.4,8313,8283.5,8265.9,8272,8403,8555.3,8495.3,8356.2,8383.8,8416.5,8605.1,8613.3,8616.3,8640.9,8659.9,8675.9,8640.3,8625.1,8622.3,8631.3,8644.5,8673.2,8671,8669.1,8703.6,8757.5,8829.6,8850.4,8933.2,8985.6,8887.6,8944.6,9000.9,9013.6,9009.5,9019.2,9049.3,9088.9,9128.6,9127.3,9144.9,9191.2,9191.5,9208.6,9186.7,9514.6,9193.4,9191.3,9184.2,9206,9253.2,9299.8,9322.8,9327.9,9273.3,9299.5,9365.3,9411.7,9488.7,9540.7,9571.9,9598.8,9605.1,9648,9639.1,9646.9,9701.6,9761,9783.7,9821.6,9804.7,9833,9852.6,9838.8,9838.5,9850.8,9859.9,9886.3,9905.4,9904.7,9877.4,9876.6,9852.4,9823.8,9804.5,9809.3,10316.1,10050.7,9897,9804.5,9813.4,9842.5,9945.9,9974.3,10017.7,9918.8,9908.4,9989.6,10139.4,9952.7
"41",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","31","      Current dollars","A229RC0",20254,20296,20348,20213,20411,20461,20499,20526,20578,20629,20675,20741,20802,20996,21119,21042,21335,21447,21417,21473,21563,21605,21681,21762,21842,21928,22026,22032,22087,22158,22234,22342,22428,22536,22660,22772,22991,23125,23252,23338,23447,23545,23624,23712,23749,23817,23884,23909,24014,24051,24074,24125,24165,24227,24291,24406,24439,24610,24800,25058,25325,25527,25665,25725,25806,25919,26074,26164,26272,26274,26253,26322,26551,26610,26651,26585,26578,26620,27001,27459,27152,26780,26828,26888,27498,27552,27624,27804,27861,27924,27846,27825,27840,27899,27950,28047,28095,28188,28351,28455,28627,28705,29030,29277,29026,29182,29377,29470,29555,29644,29780,29938,30156,30231,30311,30462,30491,30645,30659,31750,30697,30762,30817,30966,31093,31241,31428,31562,31687,31810,31928,32055,32439,32607,32741,32940,33021,33205,33253,33378,33469,33568,33661,33894,33903,34090,34261,34256,34317,34387,34445,34552,34724,34831,34941,35012,34991,34934,34956,35026,36947,36204,35807,35454,35498,35408,35350,35247,35441,35173,35078,35369,35893,35397
"43","32","      Chained (2005) dollars","A229RX0",24924,24927,24945,24715,24920,24956,24968,24947,24992,24993,25049,25079,25091,25283,25357,25193,25502,25634,25539,25577,25613,25588,25628,25687,25739,25781,25866,25848,25923,25973,26045,26147,26183,26271,26407,26537,26778,26945,27087,27146,27231,27363,27387,27450,27505,27520,27591,27584,27651,27695,27698,27627,27659,27723,27721,27806,27753,27909,28102,28321,28532,28663,28693,28790,28863,28897,29005,29114,29109,29071,29008,29043,29161,29183,29226,29099,29013,29010,29443,29949,29712,29200,29273,29365,30001,30008,29998,30062,30103,30134,29985,29906,29870,29876,29900,29978,29950,29923,30022,30185,30410,30457,30716,30870,30508,30678,30848,30872,30839,30853,30935,31048,31160,31131,31165,31296,31270,31302,31204,32293,31181,31155,31111,31163,31300,31432,31483,31473,31261,31323,31521,31654,31891,32043,32126,32193,32190,32307,32249,32245,32397,32567,32616,32716,32636,32707,32748,32677,32651,32664,32666,32725,32758,32729,32613,32586,32484,32369,32284,32278,33921,33022,32491,32160,32161,32229,32543,32612,32732,32389,32334,32577,33042,32408
"44","33","  Population (midperiod, thousands) \3\","B230RC0",265157,265383,265625,265877,266134,266414,266700,266998,267304,267585,267829,268047,268258,268480,268724,268980,269247,269527,269822,270130,270433,270730,271002,271243,271472,271703,271952,272213,272482,272767,273074,273395,273703,273989,274249,274499,274732,274943,275175,275434,275700,275976,276266,276566,276859,277140,277402,277658,277891,278095,278324,278584,278859,279148,279448,279752,280053,280337,280594,280846,281083,281299,281531,281765,282001,282255,282517,282787,283058,283315,283559,283789,284006,284217,284436,284663,284899,285145,285396,285660,285921,286168,286400,286621,286830,287028,287227,287440,287671,287909,288153,288407,288659,288900,289118,289320,289518,289711,289913,290128,290354,290588,290829,291076,291324,291564,291778,291967,292144,292325,292527,292742,292961,293191,293436,293687,293939,294183,294412,294633,294835,295018,295207,295413,295632,295870,296119,296376,296639,296886,297112,297329,297537,297741,297951,298167,298392,298639,298897,299173,299455,299720,299969,300205,300428,300642,300863,301089,301325,301582,301841,302105,302377,302632,302869,303094,303302,303496,303698,303904,304121,304360,304608,304870,305138,305390,305624,305845,306049,306243,306443,306648,306865,307104
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. The current-dollar measure is deflated by the implicit price deflator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
