"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"54","42","  Travel","B768RZ2",1.03,-0.49,-0.46,1.11,0.58,-0.61,0.4,0.08,1.29,-0.19,0.85,0.39,1.49,0.38,0.25,-0.11,-0.33,0.45,0.28,0.42,1.23,0.19,0.03,0.5,-0.37,1.05,-2.5,-1.91,1.79,-0.46,-0.43,0.9,-0.94,-2.53,1.87,0.74,0.15,0.19,-0.14,-0.09,0.17,-0.31,-0.38,0.38,0.1,0,-0.19,0.22,-0.12,-0.29,0.04,-0.09,-0.04,-0.6,0.02,1.5,-0.35,-1.27
"55","43","  Passenger fares","B769RZ2",0.05,0.33,0.21,0.11,-0.01,0.1,0.22,-0.1,0.3,0.35,0.13,-0.41,0.26,0.54,0.22,-0.01,-0.03,-0.02,0.09,0.21,0.2,0.25,0.12,-0.5,-0.52,0.33,-0.36,-1.31,0.01,-0.1,-0.24,0.77,-0.46,-0.21,0.64,0.25,0.32,0.48,-0.09,-0.14,-0.07,0.14,0.22,-0.08,-0.08,0.07,-0.08,-0.08,-0.26,0.23,0.11,-0.11,0.18,-0.19,-0.08,-0.22,-0.29,-0.07
"56","44","  Other transportation","B770RZ2",0.12,-0.23,0.1,-0.44,-0.34,0.73,0.07,-0.24,0.48,0.39,-0.05,0.64,0.17,-0.13,0.06,0.5,-0.14,-0.34,0.22,0.14,0.56,0.5,0.49,-0.21,-0.18,-0.37,-0.81,0.38,-0.11,0.76,0.03,0.38,0.34,-0.47,-0.29,0.15,1.19,0.1,0.27,0.49,0.71,-0.42,-0.46,0.58,0.02,0.38,0.54,0.2,-0.29,0.33,0.18,-0.06,0.11,-0.47,-0.29,-0.55,-0.75,-0.61
"57","45","  Royalties and license fees","B908RZ2",0.1,0.14,0.2,0.25,-0.24,0.02,0.82,-0.58,0.44,-0.04,0.39,-0.16,0.61,-0.11,0.25,0.25,0.11,0.16,0.08,0.2,0.3,0.07,0.87,-0.44,-0.16,-0.08,0.01,0.22,0.75,-0.2,0.29,-0.38,-0.25,0.12,0.29,0.05,0.23,0.23,0.53,-0.04,-0.35,0.21,0.24,-0.35,-0.12,-0.33,-0.05,0.61,-0.14,-0.1,0,-0.2,0.24,0.03,0.61,-0.95,-0.29,-0.11
"58","46","  Other private services","B909RZ2",0.49,0.23,0.53,0.11,0.67,0.36,0.03,0.62,-0.06,0.32,0.77,0.47,0.28,0.91,0.28,0.34,1.52,0.62,0.44,0.15,0.91,0.3,0.42,0.51,0.34,0.62,0.18,0.02,0.78,-0.57,0.77,1.1,0.01,-0.14,0.48,1.58,0.59,0.26,-0.03,1.86,-1.01,0.74,0.64,0.98,2.37,0.49,-0.05,0.79,0.7,0.36,1.11,-0.02,0.12,0.36,0.32,-0.18,-0.47,0.13
"59","47","  Other","B910RZ2",0.17,-0.2,0.04,-0.02,0.06,0.01,0.07,-0.01,0.01,0.06,0.07,-0.04,0.04,-0.02,0.16,-0.05,-0.06,-0.03,0.13,-0.07,0.06,0.05,0.05,-0.01,0.03,0.02,0.01,0,0.02,-0.05,-0.02,0.01,0.01,-0.03,0.03,0.05,0.08,0.04,0.02,-0.02,0.02,-0.07,0.02,0,-0.02,0,0.01,0,0.02,-0.02,0.03,-0.01,-0.02,-0.04,0.01,0.17,0.03,0.02
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
