"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"55","45","    Nondefense","A825RS2",0.16,-0.01,0.02,0.32,0.02,-0.16,0.03,0.07,0.11,0.03,0.03,0.07,0.01,0.02,0.04,-0.01,0.1,0.06,0.07,0.08,0.11,-0.05,0.15,0.06,-0.02,0.04,0.04,0.07,0.25,-0.02,-0.03,0.02,0.29,0.02,0.02,0.02,0.29,0.11,0.04,0.03,0.21,0.04,0.07,0.01,0.18,0.08,0.01,0.02,0.18,0.05,-0.01,0.02,0.13,0.04,0.02,0.01,0.08,0.02
"56","46","      Consumption expenditures","A542RS2",0.15,-0.02,0.02,0.31,0.03,-0.15,0.04,0.07,0.11,0.03,0.03,0.07,0.02,0.02,0.04,-0.01,0.1,0.06,0.06,0.08,0.11,-0.06,0.15,0.06,-0.01,0.04,0.05,0.07,0.25,-0.01,-0.03,0.02,0.29,0.02,0.02,0.02,0.28,0.1,0.03,0.02,0.2,0.04,0.07,0.01,0.17,0.07,0.01,0.02,0.18,0.05,-0.01,0.02,0.13,0.04,0.02,0.01,0.08,0.02
"57","47","      Gross investment","A798RS2",0.01,0.01,0,0,-0.01,-0.01,0,0,0,0,0,0,-0.01,0,0,-0.01,0,0,0,0.01,0.01,0,0.01,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"58","48","  State and local","A829RS2",0.27,0.34,0.19,0.17,0.43,0.04,0.25,0.3,0.24,0.12,0.16,0.32,-0.03,0.12,0.26,0.32,0.36,0.56,0.49,0.46,0.55,0.41,0.43,0.51,0.42,0.25,0.13,0,0.19,0.44,0.41,0.54,0.92,0.12,0.31,0.26,0.46,0.54,0.72,0.86,0.53,0.65,0.84,0.78,0.32,0.7,0.46,0.38,0.7,0.6,0.44,0.81,0.74,0.84,0.66,-0.85,-0.34,0.07
"59","49","      Consumption expenditures","A991RS2",0.19,0.28,0.14,0.12,0.4,0.03,0.21,0.26,0.25,0.04,0.12,0.25,-0.01,0.12,0.22,0.27,0.33,0.5,0.46,0.39,0.49,0.31,0.36,0.45,0.38,0.23,0.1,-0.05,0.15,0.38,0.38,0.52,0.84,0.12,0.3,0.23,0.39,0.37,0.48,0.65,0.46,0.49,0.66,0.67,0.27,0.51,0.34,0.19,0.5,0.52,0.35,0.71,0.64,0.75,0.51,-1.05,-0.43,0.14
"60","50","      Gross investment","A799RS2",0.08,0.06,0.04,0.05,0.03,0.01,0.04,0.04,0,0.07,0.04,0.07,-0.02,0,0.04,0.04,0.03,0.06,0.04,0.08,0.07,0.1,0.07,0.06,0.03,0.02,0.03,0.05,0.05,0.05,0.03,0.02,0.07,0.01,0.01,0.03,0.07,0.17,0.24,0.21,0.07,0.16,0.18,0.12,0.05,0.19,0.12,0.19,0.2,0.08,0.08,0.11,0.1,0.09,0.15,0.2,0.09,-0.07
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","51","  Final sales of computers to domestic purchasers \2\","W489RS2",-0.2,-0.2,-0.32,-0.36,-0.43,-0.48,-0.31,-0.34,-0.45,-0.34,-0.39,-0.36,-0.54,-0.49,-0.54,-0.45,-0.42,-0.35,-0.32,-0.24,-0.18,-0.23,-0.19,-0.2,-0.49,-0.26,-0.27,-0.25,-0.19,-0.11,-0.16,-0.19,-0.16,-0.13,-0.15,-0.09,-0.07,-0.07,-0.12,-0.15,-0.15,-0.13,-0.16,-0.15,-0.13,-0.16,-0.13,-0.09,-0.08,-0.12,-0.15,-0.13,-0.12,-0.11,-0.11,-0.1,-0.08,-0.11
"63","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",2.52,2.34,1.8,2.17,2.56,1.84,2.09,2.59,2.21,1.08,1.29,1.66,0.33,1.07,1.69,1.6,2.01,2.54,2.24,2.41,3.93,1.95,2.77,2.41,2.9,2.07,0.86,0.52,1.55,2.7,1.92,2.74,4.15,0.43,2.47,2.22,4.14,3.7,3.34,3.99,3.8,3.31,5.11,4.29,2.96,3.72,3.01,1.06,4.24,3.17,2.31,4.69,3.48,4,4.36,-3.74,-1.35,0.84
"64","53","  Food \3\","B981RS2",0.14,0.18,0.05,0.09,0.17,0.23,0.26,0.16,0.01,0.04,0.07,0.05,0.05,0.05,0.07,0.12,0.08,0.05,0.08,0.12,0.12,0.14,0.2,0.09,0.2,0.13,0.18,0.09,0.12,0.02,-0.06,0.05,0.11,0.13,0.16,0.24,0.1,0.22,0.09,0.15,-0.05,0.21,0.02,0.12,0.09,0,0.14,0.11,0.25,0.27,0.22,0.26,0.21,0.38,0.47,0.33,-0.06,-0.19
"65","54","  Energy goods and services","B982RS2",-0.03,-0.01,-0.07,-0.09,0.38,0.45,-0.16,0.3,0.24,-0.57,0.08,0.06,-0.75,-0.3,-0.09,-0.17,-0.15,0.62,0.51,0.39,0.81,0.31,0.4,0.27,0.29,0.2,-0.68,-1.16,-0.31,0.67,0.15,0.37,1.24,-0.83,0.56,0.04,0.73,0.23,0.4,0.95,-0.01,0.2,2.03,0.7,-0.1,0.33,0.5,-1.31,0.61,0.83,0.07,1.38,0.82,0.85,1.19,-3.64,-1.59,-0.07
"66","55","  Gross domestic purchases excluding food and energy","B983RS2",2.22,1.97,1.5,1.82,1.58,0.68,1.68,1.8,1.51,1.27,0.76,1.19,0.48,0.82,1.18,1.2,1.67,1.52,1.33,1.66,2.82,1.28,1.99,1.86,1.93,1.48,1.1,1.35,1.55,1.9,1.66,2.13,2.63,1,1.6,1.85,3.24,3.17,2.74,2.73,3.71,2.75,2.9,3.31,2.83,3.23,2.25,2.18,3.3,1.97,1.87,2.92,2.32,2.67,2.59,-0.53,0.22,0.99
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
