"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"55","47","State and local consumption expenditures \1\","A991RL1",3.3,2,1.6,2,-0.2,4.6,1.4,2.3,2,3,3.7,3.9,4.7,4.7,4.3,3.4,3.9,3.1,3.2,2.9,1.1,2.1,1.9,2.4,3.9,4.3,4.4,4.4,4,2.6,1.5,-0.2,-1.2,-0.9,-1,-0.5,0.6,0.4,0,0.6,0.4,0.2,1,-0.1,0.2,0.8,1.9,2.5,1.9,2.2,0.9,0.7,0.7,0.2,0.8,0.3,-0.4,-0.1
"56","48","      Gross output of general government","W138RL1",3.6,2.1,1.7,2.1,0.1,3.9,1.4,2.6,2.9,2.9,3.7,4,4.2,4.4,4,3,3.5,3.1,3.1,3.4,2.1,2.5,2.6,3,4.7,4.5,4,4,3.2,2.1,1.2,-0.2,-1.2,-0.7,-0.6,-0.3,0.8,0.6,0.1,0.6,0.3,0.2,0.8,0.2,0.2,1.1,1.8,2.4,1.9,2.3,1.4,1.2,1.5,0.5,0.8,0.1,-0.4,0.1
"57","49","        Value added","W139RL1",3.4,1.5,1.2,2,-0.5,4.6,0.8,1.9,1.7,1.9,2.4,2.4,2.2,2.3,1.9,1,1.2,1.6,2.4,2.7,2.2,1.8,1.7,1.6,2.5,3.1,3.1,2.6,1.7,2,1.3,0.2,1,0.2,-0.1,0.1,0.6,0.9,0.3,0.9,0.7,0.4,1.2,-0.2,0.8,0.9,1.9,1.9,1.8,2.1,0.9,1.6,2.1,1.2,1.1,0.1,-0.4,0.5
"58","50","          Compensation of general government employees","B251RL1",3.3,1.2,1,1.8,-1,4.7,0.4,1.7,1.5,1.6,2.2,2.2,1.8,2,1.5,0.6,0.8,1.2,2.1,2.4,1.9,1.5,1.3,1.3,2.2,3,3,2.4,1.5,1.8,1.1,-0.2,0.7,-0.2,-0.5,-0.3,0.1,0.6,0,0.7,0.6,0.1,1,-0.5,0.6,0.7,1.8,1.8,1.6,2,0.6,1.4,2,0.9,0.8,-0.3,-0.8,0.1
"59","51","          Consumption of general government fixed capital \2\","B986RL1",3.8,3.7,3.7,3.7,3.6,3.7,3.8,4,3.7,4.3,4.5,4.7,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.6,4.5,4.4,4.2,4.3,4.1,3.9,3.8,3.6,3.5,3.3,3.2,3.1,3.1,3,4.7,4,3.3,2.7,2.2,2.4,2.5,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.8
"60","52","        Intermediate goods and services purchased \3\","W140RL1",4.2,3.6,2.7,2.4,1.6,2.5,2.8,3.9,5.4,5.2,6.5,7.4,8.4,8.8,8.6,7.2,8.3,6.1,4.6,4.8,1.9,3.8,4.6,5.7,9.2,7.2,5.6,6.9,6.1,2.4,1,-0.8,-5.1,-2.5,-1.6,-1.1,1.3,-0.2,-0.5,-0.1,-0.6,-0.1,0.1,0.8,-0.9,1.3,1.6,3.4,2.2,2.7,2.2,0.3,0.3,-0.6,0.2,0.2,-0.5,-0.7
"61","53","          Durable goods","B989RL1",10.3,5.9,5.3,5.3,-1.2,1,4.7,5.6,11.9,6,7.3,5.9,16.4,14.4,13.4,7.5,9.7,7.7,7,9.1,7.1,5.3,8.7,4.9,11.4,8.8,4.9,2.5,1.4,-1.6,-1.3,-1.5,-3.6,-0.9,-0.1,-0.3,1.9,0.8,0.5,-0.5,0.2,1.1,0.6,1.3,1.1,2.6,2.2,3.2,4.6,3,3.1,1.6,0.7,0.8,0.5,1.9,-0.5,0.6
"62","54","          Nondurable goods","B337RL1",4.6,4,3.1,2.8,1.8,2.8,3,3.8,4.9,5.2,5.8,6.9,7.6,7.9,8.2,7.6,8.6,6.2,4.9,4.8,1.8,3.9,5.8,6.2,9.1,7.3,6.2,5,5,1.9,0.3,-1.1,-4.6,-2.2,-0.9,-0.5,1.9,0.2,0.3,-0.1,-0.4,0.4,0.4,0.4,0.2,1.5,1.7,2.4,3.3,2.2,1.9,1.2,0.4,0.2,0,1.3,-0.5,-0.2
"63","55","          Services","A988RL1",3.5,3.2,2.3,1.9,1.7,2.5,2.5,3.8,5.1,5.1,6.7,7.7,8.1,8.8,8.3,7,8.1,5.9,4.2,4.4,1.6,3.6,3.7,5.5,9.1,7.1,5.4,8.1,7.1,2.9,1.5,-0.7,-5.4,-2.7,-2,-1.5,0.9,-0.4,-0.9,-0.1,-0.7,-0.5,-0.1,1,-1.7,1.1,1.5,4,1.5,3,2.3,-0.3,0.3,-1.2,0.2,-0.7,-0.5,-1
"64","56","      Less: Own-account investment \4\","W144RL1",-5.1,5.8,-5.7,2.6,1.3,3.9,-3.8,8.8,52,-6.3,-10.8,-3.7,-1,20,13,-2.3,6.2,-3.5,-4.3,22.7,15.4,-12.8,14.7,-3.6,22.4,24.8,-8.4,2.6,3.1,-6.2,-1.9,-2,-7.5,-4.6,10.8,-2.1,0.1,8.3,-2,-1.1,-2.5,6.8,-1.2,7.1,-3.5,13.3,-0.6,0.2,9.7,5.2,3.3,5,-1,8.9,-0.9,-4.9,-5,4.9
"65","57","            Sales to other sectors","W145RL1",5.5,2.6,2.6,2.2,1.3,1.1,1.9,3.2,4.1,3.1,4.7,5.1,2.2,2.1,2.4,1.8,1.7,3.3,3.2,4.4,5.9,5.4,5.2,6.2,7.1,4.3,3,2.4,0.1,0.6,0.3,0,-0.6,0.1,0.3,0.7,1.7,0.7,0.5,0.5,0.2,0,0.3,0.8,0.5,1.3,1.5,2.1,1.8,2.9,3,2.6,4.8,1.5,0.8,-0.5,-0.1,0.4
"66","58","              Tuition and related educational charges","B1065L1",0.7,-0.8,-0.9,1.1,-0.5,-0.1,1.7,2.9,2.2,2.7,2.2,3.3,2,2.9,3.1,3.6,2.2,2.4,3.7,4,4.4,1.9,4,1.6,-0.4,-0.1,-1.4,-1.1,0.1,0.6,1.7,2,1.2,-0.3,-5,-2.7,-4.2,-2,-3,-1.6,2.6,-0.2,1.2,2.7,0,0.6,1,0.6,1.2,1.4,1.6,2.6,3.3,-0.1,-0.8,-3.5,-0.4,-0.4
"67","59","              Health and hospital charges","B1066L1",7.5,3.4,2.4,0.2,-3.4,-1.2,0.3,1.4,2.9,2.5,4.8,6.7,1.6,1.3,1.5,1.6,0.1,2.5,2.8,3.8,4.6,6.8,5.6,8.9,13.7,7.6,5.1,3.2,-1.8,-1.3,-2.5,-2.9,-2.5,-1.9,0.2,0.7,1.3,0.8,-0.6,-1.2,-5.3,-2.6,-2.3,-1.5,1.2,0.5,1.4,2.3,2.7,3.3,3.5,3.4,7.5,3.4,2.8,0.9,-0.4,-0.4
"68","60","              Other sales","W146RL1",5.1,3.6,5.1,6.7,10.9,5.7,4.7,6.3,7.1,4.2,6,3.8,3.5,3,3.2,1.2,4,4.9,3.5,5.4,8.8,5.6,5.3,5.1,2.4,2.2,2.5,3.4,3.3,3.7,3.9,3.4,1.2,3.5,4.2,2.9,6.4,2.3,4.6,4.4,7.2,3.9,3.4,2.7,0,2.9,1.9,2.7,0.9,3.4,3.3,1.6,2.2,0,-0.7,-0.4,0.5,2
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
